漢字	假名	聲母	韻母	聲調
萍	ビン	並	梗開四青	平
病	ビン/ヒン	並	梗開三映	去
平	ビン/ヒン	並	梗開三庚	平
憑	ビン/ビン	並	曾開三蒸	平
步	ブウ	並	遇合一暮	去
簿	ブウ	並	遇合一姥	上
蒲	ブウ/プウ	並	遇合一模	平
帛	ペ	並	梗開二陌	入
白	べ/ペ/へ	並	梗開二陌	入
盆	ベヱン/バワン	並	臻合一魂	平
瓣	ペン	並	山開二襇	去
辨	ベン/へン	並	山開三狝	上
薄	ボ	並	宕開一鐸	入
勃	ポ	並	臻合一沒	入
泊	ポ	並	宕開一鐸	入
備	ホイ	並	止開三至	去
陪	ボイ	並	蟹合一灰	平
佩	ポイ	並	蟹合一隊	去
婆	ボウ	並	果合一戈	平
蚌	ホン	並	江開二講	上
朋	ボン	並	曾開一登	平
蓬	ボン	並	通合一東	平
篷	ボン	並	通合一東	平
莽	マン	並	宕開一蕩	上
枹	ウヱ◦ウ	並	效開三宵	平
鉋	バ◦ウ	並	效開二肴	平
鮑	パ◦ウ	並	效開二巧	上
琶	バアヽ	並	假開二麻	平
鈀	バアヽ	並	假開二麻	平
耙	パアヽ	並	假開二祃	去
杷	バアヽ/パアヽ	並	假開二麻	平
枇	ビイ	並	止開三脂	平
琵	ビイ	並	止開三脂	平
螵	ビヤ◦ウ	並	效開三宵	平
嫖	ビヤ◦ウ/ピヤ◦ウ	並	效開三宵	平
屏	ビン	並	梗開四青	平
牝	ピン	並	臻開三軫	上
葡	ブウ	並	遇合一模	平
苩	ペ	並	梗開二陌	入
萡	ぺ	並	梗開二陌	入
便	ベン/へン	並	山開三仙/山開三線	去/平
被	ボイ/ビイ/ピイ	並	止開三寘/止開三紙	上/去
別	べ/ペ	並/幫	山開三薛	入
鯔	ツウ	側	止開三之	平
十	シ/ジ	禪	深開三緝	入
石	シ/ジ	禪	梗開三昔	入
授	ジウ	禪	流開三宥	去
壽	ジウ	禪	流開三宥	去
受	ジウ/シウ	禪	流開三有	上
尚	ジヤン	禪	宕開三漾	去
樹	ジユイ/シユイ	禪	遇合三遇	去
誰	ジユイ/スイ/シユイ	禪	止合三脂	平
蜀	ジヨ	禪	通合三燭	入
辰	シン	禪	臻開三真	平
晨	ジン	禪	臻開三真	平
慎	ジン	禪	臻開三震	去
甚	シン/ジン	禪	深開三寢	上
睡	スイ/ジユイ/シユイ	禪	止合三寘	去
誓	スウ	禪	蟹開三祭	去
鰣	ズウ	禪	止開三之	平
市	ズウ	禪	止開三止	上
時	ズウ/スウ	禪	止開三之	平
是	ズウ/スウ	禪	止開三紙	上
善	ゼン/セン	禪	山開三狝	上
償	ヂヤン	禪	宕開三陽	平
嘗	ヂヤン/チヤン	禪	宕開三陽	平
常	ヂヤン/チヤン/ヅヤン	禪	宕開三陽	平
誠	ヂン	禪	梗開三清	平
臣	ヂン/チン	禪	臻開三真	平
成	ヂン/チン	禪	梗開三清	平
承	ヂン/チン	禪	曾開三蒸	平
城	ヂン/チン	禪	梗開三清	平
垂	ツイ	禪	止合三支	平
瑞	ツイ/ヅイ	禪	止合三寘	去
蟬	デヱン	禪	山開三仙	平
拾	ジ	禪	深開三緝	入
什	シ/シン	禪	深開三緝	入
芍	シヤ/シヨ	禪	宕開三藥	入
上	ジヤン/シヤン	禪	宕開三漾/宕開三養	上/去
熟	ジヨ	禪	通合三屋	入
蠋	ジヨ	禪	通合三燭	入
盛	ジン	禪	梗開三勁/梗開三清	去/平
豉	ズウ	禪	止開三寘	去
匙	ズウ	禪	止開三支	平
讐	ヂウ/チウ	禪	流開三尤	平
勺	チヤ	禪	宕開三藥	入
苕	チヤ◦ウ	禪	效開三宵	平
鱓	ヂヱン	禪	山開三仙	平
單	タン	禪/端	山開一寒/山開三線	去/平
徹	チ	徹	山開三薛	入
抽	チウ	徹	流開三尤	平
暢	チヤン	徹	宕開三漾	去
癡	ツウ	徹	止開三之	平
恥	ツウ	徹	止開三止	上
撐	ツヱン	徹	梗開二庚	平
拆	ゼ	徹	梗開二陌	入
杻	チウ	徹	流開三有	上
諂	チヱン	徹	鹹開三琰	上
鱴	チン	徹	臻開三真	入
䲍	チン	徹	臻開三真	入
螭	リイ	徹	止開三支	平
重	ヂヨン/チヨン	徹/澄	通合三腫/通合三鐘	上/平
醜	チウ	徹/穿昌	流開三有	上
畜	ヒヨ	徹/曉	通合三屋	入
軸	ギヨ	澄	通合三屋	入
直	ヂ	澄	曾開三職	入
侄	ヂ	澄	臻開三質	入
綢	ヂウ/チウ	澄	流開三尤	平
兆	ヂヤ◦ウ	澄	效開三小	上
茶	ヂヤア/ヅアヽ/ツア	澄	假開二麻	平
杖	チヤン	澄	宕開三養	上
場	ヂヤン	澄	宕開三陽	平
腸	ヂヤン	澄	宕開三陽	平
仗	ヂヤン	澄	宕開三養	上
丈	ヂヤン/チヤン	澄	宕開三養	上
撞	ヂヤン/チヤン	澄	江開二絳	去
柱	チユイ	澄	遇合三麌	上
除	ヂユイ/チユイ	澄	遇合三魚	平
廚	ヂユイ/チユイ	澄	遇合三虞	平
住	ヂユイ/チユイ	澄	遇合三遇	去
濁	ヂヨ	澄	江開二覺	入
逐	チヨ/ギヨ	澄	通合三屋	入
蟲	ヂヨン/チ゚ヨン	澄	通合三東	平
纏	ヂヱン	澄	山開三仙	平
塵	チン	澄	臻開三真	平
呈	チン	澄	梗開三清	平
陣	チン	澄	臻開三震	去
沉	ヂン	澄	深開三侵	平
陳	ヂン	澄	臻開三真	平
程	ヂン/チン	澄	梗開三清	平
賺	ヅアン	澄	鹹開二陷	去
綻	ヅアン/サ゚ン	澄	山開二襇	去
槌	ツイ	澄	止合三脂	平
錘	ヅイ	澄	止合三脂	平
治	ヅウ	澄	止開三志	去
遲	ヅウ/ヂイ/チイ	澄	止開三脂	平
池	ヅウ/ツウ/チイ	澄	止開三支	平
躑	チ	澄	梗開三昔	入
值	ヂ	澄	曾開三職	入
胄	チウ	澄	流開三宥	去
儔	ヂウ	澄	流開三尤	平
躊	ヂウ	澄	流開三尤	平
箸	チユイ	澄	遇合三禦	去
躇	ヂユイ	澄	遇合三魚	平
躅	チヨ	澄	通合三燭	入
邅	チヱン	澄	山開三仙	平
傳	ヂヱン	澄	山合三仙/山合三線	去/平
蔯	チン	澄	臻開三真	平
棹	ヅア◦ウ	澄	效開二效	去
鎚	ツイ	澄	止合三脂	平
椎	ヅイ	澄	止合三脂	平
擇	ヅヱ	澄	梗開二陌	入
種	チヨン	澄/照章	通合三用/通合三腫	上/去
著	チヤ/ヂヤ	澄/知	宕開三藥/遇合三禦	入/去
朝	チヤ◦ウ/ヂヤウ	澄/知	效開三宵	平
長	チヤン/ヂヤン	澄/知	宕開三陽/宕開三養	上/平
蚇	チ	尺	梗開三昔	入
士	ズウ	崇	止開三止	上
仕	ズウ	崇	止開三止	上
柿	ズウ	崇	止開三止	上
事	ズウ/スウ/シウ	崇	止開三志	去
揣	ツヲヽ	初	止合三紙	上
差	ツアヽ/サ゚イ/チヤア/ツウ	初/穿初	假開二麻/止開三支/蟹開二佳	平
尺	チ	穿昌	梗開三昔	入
赤	チ	穿昌	梗開三昔	入
昌	チヤン	穿昌	宕開三陽	平
唱	チヤン	穿昌	宕開三漾	去
出	チユ	穿昌	臻合三術	入
杵	チユイ	穿昌	遇合三語	上
春	チユン	穿昌	臻合三諄	平
蠢	チユン	穿昌	臻合三准	上
充	チヨン	穿昌	通合三東	平
扯	チヱヽ	穿昌	假開三馬	上
穿	チヱン	穿昌	山合三仙	平
吹	ツイ/チユイ	穿昌	止合三支	平
齒	ツウ	穿昌	止開三止	上
鴟	スウ	穿昌	止開三脂	平
臭	チウ	穿昌	流開三宥	去
綽	チヤ	穿昌	宕開三藥	入
菖	チヤン	穿昌	宕開三陽	平
猖	チヤン	穿昌	宕開三陽	平
摏	チヤン	穿昌	通合三鐘	平
蝽	チヤン	穿昌	臻合三諄	平
處	チユイ	穿昌	遇合三禦/遇合三語	上/去
衝	チヨン	穿昌	通合三鐘	平
銃	チヨン	穿昌	通合三送	去
串	チヱン	穿昌	山合三線	去
𣒰	チヱン	穿昌	山合三線	去
稱	チン	穿昌	曾開三蒸/曾開三證	去/平
秤	チン	穿昌	曾開三證	去
侈	ツウ	穿昌	止開三紙	上
熾	ツウ	穿昌	止開三志	去
嗔	デン	穿昌	臻開三真	平
車	チヱヽ	穿昌/見	假開三麻/遇合三魚	平
插	サ゚	穿初	鹹開二洽	入
察	サ゚	穿初	山開二黠	入
叉	サアヽ	穿初	假開二麻	平
債	サ゚イ	穿初	蟹開二卦	去
瘡	サ゚ン	穿初	宕開三陽	平
炒	チヤ◦ウ	穿初	效開二巧	上
窗	チヤン	穿初	江開二江	平
冊	ツヱ	穿初	梗開二麥	入
策	ツヱ	穿初	梗開二麥	入
測	ツヱ	穿初	曾開三職	入
楚	ツヲヽ	穿初	遇合三語	上
初	ツヲヽ/ツウ	穿初	遇合三魚	平
襯	ツヲン	穿初	臻開三震	去
檫	サ゚	穿初	山開二黠	入
剎	サ゚	穿初	山開二黠	入
柵	サ゚	穿初	梗開二麥	入
鈔	チヤ◦ウ	穿初	效開二肴	平
闖	チヤン	穿初	宕開三養	上
齪	チヨ	穿初	江開二覺	入
示	スウ	船	止開三至	去
豺	ザイ	床崇	蟹開二皆	平
寨	サイ/シヤイ	床崇	蟹開二夬	去
柴	ヂヤイ	床崇	蟹開二佳	平
狀	ヂヤン	床崇	宕開三漾	去
床	ヂヤン/チヤン	床崇	宕開三陽	平
讒	ヅアン	床崇	鹹開二鹹	平
撰	ヅアン/ヅヱン	床崇	山合二潸	上
驟	ヅユ◦ウ	床崇	流開三宥	去
雛	ツヱ◦ウ	床崇	遇合三虞	平
愁	ヅヱ◦ウ/ツヱ◦ウ	床崇	流開三尤	平
鋤	ヅヲヽ	床崇	遇合三魚	平
助	ヅヲヽ	床崇	遇合三禦	去
幢	ドン	床崇	江開二江	平
食	ジ/シ	床船	曾開三職	入
實	ジ/シ	床船	臻開三質	入
順	ジユン/シユン	床船	臻合三	去
贖	ジヨ	床船	通合三燭	入
神	ジン	床船	臻開三真	平
舌	ゼ	床船	山開三薛	入
射	ゼヱヽ/シヱヽ	床船	假開三祃	去
蛇	ゼヱヽ/セヱヽ	床船	假開三麻	平
乘	ヂン	床船	曾開三蒸	平
繩	ヂン	床船	曾開三蒸	平
剩	チン/ヂン	床船	曾開三證	去
舩	ヂヱン/チヱン	床船	山合三仙	平
皂	サ゚◦ウ	從	效開一皓	上
雜	ヅア	從	鹹開一合	入
材	ヅアイ	從	蟹開一咍	平
在	ヅアイ/サ゚イ/ツアイ/サイ	從	蟹開一海	上
財	ヅアイ/ツアイ/ザイ	從	蟹開一咍	平
才	ヅアイ/ツアイ/サ゚イ	從	蟹開一咍	平
暫	ツアン	從	鹹開一闞	去
殘	ヅアン	從	山開一寒	平
慚	ヅアン	從	鹹開一談	平
蠶	ヅアン	從	鹹開一覃	平
罪	ツイ/ヅイ	從	蟹合一賄	上
淨	ツイン	從	梗開三勁	去
晴	ツイン/ヅイン	從	梗開三清	平
盡	ヅイン/ツイン	從	臻開三軫	上
情	ヅイン/ツイン	從	梗開三清	平
慈	ヅウ	從	止開三之	平
自	ヅウ/ツウ	從	止開三至	去
字	ヅウ/ツウ	從	止開三志	去
薺	ツユイ	從	蟹開四薺	上
聚	ツユイ/ヅユイ	從	遇合三麌	上
就	ヅユウ/ツユウ/ヅヱウ	從	流開三宥	去
籍	ツヱ	從	梗開三昔	入
集	ヅヱ	從	深開三緝	入
寂	ヅヱ	從	梗開四錫	入
疾	ヅヱ/ツヱ	從	臻開三質	入
賊	ヅヱ/ツヱ	從	曾開一德	入
層	ツヱン	從	曾開一登	平
漸	ツヱン	從	鹹開三琰	上
賤	ヅヱン	從	山開三線	去
全	ツヱン/ヅヱン	從	山合三仙	平
前	ヅヱン/ツヱン	從	山開四先	平
錢	ヅヱン/ツヱン	從	山開三仙	平
鑿	ヅヲ	從	宕開一鐸	入
族	ヅヲ	從	通合一屋	入
昨	ヅヲ	從	宕開一鐸	入
銼	ツヲヽ	從	果合一過	去
坐	ヅヲヽ/ツヲヽ	從	果合一果	上
叢	ヅヲン	從	通合一東	平
存	ヅヲン/ツヲン	從	臻合一魂	平
槽	サ◦ウ	從	效開一豪	平
螬	サ◦ウ	從	效開一豪	平
漕	サ゚◦ウ	從	效開一豪	平
造	ヅア◦ウ/サ゚◦ウ	從	效開一皓	上
纔	ヅアイ/ツアイ	從	蟹開一咍	平
藏	ヅアン	從	宕開一唐/宕開一宕	去/平
浄	ツイン	從	梗開三勁	去
凈	ツイン	從	梗開三勁	去
磁	ヅウ	從	止開三之	平
糍	ヅウ	從	止開三脂	平
鷀	ヅウ	從	止開三之	平
墙	ツヤン	從	宕開三陽	平
檣	ヅヤン	從	宕開三陽	平
蔷	ツヤン/ヅヤン	從	宕開三陽	平
鱭	ツユイ	從	蟹開四齊	去
蠐	ツユイ	從	蟹開四齊	平
瘁	ツヱ	從	止合三至	去
嫉	ヅヱ	從	臻開三質	入
酢	ツヲヽ	從	宕開一鐸	入
載	サ゚イ	從/精	蟹開一代/蟹開一海	上/去
曾	ヅヱン/ツヱン	從/精	曾開一登	平
從	ヅヲン/ツヲン	從/清	通合三鐘	平
達	ダ	定	山開一曷	入
道	タ◦ウ	定	效開一皓	上
稻	ダ◦ウ	定	效開一皓	上
陶	ダ◦ウ	定	效開一豪	平
萄	ダ◦ウ	定	效開一豪	平
逃	タ◦ウ/ダ◦ウ	定	效開一豪	平
桃	タ◦ウ/ダ◦ウ	定	效開一豪	平
導	ダ◦ウ/タ◦ウ	定	效開一號	去
大	ダアヽ/タアヽ	定	果開一個	去
怠	ダイ	定	蟹開一海	上
待	ダイ/タイ	定	蟹開一海	上
臺	ダイ/タイ	定	蟹開一咍	平
但	ダン	定	山開一翰	去
蛋	ダン	定	山開一翰	去
唐	ダン	定	宕開一唐	平
堂	ダン	定	宕開一唐	平
棠	ダン	定	宕開一唐	平
檀	タン/ダン	定	山開一寒	平
淡	ダン/タン	定	鹹開一敢	上
談	ダン/タン	定	鹹開一談	平
糖	ダン/タン	定	宕開一唐	平
敵	テ	定	梗開四錫	入
突	テ	定	臻合一沒	入
笛	デ	定	梗開四錫	入
蝶	デ	定	鹹開四貼	入
特	デ	定	曾開一德	入
豆	デ◦ウ/テ◦ウ	定	流開一候	去
投	デ◦ウ/テ◦ウ	定	流開一侯	平
頭	デ◦ウ/テ◦ウ	定	流開一侯	平
地	デイ/テイ	定	止開三至	去
弟	デイ/テイ	定	蟹開四薺	上
第	デイ/テイ	定	蟹開四霽	去
遞	デイ/テイ	定	蟹開四霽	去
提	デイ/テイ	定	蟹開四齊	平
挺	デイン	定	梗開四迥	上
定	デイン/テイン	定	梗開四徑	去
停	デイン/テイン	定	梗開四青	平
掉	テヤ◦ウ	定	效開四嘯	去
跳	テヤ◦ウ	定	效開四蕭	平
條	デヤ◦ウ	定	效開四蕭	平
殿	テン	定	山開四霰	去
電	デン	定	山開四霰	去
藤	デン	定	曾開一登	平
田	デン	定	山開四先	平
疼	デン/テン	定	曾開一登	平
奪	ト	定	山合一末	入
鐸	ト	定	宕開一鐸	入
毒	ド/ト	定	通合一沃	入
獨	ド/ト	定	通合一屋	入
讀	ド/ト	定	通合一屋	入
兌	トイ	定	蟹合一泰	去
度	ドウ	定	遇合一暮	去
渡	ドウ	定	遇合一暮	去
舵	ドウ	定	果開一哿	上
惰	ドウ	定	果合一果	上
徒	ドウ	定	遇合一模	平
塗	ドウ	定	遇合一模	平
圖	ドウ	定	遇合一模	平
駝	ドウ	定	果開一歌	平
杜	ドウ/トウ	定	遇合一姥	上
段	ドハン	定	山合一換	去
團	ドハン/トハン	定	山合一桓	平
屯	トヲン	定	臻合一魂	平
洞	ドン	定	通合一送	去
桐	ドン	定	通合一東	平
童	ドン	定	通合一東	平
筒	ドン	定	通合一東	平
動	ドン/トン	定	通合一董	上
同	ドン/トン	定	通合一東	平
銅	ドン/トン	定	通合一東	平
盗	ダ◦ウ	定	效開一號	去
鋾	ダ◦ウ	定	效開一豪	平
苔	タイ	定	蟹開一咍	平
薹	タイ	定	蟹開一咍	平
盪	タン	定	宕開一蕩	上
搪	タン	定	宕開一唐	平
啖	ダン	定	鹹開一談	上
憚	ダン	定	山開一翰	去
彈	ダン	定	山開一寒/山開一翰	去/平
螳	ダン	定	宕開一唐	平
鐔	ダン	定	鹹開一談	平
蕩	ダン/タン	定	宕開一蕩	上
姪	ヂ	定	臻開三質	入
鰷	ツヤン	定	效開四蕭	平
迭	デ	定	山開四屑	入
鰈	デ	定	鹹開三葉	入
痘	デ◦ウ	定	流開一候	去
䱱	テイ	定	蟹開四齊	平
棣	デイ	定	蟹開四齊	去
椗	デイン	定	梗開四青	去
梃	デイン	定	梗開四青	上
蜓	テイン/デイン	定	梗開四青	平
調	デヤ◦ウ	定	效開四嘯/效開四蕭	去/平
簟	テン	定	鹹開四忝	上
頹	ドイ	定	蟹合一灰	平
緞	ドハン/トハン	定	山合一換	去
㹠	ドヲン	定	臻合一魂	平
鷤	ピイ	定	蟹開四齊	平
蜒	ヱン	定	山開四先	平
肚	ドウ/トウ	定/端	遇合一姥	上
搭	タ	端	鹹開一合	入
答	タ	端	鹹開一合	入
刀	タ◦ウ	端	效開一豪	平
到	タ◦ウ	端	效開一號	去
打	タアヽ	端	梗開二梗	上
帶	タイ	端	蟹開一泰	去
丹	タン	端	山開一寒	平
耽	タン	端	鹹開一覃	平
德	テ	端	曾開一德	入
滴	テ	端	梗開四錫	入
跌	テ	端	鹹開四貼	入
得	テ/テ゚	端	曾開一德	入
兜	テ◦ウ	端	流開一侯	平
抖	テ◦ウ	端	流開一厚	上
堤	テイ	端	蟹開四齊	平
抵	テイ	端	蟹開四薺	上
底	テイ	端	蟹開四薺	上
帝	テイ	端	蟹開四霽	去
丁	テイン	端	梗開四青	平
頂	テイン	端	梗開四迥	上
鼎	テイン	端	梗開四迥	上
雕	テヤ◦ウ	端	效開四蕭	平
登	テン	端	曾開一登	平
燈	テン	端	曾開一登	平
等	テン	端	曾開一等	上
鐙	テン	端	曾開一嶝	去
顛	テン	端	山開四先	平
典	テン	端	山開四銑	上
點	テン	端	鹹開四忝	上
堆	トイ	端	蟹合一灰	平
對	トイ	端	蟹合一隊	去
堵	トウ	端	遇合一姥	上
賭	トウ	端	遇合一姥	上
多	トウ	端	果開一歌	平
短	トハン	端	山合一緩	上
端	トハン/トワン	端	山合一桓	平
冬	トン	端	通合一冬	平
東	トン	端	通合一東	平
董	トン	端	通合一董	上
懂	トン	端	通合一董	上
凍	トン	端	通合一送	去
鳥	ニヤ◦ウ	端	效開四筱	上
搗	タ◦ウ	端	效開一皓	上
倒	タ◦ウ	端	效開一皓/效開一號	上/去
担	タン	端	鹹開一覃	平
殫	タン	端	山開一寒	平
胆	タン	端	鹹開一敢	上
擔	タン	端	鹹開一談/鹹開一闞	去/平
柦	タン	端	山開一寒	平
當	タン	端	宕開一唐/宕開一宕/宕開一蕩	上/去/平
蟷	タン	端	宕開一唐	平
的	テ	端	梗開四錫	入
丢	テ◦ウ	端	流開四蕭	平
蚪	テ◦ウ	端	流開一厚	上
斗	テ◦ウ	端	流開一厚	上
闘	デ◦ウ	端	流開一候	去
隄	デイ	端	蟹開四齊	平
叮	テイン	端	梗開四青	平
酊	テイン	端	梗開四青	上
釘	テイン	端	梗開四青	平
鵰	テヤ◦ウ	端	效開四蕭	平
弔	テヤ◦ウ	端	效開四嘯	去
掇	ト	端	山合一末	入
都	トウ	端	遇合一模	平
妬	トウ	端	遇合一暮	去
蠹	トウ	端	遇合一暮	去
哆	トウ	端	果合一歌	平
躲	トウ	端	果合一果	上
垜	トウ	端	果合一果	上
斷	ドハン/トハン	端	山合一換/山合一緩	上/去
鸫	トン	端	通合一東	平
鯟	トン	端	通合一東	平
反	ハン	非	山合三阮	上
方	ハン	非	宕合三陽	平
放	ハン	非	宕合三漾	去
販	パン	非	山合三願	去
廢	フイ	非	蟹合三廢	去
非	フイ	非	止合三微	平
飛	フイ	非	止合三微	平
夫	フウ	非	遇合三虞	平
斧	フウ	非	遇合三麌	上
府	フウ	非	遇合三麌	上
付	フウ	非	遇合三遇	去
富	フウ	非	流開三宥	去
福	フヲ/ホ	非	通合三屋	入
封	フヲン	非	通合三鐘	平
風	フヲン	非	通合三東	平
楓	フヲン	非	通合三東	平
粉	フン	非	臻合三吻	上
糞	フン	非	臻合三問	去
否	へ◦ウ	非	流開三有	上
腹	ホ	非	通合三屋	入
發	ハ	非	山合三月	入
法	ハ	非	鹹合三乏	入
髪	ハ	非	山合三月	入
榧	フイ	非	止合三尾	上
誹	フイ	非	止合三微	上
分	フン/ウヱン	非	臻合三文	平
弗	ホ	非	臻合三物	入
蝠	ホ	非	通合三屋	入
扶	ウヽ	奉	遇合三虞	平
負	ウヽ	奉	流開三有	上
婦	ウヽ	奉	流開三有	上
父	ウヽ/フウ/ウウ	奉	遇合三麌	上
佛	ウヱ	奉	臻合三物	入
浮	ウヱ◦ウ	奉	流開三尤	平
縛	ウヲ	奉	宕合三藥	入
帆	ハン	奉	鹹合三凡	平
防	バン/ハン	奉	宕合三陽	平
飯	ハン/ワン	奉	山合三願	去
腐	フウ	奉	遇合三麌	上
奉	フヲン/ウヲン	奉	通合三腫	上
逢	フヲン/ホン	奉	通合三鐘	平
鳳	ホン/ウヲン	奉	通合三送	去
乏	ワ	奉	鹹合三乏	入
凡	ワン	奉	鹹合三凡	平
煩	ワン	奉	山合三元	平
繁	ワン	奉	山合三元	平
犯	ワン	奉	鹹合三範	上
房	ワン	奉	宕合三陽	平
鲼	ウヱン	奉	臻合三問	去
袱	ウヲ	奉	通合三屋	入
坊	ハン	奉	宕合三陽	平
芙	フウ	奉	遇合三虞	平
枎	フウ	奉	遇合三虞	平
鳬	フウ	奉	遇合三虞	平
駙	フウ	奉	遇合三遇	去
復	ホ/フウ	奉	通合三屋	入
蘩	ワン	奉	山合三元	平
撫	ウヽ	敷	遇合三麌	上
伏	ウヲ/フヲ	敷	通合三屋	入
服	ウヲ/フヲ	敷	通合三屋	入
翻	ハン	敷	山合三元	平
紡	ハン	敷	宕合三養	上
訪	ハン	敷	宕合三漾	去
妃	フイ	敷	止合三微	平
赴	フウ	敷	遇合三遇	去
副	フウ	敷	流開三宥	去
紛	フン	敷	臻合三文	平
蜂	ホン	敷	通合三鐘	平
豐	ホン	敷	通合三東	平
番	ハン	敷	山合三元	平
妨	ハン	敷	宕合三陽	平
費	フイ	敷	止合三未	去
筟	フウ	敷	流開三尤	平
拂	フヲ	敷	臻合三物	入
𥳇	フヲ	敷	臻合三物	入
覆	へ◦ウ/ホ	敷	通合三屋	入
狒	ホ	敷	臻合三物	去
幡	ハン	孚	山合三元	平
割	カ	見	山開一曷	入
鴿	カ	見	鹹開一合	入
葛	カ	見	山開一曷	入
揭	カ	見	山開三月	入
高	カ◦ウ	見	效開一豪	平
羔	カ◦ウ	見	效開一豪	平
膏	カ◦ウ	見	效開一豪	平
告	カ◦ウ	見	效開一號	去
該	カイ	見	蟹開一咍	平
改	カイ	見	蟹開一海	上
蓋	カイ	見	蟹開一泰	去
肝	カン	見	山開一寒	平
柑	カン	見	鹹開一談	平
敢	カン	見	鹹開一敢	上
