#a
f[5]罚伐筏发{膨发}乏法发{颁发}泛
tɕʰ[1]牵迁签千谦[5]件渐贱饯[3]潜[2]乾钱{钞票}钱寻{寻找}钳欠前嫌{用手或腿夹住}
∅[1]姻咽蔫淹腌焉烟[5]撒[3]焰[2]燕谚雁艳阎然炎延厌沿{轮廓}言宴檐{屋檐；瓯}盐檐筵

#iaŋ
ɕ[1]腥星[3]醒{醒悟}醒[5]谢{谢谢}[2]姓
m[5]命[2]名
n[2]迎
p[3]饼[2]蔽避{藏起来}
pʰ[5]病[2]平坪
t[1]钉丁岭{山，岭岗}靳疔[5]另
tɕ[1]□{片；瓣；片}□{瞪眼}[5]尽镜[3]颈井
tʰ[1]汀庭听闻厅[5]锭订
tɕʰ[1]青轻[5]静净[3]请
∅[5]剩荥萤院[3]影[2]营赢□{剩下；余下}

#iɔ
ɕ[1]硝消销霄宵箫萧嚣[3]晓[2]笑鞘{刀鞘}
m[5]庙[3]妙秒渺[2]猫苗描
n[5]尿[2]寥{寥寥数笔}聊燎{火燎眉毛}了{了结}辽瞭燎疗
p[1]彪标漂跳腮{肥肉膘}[3]表[2]鳔
pʰ[1]飘[3]票{车票}[2]嫖{吃喝嫖赌}瓢
t[1]貂挪□{鸟的总称：~子}雕刁[5]廖{姓}料[2]吊{悬吊}蠚□{蜇}钓调{调动}调{音调、曲调}吊[3]□{性交；骂人的话}
tɕ[1]娇椒骄绞蕉{香蕉}矫{矫正}[3]狡饺剿[2]叫叫{哭泣}
tʰ[2]调{调和；调整}跳条
tɕʰ[1]锹{铁锹}[5]嚼轿[3]缲{缲边}窍饶{饶幸}[2]乔荞侨桥
∅[1]么腰要{要求}邀吆{吆喝}妖查{杳无音信}谣[5]肴耀跃鹞{鹞子；鹞鹰}[3]舀{舀水}[2]摇{摇撼；撼动}姚要{重要}窑

#iɛ
ɕ[1]谐[5]识式涉屑衅虱薛析歇悉实舌蝎十吸涩饰协适熄媳惜懈室习湿袭楔胁息释设
l[5]□{追赶}
m[5]蔑{竹篾}灭篾密蜜
n[5]月镊撵肋日聂热遣蹑□{把袖子挽起}辇孽勒
p[5]憋
pʰ[5]匹撇别
t[5]列粒{一颗；颗粒；一颗珠子}荔{荔枝}粒猎力{白读}笠烈跌{跌跤；摔；坠下}跌嫡裂立例跌{垂直下来}轰滴掉栗
tɕ[5]辑击极截级橘洁接节夹集□{痢疾、疟疾}急吉劫髻捷汁疾及结杰
tʰ[5]叠牒狄帖血贴谍碟蝶垫敌铁笛
tɕʰ[5]膝辔漆砌切戚窄七
∅[5]页{一片、一瓣（花瓣、橘子）}页{书页}揖业□{谷物空心}叶译一乙

#ieŋ
ɕ[1]胸升薪兴辛伸凶身深心申芯{馅子}芯{花蕊}声兄欣新[5]杏胜盛肾幸圣甚[3]审迅沈[2]型乘□{往上抬}刑雄神讯熊性形行绳信
m[3]敏[2]鸣闽明民铭
n[1]宁[5]认[3]忍[2]蝇人蚁银
p[1]槟冰兵鬓彬宾[3]秉丙[2]并
pʰ[1]拼[3]聘品[2]评凭瓶贫萍屏频
t[1]□{顽皮、调皮：~调}宁鳞[5]令[3]鼎顶领[2]陵檩伶灵临菱林翎淋{浇水}邻零磷凌铃禀悯苎{苎麻}
tɕ[1]珍筋经斤蒸金真精襟今京针贞晴津巾鲸侦晶惊禁[3]整仅竟紧锦境诊景镇警震枕振菌{文读}禁准[2]徵证晋竞进浸政敬正劲
tʰ[5]绽[3]挺艇[2]廷定亭停
tɕʰ[1]侵倾吻肫膞擎菌{白读}亲清卿称[5]近阵[3]顷谨寝[2]禽芹勤臻诚称穷逞陈成{文读}庆岑尘琼秤秦情城{文读}琴钦晴寻
tsʰ[2]辰晨臣
∅[1]殷庸婴淫应樱英痛雍□{掀开；打开}荫莺音阴因[5]茔用壬任[3]吟咏寅尹勇甬拥隐泳诱涌引{引逗；挑逗；引导}□{菜汤}允永[2]缨戎农{农民}纫仁应匀茸孕鎔印盈蓉绒容荣融映颖刃

#io
ɕ[5]削肃
n[5]虐弱略掠
t[5]律率
tɕ[5]足脚
tɕʰ[5]确雀鹊[2]茄
∅[5]约佑药钥

#ioŋ
ɕ[1]厢箱香襄相湘乡镶[5]像象橡项[3]享想响响饷[2]详相降祥向
n[5]让酿[3]瑟抖[2]让{禅让}□{放牛}娘
t[1]两{斤两}[5]量谅亮[3]两{二}[2]梁梁{橡木、梁子}粮凉量良
tɕ[1]碣姜缰疆僵浆桨将[3]奖[2]强酱匠将蒋
tɕʰ[1]腔枪羌[3]抢[2]强墙
∅[1]殃秧央养痒[5]样[2]疡杨羊烊{融化}阳洋扬

#iu
ɕ[1]休收搜{搜集}修朽羞飕[5]兽寿受售授[3]守手首[2]莠绣嗅秀宿{星宿}嗅{用鼻子闻}
n[5]扭{扭腰；踒脚}[3]纽柳扭[2]牛
t[1]丢{丢掉；丢失；投掷}溜[5]六[2]榴{石榴；手榴弹}刘硫流留馏琉{琉璃}
tɕ[1]纠{纠正，纠缠}[3]昼韭九鸠酒臼灸{针灸}久[2]究救
tɕʰ[1]愁囚秋{秋千}瞅咎舅抽鞦{抽打}秋{秋天}泅{泅水}丘[5]宙袖旧轴{车轴}就[3]丑[2]仇求球绸仇{姓}臭{香臭}酬
ts[1]周洲舟州
tsʰ[5]轴
∅[1]有幽尤优忧[5]右又釉柚[3]友酉[2]游邮犹由油悠{悠闲}幼

#o
f[5]缚佛
k[1]歌科[5]各角郭觉[3]葛哥果裹[2]过戈
kʰ[5]扩壳[3]可[2]课
l[1]擩{擩进去；拉拽}□{拉住}[5]录落洛乐烙酪络骆入诺若[2]啰{啰唆}罗锣螺{田螺}骤{起来}箩瘰{瘰疬}
m[1]摩馍磨{磨刀}抿魔[5]磨{名词}末未沫陌莫募慕幕暮墓寞[3]母拇[2]摹模{模子}模{模范}磨{磨面}膜
n[5]糯{糯米}[2]揉
ŋ[5]鄂饿[2]鹅瘊{瘊子}蛾俄
p[1]玻{玻璃}波菠{菠菜}坡钵[5]剥博勃驳剥{脱下；脱衣}[2]剖簸{簸箕}跑
pʰ[1]跛{跛足{瘤}}[5]泊雹薄[2]婆
s[1]蓑唆{啰唆；教唆}梭{织布梭子}[5]芍束勺蟀[3]琐{琐碎}所索锁
t[1]多舵□{一到五岁的小女孩}[5]搉□{敲打}□{水坑：vu²³~}□{切菜}[3]垛{柴禾垛}朵躲
tʰ[1]驼托拖□{垂下来}[5]彀{往上彀}托踱犊铎秃唾{唾沫}牍读□{挑拣、选择，这也许是“择”字在同心畲话中第一个历史层析的读音}[3]妥椭{椭圆}[2]驮{驮子}
ts[5]卓作琢着{穿衣}涿皱{皴}桌捉绰捉{捕捉}着[3]佐左纣{桀纣}[2]奏做
tsʰ[1]锉{矮}[5]莝{莝草}着凿坐镯锉着{酣睡；睡着}座戳[2]错{错误}错锉
x[5]鹤学渴祸藿喝豁霍贺[3]伙火[2]货何和{和气}河哄荷{薄荷}荷{荷花}
∅[1]蜗{蜗牛}陷窝眍{眍眼}欧[5]脶锅恶镬恶{可恶}[3]哦{叫唤，应声}[2]禾{稻谷}

#œ
f[2]浮
k[1]构钩躬购勾{勾当}搊{搊起来}阉{抓阉}[3]苟狗[2]够构{凝固}
kʰ[1]抠[2]扣{扣住；扣留}
l[5]陋漏[3]篓耧{农具}[2]楼
m[5]牧穆茂贸[3]亩嬷{婶婶}每某牡[2]谋
n[2]□{粥烂而稠}
ŋ[3]藕偶{配偶}偶{偶然}
s[1]馊{饭馊了}□{掏出来}搜[2]瘦
t[1]□{槽；马槽}□{树根、一棵、一株}[3]斗□{窗户}陡[2]斗兜□{巢；窝}
tʰ[1]偷[5]透豆[3]□{喘气}[2]头
ts[1]邹[5]皱[3]徙走
tsʰ[3]□{擀干、用力搅拌}[2]筹凑
x[5]后侯厚候[3]口[2]喉猴
∅[5]贰{贰心}壅二□{杯子}[3]耳呕[2]怄{怄气}沤{长时间泡在水里}儿而

#oŋ
f[1]芳方[3]仿纺访[2]妨防房放肪
k[1]岗扛刚冈□{两个人一起拾}光江纲桄[3]港讲广[2]降掮钢杠虹
kʰ[1]康[5]□{贝壳类}[2]抗矿炕旷
l[5]浪[3]攘壤嚷[2]蜋郎囊廊狼
m[5]望[3]网[2]盲芒忙忘茫虹
n[2]囊
p[1]帮邦[3]棒榜蚌宕绑谤[2]半
pʰ[1]滂[5]绊伴[2]螃旁
s[1]商孀霜桑双伤丧[5]尚上[3]嗓爽赏赐[2]尝
t[1]当{当然}[3]挡党[2]当{典当}
tʰ[1]汤[5]荡[3]趟倘躺[2]唐糖堂螳棠塘
ts[1]赃瘴庄樟装脏章张[5]状[3]掌长涨[2]账胀障胖帐
tsʰ[1]菖昌疮仓苍[5]杖仗昨丈[3]场厂[2]藏唱长畅偿肠倡床常
v[1]汪[5]妄旺[2]王枉
x[1]慌{白读}糠荒{白读}[5]巷[2]杭行黄{文读}簧皇航蝗
∅[2]黄{白读}

#ɿ
s[1]斯丝祀{祭祀}尸思师似诗施私厮狮司豉{豆豉}[5]市誓氏巳{地支；蛇}仕恃事示[3]驶死眵{眼眵}士使始史屎矢[2]四嗣伺试肆逝嗜势自世侍寺时
ts[1]资知{知道；知识；无知}姿芝肢智枝咨支[5]只{只有}[3]梓旨紫齿址脂纸趾止指子姊[2]制滞{停滞}志痣致至置之
tsʰ[1]痴[5]治痔字牸{公牛}[3]□{撕小件物品}耻此侈{奢侈}[2]糍{糍粑}饲兹驰祠迟池词刺慈辞瓷{瓷器}蠓{是否是本字未考证，一种长在棉被里的虫子，害虫}雉{雉鸡}滋次磁{磁铁}

#u
f[1]麸{麸子}呼{打鼾}腑[5]服幅夫肤腹忽赋复{复兴}互斛福获沪服户跗{跗面（脚面）}伏复副覆[3]苦{味道苦}府腐斧釜虎浒{水浒}辅俯[2]傅敷俘{俘虏}芙{芙蓉}抚狐符护附壶乎胡湖裤负葫{葫芦}富胡{胡子}付妇
k[1]孤姑箍[5]谷[3]鼓古估{估计}股牯[2]顾雇故锢{禁锢}固
kʰ[5]□{溺水，淹死：~死；憋气}[3]苦{心情悲伤；生活贫苦}[2]酷库
l[5]路陆赂□{菜汆滚水}□{锈，铁锈}□{一种杂草，可以做肥料：~tɕi²¹}鹿禄[3]辱鲁橹努卤[2]露庐{庐山}鸬{鸬鹚}卢奴鹭{鹭鸶}虏儒芦{芦苇}捋如炉
p[5]不[3]补{缝补}[2]布阜
pʰ[1]埠甫铺{店铺}簿脯{果脯}铺{铺设；铺张}[5]仆埠{商埠}部疹讣浦孵{孵小鸡}痱{身上起的疹子，不作痱子义}菢{菢小鸡}醭卜扑[3]谱普朴[2]瓠{瓠子，瓠瓜，葫芦}菩{菩萨}脯{胸脯}扶蒲
s[1]梳舒蔬疏疏{注疏}苏书酥[5]塑{塑像}速淑缩竖朔[3]庶数{动词}恕[2]戍数{名词}输漱{漱口}
t[1]督都{首都}[5]扎□{动词：刺，扎开一个小口}[3]赌堵
tʰ[1]肚{肚皮}肚{猪肚}[5]镀度渡独毒[3]吐{吐痰}土[2]图徒途兔涂杜吐{呕吐}屠
ts[1]租诸饮[5]褚{姓}[3]蛀主祖组[2]注著{著名}
tsʰ[1]粗初[5]逐族助嘱触促浊[3]础{基础}楚蛀[2]醋
v[1]乌{小坑，小洞：~to⁵}坞侮[5]误屋洼务[3]武鹉{鹦鹉}舞伍戊[2]巫诬□{掩住，用土遮住}

#ua
k[1]瓜[5]刮括{白读}[3]剐剜[2]挂卦
kʰ[1]夸[5]阔{白读}
x[1]花[5]滑画划猾[2]华{中华、华山}化桦{桦树}

#uai
k[3]拐{瘸腿；拐杖}侉□{青蛙：蛙类}[2]怪
kʰ[3]块蒯{姓}[2]梯刽会{会计}快筷桧
s[3]率
x[5]坏[2]淮槐怀

#uan
k[1]官冠棺观关[3]馆管[2]贯冠灌观惯
kʰ[1]匡宽眶
x[1]欢[5]患幻换焕宦[3]皖缓[2]环
∅[3]涴{弄脏}

#uɛ
k[5]国[3]锄□{刨，刨地；挖}
kʰ[1]魁开盔
l[5]瑞累{连累}类累{劳累}[3]儡累{累积}锐[2]雷
n[5]内
s[1]鳃衰隧{隧道}遂[5]髓[3]水鼠[2]碎绥随岁税虽
t[1]堆[2]对兑队
tʰ[1]苔{舌苔；青苔}胎[5]代袋贷殆待怠[3]腿[2]蜕{蜕皮，蝉蜕}退台{上台}褪台{天台；台州}
ts[1]栽{种、植}碓[3]啄笃[2]缀{点缀}最嘴赘
tsʰ[1]催崔{姓}吹[5]罪[2]豺财锤槌脆菜粹{纯粹}翠
x[1]恢徽灰[5]会{开会}慧秽汇惠绘讳[3]贿海晦毁悔[2]回茴{茴香}汇
∅[1]煨

#uɛn
k[2]棍
kʰ[1]荤坤昆[3]滚[2]捆困
tʰ[2]囤
tsʰ[2]纯莼
v[2]浑{浑浊，水不干净}
x[1]昏婚[3]混[2]馄魂□{卧床；睡觉；躺下}

#un
s[3]舜

#uo
k[5]骨割鸽
kʰ[5]括{文读}阔{文读}
s[5]涮术述刷{喝；喝水；喝汤；一口喝}秫
t[5]掇夺
tʰ[5]突
ts[5]撮卒嘬{吃喝一小口}
tsʰ[5]出
x[5]惑合{十合一升}活盒{烟盒}合或
∅[5]核{果实的核}物

#uoŋ
k[1]肝鲞[5]旱
kʰ[5]况[2]逛□{田埂}看狂
l[5]乱[3]卵
m[3]满{文读}
n[1]暖
pʰ[2]盼
s[1]逊酸孙甥[5]顺[3]损[2]蒜顺{顺着；沿着}船算
t[1]端[3]短墩
tʰ[1]断[5]段锻缎[2]团
ts[1]砖钻专[3]转归[2]传浜钻沟壮
tsʰ[1]窜汆闩舂串{动词}川春拴[5]篆传[3]闯创[2]串{名词}篡
x[1]慌{文读}谎荒{文读}[5]汗
∅[2]暗{~漆漆}

#y
ɕ[1]戌须输{运输}需墟{废墟}虚恤[5]绪树熟蓄属粟赎婿{女婿}絮俗序叔续叙畜[3]暑蜀署{部署；署名}薯{白薯}许黍{黍子}殊[2]徐储{储蓄}嘘{吹嘘}瞿
k[1]规龟闺圭[3]鬼轨诡[2]桂柜贵{文读}癸
kʰ[1]亏[5]愧[3]跪[2]奎葵愧{傀儡}逵
l[5]虑[2]驴
n[5]玉[3]语女汝
t[5]绿[3]积吕旅
tɕ[1]猪租驹珠拘朱殊诛[5]拒烛矩{规矩；循规蹈矩}竹筑祝[3]举煮[2]贵{白读}据醉句锯{锯子；锯木头}
