					#调值 [1]31 [3]213 [5]53
末	m	ɤ	53		
脱	tʰ	ɤ	213		
夺	t	ɤ	53		
阔	kʰ	uə	53		
活	x	uə	53		
顽	Ǿ	uan	53		
滑	x	ua	53		
挖	Ǿ	ua	31		
闩	tsʰ	an	31		
关	k	uan	31		
惯	k	uan	53		
还	x	uan	53		
还	x	ai	53		
弯	Ǿ	uan	31		
刷	s	ua	213		
刮	k	ua	213		
全	tɕʰ	yɛn	53		
选	ɕ	yɛn	213		
转	ts	uan	213		
传	tsʰ	uan	53		
传	ts	uan	53		
砖	ts	uan	31		
船	tsʰ	uan	53		
软	Ǿ	yɛn	213		
卷	tɕ	yɛn	213		
圈	tɕʰ	yɛn	31		
权	tɕʰ	yɛn	53		
圆	Ǿ	yɛn	53		
院	Ǿ	yɛn	53		
铅	tɕʰ	iɛn	31		
绝	tɕ	yɛ	53		
雪	ɕ	yɛ	213		
反	f	an	213		
翻	f	an	31		
饭	f	an	53		
晚	Ǿ	uan	213		
万	Ǿ	uan	53		
劝	tɕʰ	yɛn	53		
原	Ǿ	yɛn	53		
冤	Ǿ	yɛn	31		
园	Ǿ	yɛn	31	菜～子	
园	Ǿ	yɛn	53	公～儿	
远	Ǿ	yɛn	213		
发	f	a	213		
罚	f	a	53		
袜	Ǿ	ua	213		
月	Ǿ	yɛ	213	九个～，闰～	
月	Ǿ	yɛ	53	九～	
越	Ǿ	yɛ	53		
县	ɕ	iɛn	53		
决	tɕ	yɛ	53		
缺	tɕʰ	yɛ	213		
血	ɕ	iɛ	213		
吞	tʰ	ən	31		
根	k	ən	31		
恨	x	ən	53		
恩	Ǿ	ən	31		
贫	pʰ	in	53		
民	m	in	53		
邻	l	in	53		
进	tɕ	in	53		
亲	tɕʰ	in	31		
新	ɕ	in	31		
镇	ts	ən	53		
陈	tsʰ	ən	53		
震	ts	ən	53		
神	s	ən	53		
身	s	ən	31		
辰	tsʰ	ən	53		
人	Ǿ	in	31		
认	Ǿ	in	53		
紧	tɕ	in	213		
银	Ǿ	in	53		
印	Ǿ	in	53		
引	Ǿ	in	213		
笔	p	i	213		
匹	pʰ	i	31		
密	m	i	213	种得～	
密	m	i	53	～山，泄～	
栗	l	ei	53		
七	tɕʰ	i	213		
侄	ts	ɿ	53		
虱	s	ɿ	213		
实	ʂ	ʅ	53		
失	ʂ	ʅ	213		
日	Ǿ	i	53		
吉	tɕ	i	213		
一	Ǿ	i	213		
筋	tɕ	in	31		
劲	tɕ	in	53		
勤	tɕʰ	in	53		
近	tɕ	in	53		
隐	Ǿ	in	213		
本	p	ən	213		
盆	pʰ	ən	53		
门	m	ən	31		
墩	t	ən	31		
嫩	l	ən	53		
村	tsʰ	uən	31		
寸	tsʰ	ən	53		
蹲	t	ən	31		
孙	s	ən	31		
滚	k	uən	213		
困	kʰ	uən	53		
婚	x	uən	31		
魂	x	uən	53		
温	Ǿ	uən	31		
卒	ts	u	53		
骨	k	u	213		
轮	l	ən	53		
俊	tɕ	yn	53		
笋	s	uən	213		
准	ts	uən	213		
春	tsʰ	uən	31		
唇	tsʰ	uən	53		
顺	s	uən	53		
纯	tsʰ	uən	53		
闰	Ǿ	yn	53		
均	tɕ	yn	31		
匀	Ǿ	yn	31		
律	l	y	53		
出	tɕʰ	y	213	又	
出	tsʰ	u	213	又	
橘	tɕ	y	53		
分	f	ən	31		
粉	f	ən	213		
粪	f	ən	53		
坟	f	ən	53		
蚊	Ǿ	uən	31		
问	Ǿ	uən	53		
军	tɕ	yn	31		
裙	tɕʰ	yn	53		
熏	ɕ	yn	31		
云	Ǿ	yn	31		
运	Ǿ	yn	53		
佛	f	ɤ	53		
物	Ǿ	u	53		
帮	p	ɑŋ	31		
忙	m	ɑŋ	31		
党	t	ɑŋ	213		
汤	tʰ	ɑŋ	31		
糖	tʰ	ɑŋ	53		
浪	l	ɑŋ	53		
仓	tsʰ	ɑŋ	31		
钢	k	ɑŋ	31		
糠	kʰ	ɑŋ	31		
薄	p	ɤ	53		
摸	m	ɤ	31		
托	tʰ	uə	31		
落	l	uə	53	～他手里	
落	l	a	53	～家里	
作	ts	uə	53		
索	s	uə	213		
各	k	ɤ	53		
鹤	x	ɑu	53	仙～	
恶	Ǿ	ɤ	213		
娘	n	iɑŋ	53		
两	l	iɑŋ	213		
亮	l	iɑŋ	53		
浆	tɕ	iɑŋ	31		
抢	tɕʰ	iɑŋ	213		
匠	tɕ	iɑŋ	53		
想	ɕ	iɑŋ	213		
像	ɕ	iɑŋ	53		
张	ts	ɑŋ	31		
长	tsʰ	ɑŋ	53		
装	ts	uɑŋ	31		
壮	ts	uɑŋ	53		
疮	tsʰ	ɑŋ	31		
床	tsʰ	uɑŋ	53		
霜	s	uɑŋ	31		
章	ts	ɑŋ	31		
厂	tsʰ	ɑŋ	213		
唱	tsʰ	ɑŋ	53		
伤	s	ɑŋ	31		
尝	tsʰ	ɑŋ	53		
上	s	ɑŋ	53		
让	Ǿ	iɑŋ	53		
姜	tɕ	iɑŋ	31		
响	ɕ	iɑŋ	213		
向	ɕ	iɑŋ	53		
秧	Ǿ	iɑŋ	31		
痒	Ǿ	iɑŋ	213		
样	Ǿ	iɑŋ	53		
雀	tɕʰ	iɑu	213	白	
雀	tɕʰ	yɛ	213	文	
削	ɕ	yɛ	213		
着	ts	uə	53		
勺	s	uə	53		
弱	Ǿ	yɛ	53		
脚	tɕ	yɛ	213		
约	Ǿ	yɛ	31		
药	Ǿ	iɑu	53	白	
药	Ǿ	yɛ	213	文	
光	k	uɑŋ	31		
慌	x	uɑŋ	31		
黄	x	uɑŋ	53		
郭	k	uə	213		
霍	x	uə	213		
方	f	ɑŋ	31		
放	f	ɑŋ	53		
纺	f	ɑŋ	213		
房	f	ɑŋ	53		
防	f	ɑŋ	213		
网	Ǿ	uɑŋ	213		
筐	kʰ	uɑŋ	31		
狂	kʰ	uɑŋ	53		
王	Ǿ	uɑŋ	53		
旺	Ǿ	uɑŋ	53		
缚	f	u	53		
绑	p	ɑŋ	213		
胖	pʰ	ɑŋ	53		
棒	p	ɑŋ	53		
桩	ts	uɑŋ	31		
撞	tsʰ	uɑŋ	53		
窗	tsʰ	uɑŋ	31		
双	s	uɑŋ	31		
江	tɕ	iɑŋ	31		
讲	tɕ	iɑŋ	213		
降	ɕ	iɑŋ	53		
项	ɕ	iɑŋ	53		
剥	p	ɤ	53		
桌	ts	uə	213		
镯	ts	uə	53		
角	tɕ	ia	213	桌～	
角	tɕ	iɑu	213	三～	
壳	kʰ	ɤ	53		
学	ɕ	yɛ	53		
握	Ǿ	uə	213		
朋	pʰ	əŋ	53		
灯	t	əŋ	31		
等	t	əŋ	213		
凳	t	əŋ	53		
藤	tʰ	əŋ	53		
能	n	əŋ	53		
层	tsʰ	əŋ	53		
僧	s	əŋ	31		
肯	kʰ	ən	213		
北	p	ɤ	213		
墨	m	i	53	～水（毛笔水）	
墨	m	ɤ	213	～黑	
得	t	ɤ	213		
特	tʰ	ɤ	53		
贼	tʂ	ɤ	53		
塞	ʂ	ɤ	213	～住	
刻	kʰ	ɤ	213	用力～	
黑	x	ei	31	白	
黑	x	ɤ	213	文	
冰	p	iŋ	31		
证	ts	əŋ	53		
秤	tsʰ	əŋ	53		
绳	s	əŋ	53		
剩	s	əŋ	53		
升	s	əŋ	31		
兴	ɕ	iŋ	53		
蝇	Ǿ	iŋ	31		
逼	p	i	213		
力	l	ei	53		
息	ɕ	i	213		
直	tʂ	ʅ	53		
侧	tʂʰ	ɤ	53		
测	tʂʰ	ɤ	53		
色	ʂ	ɤ	213		
织	ts	ɿ	213		
食	ʂ	ʅ	53		
式	ʂ	ʅ	53		
极	tɕ	i	213	积～	
极	tɕ	i	53	南～	
国	k	uə	213		
或	x	ɤ	53		
猛	m	əŋ	213		
打	t	a	213		
冷	l	əŋ	213		
生	s	əŋ	31		
省	s	əŋ	213		
更	tɕ	iŋ	31	打～	
更	k	əŋ	31	三～	
梗	k	əŋ	213		
坑	kʰ	əŋ	31		
硬	Ǿ	iŋ	53		
行	ɕ	iŋ	53		
百	p	ai	213		
拍	pʰ	ai	31	～人，白	
拍	pʰ	ɤ	31	～打，文	
白	p	ai	53	白	
白	p	ɤ	53	文	
拆	tsʰ	ai	31	白	
拆	tsʰ	ɤ	213	文	
择	ts	ɤ	53	～菜	
窄	ts	ai	213	白	
窄	ts	ɤ	213	文	
格	k	ɤ	213		
客	kʰ	ɤ	213	来～	
客	kʰ	ɤ	53	～车	
额	Ǿ	ɤ	213	～外	
棚	pʰ	əŋ	53		
争	ts	əŋ	31		
耕	k	əŋ	31		
麦	m	ai	53	白	
麦	m	ɤ	213	文	
摘	ts	ai	213	白	
摘	tʂ	ɤ	213	文	
策	tʂʰ	ɤ	53		
隔	k	ɤ	213		
兵	p	iŋ	31		
柄	p	iŋ	213		
平	pʰ	iŋ	53		
病	p	iŋ	53		
明	m	iŋ	53		
命	m	iŋ	53		
镜	tɕ	iŋ	53		
庆	tɕʰ	iŋ	53		
迎	Ǿ	iŋ	31		
影	Ǿ	iŋ	213		
剧	tɕ	y	53		
饼	p	iŋ	213		
名	m	iŋ	31	～儿	
名	m	iŋ	53	有～，出～	
领	l	iŋ	213		
井	tɕ	iŋ	213		
清	tɕʰ	iŋ	31		
静	tɕ	iŋ	53		
姓	ɕ	iŋ	53		
贞	ts	ən	31		
程	tsʰ	əŋ	53		
整	ts	əŋ	213		
正	ts	əŋ	53		
声	s	əŋ	31		
城	tsʰ	əŋ	53		
轻	tɕʰ	iŋ	31		
赢	Ǿ	iŋ	31		
积	tɕ	i	213		
惜	ɕ	i	213		
席	ɕ	i	53		
尺	tʂʰ	ʅ	213		
石	ʂ	ʅ	53		
益	Ǿ	i	53		
瓶	pʰ	iŋ	53		
钉	t	iŋ	31		
顶	t	iŋ	213		
厅	tʰ	iŋ	31		
听	tʰ	iŋ	31		
停	tʰ	iŋ	213		
挺	tʰ	iŋ	213		
定	t	iŋ	53		
零	l	iŋ	31		
青	tɕ	iŋ	31		
星	ɕ	iŋ	31		
经	tɕ	iŋ	31		
形	ɕ	iŋ	53		
壁	p	i	53		
劈	pʰ	i	213		
踢	tʰ	i	213		
笛	t	i	53		
历	l	ei	53		
锡	ɕ	i	213		
击	tɕ	i	31		
吃	tɕʰ	i	213	又	
吃	tʂʰ	ʅ	213	又	
横	x	əŋ	53		
划	x	ua	53		
兄	ɕ	yoŋ	31		
荣	Ǿ	yoŋ	53		
永	Ǿ	yoŋ	213		
营	Ǿ	iŋ	53		
蓬	pʰ	əŋ	53		
东	t	oŋ	31		
懂	t	oŋ	213		
冻	t	oŋ	53		
通	tʰ	oŋ	31		
桶	tʰ	oŋ	213		
痛	tʰ	oŋ	53		
铜	tʰ	oŋ	53		
动	t	oŋ	53		
洞	t	oŋ	53		
聋	l	oŋ	31		
弄	n	əŋ	53		
粽	ts	əŋ	53		
葱	tsʰ	oŋ	31		
送	s	oŋ	53		
公	k	oŋ	31		
孔	kʰ	oŋ	213		
烘	x	oŋ	31		
红	x	oŋ	53		
翁	Ǿ	oŋ	31		
木	m	u	213	手～了	
木	m	u	53	～头	
读	t	u	53		
鹿	l	u	213		
族	ts	u	213		
谷	k	u	213		
哭	kʰ	u	213		
屋	Ǿ	u	31		
冬	t	oŋ	31		
统	tʰ	oŋ	213		
脓	n	oŋ	31		
松	s	oŋ	31		
宋	s	oŋ	53		
毒	t	u	53		
风	f	əŋ	31		
丰	f	əŋ	31		
凤	f	əŋ	53		
梦	m	əŋ	53		
中	ts	oŋ	31		
虫	tsʰ	oŋ	53		
终	ts	oŋ	31		
充	tsʰ	oŋ	31		
宫	k	oŋ	31		
穷	tɕʰ	yoŋ	53		
熊	ɕ	yoŋ	53		
雄	ɕ	yoŋ	31		
福	f	u	213		
服	f	u	53		
目	m	u	53		
六	l	iəu	53		
宿	ɕ	y	213		
竹	ts	u	213		
畜	tsʰ	u	53		
缩	s	uə	53		
粥	ts	əu	31		
叔	ɕ	y	213	又	
叔	s	u	213	又	
熟	ɕ	y	53	又	
熟	s	u	53	又	
肉	Ǿ	iəu	53		
菊	tɕ	y	213		
育	Ǿ	y	53		
封	f	əŋ	31		
蜂	f	əŋ	31		
缝	f	əŋ	53		
浓	n	oŋ	53		
龙	l	oŋ	53		
松	ɕ	yoŋ	31		
重	ts	oŋ	53		
肿	ts	oŋ	213		
种	ts	oŋ	53		
冲	tsʰ	oŋ	31		
恭	k	oŋ	53		
