cid	character	initial	final	tone	note
312	庙	m	iɔ	212	
313	焦	tɕ	iɔ	53	
314	小	ɕ	iɔ	44	
315	笑	ɕ	iɔ	212	
316	朝	tʂh	ɔ	31	
317	照	tʂ	ɔ	212	
318	烧	ʂ	ɔ	53	
319	绕	ʐ	ɔ	44	
320	桥	tɕh	iɔ	31	
321	轿	tɕh	iɔ	212	
322	腰	∅	iɔ	53	
323	要	∅	iɔ	212	
324	摇	∅	iɔ	31	
325	鸟	ȵ	iɔ	44	
326	钓	t	iɔ	53	
327	条	th	iɔ	31	
328	料	l	iɔ	212	
329	箫	ɕ	iɔ	53	
330	叫	tɕ	iɔ	212	
331	母	m	u	44	
332	抖	t	ou	44	
333	偷	th	ou	53	
334	头	th	ou	31	
335	豆	t	ou	212	
336	楼	l	ou	31	
337	走	ts	ou	44	
338	凑	tsh	ou	212	
339	钩	k	ou	53	
340	狗	k	ou	44	
341	够	k	ou	212	
342	口	kh	ou	44	
343	藕	ŋ	ou	44	
344	后	x	ou	212	
345	厚	x	ou	212	
346	富	f	u	212	
347	副	f	u	212	
348	浮	f	u	31	
349	妇	f	u	212	
350	流	l	iou	31	
351	酒	tɕ	iou	44	
352	修	ɕ	iou	53	
353	袖	ɕ	iou	212	
354	抽	tʂh	ou	53	
355	绸	tʂh	ou	31	
356	愁	tʂh	ou	31	
357	瘦	s	ou	212	
358	州	tʂ	ou	53	
359	臭	tʂh	ou	212	
360	手	ʂ	ou	44	
361	寿	ʂ	ou	212	
362	九	tɕ	iou	44	
363	球	tɕh	iou	31	
364	舅	tɕ	iou	212	
365	旧	tɕh	iou	212	白
365	旧	tɕ	iou	212	文
366	牛	ŋ	ou	31	一头～
366	牛	ȵ	iou	31	姓
367	休	ɕ	iou	53	
368	优	∅	iou	53	
369	有	∅	iou	44	
370	右	∅	iou	212	
371	油	∅	iou	31	
372	丢	t	iou	53	
373	幼	∅	iou	212	
374	贪	th	æ̃	53	
375	潭	th	æ̃	31	
376	南	n	æ̃	31	
377	蚕	tsh	æ̃	31	
378	感	k	æ̃	44	
379	含	x	æ̃	31	
380	暗	ŋ	æ̃	212	
381	搭	t	a	53	
382	踏	th	a	31	
383	拉	l	a	53	
384	杂	ts	a	53	
385	鸽	k	uə	53	
386	盒	x	uə	31	
387	胆	t	æ̃	44	
388	毯	th	æ̃	44	
389	淡	t	æ̃	212	
390	蓝	l	æ̃	31	
391	三	s	æ̃	53	
392	甘	k	æ̃	53	
393	敢	k	æ̃	44	
394	喊	x	æ̃	44	
395	塔	th	a	53	
396	蜡	l	a	53	
397	赚	tʂ	uæ̃	212	
398	杉	s	æ̃	53	
399	减	tɕ	iæ̃	44	
400	咸	ɕ	æ̃	31	
401	插	tsh	a	53	
402	闸	ts	a	44	
403	夹	tɕ	ia	53	
404	衫	s	æ̃	53	
405	监	tɕ	iæ̃	53	
406	岩	∅	iæ̃	31	
407	甲	tɕ	ia	53	
408	鸭	∅	ia	53	
