D0序	D0用字	注例	声类	清浊	韵类	摄	开合	等	韵	调类	舒入	平仄	记音	备注
186	嫁		见	全清	假开二禡	假	开	二	禡	去	舒	仄		
187	稼		见	全清	假开二禡	假	开	二	禡	去	舒	仄		
188	價		见	全清	假开二禡	假	开	二	禡	去	舒	仄		
189	揢		溪	次清	假开二禡	假	开	二	禡	去	舒	仄		
190	牙		疑	次浊	假开二麻	假	开	二	麻	平	舒	平		
191	蚜		疑	次浊	假开二麻	假	开	二	麻	平	舒	平		
192	芽		疑	次浊	假开二麻	假	开	二	麻	平	舒	平		
193	衙		疑	次浊	假开二麻	假	开	二	麻	平	舒	平		
194	伢		疑	次浊	假开二麻	假	开	二	麻	平	舒	平		
195	雅		疑	次浊	假开二马	假	开	二	马	上	舒	仄		
196	砑		疑	次浊	假开二禡	假	开	二	禡	去	舒	仄		
197	蝦	(鱼～)	晓	清	假开二麻	假	开	二	麻	平	舒	平		
198	𨉣	(～腰)	晓	清	假开二麻	假	开	二	麻	平	舒	平		
199	嚇	(～一跳)	晓	清	假开二禡	假	开	二	禡	去	舒	仄		
200	霞		匣	全浊	假开二麻	假	开	二	麻	平	舒	平		
201	瑕		匣	全浊	假开二麻	假	开	二	麻	平	舒	平		
202	遐		匣	全浊	假开二麻	假	开	二	麻	平	舒	平		
203	蝦	(～蟆)	匣	全浊	假开二麻	假	开	二	麻	平	舒	平		
204	下	(底～)	匣	全浊	假开二马	假	开	二	马	上	舒	仄		
205	夏	(姓)	匣	全浊	假开二马	假	开	二	马	上	舒	仄		
206	廈	(～门)	生	清	假开二禡	假	开	二	禡	去	舒	仄		
207	下	(～降)	匣	全浊	假开二禡	假	开	二	禡	去	舒	仄		
208	夏	(春～)	匣	全浊	假开二禡	假	开	二	禡	去	舒	仄		
209	暇		匣	全浊	假开二禡	假	开	二	禡	去	舒	仄		
210	鴉		影	全清	假开二麻	假	开	二	麻	平	舒	平		
211	丫		影	全清	假开二麻	假	开	二	麻	平	舒	平		
212	椏		影	全清	假开二麻	假	开	二	麻	平	舒	平		
213	啞		影	全清	假开二马	假	开	二	马	上	舒	仄		
214	亞		影	全清	假开二禡	假	开	二	禡	去	舒	仄		
215	姐		精	全清	假开三马	假	开	三	马	上	舒	仄		
216	借		精	全清	假开三禡	假	开	三	禡	去	舒	仄		
217	且		清	次清	假开三马	假	开	三	马	上	舒	仄		
218	笡		清	次清	假开三禡	假	开	三	禡	去	舒	仄		
219	藉	(～故)	从	全浊	假开三禡	假	开	三	禡	去	舒	仄		
220	褯		从	全浊	假开三禡	假	开	三	禡	去	舒	仄		
221	些		心	清	假开三麻	假	开	三	麻	平	舒	平		
222	寫		心	清	假开三马	假	开	三	马	上	舒	仄		
223	瀉		心	清	假开三禡	假	开	三	禡	去	舒	仄		
224	卸		心	清	假开三禡	假	开	三	禡	去	舒	仄		
225	邪		邪	全浊	假开三麻	假	开	三	麻	平	舒	平		
226	斜		邪	全浊	假开三麻	假	开	三	麻	平	舒	平		
227	謝		邪	全浊	假开三禡	假	开	三	禡	去	舒	仄		
228	爹		知	全清	假开三麻	假	开	三	麻	平	舒	平		
229	遮		章	全清	假开三麻	假	开	三	麻	平	舒	平		
230	者		章	全清	假开三马	假	开	三	马	上	舒	仄		
231	蔗		章	全清	假开三禡	假	开	三	禡	去	舒	仄		
232	車	(坐～)	昌	次清	假开三麻	假	开	三	麻	平	舒	平		
233	扯		昌	次清	假开三马	假	开	三	马	上	舒	仄		
234	蛇		船	全浊	假开三麻	假	开	三	麻	平	舒	平		
235	射	(祃韵)	船	全浊	假开三禡	假	开	三	禡	去	舒	仄		
236	麝		船	全浊	假开三禡	假	开	三	禡	去	舒	仄		
237	奢		书	清	假开三麻	假	开	三	麻	平	舒	平		
238	賒		书	清	假开三麻	假	开	三	麻	平	舒	平		
239	捨	(～弃)	书	清	假开三马	假	开	三	马	上	舒	仄		
240	赦		书	清	假开三禡	假	开	三	禡	去	舒	仄		
241	舍	(宿～)	书	清	假开三禡	假	开	三	禡	去	舒	仄		
242	騇		书	清	假开三禡	假	开	三	禡	去	舒	仄		
243	佘		禅	全浊	假开三麻	假	开	三	麻	平	舒	平		
244	畲		禅	全浊	假开三麻	假	开	三	麻	平	舒	平		
245	社		禅	全浊	假开三马	假	开	三	马	上	舒	仄		
246	惹		日	次浊	假开三马	假	开	三	马	上	舒	仄		
247	耶		以	次浊	假开三麻	假	开	三	麻	平	舒	平		
248	椰		以	次浊	假开三麻	假	开	三	麻	平	舒	平		
249	爺		以	次浊	假开三麻	假	开	三	麻	平	舒	平		
250	也		以	次浊	假开三马	假	开	三	马	上	舒	仄		
251	野		以	次浊	假开三马	假	开	三	马	上	舒	仄		
252	夜		以	次浊	假开三禡	假	开	三	禡	去	舒	仄		
253	髽		庄	全清	假合二麻	假	合	二	麻	平	舒	平		
254	傻		生	清	假合二马	假	合	二	马	上	舒	仄		
255	耍		生	清	假合二马	假	合	二	马	上	舒	仄		
256	瓜		见	全清	假合二麻	假	合	二	麻	平	舒	平		
257	蝸		见	全清	假合二麻	假	合	二	麻	平	舒	平		
258	寡		见	全清	假合二马	假	合	二	马	上	舒	仄		
259	剮		见	全清	假合二马	假	合	二	马	上	舒	仄		
260	誇		溪	次清	假合二麻	假	合	二	麻	平	舒	平		
261	侉		溪	次清	假合二马	假	合	二	马	上	舒	仄		
262	垮		溪	次清	假合二马	假	合	二	马	上	舒	仄		
263	跨		溪	次清	假合二禡	假	合	二	禡	去	舒	仄		
264	娃		疑	次浊	假合二麻	假	合	二	麻	平	舒	平		
265	瓦	(上声，名词，砖～)	疑	次浊	假合二马	假	合	二	马	上	舒	仄		
266	瓦	(去声，动词，～刀)	疑	次浊	假合二禡	假	合	二	禡	去	舒	仄		
267	花		晓	清	假合二麻	假	合	二	麻	平	舒	平		
268	化		晓	清	假合二禡	假	合	二	禡	去	舒	仄		
269	華	(中～)	匣	全浊	假合二麻	假	合	二	麻	平	舒	平		
270	鏵		匣	全浊	假合二麻	假	合	二	麻	平	舒	平		
271	划	(～船)	匣	全浊	假合二麻	假	合	二	麻	平	舒	平		
272	華	(～山，姓)	匣	全浊	假合二禡	假	合	二	禡	去	舒	仄		
273	樺		匣	全浊	假合二禡	假	合	二	禡	去	舒	仄		
274	蛙	(麻韵)	影	全清	假合二麻	假	合	二	麻	平	舒	平		
275	窪		影	全清	假合二麻	假	合	二	麻	平	舒	平		
276	補		帮	全清	遇合一姥	遇	合	一	姥	上	舒	仄		
277	譜		帮	全清	遇合一姥	遇	合	一	姥	上	舒	仄		
278	哺		帮	全清	遇合一姥	遇	合	一	姥	上	舒	仄		
279	布	(棉～)	帮	全清	遇合一暮	遇	合	一	暮	去	舒	仄		
280	佈	(佈。宣～)	帮	全清	遇合一暮	遇	合	一	暮	去	舒	仄		
281	鋪	(～设)	滂	次清	遇合一模	遇	合	一	模	平	舒	平		
282	普		滂	次清	遇合一姥	遇	合	一	姥	上	舒	仄		
283	浦		滂	次清	遇合一姥	遇	合	一	姥	上	舒	仄		
284	鋪	(店～)	滂	次清	遇合一暮	遇	合	一	暮	去	舒	仄		
285	怖		滂	次清	遇合一暮	遇	合	一	暮	去	舒	仄		
286	蒲		并	全浊	遇合一模	遇	合	一	模	平	舒	平		
287	菩		并	全浊	遇合一模	遇	合	一	模	平	舒	平		
288	葡		并	全浊	遇合一模	遇	合	一	模	平	舒	平		
289	莆		并	全浊	遇合一模	遇	合	一	模	平	舒	平		
290	脯	(胸～)	并	全浊	遇合一模	遇	合	一	模	平	舒	平		
291	部		并	全浊	遇合一姥	遇	合	一	姥	上	舒	仄		
292	簿		并	全浊	遇合一姥	遇	合	一	姥	上	舒	仄		
293	步		并	全浊	遇合一暮	遇	合	一	暮	去	舒	仄		
294	捕		并	全浊	遇合一暮	遇	合	一	暮	去	舒	仄		
295	埠		并	全浊	遇合一暮	遇	合	一	暮	去	舒	仄		
296	模	(～子)	明	次浊	遇合一模	遇	合	一	模	平	舒	平		
297	模	(～范)	明	次浊	遇合一模	遇	合	一	模	平	舒	平		
298	摹		明	次浊	遇合一模	遇	合	一	模	平	舒	平		
299	姥		明	次浊	遇合一姥	遇	合	一	模	上	舒	仄		
300	暮		明	次浊	遇合一暮	遇	合	一	暮	去	舒	仄		
301	慕		明	次浊	遇合一暮	遇	合	一	暮	去	舒	仄		
302	墓		明	次浊	遇合一暮	遇	合	一	暮	去	舒	仄		
303	募		明	次浊	遇合一暮	遇	合	一	暮	去	舒	仄		
304	睦		明	次浊	遇合一暮	遇	合	一	暮	去	舒	仄		
305	都	(～城)	端	全清	遇合一模	遇	合	一	模	平	舒	平		
306	都	(～是)	端	全清	遇合一模	遇	合	一	模	平	舒	平		
307	堵		端	全清	遇合一姥	遇	合	一	姥	上	舒	仄		
308	賭		端	全清	遇合一姥	遇	合	一	姥	上	舒	仄		
309	肚	(鱼～，猪～)	端	全清	遇合一姥	遇	合	一	姥	上	舒	仄		
310	睹		端	全清	遇合一姥	遇	合	一	姥	上	舒	仄		
311	妬		端	全清	遇合一暮	遇	合	一	暮	去	舒	仄		
312	土		透	次清	遇合一姥	遇	合	一	姥	上	舒	仄		
313	吐	(～痰)	透	次清	遇合一姥	遇	合	一	姥	上	舒	仄		
314	吐	(呕～)	透	次清	遇合一暮	遇	合	一	暮	去	舒	仄		
315	兔		透	次清	遇合一暮	遇	合	一	暮	去	舒	仄		
316	徒		定	全浊	遇合一模	遇	合	一	模	平	舒	平		
317	屠		定	全浊	遇合一模	遇	合	一	模	平	舒	平		
318	途		定	全浊	遇合一模	遇	合	一	模	平	舒	平		
319	塗		定	全浊	遇合一模	遇	合	一	模	平	舒	平		
320	圖		定	全浊	遇合一模	遇	合	一	模	平	舒	平		
321	杜		定	全浊	遇合一姥	遇	合	一	姥	上	舒	仄		
322	肚	(～子疼)	定	全浊	遇合一姥	遇	合	一	姥	上	舒	仄		
323	度		定	全浊	遇合一暮	遇	合	一	暮	去	舒	仄		
324	渡		定	全浊	遇合一暮	遇	合	一	暮	去	舒	仄		
325	鍍		定	全浊	遇合一暮	遇	合	一	暮	去	舒	仄		
326	奴		泥	次浊	遇合一模	遇	合	一	模	平	舒	平		
327	努		泥	次浊	遇合一姥	遇	合	一	姥	上	舒	仄		
328	怒		泥	次浊	遇合一暮	遇	合	一	暮	去	舒	仄		
329	盧		来	次浊	遇合一模	遇	合	一	模	平	舒	平		
330	爐		来	次浊	遇合一模	遇	合	一	模	平	舒	平		
331	蘆		来	次浊	遇合一模	遇	合	一	模	平	舒	平		
332	鸕		来	次浊	遇合一模	遇	合	一	模	平	舒	平		
333	顱		来	次浊	遇合一模	遇	合	一	模	平	舒	平		
334	魯		来	次浊	遇合一姥	遇	合	一	姥	上	舒	仄		
335	櫓		来	次浊	遇合一姥	遇	合	一	姥	上	舒	仄		
336	虜		来	次浊	遇合一姥	遇	合	一	姥	上	舒	仄		
337	滷		来	次浊	遇合一姥	遇	合	一	姥	上	舒	仄		
338	路		来	次浊	遇合一暮	遇	合	一	暮	去	舒	仄		
339	賂		来	次浊	遇合一暮	遇	合	一	暮	去	舒	仄		
340	露		来	次浊	遇合一暮	遇	合	一	暮	去	舒	仄		
341	鷺		来	次浊	遇合一暮	遇	合	一	暮	去	舒	仄		
342	租		精	全清	遇合一模	遇	合	一	模	平	舒	平		
343	祖		精	全清	遇合一姥	遇	合	一	姥	上	舒	仄		
344	組		精	全清	遇合一姥	遇	合	一	姥	上	舒	仄		
345	做		精	全清	遇合一暮	遇	合	一	暮	去	舒	仄		
346	粗		清	次清	遇合一模	遇	合	一	模	平	舒	平		
347	醋		清	次清	遇合一暮	遇	合	一	暮	去	舒	仄		
348	措		清	次清	遇合一暮	遇	合	一	暮	去	舒	仄		
349	錯	(～误)	清	次清	遇合一暮	遇	合	一	暮	去	舒	仄		
350	蘇		心	清	遇合一模	遇	合	一	模	平	舒	平		
351	酥		心	清	遇合一模	遇	合	一	模	平	舒	平		
352	素		心	清	遇合一暮	遇	合	一	暮	去	舒	仄		
353	訴		心	清	遇合一暮	遇	合	一	暮	去	舒	仄		
354	塑		心	清	遇合一暮	遇	合	一	暮	去	舒	仄		
355	嗉		心	清	遇合一暮	遇	合	一	暮	去	舒	仄		
356	姑		见	全清	遇合一模	遇	合	一	模	平	舒	平		
