#i
p[2]皮疲脾琵枇[4]被{棉~}婢[6]被{~打}避备鼻
l[1]□{痒的感觉}[2]连联怜莲[5]□{滚动}[6]练炼链
tɕ[1]毡[3]展辗[5]战
ȵ[1]蔫{食物不新鲜}焉{心不在~}烟胭[2]然燃言研[5]燕{~子}
ɕ[1]煽搧{用巴掌打}[2]缠[4]善膳鳝缮[5]扇[6]单{姓}
k[1]肩坚[2]虔乾{~坤}[4]件[5]见[6]犍键建健腱
h[1]牵[3]遣[5]宪献
∅[2]贤弦舷[3]显[4]延筵演[5]咽宴[6]现谚彦堰

#un
p[2]盘盆[4]伴拌[6]绊
pʰ[1]潘番{~禺}[5]判叛
ɓ[1]般搬[3]本[5]半
m[1]瞒[2]门们[4]满[6]{闷}
f[1]宽欢[3]款
θ[1]酸宣喧萱煊暄孙狲[2]全泉存铨[3]选损[5]算蒜[6]旋璇漩
t[1]钻{动词}尊[2]团豚[4]断{~绝}[5]钻{~石}[6]锻段缎椴
tʰ[1]村[5]寸
ɗ[1]端蹲[3]短
n[3]□{被蚊子叮后凸起的小疾瘩}[4]暖[6]嫩
l[1]圞{圆}[2]鸾峦孪銮联{对~}[3]挛{弯曲，卷曲}□{追赶}[4]卵[5]恋[6]乱
ts[1]专砖[3]转{~移}[5]转{~圈}传{~记}篆
tsʰ[1]川穿[3]喘[5]窜{串}
s[2]传{~达}船
k[1]官棺观{参~}冠{衣~}捐娟鹃[2]拳权颧[3]莞管馆卷{试~}[5]贯灌罐冠{~军}倦眷券观{道~}
kʰ[3]捲卷{蛋~}
h[1]圈[3]犬[5]劝
∅[3]碗婉腕[4]玩{古~}[6]唤焕换涣痪

#yn
ȵ[2]原{~来}[3]□{刀不锋利}[4]软[6]愿
∅[1]渊冤鸢□{~水：冷水}[2]完丸圆员缘沿铅元原{草~}源袁辕猿园媛援玄悬[4]阮远[5]怨[6]院县眩炫

#aŋ
p[2]庞彭膨{~胀}[4]□{敲打}
pʰ[1]□{盛菜用的不锈钢碗或盘}
ɓ[1]乓
m[2]盲[4]猛
tsʰ[5]□{撑}

#iaŋ
θ[1]相{互~}箱厢湘襄镶[2]墙详祥翔[3]想[4]象像橡[5]相{~貌}
t[1]将{~来}浆[3]蒋奖桨[5]酱将{大~}
tʰ[1]枪[3]抢[5]呛炝
n[1]孃{伯母}[2]娘
l[2]良凉量{~长短}粮梁粱[3]辆两{斤~}[4]两{~个}[5]靓亮{动词}[6]亮{月~}量{数~}谅
tɕ[1]张章樟蟑彰漳[3]长{~大}涨掌[4]丈杖[5]仗{打~}帐账胀障{保~}瘴{~气}
tɕʰ[1]倡娼猖[3]□{用茅草等盖的棚子}[5]畅唱
ȵ[2]攘瓤{瓜~}[4]壤{土~}仰[6]酿让
ɕ[1]商伤[2]长{~短}肠场常尝裳偿嫦[3]赏[4]上{~山}[6]尚上{~面}
k[1]疆僵姜礓缰[2]强{~大}[3]□{植物的根}[4]强{勉~}
kʰ[1]羌=
h[1]香乡[3]享响饷[5]向
∅[1]央秧殃泱鸯[2]羊洋烊杨炀阳扬疡{溃~}[4]养痒氧[6]样漾恙

#uaŋ
∅[2]横

#ɐŋ
p[2]朋棚鹏硼篷蓬凭{文~}
pʰ[1]烹抨{~击}□{~}畀{你：分给你}[5]碰
ɓ[1]崩绷
m[1]□{拉}[2]萌盟[6]孟
θ[2]曾{~经}层[3]□{形容东西体积大}[5]擤{~鼻涕}[6]赠
t[1]曾{姓}增憎僧[2]腾誊藤疼[6]邓瞪
ɗ[1]登灯[3]等[5]凳
n[2]能[5]□两{物相连的状态，~住：连着}
l[1]□{拉}□{~衫：毛衣}[2]棱[5]愣
k[1]更{~换}庚羹耕□{绷紧}[3]埂{田~}耿[4]□{硌}[5]更{~加}
kʰ[1]坑[3]哽{骨~在喉}[5]□{能干}
ŋ[2]□{油状液体凝成块状}[5]□{用棍子打的动作}
h[1]亨[2]恒衡□{谷粒饱满}[3]肯[6]杏

#eŋ
p[2]凭{~借}平坪评苹瓶屏萍[4]并{~且}[6]病
pʰ[5]聘姘{~头}拼
ɓ[1]冰兵乒[3]丙秉柄饼并{合~}[5]柄□{搬运的动作}
m[2]鸣明名铭茗酩冥暝溟[3]□{形容东西数量少，~儿：一点点}[5]□{拥挤}[6]命
θ[1]星腥猩惺[2]情晴[3]省{反~}醒[4]静靖[5]性姓[6]净
t[1]精晶睛[2]亭停婷廷庭霆[3]井[4]蜓{蜻~}艇[6]锭定
tʰ[1]清青蜻厅汀[3]请[5]听{~话}
ɗ[1]丁钉叮盯[3]顶鼎[5]订腚{（果、蔬等）顶尖}□{投掷}
n[2]柠咛凝{汤~成冻了}宁{安~}[3]拧[6]宁{~可}佞
l[1]拎[2]陵凌绫菱灵零聆羚铃伶苓龄翎[4]冷领岭[6]令另
ts[1]征蒸争筝睁铮贞侦徵正{~月}[3]拯{~救}整[4]□{用脚踏}[5]证症正{~确}政
tsʰ[1]称{~呼}撑[3]逞[5]秤称{对~}
s[1]升生牲笙甥声[2]澄惩乘绳承丞呈程成城诚盛{~满}[3]省{~长，节~}[5]胜圣[6]剩盛{兴~}
k[1]京荆惊鲸经{~过}□{裂}[2]擎琼[3]茎境竟景警颈[5]敬镜[6]竞劲径
kʰ[1]倾[3]顷[5]□{动词，锁}
ŋ[6]硬
h[1]兴{~旺}轻{~重}馨卿氢[2]行{~为}[5]庆□{热}兴{高~}[6]幸

#ieŋ
ȵ[2]仍[6]认
∅[1]应{~当}鹰膺莺鹦樱英婴缨璎蝇[2]迎盈赢形型刑萤营[3]影映[4]莹滢[5]应{响~}

#ueŋ
∅[2]荣[3]颖[4]永沬咏[5]□{浪费}

#ɔŋ
p[2]滂旁螃[6]谤傍
pʰ[1]□{动词，锄}
ɓ[1]帮邦[3]绑
m[2]忙芒茫亡氓[4]莽蟒网罔[6]忘妄望
f[1]荒慌方芳[2]妨{~害}防肪{~脂}房[3]谎访纺仿彷{~佛}[5]放
θ[1]桑丧{~事}[2]藏{隐~}[5]丧{~失}[6]藏{西~}脏{心~}
t[1]赃脏[2]堂棠螳{~蜋}唐糖塘[5]葬[6]荡宕
tʰ[1]汤劏{宰杀}仓苍沧舱[3]躺淌倘{~使}[6]烫趟
ɗ[1]铛{当~}时[3]党档挡[5]当{~典}
n[1]裆{裤~}[2]囊[5]□{拉}
l[1]□{光滑}[2]郎廊狼蜋榔螂[3]哴{~口：漱口}[4]朗[5]埌[6]浪晾
ts[1]庄装桩妆[5]壮[6]状撞幢
tsʰ[1]疮窗[3]闯厂[5]创
s[1]霜孀双[2]床[3]爽
k[1]冈岗刚纲钢缸江豇光[2]狂扛[3]广讲港[5]钢杠降{下~}
kʰ[1]匡筐框哐诓眶{眼~}[5]抗亢扩邝旷况矿
h[1]康糠慷腔[2]行{银~}航杭降{投~}[4]项[5]炕{烤}[6]巷
∅[1]肮{~脏}

#uɔŋ
∅[1]汪[2]黄簧磺潢皇蝗惶煌凰王[3]枉[4]往[6]旺

#oŋ
p[2]□{水溢出来}
pʰ[1]缝{尘土飞扬}□{（苹果、芋头等）很面}[5]碰
ɓ[3]捧棒
m[1]幪{用布覆盖}[2]蒙蠓朦濛[3]懵{~懂}檬{柠~}[6]梦
f[1]风枫疯丰封峯蜂锋峰烽[2]冯逢缝{~衣服}[3]讽[5]俸[6]凤奉缝{一条~}
