字	注释	音
瞿	瞿然一驚	kei33
句		kei33
縷		lui13
取		ʦʰui25
聚		ʦɔi22
拄		ʦi25
柱		ʦʰi13
數	數一下	sou25
數	數字	sou33
數	數見不鮮	sɔk3
主		ʦi25
樹		si22
豎		si22
乳		ȵui13
乳		jui13
矩		kei25
煦		hei55
煦		hei33
噢	噢咿	ji25
噢	同「喔」	ɔ55
栩		hei25
雨	落雨	ji13
羽		ji13
宇		ji13
禹		ji13
愈		ji22
斧		fu25
脯	肉脯	pʰou25
脯	胸脯	fu25
俯		fu25
父		fu22
府		fu25
甫	臺甫	pʰou25
甫	十八甫	fu25
腐		fu22
輔		fu22
武		mou13
侮		mou13
鵡		mou13
舞		mou13
撫		fu25
剖	解剖	fɐu25
剖	剖腹產	pʰɐu25
屢		lui13
足	足跡	ʦʊk5
駐		ʦi33
逗	挑逗；逗留	tɐu33
逗	用作動詞，表示「招惹」	tɐu55
住		ʦi22
註		ʦi33
蛀		ʦi33
鑄		ʦi33
注		ʦi33
孺		ji22
遇		ji22
寓		ji22
嫗		ji25
喻		ji22
諭		ji22
籲		ji22
裕		ji22
付		fu22
搏		pɔk3
傅	師傅	fu22
賦		fu33
附		fu22
駙		fu22
務		mou22
霧		mou22
婺		mou22
僕		pʰʊk5
赴		fu22
具		kei22
懼		kei22
帶		tai33
汰		tʰai33
太		tʰai33
泰		tʰai33
大		tai22
兌		tui33
奈		nai22
奈		nɔi22
籟		lai22
賴		lai22
癩		lai22
最		ʦui33
蔡		ʦʰɔi33
蓋	杯蓋	kɔi33
膾		kʰui33
檜		kʰui33
丐		kʰɔi33
磕	訓讀：磕到頭	hɐm25
磕		hɐp2
轄		hɐk2
外		ŋɔi22
艾		ŋai22
渙		ʋuŋ22
會	會計；會計、會議	ʋui22
會	會游泳	ʋui13
繪	習讀音	ʋui22
繪		kʰui33
害		hɔi22
藹		ɔi25
貝		pui33
沛		pʰui33
狽		pui33
沫		muk2
喙		fui33
穢		ʋɐi33
廢		fei33
廢		fɐi33
吠		fɐi22
吠		fei33
肺		fei33
肺		fɐi33
寨		ʦai33
寨		ʦai22
快		fai33
快	口語變調，用以加強語氣。	fai25
話	電話	ʋa22
話	童話	ʋa25
喝		hɔk3
喝	白讀，表｛訓斥｝義，或借自遂城黎話	hʷɐk5
喝	白讀，表｛訓斥｝義，或借自遂城黎話	hʷa5
敗		pai22
邁		mai22
叉		ʦʰa55
查	檢查	ʦʰa22
查	查姓	ʦa55
柴		ʦʰai22
蝸		ʋɔ55
佳		kai55
街		kai55
媧		ʋɔ55
鞋		hai22
蛙		ʋa55
哇		ʋa55
娃		ʋa55
牌		pʰai22
牌	訓讀：撲克	pʰɛ55
枴		kʷai25
夥		fɔ25
解	解決	kai25
解	解姓	hai22
蟹		hai13
矮		ai25
擺		pai25
買		mai13
拐		kʷai25
債		ʦai33
掛		kʷa33
掛		kʰʷa33
懈		hai22
卦		kʷa33
邂		hai13
畫	圖畫	ʋa25
畫	畫圖	ʋak2
賣		mai22
派		pʰai33
齋		ʦai55
階		kai55
楷	楷書	hai22
楷	楷樹；正楷	kai55
偕		kai55
皆		kai55
乖		kʷai55
匯		ʋui22
骸		hai22
淮		ʋai22
槐		ʋai22
懷		ʋai22
諧		hai22
排		pʰai22
霾		mai22
埋		mai22
駭		hɔi22
挨		ai55
殺	殺敵	sak3
殺	殺哀；漢·鄭玄·注：「殺，差也。」	sai33
介		kai33
誡		kai33
壞		ʋai22
怪		kʷai33
屆		kai33
芥		kai33
尬		kai33
界		kai33
戒		kai33
劾		hɐk2
械		hai22
拜		pai33
扒	扒飯；扒手	pʰa22
扒	扒皮	pa55
憊		pei22
