拟音	韵别	反切	汉字及注释
səʔ7	入声格物韵（墨黑韵）	粟扼切	率(率领，又音律，积习异)摔蟀帅(统领，归韵阴去异)
pəʔ7	入声格物韵（墨黑韵）	卜扼切	拨钵
pʰəʔ7	入声格物韵（墨黑韵）	扑扼切	泼
fəʔ7	入声格物韵（墨黑韵）	福扼切	弗拂佛(仿佛。阳声异)
huəʔ7	入声格物韵（墨黑韵）	虎扼切	忽惚笏囫(俗读斛活切)
ŋəʔ8	入声格物韵（墨黑韵）	额扼切	兀
ʧəʔ7	入声格物韵（墨黑韵）	哲扼切	质(本质，兹韵阴去异)只(兹韵阴平同)炙桎窒职织汁执隻(俗叶豁韵)
ʧʰəʔ7	入声格物韵（墨黑韵）	出扼切	赤(俗叶豁韵)吃(食饮，又音吉音泣异)叱尺(俗叶豁韵)彳斥
ʃəʔ7	入声格物韵（墨黑韵）	设扼切	室识(知识，兹韵阴去异)失释式拭适饰湿
ʨiɪʔ7	入声格物韵（墨黑韵）	结扼切	吉给汲芨级击吃(口吃，又音赤音泣异)讫(又读泣)急戟棘激
ʨʰiɪʔ7	入声格物韵（墨黑韵）	怯扼切	泣乞隙诘吃(吃吃笑声，又音吉音赤异)
yɪʔ7	入声格物韵（墨黑韵）	迂决切	郁(忧愁)
ɕyɪʔ7	入声格物韵（墨黑韵）	许决切	洫
ʧʰəʔ7	入声格物韵（墨黑韵）	啜曷切	出黜(降职)出(一出戏)
ʨyɪʔ7	入声格物韵（墨黑韵）	决曷切	橘谲(欺诈)
ʨʰyɪʔ7	入声格物韵（墨黑韵）	曲曷切	屈
iɪʔ7	入声格物韵（墨黑韵）	谒曷切	一亿(俗叶妻韵阴去)忆(俗叶妻韵阴去)乙壹益邑揖抑
iɪʔ7	入声格物韵（墨黑韵）	乙结切	谒凹(娇韵阴平同)噎咽(哽咽，鲜韵异)
ɕiɪʔ7	入声格物韵（墨黑韵）	吸结切	歇蝎胁血
ɕiɪʔ7	入声格物韵（墨黑韵）	歇曷切	吸翕(合)
ʧəʔ7	入声格物韵（墨黑韵）	执曷切	折浙哲茁摺拙这
ʧʰəʔ7	入声格物韵（墨黑韵）	尺曷切	辙彻撤辍
ʃəʔ7	入声格物韵（墨黑韵）	失曷切	设摄说(论说，归韵阴去异)
ʨiɪʔ7	入声格物韵（墨黑韵）	吉曷切	结桔拮揭洁荚颊孑劫
ʨʰiɪʔ7	入声格物韵（墨黑韵）	泣曷切	怯慊(满足，鲜韵阴上异)惬(满意)
ʨyɪʔ7	入声格物韵（墨黑韵）	菊曷切	厥獗厥(昏厥)决诀
ʨʰyɪʔ7	入声格物韵（墨黑韵）	曲曷切	缺阕(乐终)
pəʔ7	入声格物韵（墨黑韵）	卜曷切	不(俗叶。叶笃韵)
ʨyɪʔ7	入声格物韵（墨黑韵）	决曷切	菊(俗叶。叶笃韵)
pʰəʔ7	入声格物韵（墨黑韵）	拍曷切	粕(俗叶。叶笃韵)
ʃəʔ7	入声格物韵（墨黑韵）	失曷切	刷(俗叶。叶豁韵)
kəʔ7	入声格物韵（墨黑韵）	格曷切	个(俗叶。叶姑韵阴去)
təʔ7	入声格物韵（墨黑韵）	得曷切	答(俗叶。叶豁韵)荅(俗叶。叶豁韵。小豆，又同答)
vəʔ8	入声格物韵（墨黑韵）	伏合切	物勿(又读拂)佛(佛教，阴声异)
ɦuəʔ8	入声格物韵（墨黑韵）	或合切	活
bəʔ8	入声格物韵（墨黑韵）	白合切	跋(俗叶豁达)荸鹁勃渤钹
məʔ8	入声格物韵（墨黑韵）	木合切	末抹(俗叶豁达)沫茉没殁
nəʔ8	入声格物韵（墨黑韵）	诺合切	讷呐(同讷，豁达韵异)
dəʔ8	入声格物韵（墨黑韵）	独合切	夺突
ɦəʔ8	入声格物韵（墨黑韵）	斛核切	合(会合，阴声异)盍盒(俗叶豁达)
məʔ8	入声格物韵（墨黑韵）	木核切	陌佰(阴声异，又音百)墨蓦万(万俟复姓，归还韵阳去万异)默脉(俗叶豁达)麦(俗叶豁达)
bəʔ8	入声格物韵（墨黑韵）	仆核切	白(俗叶豁达)帛
pʰəʔ7	入声格物韵（墨黑韵）	泼核切	舶(俗叶豁达)
ɦuəʔ8	入声格物韵（墨黑韵）	禾核切	或惑画(俗叶豁达。筹画，笳韵阳去异)划(俗叶豁达)获
ʒəʔ8	入声格物韵（墨黑韵）	直核切	宅(俗叶豁达)择泽翟(姓，又音狄，积习异)
dəʔ8	入声格物韵（墨黑韵）	铎核切	特
ləʔ8	入声格物韵（墨黑韵）	六核切	勒鳓肋
zəʔ8	入声格物韵（墨黑韵）	慈核切	贼
ŋəʔ8	入声格物韵（墨黑韵）	鄂核切	额(俗叶豁达)核(俗读活)劾格(格格不入，又音革，阴声异)
ʒəʔ8	入声格物韵（墨黑韵）	十核切	直值植殖蛰掷秩侄日
ʒəʔ8	入声格物韵（墨黑韵）	舌核切	石(俗叶豁达)硕(俗叶豁达)十廿(俗读念，叶鲜韵)什食蚀实拾(俗叶积习)
ʥiɪʔ8	入声格物韵（墨黑韵）	竭叶切	及岌笈极屐剧亟(急切，妻韵阴去异)
ȵiɪʔ8	入声格物韵（墨黑韵）	业叶切	匿溺
ɦiɪʔ8	入声格物韵（墨黑韵）	叶立切	亦奕弈弋液逸射(无射，音律名，鸠韵阳去异)绎译驿翼翊翌佾易(交易，妻韵阳去异)溢(俗读益)
ɦyɪʔ8	入声格物韵（墨黑韵）	月叶切	聿
ʒəʔ8	入声格物韵（墨黑韵）	十聿切	术述沭入
ʥyɪʔ8	入声格物韵（墨黑韵）	局聿切	倔掘崛
ʒəʔ8	入声格物韵（墨黑韵）	石协切	舌涉
ʒəʔ8	入声格物韵（墨黑韵）	日协切	热(俗读逆合切)
ȵiɪʔ8	入声格物韵（墨黑韵）	匿叶切	涅捏(俗叶豁达)聂逆
ʥiɪʔ8	入声格物韵（墨黑韵）	及协切	竭桀杰
ɦiɪʔ8	入声格物韵（墨黑韵）	亦涅切	叶(树叶)晔烨挟(俗叶豁达)业(俗读逆)孽(俗读逆合切)拽曳(妻韵阳去同)协叶(叶韵)页
ɦyɪʔ8	入声格物韵（墨黑韵）	聿橛切	月役疫日(俗叶豁达)悦(古作说)阅粤蜮域越穴
nəʔ8	入声格物韵（墨黑韵）	讷核切	纳(俗叶。叶豁达)
ɦiɪʔ8	入声格物韵（墨黑韵）	叶合切	洽(俗叶。叶豁达)
zəʔ8	入声格物韵（墨黑韵）	慈合切	杂(俗叶。叶豁达)
huaʔ7	入声豁达韵（邋遢韵）	忽挖切	豁辖
uaʔ7	入声豁达韵（邋遢韵）	沃刮切	挖
kuaʔ7	入声豁达韵（邋遢韵）	国挖切	刮
ʧaʔ7	入声豁达韵（邋遢韵）	责挖切	札扎
ʧʰaʔ7	入声豁达韵（邋遢韵）	策挖切	察擦插歃
ʃaʔ7	入声豁达韵（邋遢韵）	色答切	杀煞(笳韵阴去同)刹霎哈(姓，俗叶蛙蟆阳平)
ʃaʔ7	入声豁达韵（邋遢韵）	色挖切	刷(俗叶格韵)
ʨiaʔ7	入声豁达韵（邋遢韵）	结押切	甲胛夹秸戛(兵器)
ʨʰiaʔ7	入声豁达韵（邋遢韵）	怯押切	恰掐(用手指或指甲刺摘)
taʔ7	入声豁达韵（邋遢韵）	得押切	答(俗叶格韵)荅(俗叶格韵。小豆，又同答)搭𨱏(铁𨱏)笪(安韵阴上同)
tʰaʔ7	入声豁达韵（邋遢韵）	忒押切	塔塌拓(摹拓古碑)榻遢獭鞑挞踏(糟踏)
ʦaʔ7	入声豁达韵（邋遢韵）	则答切	币(又作匝)
saʔ7	入声豁达韵（邋遢韵）	塞札切	萨飒(又塞合切)撒
iaʔ7	入声豁达韵（邋遢韵）	乙甲切	押鸭轧(俗读搿匣切)压(俗读扼押切)
ɕiaʔ7	入声豁达韵（邋遢韵）	吸押切	瞎(俗读黑匣切)呷(俗读黑匣切)吓(俗读黑匣切)
paʔ7	入声豁达韵（邋遢韵）	百币切	八(俗叶笃韵)捌(俗叶笃韵)
faʔ7	入声豁达韵（邋遢韵）	勿答切	发法发(头发)
aʔ7	入声豁达韵（邋遢韵）	扼答切	阿(俗叶。叶笃韵。姑韵阴平异)
iaʔ7	入声豁达韵（邋遢韵）	乙押切	约(俗叶。叶笃韵)
ʧaʔ7	入声豁达韵（邋遢韵）	执答切	勺(俗叶。叶笃韵)妁(俗叶。叶笃韵)灼(俗叶。叶笃韵)酌(俗叶。叶笃韵)著(俗叶。叶笃韵。衣着，阳声异，躯韵阴去异)
ʧʰaʔ7	入声豁达韵（邋遢韵）	尺答切	绰(俗叶。叶笃韵)婥(俗叶。叶笃韵。婥约)
ʃaʔ7	入声豁达韵（邋遢韵）	失答切	烁(俗叶。叶笃韵)
ʨiaʔ7	入声豁达韵（邋遢韵）	吉押切	脚(俗叶。叶笃韵)
ʨʰiaʔ7	入声豁达韵（邋遢韵）	泣押切	却(俗叶。叶笃韵)
ʦiaʔ7	入声豁达韵（邋遢韵）	即押切	爵(俗叶。叶笃韵)雀(俗叶。叶笃韵)
ʦʰiaʔ7	入声豁达韵（邋遢韵）	七押切	鹊(俗叶。叶笃韵)
siaʔ7	入声豁达韵（邋遢韵）	昔押切	削(俗叶。叶笃韵)
kuaʔ7	入声豁达韵（邋遢韵）	国答切	括(俗叶。叶格韵)
ʦaʔ7	入声豁达韵（邋遢韵）	则答切	隻(俗叶。叶格韵)
ʦʰaʔ7	入声豁达韵（邋遢韵）	策答切	赤(俗叶。叶格韵)尺(俗叶。叶格韵)
pʰaʔ7	入声豁达韵（邋遢韵）	扑答切	拍(俗叶。叶格韵)珀(俗叶。叶格韵)
paʔ7	入声豁达韵（邋遢韵）	博答切	百(俗叶。叶格韵)佰(俗叶。叶格韵)伯(俗叶。叶格韵。笳韵阴去异)柏(俗叶。叶格韵)
kaʔ7	入声豁达韵（邋遢韵）	革押切	格(俗叶。叶格韵。音核异)骼(俗叶。叶格韵)隔(俗叶。叶格韵)革(俗叶。叶格韵)
kuaʔ7	入声豁达韵（邋遢韵）	国答切	掴(俗叶。叶格韵)
kʰaʔ7	入声豁达韵（邋遢韵）	克押切	客(俗叶。叶格韵)
ʦʰaʔ7	入声豁达韵（邋遢韵）	尺押切	策(俗叶。叶格韵)拆(俗叶。叶格韵)册(俗叶。叶格韵)
saʔ7	入声豁达韵（邋遢韵）	色答切	栅(俗叶。叶格韵)
daʔ8	入声豁达韵（邋遢韵）	特蜡切	达踏
naʔ8	入声豁达韵（邋遢韵）	讷蜡切	呐(唢呐，格物韵异)纳(俗叶格物)捺衲(千补百衲)
laʔ8	入声豁达韵（邋遢韵）	勒达切	腊邋蜡(蜡烛，笳韵阳去异)辣剌喇瘌拉(俗叶笳韵阴平)
zaʔ8	入声豁达韵（邋遢韵）	贼蜡切	杂(俗叶格物)
ʒaʔ8	入声豁达韵（邋遢韵）	是蜡切	闸煠(油氽)铡
ɦiaʔ8	入声豁达韵（邋遢韵）	协蜡切	侠峡狭匣狎洽(俗叶格物)
baʔ8	入声豁达韵（邋遢韵）	白蜡切	拔
vaʔ8	入声豁达韵（邋遢韵）	物蜡切	乏罚伐筏阀
ɦuaʔ8	入声豁达韵（邋遢韵）	胡滑切	袜(又读物伐切，俗读末滑切)滑(光溜，又音骨，格韵异)猾
liaʔ8	入声豁达韵（邋遢韵）	力侠切	略(俗叶。叶笃学)掠(俗叶。叶笃学)
ziaʔ8	入声豁达韵（邋遢韵）	疾侠切	嚼(俗叶。叶笃学)
ɦiaʔ8	入声豁达韵（邋遢韵）	叶侠切	药(俗叶。叶笃学)龠(俗叶。叶笃学)钥(俗叶。叶笃学)跃(俗叶。叶笃学)
ȵiaʔ8	入声豁达韵（邋遢韵）	捏侠切	虐(俗叶。叶笃学)疟(俗叶。叶笃学)
ʒaʔ8	入声豁达韵（邋遢韵）	直蜡切	著(俗叶。叶笃学。睡着，又作着，阴声异，躯韵阴去异)
ʒaʔ8	入声豁达韵（邋遢韵）	石蜡切	芍(俗叶。叶笃学)
ʒaʔ8	入声豁达韵（邋遢韵）	日蜡切	若(俗叶。叶笃学。如，归韵阳上异)弱(俗叶。叶笃学)
maʔ8	入声豁达韵（邋遢韵）	墨捏切	脉(俗叶。叶格物)麦(俗叶。叶格物)
baʔ8	入声豁达韵（邋遢韵）	勃药切	白(俗叶。叶格物)
pʰaʔ7	入声豁达韵（邋遢韵）	泼药切	舶(俗叶。叶格物)
ɦuaʔ8	入声豁达韵（邋遢韵）	斛滑切	画(俗叶。叶格物。策画，笳韵阳去异)划(俗叶。叶格物)
zaʔ8	入声豁达韵（邋遢韵）	直药切	宅(俗叶。叶格物)石(俗叶。叶格物)硕(俗叶。叶格物)
ŋaʔ8	入声豁达韵（邋遢韵）	鄂药切	额(俗叶。叶格物)
ȵiaʔ8	入声豁达韵（邋遢韵）	匿药切	捏(俗叶。叶格物)
ɦiaʔ8	入声豁达韵（邋遢韵）	叶蜡切	挟(俗叶。叶格物)
ɦyaʔ8	入声豁达韵（邋遢韵）	月蜡切	曰(俗叶。叶格物)
baʔ8	入声豁达韵（邋遢韵）	帛蜡切	跋(俗叶。叶格物)
ɦaʔ8	入声豁达韵（邋遢韵）	合蜡切	盒(俗叶。叶格物)
maʔ8	入声豁达韵（邋遢韵）	末蜡切	抹(俗叶。叶格物)
laʔ8	入声豁达韵（邋遢韵）	勒达切	猎(俗叶。叶积习)躐(俗叶。叶积习)
