序號	詞目	詞性	詞目索引	音讀	方言點	釋義	例句	相似詞	相反詞	對應音檔名稱
18	茶箍		詞目分類索引/器物用品 聲母索引/05 詔安/c/a/陽平(5/ˋ/53)	ca53 gu11　又讀ca53 ku11		肥皂。早期的肥皂是用榨過茶油的茶子渣，加入碎稻草壓製成圓塊狀，故稱「茶箍」。今多用化學方法製作，但仍延用此名。	例：先用茶箍拁手洗淨俐正來吃飯。(先用肥皂把手洗乾淨才來吃飯。)			
19	茶油		詞目分類索引/飲食 詞目分類索引/植物 聲母索引/05 詔安/c/a/陽平(5/ˋ/53)	ca53 rhiu53		由茶樹種子壓榨製成的油。可以食用，亦可製成護髮劑或治療燙傷的藥膏。	例：這兩子爺簡若食麵線攪茶油來過晝。(這父子倆只吃麵線拌茶油度過中餐。)			
20	茶青		詞目分類索引/飲食 詞目分類索引/植物 聲母索引/05 詔安/c/a/陽平(5/ˋ/53)	ca53 ciang11		從茶樹採摘下來的生葉原料。	例：今年个茶青價數猶毋會䆀。(今年的生茶葉價錢還不錯。)	茶芯		
21	茶芯		詞目分類索引/飲食 詞目分類索引/植物 聲母索引/05 詔安/c/a/陽平(5/ˋ/53)	ca53 sim11		茶樹的嫩葉。	例：捋茶愛捋茶芯，毋係捋脣頭个老葉。(採茶要摘茶芯，不是摘旁邊的老葉子。)	茶青		
22	車錢		詞目分類索引/交通通訊 聲母索引/05 詔安/h/a/陰平(1/ˇ/11)	cha11 cien53		車資、交通費。搭車時依路程遠近、車種所應付的費用。	例：佢為著討省車錢，逐日騎鐵馬上下班。(他為了要省交通費，每天騎自行車上下班。)	車費		
23	車頭		詞目分類索引/交通通訊 聲母索引/05 詔安/h/a/陰平(1/ˇ/11)	cha11 teu53		1.車子的前端。　2.車站。	例：這擺車禍，佢个車頭得人撞到綿綿。(這次車禍，他的車頭被撞得稀爛。) 例：逐日下課，阿爸會來車頭載𠊎轉屋下。(每天下課，父親會來車站載我回家。)	2.車站	1.車尾	
24	車針		詞目分類索引/衣著裝扮 聲母索引/05 詔安/h/a/陰平(1/ˇ/11)	cha11 zhim11		縫紉機使用的針。	例：車衫褲愛䀴好，毋好得車針刺著。(縫衣服要看仔細，不要被車針刺到。)			
25	炒肉		詞目分類索引/飲食 聲母索引/05 詔安/c/au/上聲(2/^/31)	cau31 ngiu24		客家小炒。客家名菜之一，將魷魚、五花肉切成條狀，加青蔥翻炒而成。	例：你新婦恁會煮食，炒肉炒到香噴噴。(你的媳婦這麼會煮菜，客家小炒炒得香噴噴的。)			
26	柿餅		詞目分類索引/飲食 詞目分類索引/植物 聲母索引/05 詔安/k/i/去聲(7/ /55)	ki55 biang31		將柿子晒乾或烘乾壓扁製成的食品。	例：北埔出產个杮餅真好食。(北埔出產的柿餅很好吃。)			
27	直腸直肚		詞目分類索引/慣用語 詞目分類索引/人物品評 聲母索引/05 詔安/h/id/陽入(8/ˋ/43)	chid43 chong53 chid43 du31		心直口快。形容人個性直爽坦白、無心機。	例：佢一向攏直腸直肚，有時會跌失人。(他一向心直口快，有時會得罪別人。)		橫腸橫肚	
28	陣寒陣熱		詞目分類索引/疾病醫療 詞目分類索引/慣用語 詞目分類索引/天文地理 詞目分類索引/事物情狀 聲母索引/05 詔安/n/i/去聲(7/ /55)	chin55 hon53 chin55 ngied43		忽冷忽熱。用於形容氣溫變化快或生病時身體的感覺。	例：這駁子天氣陣寒陣熱，大家愛加著幾下領衫，正毋會寒著。(這陣子天氣忽冷忽熱，大家要多穿幾件衣服，才不會感冒。)			
29	陣頭		聲母索引/05 詔安/n/i/去聲(7/ /55)	chin55 teu53		民俗節慶時，參加表演的業餘樂團或遊藝團體。如臺灣地區廟會時迎神行列中的南管﹑北管、宋江陣、車鼓弄等。	例：遐個莊頭做鬧熱，請真多陣頭來遊莊。(那個村莊大拜拜，請很多陣頭來遊莊。)			
30	槽頭肉		詞目分類索引/飲食 聲母索引/05 詔安/c/oo/陽平(5/ˋ/53)	coo53 teu53 ngiu24		位於豬下巴脖子處的肉，是豬吃飼料時常觸到飼料槽的地方，故名之。	例：這垤槽頭肉猶真好食。(這塊豬下巴的肉還滿好吃的。)			
31	坐尞		詞目分類索引/人際互動 詞目分類索引/運動休閒 聲母索引/05 詔安/c/oo/陰平(1/ˇ/11)	coo11 leeu55		坐下休息、閒聊。	例：下晝時頭真多老儕會去公園坐尞。(下午很多老人家會去公園坐坐。)	答詑		
32	草埔		詞目分類索引/天文地理 詞目分類索引/植物 聲母索引/05 詔安/c/oo/上聲(2/^/31)	coo31 bu11		草地、長滿荒草的埔地。	例：遐位草埔無人整理，滿仔位發草。(那塊草地沒人整理，野草蔓生。)	草坪		
33	著驚		詞目分類索引/思維心態 聲母索引/05 詔安/h/oo/去聲(7/ /55)	choo55 giang11		嚇到、受驚嚇。	例：你仰子行路無聲無色，害𠊎著驚一下。(你怎麼走路無聲無息，害我嚇一跳。)	嚇著　驚著　著掣		
34	著獎		詞目分類索引/運動休閒 聲母索引/05 詔安/h/oo/去聲(7/ /55)	choo55 ziong31		中獎。持有的摸彩券、獎券或統一發票等與開獎號碼相同，而獲得獎品或獎金。	例：想討著獎無恁快，獎券買來心色下即好。(想要中獎沒那麼容易，獎券買來玩玩有趣就好。)			
35	著傷			choo55 shong11		受傷。	例：有哪位著傷即愛較緊醫好，正毋會變暗傷。(（有哪裡受傷就要趕緊醫好，才不會變內傷。）)	傷著		hk0000012191-2-5-1
36	才調		詞目分類索引/人物品評 聲母索引/05 詔安/c/ai/陽平(5/ˋ/53)	cai53 teeu55		能耐、才幹。	例：你兩儕若係恁有才調，兩日即做好來得𠊎䀴望。(你們倆真有這麼行的話，兩天就做好讓我看看。)	能力　本等		
37	菜包		詞目分類索引/飲食 聲母索引/05 詔安/c/oi/上聲(2/^/31)	coi31 bau11		1.用米製外皮，包裹蘿蔔絲等餡料，蒸熟以食用的食品。　2.用麵粉製外皮，包裹蔬菜餡料的包子。亦泛指各類素食的包子。	例：這間店賣个菜包好食又便宜。(這間店賣的菜包好吃又便宜。) 例：𠊎頭愛食包高麗菜个菜包。(我最喜歡吃包高麗菜的菜包。)			
38	菜刀		聲母索引/05 詔安/c/oi/上聲(2/^/31)	coi31 doo11		廚房裡專門用來切菜、肉等食物的刀。	例：聽講金門个菜刀真有名，你切䀴望有利無？(聽說金門的菜刀頗有名氣，你切看看鋒不鋒利？)			
39	菜園		詞目分類索引/產業勞動 聲母索引/05 詔安/c/oi/上聲(2/^/31)	coi31 bbien53		種植蔬菜的園圃。	例：菜園種兩股菜，即真有通食啊。(菜園種上兩畦菜，就很夠吃了。)			
40	長年菜		詞目分類索引/宗教民俗 詞目分類索引/飲食	chong53 neen53 coi31		一種臺灣民間過年時吃的菜餚，象徵長壽。將芥菜洗淨切段，汆燙後以薑爆炒，並加入高湯燉煮而成。	過年愛用肥湯來炆長年菜食。 過年要用高湯煮長年菜吃。			45-5-1-1-l.mp3
41	長衫			chong53 sam11		壽衣。入殮時所穿的衣服。	例：這滿有一兜仔人，過身嘛無著傳統个長衫啊。(（現在有些人，過世也沒有穿傳統的壽衣了。）)			
42	出菜		詞目分類索引/飲食 聲母索引/05 詔安/h/id/陰入(4/ˊ/24)	chid24 coi31		上菜。將做好的菜端到餐桌上。	例：出菜愛較緊兜，無會毋會赴得人客食。(上菜的速度要快一些，不然會趕不上給客人吃。)			
43	出門		詞目分類索引/宗教民俗 詞目分類索引/交通通訊 聲母索引/05 詔安/h/id/陰入(4/ˊ/24)	chid24 mun53		外出。	例：正討出門，即聽著電話鳴。(正要外出，就聽到電話響。)			
44	出年假			chid24 neen53 ga31		出年關。農曆正月初五後，為年假的結束。	例：出年假了後，大家攏愛去上班啊。(正月初五後，大家都要去上班了。)	初五隔開	入年假	50-5-1-1-l.mp3
45	出山			chid24 san11　又讀chud24 san11		出殯。	例：成過艱難人過身，五、六日即出山。(（從前窮苦人家過世，五、六天左右就出殯。）)	扛出去		hk0000013413-2-5-1
46	出世			chid24 she31　又讀chud24 she31		出生、誕生。	例：阿哥个細子係上個月正出世个。(（哥哥的小孩是上個月才出生的。）)		過身死去	
47	窗門		詞目分類索引/建築住居 聲母索引/05 詔安/ng/u/陰平(1/ˇ/11)	cung11 mun53		窗戶。	例：過年前拚掃，窗門愛記得洗淨俐。(年前大掃除，要記得把窗戶洗乾淨。)	窗子門		
48	蔥頭		詞目分類索引/飲食 詞目分類索引/植物 聲母索引/05 詔安/ng/u/陰平(1/ˇ/11)	cung11 teu53		1.洋蔥。百合科蔥屬，多年生草本。葉中空，似蔥而甚細。地下鱗莖呈扁球狀，紅紫色或白、褐等色，可以食用。　2.紅蔥頭。多年生草本。原產亞洲西部。葉中空綠色，下部白色。繖形花序球形，花色白綠。鱗莖由多片鱗瓣群生，成熟後有紅色薄膜，供食用。	例：大粒蔥頭炒卵，真甜真好食。(洋蔥炒蛋，很甜很好吃。) 例：蔥頭𤐙香來煮大麵，好食到會知臊。(紅蔥頭爆香煮麵，好吃得不得了。)	2.紅蔥頭		
49	打拚		詞目分類索引/人物品評 詞目分類索引/產業勞動 聲母索引/05 詔安/d/a/上聲(2/^/31)	da31 biang31		努力工作。	例：想討出頭天，即愛認真打拚。(想要有成就，就要認真努力工作。)		推懶　慢鈍　懶尸　癱風　癱骨	
50	打幫		詞目分類索引/人際互動 聲母索引/05 詔安/d/a/上聲(2/^/31)	da31 bong11		（褒）受惠沾光、多虧、託福。意指因為他人而讓自己得到幫助，有感謝的意涵。	例：希望頭家有趁錢，𫣆人正會打幫著佢个福氣。(希望老闆有賺錢，我們才有得受惠沾光。)	好得	帶衰	
51	打卵見黃		詞目分類索引/慣用語 聲母索引/05 詔安/d/a/上聲(2/^/31)	da31 lon31 gien31 bbong53		打破蛋就看到蛋黃。比喻迅速收到成效。	例：做事毋會一下即打卵見黃，愛有耐心款款子做。(做事情不會一下就立竿見影，要有耐心慢慢做。)			
52	打早		詞目分類索引/時間節令 聲母索引/05 詔安/d/a/上聲(2/^/31)	da31 zoo31		一大早、趁早、趕早。	例：打早無閒到今，猶吂食早頓，即晝啊。(一大早忙到現在，還沒吃早餐，就中午了。)	透早	討晝　透暗	
53	搭碓		詞目分類索引/事物情狀 聲母索引/05 詔安/d/ab/陰入(4/ˊ/24)	dab24 doi31		意義、趣味。形容事物給人的觀感。	例：電視節目䀴起來無麼个搭碓，較輸去運動。(電視節目看起來沒什麼意思，不如去運動。)	意思　心色　對同		
54	擔竿		詞目分類索引/器物用品 聲母索引/05 詔安/m/a/陰平(1/ˇ/11)	dam11 gon11		泛指挑東西的長形工具，通常用竹、木製成。包含「畚擔、翹擔、𠠃擔」等。	例：老輩个人會用擔竿擔物件。(老一輩的人會用竹、木製的長形工具挑東西。)			
55	擔頭		詞目分類索引/器物用品 聲母索引/05 詔安/m/a/陰平(1/ˇ/11)	dam11 teu53		1.擔子。合稱扁擔和掛在其兩端的東西，亦單指所挑的東西。　2.負擔的責任。	例：擔頭恁重，擔到腰骨攏伸毋會直。(擔子這麼重，挑得腰都伸不直。) 例：做事个人減少，大家个擔頭即加較重。(工作的人減少，大家的責任就比較重。)			
56	訂簿記數		詞目分類索引/慣用語 聲母索引/05 詔安/n/e/上聲(2/^/31)	den31 pu55 gi31 su31		記帳。在會計工作中依照一定的格式，記載有關於出納項目的技術。	例：訂簿記數愛寫清楚，正毋會毋著。(記帳要寫清楚，才不會出差錯。)			
57	燈盞		詞目分類索引/器物用品 聲母索引/05 詔安/n/e/陰平(1/ˇ/11)	den11 zan31		油燈。燃油的照明器具。	例：成過無電火，暗夜時用燈盞點火。(以前沒有電燈，晚上點油燈。)	油盞		
58	等路		詞目分類索引/器物用品 聲母索引/05 詔安/n/e/上聲(2/^/31)	den31 lu55		禮物。作客或回家時所帶的禮品。	例：人來即好，猶擐等路來，恁細義。(人來就好，還帶禮物來，這麼客氣。)			
59	知上知下		聲母索引/05 詔安/d/i/陰平(1/ˇ/11)	di11 shong55 di11 ha11		明辨倫理，懂得人情世故。	例：少年人愛知上知下，正會有人緣。(年輕人要懂得上下應對的道理，人緣才會好。)	知上下　知分寸　有大細	無大無細	
60	知頭知尾		詞目分類索引/慣用語 詞目分類索引/人際互動 詞目分類索引/人物品評 聲母索引/05 詔安/d/i/陰平(1/ˇ/11)	di11 teu53 di11 mui11		知道事情的原委。	例：你明明知頭知尾，做麼个毋講？(你明明從頭到尾都知道詳情，為什麼不講？)		毋知頭毋知尾	
61	知死		詞目分類索引/思維心態 聲母索引/05 詔安/d/i/陰平(1/ˇ/11)	di11 si31		知道事態嚴重，甚而感到害怕或後悔。	例：講毋會聽，等阿依轉來你即知死啊！(講不聽，等媽媽回來你就糟了！)	知慘　知壞		
62	恬靜			diam11 cin55		安靜無聲。	例：學生歇熱，歸學校真恬靜。(（學生放暑假，整個學校很安靜。）)	恬唧唧恬恬	吵	
63	點穴		聲母索引/05 詔安/m/ee/上聲(2/^/31)	deem31 hied43		1.請堪輿師尋覓龍脈結穴之處。　2.點穴道。	例：普通人做風水，定著會請地理先生來點穴。(一般人建造墳墓，一定會請堪輿師來尋求龍脈結穴之處。) 例：小說內底个武林高手會點穴。(小說中的武林高手懂得點穴。)	1.䀴地理		
64	點香			deem31 hiong11		點香祭拜。	例：阿媽逐日打早攏會去伯公下點香。(（奶奶每天一早都會去土地公廟拜拜。）)	拜拜燒香		
65	鳥翼		詞目分類索引/動物 聲母索引/05 詔安/d/eeu/上聲(2/^/31)	deeu31 rhid43		鳥的翅膀。	例：遐隻鳥飛毋會起來，驚係鳥翼著傷啊。(那隻鳥飛不起來，恐怕是翅膀受傷了。)			
66	鳥卵		詞目分類索引/動物 聲母索引/05 詔安/d/eeu/上聲(2/^/31)	deeu31 lon31		鳥蛋。	例：遐藪鳥卵孵討歸半個月，毋知有啄殼吂？(那窩鳥蛋孵了快半個月，不知破殼了沒？)			
67	鳥嫲		聲母索引/05 詔安/d/eeu/上聲(2/^/31)	deeu31 ma53		母鳥。	例：樹崠遐藪鳥么啾啾咈，鳥嫲毋知飛哪位去？(樹上那窩小鳥啾啾叫，母鳥不知飛到哪裡去？)			
68	鳥屎		詞目分類索引/動物 聲母索引/05 詔安/d/eeu/上聲(2/^/31)	deeu31 shi31		鳥糞。	例：燕子在門口作藪，步口歸泥下攏係鳥屎。(燕子在門口築巢，走廊滿地都是鳥糞。)			
69	吊頸		聲母索引/05 詔安/d/eeu/上聲(2/^/31)	deeu31 giang31		上吊、自縊。	例：壓力恁大，逼到佢強強就會去吊頸。(壓力這麼大，逼得他險些就要去上吊。)			
70	刀嫲		詞目分類索引/器物用品 聲母索引/05 詔安/d/oo/陰平(1/ˇ/11)	doo11 ma53		柴刀。用以砍柴或砍竹子的大型刀具。	例：佢擎刀嫲，討去山崠裁竹。(他拿著柴刀，要去山上砍竹子。)			
71	倒貶			doo31 been31		倒反。	例：仰子會恁無精神？衫著倒貶攏毋知！(（怎麼這麼無精打采？衣服穿反了都不知道！）)			hk0000002361-2-5-1
72	當晝		詞目分類索引/時間節令 聲母索引/05 詔安/ng/o/陰平(1/ˇ/11)	dong11 zhiu31		中午、正午。	例：當晝日頭恁猛，毋好去外頭賞。(中午太陽這麼大，不可以去外面玩耍。)	當晝時　當晝時頭　當晝心		
73	當店		詞目分類索引/建築住居 詞目分類索引/產業勞動 詞目分類索引/財經法政 聲母索引/05 詔安/ng/o/上聲(2/^/31)	dong31 deem31		當鋪。收取貴重物品做為抵押，而出借現款給典當者的店鋪。	例：這手錶係當店買个流當品。(這手錶是當鋪買的流當品。)			
74	堵數		聲母索引/05 詔安/d/u/上聲(2/^/31)	du31 su31		抵帳。	例：佢借來做生理个錢了淨淨，無錢好還人，提屋去堵數。(他借來做生意的錢賠光光，沒錢可還人，拿房子去抵帳。)			
75	堵堵好			du31 du31 hoo31		剛剛好、恰恰好。	例：今日𫣆人兩儕堵堵好有閒，共下來去踅街好無？(（今天我們兩人剛剛好有空，一起去逛街好嗎？）)	堵好		
76	堵好		詞目分類索引/事物情狀 聲母索引/05 詔安/d/u/上聲(2/^/31)	du31 hoo31		正好、正巧。	例：頭家堵好出去，請你等一下正來。(老闆正巧出去，請你等一下再來。)	堵堵好		
77	對年		詞目分類索引/宗教民俗 聲母索引/05 詔安/d/oi/上聲(2/^/31)	doi31 neen53		人過世後滿一週年。	例：有一兜人過身對年過即上龕。(有些人過世滿週年就和祖先合併香爐祭拜了。)			
78	對歲		詞目分類索引/宗教民俗 詞目分類索引/時間節令 聲母索引/05 詔安/d/oi/上聲(2/^/31)	doi31 se31		週歲。嬰兒出生滿一年。	例：細子差不多對歲過，正開始學行。(小孩子差不多週歲後，才開始學走路。)			
79	冬節		詞目分類索引/宗教民俗 詞目分類索引/時間節令 聲母索引/05 詔安/ng/u/陰平(1/ˇ/11)	dung11 zied24		冬至。二十四節氣之一。通常在國曆十二月二十二或二十三日。	例：阿媽講冬節生成愛食惜圓。(祖母說冬至本來就要吃湯圓。)	冬至		
80	冬禾		詞目分類索引/植物 聲母索引/05 詔安/ng/u/陰平(1/ˇ/11)	dung11 bboo53		於冬季收割的稻子，即第二期的稻作。	例：冬禾割了，即好準備過年啊。(二期稻收割後，就可以準備過年了。)	尾冬禾		
81	鸚哥		聲母索引/05 詔安/n/e/陰平(1/ˇ/11)	en11 goo11		鸚鵡。鳥綱鸚鵡目。體長約三十公分，嘴大而短，上嘴鉤曲覆下嘴，舌肥厚，善學人語。羽毛有白、紅、黃、綠等色。棲於熱帶森林或巖洞樹穴中。	例：阿舅供一隻鸚哥，會講事又會唱歌，實在真心色。(舅舅養一隻鸚鵡，會說話又會唱歌，真的很有趣。)			
82	應嘴		聲母索引/05 詔安/n/e/上聲(2/^/31)	en31 zhe31		頂嘴。對上級或長輩爭辯。	例：序大人仰子講，愛恬恬聽，毋好一直應嘴。(長輩若是有指正的意見，要靜靜聽，不可以一直頂嘴。)	應嘴應鼻		
83	花菜		詞目分類索引/飲食 詞目分類索引/植物 聲母索引/05 詔安/f/a/陰平(1/ˇ/11)	fa11 coi31		花椰菜。十字花科蕓薹屬，二年生草本植物。為甘藍的變種，莖硬而肥大，葉寬大，基部鈍形，邊緣呈波狀，平滑無毛。其花部成肉質塊狀，可供食用。	例：聽講多食花菜較毋會著癌。(聽說多吃花椰菜比較不會罹癌。)			
84	花假		詞目分類索引/人際互動 詞目分類索引/人物品評 聲母索引/05 詔安/f/a/陰平(1/ˇ/11)	fa11 ga31		虛偽、虛假。	例：做人過頭花假，即無人會信你。(為人太虛假，就沒有人會相信你。)	油條　花舌　虛假	篤實　老實　古意	
85	花喇必駁			fa11 la11 bid24 boo24		花色駁雜紛亂的樣子。	佢歸面畫到花喇必駁，無人認會出佢。 他滿臉畫得花花綠綠，沒有人認得出他來。			
86	法度		聲母索引/05 詔安/f/ad/陰入(4/ˊ/24)	fad24 tu55		方法、辦法。	例：一下愛恁多錢，𠊎哪有法度？(一下子要這多錢，我哪有辦法？)	方法　辦法		
87	發酵		詞目分類索引/飲食 聲母索引/05 詔安/f/ad/陰入(4/ˊ/24)	fad24 gau31		醣類被菌類或細菌在無氧情況下代謝後，變成另一種有機物。	例：樹葉愛發酵正會用做肥。(樹葉要經過發酵才能當成肥料。)			
88	反症		詞目分類索引/疾病醫療 聲母索引/05 詔安/n/a/上聲(2/^/31)	fan31 zhin31		舊疾復發。	例：阿爸有風溼病，見堵著落雨天即會反症。(父親有風溼病，每遇到下雨天就會舊疾復發。)			
89	飯包			pon55 bau11		便當、餐盒。	例：當晝無想討煮，買飯包食食个即好。(（中午不想煮，買便當吃吃就好。）)	飯盒飯确		hk0000010270-2-5-1
90	飯匙			pon55 shi53		盛飯用的餐具。	例：去提飯匙來添飯。(（去拿飯匙來盛飯。）)			hk0000002854-2-5-1
91	飯匙骨		詞目分類索引/人體器官 詞目分類索引/疾病醫療 聲母索引/05 詔安/p/on/去聲(7/ /55)	pon55 shi53 gud24		肩胛骨。人體背部上方外側的骨頭，左右各一，三角扁平形，形似飯匙，故得名。	例：阿伯昨日騎車跌倒，傷著飯匙骨。(伯父昨天騎車跌倒，傷到肩胛骨。)			
92	飯鑊		詞目分類索引/飲食 聲母索引/05 詔安/p/on/去聲(7/ /55)	pon55 bboo55		飯鍋。煮飯或是盛飯的鍋子。	例：軍隊內用个飯鑊足大個。(軍隊裡用的飯鍋很大。)	飯缽　生鐵鑊		
93	回南		聲母索引/05 詔安/f/ue/陽平(5/ˋ/53)	fue53 nam53		颱風過後引進西南氣流的現象。	例：颱風回南啊，毋知猶會落大雨無？(颱風回南了，不知道還會下大雨嗎？)			
94	費氣		詞目分類索引/事物情狀 聲母索引/05 詔安/f/ui/上聲(2/^/31)	fui31 ki31		1.麻煩、費事。指為了瑣碎的事勞神費心。　2.糟糕、事態嚴重。	例：衫褲去買即有啊，仰子恁費氣愛自家做？(衣服去買就有了，怎麼這麼麻煩，要自己做？) 例：細病毋醫，拖到變大病即費氣啊。(小病不醫，拖成大病就糟了。)	麻煩　1.功夫	1.省事	
95	肺炎		詞目分類索引/疾病醫療 聲母索引/05 詔安/p/ui/上聲(2/^/31)	pui31 rhiam55		肺部發炎的病症。會出現發燒、發冷、咳嗽、喀痰、胸疼及呼吸困難等症狀，常由細菌、病毒等引起。	例：寒著毋較緊醫得佢好，等到變肺炎即費氣啊。(感冒不快點醫好，演變成肺炎就麻煩了。)			
96	火囪		詞目分類索引/器物用品 聲母索引/05 詔安/f/oo/上聲(2/^/31)	foo31 cung11		火籠。昔日用竹編製之手提火籠，內放陶製火盆，盆內放置木炭，點燃後可取暖。	例：成過个老儕人一到寒天即愛烘火囪。(從前的老人家一到冬天就要用火籠取暖。)	火籠		
97	伙房		詞目分類索引/宗教民俗 詞目分類索引/建築住居 聲母索引/05 詔安/f/oo/上聲(2/^/31)	foo31 fong53		宗族聚落。指同親族的人所聚居的生活空間，其建築型式通常為三合院、四合院等。	例：新埔个劉屋伙房真有名。(新埔的劉家聚落很有名。)	親房		
98	伙房屋		詞目分類索引/宗教民俗 詞目分類索引/建築住居 聲母索引/05 詔安/f/oo/上聲(2/^/31)	foo31 fong53 bbu24		以家族為概念建造的合院式建築，如三合院、四合院等。	例：屏東萬巒五溝水有真多伙房屋。(屏東萬巒五溝水有很多伙房式建築。)	大落屋		
99	火油		詞目分類索引/飲食 聲母索引/05 詔安/f/oo/上聲(2/^/31)	foo31 rhiu53		花生油。以烘過的花生米榨的油，可供食用或燃燈。	例：用火油炒菜真香、真好食。(用花生油炒菜很香、很好吃。)	地豆油		
