#a
pa[1]巴{尾～}芭疤爸八{～叉，两腿分开}
nuə[6]糯
kʰuə[1]科窠棵颗
luə[1]啰
kʰuə[5]课嗑{～瓜子}䶗{～瓜子}
luə[2]罗锣萝骡脶{手指纹}饹{饸～}炉{火～}
xuə[2]和{～气}
luə[3]裸
xuə[3]伙火
luə[6]摞{～起来}
xuə[5]货
tsuə[3]左佐阻助做
xuə[6]祸和{～面}
tsuə[6]坐座
uə[1]窝
tsʰuə[1]搓初
uə[3]我
tsʰuə[2]雏锄
uə[6]卧

#yɛ
lyɛ[3]□{郭～：滚}
ɕyɛ[1]靴
tɕʰyɛ[2]瘸
yɛ[3]哕{呕吐时发出的声音}

#ɿ
tsɿ[1]知蜘支{～持}枝栀资姿咨兹滋之芝辎
tsʰɿ[3]此侈耻齿
tsɿ[3]紫纸只{～有}姊脂旨指{～示}止趾址滓子{～女}
tsʰɿ[5]刺次侍
sɿ[1]司丝思诗施尸
tsɿ[5]智致至制
sɿ[2]时鲥匙
tsɿ[6]自稚痔字治志痣滞□{～静：安静}
sɿ[3]死豕屎矢使史驶始
tsʰɿ[1]眵{眼～}嗤差{参～}
sɿ[5]赐试世势四
tsʰɿ[2]雌池驰瓷慈磁痴持辞词祠
sɿ[6]示视嗜是氏士仕柿事市恃誓逝
sɿ[10] 虱{壁～：臭虫}

#i
pi[1]屄
li[3]理履李里理鲤
pi[3]比卑彼俾被{～贼偷啦}鄙秕
li[6]利痢荔离{～开半寸}吏历
pi[5]闭臂蓖箅{～子}
tɕi[1]鸡稽脐{{肚腹～}}基几{～乎}机{～器}讥饥箕今{～个}
pi[6]敝弊币毙蔽陛鐾{～刀布}避被{～子}备婢
tɕi[3]挤己纪几{～个}
pʰi[1]批
tɕi[5]计继系{～鞋带}记
pʰi[2]皮疲脾丕痹{麻～}
tɕi[6]济剂冀忌既
pʰi[3]譬{～如}庇
tɕʰi[1]其欺凄
pʰi[5]屁匹
tɕʰi[2]脐{～带}妻齐奇骑岐祁鳍棋期{时～}旗畦{菜～}戚
mi[2]迷泥{土}糜{～子}弥眉□{～子：可以吹响的小竹片儿}明{～个}
mi[3]米女{～猫儿：母猫}
tɕʰi[3]启企起杞岂
mi[6]谜媚寐
tɕʰi[5]契{～约}器气汽
ti[1]低堤
tɕʰi[6]弃
ti[2]提{～起来}
ɕi[1]西棲犀牺嬉熙希稀
ti[3]抵底{～下}
ɕi[3]洗玺喜蟢{～蛛蛛}四{～坟（与“喜峰”同音）}
ti[6]帝弟第递地的{打～}栗{坡～}
ɕi[5]细戏
tʰi[1]梯□{后～：随后}
ɕi[6]系{～马}
tʰi[2]题提蹄啼屉
i[1]衣依医蚁揖一{大年初～}
tʰi[3]体
i[2]饴遗移夷姨伊疑胰□{从：～这儿走}
tʰi[5]替涕剃
i[3]矣以倚椅尾{～巴}
ni[2]尼泥{水～}
i[5]抑
ni[3]你
i[6]易意异缢瞖艺宜仪肄疫役益溢译逆忆亿翼玉{～茭子}日{～本；明～}
ni[6]腻倪
li[2]离{～别}篱璃梨厘狸

#u
pu[3]补捕堡{地名}
tsu[1]租猪诸诛蛛侏朱硃珠暴
pu[5]布{棉～}暴{～马河，～河头，杨～}
tsu[3]祖组主拄煮帚
pu[6]布{～告}部簿步埠暴抱卜怖
tsu[6]驻注住蛀铸著柱
pʰu[1]铺{展开}
tsʰu[1]粗□{滑行}舒{～坦}
pʰu[2]蒲菩脯{胸～}
tsʰu[2]除锄储厨
pʰu[3]普浦谱
tsʰu[3]褚处{相～}杵
pʰu[5]铺{～子}堡{小河～}
tsʰu[5]处{～所}
mu[2]模某谋
su[1]书舒枢输殊苏酥
mu[3]母拇亩
su[3]鼠暑黍署薯
mu[6]暮慕墓募幕
su[5]庶恕漱素
fu[1]夫{姐～}肤跗{～面}敷俘孵麸抚
su[6]树竖数{眉～：模样，含贬义}诉塑
fu[2]浮妇
ku[1]姑孤箍沽辜
fu[3]府腑俯甫脯{杏～}釜腐辅否
ku[3]古估股{一～}鼓贾{商人}诂
fu[5]付赋傅赴讣富副
ku[5]雇顾
fu[6]父附负阜
ku[6]故固
tu[1]都{首～}督
kʰu[1]枯
tu[3]堵赌肚{猪～}
kʰu[3]苦
tu[6]杜肚{～子}度渡镀
kʰu[5]库裤
tʰu[2]徒屠途涂图
xu[1]呼{～吸}
tʰu[3]土吐{～痰}
xu[2]呼{姓}胡湖狐壶乎胡
tʰu[5]兔
xu[3]虎浒{水～传}合{凑～}
nu[2]奴
xu[6]户沪互护糊{浆～}核{打枣～：旧时的一种棒击木制枣核的游戏}}
nu[3]努
u[1]乌污侮呜
nu[6]怒
u[2]吴蜈梧无巫诬
lu[2]卢炉芦如
u[3]吾五午伍武鹉
lu[3]鲁橹虏卤乳
u[5]恶{可～}
lu[6]路鹭{白～}
u[6]误悟舞雾务

#y
ny[3]女
tɕʰy[5]趣去
ly[2]驴
ɕy[1]虚嘘
ly[3]吕旅缕屡
ɕy[2]徐
ly[6]虑滤
ɕy[3]许
tɕy[1]居车{马炮}
ɕy[5]絮婿
tɕy[3]举矩拘驹
ɕy[6]续
tɕy[5]据锯
y[1]於
tɕy[6]巨拒距俱句具惧聚剧
y[2]余淤迂于盂儒榆逾愉愚虞娱如果鱼渔
tɕʰy[1]区驱蛆驱
y[3]与汝雨宇禹羽擩{～进去}
tɕʰy[2]渠瞿
y[6]御遇寓誉预豫愈喻裕芋郁育狱欲浴域玉{宝～}
tɕʰy[3]取娶

#aæ
paæ[2]白{～吃}
tsaæ[1]塞{～子；木～子}
tsaæ[3]宰载{三年五～}
paæ[3]摆
tsaæ[5]再载{～重}债
paæ[5]拜
tsaæ[6]寨在载{满～}
paæ[6]韛{拉～:拉风箱}败
tsʰaæ[1]猜钗差{出～}
pʰaæ[2]排牌
tsʰaæ[2]才材财裁豺柴
pʰaæ[5]派
tsʰaæ[3]彩采
maæ[2]埋{～伏}
tsʰaæ[5]菜蔡
maæ[3]买
saæ[1]腮鳃筛
maæ[6]迈卖脉
saæ[5]赛晒塞
taæ[1]呆
kaæ[1]该
taæ[3]歹掸{鸡毛～子}
kaæ[3]改
taæ[5]戴带贷
kaæ[5]盖丐
taæ[6]大{～夫}待怠殆代袋
kʰaæ[1]开
tʰaæ[1]胎
kʰaæ[3]凯慨
tʰaæ[2]台苔抬
kʰaæ[5]概溉
tʰaæ[3]奤{指大城市里头人的说话口音，贬义}
xaæ[2]孩还
tʰaæ[5]太泰
xaæ[3]海
naæ[3]乃奶
xaæ[5]□{玩，贬义：不要在哪儿～}
naæ[6]耐奈
xaæ[6]亥害
laæ[2]来
aæ[1]哀埃挨
laæ[3]染{圪～，染：衣裳也～啦}
aæ[3]蔼矮
laæ[6]赖癞
aæ[5]爱
tsaæ[1]灾栽{～赃}斋宅
aæ[6]碍艾隘

#uaæ
tsuaæ[3]□{日子富裕：这家真～}
kuaæ[5]怪
tsuaæ[6]拽
kʰuaæ[5]蒯块快会{～计}刽
tsʰuaæ[3]揣
xuaæ[2]怀槐淮
suaæ[1]衰
xuaæ[5]坏
suaæ[6]帅率{～领}蟀
uaæ[1]歪
kuaæ[1]乖
uaæ[3]崴
kuaæ[3]拐
uaæ[6]外

#ɑɔ
pɑɔ[1]褒包刨{～地}雹
tsɑɔ[3]早枣蚤澡找
pɑɔ[3]保堡宝饱
tsɑɔ[5]灶罩{～子}照诏焯{把菜放在开水里～～}
pɑɔ[5]报豹
tsɑɔ[6]躁皂造笊{～篱}赵兆
pɑɔ[6]暴爆鲍刨{～木头}抱
tsʰɑɔ[1]抄超
pʰɑɔ[1]泡{松软}抛剖
tsʰɑɔ[2]操巢曹槽朝{～代}
pʰɑɔ[2]袍
tsʰɑɔ[3]草吵炒钞
pʰɑɔ[3]跑
tsʰɑɔ[6]糙
pʰɑɔ[5]炮泡{～在水里}
sɑɔ[1]梢捎烧稍骚臊鞘{鞭～}
mɑɔ[2]毛茅猫锚□{看：去大门口～～}
sɑɔ[2]韶
mɑɔ[3]卯牡
sɑɔ[3]少{多～}扫{～地}嫂
mɑɔ[6]貌冒帽茂贸
sɑɔ[5]少{～年}潲{～雨}扫{～帚附录}
tɑɔ[1]刀叨
sɑɔ[6]绍邵
tɑɔ[3]祷岛倒{跌～}
kɑɔ[1]高膏羔糕
tɑɔ[5]到倒{～水}
kɑɔ[3]稿
tɑɔ[6]道稻盗导
kɑɔ[5]告膏{～油}
tʰɑɔ[1]滔掏
kʰɑɔ[3]考烤
tʰɑɔ[2]桃逃淘陶萄涛
kʰɑɔ[5]靠犒
tʰɑɔ[3]讨
xɑɔ[1]蒿薅
tʰɑɔ[5]套
xɑɔ[2]豪壕毫耗浩号{～叫}
nɑɔ[2]蛲{～虫}落{～子腔：源于晋东南地区的黎城}
xɑɔ[3]好{～坏}武{杨～巷}
nɑɔ[3]脑恼
xɑɔ[5]好{喜～}
nɑɔ[6]闹
xɑɔ[6]号{～码}
lɑɔ[2]劳捞牢唠{～叨}
ɑɔ[1]䥝{～糟：事情不顺心}
lɑɔ[3]老了{吃～}
ɑɔ[2]熝{～白菜}熬
lɑɔ[6]涝
ɑɔ[3]袄
tsɑɔ[1]遭糟朝{～阳}召昭招沼{～气}
ɑɔ[6]奥懊澳

#iɑɔ
piɑɔ[1]膘标彪嫑{“不要”的合音}
liɑɔ[3]了{～解}瞭
piɑɔ[3]表
liɑɔ[6]料尥撂{扔}廖{姓}
piɑɔ[6]鳔
tɕiɑɔ[1]焦蕉{芭～}椒骄娇浇交郊胶教{～书}
pʰiɑɔ[1]飘
tɕiɑɔ[3]矫缴侥绞狡铰搅剿饺{～子}剪{应为“铰”}
pʰiɑɔ[2]瓢嫖
tɕiɑɔ[5]叫教{～育}校{～对}较酵窖觉{睡～}
pʰiɑɔ[3]漂{～白}
tɕiɑɔ[6]轿嚼{圪～}
pʰiɑɔ[5]票漂{～亮}
tɕʰiɑɔ[1]锹缲{～边儿}悄敲鹊{野～子：喜鹊}
miɑɔ[2]苗描
tɕʰiɑɔ[2]瞧乔侨桥荞樵
miɑɔ[3]藐渺秒
tɕʰiɑɔ[6]{3}巧
miɑɔ[5]庙妙
tɕʰiɑɔ[5]俏
tiɑɔ[1]刁貂雕
tɕʰiɑɔ[6]鞘{剑～}窍
tiɑɔ[3]屌鸟{男性外生殖器}
ɕiɑɔ[1]消宵霄硝销枵嚣
tiɑɔ[5]钓吊
ɕiɑɔ[3]晓小
tiɑɔ[6]掉调{音～}藋{灰～：野菜名}
ɕiɑɔ[5]孝笑
tʰiɑɔ[1]挑{～水}
ɕiɑɔ[6]效校{学～}
tʰiɑɔ[2]条调{～和}
iɑɔ[1]妖邀腰要{～求}么吆{～喝}
tʰiɑɔ[3]挑{～动}
iɑɔ[2]饶摇谣窑姚淆幺
tʰiɑɔ[5]跳粜
iɑɔ[3]挠绕{围～}舀{～水}杳
niɑɔ[3]鸟
iɑɔ[5]要{重～}靿{鞋～}
niɑɔ[6]尿
iɑɔ[6]耀鹞跃
liɑɔ[2]聊辽撩廖

#ei
pei[1]杯碑悲背{～东西}
fei[1]非飞痱
pei[5]背{后～}北{～京}
fei[2]肥
pei[6]辈倍褙{～子：袼褙}贝
fei[3]匪翡吠
pʰei[1]胚坯
fei[5]费废□{指小孩儿不听话}
pʰei[2]培陪赔裴
fei[6]肺
pʰei[5]配
tei[3]底{城里～}
pʰei[6]佩
tsei[2]贼
mei[2]梅枚媒煤楣埋{～人}
tsei[3]怎
mei[3]美
lei[10] 的{助词}地{助词}得{助词}

#uei
tuei[1]堆
suei[5]税碎婿
tuei[5]对碓
suei[6]岁睡穗
tuei[6]队兑
kuei[1]规龟闺圭归
tʰuei[1]推
kuei[3]诡轨癸鬼跪{～门关}
tʰuei[3]腿
kuei[5]桂
tʰuei[5]退褪{～毛}
kuei[6]跪柜贵
nuei[6]内
kʰuei[1]盔魁傀亏窥
luei[1]雷
kʰuei[2]奎葵逵
luei[3]儡耒
kʰuei[3]□{～对：还好，凑合}
luei[6]累瑞
kʰuei[6]愧溃
tsuei[1]追锥{～子}堆{圪～下：蹲下}
xuei[1]灰麾挥徽挥
tsuei[3]嘴
xuei[2]茴回
tsuei[5]醉缀
xuei[3]毁悔晦哄{哄孩子}
tsuei[6]最坠
xuei[5]贿
tsʰuei[1]催崔吹炊
xuei[6]汇会绘讳
tsʰuei[2]槌锤垂
uei[1]危萎威畏微
tsʰuei[5]脆粹
uei[2]为{作～}维惟唯违围
suei[1]虽绥
uei[3]委伟苇纬尾
suei[2]谁隋髓随□{偎～：摇晃怀中的孩子}遂隧
uei[5]喂慰
suei[3]水
uei[6]为{～什么}位卫锐芮胃谓猬未味

#əu
təu[1]兜
səu[1]搜飕馊蒐收
təu[3]斗{十升一～}抖陡
səu[3]手首守
təu[6]斗{～争}豆逗杜{～府巷}
səu[5]嗽{咳～}
tʰəu[1]偷
səu[6]寿授售兽受
tʰəu[2]头投
kəu[1]勾钩沟购
tʰəu[5]透
kəu[3]狗苟
nəu[2]□{碰撞}
kəu[5]够
ləu[2]楼耧笼{灯～}
kəu[6]构
ləu[3]搂篓
kʰəu[1]抠眍{眼～}
ləu[6]漏陋露
kʰəu[3]口
tsəu[1]邹周舟州洲掫{往上～}
kʰəu[5]扣{～住}叩
tsəu[3]走肘
kʰəu[6]寇
tsəu[5]奏咒
xəu[2]侯喉猴瘊{～子}
tsəu[6]昼宙皱绉骤纣
xəu[3]吼
tsʰəu[1]搊{～起来}抽
xəu[6]后厚候
tsʰəu[2]愁仇酬
əu[1]欧瓯殴
tsʰəu[3]丑瞅
əu[3]呕{～吐}
tsʰəu[5]臭
əu[5]沤怄{～气}

#iəu
tiəu[1]丢
tɕʰiəu[2]求球仇{姓}酋
niəu[3]纽扭
tɕʰiəu[3]糗{面食煮的时间长}□{圪～：死皮赖脸求人}
niəu[6]谬
ɕiəu[1]修羞休嗅
liəu[1]溜
ɕiəu[2]囚
liəu[2]流刘留榴{石～}硫琉{～璃}
ɕiəu[3]朽
liəu[3]柳
ɕiəu[5]秀锈宿{星～}
liəu[6]馏遛六{～指子}
ɕiəu[6]绣袖
tɕiəu[1]揪鬏{头发盘成的结}鸠纠阄赳灸
iəu[1]忧优幽
tɕiəu[3]酒九久韭究
iəu[2]尤邮由油游犹悠柔牛
tɕiəu[5]救
iəu[3]友有酉莠
tɕiəu[6]就旧臼舅
iəu[6]又右祐柚鼬{黄～}釉诱幼肉
tɕʰiəu[1]秋丘柩

#aŋ
paŋ[1]班斑颁扳般搬帮邦
laŋ[6]烂浪□{{圪～子：巷子。“圪□”是“巷”字的缓读}}
paŋ[3]板版榜绑
tsaŋ[1]簪沾占{～卦}瞻毡赃脏{～水}张章樟
paŋ[5]半绊谤
tsaŋ[3]斩展攒盏掌{～握}长{～幼}□{“这样”的合音}涨{～价}
paŋ[6]瓣办伴拌扮蚌傍棒
tsaŋ[5]蘸占葬涨{头昏脑～}帐账胀障
pʰaŋ[1]攀潘肨{肿}
tsaŋ[6]暂錾站赞栈颤绽藏{西～}脏{内～}丈仗杖
pʰaŋ[2]盘旁螃滂庞
tsʰaŋ[1]参{～加}搀仓苍昌菖{～蒲}
pʰaŋ[3]耪
tsʰaŋ[2]蚕惭谗馋残缠藏{隐～}长{～短}肠场常尝
pʰaŋ[5]盼襻胖
tsʰaŋ[3]惨铲产倡厂
pʰaŋ[6]叛
tsʰaŋ[5]唱
maŋ[2]蛮瞒馒忙芒茫盲
tsʰaŋ[6]灿
maŋ[3]满莽蟒埋{～怨}
saŋ[1]三衫山桑丧{～事}商伤
maŋ[6]慢满幔
saŋ[3]陕闪散{～装}嗓搡丧{～失}赏晌
faŋ[1]帆翻番方肪芳妨华{东～门}
saŋ[5]散{分～}疝{～气}扇
faŋ[2]凡烦藩矾繁
saŋ[6]善膳单{姓}禅上尚裳
faŋ[3]反仿纺彷访
kaŋ[1]甘柑泔{～水}干{～净}肝竿岗刚纲钢{～笔}缸
faŋ[5]泛贩嬎{蛋：鸟类下蛋}放
kaŋ[3]感敢橄杆秆扞{～面}擀{～面}赶港
faŋ[6]饭
kaŋ[5]干{～部}钢{～～刀，使刀利}□{怀孕后脸上泛起的色斑}杠
taŋ[1]丹单{～位}担{～任}端{～午}
kʰaŋ[1]看{～守}堪龛刊康糠慷
taŋ[3]党
kʰaŋ[2]扛
taŋ[5]当{典～}担{挑～}
kʰaŋ[3]坎砍勘抗□{～对：刚巧}
taŋ[6]旦淡但弹蛋诞荡宕
kʰaŋ[5]看{～见}炕
tʰaŋ[1]滩摊汤
xaŋ[1]蚶{～子}憨酣夯
tʰaŋ[2]谈{～话}痰堂棠螳唐糖塘
xaŋ[2]寒含函韩罕行{～列}航杭涎
tʰaŋ[6]{3}毯坦{～克}躺倘
xaŋ[3]喊撼
tʰaŋ[5]炭叹烫
xaŋ[5]汉
naŋ[2]难{～题}囊黏{～住}
xaŋ[6]憾旱汗焊翰巷
naŋ[3]暖攮□{～口：食物塞满嘴}
aŋ[1]庵安鞍肮
naŋ[6]难{患～}
aŋ[2]昂
laŋ[2]兰拦栏郎廊狼
aŋ[3]揞{～住}
laŋ[3]懒朗□{圪～子：杆子}
aŋ[5]暗按案

#iaŋ
piaŋ[1]鞭编边蝙
tɕiaŋ[1]监{～狱}尖歼兼艰间{中～}奸煎肩坚将{～来}稭{麦～}秸{麦～}
piaŋ[3]扁匾贬浆江豇{～豆}
piaŋ[5]遍变
tɕiaŋ[3]减碱检俭简剪茧趼蒋奖桨讲耩{～地}
piaŋ[6]辨辩辫便{方～}汴
tɕiaŋ[5]鉴间{～断}谏涧箭溅荐建犍{～牛}见剑酱将{大～}降{下～}糨{～子}
pʰiaŋ[1]篇偏天{中～桥}
pʰiaŋ[2]便{～宜}
tɕiaŋ[6]渐健腱件践贱饯匠强{倔～}舰虹
pʰiaŋ[5]骗片
tɕʰiaŋ[1]鹐嵌签谦迁谴枪羌腔铅锨参{～府街}
miaŋ[2]绵棉眠
tɕʰiaŋ[2]钳钱墙强{～盗}前
miaŋ[3]免勉
tɕʰiaŋ[3]浅抢
miaŋ[6]面
tɕʰiaŋ[5]欠{～债}歉
tiaŋ[1]掂颠
ɕiaŋ[1]仙鲜{新～}掀先相{互～}箱厢湘襄镶香乡
tiaŋ[3]点典
ɕiaŋ[2]咸衔嫌闲贤详祥降{投～}常{小～村}
tiaŋ[5]店
ɕiaŋ[3]险显想享响
tiaŋ[6]电殿奠佃垫
ɕiaŋ[5]缐宪相{～貌}
tʰiaŋ[1]添天
ɕiaŋ[6]陷馅限羡献现县象橡向项巷
tʰiaŋ[2]甜田填
iaŋ[1]淹阉腌烟燕{姓}蔫秧殃
tʰiaŋ[3]舔腆{～肚子}
iaŋ[2]岩盐阎檐严颜谚焉延言研央羊洋烊杨阳扬炀然燃瓤缘沿川{韩～}
niaŋ[2]年娘
niaŋ[3]碾撵眼{瞪～；睁～儿瞎}
iaŋ[3]掩眼演兖痒养染冉壤攘嚷碾{黄～}
niaŋ[6]念□{“那样”的合音}
iaŋ[5]宴咽燕{～子}
liaŋ[2]廉镰帘连联良凉量{～长短}粮梁粱
iaŋ[6]验炎艳焰厌酽宴雁筵砚堰样让
liaŋ[3]脸两
liaŋ[6]殓亮谅辆量{数～}晾

#uaŋ
tuaŋ[1]端{～住}
suaŋ[3]爽
tuaŋ[3]短
suaŋ[5]算涮
tuaŋ[5]锻{～炼}
kuaŋ[1]官棺观{参～}冠{衣～}关鳏光
tuaŋ[6]断段椴缎
kuaŋ[3]管馆广
tʰuaŋ[2]团
kuaŋ[5]灌罐观{道～}冠{～军}惯贯桄{一～线}
tʰuaŋ[3]湍
kuaŋ[6]逛
luaŋ[2]鸾恋
kʰuaŋ[1]宽匡筐
luaŋ[3]卵
kʰuaŋ[2]狂
luaŋ[6]乱
kʰuaŋ[3]款
tsuaŋ[1]钻{动词}专砖庄桩装
kʰuaŋ[5]旷眶矿
tsuaŋ[3]纂转{～送}□{老～：家里长子长女}
kʰuaŋ[6]况
tsuaŋ[5]钻{木工用具}转{～圈}壮
xuaŋ[1]欢荒慌
tsuaŋ[6]篆传{自～}撰状撞
xuaŋ[2]桓还环黄簧皇蝗
tsʰuaŋ[1]氽{～汤}川穿疮窗双
xuaŋ[3]缓谎
tsʰuaŋ[2]传{～说}椽船
xuaŋ[6]唤焕换幻患宦晃
tsʰuaŋ[3]喘闯创
uaŋ[1]豌剜弯湾汪
tsʰuaŋ[5]窜串
uaŋ[2]完丸亡王
tsʰuaŋ[6]篡
uaŋ[3]碗皖腕宛晚挽网枉往
suaŋ[1]酸闩拴霜孀双
uaŋ[6]旺万蔓{瓜～}

#yaŋ
lyaŋ[3]□{圪～毛：卷发}敛
ɕyaŋ[1]宣喧暄
lyaŋ[6]练练
ɕyaŋ[2]旋玄悬眩
tɕyaŋ[1]捐
ɕyaŋ[3]选
tɕyaŋ[3]捲卷□{骂}
ɕyaŋ[5]楦
tɕyaŋ[5]眷绢
ɕyaŋ[6]旋{～吃～制：现吃现做}现{～过～}
tɕyaŋ[6]圈{猪～}倦
yaŋ[1]冤渊
tɕʰyaŋ[1]圈{圆～}
yaŋ[2]袁辕园援源圆元原源
tɕʰyaŋ[2]拳权颧
yaŋ[3]远软阮□{～子：带提梁的圆篮子}
tɕʰyaŋ[3]犬
yaŋ[5]怨
tɕʰyaŋ[5]劝券欠{打哈～}
yaŋ[6]院愿

#əŋ
pəŋ[1]奔锛崩绷{～带}
ləŋ[3]冷
pəŋ[3]本绷{～着脸}
ləŋ[6]愣
pəŋ[5]奔迸{～开}蹦
tsəŋ[1]针斟珍榛臻真贞侦曾{姓}增憎征蒸争睁正{～月}赠综
pəŋ[6]笨
pʰəŋ[1]喷{～水}烹蓬
tsəŋ[3]枕{～头}诊疹拯整怎
pʰəŋ[2]盆朋膨彭棚篷
tsəŋ[5]枕{动词}振震证症正政
pʰəŋ[3]捧
tsəŋ[6]镇阵郑
pʰəŋ[6]碰
tsʰəŋ[1]参{～差}称{～重}撑铛{饼～}筝{风～}
məŋ[1]懵
tsʰəŋ[2]沉岑陈尘辰晨臣曾{～经}层澄橙惩
məŋ[2]门萌盟蠓
tsʰəŋ[3]逞
məŋ[3]猛蒙
tsʰəŋ[5]趁衬蹭称{对～}秤牚{椅子～儿}
məŋ[6]闷孟
səŋ[1]森参{人～}深身申伸僧生牲笙甥声
fəŋ[1]分风枫疯丰封峰蜂锋喷{嚏～}坟{四～（与“喜峰”同音）}
səŋ[2]盛{～满了}
fəŋ[2]芬纷焚坟冯逢缝{～补}
səŋ[3]沈审婶省
fəŋ[3]粉讽
səŋ[5]渗{～水}舍{下～}
fəŋ[5]粪
səŋ[6]甚肾慎盛{兴～}圣剩胜
fəŋ[6]奋份凤奉俸缝{门～儿}
kəŋ[1]跟根更{～改}庚羹耕
təŋ[1]登灯
kəŋ[3]埂耿哽
təŋ[3]等
kəŋ[6]更{～加}
təŋ[5]凳镫
kʰəŋ[1]坑
təŋ[6]邓澄{～一～}瞪
kʰəŋ[3]肯恳垦龈
tʰəŋ[1]熥{～馒头}吞
xəŋ[1]亨哼
tʰəŋ[2]腾誊藤疼
xəŋ[2]痕恒衡
nəŋ[2]能□{踮起脚尖}
xəŋ[3]很
ləŋ[1]扔
xəŋ[6]恨
leŋ[2]棱凌
əŋ[1]恩

#iŋ
piŋ[1]彬宾冰兵
liŋ[6]赁吝令另
piŋ[3]禀丙秉饼
tɕiŋ[1]津巾精晶睛经{～过}茎京荆惊鲸今金襟禁{～不住}斤
piŋ[5]殡鬓柄{刀～}并{合～}
piŋ[6]病并{～列}
tɕiŋ[3]尽{～前头}紧井境景警颈谨锦
pʰiŋ[1]拼姘{～头}
tɕiŋ[5]浸进晋经{～纬}径□{～锅：蒸食物的砂锅}粽{～子}敬镜劲近
pʰiŋ[2]贫频凭平评坪瓶屏萍
pʰiŋ[3]品
tɕiŋ[6]禁{～止}尽{～力}仅静靖竟竞净
pʰiŋ[5]聘
