					註釋	字表
				籮		lœ453
				鑼		lœ231
				裸		lœ445
				洛		lœk423
				落	角落	nœk423
				落	下落	lœk312
				絡		lœk423
				囉	囉唆	lo453
				閭		ly24
				櫚		ly24
				驢		ly231
				呂		ly24
				侶		ly24
				捋		lut312
				捋		lut453
				旅		ly24
				鋁		ly24
				屢		ly24
				履		ly24
				褸		lɐu453
				褸	襤褸	ly24
				縷		ly24
				律		lɐt312
				率	率領	tɐt453
				率	速率	lɐt312
				氯		lʊk312
				綠		lʊk312
				慮		ly312
				濾		ly312
				掠		liɐk312
				略		liɐk312
				媽		ma445
				麻		ma231
				痲		lɐm231
				蟆		ma231
				馬		ma24
				獁		ma453
				瑪		ma24
				碼		ma24
				螞		ma24
				罵		ma312
				埋		mai231
				霾		mai231
				買		mai24
				脈		mak312
				麥		mak312
				賣		mai312
				邁		mai312
				瞞		mun231
				饅		man231
				鰻		man312
				蠻		man231
				滿		mun24
				蟎		mun24
				曼		man312
				蔓	瓜蔓	man312
				幔		man312
				漫		man312
				慢		man312
				謾		man312
				芒		mœŋ231
				芒		mœŋ453
				芒		mʊŋ453
				忙		mœŋ453
				盲		maŋ231
				氓		mœŋ231
				茫		mœŋ231
				硭		mœŋ231
				莽		mœŋ24
				蟒		mœŋ24
				貓		mau453
				貓		mau423
				毛		mo231
				矛		mau231
				茅		mau231
				錨		mau231
				冇		mɐu24
				卯		mau24
				鉚		mau24
				茂		mɐu312
				冒		mo312
				帽		mo312
				貿		mɐu312
				貌		mau312
				孭		miɐ423
				孭		ma423
				沒	沉沒	mut312
				玫		mui231
				枚		mui231
				眉		mi231
				莓		mui231
				梅		mui231
				脢		mui231
				郿		mi231
				嵋		mi231
				湄		mi231
				媒		mui231
				楣		mi231
				煤		mui231
				酶		mui231
				黴		mui231
				黴	極倒霉	mui453
				每		mui24
				美		mi24
				鎂		mi24
				妹		mui312
				昧		mui423
				寐		mui312
				媚		mi423
				睸		mi453
				魅		mi312
				魅		mui423
				門		mun231
				悶		mun423
				們		mun231
				擝		mɐŋ453
				虻		mœŋ231
				掹		mɐŋ453
				掹	拔	maŋ453
				萌		mɐŋ231
				蒙		mʊŋ231
				盟		mɐŋ231
				濛		mʊŋ231
				檬		mʊŋ453
				朦		mʊŋ231
				靀		mʊŋ231
				猛		maŋ24
				蜢		maŋ445
				懵	心亂皃	mʊŋ445
				蠓		mʊŋ231
				孟		maŋ312
				夢		mʊŋ312
				眯		mi453
				迷		mɐi231
				醚		mɐi231
				謎		mɐi231
				麋		mi231
				彌		mi231
				靡		mi24
				劘		mɐi453
				蘼		mi231
				米	大米	mɐi24
				泌	分泌	ɓi423
				祕		ɓi423
				秘		ɓi423
				覓		mɪk453
				密		mɐt312
				幎	蓋，披	mɪŋ453
				蜜		mɐt312
				冪		mɪk453
				謐		mɐt312
				眠		min231
				棉		min231
				綿		min231
				免		min24
				勉		min24
				娩		min24
				冕		min24
				湎		min24
				愐		min24
				緬		min24
				面	面對,面臨,面積	min312
				麫		min312
				麪	麵包,麵粉,麵條	min312
				麵		min312
				苗		miu231
				描		miu231
				瞄		miu231
				秒		miu24
				淼		miu24
				渺		miu24
				緲		miu24
				藐		miu24
				妙	好也	miu312
				廟		miu312
				乜		mɐt453
				乜		mɐt453
				烕		mit312
				滅		mit312
				蔑		mit312
				篾	竹篾	mit312
				衊		mit312
				民		mɐn231
				旻		mɐn231
				珉		mɐn231
				冧		lɐm423
				㨉		mɐn445
				皿		mɪŋ445
				皿		mɪŋ445
				泯		mɐn24
				敏		mɐn24
				閔		mɐn24
				閩		mɐn24
				憫		mɐn24
				名		mɪŋ231
				明		mɪŋ231
				茗		mɪŋ231
				冥		mɪŋ231
				鳴		mɪŋ231
				銘		mɪŋ231
				瞑		mɪŋ231
				螟		mɪŋ231
				酩		mɪŋ231
				命		mɪŋ312
				謬		mɐu423
				摸		mœ453
				摹		mu453
				模		mu453
				膜		mœk423
				摩		mœ453
				磨		mœ231
				磨		mœ231
				蘑		mœ231
				魔		mœ453
				䃺		mœ231
				䃺		mœ231
				抹		mut453
				抹		mat423
				末		mut312
				茉		mut312
				歿		mɐt453
				殁	死（光）	mɐt453
				沫		mut312
				陌	陌生	mak312
				莫	姓	mœk312
				莫	不要	mʊk312
				漠		mœk423
				寞		mœk423
				墨		mɐk312
				默		mɐk312
				驀		mɐk312
				牟		mɐu231
				蛑		mɐu231
				踎		mɐu453
				謀		mɐu231
				某		mɐu24
				母		mu24
				拇		mu24
				姆		mu24
				畝		mɐu24
				木		mʊk312
				目		mʊk312
				沐		mʊk312
				苜		mʊk312
				牧		mʊk312
				募		mu312
				墓		mu312
				幕		mœk423
				睦		mʊk312
				慕		mu312
				暮		mu312
				穆		mʊk312
				拿		na231
				乸		na445
				哪	哪里	nu445
				哪		lu445
				𪐀		na453
				那	那邊	na312
				衲		nap312
				娜	婀娜	na312
				納		nap312
				捺		nat423
				鈉		nap312
				孻		lai453
				乃		nai24
				奶		nai24
				奈		nœ312
				耐		nœ312
				男		nam231
				南		nam231
				楠		nam231
				難		nan231
				難		nan312
				揇	揇水	nam24
				腩		nam24
				囊		nœŋ231
				鬞？		nœŋ423
				𧟘		nœŋ423
				撓		nau231
				撓	撓癢	ȵau453
				惱		no24
				瑙		no24
				腦		no24
				鬧		nau312
				呢	呢喃	ni231
				餒		nui24
				內		nui312
				嫩		nyn312
				能		nɐŋ231
				妮		ni231
				尼		ni231
				泥		nɐi231
				倪		ni231
				霓		ni231
				你		ni24
				擬		ȵi445
				逆		ŋi312
				逆		ŋi312
				匿		ni312
				溺		nɪk312
				膩		ni312
				拈		nim453
				年		nin231
				鮎		nim231
				黏		nim453
				捻		nin445
				淰		nɐm453
				撚		nɐn445
				碾		ȵin445
				碾		ŋœn445
				㜤	有趣	ʃɐm423
				攆		nin445
				廿		ȵiɐ312
				廿		ȵiɐ312
				念		nim312
				娘		niɐŋ231
				釀		ȵiɐŋ312
				鳥		niu24
				裊		niu24
				嫋		niu231
				尿		niu312
				捏		nɐt453
				聶		nip312
				孼		nip312
				躡		nip312
				鑷		nap45
				苧	苧麻,麻苧	ʃy231
				寧		nɪŋ231
				凝		ŋɪŋ231
				凝		ŋɐŋ231
				嚀		nɪŋ231
				嚀		nɪŋ453
				獰		nɪŋ231
				檸		nɪŋ231
				擰		nɪŋ423
				擰	提	nɪŋ445
				佞		nɪŋ312
				寗		nɪŋ231
				妞		nɐu445
				牛		ŋɐu231
				扭		nɐu445
				紐		nɐu445
				鈕		nɐu445
				農		nʊŋ231
				儂		nʊŋ453
				儂	兒～	naŋ423
				儂		nʊŋ453
				濃		nʊŋ231
				膿		nʊŋ231
				燶		nʊŋ453
				𪒬		nʊŋ453
				弄		lʊŋ312
				弄		lʊŋ312
				奴		nu231
				駑		nu231
				努		nu24
				弩		nu24
				怒		nu312
				𧿔		ȵʊk453
				搙？		nʊk453
				暖		nyn24
				虐	虐待	ȵiɐk312
				瘧	瘧疾	ȵiɐk312
				挪		nœ231
				挪	移動，～開:移走	nœ423
				喏	唱～	ŋa24
				稬		nœ312
				諾		nœk312
				䚥		nœk423
				懦		nœ312
				糯		nœ312
				女		ny24
				漚		ʔɐu423
				甌		ʔɐu453
				歐		ʔɐu453
				毆		ʔɐu453
				謳？		wau445
				鷗		ʔɐu453
				偶		ŋɐu24
				嘔		ʔɐu445
				耦		ŋɐu24
				藕		ŋɐu24
				慪		ʔɐu423
				趴		pʰa453
				葩	奇葩	pʰa453
				杷		pa231
				爬		pa231
				琶		pa231
				帕		pʰak453
				怕		pʰa423
				拍		pʰak423
				排		pai231
				徘		pui231
				牌		pai231
				簰		pai231
				派		pʰai423
				潘		pʰun453
				攀		pʰan453
				槃		pun231
				磐		pun231
				盤		pun231
				蟠		pun231
				判		pʰun423
				盼		pʰan423
				叛		pʰun423
				畔		pun24
				襻	紐襻	pʰan453
				乓		ɓaŋ453
				滂	滂沱	pœŋ231
				彷	彷彿	wɐŋ445
				旁		pœŋ231
				螃		pœŋ231
				龐		pœŋ24
				龐		paŋ231
				耪		pʰœŋ453
				胖	腫	pun231
				胖	心寬體胖	pun24
				拋		pʰau453
				脬		pʰɐu453
				刨		pau312
				咆		po231
				咆		pau231
				袍		po231
				跑		pʰau445
				泡	浸	pʰau423
				泡	燈泡，塑料泡沫，起泡	pʰɐu453
				炮		pʰau423
				砲		pʰau423
				疱		pʰau423
				胚		pʰui453
				胚		pʰi453
				陪		pui231
				培		pui231
				裴		pui231
				賠		pui231
				沛		pʰui423
				佩		pʰui423
				配		pʰui423
				噴	噴水	pʰɐn423
				噴	噴香	pʰɐn423
				盆		pun231
				抨	抨擊	pʰaŋ453
				抨	驅趕	pʰaŋ453
				烹		pʰaŋ453
				朋		pɐŋ231
				彭		paŋ231
				棚		paŋ231
				塳	塵隨風起	pʰʊŋ453
				蓬		pʊŋ231
				硼	硼砂,硼酸	pɐŋ231
				澎		paŋ231
				篷		pʊŋ231
				膨		paŋ231
				髼		pʊŋ231
				蟛		paŋ231
				鵬		pɐŋ231
				鵬		paŋ231
				捧	捧碗	ɓʊŋ445
				捧	捧場	pʰʊŋ445
				碰		pʰʊŋ423
				丕		pʰi453
				批		pʰɐi453
				坯		pʰui453
				披		pʰi453
				砒		pʰi453
				紕		pʰi453
				劈		pʰɪk453
				霹		pʰɪk453
				皮		pi231
				枇		pi231
				毗		pi231
				疲		pi231
				啤		ɓe453
				琵		pi231
				脾		pi231
				貔		pi231
				匹		pʰɐt453
				痞	文讀	pʰi445
				癖		pʰɪk453
				屁		pʰi423
				辟		pʰɪk453
				僻		pʰɪk453
				譬		pʰi423
				闢	開闢	pʰɪk453
				偏		pʰin453
				篇		pʰin453
				翩		pʰin453
				片		pʰin423
				片		pʰin445
				騙		pʰin423
				縹		pʰiu453
				飄		pʰiu453
				嫖		piu231
				瓢		piu231
				票	車票	pʰiu423
				嘌		pʰiu453
				漂		pʰiu453
				漂	漂亮	pʰiu423
				撇	撇捺、撇開	pʰit453
				瞥		pʰit453
				苤		pʰit453
				拼		pʰɪŋ423
				貧		pɐn231
				頻		pɐn231
				嬪		pɐn231
				顰		pɐn231
				品		pʰɐn445
				聘		pʰɪŋ453
				乒		ɓɪŋ453
				平		pɪŋ231
				坪		pɪŋ231
				苹		pɪŋ231
				屏	屏风	pɪŋ231
				瓶		pɪŋ231
				萍		pɪŋ231
				評		pɪŋ231
				憑		pɐŋ231
				蘋		pɪŋ231
				坡		pʰœ453
				泊		pœk312
				泊		pœk312
				潑		pʰut453
				婆		po231
				迫		ɓɪk453
				珀		pʰak453
				破		pʰœ423
				魄		pʰœk423
				魄		pœk312
				頗	又讀	pʰœ453
				頗		pʰœ445
				剖		pʰɐu445
				抔	量詞，堆	pɐu231
				仆		pʰʊk453
				撲		pʰœk423
				鋪		pʰu453
				鋪		pʰu423
				匍		pu231
				莆		pu231
				菩		pu231
				脯		pu231
				脯		pu231
				葡		pu231
				蒲		pu231
				僕		pʰʊk453
				墣	磚～	pʰœk423
				璞		pʰœk423
				朴		pʰœk423
				朴		piu231
				埔		pʰu445
				圃		pʰu445
				浦		pʰu445
				普		pʰu445
				樸		pʰœk423
				譜		pʰu445
				瀑		po312
				瀑		po312
				曝		po312
				曝		po312
				七		tʰɐt453
				沏		tʰi423
				妻		tʰɐi453
				柒		tʰɐt453
				栖		tʰɐi453
				凄		tʰɐi453
				萋		tʰɐi453
				戚		tʰɪk453
				淒		tʰɐi453
				悽		tʰɐi453
				期	一周年,一整月	ki231
				欺		hi453
				漆		tʰɐt453
				慼		tʰɪk45
				蹊		kʰɐi453
				祁		ki231
				芪		ki231
				岐		ki231
				其		ki231
				奇	奇數	ki453
				奇		ki231
				歧		ki231
				祈		ki231
				萁	豆萁	ki231
				崎		ki231
				淇		ki231
				琪		ki231
				琦		ki231
				棋		ki231
				祺		ki231
				齊		fɐi231
				旗		ki231
				騏		ki231
				騎		ki24
				臍		fɐi231
				麒		ki231
				鰭		ki231
				乞		hɐt453
				企		ki24
				杞		ki445
				呇		mɐn423
				起		hi445
				豈		hi445
				啟		kʰʌi445
				啓		kʰʌi445
				綺		ʔi445
				汽		hi423
				泣	～訴,抽～	ȵɐp45
				契	契約	kʰʌi423
				砌		tʰi423
				氣		hi423
				訖	起～	ŋɐt312
				葺		tʰɐp45
				棄		hi423
				器		hi423
				薺		fɐi231
				掐		hap423
				洽		ʔap312
				恰		hap423
				千		tʰin453
				仟		tʰin453
				阡		tʰin453
				芊		tʰin453
				牽		hin453
				鉛		ʔyn231
				慳		han453
				搴		hin453
				遷		tʰim453
				謙		him453
				簽		tʰim453
				籤		tʰim453
				韆		tʰin453
				前		fin231
				虔		kin231
				乾	乾燥	kœn453
				乾	乾坤	kin231
				鉗		kem231
				潛		fim231
				錢		fin231
				淺		tʰin445
				遣		hin445
				譴		hin445
				欠		him423
				倩		fin312
				歉		him423
				羌		kʰiɐŋ453
				腔		hœŋ453
				槍		tʰiɐŋ453
				強		kiɐŋ231
				強	勉強,倔強	kʰiɐŋ445
				樯		fiɐŋ231
				墻		fiɐŋ231
				薔		fiɐŋ231
				嬙		fiɐŋ231
				檣		fiɐŋ231
				牆		fiɐŋ231
				搶		tʰiɐŋ445
				嗆		tʰiɐŋ423
				悄		fiu453
				敲		kʰau453
				鍫		tʰiu453
				鍬		tʰiu453
				喬		kiu231
				僑		kiu231
				蕎		kiu231
				嶠		kiu231
				嶠		kiu231
				橋		kiu231
				樵		tiu453
				瞧		kiu231
				巧		hau445
				俏		fiu453
				峭		fiu453
				殼		hœk423
				撬		kiu312
				撬		kʰiu423
				鞘		fiu453
				翹	連翹，翹楚，翹首	kiu231
				翹	翹起	kʰiu423
				翹		kʰeu453
				翹	～腳	keu24
				翹	～腳	keu312
				竅	竅門	kʰiu423
				茄		ke231
				且		tʰiɐ445
				切		tʰɐi423
				切	切開	tʰit453
				妾		tʰip45
				怯		hip45
				篋		kep45
				竊		tʰit453
				侵		tʰɐm453
				芹		kɐn231
				秦		fɐn231
				琴		tʃɐm231
				禽		tʃɐm231
				勤		tʃɐn231
				擒		tʃɐm231
				懃		tʃɐn231
				蠄		kom231
				寢		tʰɐm445
				沁		fɐm423
				吢	貓唚	tʰɐm423
				撳	按也.	kɐm312
				撳		kom312
				青		tʰɪŋ453
				靑		tʰɪŋ453
				卿		hɪŋ453
				氫		hɪŋ453
				清		tʰɪŋ453
				淸		tʰɪŋ453
				傾		kʰɪŋ453
				輕		hɪŋ453
				蜻		tʰɪŋ453
				情		fɪŋ231
				晴		fɪŋ231
				氰		tʰɪŋ453
				擎		kɪŋ231
				頃		kʰɪŋ445
				㷫		hɪŋ423
				請		tʰɪŋ445
				慶		hɪŋ423
				親	親人	tʰɐn453
				窮		tʃʊŋ231
				瓊		kɪŋ231
				丘		jɐu453
				邱		jɐu453
				秋	秋季	tɐu445
				蚯		jɐu453
				楸		tʰɐu453
				鞦	鞦韆	tʰɐu453
				鰍		tʰɐu453
				囚		fɐu231
				求		tʃɐu231
				泅		fɐu231
				俅		tʃɐu231
				酋		tʃɐu231
				逑		tʃɐu231
				球		tʃɐu231
				毬		tʃɐu231
				遒		tʃɐu231
				裘		tʃɐu231
				曲	曲折,歌曲	kʰʊk453
				屈		wɐt453
				䏣		tʰy453
				區	姓氏	ʔɐu453
				區		kʰy453
				蛆		tʰy453
				嶇		kʰy453
				敺		kʰy453
				趨		tʰy453
				趨	來自《蒼梧本地話音系》	ty453
				趨	異讀	kʰy453
				軀		kʰy453
				麴	酒麴	kʰʊk453
				驅		kʰy453
				佢		ky231
				渠		ky231
				蟝		kyu231
				瞿		ky231
				衢		ky231
				取		tʰy445
				取	買	tʰu445
				娶		tʰy445
				娶		tʰu445
				去		hy423
				趣		tʰy423
				圈		kyn423
				圈	圓圈	hyn453
				全		fun231
				荃		fun231
				泉		fun231
				拳		kyn231
				痊		fun231
				詮		fun231
				醛		fun231
				權		kyn231
				犬		hyn445
				券		kyn423
				勸		hyn423
				缺		kʰyt453
				卻		kʰiɐk453
				雀		tiɐk453
				搉		kʰœk423
				確		kʰœk423
				鵲		tiɐk453
				裙		kwɐn231
				羣		kwɐn231
				群		kwɐn231
				然		ʔin231
				燃		ʔin231
				冉		ȵim24
				苒		ȵim24
				染		ȵim24
				孃		niɐŋ231
				瓤	集韻音	nœŋ231
				壤		ȵiɐŋ231
				攘		ȵiɐŋ24
				嚷		ȵiɐŋ24
				嚷？		ŋœŋ453
				讓		ȵiɐŋ312
				橈		ȵiu231
				饒		ȵiu231
				擾		ȵiu445
				繞		ȵiu445
				惹		ȵiɐ445
				熱		ȵit312
				人		ȵɐn231
				人	自己一个人	ȵɐn453
				壬		ȵɐm231
				仁		ȵɐn231
				忍		ȵɐn445
				棯	棯子木：桃金娘	nim453
				刃		ȵɐn312
				任	姓	ȵɐm231
				任	責任	ȵɐm312
				腍		nɐm231
				韌		ȵɐn312
				認		ȵɐn312
				仍		ŋɐŋ231
				日		ȵɐt312
				戎		jʊŋ231
				茸	參茸	jʊŋ231
				容		jʊŋ231
				絨		jʊŋ231
				蓉		jʊŋ231
				溶		jʊŋ231
				榕		jʊŋ231
				榮		wɪŋ231
				熔		jʊŋ231
				融		jʊŋ231
				鎔		jʊŋ231
				柔		ȵɐu231
				揉		ȵɐu445
				蹂		ȵɐu231
				肉		ȵʊk312
				如		ʔy231
				儒		ʔy231
				乳		ȵui24
				辱		jʊk312
				入		ȵɐp312
				褥		ȵʊk312
				阮		ʔyn24
				軟		ȵyn24
				蕊		ȵui24
				芮		jui312
				瑞		fui312
				睿		jui312
				銳		jui312
				閏		ȵɐn312
				潤		ȵɐn312
				若		ȵiɐk312
				弱		ȵiɐk312
				撒		fat423
				灑		ʃa445
				灑		ʃa445
				卅		fa453
				颯		fap423
				薩		fat423
				腮		fœ453
				塞		fɐk453
				塞		fœ423
				鰓		fœ453
				賽		fœ423
				三	數名,二加一	fam453
				三	表示多次或多數	fam453
				傘		fan423
				糝		fam445
				鏾		fin423
				散		fan445
				散		fan423
				桑		fœŋ453
				喪		fœŋ453
				喪		fœŋ423
				搡		fœŋ453
				嗓		fœŋ453
				搔		fo453
				臊		fo453
				繅		fo453
				騷		fo453
				掃		fo423
				掃		fo423
				嫂		fo445
				瘙		fo453
				色		ʃɪk453
				瑟		ʃɐt453
				嗇		fɪk453
				澀		kip45
				澀		kip45
				森		ʃɐm453
				篸		tʃʰam445
				僧		fɐŋ453
				沙		ʃa453
				剎		ʃat423
				莎	莎草多,地下的塊根稱“香附子”	ʃa453
				殺		ʃat423
				紗		ʃa453
				痧		ʃa453
				煞		ʃat423
				裟		ʃa453
				鯊		ʃa453
				啥		ʃo445
				啥		ʃɐ445
				傻		ʃo312
				廈		ʔa312
				廈		ʔa312
				霎		ʃap423
				篩		ʃɐi453
				篩		ʃɐi453
				曬		ʃai423
				山		ʃan453
				杉		tʃʰam445
				刪		ʃan453
				衫		ʃam453
				姍		ʃan453
				珊		ʃan453
				釤		ʃam453
				煽		ʃin423
				陝		ʃim445
				閃		ʃim445
				汕		ʃan423
				疝		ʃan423
				扇		ʃin453
				扇		ʃin423
				善		ʃin24
				膳		ʃin312
				騸		ʃin423
				贍		ʃin231
				鱔		ʃin24
				商		ʃiɐŋ453
				傷		ʃiɐŋ453
				殤		ʃiɐŋ453
				觴		ʃiɐŋ453
				晌		jiɐŋ445
				賞		ʃiɐŋ445
				上	上午	ʃiɐŋ312
				上	上山	ʃiɐŋ24
				尚		ʃiɐŋ312
				裳		ʃiɐŋ231
				捎		ʃau445
				娋		ʃau453
				梢		ʃau453
				稍		ʃau445
				筲		ʃau453
				艄		ʃau453
				燒		ʃiu453
				髾		ʃau453
				勺		tʃiɐk453
				芍		tʃʰœk423
				韶		ʃiu231
				少	少許	ʃiu445
				少	少年	ʃiu423
				邵		ʃiu231
				劭		ʃiu231
				哨		ʃau423
				紹		ʃiu231
				潲	豬食	ʃau423
				潲		ʃau423
				奢		tʃʰiɐ453
				畲		ʃiɐ453
				賒		ʃiɐ453
				舌		ʃit312
				蛇		ʃiɐ231
				舍	宿舍	ʃiɐ423
				捨	捨棄	ʃiɐ445
				社		ʃiɐ24
				射		ʃiɐ312
				涉		ʃip45
				赦		ʃiɐ423
				設		tʃʰit453
				攝		ʃip45
				攝	攝石，又	hip45
				麝		ʃiɐ312
				懾		ʃip45
				申		ʃɐn453
				伸		ʃɐn453
				身		ʃɐn453
				呻		ʃɐn453
				珅		ʃɐn453
				莘		fɐn453
				砷		ʃɐn453
				娠		ʃɐn231
				深		ʃɐm453
				紳		ʃɐn453
				罧		lɐm312
				什		ʃɐm312
				神		ʃɐn231
				抌		ɗɐm445
				沈		ʃɐm445
				諗		nɐm445
				審		ʃɐm445
				嬸		ʃɐm445
				甚		ʃɐm312
				腎		ʃɐn24
				椹		ʃɐm312
				蜃		ʃɐn231
				愼		ʃɐn312
				滲		ʃam423
				升		ʃɪŋ453
				生		ʃaŋ453
				昇		ʃɪŋ453
				牲		ʃaŋ453
				陞		ʃɪŋ453
				笙		ʃaŋ453
				甥		ʃaŋ453
				鉎	鐵鏽	fɪŋ423
				聲		ʃɪŋ453
				澠	澠池	min24
				繩		ʃɪŋ231
				省	反省	fɪŋ445
				省	節省、省長	ʃaŋ445
				省	反省，又	ʃaŋ445
				盛	盛滿	ʃɪŋ231
				盛	興盛	ʃɪŋ312
				剩		ʃɪŋ312
				勝		ʃɪŋ423
				聖		ʃɪŋ423
				尸		ʃi453
				失		ʃɐt453
				虱		ʃɐt453
				施		ʃi453
				屍		ʃi453
				師		ʃi453
				獅	獅子	ʃi453
				詩		ʃi453
				溼		ʃɐp45
				蝨		ʃɐt453
				濕		ʃɐp45
				十		ʃɐp312
				石		ʃɪk312
				拾		ʃɐp312
				食		ʃɪk312
				時		ʃi231
				蝕		ʃɪk312
				實		ʃɐt312
				識		ʃɪk453
				史		ʃi445
				矢		tʃʰi445
				使	使用、即使	ʃʌi445
				始		tʃʰi445
				屎		ʃi445
				駛		ʃʌi445
				士		ʃi24
				氏		ʃi312
				示		ʃi312
				世		ʃʌi423
				仕		ʃi24
				市		ʃi24
				式		ʃɪk453
				似		fi24
				事		ʃi312
				侍		ʃi312
				拭		ʃɪk453
				柿		ʃʌi24
				柿		ʃi24
				是		ʃi24
				恃		ʃi312
				室		ʃɐt453
				逝		ʃʌi312
				舐		ʃai24
				視		ʃi312
				勢		ʃʌi423
				嗜		fi423
				飾		ʃɪk453
				試		ʃi423
				誓		ʃʌi312
				適		ʃɪk453
				釋		ʃɪk453
				匙	鎖匙	ʃi231
				收		ʃɐu453
				手		ʃɐu445
				守		ʃɐu445
				首		ʃɐu445
				受		ʃɐu24
				狩		ʃɐu423
				授		ʃɐu24
				授	又讀	ʃɐu312
				售		ʃɐu231
				售	又讀	ʃɐu312
				壽		ʃɐu312
				瘦		ʃɐu423
				獸		tʃʰɐu423
				獸		ʃɐu423
				抒		ʃy453
				叔		ʃʊk453
				殊		fy231
				書		ʃy453
				梳		ʃœ453
				淑		ʃʊk453
				舒		ʃy453
				疏		ʃœ453
				疏	注疏	ʃœ423
				蔬		ʃœ453
				樞		kʰy453
				輸		ʃy453
				秫		ʃɐt312
				孰		ʃʊk312
				塾		ʃʊk312
				熟		ʃʊk312
				贖		ʃʊk312
				暑		ʃy445
				黍		ʃy445
				署		ʃy445
				蜀		tʃʊk453
				鼠		ʃy445
				薯		ʃy231
				曙		ʃy24
				屬		ʃʊk312
				朮	白術	ʃɐt312
				戍		ʃy423
				束		tʃʰʊk453
				述		ʃɐt312
				沭		ʃɐt312
				恕		ʃy423
				術		ʃɐt312
				庶		ʃy423
				墅		ʃy24
				漱		fu423
				豎		ʃy24
				數		ʃy445
				數		ʃy423
				樹		ʃy312
				刷		tʃʰat423
				刷		ʃat423
				耍		ʃa445
				衰		ʃui453
				摔		tɐt453
				甩		lɐt453
				帥		ʃui423
				蟀		tɐt453
				拴		fun231
				閂		ʃan453
				栓		fun231
				栓		fun453
				涮		tʃʰat423
				霜		ʃœŋ453
				雙		ʃœŋ453
				孀		ʃœŋ453
				爽		ʃœŋ445
				誰		ʃui231
				水		ʃui445
				稅		ʃui423
				睡		ʃui312
				吮		ʃyun24
				順		ʃɐn312
				舜		ʃɐn312
				瞬		ʃɐn312
				說		ʃyt453
				朔		ʃœk423
				碩		ʃœk423
				槊		ʃœk423
				司		fi453
				私		fi453
				思		fi453
				俬		fi453
				斯		fi453
				絲		fi453
				撕		fi453
				廝		fi453
				螄		ʃi453
				鷥		fi453
				死		fi445
				巳		fi24
				四		fi423
				寺		fi24
				寺		ʃi24
				汜		fi24
				祀		fi24
				泗		fi423
				肆	“四”的大寫.	fi423
				肆		fi423
				嗣		fi24
				飼		fi24
				駟		fi423
				松	松樹	fʊŋ231
				嵩		fʊŋ453
				鬆	放鬆	fʊŋ231
				悚		fʊŋ445
				竦		fʊŋ445
				慫		fʊŋ445
				聳		fʊŋ445
				宋		fʊŋ423
				送		fʊŋ423
				訟		fʊŋ312
				頌		fʊŋ312
				誦		fʊŋ312
				餸		fʊŋ423
				搜		fɐu445
				艘		fɐu445
				餿	訓讀	fʊk453
				叟		fɐu445
				擻		fɐu445
				欶		ʃœk423
				甦		fu453
				酥		fu453
				穌		fu453
				蘇		fu453
				俗		fʊk312
				夙		fʊk453
				素		fu423
				速		tʰʊk453
				宿		fɐu423
				宿		fʊk453
				粟		fʊk453
				訴		fu423
				嗉		fy423
				塑		ʃœk423
				溯		ʃœk423
				愫		fu423
				肅		fʊk453
				狻		fun453
				痠		fun453
				酸		fun453
				蒜		fun423
				算		fun423
				挼		nœ453
				荽		fɐi453
				雖		fui453
				隋		fui231
				隨		fui231
				髓		fui445
				遂		fui312
				碎		fui423
				歲		fui423
				隧		fui312
				穗		ȵui312
				孫		fun453
				蓀		fun453
				猻		fun453
				隼		fɐn445
				筍		fɐn445
				損		fun445
				榫	榫頭	fɐn445
				唆		fœ453
				娑		fo453
				梭		fœ453
				蓑		fœ453
				嗦		fo453
				嗍		ʃœk423
				縮		ʃʊk453
				所		ʃœ445
				索	繩索	fœk423
				嗩		fœ445
				瑣		fœ445
				鎖		fœ445
				他		tʰa453
				它		tʰa453
				她		tʰa453
				牠		tʰa453
				祂		tʰa453
				塌		tʰap423
				塔		tʰap423
				拓		tʰœk423
				䍇		tʰap423
				搨		tʰap423
				䂿		top312
				榻		tʰap423
				踏		tap312
				䑜		tep45
				錔		tɐp312
				蹋		tʰap423
				胎		tʰœ453
				台		tœ231
				苔	舌～	tʰœ453
				苔	青苔	tœ231
				跆		tœ231
				臺		tœ231
				擡		tœ231
				太		tʰai423
				汰		tʰai423
				肽		tʰai423
				泰		tʰai423
				鈦		tʰai423
				態		tʰai423
				坍		tʰam453
				貪		tʰam453
				攤		tʰan453
				灘		tʰan453
				癱		tʰan453
				覃		fɐm231
				痰		tam231
				談		tam231
				潭		tam231
				壇		tan231
				曇		tam231
				檀		tan231
				罈		tam231
				壜		tam231
				譚		tam231
				忐		tʰam445
				坦		tʰan445
				袒		tʰan445
				毯	地～	tʰan445
				炭		tʰan423
				探	試探	tʰam423
				碳		tʰan423
				嘆		tʰan423
				湯		tʰœŋ453
				劏		tʰœŋ453
				唐		tœŋ231
				堂		tœŋ231
				棠		tœŋ231
				塘		tœŋ231
				搪		tœŋ231
				溏		tœŋ231
				瑭		tœŋ231
				膛		tœŋ231
				糖		tœŋ231
				螳		tœŋ231
				倘		tʰœŋ445
				淌		tʰœŋ445
				躺		tʰœŋ445
				儻		tʰœŋ445
				趟		tʰœŋ423
				燙		tʰœŋ423
				鐋		tʰœŋ423
				掏		to231
				滔		to231
				濤		to231
				燾		tʰo453
				韜		tʰo453
				饕		tʰo453
				逃		to231
				桃		to231
				陶		to231
				萄		to231
				淘		to231
				綯		to231
