					註釋	字表
				飛		wi453
				菲		wi453
				菲		wi453
				扉		wi453
				緋		wi453
				霏		wi453
				騑		wi453
				肥		pi231
				淝		pi231
				腓		fi445
				胐		wɐt453
				匪		wi445
				悱		wi445
				斐		wi445
				榧		wi445
				翡		wi445
				誹		wi445
				吠		pui312
				肺		wi423
				沸		wi423
				沸		pʰi453
				疿		wi445
				費		wi423
				痱		wi445
				分	分開	wɐn453
				分	成分，本分	pɐn312
				芬		wɐn453
				吩		wɐn453
				氛		wɐn453
				紛		wɐn453
				酚		wɐn453
				汾		pɐn231
				焚		pɐn231
				豶		pɐn231
				粉	河粉	wɐn445
				粉	粉末，白讀	ɓɐn445
				份		pɐn312
				忿		pʰɐn423
				忿		pʰɐn423
				墳		pɐn231
				憤		pʰɐn423
				奮		pʰɐn423
				糞		ɓɐn423
				丰		hʊŋ453
				封		hʊŋ453
				風		hʊŋ453
				峰		hʊŋ453
				烽		hʊŋ453
				葑		hʊŋ453
				楓		hʊŋ453
				蜂		hʊŋ453
				瘋		hʊŋ453
				鋒		hʊŋ453
				豐		hʊŋ453
				酆		hʊŋ453
				逢		pʊŋ231
				馮		pʊŋ231
				渢		hʊŋ453
				漨		pʊŋ231
				縫	裁縫	pʊŋ231
				縫	裂縫	pʊŋ312
				諷		hʊŋ445
				奉		pʊŋ312
				俸		pʊŋ312
				鳳		pʊŋ312
				缶		wɐu445
				否		wɐu445
				否		pʰi445
				夫	大夫，夫人	hu453
				沕	沕水：潛水	mi423
				孵		po312
				麩		hu453
				敷		pʰu453
				膚		hu453
				弗		pɐt312
				伏		pʊk312
				扶		pu231
				芙		pu231
				佛	佛教	pɐt312
				孚		pu231
				拂		pʰɐt453
				苻		pu231
				彿	彷彿	pʰɐt453
				服		pʊk312
				茯		pʊk312
				氟		pɐt312
				俘		pu231
				栿		pʊk312
				栿		pʊk312
				浮		pɐu231
				符		pu231
				匐		pʊk312
				袱		pʊk312
				幅		hʊk453
				鳧		pu231
				福		hʊk453
				蝠		hʊk453
				輻		hʊk453
				甫		pʰu445
				斧		pu445
				府		hu445
				俯		hu445
				釜		hu445
				腑		hu445
				輔		pʰu445
				腐		pu312
				撫		mu445
				黼		pʰu445
				父		pu24
				付		fu312
				附		fu312
				咐		fu312
				阜		pɐu312
				赴		fu312
				复		hʊk453
				負		fu312
				訃		fu312
				副		fu423
				婦		pu24
				傅		pu24
				復	復興	hʊk453
				復	復原	hʊk453
				富		hu423
				腹		hʊk453
				複		hʊk453
				駙		fu312
				賦		hu423
				賦	又读	fu312
				蝮		hʊk453
				縛		ɓœk453
				𥨍		ɓʊk453
				覆		hʊk453
				呷	吸而飮曰呷	hap423
				尬		kai423
				該		kœ453
				改		kœ445
				丐		kʰœ423
				鈣		kʰœ423
				溉		kʰœ423
				蓋		kœ423
				概		kʰœ423
				漑		kʰœ423
				槪		kʰœ423
				甘		kom453
				肝		kœn453
				坩		kom453
				苷		kom453
				泔		kom453
				柑		kom453
				竿	竹竿	kœn445
				疳		kom453
				尷		kam423
				桿		kœn445
				敢		kom445
				稈		kœn445
				感		kom445
