音标	调类	字汇							
nai	3	乃奶（牛∽）							
nai	5	赖耐奈							
tsai	1	灾栽							
tsai	3	仔宰崽者							
tsai	5	在再寨债寨							
tsʰai	1	差（出∽）猜							
tsʰai	2	才材财柴豺裁							
tsʰai	3	采彩踩							
tsʰai	5	菜蔡							
sai	1	腮筛							
sai	5	赛							
kai	1	该街阶							
kai	3	改解							
kai	5	盖介届界（白）丐钙							
kʰai	1	开揩							
kʰai	3	凯楷个（白读，一∽，本字存疑）							
kʰai	5	概（∽率）							
xai	1	嗨							
xai	2	还鞋孩							
xai	3	海蟹							
xai	5	害							
ŋai	1	挨							
ŋai	2	挨岩崖癌呆（∽板）							
ŋai	3	矮							
ŋai	5	爱							
suai	1	摔衰							
suai	3	甩							
suai	5	帅							
tsʰuai	1	猜（白）揣							
tsʰuai	3	喘							
tsuai	1	跩（表示摔倒，一说摔，又说蹟）							
tsuai	5	拽							
kuai	1	乖							
kuai	3	拐							
kuai	5	怪							
kʰuai	3	块							
kʰuai	5	快筷							
xuai	1	欢（白读，∽喜）							
xuai	2	淮							
xuai	5	坏							
uai	1	歪							
uai	3	崴							
uai	5	外							
tɕiai	1	皆阶（文，台∽）							
tɕiai	3	解							
tɕiai	5	界介（文，中∽）届（文）							
iai	3	也（存疑）							
ɕiai	2	谐							
ɕiai	5	懈解（姓）蟹（文）							
pei	1	背杯卑碑悲							
pei	5	背秘（∽密）被（∽条）贝倍辈							
pʰei	1	批披坯							
pʰei	2	陪赔培							
pʰei	5	配							
fei	1	飞非啡妃							
fei	2	肥							
fei	3	匪菲（∽律宾）							
fei	5	废肺费							
tei	1	在（白读）都（白读，∽不行）							
tei	2	得							
nei	1	的（少用）							
nei	10	的							
mei	1	没							
mei	2	梅煤媒莓霉玫							
mei	3	每美							
mei	5	妹							
tsʰei	1	车							
tsʰei	3	扯							
sei	1	赊奢							
sei	2	蛇							
sei	3	舍							
sei	5	射社舍（宿∽）							
tsei	1	遮							
tsei	5	这（文读）							
zei	3	惹							
kei	1	给（动词读法）							
xei	3	许（白，∽实，用力）							
tuei	1	堆							
tuei	5	对队							
tʰuei	1	推							
tʰuei	3	腿							
tʰuei	5	退褪							
nuei	1	追（白）							
nuei	2	雷							
nuei	3	累垒磊吕铝旅							
nuei	5	内泪类累虑滤							
tsuei	1	追							
tsuei	3	嘴							
tsuei	5	最罪醉坠							
tsʰuei	1	吹							
tsʰuei	2	锤垂							
tsʰuei	5	脆翠							
suei	2	随谁							
suei	3	水							
suei	5	岁睡瑞税絮（棉∽）							
kuei	1	归规龟闺							
kuei	3	鬼轨诡							
kuei	5	贵桂柜跪							
kʰuei	1	亏							
kʰuei	2	葵							
kʰuei	3	跪（白读）							
kʰuei	5	溃愧							
xuei	1	灰恢徽挥							
xuei	2	回							
xuei	3	悔毁							
xuei	5	会绘烩汇惠慧							
uei	1	威煨							
uei	2	围危微为（作∽）违围唯维							
uei	3	伟萎尾							
uei	5	胃谓为（因∽）伪位未味卫畏喂魏							
zuei	5	锐							
paʊ	1	包胞孢							
paʊ	3	宝饱							
paʊ	5	报							
pʰaʊ	1	泡抛							
pʰaʊ	2	袍刨							
pʰaʊ	3	跑							
pʰaʊ	5	泡炮							
maʊ	1	猫							
maʊ	2	毛矛茅							
maʊ	3	牡							
maʊ	5	冒帽貌							
taʊ	1	刀							
taʊ	3	倒岛							
taʊ	5	倒到道导盗							
tʰaʊ	1	掏							
tʰaʊ	2	桃淘萄							
tʰaʊ	3	讨							
tʰaʊ	5	套							
naʊ	1	捞							
naʊ	2	捞牢							
naʊ	3	恼老脑							
naʊ	5	闹							
kaʊ	1	高膏糕							
kaʊ	3	搞							
kaʊ	5	告窖觉（得一∽）校（尝试，∽下，或作（㩭））							
kʰaʊ	1	敲							
kʰaʊ	3	考烤							
kʰaʊ	5	靠							
xaʊ	1	薅							
