	單字	ipa_調類	ipa_調值	注释
1954	扁	piɛn2	piɛn³²³	扁平
4800	扁			一葉扁舟
1953	匾	piɛn2	piɛn³²³	
1950	貶	pin2	pin³²³	
1945	汴	pin6	pin⁵²	
1948	便	pin6	pin⁵²	便利
4806	便			大腹便便
2018	遍	pʰin3	pʰin³³	
1946	辨	pin6	pin⁵²	
1952	辮	pin1	pin⁴⁵	
1947	辯	pin6	pin⁵²	
1949	變	pin3	pin³³	
1931	彪	piu1	piu⁴⁵	
1932	標	piu1	piu⁴⁵	
1933	鏢	piu1	piu⁴⁵	
4867	臕			
1934	飆	piu1	piu⁴⁵	
1935	飈	piu1	piu⁴⁵	
5190	鑣			
1928	表	piu2	piu³²³	
1929	婊	piu2	piu³²³	
1930	裱	piu2	piu³²³	
1936	錶	piu1	piu⁴⁵	
1937	鰾	piu1	piu⁴⁵	
1942	憋	pit8	pit³	
1943	憋	pit8	pit³	
1944	鱉	pit8	pit³	
1938	別	pit9	pit⁵²	
1939	癟	pit9	pit⁵²	
1940	彆	pit9	pit⁵²	
5191	邠			
2186	彬	pɐn1	pɐn⁴⁵	
2187	斌	pɐn1	pɐn⁴⁵	
2188	賓	pɐn1	pɐn⁴⁵	
2189	濱	pɐn1	pɐn⁴⁵	
2190	檳	pɐn1	pɐn⁴⁵	
5192	瀕			
2191	繽	pɐn1	pɐn⁴⁵	
2192	殯	pɐn1	pɐn⁴⁵	
2178	臏	pɐn3	pɐn³³	
2179	鬢	pɐn3	pɐn³³	
2123	冰	peŋ1	peŋ⁴⁵	
2124	兵	peŋ1	peŋ⁴⁵	
2118	丙	peŋ2	peŋ³²³	
2119	秉	peŋ2	peŋ³²³	
2116	柄	peŋ3	peŋ³³	
2120	炳	peŋ2	peŋ³²³	
2180	稟	pɐn2	pɐn³²³	
2121	餅	peŋ2	peŋ³²³	
2111	并	peŋ6	peŋ⁵²	
2117	併	peŋ3	peŋ³³	
2112	並	peŋ6	peŋ⁵²	
2113	病	peŋ6	peŋ⁵²	
2122	摒	peŋ2	peŋ³²³	
1905	波	puɔ1	puɔ⁴⁵	
1906	玻	puɔ1	puɔ⁴⁵	
1902	剝	puɔk7	puɔk⁴⁵	
1907	菠	puɔ1	puɔ⁴⁵	
1854	缽	put8	put³	
1855	鉢	put8	put³	
1903	播	puɔ3	puɔ³³	
1856	撥	put8	put³	
1849	餑	put9	put⁵²	
2207	伯	pɐk7	pɐk⁴⁵	老伯
5193	伯			春秋五伯
2201	帛	pɐk9	pɐk⁵²	
1850	勃	put9	put⁵²	
1851	𡋯	put9	put⁵²	
2202	舶	pɐk9	pɐk⁵²	
1852	脖	put9	put⁵²	
1897	博	puɔk8	puɔk³	
1853	渤	put9	put⁵²	
1898	搏	puɔk8	puɔk³	
2163	鈸	pat9	pat⁵²	
2087	鉑	pʰɐk7	pʰɐk⁴⁵	
1899	駁	puɔk8	puɔk³	
1894	箔	puɔk9	puɔk⁵²	
1900	膊	puɔk8	puɔk³	
1895	礴	puɔk9	puɔk⁵²	
2219	跛	pɐi1	pɐi⁴⁵	站立時重心偏於某一足上
2220	跛	pɐi1	pɐi⁴⁵	
2221	跛	pɐi1	pɐi⁴⁵	白讀
1904	簸	puɔ2	puɔ³²³	
4868	檗			
4869	擘			
1872	卜	puk7	puk⁴⁵	
2203	蔔	pɐk9	pɐk⁵²	
1927	逋	pou1	pou⁴⁵	
4870	醭			
1908	捕	pou6	pou⁵²	
1909	哺	pou6	pou⁵²	
1924	補	pou2	pou³²³	
2169	不	pɐt7	pɐt⁴⁵	
1916	布	pou3	pou³³	
1910	步	pou6	pou⁵²	
1917	佈	pou3	pou³³	
1918	怖	pou3	pou³³	
1911	部	pou6	pou⁵²	
1995	埠	pʰou6	pʰou⁵²	船埠，埠頭
4696	埠	fɐu6	fɐu⁵²	商埠，外埠
1912	簿	pou6	pou⁵²	
836	擦	ʦʰat8	ʦʰat³	
911	猜	ʦʰai1	ʦʰai⁴⁵	
627	才	ʦʰuɔi4	ʦʰuɔi³¹	
628	材	ʦʰuɔi4	ʦʰuɔi³¹	
629	財	ʦʰuɔi4	ʦʰuɔi³¹	
630	裁	ʦʰuɔi4	ʦʰuɔi³¹	
4871	纔			
634	采	ʦʰuɔi2	ʦʰuɔi³²³	
635	採	ʦʰuɔi2	ʦʰuɔi³²³	
636	彩	ʦʰuɔi2	ʦʰuɔi³²³	
637	睬	ʦʰuɔi2	ʦʰuɔi³²³	
638	綵	ʦʰuɔi2	ʦʰuɔi³²³	
905	踩	ʦʰai2	ʦʰai³²³	白读ȵai³²³
631	菜	ʦʰuɔi3	ʦʰuɔi³³	
632	蔡	ʦʰuɔi3	ʦʰuɔi³³	
4872	叄			
886	參	ʦʰam1	ʦʰam⁴⁵	參加
889	參	ʦʰam1	ʦʰam⁴⁵	參差
1830	參	sɐm1	sɐm⁴⁵	人參
3233	參	ɬam1	ɬam⁴⁵	三的大寫
876	餐	ʦʰan1	ʦʰan⁴⁵	
861	殘	ʦʰan4	ʦʰan³¹	
879	慚	ʦʰam4	ʦʰam³¹	
880	蠶	ʦʰam4	ʦʰam³¹	
884	慘	ʦʰam2	ʦʰam³²³	
865	璨	ʦʰan3	ʦʰan³³	
866	燦	ʦʰan3	ʦʰan³³	
621	倉	ʦʰuɔŋ1	ʦʰuɔŋ⁴⁵	
622	蒼	ʦʰuɔŋ1	ʦʰuɔŋ⁴⁵	
623	滄	ʦʰuɔŋ1	ʦʰuɔŋ⁴⁵	
624	艙	ʦʰuɔŋ1	ʦʰuɔŋ⁴⁵	
346	藏	ʦuɔŋ6	ʦuɔŋ⁵²	寶藏
614	藏	ʦʰuɔŋ4	ʦʰuɔŋ³¹	收藏
664	操	ʦʰou1	ʦʰou⁴⁵	早操
665	操	ʦʰou1	ʦʰou⁴⁵	操行
655	糙	ʦʰou3	ʦʰou³³	
651	曹	ʦʰou4	ʦʰou³¹	
652	嘈	ʦʰou4	ʦʰou³¹	
653	槽	ʦʰou4	ʦʰou³¹	
663	草	ʦʰou2	ʦʰou³²³	
892	冊	ʦʰɐk7	ʦʰɐk⁴⁵	
1126	側	ʦɐk7	ʦɐk⁴⁵	
893	策	ʦʰɐk7	ʦʰɐk⁴⁵	
758	廁	ʦʰi3	ʦʰi³³	又读ʦʰei³³
894	測	ʦʰɐk7	ʦʰɐk⁴⁵	
895	惻	ʦʰɐk7	ʦʰɐk⁴⁵	
1820	岑	sɐm4	sɐm³¹	
1821	涔	sɐm4	sɐm³¹	
848	曾	ʦʰɐŋ4	ʦʰɐŋ³¹	曾經
1062	曾	ʦɐŋ1	ʦɐŋ⁴⁵	曾孫
846	層	ʦʰɐŋ4	ʦʰɐŋ³¹	
4873	蹭			
919	叉	ʦʰa1	ʦʰa⁴⁵	
920	杈	ʦʰa1	ʦʰa⁴⁵	
843	插	ʦʰap8	ʦʰap³	
4874	茬			
913	茶	ʦʰa4	ʦʰa³¹	
916	查	ʦʰa4	ʦʰa³¹	檢查
1151	查	ʦa1	ʦa⁴⁵	查姓
914	搽	ʦʰa4	ʦʰa³¹	
915	槎	ʦʰa4	ʦʰa³¹	
837	察	ʦʰat8	ʦʰat³	
921	汊	ʦʰa1	ʦʰa⁴⁵	
5194	奼			
917	岔	ʦʰa3	ʦʰa³³	
912	差	ʦʰai1	ʦʰai⁴⁵	出差
922	差	ʦʰa1	ʦʰa⁴⁵	參差
923	差	ʦʰa1	ʦʰa⁴⁵	差別
918	詫	ʦʰa3	ʦʰa³³	
896	拆	ʦʰɐk7	ʦʰɐk⁴⁵	
924	釵	ʦʰa1	ʦʰa⁴⁵	
901	柴	ʦʰai4	ʦʰai³¹	
902	豺	ʦʰai4	ʦʰai³¹	
887	摻	ʦʰam1	ʦʰam⁴⁵	
888	攙	ʦʰam1	ʦʰam⁴⁵	
1796	潺	san4	san³¹	
1643	嬋	sin4	sin³¹	
1637	禪	sin6	sin⁵²	禪讓
1644	禪	sin4	sin³¹	禪師
1650	蟬	sim4	sim³¹	
5195	蟾			
4875	劖			
687	纏	ʦʰin4	ʦʰin³¹	
4876	讒			
881	饞	ʦʰam4	ʦʰam³¹	
870	產	ʦʰan2	ʦʰan³²³	
871	剷	ʦʰan2	ʦʰan³²³	
5196	諂			
872	鏟	ʦʰan2	ʦʰan³²³	
688	闡	ʦʰin4	ʦʰin³¹	
4877	懺			
426	顫	ʦin3	ʦin³³	
722	昌	ʦʰiɛŋ1	ʦʰiɛŋ⁴⁵	
723	菖	ʦʰiɛŋ1	ʦʰiɛŋ⁴⁵	
724	猖	ʦʰiɛŋ1	ʦʰiɛŋ⁴⁵	
725	娼	ʦʰiɛŋ1	ʦʰiɛŋ⁴⁵	
726	鯧	ʦʰiɛŋ1	ʦʰiɛŋ⁴⁵	
465	長	ʦiɛŋ2	ʦiɛŋ³²³	長大
715	長	ʦʰiɛŋ4	ʦʰiɛŋ³¹	長久
1656	常	siɛŋ4	siɛŋ³¹	
1657	徜	siɛŋ4	siɛŋ³¹	
708	場	ʦʰiɛŋ4	ʦʰiɛŋ³¹	
709	腸	ʦʰiɛŋ4	ʦʰiɛŋ³¹	
1658	嘗	siɛŋ4	siɛŋ³¹	
1659	嫦	siɛŋ4	siɛŋ³¹	
1660	嚐	siɛŋ4	siɛŋ³¹	
1661	償	siɛŋ4	siɛŋ³¹	
617	敞	ʦʰuɔŋ2	ʦʰuɔŋ³²³	
618	廠	ʦʰuɔŋ2	ʦʰuɔŋ³²³	
716	倡	ʦʰiɛŋ3	ʦʰiɛŋ³³	倡導
727	倡	ʦʰiɛŋ1	ʦʰiɛŋ⁴⁵	倡優
717	唱	ʦʰiɛŋ3	ʦʰiɛŋ³³	
718	悵	ʦʰiɛŋ3	ʦʰiɛŋ³³	
719	暢	ʦʰiɛŋ3	ʦʰiɛŋ³³	
835	抄	ʦʰau1	ʦʰau⁴⁵	
676	超	ʦʰiu1	ʦʰiu⁴⁵	
828	鈔	ʦʰau3	ʦʰau³³	
734	焯	ʦʰiɛk8	ʦʰiɛk³	
5197	晁			
822	巢	ʦʰau4	ʦʰau³¹	
401	朝	ʦiu1	ʦiu⁴⁵	朝夕
671	朝	ʦʰiu4	ʦʰiu³¹	朝廷
1035	嘲	ʦau1	ʦau⁴⁵	
667	潮	ʦʰiu4	ʦʰiu³¹	
654	吵	ʦʰou4	ʦʰou³¹	吵闹
831	吵	ʦʰau2	ʦʰau³²³	吵耳
832	炒	ʦʰau2	ʦʰau³²³	
744	車	ʦʰiɛ1	ʦʰiɛ⁴⁵	汽車
3714	車	kei1	kei⁴⁵	車馬炮
741	扯	ʦʰiɛ2	ʦʰiɛ³²³	
891	坼	ʦʰɐk8	ʦʰɐk³	
897	㿭	ʦʰɐk7	ʦʰɐk⁴⁵	
1133	掣	ʦɐi3	ʦɐi³³	
680	撤	ʦʰit8	ʦʰit³	
681	徹	ʦʰit8	ʦʰit³	
682	澈	ʦʰit8	ʦʰit³	
1827	琛	sɐm1	sɐm⁴⁵	
5198	瞋			
1785	臣	sɐn4	sɐn³¹	
1786	辰	sɐn4	sɐn³¹	
877	沉	ʦʰɐm4	ʦʰɐm³¹	
1822	忱	sɐm4	sɐm³¹	
1787	宸	sɐn4	sɐn³¹	
852	陳	ʦʰɐn4	ʦʰɐn³¹	
1788	晨	sɐn4	sɐn³¹	
853	塵	ʦʰɐn4	ʦʰɐn³¹	
862	趁	ʦʰɐn3	ʦʰɐn³³	
863	襯	ʦʰɐn3	ʦʰɐn³³	
782	稱	ʦʰeŋ3	ʦʰeŋ³³	稱職
787	稱	ʦʰeŋ1	ʦʰeŋ⁴⁵	稱呼
849	撐	ʦʰɐŋ3	ʦʰɐŋ³³	
1325	瞠	tʰuɔŋ2	tʰuɔŋ³²³	
4878	蟶			
1721	成	seŋ4	seŋ³¹	
1722	丞	seŋ4	seŋ³¹	
775	呈	ʦʰeŋ4	ʦʰeŋ³¹	
1723	承	seŋ4	seŋ³¹	
1724	城	seŋ4	seŋ³¹	
776	埕	ʦʰeŋ4	ʦʰeŋ³¹	
1725	乘	seŋ4	seŋ³¹	乘車
5199	乘			萬乘之國
777	程	ʦʰeŋ4	ʦʰeŋ³¹	
4879	塍			
1726	誠	seŋ4	seŋ³¹	
778	澄	ʦʰeŋ4	ʦʰeŋ³¹	
847	橙	ʦʰɐŋ4	ʦʰɐŋ³¹	
779	懲	ʦʰeŋ4	ʦʰeŋ³¹	
784	逞	ʦʰeŋ2	ʦʰeŋ³²³	
785	騁	ʦʰeŋ2	ʦʰeŋ³²³	
783	秤	ʦʰeŋ3	ʦʰeŋ³³	地秤
2029	秤	pʰeŋ4	pʰeŋ³¹	天秤
4880	牚			
4474	吃	hɐt7	hɐt⁴⁵	口吃
4475	吃	hɐt7	hɐt⁴⁵	又读hek⁴⁵
5200	吃			吃食
4476	喫	hɐt7	hɐt⁴⁵	又读hek⁴⁵
769	嗤	ʦʰi1	ʦʰi⁴⁵	
770	痴	ʦʰi1	ʦʰi⁴⁵	
4881	鴟			
771	癡	ʦʰi1	ʦʰi⁴⁵	
749	池	ʦʰi4	ʦʰi³¹	
750	弛	ʦʰi4	ʦʰi³¹	
751	持	ʦʰi4	ʦʰi³¹	
752	馳	ʦʰi4	ʦʰi³¹	
753	遲	ʦʰi4	ʦʰi³¹	
790	尺	ʦʰek7	ʦʰek⁴⁵	
762	侈	ʦʰi2	ʦʰi³²³	
763	恥	ʦʰi2	ʦʰi³²³	
1669	豉	si6	si⁵²	
764	齒	ʦʰi2	ʦʰi³²³	
791	斥	ʦʰek7	ʦʰek⁴⁵	
792	赤	ʦʰek7	ʦʰek⁴⁵	
759	翅	ʦʰi3	ʦʰi³³	
5201	敕			
4882	飭			
496	熾	ʦi3	ʦi³³	又读ʦʰek⁴⁵
565	充	ʦʰuŋ1	ʦʰuŋ⁴⁵	
566	沖	ʦʰuŋ1	ʦʰuŋ⁴⁵	
5202	忡			
295	舂	ʦuŋ1	ʦuŋ⁴⁵	
567	衝	ʦʰuŋ1	ʦʰuŋ⁴⁵	衝鋒
568	衝	ʦʰuŋ1	ʦʰuŋ⁴⁵	衝勁
569	憧	ʦʰuŋ1	ʦʰuŋ⁴⁵	
1583	崇	suŋ4	suŋ³¹	
558	蟲	ʦʰuŋ4	ʦʰuŋ³¹	
564	寵	ʦʰuŋ2	ʦʰuŋ³²³	
5203	銃			
833	抽	ʦʰɐu1	ʦʰɐu⁴⁵	
5204	搊			
1747	仇	sɐu4	sɐu³¹	仇人
4781	仇			仇姓
812	惆	ʦʰɐu4	ʦʰɐu³¹	
813	酬	ʦʰɐu4	ʦʰɐu³¹	
814	稠	ʦʰɐu4	ʦʰɐu³¹	
1746	愁	sɐu4	sɐu³¹	
815	綢	ʦʰɐu4	ʦʰɐu³¹	
816	疇	ʦʰɐu4	ʦʰɐu³¹	
817	籌	ʦʰɐu4	ʦʰɐu³¹	
818	躊	ʦʰɐu4	ʦʰɐu³¹	
4883	讎			
829	丑	ʦʰɐu2	ʦʰɐu³²³	
830	醜	ʦʰɐu2	ʦʰɐu³²³	
823	臭	ʦʰɐu3	ʦʰɐu³³	
838	出	ʦʰɐt7	ʦʰɐt⁴⁵	
646	初	ʦʰuɔ1	ʦʰuɔ⁴⁵	
839	齣	ʦʰɐt7	ʦʰɐt⁴⁵	
754	除	ʦʰi4	ʦʰi³¹	
4884	芻			
5205	蜍			
639	鋤	ʦʰuɔ4	ʦʰuɔ³¹	
755	廚	ʦʰi4	ʦʰi³¹	
4271	躇	i4	i³¹	
647	雛	ʦʰuɔ1	ʦʰuɔ⁴⁵	
756	櫥	ʦʰi4	ʦʰi³¹	
745	杵	ʦʰi5	ʦʰi³¹²	
644	楚	ʦʰuɔ2	ʦʰuɔ³²³	
4885	褚			
765	儲	ʦʰi2	ʦʰi³²³	白读ʦʰou³¹²
645	礎	ʦʰuɔ2	ʦʰuɔ³²³	
1045	怵	ʦɐt7	ʦɐt⁴⁵	
583	畜	ʦʰuk7	ʦʰuk⁴⁵	
760	處	ʦʰi3	ʦʰi³³	住處
766	處	ʦʰi2	ʦʰi³²³	處理
549	絀	ʦʰut8	ʦʰut³	
584	搐	ʦʰuk7	ʦʰuk⁴⁵	
4886	黜			
585	觸	ʦʰuk7	ʦʰuk⁴⁵	
586	矗	ʦʰuk7	ʦʰuk⁴⁵	
578	揣	ʦʰun2	ʦʰun³²³	
550	啜	ʦʰut8	ʦʰut³	
696	川	ʦʰin1	ʦʰin⁴⁵	
697	穿	ʦʰin1	ʦʰin⁴⁵	
1645	船	sin4	sin³¹	
4887	椽			
422	傳	ʦin6	ʦin⁵²	自傳
694	傳	ʦʰin4	ʦʰin³¹	傳播
5206	篅			
579	舛	ʦʰun2	ʦʰun³²³	
580	喘	ʦʰun2	ʦʰun³²³	
695	串	ʦʰin3	ʦʰin³³	
625	窗	ʦʰuɔŋ1	ʦʰuɔŋ⁴⁵	
626	瘡	ʦʰuɔŋ1	ʦʰuɔŋ⁴⁵	
612	床	ʦʰuɔŋ4	ʦʰuɔŋ³¹	
613	牀	ʦʰuɔŋ4	ʦʰuɔŋ³¹	
4888	噇			
1158	幢	tuŋ6	tuŋ⁵²	量詞
4836	幢			幡幢
5207	幢			海幢寺
619	闖	ʦʰuɔŋ2	ʦʰuɔŋ³²³	
615	創	ʦʰuɔŋ3	ʦʰuɔŋ³³	創傷
616	創	ʦʰuɔŋ3	ʦʰuɔŋ³³	創造
620	愴	ʦʰuɔŋ2	ʦʰuɔŋ³²³	
606	吹	ʦʰui1	ʦʰui⁴⁵	
607	炊	ʦʰui1	ʦʰui⁴⁵	
1596	垂	sui4	sui³¹	
593	捶	ʦʰui4	ʦʰui³¹	
594	搥	ʦʰui4	ʦʰui³¹	
595	槌	ʦʰui4	ʦʰui³¹	
596	錘	ʦʰui4	ʦʰui³¹	鐵錘，稱錘
597	鎚	ʦʰui4	ʦʰui³¹	
873	春	ʦʰɐn1	ʦʰɐn⁴⁵	
874	椿	ʦʰɐn1	ʦʰɐn⁴⁵	
1789	純	sɐn4	sɐn³¹	
1790	脣	sɐn4	sɐn³¹	
1791	淳	sɐn4	sɐn³¹	
4889	蒓			
1792	醇	sɐn4	sɐn³¹	
1434	鶉	tʰɐn4	tʰɐn³¹	鵪鶉，鵪鶉蛋
4783	鶉			鶉衣
867	蠢	ʦʰɐn2	ʦʰɐn³²³	
735	戳	ʦʰiɛk8	ʦʰiɛk³	
736	綽	ʦʰiɛk8	ʦʰiɛk³	
551	輟	ʦʰut8	ʦʰut³	
4890	齪			
5208	疵			
5209	茨			
796	祠	ʦʰei4	ʦʰei³¹	
797	瓷	ʦʰei4	ʦʰei³¹	
798	詞	ʦʰei4	ʦʰei³¹	
799	慈	ʦʰei4	ʦʰei³¹	
800	磁	ʦʰei4	ʦʰei³¹	
772	雌	ʦʰi1	ʦʰi⁴⁵	
801	糍	ʦʰei4	ʦʰei³¹	
802	辭	ʦʰei4	ʦʰei³¹	
807	此	ʦʰei2	ʦʰei³²³	
