#漢字	音標	解釋
#簡稱	/	尤溪話
#全稱	/	尤溪城關話
#版本	/	2022-5-29
#聲母	/	#聲母順序，用逗號分開。如：b,p,m,f
#韻母	/	#韻母順序，用逗號分開。如：a,o,e
#聲調	/	阴平33 阳平12 上声55 阴去51 阳去42 入声24
#說明	/	參考資料：《尤溪方言志》，錄入人：阿纓
染	niŋ3	
□	niŋ5	紧够
认	niŋ6	
零	liŋ2	
林	liŋ2	文读
淋	liŋ2	
临	liŋ2	
邻	liŋ2	
鳞	liŋ2	
凌	liŋ2	
灵	liŋ2	
铃	liŋ2	
凛	liŋ3	
冷	liŋ3	
领	liŋ3	文读
赁	liŋ6	
令	liŋ6	
吝	liŋ6	
另	liŋ6	
櫼	tsiŋ1	楔子
津	tsiŋ1	
真	tsiŋ1	
增	tsiŋ1	
憎	tsiŋ1	
曾	tsiŋ1	
征	tsiŋ1	
蒸	tsiŋ1	
争	tsiŋ1	文读
睁	tsiŋ1	
精	tsiŋ1	
晶	tsiŋ1	
睛	tsiŋ1	
贞	tsiŋ1	
侦	tsiŋ1	
僧	tsiŋ1	
詹	tsiŋ1	
秦	tsiŋ2	
榛	tsiŋ2	
晴	tsiŋ2	
层	tsiŋ2	
曾	tsiŋ2	～经
情	tsiŋ2	
诊	tsiŋ3	
疹	tsiŋ3	
振	tsiŋ3	
震	tsiŋ3	
枕	tsiŋ3	
井	tsiŋ3	文读
整	tsiŋ3	
浸	tsiŋ5	
进	tsiŋ5	
证	tsiŋ5	
症	tsiŋ5	
正	tsiŋ5	
政	tsiŋ5	
尽	tsiŋ6	
静	tsiŋ6	
净	tsiŋ6	
赠	tsiŋ6	
深	tsʰiŋ1	
亲	tsʰiŋ1	
称	tsʰiŋ1	
青	tsʰiŋ1	文读
蜻	tsʰiŋ1	文读
清	tsʰiŋ1	文读
侵	tsʰiŋ1	
铲	tsʰiŋ3	
寝	tsʰiŋ3	
称	tsʰiŋ5	
秤	tsʰiŋ5	
衬	tsʰiŋ5	
心	siŋ1	
辛	siŋ1	
新	siŋ1	
盐	siŋ2	食～
绳	siŋ2	
蝇	siŋ2	白读
盐	siŋ5	腌
信	siŋ5	
讯	siŋ5	
迅	siŋ5	
今	kiŋ1	
金	kiŋ1	
襟	kiŋ1	
禁	kiŋ1	
京	kiŋ1	
惊	kiŋ1	文读
经	kiŋ1	
锦	kiŋ3	
紧	kiŋ3	
谨	kiŋ3	
境	kiŋ3	
竞	kiŋ3	
景	kiŋ3	
警	kiŋ3	
禁	kiŋ5	
劲	kiŋ5	
更	kiŋ5	～加
镜	kiŋ5	文读
径	kiŋ5	
竟	kiŋ5	
妗	kiŋ6	
颈	kiŋ6	
钦	kʰiŋ1	
卿	kʰiŋ1	
轻	kʰiŋ1	文读
牵	kʰiŋ1	文读
擒	kʰiŋ1	
钳	kʰiŋ2	
琴	kʰiŋ2	
禽	kʰiŋ2	
肯	kʰiŋ3	
顷	kʰiŋ3	
庆	kʰiŋ5	
吟	ŋiŋ2	
凝	ŋiŋ2	
严	ŋiŋ2	姓
塍	ŋiŋ2	白读
迎	ŋiŋ2	
□	ŋiŋ5	低温
硬	ŋiŋ6	
欣	xiŋ1	
兴	xiŋ1	
享	xiŋ1	
兄	xiŋ1	文读
嫌	xiŋ2	白读
晕	xiŋ2	
行	xiŋ2	文读
刑	xiŋ2	
型	xiŋ2	
形	xiŋ2	
兴	xiŋ2	高～
衅	xiŋ2	
杏	xiŋ6	
幸	xiŋ6	
行	xiŋ6	品～
参	ɕiŋ1	人～
身	ɕiŋ1	
申	ɕiŋ1	
伸	ɕiŋ1	
升	ɕiŋ1	
甥	ɕiŋ1	
檐	ɕiŋ2	
神	ɕiŋ2	
晨	ɕiŋ2	
辰	ɕiŋ2	
臣	ɕiŋ2	
乘	ɕiŋ2	
成	ɕiŋ2	
城	ɕiŋ2	文读
诚	ɕiŋ2	文读
审	ɕiŋ3	
婶	ɕiŋ3	
沈	ɕiŋ3	
省	ɕiŋ3	反～
胜	ɕiŋ5	
渗	ɕiŋ5	白读
圣	ɕiŋ5	文读，～人
剩	ɕiŋ6	
肾	ɕiŋ6	
慎	ɕiŋ6	
甚	ɕiŋ6	
盛	ɕiŋ6	旺～
音	iŋ1	
阴	iŋ1	
因	iŋ1	
姻	iŋ1	白读
仍	iŋ1	
应	iŋ1	～该
鹰	iŋ1	
莺	iŋ1	
婴	iŋ1	
英	iŋ1	
淫	iŋ2	
匀	iŋ2	
莹	iŋ2	
萤	iŋ2	
营	iŋ2	文读
饮	iŋ3	文读
引	iŋ3	
隐	iŋ3	
允	iŋ3	
永	iŋ3	
影	iŋ3	
荫	iŋ5	
印	iŋ5	
应	iŋ5	客～
映	iŋ5	
妊	iŋ6	
润	iŋ6	
闰	iŋ6	
泳	iŋ6	
长	tioŋ3	～大
畅	tʰioŋ5	
怅	tʰioŋ6	
仗	tʰioŋ6	文读
丈	tʰioŋ6	文读，～夫
杖	tʰioŋ6	
良	lioŋ2	
梁	lioŋ2	文读
粱	lioŋ2	
量	lioŋ2	衡～
两	lioŋ3	文读
量	lioŋ6	数～
亮	lioŋ6	
辆	lioŋ6	
将	tsioŋ1	
章	tsioŋ1	
樟	tsioŋ1	
彰	tsioŋ1	
奖	tsioŋ3	
掌	tsioŋ3	
障	tsioŋ6	
将	tsioŋ6	～帅
瘴	tsioŋ6	
昌	tsʰioŋ1	
厂	tsʰioŋ3	
唱	tsʰioŋ5	
倡	tsʰioŋ5	
相	sioŋ1	～互
湘	sioŋ1	
详	sioŋ2	
祥	sioŋ2	
想	sioŋ3	
相	sioŋ5	宰～
象	sioŋ6	文读，形～
姜	kioŋ1	文读
疆	kioŋ1	
僵	kioŋ1	
强	kioŋ2	
腔	kʰioŋ1	文读
强	kʰioŋ3	勉～
仰	ŋioŋ3	
香	xioŋ1	文读
乡	xioŋ1	文读
享	xioŋ3	
响	xioŋ3	文读
向	xioŋ5	
饷	xioŋ5	
伤	ɕioŋ1	
商	ɕioŋ1	
常	ɕioŋ2	
裳	ɕioŋ2	
尝	ɕioŋ2	
赏	ɕioŋ3	
上	ɕioŋ3	～声
尚	ɕioŋ5	又读
上	ɕioŋ6	～下
尚	ɕioŋ6	
央	ioŋ1	
秧	ioŋ1	
殃	ioŋ1	
羊	ioŋ2	
洋	ioŋ2	
杨	ioŋ2	
扬	ioŋ2	
阳	ioŋ2	
养	ioŋ3	
恙	ioŋ5	
样	ioŋ6	
养	ioŋ6	供神
壤	ioŋ6	
般	puaŋ1	白读
搬	puaŋ1	
盘	puaŋ2	文读
半	puaŋ5	文读
绊	puaŋ6	
判	pʰuaŋ5	白读
叛	pʰuaŋ5	
伴	pʰuaŋ6	
满	muaŋ3	文读
端	tuaŋ1	
短	tuaŋ3	
断	tuaŋ6	文读
段	tuaŋ6	文读
锻	tuaŋ6	
团	tʰuaŋ2	
篆	tʰuaŋ5	
暖	nuaŋ3	
銮	luaŋ2	
峦	luaŋ2	
卵	luaŋ3	文读
乱	luaŋ6	
纂	tsuaŋ5	
篡	tsʰuaŋ5	
算	suaŋ5	文读
官	kuaŋ1	文读
观	kuaŋ1	
冠	kuaŋ1	
鳏	kuaŋ1	
棺	kuaŋ1	
关	kuaŋ1	文读，～系
馆	kuaŋ3	
倌	kuaŋ3	
贯	kuaŋ5	
冠	kuaŋ5	～军
惯	kuaŋ5	文读
罐	kuaŋ5	文读
灌	kuaŋ5	
宽	kʰuaŋ1	
框	kʰuaŋ1	
环	kʰuaŋ2	文读，～境
款	kʰuaŋ3	
顽	ŋuaŋ2	
玩	ŋuaŋ3	～忽职守
玩	ŋuaŋ6	文读，游山～水
欢	xuaŋ1	
番	xuaŋ1	
翻	xuaŋ1	文读
还	xuaŋ2	文读
烦	xuaŋ2	
繁	xuaŋ2	
凡	xuaŋ2	
反	xuaŋ3	文读
唤	xuaŋ5	
换	xuaŋ5	
幻	xuaŋ5	
贩	xuaŋ5	文读
痪	xuaŋ5	
换	xuaŋ5	
泛	xuaŋ5	文读
缓	xuaŋ6	
患	xuaŋ6	
官	xuaŋ6	
犯	xuaŋ6	
范	xuaŋ6	
弯	uaŋ1	
湾	uaŋ1	
完	uaŋ2	
晚	uaŋ3	
挽	uaŋ3	
宛	uaŋ3	
婉	uaŋ3	
腕	uaŋ3	
万	uaŋ6	
温	uɤŋ1	
瘟	uɤŋ1	
文	uɤŋ2	
纹	uɤŋ2	
闻	uɤŋ2	
抆	uɤŋ2	
汶	uɤŋ2	
紊	uɤŋ3	
吻	uɤŋ3	
刎	uɤŋ3	
问	uɤŋ5	
韵	uɤŋ6	
运	uɤŋ6	
汪	uoŋ1	
王	uoŋ2	
枉	uoŋ3	
往	uoŋ3	
网	uoŋ3	文读
旺	uoŋ6	兴～
望	uoŋ6	
忘	uoŋ6	
妄	uoŋ6	
平	pã2	白读
坪	pã2	白读
柄	pã5	白读
病	pã6	白读
评	pʰã2	
彭	pʰã2	
泛	pʰã5	不结实
暝	mã2	白读
盲	mã2	白读
骂	mã5	白读
担	tã1	白读，～任
担	tã5	～子
郑	tã6	
撑	tʰã1	白读，～船
撑	tʰã5	白读，顶住
林	nã2	白读，树～
榄	nã3	白读
篮	lã2	白读，菜～
争	tsã1	
井	tsã3	白读
青	tsʰã1	
生	tsʰã1	白读，生的
醒	tsʰã3	
生	sã1	白读
衫	sã1	白读
三	sã1	白读
晴	sã2	白读
省	sã3	白读，福建～
姓	sã5	白读
更	kã1	五～
经	kã1	织
庚	kã1	
哽	kã3	
敢	kã3	白读
橄	kã3	
酵	kã5	白读，～母
坑	kʰã1	
边	pẽ1	白读
爿	pẽ2	白读
扇	pẽ3	白读
板	pẽ3	白读
反	pẽ3	白读
变	pẽ5	白读
辨	pẽ6	白读，动词
骗	pʰẽ5	
棉	mẽ2	白读
慢	mẽ6	白读
面	mẽ6	白读，～条
癫	tẽ1	白读
缠	tẽ2	白读
年	nẽ2	白读
林	nẽ2	白读，姓
煎	tsẽ1	白读
钱	tsẽ2	白读
剪	tsẽ3	白读
箭	tsẽ5	白读
千	tsʰẽ1	白读
浅	tsʰẽ3	白读
刺	tsʰẽ6	白读，动词：尖刀～
先	sẽ1	白读
仙	sẽ1	白读
前	sẽ2	白读
线	sẽ5	白读
件	kø̃6	
圆	ø̃2	白读
换	ø̃6	白读
院	ø̃6	白读
肩	kĩ1	白读
间	kĩ1	白读
墘	kĩ2	
拣	kĩ3	白读
见	kĩ5	白读
研	ŋĩ2	白读
裥	ŋĩ2	
笕	ŋĩ2	水～
砚	ŋĩ5	白读
燕	ŋĩ5	白读
苋	xĩ5	白读
扇	ɕĩ2	白读
闲	ĩ2	白读
饼	piã3	
并	piã5	白读
摒	piã5	倒掉]
𩩍	pʰiã1	躯干部分
併	pʰiã1	合并也
榀	pʰiã1	量词
並	pʰiã6	对比也
名	miã2	白读
明	miã2	白读，松～
命	miã6	
埕	tiã2	
呈	tiã2	
鼎	tiã3	锅
定	tiã6	白读
听	tʰiã1	白读
厅	tʰiã1	白读
程	tʰiã2	
疼	tʰiã5	爱
领	liã3	白读
岭	liã3	
正	tsiã1	～月
䭕	tsiã3	淡而无味
正	tsiã5	端～
净	tsiã6	非常好
请	tsʰiã3	
惊	kiã1	白读
行	kiã2	白读
镜	kiã5	白读
经	kʰiã1	白读
兄	xiã1	
掀	xiã3	
营	iã2	白读
张	tiũ1	白读
场	tiũ2	
长	tiũ3	白读，首～
帐	tiũ5	
账	tiũ5	
胀	tiũ5	
涨	tiũ5	
张	tʰiũ1	量词
怅	tʰiũ5	
杖	tʰiũ6	白读
娘	niũ2	
粮	niũ2	
凉	niũ2	
量	niũ2	
梁	niũ2	
两	niũ3	斤～
让	niũ5	请～
让	niũ6	相～
浆	tsiũ1	白读
□	tsiũ2	颜色太槽
蒋	tsiũ3	
浆	tsiũ3	
酱	tsiũ5	
枪	tsʰiũ1	
墙	tsʰiũ2	
抢	tsʰiũ3	
匠	tsʰiũ5	
箱	siũ1	
镶	siũ1	
鲞	siũ3	
相	siũ5	照～
像	siũ5	
痒	siũ6	
象	siũ6	
姜	kiũ1	白读
香	xiũ1	白读
乡	xiũ1	白读
响	xiũ3	
向	xiũ5	白读，坐～
分	pũ1	白读
搬	pũ2	白读
盘	pũ2	白读
本	pũ3	白读
坂	pũ3	白读
半	pũ5	白读
饭	pũ6	白读
潘	pʰũ1	白读
门	mũ2	白读
瞒	mũ2	白读
满	mũ3	白读
弹	tũ2	～棉被
断	tũ6	
缎	tũ6	
段	tũ6	
褪	tũ5	
炭	tũ5	
碳	tũ5	
拦	nũ2	白读
栏	nũ2	白读
软	nũ3	
暖	nũ3	
㘓	nũ3	口水
僆	nũ5	
连	nũ5	鸡～
卵	nũ6	
烂	nũ6	
盏	tsũ1	白读
钻	tsũ5	～石
村	tsʰũ1	
闩	sũ1	
栓	sũ1	
酸	sũ1	
山	sũ1	白读
伞	sũ3	
涮	sũ5	
算	sũ5	白读
蒜	sũ5	
散	sũ5	白读
吮	sũ7	白读
旋	sũ7	白读
竿	kũ1	白读
肝	kũ1	白读
干	kũ1	蛏～
菅	kũ1	
寒	kũ2	
秆	kũ3	稻～
汗	kũ6	白读
看	kʰũ5	白读
黄	ũ2	白读
晏	ũ5	
案	ũ5	
旱	ũ6	白读
□	kuã1	阻也
茎	kuã3	量词
梗	kuã5	白读
鲠	kuã5	白读
□	kuã5	挂住
横	xuã2	白读
关	kuẽ1	白读
官	kuẽ1	白读
悬	kuẽ2	白读，高也
管	kuẽ3	白读
惯	kuẽ5	白读
灌	kuẽ5	
罐	kuẽ5	
县	kuẽ6	白读
掼	kuẽ6	提也
环	kʰuẽ2	白读
犬	kʰuẽ3	
劝	kʰuẽ5	白读
翻	xuẽ1	白读
还	xuẽ2	白读
贩	xuẽ5	白读
楦	xuẽ5	
远	xuẽ6	白读
丸	uẽ2	白读，肉～
玩	uẽ2	白读
碗	uẽ3	
阮	uẽ3	
万	uẽ6	白读
砖	tsyø̃1	
毡	tsyø̃1	
穿	tsʰyø̃1	
□	tsʰyø̃5	寻找
串	tsʰyø̃5	白读
#漢字	音標	解釋
#簡稱	/	尤溪話
#全稱	/	尤溪城關話
#版本	/	2022-5-29
#聲母	/	#聲母順序，用逗號分開。如：b,p,m,f
#韻母	/	#韻母順序，用逗號分開。如：a,o,e
#聲調	/	阴平33 阳平12 上声55 阴去51 阳去42 入声24
#說明	/	參考資料：《尤溪方言志》，錄入人：阿纓
