#漢字	音標	解釋
#簡稱	/	尤溪話
#全稱	/	尤溪城關話
#版本	/	2022-5-29
#聲母	/	#聲母順序，用逗號分開。如：b,p,m,f
#韻母	/	#韻母順序，用逗號分開。如：a,o,e
#聲調	/	阴平33 阳平12 上声55 阴去51 阳去42 入声24
#說明	/	參考資料：《尤溪方言志》，錄入人：阿纓
波	pʰo1	
坡	pʰo1	
颇	pʰo3	
破	pʰo5	
摩	mo1	文读
末	mo1	文读
摩	mo2	
毛	mo2	文读，姓
魔	mo2	
磨	mo2	文读
么	mo5	又读
冒	mo6	
多	to1	
涛	to2	
捣	to3	
岛	to3	
朵	to3	
祷	to3	
带	to5	白读
到	to5	
大	to6	白读
坠	to6	
舵	to6	
稻	to6	
道	to6	
盗	to6	
导	to6	
拖	tʰo1	
滔	tʰo1	
叼	tʰo1	
妥	tʰo3	
擦	tʰo7	
挪	no2	文读
娜	no3	
辣	lo1	
罗	lo1	～嗦
箩	lo2	
罗	lo2	文读
锣	lo2	文读
劳	lo2	
裸	lo3	
老	lo3	文读
潦	lo3	文读，～草
濑	lo5	
赖	lo6	白读
遭	tso1	
曹	tso2	
左	tso3	
佐	tso5	
座	tso6	文读
坐	tso6	
挫	tsʰo1	又读
藻	tsʰo3	
草	tsʰo3	潦～
挫	tsʰo6	
锉	tsʰo6	
措	tsʰo6	
造	tsʰo6	
躁	tsʰo6	
燥	tsʰo6	文读
噪	tsʰo6	
擦	tsʰo7	
唆	so1	
梭	so1	
沙	so1	白读
燥	so5	
高	ko1	
果	ko3	
裹	ko3	
个	ko5	
盖	ko5	名词
芥	ko5	白读
告	ko5	文读
割	ko7	
葛	ko7	～藤
柯	kʰo1	
苛	kʰo1	
戈	kʰo1	
可	kʰo3	
诰	kʰo5	又读
渴	kʰo7	
蛾	ŋo2	
莪	ŋo2	
我	ŋo3	文读
卧	ŋo5	
傲	ŋo5	
和	xo2	
禾	xo2	
毫	xo2	
豪	xo2	
何	xo2	
河	xo2	
荷	xo2	
皓	xo3	
耗	xo5	
好	xo5	爱～
浩	xo6	
和	xo6	唱～
荷	o1	～花
阿	o1	～胶
倚	o3	白读，～靠
堆	tø1	
厨	tø2	
短	tø3	白读
兑	tø5	
对	tø5	
推	tʰø1	白读
退	tʰø5	白读
内	nø6	
𤸬	sø1	瘦
输	ɕø1	
石	ɕø1	
税	ɕø5	
说	ɕø7	白读
释	ɕø7	白读
薄	pɤ1	白读
泊	pɤ1	白读，停靠
婆	pɤ2	
袍	pɤ2	
保	pɤ3	
宝	pɤ3	
堡	pɤ3	
报	pɤ5	
播	pɤ5	白读
曝	pʰɤ1	白读
抱	pʰɤ6	
毛	mɤ2	白读
母	mɤ3	白读
磨	mɤ6	文读
帽	mɤ6	
膜	mɤ7	
刀	tɤ1	
驮	tɤ2	
躲	tɤ2	
逃	tɤ2	
倒	tɤ3	打～
朵	tɤ3	
倒	tɤ5	反～
卓	tɤ7	白读，姓
桌	tɤ7	
绦	tʰɤ1	缨饰
桃	tʰɤ2	
讨	tʰɤ3	
套	tʰɤ5	
托	tʰɤ7	白读，铲掉
挪	nɤ2	白读
恼	nɤ3	
脑	nɤ3	
糯	nɤ5	
落	lɤ2	～雨
罗	lɤ2	白读
锣	lɤ2	白读
螺	lɤ2	
老	lɤ3	
□	lɤ6	称一称
嘈	tsɤ2	～杂
枣	tsɤ3	
做	tsɤ5	
皂	tsɤ6	
座	tsɤ6	基～
□	tsɤ7	筑埂堵水
搓	tsʰɤ1	
操	tsʰɤ1	体～
臊	tsʰɤ1	
草	tsʰɤ3	文读
错	tsʰɤ5	
糙	tsʰɤ5	
梭	sɤ1	
镯	sɤ1	
槽	sɤ2	
锁	sɤ3	
琐	sɤ3	
嫂	sɤ3	
燥	sɤ5	尿～
扫	sɤ5	粪～、垃圾
索	sɤ7	
嗽	sɤ7	
哥	kɤ1	
歌	kɤ1	
锅	kɤ1	
糕	kɤ1	
膏	kɤ1	石～
茄	kɤ2	
桥	kɤ2	白读
稿	kɤ3	
过	kɤ5	文读
告	kɤ5	～状
郭	kɤ7	
阔	kɤ7	
科	kʰɤ1	
棵	kʰɤ1	
颗	kʰɤ1	
瘸	kʰɤ2	
考	kʰɤ3	～试
颗	kʰɤ3	又读
课	kʰɤ5	
敲	kʰɤ5	～打
曲	kʰɤ7	白读
熬	ŋɤ2	
饿	ŋɤ6	
靴	xɤ1	
好	xɤ3	
货	xɤ5	
荷	xɤ5	薄～
贺	xɤ6	
号	xɤ6	
歇	xɤ7	
学	ɤ1	白读
爱	ɤ5	白读
袄	ɤ3	
牌	pi2	
排	pi2	白读
八	pi7	
捌	pi7	
稗	pʰi5	
屁	pʰi5	
买	mi3	
卖	mi6	
低	ti1	
蹄	ti2	
题	ti2	
底	ti3	
抵	ti3	
筛	tʰi1	白读
梯	tʰi1	
蹄	tʰi2	文读
提	tʰi2	
持	tʰi2	文读
堤	tʰi2	
替	tʰi5	
屉	tʰi5	
蒂	tʰi5	文读
泥	ni2	
尼	ni2	白读
奶	ni3	少～～
腻	ni5	
裂	li1	
犁	li2	
黎	li2	
狸	li2	
荔	li6	
例	li6	
厉	li6	
支	tsi1	
脂	tsi1	
斋	tsi1	
齐	tsi2	
脐	tsi2	
只	tsi3	
旨	tsi3	
指	tsi3	
止	tsi3	
址	tsi3	
济	tsi5	
制	tsi5	
至	tsi5	
志	tsi5	
痣	tsi5	
债	tsi5	白读
寨	tsi6	
借	tsi7	
节	tsi7	白读，过～
叔	tsi7	白读
妻	tsʰi1	
痴	tsʰi1	
凄	tsʰi1	
侈	tsʰi3	
齿	tsʰi3	文读
市	tsʰi6	
枝	si1	白读
西	si1	
樨	si1	
洗	si3	
徙	si3	
婿	si5	
细	si5	
□	si6	多也
雪	si7	
鸡	ki1	
稽	ki1	滑～
闺	ki1	
枝	ki1	文读
肌	ki1	
饥	ki1	
基	ki1	
几	ki1	
讥	ki1	
机	ki1	
肢	ki1	白读
歧	ki2	
奇	ki2	文读
其	ki2	
期	ki2	
棋	ki2	
旗	ki2	
葵	ki2	
祈	ki2	
解	ki3	白读，～开
已	ki3	
纪	ki3	
杞	ki3	
疥	ki5	白读
计	ki5	
继	ki5	
记	ki5	
既	ki5	
寄	ki5	文读
隔	ki5	白读
忌	ki6	
技	ki6	
溪	kʰi1	
欺	kʰi1	
稽	kʰi1	
骑	kʰi2	白读
启	kʰi3	
企	kʰi3	
齿	kʰi3	白读
起	kʰi3	
岂	kʰi3	
契	kʰi5	
器	kʰi5	
弃	kʰi5	
气	kʰi5	
汽	kʰi5	
柿	kʰi6	
企	kʰi6	又读
□	kʰi7	挤
宜	ŋi2	
仪	ŋi2	
疑	ŋi2	
谊	ŋi3	
议	ŋi3	
拟	ŋi3	
耳	ŋi3	木～
艺	ŋi6	
义	ŋi6	
耳	ŋi6	白读
毅	ŋi6	
蚁	ŋi6	文读，7
□	ŋi6	砌也
熙	xi1	
稀	xi1	
熹	xi1	
奚	xi2	
戏	xi5	
蟹	xi6	
系	xi6	
瞎	xi7	
施	ɕi1	
尸	ɕi1	
诗	ɕi1	
舌	ɕi1	白读
匙	ɕi2	
时	ɕi2	
始	ɕi3	
世	ɕi5	
势	ɕi5	
试	ɕi5	
誓	ɕi6	
是	ɕi6	
氏	ɕi6	
示	ɕi6	
侍	ɕi6	
逝	ɕi6	
豉	ɕi6	
视	ɕi6	
医	i1	
衣	i1	
依	i1	
鞋	i2	
儿	i2	
移	i2	
姨	i2	
而	i2	
矮	i3	
伊	i3	他
以	i3	
已	i3	
尔	i3	
缢	i5	
意	i5	
忆	i5	
亿	i5	
易	i6	容～
异	i6	
肄	i6	
捕	pu1	
