#ɿ
ts[3]紫姊子梓[5]翅自字巳
ʂ[1]梳疏蔬书舒枢输{~赢}输{运~}殊[3]鼠暑署薯数{动词}[5]庶恕数{名词}竖树述术[7]叔淑熟粟嘱赎蜀属
ʐ[2]如儒[3]乳擩[7]入
k[1]姑孤辜[3]古估牯股鼓[5]故固雇顾[7]骨谷
kʰ[1]箍枯[3]苦[5]库裤[7]哭
x[2]忽
∅[1]乌污巫诬[2]吴蜈吾梧悟恶无[3]五伍午武舞侮鹉[5]误务雾[7]屋

#y
tɕ[1]居车{~马炮}拘驹俱[3]举矩[5]据锯拒距娶聚句具惧剧[7]橘嚼菊鞠掬局
tɕʰ[1]蛆区驱躯[3]取[5]去趣砌[7]渠
ȵ[3]女吕旅履[5]虑滤率{效~}
ɕ[1]靴墟虚嘘须需[2]徐[3]许[5]絮序叙绪婿
∅[1]淤{文}[2]鱼渔于余愚虞娱寓愉[3]语与予雨宇禹羽[5]御淤{白}俞{文}预豫遇芋榆逾喻裕玉

#ər
∅[2]儿而[3]尔耳饵[5]二贰

#a
p[1]巴芭疤吧笆爬琶杷[2]爸[3]把{~握}[5]坝把{扫~}坝罢[7]八
pʰ[2]钯耙拔筏[5]怕帕
m[1]妈[2]麻痳[3]马码[5]骂
f[7]法乏发伐罚
t[3]打[5]大[7]搭答沓达
tʰ[1]他[7]踏搨塔榻遢溻塌
n[1]挪拉垃[2]拿捺[3]哪[5]那[7]纳腊蜡镴辣
ts[7]杂眨闸轧
tsʰ[7]搽擦察
s[3]洒傻撒[7]萨
tʂ[1]楂渣[5]诈榨炸[7]扎札铡
tʂʰ[1]叉杈差岔钗[2]茶查[7]插
ʂ[1]沙纱痧砂杉晌[7]杀
x[1]𨉣{点头~腰}
∅[1]阿{~胶}

#ia
tɕ[1]家加痂嘉傢稼[3]假{真~}贾假{放~}[5]架驾嫁价[7]夹裌甲胛挟荚
tɕʰ[7]掐恰洽
ɕ[1]虾[2]霞瑕狭峡侠辖[5]吓下夏[7]匣瞎
∅[1]鸦丫桠[2]牙芽衙伢蚜涯雅哑[5]砑亚压[7]鸭押

#ua
tʂ[1]抓[7]啄
ʂ[3]厦耍[7]涮刷
k[1]瓜[3]寡剐[5]挂卦褂[7]刮
kʰ[1]夸[3]垮[5]跨
x[1]花[2]华{中~}华{~山}[5]化桦画话划{计~}[7]划{~船}滑猾
∅[1]蛙洼蛙挖[2]娃[3]瓦{名词}[5]瓦{动词}[7]袜

#e
p[2]北[7]百柏伯白陌
pʰ[7]泊迫拍魄
m[2]墨默脉麦[7]没{出~}
t[2]得德
tʰ[2]特
n[7]劣勒肋
ts[7]蔗浙窄摘责
tsʰ[5]社[7]厕则侧测拆宅择泽册策
s[2]涩塞[7]虱色啬
tʂ[1]遮[3]者[7]折{~损}褶哲蜇
tʂʰ[1]车[3]扯[7]撤彻
ʂ[1]赊[2]蛇折{~本}[3]舍{宿~}舍{~得}[5]射{文}麝[7]摄涉舌设
ʐ[3]惹[7]热
k[1]给[7]格骼革隔嗝
kʰ[2]克刻[7]咳客
ŋ[2]磑[7]额
x[2]黑[7]亥核

#ie
p[1]憋逼[2]别{分~}[3]瘪[5]毙[7]滗毕
pʰ[3]擘[5]秕[7]别{~针}撇癖僻辟劈霹
m[7]灭
t[1]爹[7]叠碟牒蝶谍的{目~}嫡狄
tʰ[7]跌帖贴铁踢
tɕ[1]皆阶[2]即[3]姐解{~释}[5]借藉介界届戒械[7]接辑级及杰揭节疖结洁吉鲫极脊迹积籍绩激击
tɕʰ[2]茄[3]且[7]妾捷劫怯切窃截七漆戚
ȵ[7]镊猎业立笠粒列烈裂孽捏匿力逆历
ɕ[2]邪斜偕谐徙[3]写[5]泻卸谢懈蟹泄[7]楔血
∅[2]耶爷延[3]也野[5]夜液腋[7]椰叶页

#ue
k[2]郭国
kʰ[2]括[7]阔廓扩
x[2]或[7]惑获

#ye
tɕ[5]憠[7]绝决诀
tɕʰ[7]瘸缺倔掘
ɕ[7]薛屑雪削
∅[7]悦阅月越域狱

#o
p[1]波菠播{文}玻[3]簸{动词，~一~}簸{~箕}播{白}[7]薄{~荷}簿钵拨脖博薄{厚~}剥驳
pʰ[1]坡婆[5]破剖[7]讣泼朴扑瀑曝仆
m[1]摸[2]磨{动词}摩蟆摹膜抹[5]磨{名词}暮慕墓募末沫幕寞[7]魔莫木沐
f[3]否[7]腑俯傅弗袱符{白}
t[3]朵[5]舵剁[7]躲夺
tʰ[1]拖[2]驼驮[3]妥托[7]脱
n[1]啰{文}[2]啰{白}罗锣箩萝骡螺脶[3]裸[5]摞[7]落烙洛骆乐络乐六陆
ts[3]左佐[5]坐座[7]作昨逐
tsʰ[1]搓[2]猝[5]锉措错[7]矬凿
s[1]蓑梭唆[3]锁琐所[7]索缩
tʂ[7]着桌捉镯筑
tʂʰ[2]戳浊[5]绰[7]撮拙出
ʂ[7]说
ʐ[7]若弱褥
k[1]歌哥锅戈[3]果裹[5]个过[7]鸽割葛各阁谷
kʰ[1]科颗[2]壳[3]可[5]课[7]磕渴酷
ŋ[1]蛾鹅俄[3]我[5]饿{白}[7]鳄腭愕恶
x[1]喝豁[2]荷何河和禾[3]火伙[5]贺货祸[7]合盒活鹤霍藿
∅[1]阿{~弥陀佛}棵窝莴蜗凹[5]饿{文}卧[7]物握沃

#io
tɕ[2]掘爵角觉[7]卒脚足
tɕʰ[2]雀鹊确[3]瞅{文}屈却族麴曲
ȵ[2]略掠[7]虐疟
ɕ[2]学[7]续蓄畜{~牧}俗续肃{白}
∅[2]岳[7]约药钥役疫育浴欲

#ai
p[3]摆[5]拜稗败
pʰ[2]排牌徘[5]派
m[2]埋[3]买[5]卖迈
t[1]呆[3]逮[5]戴贷待代袋带大{~夫}
tʰ[1]胎掂[2]台苔抬[5]态怠太泰
n[2]来[3]奶[5]耐奈赖癞
ts[1]灾栽斋[2]宰载{年~}[5]再载{~重}在载{满~}寨
tsʰ[1]猜[2]才材财裁豺[3]彩采踩睬[5]菜蔡
s[1]腮鳃筛{~选}筛{米~}[5]赛晒
tʂ[5]债
tʂʰ[2]柴
k[1]该街[3]改[5]概溉盖丐
kʰ[1]开揩[3]凯慨
ŋ[1]哀埃唉挨[2]崖捱岩[3]蔼矮[5]碍爱艾隘
x[2]孩鞋还{~有}[3]海[5]害

#uai
tʂʰ[1]揣[3]喘
ʂ[1]衰摔[5]帅率蟀
k[1]乖[3]拐[5]怪
kʰ[3]块[5]会{~计}刽快筷
x[2]徊怀槐淮[5]坏
∅[1]歪[5]外

#ei
p[1]杯碑卑悲[5]贝狈辈背{后~}倍背{~书}焙臂婢
pʰ[1]批胚坯披[2]培陪赔[3]丕[5]沛配佩
m[2]梅枚媒煤玫莓霉媚[3]每美[5]妹昧寐
f[1]飞非妃痱{白}[2]肥[3]匪翡[5]废肺吠痱{文}费
tʂʰ[1]差{出~}
ʂ[5]射{白}

#uei
t[1]堆[5]对碓队兑
tʰ[1]推[3]腿[5]退褪
n[2]雷擂[3]屡儡累{~计}垒[5]内累{劳~}类泪
ts[2]贼
tʂ[1]追锥[3]嘴[5]罪最赘醉坠
tʂʰ[1]催崔摧吹炊[2]垂锤槌[5]碎脆翠悴粹
ʂ[1]虽[2]随谁[3]髓水[5]岁税睡遂隧穗
ʐ[5]锐瑞蕊
k[1]闺规龟归[3]诡轨鬼[5]瑰桂跪癸柜贵
kʰ[1]盔亏窥[2]魁傀奎逵葵[5]溃愧
x[1]恢灰挥辉徽[2]回迴茴[3]悔毁[5]贿晦汇桧会{开~}会{~不~}绘惠慧讳汇
∅[1]威[2]危为{~人，作为}维惟唯微薇围违苇纬[3]萎委尾伟[5]为{~他人服务}卫伪喂位帷未味魏畏慰胃谓猬

#au
p[1]包胞雹[3]保宝堡饱[5]报抱暴菢豹爆鲍刨
pʰ[1]抛脬[2]袍刨[3]跑[5]泡炮
m[1]猫[2]毛茅锚矛[3]卯[5]冒帽貌
t[1]刀[3]倒{打~}岛祷捣[5]倒{~车}到稻道盗蹈
tʰ[1]叨滔掏[2]桃逃淘陶萄涛[3]讨[5]套导
n[1]捞[2]劳牢唠痨涝[3]脑恼老姥[5]闹
ts[1]糟遭[3]早枣蚤澡[5]灶皂照
tsʰ[1]操超[2]曹槽朝{~向}[3]草騲[5]躁糙造燥
s[1]骚臊[3]嫂扫{打~}[5]扫{~把}
tʂ[1]朝{~阳}召昭招沼诏[3]爪找笊[5]罩赵兆
tʂʰ[1]抄钞[2]巢潮[3]炒吵
ʂ[1]梢筲捎稍烧[3]少{多~}[5]潲潲哨少{~爷}韶绍
ʐ[2]饶[3]扰绕
k[1]高膏篙糕羔膏[3]稿搞[5]告觉{睡一~，白}窖
kʰ[1]敲{白}[3]考烤拷[5]靠铐
ŋ[1]爊[2]熬[3]袄[5]傲懊奥澳懊坳拗
x[1]蒿薅[2]毫豪壕号{~叫}[3]好{~坏}[5]好{爱~}浩耗号{口~}

#iau
p[1]膘标彪[3]表婊
pʰ[1]飘薸[2]瓢嫖[5]漂{~白}票漂{~亮}
m[2]苗描[3]秒渺[5]庙妙
t[1]刁雕貂[5]吊调{~动}掉调{音~}
tʰ[1]挑[2]条调{~节}[5]跳
tɕ[1]教{~书}焦蕉椒骄娇浇交胶郊[3]绞狡铰搅剿矫缴饺[5]教{~育}较轿叫觉{睡一~，文}
tɕʰ[1]敲{文}悄撬{文}窍{白}[2]樵瞧荞侨桥乔[3]巧[5]俏翘窍{文}
ȵ[2]疗摇谣姚窑遥辽聊寥撩僚镣[3]咬鸟了{~解}[5]尿廖料廖
ɕ[1]消宵霄硝销逍肖嚣萧箫[3]小晓[5]酵校{~对}哮孝淆校{~长}效笑
∅[1]妖邀腰夭幺吆[2]尧[3]舀[5]要{~求}要{重~}耀跃

#əu
t[1]都{~是}兜[3]斗{一~}陡[5]斗{~争}豆痘逗
tʰ[1]偷[2]头投[3]抖㪗[5]透
n[2]楼篓[3]搂[5]漏陋
ts[1]绉[3]走[5]皱
tsʰ[1]掫[2]愁酬[5]奏凑骤
s[1]搜飕馊搜[3]叟[5]嗽瘦
tʂ[1]邹周舟州洲周[3]肘帚[5]昼宙咒
tʂʰ[1]抽[2]绸稠筹仇[3]丑[5]臭
ʂ[1]收[3]手首守[5]兽受寿授售
ʐ[2]柔揉[5]肉
k[1]钓勾{~引}钩沟[3]狗苟[5]垢够构购勾{~当}
kʰ[1]抠[3]口[5]叩扣寇
ŋ[1]欧区{姓~}殴[3]藕偶呕[5]怄
x[2]侯喉猴[3]吼[5]后厚候

#iəu
t[1]丢
tɕ[1]揪鳅文鸠阄纠灸纠[3]酒九久韭[5]就救究臼舅咎旧柩
tɕʰ[1]锹秋丘鳅白[2]求球仇
ȵ[1]溜[2]流留刘榴琉硫馏牛[3]纽扭柳
ɕ[1]修羞休[2]囚泅[3]朽[5]秀绣锈宿袖
∅[1]优忧悠幽[2]尤邮由油游犹[3]有友酉[5]又右诱柚釉幼

#an
p[1]班斑扳颁搬般[3]板版[5]扮办瓣半伴拌蚌
pʰ[1]攀潘[2]盘[5]盼襻绊判畔叛胖
m[2]蛮瞒馒[3]满[5]慢鳗漫幔蔓
f[1]翻番[2]凡帆烦矾繁[3]反[5]泛范犯贩饭
t[1]耽担丹单[3]胆掸疸档[5]担淡旦诞但弹蛋
tʰ[1]贪探滩摊瘫[2]潭谭坛痰檀坛弹唐糖塘[3]毯坦躺[5]谈叹炭盪
n[2]南男婪蓝篮难{困~}兰拦栏[3]览揽榄缆懒[5]滥难{灾~}烂
ts[1]黏[3]斩攒[5]赞灒赞溅
tsʰ[1]搀餐[2]蚕惭馋谗残[3]惨[5]忏
s[1]三[3]散{松~}伞[5]散{~会}
tʂ[1]簪沾粘瞻占砧簪毡[3]盏展掌[5]暂鏨站蘸占栈战颤账杖
tʂʰ[1]参{~加}[2]缠畅肠[3]灿产厂[5]唱
ʂ[1]衫山搧[2]蝉禅[3]陕闪[5]扇善膳单{姓~}禅上
ʐ[2]然燃[3]染冉
k[1]甘柑泔干{天~地支}干{~湿}肝竿冈钢[3]感敢橄杆秆擀赶[5]干{~部}杠
kʰ[1]堪龛[3]坎砍槛[5]看
ŋ[1]庵淹安鞍[5]揞暗岸按案雁晏
x[1]憨熯[2]含函咸寒韩[3]喊罕[5]撼憾鼾汉旱捍汗焊翰苋

#iɛn
p[1]鞭编边[2]便{~宜}[3]贬蝙扁匾[5]变辩辨便{方~}辫
pʰ[1]篇偏[5]骗遍{一~}遍{普~}片
m[2]绵棉眠[3]缲免勉缅娩[5]面
t[1]踮颠癫[3]点典[5]店电殿奠佃垫淀
tʰ[1]添天[2]甜田填[3]舔㮇腆
tɕ[1]监尖兼艰间奸煎肩坚[3]减碱检俭简柬拣锏剪茧趼[5]鉴渐剑箭贱件建毽键健腱荐笕见匠
tɕʰ[1]歼签扦纤谦迁笺千牵[2]潜钳钱乾虔犍前[3]浅践遣[5]欠歉纤
ȵ[1]拈搛[2]廉镰阎严鲇连联年怜莲楝粮[3]脸碾撚[5]帘敛殓验酽念练炼链炼砚恋
ɕ[1]仙先[2]嫌闲贤[3]险显[5]陷馅限线羡宪献现县
∅[1]炎醃腌蔫焉蔫研烟胭[2]颜言檐盐[3]演衍掩眼[5]厌艳焰谚堰燕宴燕咽

#uan
t[1]端[3]短[5]断锻断段缎
tʰ[2]团
n[3]暖卵[5]乱
tʂ[1]钻{动词}专砖[3]转{~达}[5]赚钻{名词}转{~圈}传{~记}
tʂʰ[1]川穿[2]传椽船[3]铲[5]蹿窜篡串
ʂ[1]酸闩拴[5]疝算蒜
ʐ[3]软阮
k[1]官棺观{参~}冠{衣~}关[3]管馆[5]贯灌罐观{道~}冠{~军}惯
kʰ[1]宽[3]款
x[1]欢荒慌[2]还{~原}环簧[3]缓[5]唤焕换幻患
∅[1]豌弯湾[2]玩完顽[3]碗腕晚挽[5]丸院万

#yɛn
tɕ[1]绢捐[3]卷{~起来}[5]卷{~宗}眷倦券
tɕʰ[1]圈[2]全泉权拳[3]犬[5]劝
ɕ[1]鲜掀轩宣喧[2]弦旋{~转}玄悬眩[3]癣选[5]旋{~吃~做}楦
∅[1]冤渊[2]圆员缘沿铅元原源袁辕园援猿[3]远[5]愿怨

#en
p[1]奔崩[3]本
f[1]纷[3]粉[5]粪奋
t[1]敦蹲登灯[3]墩等戥[5]顿扽屯盾沌钝遁盾凳邓澄
tʰ[1]吞[2]豚臀藤腾誊
n[2]仑伦沦轮能棱[3]冷[5]嫩论
ts[1]臻真尊遵增曾{姓~}憎征争筝睁贞侦[3]怎[5]赠甑
tsʰ[1]村称逞[2]沉岑存层曾橙承丞呈程[3]惩[5]趁衬寸蹭称秤牚
s[1]森参孙僧升生牲甥笙[3]损笋榫省{节~}
tʂ[1]针珍诊疹蒸正{~月}征[3]枕振震拯整[5]镇阵圳证症郑正{~在}政
tʂʰ[1]伸撑[2]陈尘臣成城诚乘{文}
ʂ[1]深身申声[2]神辰晨乘{白}[3]沈婶审[5]甚肾慎剩胜圣盛
ʐ[2]任{姓~}人仁[3]纴忍刃韧仍扔[5]任{~务}认
k[1]跟根更{~替}羹粳耕[3]哽耿[5]梗埂更{~加}
kʰ[1]坑[3]恳垦啃肯
ŋ[1]恩[5]硬
x[1]哼[2]痕恒衡[3]很[5]恨杏

#in
p[1]蓖宾滨殡冰兵[3]丙柄饼[5]病并
pʰ[1]拼[2]贫频苹凭平评坪瓶屏萍[3]品[5]聘
m[2]民明鸣名[3]敏抿皿[5]命
t[1]丁钉{名词}疔叮[3]顶鼎[5]钉{动词}订锭定
tʰ[2]厅亭停庭廷蜓[3]挺艇[5]听
n[2]林淋临鳞磷邻凌陵菱宁{安~}宁{~可}灵零铃龄[3]檩凛领岭[5]赁吝印凝令另
tɕ[1]今金津巾斤筋茎京荆惊精晶睛经[3]锦紧仅谨境景警井颈[5]禁{~不住}襟禁{~止}尽进晋尽劲近敬竟镜竞静净劲径
tɕʰ[1]亲清轻青蜻[2]琴禽擒秦勤芹情晴[3]寝请[5]浸侵瀙庆
ɕ[1]心芯辛薪新兴{~旺}星腥猩馨[2]行{~为}形刑型[3]醒[5]信兴{~趣}幸性姓
∅[1]音阴窨因姻殷鹰蝇樱鹦英婴缨[2]银寅迎盈赢[3]饮{~酒}隐瘾影[5]吟饮{~菜}应{反~}应{~该}映

#uen
tʂ[3]准
tʂʰ[1]椿春[3]蠢
ʂ[2]唇纯醇莼绳
ʐ[5]润孕
k[3]滚[5]棍
kʰ[1]昆
x[2]魂横{~直}横{蛮~}[5]馄
∅[1]温瘟[2]文纹蚊闻吻[3]稳[5]问

#yn
tɕ[1]钧均君军[5]俊肫菌郡
tɕʰ[1]倾顷[2]群裙琼
ɕ[2]寻询旬循巡殉[5]讯逊迅驯
∅[2]匀云耘营茔萤荥[5]熨泳咏

#aŋ
p[1]帮邦浜[3]榜绑[5]棒
pʰ[2]滂旁螃傍庞
m[2]忙芒茫盲虻氓[3]莽蟒
f[1]方芳[2]肪妨房防[3]坊仿纺彷访[5]放
t[1]当{应~}裆[3]党挡[5]当{~铺}荡
tʰ[1]汤[2]堂棠螳[5]烫趟
n[2]郎廊狼螂[3]朗[5]浪
ts[1]赃脏{肮~}[5]葬藏{西~}脏{内~}
tsʰ[1]仓苍舱菖娼窗[2]藏{隐~}
s[1]桑丧{~事}[3]磉嗓搡[5]丧{沮~}
tʂ[1]张章樟蟑[3]长{省~}涨[5]帐胀怅丈仗障瘴
tʂʰ[1]昌倡[2]长{~短}场{~地}
ʂ[1]商伤[2]常尝裳偿[3]赏[5]尚
ʐ[2]瓤[3]壤攘嚷[5]让
k[1]刚岗纲钢缸肛[3]港[5]虹杠
kʰ[1]康糠慷[2]扛[3]囥[5]抗炕
ŋ[1]肮[2]昂[3]仰
x[1]夯[2]行{~当}航杭[5]项巷

#iaŋ
tɕ[1]将{~来}疆僵姜缰姜江豇[3]蒋奖桨讲[5]浆酱将{大~}降{~低}
tɕʰ[1]枪羌腔[2]墙强{坚~}强{勉~}[3]抢[5]呛
ȵ[2]娘良凉梁粱[3]两辆[5]酿量{~尺寸}量{数~}亮谅
ɕ[1]相{互~}箱厢湘镶香乡[2]详祥翔降{投~}[3]想饷享响[5]相{~貌}象像向
∅[1]央秧殃[2]羊洋杨阳扬疡[3]养痒[5]样

#uaŋ
tʂ[1]庄装妆桩[5]壮状
tʂʰ[1]疮[2]床[3]闯撞[5]创
ʂ[1]珊删霜双[3]爽
k[1]光[3]广
kʰ[1]筐框匡眶[2]狂[5]旷况矿
x[2]黄皇蝗蟥凰[3]谎晃
∅[1]汪[2]亡王[3]网枉往[5]望妄忘旺

#əŋ
p[1]绷[5]笨
pʰ[2]盆朋棚篷
m[2]谋门萌盟蒙[3]某亩猛蜢
f[1]分吩芬忿风疯枫丰封蜂峰锋[2]坟冯逢缝{裁~}[3]讽[5]喷{~水}愤份凤奉缝{~隙}俸

#uəŋ
x[1]荤
∅[1]翁[5]瓮齆

#oŋ
p[1]绷
pʰ[2]彭膨[3]捧[5]喷{~香}碰
m[5]茂贸闷孟
t[1]东冬[3]董懂[5]冻栋动洞
tʰ[1]通[2]同铜桐筒童瞳[3]捅桶统[5]痛
n[1]聋[2]笼砻咙农脓侬隆窿浓龙陇[3]拢垄[5]弄
s[1]嵩
tʂ[1]鬃棕宗综中{~间}忠终踪钟盅舂[3]总种{~类}种{~地}肿[5]粽中{射~}仲众纵重{轻~}
tʂʰ[1]葱聪匆囱衷充冲[2]丛虫崇从重{~复}[3]宠
ʂ[1]松[3]怂[5]顺送宋诵颂讼
ʐ[2]茸[5]闰
k[1]公工功攻蚣弓躬宫恭龚[3]汞拱巩[5]贡供共
kʰ[1]坤空[3]捆孔恐[5]困控
x[1]昏婚浑轰烘[2]弘宏红洪鸿[3]哄{~骗}哄{起~}[5]混
∅[1]壅

#yoŋ
tɕʰ[2]穷
ɕ[1]熏勋薰兄胸凶[2]熊雄[5]训
∅[1]晕雍臃庸[2]荣融容溶蓉熔[3]允永拥勇涌踊[5]佑运用壅勇涌踊[5]熨韵运用
