	注释：-白读，=文读
l	[2]厘离篱璃[3]李里{乡～}理里=礼鲤[5]丽利={利益}厉励隶□{撕}[6]吏例
ts	[1]支={～撑}[3]紫止旨指={戒～}址只□{这}[5]祭际剂济至志制
tsʰ	[1]痴腮鳃妻凄[2]驰迟[3]侈耻[5]市□{～□ɡi24，肮脏}试刺{鱼刺}翅={鱼～}[6]饲
dz	[2]儿[5]二[6]字寺
s	[1]施尸诗司丝栖私{家～}[2]辞{～职}时匙[3]始死[5]氏是恃四世势[6]豉{～油，酱油}示誓逝视嗜
k	[1]肌饥姬基箕乩稽机讥几={～乎}支{量词}枝指{动词}[2]棋旗[3]几{茶几}杞纪[5]技妓冀忌既记继痣[6]己
kʰ	[1]欺攲{歪斜}[2]其期畸琦琪祁祈麒[3]齿企起启[5]汽气=弃器
ɡ	[2]疑□{□tsʰi22-21～，肮脏}
h	[1]希稀曦熙牺禧嬉熹[2]携[3]喜[5]系戏
∅	[1]伊衣依[2]夷姨移怡贻饴于彝[5]易=异肄裔意
#iʔ	
p	[7]鳖
b	[7]沕{躲藏}
t	[7]滴跌蒂[8]碟
tʰ	[7]铁
l	[8]裂
ts	[7]接折{折叠}[8]舌折{断}
tsʰ	[8]蠘{～囝，小海蟹}蠞{～囝，小海蟹}
dz	[8]□{“二十”合音}□{按压}
s	[7]折{～本}薛闪-{颤抖}[8]蚀
k	[7]颊{～交，脸颊}□{堆砌}
kʰ	[7]缺-{破损}乞{给；被}
#u	
pf	[1]□{吹风，刮风}[3]捕[5]布=怖妇-{新～，媳妇}富
pfʰ	[2]菩浮葡蒲烰{油炸}[3]□{肏}
bv	[2]巫诬芜[3]武侮舞鹉[5]务[6]菢雾□{喷洒}
t	[1]猪诛[2]除橱锄[3]堵赌[5]著{～名}[6]箸
tʰ	[1]蛛拖-[2]储徒途涂=
l	[1]□{剃}[2]驴[3]汝{你}虏鲁橹吕侣铝旅屡履缕[5]虑滤
ts	[1]组诸朱珠侏资孜兹滋之芝书[2]薯[3]主煮子梓[5]住=驻注蛀铸聚自渍{洇开}
tsʰ	[1]摅{铺开}趋疽{溃疡}[2]瓷=慈磁雌徐[3]取娶=此鼠[5]措趣厝{房子}处次
dz	[2]如儒俞愉榆逾瑜孺蠕而茹侕{杂乱}□{擦；拖地}□{可爱}[3]乳愈耳=尔[5]喻裕吁腻
s	[1]舒输须需抒师斯私思[2]殊祠词辞□{水喷射貌}[3]暑曙署黍墅绪史[5]恕庶素=诉絮士似肆赐屿竖伺祀序叙[6]事
k	[1]龟骷拘车{棋子}居佝[3]久灸韭矩举[5]具俱惧舅臼句固故锢顾巨拒距炬据锯□{吞咽}[6]旧
kʰ	[1]邱区岖躯驱枢[2]跍{蹲}渠瞿衢[5]去
ɡ	[2]牛
ŋ	[2]愚娱[5]遇寓御悟[3]语
h	[1]夫俘敷肤乎呼=虚墟嘘烌{炉灰}[2]扶芙符壶蝴弧瓠胡={二～}糊=鱼渔[3]府俯腑釜腐许{指示词，那}浒□{涂抹}[5]父负覆妇=辅互护赋付附咐赴傅副
∅	[1]污迂淤[2]余盂预[3]雨=羽宇禹与予[5]有誉[6]豫
#uʔ	
t	[7]腯{肥胖}[8]□{戳}
tʰ	[7]□{蹭}
l	[7]□{大口喝，灌下去}
ts	[8]嘬{吸}
k	[7]□{吸}
#ɿ	
ts	[1]膣{女阴}
#ia	
t	[1]爹
ts	[1]嗟遮[3]者姐={小～}[5]籍{书～}蔗鹧[6]谢{姓}
tsʰ	[1]车奢赊
dz	[3]惹
s	[1]斜-[2]邪斜=畬[3]写[5]舍社赦卸泻[6]射麝谢{感～}
k	[1]加=佳痂嘉咖{～啡}[3]贾假{～期}[5]寄徛{陡峭}
kʰ	[1]奇{～数}[2]骑擎-{拿着}[5]徛{站立，居住}
h	[1]靴桸{水瓢}[2]遐霞[5]瓦{瓦片}下=蚁-
∅	[2]耶椰爷□{□la24-22～，大蜘蛛}[3]野冶[5]□{厌烦}[6]也□{播撒}
#iaʔ	
p	[7]壁璧
pʰ	[7]癖僻
t	[7]摘
tʰ	[7]拆
l	[8]掠{抓}
ts	[7]脊迹只[8]食
tsʰ	[7]赤刺
s	[7]锡削[8]席{酒～}
k	[7]揭{～露}[8]屐剧假{放～}
kʰ	[7]隙
h	[7]歇[8]额役{兵～}
∅	[7]益[8]蛱{～囝，蛾子；美～，蝴蝶}蝶{～囝，蛾子；美～，蝴蝶}
#io	
p	[1]标-臕表{手表}[3]表-{～兄}裱[5]漂{～白}
pʰ	[2]薸{萍}[5]鳔票
b	[2]苗-描-瞄-[6]庙
tʰ	[1]挑[5]粜
l	[2]撩{从液体面上舀取}
ts	[1]招-椒蕉[3]少[5]照
tsʰ	[5]笑
dz	[6]尿
s	[1]烧小{～姐}相-{～信}
k	[2]桥茄[5]叫[6]轿
kʰ	[1]□{硌着}
∅	[1]腰[2]姚窑摇-[3]舀
#ioʔ	
t	[8]着{接触；正确；应该}
l	[8]略-
ts	[7]借质[8]石
tsʰ	[7]尺淖{稀}[8]席-
dz	[8]若{～载，多少}
s	[7]惜液-{手心、脚心的汗液}[8]俗-{臭～，俗气}
kʰ	[8]挈{拿}
h	[8]页箬{叶子}
∅	[7]约[8]药
#iu	
p	[1]彪
pʰ	[5]□{糟，不好}
t	[2]绸[5]昼=粙{稻子}□{用鞭子或棍子抽}[6]宙住-
tʰ	[1]抽[2]筹涛[3]丑{地支}[5]□{～皮，破皮}
l	[1]溜[2]留=流=琉硫榴馏[3]柳□{挖}
ts	[1]舟州周洲[3]酒帚[5]就咒
tsʰ	[1]秋鳅须初-{～五}[2]仇酬售囚[3]丑手[5]□{擦拭}[6]树
dz	[2]柔揉鱿
s	[1]收梳修羞[2]泅[3]守首[5]受授兽寿秀锈绣袖
k	[1]□{缩起来}[2]球[3]纠九=[5]咎柩救究
kʰ	[1]鸠丘[2]求[3]□{抓挠}
h	[1]休
∅	[1]幽悠忧优[2]尤由油邮犹游[3]友酉莠[5]又右佑诱[6]柚
#iuʔ	
p	[7]□{冒出}
t	[7]□{～～，很小}
k	[7]□{挤(牙膏等)}
#ua	
pf	[5]播簸
pfʰ	[2]婆-[5]破
bv	[2]磨{动词}
t	[5]带舵[6]大-
tʰ	[1]拖
l	[2]箩锣[5]赖-{～人}
ts	[1]抓[2]蛇[3]纸□{□ka21～，蟑螂}[6]□{量词，次}
tsʰ	[3]□{歪}[5]蔡[6]娶-□{带(人)}
s	[1]沙砂鲨[3]徙[5]世-{延续}续{延续}
k	[1]歌-{民间小调}[3]剐[5]挂=芥-{～菜}盖-{盖子}
kʰ	[1]夸侉垮[5]跨挂
ɡ	[6]外
h	[2]华{中～}桦和[5]祸化={文～}[6]华{～山}
∅	[1]蛙洼娃[3]我倚-
#uaʔ	
pf	[7]钵[8]钹跋-{摔倒}□{赌博}
pfʰ	[7]拨泼撇[8]□{（把毛巾等）搭挂上}
bv	[7]抹沫
t	[7]咄{大喊，责骂}
tʰ	[7]獭汏{淘洗}
l	[7]烙[8]辣
ts	[8]绌-{欠缺；病小愈}
tsʰ	[7]掣{猛拉}
dz	[8]热-{气温高}
s	[7]撒杀煞宿
k	[7]割葛
kʰ	[7]渴阔
h	[8]豁-{跨}
∅	[8]活
#ue	
pf	[1]杯飞-菠{～薐，菠菜}[2]赔[5]贝背倍辈佩[6]焙
pfʰ	[1]胚[2]陪培皮[5]被-{被子}配
bv	[2]枚莓梅媒煤霉[3]尾美-{宅～，地名}[6]未-{还没}
t	[5]缀{粘，跟着}
tʰ	[2]颓
ts	[5]罪最[6]襊{一道痕}
tsʰ	[1]吹炊[2]棰{小棍}[3]髓[6]□{找}
dz	[2]捼{用手指揉，捻}[5]鋭[6]芮
s	[1]衰[5]税戍帅
k	[1]瓜[5]会{～计}髻过卦挂-{～纸}[3]粿裹{垫在下面}
kʰ	[1]科魁窠盔瓜{～子}[2]瘸[5]课
h	[1]花灰{名词}恢[2]回茴回和{～尚}[3]火伙伙[5]会{～议}荟烩汇汇化悔晦货祸岁
∅	[1]莴锅[5]秽卫慰[6]画话
#ueʔ	
pfʰ	[8]□{聊天}□{泡沫}
n	[7]□{捡拾}
tsʰ	[7]啜{～汤～汁，形容什么都吃}
s	[7]刷说
k	[7]刮郭[8]䙠{裤～，短裤}橛{半截}
kʰ	[7]缺=
ɡ	[8]袜月
h	[7]血
∅	[7]挖哕{呕吐}[8]划
#ui	
pf	[1]卑悲[2]肥[6]吠
pfʰ	[5]呸{吐(唾沫)}屁
bv	[2]微薇[5]疿
t	[1]堆追[2]捶[3]搥{用力拉}[5]坠对[6]兑队
tʰ	[1]梯推[2]锤{名词}[3]腿
l	[2]雷儡[3]垒儡磊累{疲累}擂蕊[5]累{积～}泪[6]累{连累}类
ts	[1]锥[3]水[5]赘醉
tsʰ	[1]崔催摧[3]脆[5]粹翠碎喙{嘴巴}
dz	[2]唯惟维遗
s	[1]虽绥[2]垂随遂隧谁□{桑～，桑葚}[5]瑞睡[6]穗
k	[1]归皈规奎圭闺[3]几{疑问词}傀鬼诡[5]瑰桂贵跪
kʰ	[1]开-亏[2]逵葵[3]轨[5]溃匮愧气-{㪗～，喘气}季
ɡ	[6]魏
h	[1]飞=妃非菲挥辉麾徽[2]瓷{训读}□{瓷}[5]彗慧惠废肺沸费讳绘
∅	[1]威医[2]韦违桅帷围为[3]委伟纬炜萎苇[5]谓[6]位胃
#ai	
p	[2]排牌[3]摆[5]拜[6]败
pʰ	[3]痞[5]派沛湃
b	[2]眉楣
t	[1]呆[3]歹[5]戴=代={交～}贷大=殆怠岱
tʰ	[1]筛{簸箕}[2]治{宰杀}台抬[5]太泰态[6]待
l	[2]来莱梨狸[5]濑里-{家}[6]利-{锋利}
ts	[1]灾栽知-[3]宰[5]载=再在
tsʰ	[1]猜[2]才材财裁蚕豺[5]菜
s	[1]师-{老～，师傅}狮西犀[3]使-屎驶[5]洒赛晒柿婿塞[6]倳{搁，放}
k	[1]该皆阶秸[2]个-[5]丐介界尬戒诫芥={～末}届钙
kʰ	[1]开=[3]凯铠楷锴[5]慨概溉
h	[2]孩谐骸颏{下～，下巴}[3]海[5]亥骇械懈解{姓}[6]害
∅	[1]哀埃挨=捱
#oi	
pʰ	[1]批
b	[3]买[5]□{不会}𣍐{不会}[6]卖
t	[1]堤[2]蹄题[3]底[6]第
tʰ	[1]钗-[5]代-{代替}
l	[2]犁黎-[5]劙{劈}
ts	[2]齐[6]□{多，原文作“载”}
s	[3]洗[5]细
k	[1]鸡街[2]鲑{杂鱼酱}[3]改解[5]计[6]易-{容易}
kʰ	[1]溪[5]契喫{啃}
ɡ	[6]艺
h	[2]□{擦到，碰到}[5]蟹
∅	[1]挨-{～砻，碾谷去壳}[2]鞋[3]矮[5]解-{会}
#oiʔ	
p	[7]八[8]拔-
l	[8]笠
ts	[7]节{节日}[8]截
s	[7]塞-{塞入}
k	[7]荚夹{用筷子夹}[8]挟-{夹在腋下}
kʰ	[7]□{硌着}
∅	[8]狭-
#au	
p	[1]包胞苞[5]暴爆鲍
pʰ	[1]褒抛[2]刨刨袍跑[5]泡=炮
b	[3]卯铆昴
t	[1]兜[2]投[3]岛捣祷斗抖陡找[5]道导稻盗斗-{组装}昼-{日～，中午}[6]豆痘
tʰ	[1]滔偷[2]陶淘头[3]敨{解开}[5]套透
l	[1]□{掺和}[2]留-流-劳唠痨楼刘[3]佬篓[5]老涝[6]闹-{～热，热闹}陋漏
ts	[1]遭糟[2]□{均匀}[3]走[5]皂造灶罩=奏
tsʰ	[1]操抄钞[2]曹□{挪动}[3]吵草=[5]臭燥躁噪
s	[1]骚搔捎[5]扫嗽□{打耳光}
k	[1]高=勾钩沟篝交郊茭[2]猴[3]九-狗搞狡枸垢{～圿，污垢}[5]遘{到}厚够-告=
kʰ	[1]阄抠薅[2]□{刮，削}[3]考拷烤口槁{咸菜～，咸菜条}[5]叩犒铐靠=哭{哭，原文作“号”}
ɡ	[2]𠢕{能干，厉害}
h	[2]毫豪壕濠嚎哮[3]吼[5]孝=校浩[6]效候鲎
∅	[1]凹欧殴鸥讴=[2]喉[3]呕[5]后懊□{～□sa53，差劲}
#auʔ	
p	[7]□{菜梗}
l	[7]□{舔}
s	[8]□{～～叫，酥脆貌}
k	[7]□{卷起}
kʰ	[7]□{酥脆}
#ou	
p	[2]煲[3]补斧脯[5]布-部[6]步埠哺{咀嚼}
pʰ	[1]铺{动词}[3]普浦谱剖[5]簿铺{店～；距离单位}
b	[3]牡亩母{媳妇}
t	[1]都{首～}[2]厨屠图[3]肚{人肚}[5]斗=杜妒肚{猪～}[6]度渡镀
tʰ	[2]涂-{泥土}[3]土[5]吐兔
l	[2]卢炉芦庐[3]卤恼-{讨厌}[6]路露
ts	[1]租邹[3]祖[5]骤{～蜀然，突然}
tsʰ	[1]粗[5]凑醋脞{肉丁}
s	[1]苏酥稣
k	[1]枯孤姑菇辜[2]糊-{浆糊}[3]苟估古股鼓[5]靠-够=构购雇
kʰ	[1]箍{圈}呼-{～鸡，赶鸡}[3]苦许{姓}[5]寇库裤
ɡ	[2]吴[6]误
h	[2]狐胡{～椒}葫侯[5]后{天～}户戽雨-□{～着，祈祷，求神保佑}
∅	[1]乌钨[2]胡-{姓}湖□{圆形扁筐}
#iau	
p	[3]表=婊
pʰ	[1]标=漂飘剽缥[2]嫖
t	[1]刁凋雕貂丢[2]条[5]吊兆召[6]调{声～}掉
tʰ	[2]调{～整}□{痤疮}[3]挑调{对～}[5]跳超柱
l	[2]捞-聊僚寥寮辽燎缭镣疗[3]了瞭[6]料廖
ts	[1]朝{早上；～鲜}昭焦招=钊[3]沼鸟[5]醮诏
tsʰ	[1]悄□{搅拌}[2]朝{朝代；朝向}[3]稍{～微}
dz	[2]饶[3]扰爪[5]绕[6]趭{追赶}
s	[1]捎逍消宵硝霄销萧箫搜[2]巢韶[3]小=痟{疯}[5]稍{～息}少={～年}哨绍肇{～庆}肖{相似}数{动词；名词}
k	[1]娇骄[3]饺矫缴搅=[5]撬
kʰ	[1]敲[2]乔侨荞[5]翘窍
h	[1]邀骁[2]□{奇怪}侥{～幸}[3]晓
∅	[1]幺夭吆妖枵{饿}[2]摇=遥谣言瑶[5]要耀
#iauʔ	
ts	[7]雀{麻～，麻将}□{翻动}
s	[8]□{～～叫，窸窸窣窣声}
k	[7]□{对勾}
#uai	
k	[1]乖[3]拐[5]怪桧
kʰ	[5]快筷
h	[2]淮槐怀[6]坏
∅	[1]歪
#ã	
pʰ	[5]怕奅{饱胀，浮肿}冇{饱胀，浮肿}
t	[1]担{动词}[3]胆[5]淡掷担呾{说}[6]赚{错误}
m	[3]妈
n	[2]篮□{～是，如果}[3]榄拿{～手}
ts	[5]□{舀取}
s	[1]三-衫
k	[1]柑橄[2]衔-{叼着}[3]敢[5]酵
∅	[1]揞{用手掩}[6]馅
#ãʔ	
n	[7]□{大口咬}垃{～圾sap2}
∅	[7]□{～～实，很密}
#õ	
m	[2]毛摹模魔摩[3]□{不好，不可以}[5]墓幕慕暮[6]望
tʰ	[3]讨
n	[2]娜[5]两-{表示数目2}努
kʰ	[3]可
ŋ	[2]俄蛾峨
∅	[5]卧奥澳懊
#õʔ	
m	[8]膜漠
tsʰ	[8]□{□tsʰiɁ5-2～，慌张}
ŋ	[8]愕
#ẽ	
p	[1]把{把住}[2]棚平-[5]柄[6]病
pʰ	[2]彭膨澎
m	[2]盲暝[3]猛[6]骂
t	[5]□{捏}□{假装}[6]郑
tʰ	[1]撑[5]牚{高举}
n	[2]晾[3]冷[5]奶-{乳房}
ts	[1]争[2]晴[3]井阱[5]静
tsʰ	[1]青星生-{不熟}[3]省{反～}醒
s	[1]生-{生产}[3]省{节省；省份}[5]性姓
k	[1]更{三～}庚赓耕羹[3]哽梗[5]劲颈径架-{～势}
kʰ	[1]坑
ŋ	[5]硬
h	[5]□{是非问语气词，吗}
∅	[2]桁楹[6]□{应答辞，对}
#ẽʔ	
m	[8]脉
h	[7]□{～下叫，吓一跳}
#ĩ	
p	[1]边-[3]扁[5]变-[6]辫
h	[1]便-{便宜}[5]片-[6]鼻□{鼻涕}
m	[1]眯□{密实}[2]棉-绵-糜{烂}迷[3]美=[5]谜[6]麵{面条}
t	[2]缠[5]滇{水满貌}
tʰ	[1]天添-[6]䋎{缝补}
n	[2]年弥呢{呢大衣}尼泥[5]奶-{乳汁}□{微胖}
ts	[1]脂[2]钱[3]稚[5]挤箭
tsʰ	[1]鲜[2]□{飞虫缠人貌}[5]眦{目～毛，眼睫毛}
s	[5]扇{名词}
k	[2]舷{边缘}[5]见-
ŋ	[2]疑宜仪[3]拟议[5]义谊[6]院毅砚
h	[2]弦[5]耳-□{甩}
∅	[2]丸圆[3]已以椅[5]燕-
#ĩʔ	
m	[7]乜{什么}
n	[7]啮{叮咬}嗫{～囝，一点儿}
∅	[7]薏{～仁，玉米}[8]□{睡觉}
#iã	
p	[1]冰兵[3]丙饼[5]拚-{～命}
pʰ	[1]𩩍{～篱，两肋}[2]坪□{一边}
m	[2]名[6]命-
t	[1]揨{碰到}[2]庭-[3]鼎-[6]定
tʰ	[1]听厅[2]呈程□{疼}
n	[3]领岭[5]辇{背负}
ts	[1]晶精-{～肉，瘦肉}正{～月}[2]成情-{亲～，亲戚}[3]整䭕{形容食物寡淡}[5]正
tsʰ	[2]□{描画，修饰}[3]且请
s	[1]声[2]成-{几成；～田，地名}城馋[5]圣盛{春～，一种容器}□{嚣张}
k	[1]京惊经-{～文}[2]行-{走}[3]囝[5]件镜[6]健-{轻～，矍铄貌}
h	[1]兄[2]颜{姓}燃{煮，原文作“煅”}
ŋ	[3]雅
∅	[2]营赢[3]影
#iãʔ	
h	[8]□{掀开}
#iõ	
t	[1]张-[2]场潮[5]赵丈-{姨丈}胀帐账钓
n	[2]粮量-{测量}娘梁-[3]两-{单位名}[6]让-{退让，让给}
ts	[1]章-浆[3]掌蒋桨[5]酱上-{～山}痒
tsʰ	[1]鲳枪耀{用光照}[2]墙[3]抢[5]象像-橡-唱-{～歌kua21，唱民间小调}[6]上-{～新坟}
s	[1]伤厢箱[2]常尝-偿[3]赏[5]相{名词}想-[6]尚-{和～}
k	[1]姜[2]强-{胜过}
kʰ	[1]腔
h	[1]乡香-{名词}[5]向-□{那么}
∅	[2]融羊洋垟烊溶-{～～，泥水湿滑貌}[5]漾[6]样
#ĩu	
n	[3]扭纽[5]谬
h	[2]裘[3]朽[5]嗅
∅	[5]幼
#ĩuʔ	
∅	[7]□{很小}
#uã	
pf	[2]搬盘{单字音；骹～，足面，原文作“蹯”}[5]半□{甩，抽}
pfʰ	[1]潘般番{～禺}[5]伴拌绊判-{～卷，改卷子}
ɱ	[6]幔-{用布盖上}[2]麻鳗瞒[3]满
t	[1]单丹-{牡～}[2]坛[5]懒{原文作“惰”}[6]弹-{弹射}
tʰ	[1]摊滩瘫[3]铲-{～草，除草}[5]炭碳
n	[5]□{唾液}□{躺平在地上}[6]烂
ts	[2]泉[3]盏[6]贱
tsʰ	[1]□{木刺}[5]闩{关门}
s	[1]山汕{～头}[3]产散{散剂}[5]伞散线汕{～尾}
k	[1]乾-{豆～，豆腐}肝竿杆官棺[2]寒-{动词，冻}[3]赶寡[5]掼{手提}[6]汗旱
kʰ	[1]宽-{～行，慢走}[5]看-旷-{宽敞}
h	[1]欢□{扶住}[6]垾{田埂}
∅	[1]安-鞍[3]碗[5]案晏-{晚}[6]换
#uẽ	
ɱ	[2]糜-{粥}[3]每[5]昧寐魅[6]妹[8]物
k	[1]关-[3]果
h	[2]横
#ũi	
ɱ	[3]美=[5]□{不怕}
k	[6]柜
ŋ	[2]危[3]伪
h	[3]匪毁
∅	[5]畏
#ãi	
p	[2]爿{一边}[3]反-{翻到反面}板-[6]办
pʰ	[6]稗
m	[2]埋[5]□{不要}迈
t	[5]扂{门～，门槛}□{门～，门槛}[6]殿橂{硬}
n	[2]莲[3]奶=乃[5]捺奈耐赖={姓}瘌[6]荔-{～果，荔枝}
ts	[2]脐前田{成～，地名}[3]指-{手指}
tsʰ	[1]千□{～～儿，慢慢的}[3]采彩睬踩筅{掸}
s	[1]先-
k	[1]肩-间-{房～}[3]茧拣[5]间-{～隔}
kʰ	[5]盖{动词}
ŋ	[2]崖涯[3]掜{执拗}[5]艾岸[6]碍
h	[2]还-{归还}[3]蚬[5]□{掩门}[6]苋□{使，让}
∅	[2]闲[3]眼-{肉～，龙眼}[5]爱
#ãiʔ	
ŋ	[8]□{～～，黏稠泥泞}□{□hĩʔ2-5～，形容生病}
#õi	
t	[3]睇
#õiʔ	
∅	[8]□{～～，形容脸瘦}
#ãu	
m	[2]矛茅髦[5]冒貌
n	[2]挠铙奴-{孩子}[3]恼=脑[5]闹=藕
h	[5]好{爱好；允许}
ŋ	[1]嚣[2]熬淆肴[5]傲
∅	[1]□{把纸揉成一团}
#ãuʔ	
ŋ	[8]乐{音～}
∅	[8]□{□ĩʔ2-5～，彼此有意见。}
#õu	
m	[2]蒙-摸谋牟[3]某[5]茂鹜{摸索、营求}贸舞-{～虎狮，舞龙舞狮}[6]戊
n	[2]奴=
ŋ	[3]午伍偶忤[5]五
h	[3]否虎琥唬
∅	[6]芋
#iãu	
m	[2]苗=锚描=瞄=[3]秒渺缈藐淼[5]妙
n	[1]嬲{挠痒痒}[3]袅[5]皱
h	[1]□{掀开}
ŋ	[1]猫[3]猫{～鼠，老鼠}[2]尧
∅	[5]□{翻}
#iãuʔ	
h	[7]□{向后翻}
ŋ	[7]□{～～□nŋ53，躁动不安貌}
#uãi	
k	[2]悬-{高}[5]惯-{～势，习惯}[6]县
kʰ	[1]圈-{量词}
s	[6]檨{芒果}
∅	[1]剜弯-{～倒转，绕回来}
#am	
t	[2]澹{湿}[3]癚{～昧bai22，笨}
tʰ	[1]坍贪[2]痰谈潭谭[5]探
n	[2]蓝淋-男南[3]览揽缆舰[6]滥
ts	[1]簪针[3]斩[5]站
tsʰ	[1]参岑搀[3]惨
s	[1]三=杉[3]糁{橄榄～，一种蜜饯}
k	[1]甘监{～狱}[2]含-[3]感坎{胸～，胸部}[5]监{～视}鉴
kʰ	[1]勘堪龛疳[3]坎砍槛嵌
ŋ	[1]啱{正好}[2]癌岩
h	[1]蚶酣憨[2]含=晗衔=函涵[5]喊撼憾[6]陷
∅	[1]庵[3]饮-{米汤}[5]窨{～空，下水道}暗唵{吞食}颔{脖子}
#ap	
t	[7]答
tʰ	[7]塌
n	[7]□{软}[8]纳诺
l	[7]□{套上}
ts	[7]汁眨[8]十杂
tsʰ	[7]插{参与；交往}
s	[7]圾{垃nãɁ2-5～}刹{～车}
k	[7]鸽蛤合={混合}
kʰ	[7]□{洒出}[8]磕
h	[8]峡-{～山，地名}合=
∅	[7]押{找钱}[8]匣盒
#om	
ts	[2]□{奔跑赶赴；次}
ŋ	[5]五
k	[3]□{拳打}
h	[5]□砸
#op	
tʰ	[7]□{塞住；顶替}
h	[7]□{～下叫，形容迅速的一下子}
∅	[7]□{～～叫，形容嘴巴一张一合}
#im	
t	[1]□{在水中浸泡}[2]沉=
l	[2]林淋=临[3]凛
ts	[1]斟□{亲吻}[2]挦{探取}[3]枕[5]浸
tsʰ	[1]深侵[2]寻[5]□{搬起}
dz	[5]刃韧赁壬任妊
s	[1]参{人参}森心芯[2]忱[3]沈审婶甚
k	[1]今金[3]锦[5]妗禁
kʰ	[1]钦衾[2]琴禽擒
ŋ	[2]吟
h	[1]鑫歆[2]熊
