id	ini	fn	pt	单字	黃閣大塘	注释	南沙黃閣	
95	p	a	55	巴	pa55	～掌，～结，～黎		
96	p	a	55	芭	pa55	～蕉，～蕾		
97	p	a	55	疤	pa55	伤～		
98	p	a	35	把	pa25	～握，～脉		
99	p	a	13	霸	pa23	恶～，～王		
100	p	a	13	壩	pa23	堤，溪～		
101	p	a	55	吧	pa55	酒～		
102	p	a	35	垻	pa25	平地，湖洋～		
103	p	a	55	爸	pa55	爸爸		
104	pʰ	a	13	怕	pʰa23	害怕，惊～	pʰa23	1
105	pʰ	ak	5	帕	pʰak5	手～		
106	pʰ	a	21	爬	pʰa21	～树	pʰa21	1
107	pʰ	a	21	琶	pʰa21	琵～		
108	pʰ	a	21	杷	pʰa21	枇～		
109	pʰ	a	21	耙	pʰa21	犁耙		
110	m	a	21	麻	ma21	天～，～烦	ma21	1
111	m	a	21	痲	ma21	出～（得痳疹），～风		
112	m	ou	55	蟆	mou55	蛤～（蟾蜍）		
113	m	a	55	媽	ma55	妈妈		
114	m	a	55	媽	ma55	～祖		
115	m	a	13	馬	ma23	骑～，～虎		
116	m	a	13	碼	ma23	～头，大～		
117	l	au	31	罵	lau31	～人		
118	l	a	21	拿	la21	～手，推～		
119	tʃʰ	a	21	茶	tʃʰa21	～叶	tʃʰa21	1
120	tʃ	a	55	楂	tʃa55	山～		
121	tʃ	a	55	渣	tʃa55	药～	tʃa55	1
122	tʃ	a	35	詐	tʃa25	～骗		
123	tʃ	a	55	榨	tʃa55	～菜，～油	tʃa53	黄阁
124	tʃ	a	35	炸	tʃa25	～药		
125	tʃʰ	a	55	叉	tʃʰa55	刀～，～腰		
126	tʃʰ	a	55	杈	tʃʰa55	桠～，树～		
127	tʃʰ	a	55	差	tʃʰa55	～别		
128	tʃʰ	a	55	岔	tʃʰa55	～路，三～路口		
129	tʃʰ	a	21	查	tʃʰa21	调～		
130	ʃ	a	55	沙	ʃa55	泥～，～漠	ʃa55	1
131	ʃ	a	55	紗	ʃa55	～布		
132	ʃ	a	35	灑	ʃa25	～水		
133	h	a	31	廈	ha31	偏廈（厢房）		
134	ʃ	a	55	痧	ʃa55	发～，刮～		
135	k	a	55	家	ka55	老～，～庭	ka55	1
136	ʃ	a	55	砂	ʃa55	朱～，～纸		
137	k	a	55	加	ka55	～工		
138	k	a	35	痂	ka25	结～		
139	k	a	55	嘉	ka55	～宾		
140	k	a	35	假	ka25	真～，～设		
141	k	a	35	賈	ka25	姓，～宝玉		
142	k	a	13	假	ka23	放～，～期		
143	k	a	13	架	ka23	书～		
144	k	a	13	駕	ka23	～驶证		
145	k	a	13	嫁	ka23	～人		
146	k	a	13	稼	ka23	庄～，邓～先		
147	k	a	13	價	ka23	～钱，～值		
148				揢		用虎口掐		
149		a	21	牙	a21	～齿，刷～		
150		a	21	芽	a21	豆～		
151		a	21	衙	a21	～门		
152		a	13	雅	a23	文～；～典（国名）		
153		aŋ	13	砑	aŋ23	碾，～平，～碎		
154	h	a	55	蝦	ha55	鱼～，～公		
155	h	ak	13	嚇	hak23	～人		
156	h	a	21	霞	ha21	晚～	ha21	1
157	h	a	21	瑕	ha21	～疵		
158	h	a	55	蝦	ha55	～蟆（蟾蜍）		
159	h	a	31	下	ha31	～背，底～	ha31	1
160	h	a	31	下	ha31	取下，～下来	ha31	1
161	h	a	31	夏	ha31	姓		
162	h	a	31	廈	ha31	～门，大～		
163	h	a	31	下	ha31	～降，～流	ha31	1
164	h	a	31	夏	ha31	春～秋冬		
165	h	a	21	暇	ha21	闲～		
166		a	55	鴉	a55	老～，乌～，～片		
167		a	55	丫	a55	～鬟，～头		
168				椏		～杈		
169		a	35	啞	a25	哑巴，～佬		
170		a	13	亞	a23	～洲，～军		
171	tʃ	ɛ	35	姐	tʃɛ25	小～[文]	tʃɛ25	1
172	tʃ	ɛ	35	姐	tʃɛ25	姐姐[白]	tʃɛ25	1
173	tʃ	ɛ	13	借	tʃɛ23	～钱		
174	tʃʰ	ɛ	35	且	tʃʰɛ25	而～，况～		
175	tʃʰ	ɛ	13	笡	tʃʰɛ23	斜，～～（歪斜的样子）		
176	tʃ	ek	2	藉	tʃek31	～故，～口		
177	t	ik	5	些	tik5	一～		
178				寫		～字		
179	ʃ	ɛ	13	瀉	ʃɛ23	腹～，一～千里		
180	ʃ	ɛ	13	卸	ʃɛ23	～货，推～		
181	tʃʰ	ɛ	21	邪	tʃʰɛ21	～气，～门歪道		
182	tʃʰ	ɛ	21	斜	tʃʰɛ21	倾～[文]		
183	tʃʰ	ɛ	21	斜	tʃʰɛ21	不正[白]		
184	tʃ	ɛ	31	謝	tʃɛ31	多～；姓		
185	t	ɛ	55	爹	tɛ55	～娘		
186	tʃ	ɛ	55	遮	tʃɛ55	遮挡[动]；伞[名]	tʃɛ55	1
187	tʃ	ɛ	35	者	tʃɛ25	记～，作～		
188	tʃ	ɛ	13	蔗	tʃɛ23	甘蔗	tʃɛ23	1
189	tʃʰ	ɛ	55	車	tʃʰɛ55	火～		
190	tʃʰ	i	35	扯	tʃʰi25	～开，～烂		
191	ʃ	ɛ	21	蛇	ʃɛ21	毒～	ʃɛ21	1
192	ʃ	ɛ	31	射	ʃɛ31	发～，～箭	ʃɛ31	1
193	ʃ	ɛ	21	麝	ʃɛ21	～香		
194	tʃʰ	ɛ	55	奢	tʃʰɛ55	～侈	tʃʰɛ55	1
195	ʃ	ɛ	55	賒	ʃɛ55	～帐		
196	ʃ	ɛ	35	捨	ʃɛ25	～唔得（舍不得）		
197	ʃ	ɛ	13	赦	ʃɛ23	～免		
198	ʃ	ɛ	13	舍	ʃɛ23	宿～		
199	ʃ	ɛ	13	社	ʃɛ23	～会，公～	ʃɛ23	1
200	j	ɛ	13	惹	jɛ23	～事		
201	j	ɛ	21	耶	jɛ21	～稣		
202	j	ɛ	21	爺	jɛ21	父亲；爷爷[文]		
203	j	ɛ	13	也	jɛ23	～知		
204	j	ɛ	13	野	jɛ23	～人	jɛ23	1
205	j	ɛ	31	夜	jɛ31	日～，～班		
206	ʃ	ɔ	21	傻	ʃɔ21	～瓜，～子		
207	k	ua	55	瓜	kua55	西～，～分	kua55	1
208		ɔ	55	蝸	ɔ55	～牛		
209	k	ua	35	寡	kua25	～妇，守～		
210	h	ua	35	剮	hua25	千刀万～		
211	kʰ	ua	55	誇	kʰua55	～大，～张		
212	kʰ	ua	55	垮	kʰua55	～台		
213	kʰ	ua	55	跨	kʰua55	～栏，～度	kʰua55	1
214	w	a	55	娃	wa55	洋～～		
215		a	13	瓦	a23	～片		
216	f	a	55	花	fa55	开～	fa55	1
217	f	a	13	化	fa23	变～	fa23	1
218	w	a	21	華	wa21	中～		
219	w	a	55	劃	wa55	～船		
220	w	a	21	華	wa21	～山；姓		
221	w	a	55	蛙	wa55	青～，～泳		
222	p	ou	35	補	pou25	～鞋，～充		
223	pʰ	ou	35	譜	pʰou25	族～，歌～		
224	p	ou	13	布	pou23	红～，～料	pou23	1
225	p	ou	13	佈	pou23	公～，～置		
226	pʰ	ou	55	鋪	pʰou55	～路，床～		
227	pʰ	ou	35	普	pʰou25	～通，～遍	pʰou25	1
228	pʰ	ou	13	浦	pʰou23	黄～江		
229	pʰ	ou	13	鋪	pʰou23	店～，当～		
230	p	ou	13	怖	pou23	恐～		
231	pʰ	ou	21	蒲	pʰou21	（石）菖～		
232	pʰ	ɔ	21	菩	pʰɔ21	～萨		
233	pʰ	ou	35	脯	pʰou25	胸～		
234	p	ou	31	部	pou31	～队，干～		
235	p	ou	31	簿	pou31	练习～，帐～		
236	p	ou	31	步	pou31	跑～	pou31	1
237	p	ou	31	捕	pou31	逮～，～快		
238	f	ɐu	31	埠	fɐu31	开～		
239	f	ɐu	31	埠	fɐu31	庵～，蚌～（地名）		
240	m	ou	21	模	mou21	～型，～范		
241	m	ou	21	摹	mou21	～仿，描～		
242	m	ou	31	暮	mou31	日暮		
243	m	ou	31	慕	mou31	羡～，～名而来		
244	m	ou	31	墓	mou31	坟～，～地	mou31	1
245	m	ou	31	募	mou31	～捐		
246	t	ou	55	都	tou55	首～，～市	tou55	1
247	t	ou	55	都	tou55	都是	tou55	1
248	t	ou	35	堵	tou25	～车，～塞		
249	t	ou	35	賭	tou25	～博		
250	tʰ	ou	13	肚	tʰou23	猪～，鱼～		
251	t	ou	13	妬	tou23	～忌		
252	tʰ	ou	35	土	tʰou25	～地	tʰou25	1
253	tʰ	ou	13	吐	tʰou23	～痰；呕～		
254	tʰ	ou	13	兔	tʰou23	野～		
255	tʰ	ou	21	徒	tʰou21	～弟		
256	tʰ	ou	21	屠	tʰou21	～杀		
257	tʰ	ou	21	途	tʰou21	前～		
258	tʰ	ou	21	塗	tʰou21	糊～，～改		
259	tʰ	ou	21	圖	tʰou21	画～，地～		
260	t	ou	31	杜	tou31	姓；杜仲（中药）		
261	tʰ	ou	35	肚	tʰou25	肚子		
262	t	ou	31	度	tou31	～数，长～		
263	t	ou	31	渡	tou31	偷～，摆～		
264	t	ou	31	鍍	tou31	电～		
265	l	ou	21	奴	lou21	～隶		
266	l	ou	13	努	lou23	～力		
267	l	ou	31	怒	lou31	愤～，～气	lou31	1
268	l	ou	21	盧	lou21	姓		
269	l	ou	21	爐	lou21	火～		
270	l	ou	21	蘆	lou21	～苇		
271	l	ou	21	鸕	lou21	～鹚（扁嘴善捕鱼的水鸟）		
272	l	ou	13	魯	lou23	～国，～迅		
273	l	ou	13	虜	lou23	俘～		
274	l	ou	13	滷	lou23	盐～，～水		
275	l	ou	31	路	lou31	大～	lou31	1
276	l	ɔk	2	賂	lɔk31	贿～		
277	l	ou	31	露	lou31	～水，白～，打～		
278	l	ou	31	鷺	lou31	白～		
279	tʃ	ou	55	租	tʃou55	～金，出～	tʃou55	1
280	tʃ	ou	35	祖	tʃou25	～宗，～国		
281	tʃ	ou	35	組	tʃou25	～织，小～		
282	tʃ	ou	31	做	tʃou31	～好事		
283	tʃʰ	ou	55	粗	tʃʰou55	～心	tʃʰou55	1
284	tʃʰ	ou	13	醋	tʃʰou23	陈～	tʃʰou23	1
285	tʃʰ	ou	55	措	tʃʰou55	～施		
286	tʃʰ	ɔ	13	錯	tʃʰɔ23	～误		
287	ʃ	ou	55	蘇	ʃou55	～州；姓		
288	ʃ	ou	55	酥	ʃou55	脆，杏仁～		
289	ʃ	ou	13	素	ʃou23	～菜，朴～		
290	ʃ	ou	13	訴	ʃou23	上～，倾～		
291	ʃ	ɔk	3	塑	ʃɔk3	雕～，～料		
292	k	u	55	姑	ku55	大～	ku55	1
293	k	u	55	孤	ku55	～儿，～单		
294	kʰ	u	55	箍	kʰu55	紧～咒[文]		
295	kʰ	u	55	箍	kʰu55	围束，～桶[白]		
296	k	u	35	古	ku25	～代	ku25	1
297	k	u	35	估	ku25	～计		
298	k	u	35	牯	ku25	牛～		
299	k	u	35	股	ku25	～票		
300	k	u	35	鼓	ku25	锣～，～励		
301	k	u	13	故	ku23	～事，～乡	ku23	1
302	k	u	35	蛊	ku25	养～，～惑		
303	k	u	13	固	ku23	～定		
304	k	u	13	錮	ku23	禁～		
305	k	u	13	雇	ku23	～人，～主		
306	k	u	13	顧	ku23	照～		
307	k	u	55	枯	ku55	干～，～水	ku55	1
308	f	u	35	苦	fu25	辛～，食～（吃苦）		
309	f	u	35	苦	fu25	～味		
310	f	u	13	庫	fu23	水～，仓～		
311	f	u	13	褲	fu23	裤子		
312		ŋ̍	21	吳	ŋ̍21	姓		
313		ŋ̍	21	蜈	ŋ̍21	～蚣		
314		ŋ̍	21	梧	ŋ̍21	～桐		
315		ŋ̍	13	五	ŋ̍23	数字	ŋ̍23	1
316		ŋ̍	13	伍	ŋ̍23	姓；队～		
317		ŋ̍	13	午	ŋ̍23	中～，端～	ŋ̍23	1
318		ŋ̍	31	誤	ŋ̍31	～会，错～		
319		ŋ̍	31	悟	ŋ̍31	觉～；孙～空		
320	f	u	55	呼	fu55	称～，～吸，招～		
321	f	u	35	虎	fu25	老～		
322	f	u	55	虎	fu55	马～		
323	w	u	35	滸	wu25	水～		
324				戽		～水（泼水），～斗		
325	f	u	21	胡	fu21	二～ ；姓	fu21	1
326	f	u	21	湖	fu21	西～		
327	f	u	21	狐	fu21	～狸		
328	f	u	21	壺	fu21	水～		
329	f	u	21	乎	fu21	在～		
330				瓠		瓠卢，同葫芦		
331	f	u	21	鬍	fu21	～须		
332	f	u	21	蝴	fu21	～蝶		
333	f	u	21	糊	fu21	浆～，～涂		
334	f	u	31	戶	fu31	～口		
335	w	u	21	滬	wu21	上海简称		
336	w	u	31	互	wu31	～相		
337	w	u	31	護	wu31	保～，～士		
338				瓠		瓠瓜（味似葫芦而长）		
339	k	u	55	烏	ku55	黑		
340	w	u	55	汚	wu55	～染		
341				塢		船～		
342		ɔk	5	惡	ɔk5	可～		
343	l	œy	13	女	løy23	女人	løy23	1
344	l	ou	21	廬	lou21	～山		
345	l	ou	21	驢	lou21	毛驴		
346	l	œy	13	呂	løy23	姓		
347	l	œy	13	旅	løy23	～游		
348	l	œy	31	慮	løy31	考～		
349	l	œy	31	濾	løy31	过～		
350	tʃ	œy	55	蛆	tʃøy55	蛆虫，生～		
351	ʃ	ɔi	13	絮	ʃɔi23	棉～		
352	tʃʰ	œy	21	徐	tʃʰøy21	姓	tʃʰøy21	1
353	tʃ	œy	13	序	tʃøy23	顺～		
354	tʃ	œy	31	敍	tʃøy31	倒～		
355	ʃ	œy	13	緖	ʃøy23	情～；光～		
356	tʃ	y	55	豬	tʃy55	～肉		
357	tʃ	y	13	著	tʃy23	～名，显～		
358	tʃʰ	œy	21	除	tʃʰøy21	～法	tʃʰøy21	1
359	tʃʰ	y	13	儲	tʃʰy23	～蓄		
360	tʃʰ	y	13	苧	tʃʰy23	～麻		
361	tʃ	y	31	箸	tʃy31	筷子		
362	tʃ	ɔ	35	阻	tʃɔ25	～止，～力		
363	tʃʰ	ɔ	55	初	tʃʰɔ55	当～，～中	tʃʰɔ55	1
364	tʃʰ	ɔ	35	楚	tʃʰɔ25	清～	tʃʰɔ25	1
365	tʃʰ	ɔ	35	礎	tʃʰɔ25	基～		
366	tʃʰ	ɔ	21	鋤	tʃʰɔ21	～草，～禾日当午		
367	tʃ	ɔ	31	助	tʃɔ31	帮～	tʃɔ31	1
368	ʃ	ɔ	55	梳	ʃɔ55	梳子[名]；梳头[动]		
369	ʃ	ɔ	55	疏	ʃɔ55	～远；稀疏		
370	ʃ	ɔ	55	疏	ʃɔ55	生～		
371	ʃ	ɔ	55	蔬	ʃɔ55	～菜		
372	ʃ	ɔ	35	所	ʃɔ25	～以；派出～	ʃɔ25	1
373	ʃ	ɔ	55	疏	ʃɔ55	注～		
374	tʃ	y	55	諸	tʃy55	姓；～如此类		
375	tʃ	y	35	煮	tʃy25	～饭		
376	tʃʰ	y	13	處	tʃʰy23	～理		
377	tʃʰ	y	13	處	tʃʰy23	～所		
378	ʃ	y	55	書	ʃy55	读～		
379	ʃ	y	55	舒	ʃy55	～服		
380	ʃ	y	35	暑	ʃy25	～假		
381	ʃ	y	35	鼠	ʃy25	老～		
382	ʃ	y	13	庶	ʃy23	～民		
383	ʃ	y	13	恕	ʃy23	宽～		
384	ʃ	y	35	署	ʃy25	～名		
385	ʃ	y	21	薯	ʃy21	番～		
386	j	y	21	如	jy21	～果，假～	jy21	1
387	k	œy	55	居	køy55	～民		
388	k	œy	55	車	køy55	象棋，～马炮		
389	k	œy	35	舉	køy25	～报，～重		
390	k	œy	13	據	køy23	收～		
391	k	œy	13	鋸	køy23	电～		
392	h	œy	55	墟	høy55	～日	høy55	1
393	h	œy	13	去	høy23	来～，过～	høy23	1
394	kʰ	œy	21	渠	kʰøy21	水～，～道		
395	kʰ	œy	13	佢	kʰøy23	他，第三人称		
396	k	œy	31	巨	køy31	～大		
397	kʰ	œy	13	拒	kʰøy23	～绝		
398	kʰ	œy	13	距	kʰøy23	～离		
399	j	y	21	魚	jy21	金～		
400	j	y	21	漁	jy21	～业，～夫		
401	j	y	13	語	jy23	～文		
402	j	y	31	御	jy31	～用文人	jy31	1
403	j	y	31	禦	jy31	防～		
404	h	œy	55	虛	høy55	～心		
405	h	œy	55	嘘	høy55	吹～		
406	h	œy	35	許	høy25	允～；姓		
407	j	y	55	於	jy55	在～		
408	j	y	55	淤	jy55	～泥		
409	j	y	21	余	jy21	姓		
410	j	y	21	餘	jy21	多～		
411	j	y	13	與	jy23	参～，给～，～众不同		
412	j	y	13	予	jy23	给～		
413	j	y	31	譽	jy31	荣～		
414	j	y	31	預	jy31	～报，～备		
415	j	y	21	豫	jy21	犹～		
416	f	u	55	夫	fu55	～妻，车～	fu55	1
417	f	u	55	膚	fu55	皮～		
418				跗		脚背，～骨		
419	f	u	35	府	fu25	政～		
420	f	u	35	腑	fu25	五脏六～		
421	f	u	35	俯	fu25	～卧撑，～视		
422	pʰ	ou	35	甫	pʰou25	杜～		
423	pʰ	ou	35	脯	pʰou25	菜～（萝卜干）		
424	f	u	35	斧	fu25	～头		
425	f	u	31	付	fu31	应～	fu31	1
426	f	u	35	咐	fu25	吩～		
427	f	u	31	賦	fu31	天～		
428	f	u	31	傅	fu31	师～[文]		
429	f	u	31	傅	fu31	姓[白]		
430	f	u	55	敷	fu55	～衍，～药		
431	f	u	55	俘	fu55	～虏		
432	f	u	55	孵	fu55	孵小鸡		
433	f	u	55	麩	fu55	麦～		
434	f	u	35	撫	fu25	～养，安～		
435	f	u	31	殕	fu31	食物长毛变质，臭～		
436	f	u	31	赴	fu31	奔～，～汤蹈火		
437	f	u	31	訃	fu31	～告		
438	f	u	21	符	fu21	～合，鬼画～	fu21	1
439	f	u	21	扶	fu21	～贫，～手[文]	fu21	1
440	f	u	21	扶	fu21	搀扶，～起来[白]	fu21	1
441	f	u	21	芙	fu21	～蓉		
442	f	u	31	父	fu31	～亲	fu31	1
443	f	u	35	釜	fu25	破～沉舟		
444	f	u	31	腐	fu31	～败		
445	f	u	31	腐	fu31	豆～		
446	f	u	31	輔	fu31	～导，～助		
447	f	u	31	附	fu31	～近，～带	fu31	1
448	m	ou	21	無	mou21	没有，～中生有[文]		
449	m	ou	13	無	mou23	没有，～事[白]		
450	m	ou	21	巫	mou21	姓；～婆		
451	m	ou	21	誣	mou21	～陷，～告		
452	m	ou	13	武	mou23	～器，～术	mou23	1
453	m	ou	13	舞	mou23	跳～		
454	m	ou	13	舞	mou23	拨弄，摆弄[白，动]		
455	m	ou	13	侮	mou23	～辱		
456	m	ou	13	鵡	mou23	鹦～		
457	m	ou	31	務	mou31	任～，～农		
458	m	ou	31	霧	mou31	大～		
459	l	ɐu	13	縷	lɐu23	千丝万～		
460	l	œy	13	屢	løy23	～次，～教不改		
461	tʃʰ	œy	55	趨	tʃʰøy55	～势		
462	tʃʰ	œy	35	取	tʃʰøy25	～钱		
463	tʃʰ	œy	35	娶	tʃʰøy25	嫁～		
464	tʃʰ	œy	13	趣	tʃʰøy23	兴～	tʃʰøy23	1
465	tʃ	œy	31	聚	tʃøy31	～会		
466	tʃ	œy	31	聚	tʃøy31	捡～（收拢）[白]		
467	ʃ	œy	55	須	ʃøy55	必～		
468	ʃ	ou	55	鬚	ʃou55	胡～		
469	ʃ	œy	55	需	ʃøy55	～要		
470	tʃ	ok	2	續	tʃok31	连～，继～		
471	tʃ	y	55	誅	tʃy55	天～地灭		
472	tʃ	y	55	蛛	tʃy55	蜘～		
473	tʃ	y	55	株	tʃy55	守～待兔		
474	tʃʰ	y	13	駐	tʃʰy23	～扎		
475	tʃ	y	35	註	tʃy25	～释		
476	tʃʰ	y	21	廚	tʃʰy21	～房		
477	tʃʰ	y	21	橱	tʃʰy21	碗～		
478	tʃʰ	y	13	柱	tʃʰy23	柱子	tʃʰy23	1
479	tʃ	y	31	住	tʃy31	～宿	tʃy31	1
480	tʃʰ	ei	55	雛	tʃʰei55	～形		
481	ʃ	ou	35	數	ʃou25	～落，～星星[动]		
482	ʃ	ou	13	數	ʃou23	～字，～学		
483	tʃ	y	55	朱	tʃy55	姓		
484	tʃ	y	55	珠	tʃy55	珍～		
485	tʃ	y	35	主	tʃy25	～人，地～		
486	tʃ	y	13	注	tʃy23	～意	tʃy23	1
487	tʃ	y	13	蛀	tʃy23	～虫		
488	tʃ	y	13	鑄	tʃy23	～铁，～钢		
489	ʃ	y	55	樞	ʃy55	中～，～纽		
490	ʃ	y	55	輸	ʃy55	～赢		
491	ʃ	ok	5	戍	ʃok5	～边		
492	ʃ	y	31	輸	ʃy31	运～		
493	ʃ	y	21	殊	ʃy21	特～		
494	ʃ	y	31	豎	ʃy31	横～		
495	ʃ	y	31	樹	ʃy31	～立，种～		
496	j	y	21	儒	jy21	～家思想		
497	j	y	13	乳	jy23	哺～，母～[文]		
498	j	y	13	乳	jy23	食～（吃奶），麦～精[训]		
499	kʰ	œy	55	拘	kʰøy55	～留		
500	kʰ	œy	55	俱	kʰøy55	～备，～乐部		
501	k	œy	35	矩	køy25	规～，～形		
502	k	œy	13	句	køy23	～号		
503	kʰ	œy	55	區	kʰøy55	地～，～别		
504	kʰ	œy	55	驅	kʰøy55	先～，～动		
505	k	œy	31	具	køy31	～体		
506	k	œy	31	懼	køy31	恐～		
507	j	y	21	愚	jy21	～蠢，～公移山		
508	j	y	21	虞	jy21	姓，～姬		
509	j	y	21	娛	jy21	～乐		
510	j	y	31	遇	jy31	遭～，相～，～到		
511	j	y	31	寓	jy31	～言；公～		
512	j	y	55	迂	jy55	～回，～腐		
513	j	y	55	于	jy55	姓；等～		
514	h	œy	55	吁	høy55	气喘～～，长～短叹		
515	j	y	13	雨	jy23	落～，谷～，～水	jy23	1
516	j	y	13	宇	jy23	～宙		
517	j	y	13	禹	jy23	大～治水		
518	j	y	13	羽	jy23	～毛球		
519	f	u	31	芋	fu31	芋头		
520	j	y	31	逾	jy31	超过，～期		
521	j	y	21	愉	jy21	～快		
522	j	y	31	愈	jy31	病～		
523	j	y	31	喻	jy31	比～		
524	j	y	31	裕	jy31	富～		
525		ɔi	21	獃	ɔi21	书～子，发～[文]		
526		ɔi	21	獃	ɔi21	发～[白]		
527	t	ai	13	戴	tai23	姓；～帽		
528	tʰ	ɔi	55	胎	tʰɔi55	双胞～，～盘		
529	tʰ	ɔi	21	台	tʰɔi21	天台	tʰɔi21	1
530	tʰ	ai	13	態	tʰai23	～度，心～		
531	tʰ	ai	13	貸	tʰai23	～款		
