	注释：-白读，=文读
ts	[2]齐-侪[3]嘴[4]截-绝捷睫[5]穧{多，“少的反义”}[7]接节=栉
tsʰ	[7]切=砌妾
s	[1]箠[3]洗徒玺[4]踅[5]细[7]雪泄薛
k	[1]街鸡[2]兮{的}[3]解-[4]狭{很挤}杰竭[5]疥[7]劫结=洁
kʰ	[1]溪[5]契[7]缺-{～嘴}
ɡ	[2]宜{便～}[7]孽
h	[1]奚{呼唤词}[3]蟹
∅	[1]挨埃阿{岭后音}[2]鞋[3]矮-倚-[4]解{会}[5]易{容易}
#eiŋ	
p	[1]边鞭[2]便{～宜}[3]扁蝙匾贬[4]辨辩辫[5]便变遮
pʰ	[1]偏编篇翩骈[5]骗片瓣
b	[2]棉绵[3]免娩冕勉猛缅腼[5]面麵
t	[1]颠癫掂甜[2]传{～达}田缠[3]典碘{转～去：回去}[4]佃垫懒[5]电传殿奠橂{户hu4～：门槛}甸
tʰ	[1]天添
l	[1]粘=[2]亷帘镰连莲涟鲢联怜-[3]脸輦撵撚懒=[5]恋殓练炼链
ts	[1]尖鲢煎笺[2]泉钱全[3]践[5]渐箭贱溅荐旋{头发～儿}
tsʰ	[1]千迁歼签□{虾～：虾皮}[2]前[3]浅癣-{病～}
s	[1]宣仙先=鲜{新～}䘆喧[2]涎{澜lum3～：口水}[3]选鲜癣=[5]线腺羡
k	[1]兼坚[3]捡检茧[4]件俭[5]剑见
kʰ	[1]谦[2]乾{～坤}钳虔[3]遣谴欠遣{介词}
ɡ	[1]研[2]严年言颜[3]染碾软眼{龙～}念
#ɯ	
k	[1]哥歌高镐篙羔糕戈膏[3]稿=犒果裹[5]过告=[7]各咯胳阁搁觉角鸽郭
kʰ	[1]科疴柯窠[3]可考-[5]课去-靠[7]确壳廓霍
ɡ	[2]鹅=俄哦蛾熬[4]岳乐{音～}狱{贡川音}鄂[5]傲饿卧
#m	
h	[1]横{～直}
∅	[1]央{中～}映庵[2]行{寡～}[3]影{人～}暗笐{竹～}
#i	
p	[1]卑碑[2]啤脾枇琵[3]批比匕毗彼[4]婢弼[5]币敝蔽弊毙辟备被=蓖篦陛裨痹庇哗闭泌[7]笔必秘鳖逼碧毕哗壁-璧臂
pʰ	[1]披坯胚砒[2]皮=疲[3]疕鄙痞[5]鼻屁癖[7]僻劈譬辟匹疋
b	[2]眉楣=迷糜=靡弥[3]米美[4]密=蜜觅[5]谜
t	[1]知蜘低[2]迟驰堤提持[3]底=抵里-[4]治蛰秩直=值弟={徒～}狄第稚鲤{～鱼}[5]地痔-智致置帝[7]的{～确}滴=敌
tʰ	[1]筛{筛子}梯[2]苔{青～}夷治{杀，～鸡}[3]体[5]替涕{鼻～}蒂滞[7]踢=剔惕
l	[2]泥=犁梨黎厘狸=离篱[3]礼李=里=理鲤=履[4]历力=荔立笠粒栗[5]利痢莉丽励吏
ts	[1]脐=[2]齐荠糍{柿～：柿饼}醉{酒醉}[3]疾{痛}[5]祭挤字-嫉自-际[7]积迹脊即绩
tsʰ	[1]妻凄[7]七漆慼膝
s	[1]撕-西丝犀樨司[2]夕谁{～倽}[3]死[4]习席=袭[5]四肆[7]息熄析晰惜锡
ʃ	[1]希稀牺熹嘻曦熙[3]喜禧[5]戏系[7]吸熻=蟋
k	[1]机饥=肌叽枝-稽基[2]奇骑崎其棋旗麒析祁崎歧[3]己几纪[4]及极[5]计技妓寄=忌继冀[7]急级汲桔激给{供～}吉击棘
kʰ	[1]欺奇{～数}[2]蜞[3]起岂启企[4]柿-[5]器弃气汽
ɡ	[1]你[2]宜={适～}疑仪[3]尔迩[4]入日[7]义蚁=议二腻{细～}贰谊□{～寡～寡：眨眼}睨
∅	[1]衣依伊医[2]而儿夷姨颐[3]倚椅耳=已以[4]亿译亦易{交～}逸[5]异意忆翼肆易{容易}乙曳一益挹
#ĩ	
p	[1]崩班斑颁[2]朋棚瓶[3]板版[5]办{～事}扮
pʰ	[1]烹攀襻[5]稗{～子}
m	[2]蛮闽[3]猛[5]慢-{～极}孟
t	[1]登瞪灯钉䟓{鞋～}[2]亭停婷填滕藤誊[3]点顶等[4]但[5]店旦诞邓凳
tʰ	[1]蛏[2]腾滕-{～茶}[3]坦{用于名字}
n	[1]□{乳房}[2]零铃能菱{～角}
ts	[1]曾{姓}增□{～嫂：妯娌}[2]层曾{～经}[3]剪-[5]赞赠甑
tsʰ	[2]塍{水～：水田}埩[3]筅[5]绽
s	[1]先{～去}星猩[3]醒=[5]信-擤腥
tʃ	[1]争=诤睁[3]盏
ʃ	[1]森参{人～}生={～命}牲甥[2]鳞-[3]陕{～西}产铲省-{～长}
k	[1]间奸肩根=跟=庚艰耕更{～改}粳[2]舷[3]拣柬简碱梗埂耿[5]更-{～生}
kʰ	[1]刊牵-轻-[3]肯啃[5]看
ŋ	[2]凝-[5]岸雁砚硬
h	[2]闲舷=行={～为}还{～债}衡[3]很罕[4]限恨[5]行{品～}幸杏苋汉-{好～}
∅	[1]恩[5]按晏{姓}案{香～}应-{～人}
#ia	
tʃ	[4]宅择泽□{骹～：脚跟}[7]摘责仄
tʃʰ	[2]豺=柴[7]侧测厕策
ʃ	[1]狮-{拍～}□{卷～：鳜鱼}[2]豺-狸-{～猫}[3]使-{会：～得}[4]□{名词，刺}李-{～仔}力-{勤～：勤劳}[5]事-[7]色瑟虱啬
k	[1]皆阶=偕该□{～郎担：货郎担}[3]改解=[5]盖届戒介界芥=疥=尬[7]革格结-{打～}洁夹颊
kʰ	[1]开=揩[3]楷[5]概慨[7]刻克
ɡ	[2]呆{傻}[4]额逆[5]艾碍
#iã	
tʃ	[1]珍针斟贞侦真征蒸[3]疹诊整拯枕[5]振震正=证症政
tʃʰ	[1]深称{～呼}[5]趁=称{～心}秤
ʃ	[1]身申伸升声=[2]神承乘辰晨臣成=城诚[3]审婶沈[4]肾[5]剩胜圣甚慎蜃盛{兴～}
k	[1]京经今金襟-荆[2]琼琴禽擒恒[3]锦紧景警竟境谨[4]妗肾{鸡～，鸡肫}[5]禁茎=敬竞镜
kʰ	[1]钦轻=倾{右～}[5]庆
∅	[1]音阴因姻英=莺婴樱缨鹦[2]赢=人-仁仍延筵壬淫盈[3]饮引隐影={～子}[5]印应{～该}孕刃仞纫韧任赁荫
#iau	
t	[2]绸倜筹踌[4]宙[5]昼=
tʰ	[1]抽[4]柱-
l	[1]溜[2]留=榴馏刘浏流=□{槟～树：棕树}琉旈硫[3]柳
ts	[1]揪[2]囚[3]酒[5]就={成～}
tsʰ	[1]秋鳅
s	[1]修羞[5]秀绣锈袖
tʃ	[1]周州洲[3]肘帚[5]咒
tʃʰ	[2]仇酬[3]手丑首-{寡～诗，一首诗}[4]讎[5]臭
ʃ	[1]收休韭-{～菜}[3]首={～领}守朽[4]受授[5]寿售兽
k	[2]求球[3]九韭=纠鸠[4]舅[5]救旧究
kʰ	[1]丘=邱{姓}坵[4]臼
ɡ	[1]妞[2]牛={姓}柔揉[3]扭纽忸
∅	[1]优忧幽悠[2]尤鱿邮由油游犹蝣酋[3]有友[5]幼黝又右祐佑宥柚釉莠诱酉
#iam	
t	[1]张[2]场肠长=[3]长{生～}[4]丈{～过来的：拖油瓶儿}[5]涨帐账胀仗{打～}长{剩}
tʰ	[4]杖仗{～势欺人}[5]畅
l	[2]凉量{动词}良粮梁粱[3]两辆[5]量{数～}亮谅
ts	[1]将浆[2]墙[3]蒋浆奖[4]痒-[5]将{大～}酱匠
tsʰ	[1]枪[3]抢
s	[1]相{互～}湘厢箱襄镶[2]详祥翔疡{牙齿～：牙垢}[3]想[4]象像橡[5]相{生～}
tʃ	[1]章樟彰终钟盅撞[3]掌肿种{～类}[5]众种{～树}障颂{～衣，穿衣}
tʃʰ	[1]昌冲充[3]厂[5]唱倡铳{放～}
ʃ	[1]香伤乡[2]熊={～猫}常裳[3]赏响饷爽[4]上{动词}[5]上{在～}向尚
k	[1]姜疆缰[2]强[3]强{勉～}
kʰ	[1]筐眶腔
ɡ	[2]娘[3]仰[5]让
∅	[1]央秧殃鹰雍痈[2]羊洋阳扬杨疡=绒融容蓉熔戎庸[3]养痒拥勇涌[4]□{要}[5]样用恙
#iɔ	
p	[7]壁-
t	[4]籴[7]硩{压住}
tʰ	[7]拆-
l	[4]历-{日～}[5]□{快}
ts	[2]斜[4]籍[5]谢-{姓}[7]脊-{背～}迹-{拉屎～}
tsʰ	[7]□{～豨：杀猪}
s	[1]些[2]邪[3]写[4]翼-[5]泻卸谢={感～}[7]削
tʃ	[1]遮□{叔母}[3]者[5]蔗[7]只{这～地：这里}
tʃʰ	[1]车[4]勺{～子}[7]赤-
ʃ	[1]奢赊[3]啥舍[4]社□{～囝仔倽：背小孩儿}[5]射舍赦麝[7]吓{～一跳}
k	[4]剧屐[7]□{～手：沾手}戟
ɡ	[7]烁{～电}
∅	[2]爷[3]野也[4]疫役[5]夜
#iõ	
p	[2]平-坪-[3]饼[4]并-{合～}
pʰ	[1]𩩍
m	[2]名-明-{松～}[5]命-
t	[1]䟓{骹～跟：脚后跟}[2]□{三～：三片}[3]鼎-[4]掷{扔}[5]郑
tʰ	[1]听-厅[2]程-{姓}呈[5]定
n	[2]灵拎[3]领岭
ts	[1]精[3]䭕{味～：味淡}[4]靓
tsʰ	[3]请-倩且
s	[5]姓-
tʃ	[1]正-{～月}[5]正-
tʃʰ	[3]撑
ʃ	[1]兄声[2]成-{几～}墭
k	[1]惊-[2]行-{～路}[3]颈[5]镜
ŋ	[2]迎{～菩萨}
∅	[1]英-[2]营=赢-[5]䁐{看，～书；～病：治疗}
#iø	
tʃ	[1]邹[2]愁[5]皱绉
tʃʰ	[2]巢
ʃ	[1]搜飕留-[5]瘦[7]涩
#ie	
tʃ	[1]斋这[4]蚀[5]债寨[7]哲折
tʃʰ	[1]钗差{出～}[4]蠘{梭子蟹}蠞{梭子蟹}[7]湿-澈撤
ʃ	[1]捞-{～起来}[2]匙[4]涉协胁侠[5]势-世-{寡～：一世}[7]设识-歇
ɡ	[4]业{毕～}
∅	[3]椅-[4]叶业{～务}食{～饭}页
#ieiŋ	
tʃ	[1]沾毡[5]占战
ʃ	[2]嫌蝉贤[3]险闪显[4]善鳝[5]扇搧现县
∅	[1]烟阉炎英燃[2]盐檐然闫[3]掩淹演[5]燕咽宴厌
#iɯ	
p	[1]标彪[3]表婊
pʰ	[1]飘漂[2]薸瓢[5]票
b	[1]猫=[2]苗描锚[3]秒淼渺[5]妙庙
t	[1]刁朝{～夕}稠雕凋{干}碉貂[2]朝{～代}潮调{～和}[4]召赵兆着{对}墿{路}[5]钓吊=调{音～}掉
tʰ	[1]挑超[2]窕[5]跳粜{～米}
l	[2]聊寮=辽疗寥燎䒿[3]了[4]略掠[5]料=
ts	[1]焦蕉礁樵浇椒[2]□{豨～：菜猪}[3]剿[4]嚼[7]借
tsʰ	[1]锹悄[4]席-[5]笑-厝俏[7]雀鹊惜{～极}
s	[1]肖霄宵硝消销逍萧箫[2]泅[3]小[5]笑=[7]削=昔
tʃ	[1]招昭钊[4]石-{斗～}[5]诏照[7]着{看～}芍{～药}勺
tʃʰ	[1]烧[7]尺
ʃ	[1]靴嚣枵[2]肴淆韶[3]少{多～}晓侥[4]石-{～头}[5]邵绍少{～年}□{～花：浇少量水}
k	[1]娇骄浇[2]乔侨桥荞茄[3]缴矫铰侥[4]挢{～起来}[5]叫轿[7]脚镢{～头}
kʰ	[1]敲=跷[2]瘸{～骹}[4]藠{菜名}[5]窍翘[7]怯{畏～}抾{拾}却
ɡ	[2]饶尧[3]鸟[4]弱药箬虐疟{～疾}[5]尿
∅	[1]妖腰要{～求}邀幺吆[2]摇窑遥谣瑶姚[3]绕扰杳窈[4]药钥[5]要{想～}鹞耀[7]约
#u	
p	[1]夫-埔[2]菩匏[3]补捕脯{胸～}[4]部缚薄妇-[5]布步孵怖[7]腹-剥{～皮}斧-卜
pʰ	[1]铺{～设}麸-[2]莆蒲葡菩[3]普脯{肉～}哺浦圃[4]曝[5]铺{店～}
b	[1]摸[2]模摹[3]母姆拇牡[4]木目牧[5]墓暮慕
k	[1]姑沽辜孤箍[2]糊-[3]古鼓估{～计}牯股[5]故固锢雇顾[7]谷毂
kʰ	[1]丘坵{寡～：一坵}枯[3]苦哭[5]库裤[7]壳酷
ɡ	[2]吴牛-{水～}吾梧{～桐}蜈[3]五伍午忤[5]悟误
h	[1]呼夫=麸=孵灰-[2]胡湖糊=葫蝴瑚猢弧狐符扶壶[3]虎琥浒辅府腑俯抚[4]沪户戽雨-服父伏妇=负[5]护互傅付附驸腐赴副富赋讣[7]福幅蝠复腹=斧=
∅	[1]乌坞菇圬污[2]无盂[3]武鹉舞[5]务雾芋-{～头}[7]屋沃=
#uã	
p	[1]奔轰[2]盆㖹{吹}[3]本[5]笨粪-
pʰ	[5]喷
m	[2]门-[5]闷
t	[1]敦{～厚}墩[2]豚屯囤[3]盾[5]顿吨钝炖遁
tʰ	[1]吞椿
n	[2]仑崙轮纶囵伦沦抡银龈[5]论嫩
ts	[1]尊遵[2]存[3]准[5]俊圳
tsʰ	[1]春[3]忖蠢[5]寸
s	[1]孙[2]寻旬循巡蝇=唇纯醇[3]损笋{贡川音}[5]逊顺瞬舜
k	[1]根-跟{后～}君斤筋巾均钧[2]群裙拳勤[3]滚[4]近仅[5]棍
kʰ	[1]昆鲲坤[2]芹[3]菌捆恳垦[5]困
h	[1]昏=婚分=熏=薰=轰{～炸，贡川音}晕勋[2]浑魂坟[3]粉忿愤[4]混[5]训奋份粪=
∅	[1]温瘟殷[2]云荣营-{经～}莹文纹蚊[3]允稳吻永[5]闰润问{～题}运韵
#uɔ	
p	[2]𪨳{桦～头：地名}[4]簸[5]拨钵
pʰ	[5]破-[7]泼
b	[2]麻-磨-{～刀}[4]末袜麦[7]抹{～药}沫
t	[4]夺舵[5]带
tʰ	[1]拖[4]豸
l	[4]辣捋
ts	[1]抓[4]□{蟑螂}
tsʰ	[7]撮
s	[1]沙-{～滩}[2]箩-[3]耍碎穗-{禾～}癞{病～：麻风}[7]杀-屑
k	[1]瓜[2]盖-{杯～}[3]寡{数量，一}[5]芥卦挂[7]刮括葛割-辖
kʰ	[1]夸垮跨[5]□{靠}[7]渴扩阔
ɡ	[1]我-[7]外
h	[1]花哗[2]华{中～}铧桦桦怀淮[4]乏滑=猾活伐罚核[5]化画{名词}话=坏[7]发=法瞎
∅	[1]挖=娃[3]瓦□{那}[4]划画{动词}[5]话{～事：说话}
#ue	
p	[1]飞-坡-{车～：地名}[2]赔辈-{上～：长辈}□{～地te2：左撇子}[4]倍佩背{～货}[7]发-{～芽}
pʰ	[1]坯-{土～}[2]皮-疲[4]被-垡{泡沫}
b	[2]楣梅霉糜-媒玫[3]尾[5]妹
t	[2]台-{烛～}砣坠[3]短[5]代{寡～：一代}袋-对{寡～：一对}
tʰ	[1]胎[5]退-褪蜕[7]脱
l	[2]雷螺=骡
ts	[2]蛴[4]坐
tsʰ	[7]切{～菜}
s	[1]腮-鳃-{鱼～}衰[2]螺-脶-
k	[1]乖阶{楼～}[3]馃拐[5]髻怪
kʰ	[1]开-[5]快
h	[1]灰[2]□{瓷}槐茴-{大～：八角}[3]火伙[4]核{个，寡～：一个；贡川音}亥
∅	[1]煨歪[2]禾
#ueiŋ	
b	[2]门=[5]问{～我}
#ui	
p	[1]悲杯[2]肥-□{量词，寡～尿：一泡尿}[5]贝背{～部}吠痱佩辈{长～}[7]不
pʰ	[2]培陪[5]配屁-
b	[3]每[4]没{沉～}[5]昧
t	[1]追堆[2]戴-{～帽}[4]突[5]对=队兑碓[7]瓻{酒～：酒壶}
tʰ	[1]推[2]槌锤[3]腿[5]退
l	[2]螺=[3]累{积～}蕊擂儡□{鱼～：鱼篓}[4]律[5]内累类泪
ts	[4]罪[5]最坠醉=[7]卒
tsʰ	[1]崔=催摧[5]脆碎=翠□{～极：很阔气}
s	[1]𤸬{瘦，人～}虽[2]隋随[5]岁睡[7]刷率蟀
tʃ	[5]赘
k	[3]鬼[4]滑-掘-[7]国骨
kʰ	[1]魁盔恢奎[3]傀[5]块愧[7]窟
ɡ	[2]危桅[5]魏[7]屹
h	[2]回徊茴={～香}[3]悔贿[4]佛或获[5]会=绘汇[7]忽晦
∅	[4]勿物[5]□{～得极：很喜欢得到}
#um	
p	[1]般搬分-[2]盘[3]坂板[5]半饭
pʰ	[1]潘[4]盘{胎盘}叛[5]伴判拌胖
t	[1]丹单端[2]弹{～琴}檀[3]短=断{手～了}弹段锻缎断{判～}
tʰ	[1]滩摊[2]团[5]炭叹
l	[2]难{艰～}兰拦栏[3]暖卵=澜{～涎seiŋ2：口水}[5]乱难{患～}烂
ts	[2]残荐{草垫子}[5]钻
tsʰ	[1]村餐[5]灿
s	[1]山删酸闩拴栓[3]伞散{药～}[4]卵-[5]散{分～}算蒜僆{鸡～：未生蛋母鸡}
