#参考资料 《宣州片吴语音韵研究》
#调值 [1]阴平11 [2]阳平13 [3]上声214 [5]去声35 [7]阴入5 [8]阳入13

#ɿ
ts [1]资滋辎 [3]紫姊指子滓止 [5]制至置志
Ø [1]冤 [2]圆缘园 [3]阮 [5]院怨远

#ã
p [1]帮邦 [3]榜绑 [5]谤
pʰ [1]滂 [5]胖
m [2]忙芒 [3]莽
v [5]望
hv [2]旁房 [5]脏
t [1]当 [3]党 [5]当
tʰ [1]汤 [3]躺 [5]趟
l [2]狼 [3]朗 [5]浪
ɾ [2]堂 [3]荡 [5]宕
ts [1]脏张 [3]长 [5]葬帐
tsʰ [1]苍 [3]闯 [5]畅
s [1]桑 [3]嗓 [5]丧
hz [2]床 [3]上 [5]状尚
k [1]缸 [3]讲 [5]杠降虹
kʰ [1]康 [3]慷 [5]抗
x [1]夯
h [2]杭 [3]项 [5]巷

#iã
l [2]粮 [3]两{斤两} [5]亮
tɕ [1]将章姜江 [3]奖掌 [5]酱障
tɕʰ [1]枪昌羌 [3]抢厂 [5]唱
ȵ [2]娘 [5]酿让仰
ɕ [1]相伤乡 [3]想响 [5]相向
hʑ [2]墙详长常强降 [3]象 [5]匠丈
Ø [1]央 [2]羊 [3]养 [5]样

#uã
ts [1]庄桩 [5]壮
tsʰ [1]疮窗 [5]创
s [1]霜双 [3]爽 [5]双
k [1]光 [3]广
kʰ [1]筐 [2]狂 [5]旷况矿
x [1]慌方芳 [3]谎仿纺 [5]放访
h [3]晃
Ø [1]汪 [2]黄王 [3]网枉往 [5]旺

#ən
p [1]奔 [3]本 [5]奔
pʰ [1]喷 [2]彭 [5]笨
m [2]门蚊明 [5]闷
v [1]温 [2]魂文 [3]稳 [5]问
hv [2]盆坟横 [5]份横
t [1]墩蹲登 [5]顿邓
tʰ [1]吞 [5]盾
l [2]论伦能楞 [5]嫩论
ts [1]针珍真尊遵增征争贞侦 [3]枕疹准整 [5]进镇震赠郑政
tsʰ [1]村皴椿春撑 [5]趁衬寸秤
s [1]森深身孙生{书} [3]沈损笋省 [5]渗舜
hz [2]沉陈神臣存唇纯曾程 [5]阵顺
k [1]今跟庚耕 [3]埂耿 [5]更
kʰ [1]坑 [3]垦肯
ŋ [1]恩樱 [5]硬
h [2]痕恒 [3]很 [5]恨

#in
p [1]彬冰兵 [3]禀丙饼 [5]鬓柄并
pʰ [1]拼拼 [3]品 [5]聘
m [2]民鸣名铭 [3]敏 [5]命
hv [2]贫凭平瓶 [5]病
t [1]灯丁 [3]顶 [5]凳澄钉
tʰ [1]听
l [2]林邻零 [3]檩领 [5]赁吝冷令
ɾ [2]停 [5]定
s [1]声
tɕ [1]金津巾斤蒸京精正经 [3]尽紧谨景井颈 [5]浸禁劲镜竞
tɕʰ [1]侵钦亲称卿清轻青 [3]寝锦请 [5]亲尽症庆
ȵ [2]人银宁 [3]忍 [5]认
ɕ [1]心新欣升兴生{口}甥星 [3]兴醒 [5]信胜性
hʑ [2]寻琴秦勤乘承行情成形 [3]近静 [5]剩行净
Ø [1]音因殷鹰鹦英婴 [2]任淫寅蝇赢营萤 [3]饮引隐影永 [5]任荫印应映

#un
k [3]滚 [5]棍
kʰ [1]昆坤 [3]捆 [5]困
x [1]婚分芬荤 [3]粉 [5]粪
h [3]混

#yn
tɕ [1]均军
ɕ [1]熏 [5]训
hʑ [2]群裙
Ø [2]匀云 [5]润熨运

#oŋ
pʰ [5]喷
m [2]蒙 [3]猛蠓 [5]孟梦
hv [2]朋棚篷冯逢 [5]凤缝
t [1]东冬 [3]懂 [5]栋
tʰ [1]通 [3]桶 [5]痛统
l [2]聋农浓龙 [5]弄
ɾ [2]同 [3]动 [5]洞
ts [1]鬃宗忠终钟 [3]总肿 [5]粽综中众纵种
tsʰ [1]葱充冲 [3]宠 [5]铳
s [1]松嵩 [5]送宋
hz [2]虫崇松重 [5]重
k [1]公弓恭 [3]巩 [5]贡供
kʰ [1]空 [3]孔恐 [5]控
x [1]烘风丰封蜂 [3]哄 [5]讽
h [2]洪 [5]哄共
Ø [1]翁

#yŋ
ɕ [1]兄凶
hʑ [2]穷雄
Ø [1]绒雍 [2]荣容 [3]勇 [5]用入声表

#iʔ
p [7]笔逼碧璧壁
pʰ [7]匹僻
m [8]蜜墨
t [7]滴
tʰ [7]踢
l [8]栗律力历
ɾ [8]笛
tɕ [7]集急吉鲫织极积绩击
tɕʰ [7]七戚吃
ȵ [8]日
ɕ [7]吸膝失媳式惜释锡
hʑ [8]习直食席
k [7]橘
Ø [7]揖一忆益 [8]逸译

#uʔ
tʰ [7]秃
l [8]绿
s [7]速
hz [8]术

#yʔ
tɕ [7]剧
Ø [8]玉

#aʔ
p [7]八
m [8]抹
v [7]挖 [8]袜划
hv [8]拔罚
t [7]答达
tʰ [7]踏塔獭
l [8]纳拉蜡捺辣
ts [7]炸扎铡
tsʰ [7]插擦察
s [7]萨杀刷
hz [8]杂
k [7]夹甲轧
kʰ [7]掐
ŋ [7]鸭
x [7]瞎

#uaʔ
k [7]括刮
x [7]法发
h [8]滑

#oʔ
p [7]拨博剥
pʰ [7]泼朴卜扑
m [8]末摸木目
t [7]督
tʰ [7]托
l [7]六 [8]落鹿
ɾ [8]独毒
ts [7]作桌捉竹粥足烛
tsʰ [7]错畜促
s [7]索宿缩叔粟束
hz [8]镯族熟俗赎
k [7]角
kʰ [7]确壳
ŋ [7]恶

#ioʔ
l [8]略
tɕ [7]脚菊
tɕʰ [7]雀鹊戳曲曲
ȵ [8]弱肉狱
ɕ [7]削
hʑ [8]学
Ø [7]约 [8]药岳育欲

#uoʔ
k [7]各胳郭
kʰ [7]扩
x [7]豁霍
h [8]鹤获

#eʔ
p [7]不北
v [7]握屋 [8]物
hv [8]佛服
t [7]得
l [8]粒
s [7]湿
hz [8]十侄实贼

#uiʔ
k [7]骨国谷
kʰ [7]窟哭
x [7]福覆

#ɛʔ
p [7]泊百
pʰ [7]拍
m [8]默
v [8]活
hv [8]或
tʰ [7]脱
ɾ [8]夺突特
ts [7]折蛰哲浙质卒则责
tsʰ [7]彻出侧测册
s [7]虱塞色
k [7]葛格革
kʰ [7]刻客
ŋ [7]轭 [8]额
x [7]喝黑吓
h [8]合核{审核}

#iɛʔ
p [7]鳖憋
pʰ [7]撇
m [8]灭篾麦
hv [8]别白
t [7]跌
tʰ [7]帖铁
l [7]烈 [8]猎
tɕ [7]接劫节结摘只
tɕʰ [7]切尺
ȵ [8]聂业热孽捏月
ɕ [7]薛雪血
hʑ [8]舌杰绝穴石
Ø [8]叶

#uɛʔ
kʰ [7]阔

#yɛʔ
tɕ [7]决
tɕʰ [7]缺
Ø [7]越

#n̩
Ø [3]你
