字	IPA	调值	注釋
春	tsʰuən	55	
椿	tsʰuən	55	
唇	suən	31	
純	suən	31	
戳	tsʰo	31	
輟	tsue	31	
詞	tsʰɿ	31	
雌	tsʰɿ	55	
辭	tsʰɿ	31	
此	tsʰɿ	42	
次	tsʰɿ	35	
伺	sɿ	35	
賜	tsʰɿ	35	
葱	tsʰoŋ	55	
叢	tsʰoŋ	31	
粗	tsʰu	55	
促	tɕʰiu	31	
醋	tsʰu	35	
脆	tsʰuei	35	
悴	tsʰuei	35	
粹	tsʰuei	35	
翠	tsʰuei	35	
存	tsʰən	31	
搭	ta	31	
達	ta	31	
答	ta	31	
打	ta	42	
大	ta	35	
代	tai	35	
待	tai	35	
帶	tai	35	
單	tan	55	
膽	tan	42	
旦	tan	35	
當	taŋ	35	
當	taŋ	55	
黨	taŋ	42	
刀	tau	55	
到	tau	35	
倒	tau	42	
盗	tau	35	
道	tau	35	
稻	tau	35	
得	te	31	
德	te	31	
地	ti	35	
的	ti	31	
燈	tən	55	
等	tən	42	
鄧	tən	35	
低	ti	55	
堤	tʰi	31	
笛	tie	31	
底	ti	42	
弟	ti	35	
帝	ti	35	
第	ti	35	
典	tien	42	
點	tien	42	
店	tien	35	
弔	tiau	35	
釣	tiau	35	
調	tʰiau	31	
調	tiau	35	
跌	tie	31	
丁	tin	55	
頂	tin	42	
定	tin	35	
丢	tiəu	55	
冬	toŋ	55	
東	toŋ	55	
洞	toŋ	35	
動	toŋ	35	
都	tu	55	
兜	təu	55	
斗	təu	42	
豆	təu	35	
鬥	təu	35	
讀	tu	31	
賭	tu	42	
篤	tu	31	
杜	tu	35	
肚	tu	35	
肚	tu	42	
度	tu	35	
端	tuan	55	
短	tuan	42	
斷	tuan	35	
堆	tuei	55	
兑	tuei	35	
對	tuei	35	
頓	tən	35	
多	to	55	
奪	to	31	
朵	to	42	
舵	to	35	
鵝	o	31	
額	ŋe	31	
厄	ŋe	31	
惡	ŋo	31	
餓	o	35	
恩	ŋən	55	
而	l̩	31	
兒	l̩	31	
耳	l̩	42	
爾	l̩	42	
二	l̩	35	
貳	l̩	35	
廢	fei	35	
伐	fa	31	
法	fa	31	
髮	fa	31	
翻	fan	55	
凡	fan	31	
反	fan	42	
犯	fan	35	
范	fan	35	
販	fan	35	
飯	fan	35	
方	faŋ	55	
芳	faŋ	55	
防	faŋ	31	
房	faŋ	31	
放	faŋ	35	
非	fei	55	
飛	fei	55	
肥	fei	31	
肺	fei	35	
費	fei	35	
分	fən	55	
粉	fən	42	
奮	fən	35	
封	foŋ	55	
風	foŋ	55	
馮	foŋ	31	
奉	foŋ	35	
否	fəu	42	
扶	fu	31	
佛	fu	31	
拂	fu	31	
服	fu	31	
浮	fəu	31	
符	fu	31	
福	fu	31	
府	fu	42	
腐	fu	42	
父	fu	35	
附	fu	35	
負	fu	35	
婦	fu	35	
縛	po	31	
該	kai	55	
改	kai	42	
蓋	kai	35	
敢	kan	42	
感	kan	42	
干	kan	55	
剛	kaŋ	55	
綱	kaŋ	55	
高	kau	55	
稿	kau	42	
告	kau	35	
割	ko	31	
歌	ko	55	
鴿	ko	31	
革	ke	31	
格	ke	31	
各	ko	31	
個	ko	35	
根	kən	55	
跟	kən	55	
庚	kən	55	
耕	kən	55	
更	kən	35	
更	kən	55	
工	koŋ	55	
弓	koŋ	55	
公	koŋ	55	
供	koŋ	35	
供	koŋ	55	
宫	koŋ	55	
恭	koŋ	55	
共	koŋ	35	
溝	kəu	55	
狗	kəu	42	
够	kəu	35	
孤	ku	55	
古	ku	42	
骨	ku	31	
故	ku	35	
瓜	kua	55	
刮	kua	31	
掛	kua	35	
乖	kuai	55	
怪	kuai	35	
官	kuan	55	
關	kuan	55	
鰥	kuan	55	
觀	kuan	55	
管	kuan	42	
貫	kuan	35	
慣	kuan	35	
光	kuaŋ	55	
龜	kuei	55	
歸	kuei	55	
桂	kuei	35	
貴	kuei	35	
跪	kuei	35	
櫃	kuei	35	
滚	kuən	42	
棍	kuən	35	
郭	ko	31	
鍋	ko	55	
國	kue	31	
果	ko	42	
過	ko	35	
孩	ɕiai	31	
還	xuan	31	
還	xai	31	
海	xai	42	
亥	xai	35	
害	xai	35	
酣	xan	55	
含	xan	31	
寒	xan	31	
汗	xan	35	
旱	xan	35	
漢	xan	35	
毫	xau	31	
好	xau	35	
好	xau	42	
喝	xo	55	
合	xo	31	
何	xo	31	
和	xo	31	
河	xo	31	
盍	xo	31	
核	xe	31	
赫	xe	31	
鶴	xo	31	
黑	xe	31	
很	xən	42	
恨	xən	35	
亨	xən	55	
恒	xən	31	
横	xuən	31	
轟	xoŋ	55	
弘	xoŋ	31	
宏	xoŋ	31	
紅	xoŋ	31	
侯	xəu	31	
厚	xəu	35	
後	xəu	35	
候	xəu	35	
乎	fu	31	
呼	fu	55	
忽	fu	31	
胡	fu	31	
虎	fu	42	
許	ɕyi	42	
户	fu	35	
花	xua	55	
滑	xua	31	
化	xua	35	
畫	xua	35	
話	xua	35	
懷	xuai	31	
壞	xuai	35	
歡	xuan	55	
環	xuan	31	
緩	xuan	42	
幻	xuan	35	
换	xuan	35	
唤	xuan	35	
荒	xuaŋ	55	
黄	xuaŋ	31	
謊	xuaŋ	42	
灰	xuei	55	
徽	xuei	55	
回	xuei	31	
毁	xuei	42	
彗	xuei	35	
惠	xuei	35	
會	kʰuai	35	
會	xuei	35	
彙	nuei	35	
慧	xuei	35	
昏	xuən	55	
魂	xuən	31	
混	xuən	35	
活	xo	31	
火	xo	42	
禍	xo	35	
霍	xo	31	
獲	xo	31	
緝	tɕi	31	
激	tɕi	31	
鷄	tɕi	55	
及	tɕi	31	
吉	tɕi	31	
即	tɕi	31	
急	tɕi	31	
極	tɕi	31	
集	tɕi	31	
己	tɕi	42	
幾	tɕi	42	
技	tɕi	35	
忌	tɕi	35	
妓	tɕi	35	
季	tɕi	35	
計	tɕi	35	
祭	tɕi	35	
寄	tɕi	35	
佳	tɕia	55	
家	tɕia	55	
傢	tɕia	55	
夾	tɕia	31	
甲	tɕia	31	
假	tɕia	42	
賈	tɕia	42	
架	tɕia	35	
駕	tɕia	35	
姦	tɕien	55	
間	tɕien	55	
監	tɕien	55	
减	tɕien	42	
剪	tɕien	42	
檢	tɕien	42	
繭	tɕien	42	
鹹	xan	31	
件	tɕien	35	
見	tɕien	35	
建	tɕien	35	
健	tɕien	35	
漸	tɕien	35	
江	tɕiaŋ	55	
姜	tɕiaŋ	55	
將	tɕiaŋ	55	
講	tɕiaŋ	42	
驕	tɕiau	55	
角	tɕio	31	
脚	tɕio	31	
絞	tɕiau	42	
攪	kau	42	
叫	tɕiau	35	
教	tɕiau	35	
教	tɕiau	55	
轎	tɕiau	35	
皆	kai	55	
接	tɕie	31	
嗟	tɕia	55	
街	kai	55	
傑	tɕie	31	
結	tɕie	31	
節	tɕie	31	
竭	tɕie	31	
姐	tɕie	42	
解	tɕiai	42	
介	tɕiai	35	
戒	tɕiai	35	
界	tɕiai	35	
借	tɕie	35	
巾	tɕin	55	
斤	tɕin	55	
今	tɕin	55	
金	tɕin	55	
津	tɕin	55	
緊	tɕin	42	
近	tɕin	35	
晋	tɕin	35	
進	tɕin	35	
京	tɕin	55	
荆	tɕin	55	
經	tɕin	55	
頸	tɕin	42	
静	tɕin	35	
糾	tɕiəu	55	
九	tɕiəu	42	
久	tɕiəu	42	
酒	tɕiəu	42	
救	tɕiəu	35	
就	tɕiəu	35	
舅	tɕiəu	35	
舊	tɕiəu	35	
拘	tɕyi	55	
居	tɕyi	55	
鞠	tɕiu	31	
局	tɕiu	31	
菊	tɕiu	31	
橘	tɕiu	31	
舉	tɕyi	42	
巨	tɕyi	35	
句	tɕyi	35	
聚	tɕyi	35	
捐	tɕyen	55	
捲	tɕyen	42	
倦	tɕyen	35	
决	tɕye	31	
掘	tɕʰiu	31	
絶	tɕye	31	
嚼	tɕiau	35	
覺	tɕio	31	
均	tɕyin	55	
君	tɕyin	55	
開	kʰai	55	
慨	kʰai	35	
楷	kʰai	42	
愾	kʰai	35	
看	kʰan	35	
看	kʰan	55	
亢	kʰaŋ	35	
抗	kʰaŋ	35	
考	kʰau	42	
靠	kʰau	35	
科	kʰo	55	
可	kʰo	42	
刻	kʰe	31	
客	kʰe	31	
課	kʰo	35	
肯	kʰən	42	
懇	kʰən	42	
坑	kʰən	55	
空	kʰoŋ	35	
空	kʰoŋ	55	
孔	kʰoŋ	42	
恐	kʰoŋ	42	
口	kʰəu	42	
枯	kʰu	55	
哭	kʰu	31	
苦	kʰu	42	
酷	kʰu	31	
誇	kʰua	55	
快	kʰuai	35	
塊	kʰuai	42	
寬	kʰuan	55	
款	kʰuan	42	
匡	kʰuaŋ	55	
匡	tɕʰiaŋ	55	
筐	tɕʰiaŋ	55	
狂	kʰuaŋ	31	
况	kʰuaŋ	35	
曠	kʰuaŋ	35	
虧	kʰuei	55	
葵	kʰuei	31	
坤	kʰuən	55	
昆	kʰuən	55	
困	kʰuən	35	
闊	kʰue	31	
拉	na	55	
辣	na	31	
臘	na	31	
來	nai	31	
賴	nai	35	
藍	nan	31	
郎	naŋ	31	
朗	naŋ	42	
牢	nau	31	
老	nau	42	
了	niau	42	
勒	ne	31	
雷	nuei	31	
累	nuei	35	
累	nuei	42	
類	nuei	35	
冷	nən	42	
離	ni	31	
李	ni	42	
里	ni	42	
理	ni	42	
裏	ni	42	
力	ni	31	
利	ni	35	
例	ni	35	
栗	ni	31	
歷	ni	31	
連	nien	31	
廉	nien	31	
聯	nien	31	
良	niaŋ	31	
兩	niaŋ	42	
亮	niaŋ	42	
聊	niau	31	
燎	niau	31	
料	niau	35	
列	nie	31	
劣	nie	31	
林	nin	31	
鄰	nin	31	
陵	nin	31	
零	nin	31	
靈	nin	31	
令	nin	35	
留	niəu	31	
流	niəu	31	
六	nu	31	
隆	noŋ	31	
龍	noŋ	31	
籠	noŋ	31	
攏	noŋ	42	
樓	nəu	31	
漏	nəu	35	
陸	nu	31	
鹿	nu	31	
路	nu	35	
亂	nuan	35	
倫	nən	31	
論	nən	35	
羅	no	31	
騾	no	31	
洛	no	31	
落	no	31	
驢	nu	31	
吕	nyi	42	
屢	nəu	42	
履	nyi	42	
縷	nəu	42	
律	nu	31	
緑	nu	31	
略	nio	31	
媽	ma	55	
麻	ma	31	
馬	ma	42	
埋	mai	31	
買	mai	42	
麥	me	31	
慢	man	35	
忙	maŋ	31	
貓	mau	55	
貓	miau	31	
毛	mau	31	
茅	mau	31	
茂	moŋ	35	
帽	mau	35	
貌	mau	35	
沒	mu	31	
沒	mei	55	不
梅	mei	31	
美	mei	42	
妹	mei	35	
門	mən	31	
悶	mən	35	
們	mən	31	
萌	moŋ	31	
蒙	moŋ	31	
盟	min	31	
猛	moŋ	42	
孟	moŋ	35	
夢	moŋ	35	
米	mi	42	
泌	mi	31	
密	mi	31	
棉	mien	31	
免	mien	42	
面	mien	35	
苗	miau	31	
繆	miəu	35	
滅	mie	31	
民	min	31	
敏	min	42	
名	min	31	
明	min	31	
命	min	35	
末	mo	31	
莫	mo	31	
謀	moŋ	31	
某	moŋ	42	
母	mu	42	
畝	moŋ	42	
木	mu	31	
目	mu	31	
拿	na	31	
納	na	31	
乃	nai	42	
奶	nai	42	
男	nan	31	
南	nan	31	
難	nan	31	
囊	naŋ	31	
腦	nau	42	
鬧	nau	35	
内	nuei	35	
嫩	nən	35	
能	nən	31	
尼	ni	31	
泥	ni	31	
逆	ni	31	
拈	nien	55	
年	nien	31	
念	nien	35	
娘	niaŋ	31	
鳥	niau	42	
捏	nie	31	
聶	nie	31	
孽	nie	31	
寧	nin	31	
牛	niəu	31	
紐	niəu	31	
農	noŋ	31	
奴	nu	31	
努	nu	42	
怒	nu	35	
暖	nuan	42	
諾	no	35	
女	ȵyi	42	
歐	ŋəu	55	
偶	ŋəu	42	
藕	ŋəu	42	
爬	pʰa	31	
怕	pʰa	35	
拍	pʰe	31	
排	pʰai	31	
牌	pʰai	31	
派	pʰai	35	
盤	pʰan	31	
判	pʰan	35	
盼	pʰan	35	
叛	pʰan	35	
旁	pʰaŋ	31	
袍	pʰau	31	
跑	pʰau	42	
炮	pʰau	35	
砲	pʰau	35	
礮	pʰau	35	
佩	pʰei	35	
配	pʰei	35	
朋	pʰoŋ	31	
彭	pʰən	31	
棚	pʰoŋ	31	
蓬	pʰoŋ	31	
丕	pʰei	42	
披	pʰei	55	
皮	pʰi	31	
匹	pʰi	31	
僻	pʰi	31	
闢	pʰi	31	
偏	pʰien	55	
片	pʰien	35	
飄	pʰiau	55	
撇	pʰie	31	
拼	pʰin	55	
貧	pʰin	31	
品	pʰin	42	
平	pʰin	31	
瓶	pʰin	31	
坡	pʰo	55	
泊	pʰe	31	
婆	pʰo	31	
迫	pʰe	31	
破	pʰo	35	
頗	pʰo	42	
剖	pʰəu	42	
撲	pʰu	31	
僕	pʰu	31	
普	pʰu	42	
譜	pʰu	42	
七	tɕʰi	31	
妻	tɕʰi	55	
戚	tɕʰi	31	
欺	tɕʰi	55	
棲	tɕʰi	55	
其	tɕʰi	31	
奇	tɕʰi	31	
齊	tɕʰi	31	
旗	tɕʰi	31	
起	tɕʰi	42	
迄	tɕʰi	31	
泣	ɕi	31	
氣	tɕʰi	35	
器	tɕʰi	35	
恰	tɕʰia	31	
千	tɕʰien	55	
鉛	yen	31	
謙	tɕʰien	55	
前	tɕʰien	31	
鉗	tɕʰien	31	
錢	tɕʰien	31	
欠	tɕʰien	35	
腔	tɕʰiaŋ	55	
强	tɕʰiaŋ	31	
敲	kʰau	55	
橋	tɕʰiau	31	
巧	tɕʰiau	42	
殼	kʰo	31	
且	tɕʰie	42	
切	tɕʰie	31	
侵	tɕʰin	35	
秦	tɕʰin	31	
清	tɕʰin	55	
傾	tɕʰyin	55	
輕	tɕʰin	55	
情	tɕʰin	31	
頃	tɕʰyin	42	
請	tɕʰin	42	
慶	tɕʰin	35	
親	tɕʰin	55	
窮	tɕʰioŋ	31	
瓊	tɕʰyin	31	
丘	tɕʰiəu	55	
秋	tɕʰiəu	55	
囚	ɕiəu	31	
求	tɕʰiəu	31	
曲	tɕʰiu	31	
屈	tɕʰiu	31	
取	tɕʰyi	42	
娶	tɕyi	35	
去	tɕʰyi	35	文
去	tɕʰi	35	白
趣	tɕʰyi	35	
圈	tɕʰyen	55	
全	tɕʰyen	31	
權	tɕʰyen	31	
犬	tɕʰyen	42	
勸	tɕʰyen	35	
缺	tɕʰye	31	
却	tɕʰio	31	
雀	tɕʰio	31	
確	tɕʰio	31	
羣	tɕʰyin	31	
群	tɕʰyin	31	
然	zan	55	
染	zan	42	
讓	zaŋ	35	
饒	zau	31	
繞	zau	42	
惹	ze	42	
熱	ze	31	
人	zən	31	
壬	zən	31	
仁	zən	31	
忍	zən	42	
認	zən	35	
仍	zən	31	
日	zɿ	31	
茸	zoŋ	31	
絨	zoŋ	31	
榮	yin	31	
融	ioŋ	31	
柔	zəu	31	
肉	zu	31	
如	zu	31	
儒	zu	31	
辱	zu	31	
入	zu	31	
阮	zuan	42	
軟	zuan	42	
瑞	suei	35	
鋭	zuei	35	
閏	zuən	35	
若	zo	31	
弱	zo	31	
撒	sa	42	
腮	sai	55	
三	san	55	
散	san	35	
桑	saŋ	55	
掃	sau	42	
嫂	sau	42	
色	se	31	
瑟	se	31	
澀	se	31	
森	sən	55	
僧	sən	55	
沙	sa	55	
剎	sa	31	
殺	sa	31	
啥	sa	31	~子：什麼
篩	sai	55	
曬	sai	35	
山	san	55	
删	suan	55	
衫	san	55	
陝	san	42	
閃	san	42	
扇	san	35	
商	saŋ	55	
上	saŋ	35	
尚	saŋ	35	
燒	sau	55	
少	sau	35	
少	sau	42	
紹	sau	35	
舌	se	31	
蛇	se	31	
社	se	35	
射	se	35	
涉	se	31	
設	se	31	
申	sən	55	
身	sən	55	
深	sən	55	
神	sən	31	
審	sən	42	
甚	sən	35	
生	sən	55	
繩	suən	31	
剩	sən	35	
失	sɿ	31	
施	sɿ	55	
師	sɿ	55	
獅	sɿ	55	
詩	sɿ	55	
十	sɿ	31	
石	sɿ	31	
食	sɿ	31	
時	sɿ	31	
蝕	sɿ	31	
實	sɿ	31	
識	sɿ	31	
矢	sɿ	42	
使	sɿ	42	
始	sɿ	42	
士	sɿ	35	
示	sɿ	35	
世	sɿ	35	
式	sɿ	35	
似	sɿ	35	
事	sɿ	35	
侍	sɿ	35	
是	sɿ	35	
視	sɿ	35	
飾	sɿ	35	
試	sɿ	35	
匙	sɿ	31	
收	səu	55	
手	səu	42	
守	səu	42	
首	səu	42	
壽	səu	35	
瘦	səu	35	
獸	səu	35	
殊	su	55	
書	su	55	
樞	tɕʰyi	55	
熟	su	31	
贖	su	31	
暑	su	42	
黍	su	42	
鼠	su	42	
術	su	31	
數	su	35	
樹	su	35	
刷	sua	31	
衰	suai	55	
帥	suai	35	
閂	suan	35	
雙	suaŋ	55	
誰	suei	31	
水	suei	42	
税	suei	35	
睡	suei	35	
順	suən	35	
説	so	31	
私	sɿ	55	
思	sɿ	55	
斯	sɿ	55	
死	sɿ	42	
四	sɿ	35	
寺	sɿ	35	
松	soŋ	55	
嵩	soŋ	55	
鬆	soŋ	55	
宋	soŋ	35	
送	soŋ	35	
誦	soŋ	35	
蘇	su	55	
俗	ɕiu	31	
素	su	35	
速	ɕiu	31	
肅	ɕiu	31	
酸	suan	55	
算	suan	35	
雖	ɕyi	55	
隨	suei	31	
遂	ɕyi	35	
歲	suei	35	
孫	sən	55	
筍	sən	42	
縮	so	31	
所	so	42	
他	tʰa	55	
塔	tʰa	31	
踏	tʰa	31	
台	tʰai	31	
太	tʰai	35	
泰	tʰai	35	
貪	tʰan	55	
談	tʰan	31	文
談	tʰan	35	白
潭	tʰan	31	
歎	tʰan	35	
湯	tʰaŋ	55	
唐	tʰaŋ	31	
堂	tʰaŋ	31	
桃	tʰau	31	
討	tʰau	42	
套	tʰau	35	
忒	tʰe	31	
特	tʰe	31	
特	tʰie	31	
梯	tʰi	55	
踢	tʰi	31	
提	tʰi	31	
題	tʰi	31	
體	tʰi	42	
替	tʰi	35	
天	tʰien	55	
甜	tʰien	31	
條	tʰiau	31	
跳	tʰiau	35	
帖	tie	31	
鐵	tʰie	31	
聽	tʰin	35	
聽	tʰin	55	
停	tʰin	31	
通	tʰoŋ	55	
同	tʰoŋ	31	
桶	tʰoŋ	42	
統	tʰoŋ	42	
痛	tʰoŋ	35	
偷	tʰəu	55	
頭	tʰəu	31	
透	tʰəu	35	
秃	tʰu	31	
突	tʰu	31	
圖	tʰu	31	
土	tʰu	42	
團	tʰuan	31	
推	tʰuei	55	
腿	tʰuei	42	
退	tʰuei	35	
吞	tʰən	55	
託	tʰo	31	
脱	tʰo	31	
妥	tʰo	42	
挖	ua	55	
蛙	ua	55	
娃	ua	31	
瓦	ua	42	
襪	ua	31	
歪	uai	55	
外	uai	35	
彎	uan	55	
丸	yen	31	
完	uan	31	
玩	uan	31	
晚	uan	42	
皖	kʰuan	42	
碗	uan	42	
汪	uaŋ	55	
王	uaŋ	31	
枉	uaŋ	42	
往	uaŋ	42	
忘	uaŋ	31	
忘	uaŋ	35	
旺	uaŋ	35	
望	uaŋ	35	
危	uei	31	
威	uei	55	
微	uei	31	
惟	uei	31	
圍	uei	31	
爲	uei	31	
爲	uei	35	
維	uei	31	
尾	uei	42	
委	uei	42	
未	uei	35	
位	uei	35	
味	uei	35	
畏	uei	35	
衛	uei	35	
温	uən	55	
文	uən	31	
蚊	uən	31	
聞	uən	31	
穩	uən	42	
問	uən	35	
翁	oŋ	55	
窩	o	55	
我	o	42	
沃	ŋo	31	
卧	o	35	
握	ŋo	31	
屋	u	31	
烏	u	55	
吾	u	31	
無	u	31	
五	u	42	
午	u	42	
武	u	42	
戊	u	35	
物	u	31	
務	u	35	
兮	ɕi	55	
西	ɕi	55	
吸	tɕi	31	
希	ɕi	55	
息	ɕi	31	
奚	ɕi	55	
惜	ɕi	31	
溪	tɕʰi	55	
習	ɕi	31	
媳	ɕi	31	
洗	ɕi	42	
徙	ɕi	42	
喜	ɕi	42	
璽	ɕi	42	
系	ɕi	35	
細	ɕi	35	
戲	ɕi	35	
瞎	ɕia	31	
蝦	ɕia	55	
匣	ɕia	31	
狹	ɕia	31	
霞	ɕia	31	
下	ɕia	35	
下	xa	35	
仙	ɕien	55	
先	ɕien	55	
掀	ɕyen	55	
鮮	ɕyen	55	
弦	ɕyen	31	
閑	ɕien	31	
嫌	ɕien	31	
銜	xan	31	
賢	ɕien	31	
險	ɕien	42	
限	ɕien	35	
陷	xan	35	
現	ɕien	35	
縣	ɕien	35	
憲	ɕien	35	
香	ɕiaŋ	55	
鄉	ɕiaŋ	55	
祥	ɕiaŋ	31	
詳	ɕiaŋ	31	
想	ɕiaŋ	42	
巷	xaŋ	35	
象	ɕiaŋ	35	
項	xaŋ	35	
像	ɕiaŋ	35	
像	tɕʰiaŋ	35	
消	ɕiau	55	
蕭	ɕiau	55	
囂	ɕiau	55	
淆	ɕiau	31	
小	ɕiau	42	
曉	ɕiau	42	
孝	ɕiau	35	
校	ɕiau	35	
笑	ɕiau	35	
效	ɕiau	35	
歇	ɕie	31	
邪	ɕie	31	
協	ɕie	31	
挾	ɕia	31	
脅	ɕie	31	
偕	ɕiai	31	
斜	ɕia	31	
鞋	xai	31	
諧	ɕiai	31	
寫	ɕie	42	
械	tɕiai	35	
謝	ɕie	35	
心	ɕin	55	
欣	ɕin	55	
新	ɕin	55	
信	ɕin	35	
釁	ɕin	35	
星	ɕin	55	
行	ɕin	31	
行	xaŋ	31	
形	ɕin	31	
杏	ɕin	35	
杏	xən	35	
幸	ɕin	35	
性	ɕin	35	
姓	ɕin	35	
興	ɕin	55	
兄	ɕioŋ	55	
胸	ɕioŋ	55	
雄	ɕioŋ	31	
熊	ɕioŋ	31	
休	ɕiəu	55	
袖	ɕiəu	35	
戌	ɕiu	31	
虚	ɕyi	55	
須	ɕyi	55	
徐	ɕyi	31	
旭	ɕiu	31	
序	ɕyi	35	
恤	ɕi	31	
婿	ɕi	31	
宣	ɕyen	55	
軒	ɕyen	55	
喧	ɕyen	55	
暄	ɕyen	55	
玄	ɕyen	31	
旋	ɕyen	31	
懸	ɕyen	31	
選	ɕyen	42	
癬	ɕyen	42	
削	ɕye	31	
靴	ɕye	55	
薛	ɕye	31	
穴	ɕie	31	
學	ɕio	31	
雪	ɕye	31	
血	ɕye	31	
勳	ɕyin	55	
旬	ɕyin	31	
尋	ɕyin	31	
鴉	ia	55	
鴨	ia	31	
牙	ia	31	
崖	ŋai	31	
涯	ia	31	
啞	ia	42	
軋	tsa	31	
腌	ien	55	
煙	ien	55	
延	ien	31	
言	ien	31	
沿	yen	31	
研	nien	55	
嚴	nien	31	
眼	ien	42	
演	ien	42	
晏	ien	35	
晏	ŋan	35	
硯	nien	35	
厭	ien	35	
驗	nien	35	
央	iaŋ	55	
羊	iaŋ	31	
陽	iaŋ	31	
仰	niaŋ	42	
養	iaŋ	42	
樣	iaŋ	35	
妖	iau	55	
肴	ɕiau	31	
堯	iau	31	
摇	iau	31	
咬	ŋau	42	
舀	iau	42	
要	iau	35	
藥	io	31	
噎	i	31	
爺	ie	31	
也	ie	42	
野	ie	42	
夜	ie	35	
葉	ie	31	
業	nie	31	
一	i	31	
衣	i	55	
依	i	55	
醫	i	55	
夷	i	31	
宜	ni	31	
移	i	31	
疑	ni	31	
遺	i	31	
已	i	42	
以	i	42	
矣	i	42	
邑	i	31	
疫	iu	31	
逸	i	31	
意	i	35	
義	ni	35	
憶	i	35	
藝	ni	35	
譯	i	31	
議	ni	35	
因	in	55	
音	in	55	
寅	in	31	
欽	tɕʰin	55	
銀	in	31	
尹	yin	42	
引	in	42	
隱	in	42	
印	in	35	
英	in	55	
櫻	in	55	
櫻	ŋən	55	
鶯	in	55	
盈	in	31	
螢	yin	31	
營	yin	31	
硬	ŋən	35	
應	in	35	
雍	ioŋ	55	
永	yin	42	
勇	ioŋ	42	
用	ioŋ	35	
憂	iəu	55	
尤	iəu	31	
由	iəu	31	
猶	iəu	31	
友	iəu	42	
有	iəu	42	
又	iəu	35	
右	iəu	35	
幼	iəu	35	
余	yi	31	
於	yi	31	
魚	yi	31	
