pi53	碑{又}陂{小水坝}
muin213	闷焖
fuin53	宽欢{喜~，又}
tuin53	尊樽钻{动词}
tuin231	团臀
tuin24	断{~绝}
tuin423	钻{名词}
tuin213	段锻缎
tʰuin53	村
tʰuin423	寸
nuin24	暖
nuin213	嫩
luin53	墩圝圆敦礅端
luin44	短
luin24	卵断{决~}
luin213	乱
ȵuin53	□{用齿轻咬}
ȵuin423	□{~~笑：笑而不露状}
suin53	孙酸
suin231	全泉
suin44	选
suin423	算蒜
suin213	旋
kuin53	官棺柑橘
kuin44	管馆卷{又}
kuin423	灌罐
uin231	含魂
uin44	碗腕
uin423	暗晚
uin213	换唤
tsyn53	专砖撰
tsyn44	准
tsyn423	转篆传{~记}
tsʰyn53	穿川
tsʰyn423	串窜
ȵyn24	软
ȵyn213	愿缘
syn231	椽纯船传{~达}
syn213	传{~过来}
kyn53	绢捐
kyn231	拳权颧
kyn44	倦卷繹{圈，卷曲}
kyn423	眷
kʰyn53	圈
kʰyn423	劝
yn53	渊冤
yn231	原源援远丸员圆玄缘铅元园芜阮袁宛辕完{又}
yn24	远永
yn423	怨{又}孕
yn213	县院
paŋ53	崩掹{用力猛拉}
paŋ231	房庞乓□{一~人}
paŋ44	绷
paŋ423	棒
paŋ213	磅鎊□{靠}□{~~臭：阵阵发臭}
pʰaŋ53	抨{打一枪}□{~臭：很臭}
pʰaŋ44	□{~~饱：很饱}
pʰaŋ423	胖
maŋ53	□{~臭：很臭}□{~开：张开}□{向人讨物}
maŋ231	盲
maŋ44	蜢
maŋ24	猛
maŋ423	□{~口：缺口}
faŋ53	荒慌谎方肪
faŋ231	防坊
faŋ44	访仿彷谎讽纺
faŋ24	□{用力打}
naŋ423	□{眼皮上的疤}□{①用力拉②连接}
