#a
p[1]杷疤芭琶巴粑[2]爸八[3]把㞎{儿语粪便}[5]坝罢霸
tɕ[1]机饥讥杞{又꜂tɕi}稽肌基鸡几{～乎，又꜂tɕi}[2]吸激急寂{又꜁tɕie}及{又꜁tɕie}[3]纪杞{又꜀tɕi}挤几{～个，又꜀tɕi}己[5]妓济继季忌计记祭剂技去-{又tɕʰy꜄}寄际既
tɕʰ[1]妻溪{潆～：地名，又꜀ɕi}欺期[2]其棋脐骑旗奇祁歧齐膝戚乞[3]启岂起[5]器汽砌{又꜁tɕʰie}企契弃气[7]漆七
ɕ[1]溪{小～，又꜀tɕʰi}兮稀希犀西些-{又꜀ɕie}[2]徙婿媳析悉息惜昔熄协-{又꜁ɕie}席袭夕衅穴-{又꜁ɕie}习锡胁[3]洗喜携[5]细系戏
ȵ[2]泥谊仪尼宜疑倪[3]你[5]议蚁腻艺义
∅[1]伊依衣医[2]姨移遗逸亦[3]椅以已[5]翼意忆亿译异易[7]抑{压～}揖{作～}一益乙

#u
p[1]卜[2]不[3]补[5]怖步捕部布
pʰ[1]铺{～床，又pʰu꜄}[2]蒲朴仆渤菩葡扑{又꜁pʰo}赴[3]浦谱脯普甫[5]铺{店～，又꜀pʰu}[7]瀑{又pau꜄}
m[2]目模[3]姆拇牡母[5]慕墓幕暮牧[7]木
f[1]呼孵肤俘敷麸夫乎[2]浮湖浒扶狐壶胡芙葫符斛忽{又xo꜆}佛蝠腹佛幅覆伏[3]俯斧抚腐府辅虎[5]负妇副付傅护富附父户互赋埠[7]福复服
t[1]都{又꜀təu}[2]读犊独{又꜁to}督毒[3]赌肚{鱼～，又tu꜄}堵[5]妒渡杜踱肚{～皮，又꜂tu}度镀
tʰ[2]涂图途屠徒突秃[3]吐土[5]兔
n[2]奴泸芦颅炉驴禄律鹿录陆[3]鲁努弩庐卤虏[5]路鹭怒露[7]绿{又꜁no}六
ts[1]株朱诸诛租猪蛛珠[2]浊{又꜁tsʰo}祝烛筑𡎺{鼻子不通}竹{又꜁tso}轴触[3]煮组诅祖阻主[5]注柱做住蛀苎著驻助铸{又tau꜄}
tsʰ[1]粗初[2]厨储除锄族{又꜁tsʰo}畜{～牲，又꜁ɕy、꜁tsʰo}[3]础拄处{相～，又tsʰu꜄}楚褚[5]措处{～所，꜂tsʰu}醋[7]出促
s[1]梳枢疏殊苏蔬舒输酥书[2]嘱淑蜀属叔熟[3]薯暑署数{～钱，又su꜄}鼠[5]漱素树恕诉塑竖庶述术数{～字，又꜂su}
ɹ[2]如㾒{无力}擩入茹肉={肌～，又ɹəu꜄}□{受潮}[3]汝辱乳褥[5]儒裕
k[1]姑孤辜跍{蹲}菇[2]谷骨{又꜁ko}[3]古估鼓股[5]雇固故顾
kʰ[1]枯箍骷[2]哭{又꜁kʰo}跍{蹲}酷窟[3]苦[5]库裤
∅[1]污诬乌巫[2]吴吾梧蜈无芜物勿[3]武侮伍鹉舞五午[5]悟恶{可～，又꜁ŋo}误务雾[7]屋{又o꜆}

#y
n[3]吕履旅[5]滤虑
tɕ[1]拘驹居锥-{针～人，又꜀tsuəi}车{象棋子，又꜀tsʰe}[2]足{又꜁tɕio}橘菊局卒[3]举矩[5]句距巨惧剧据拒具锯{又ke꜄}聚
tɕʰ[1]蛆驱趋区黢{又꜁tɕʰy}[2]渠屈倔掘曲黢{又꜀tɕʰy}[3]娶取[5]趣去{又tɕi꜄}[7]崛
ɕ[1]嘘墟须需虚[2]瞿徐续俗肃蓄速粟宿畜{～牧局，又꜁tsʰo、꜁tsʰu}戌[3]许[5]绪絮叙遂隧序
ȵ[3]女
∅[1]淤[2]娱吁渔渝愚愉隅鱼谀余于迂[3]语禹羽宇雨与[5]誉喻愈逾慰{又uəi꜄}遇寓御玉预豫芋疫={又꜁io}役={又꜁io}

#ai
p[1]𨃅{跛足}[3]摆[5]拜稗败
pʰ[1]□{碰、摸}[2]牌排[5]派
m[2]埋[3]买[5]卖迈
t[1]呆[2]□{捉、拿}[3]歹逮[5]贷怠代在-{又tsai꜄}待带戴袋
tʰ[1]胎苔{舌～，又꜁tʰai}[2]台抬苔{青～，又꜀tʰai}[3]大-{又ta꜄}[5]泰汰态太
n[1]奶{乳房，又꜂nai}[2]来[3]奶{～粉，又꜀nai}乃[5]赖癞奈耐
ts[1]栽斋灾[3]宰崽载{一年半～，又tsai꜄}[5]债在{又tai꜄}寨载{装～，又꜂tsai}再
tsʰ[1]差{出～，又꜀tsʰa}猜钗[2]财材柴裁才豺[3]踩睬采彩[5]菜蔡
s[1]腮筛鳃[5]赛晒
k[1]该街阶-{～阳，又꜀tɕiɛi}[3]解-{～开，又꜂tɕiɛi}改[5]丐盖
kʰ[1]揩开[3]凯楷[5]溉概慨
x[1]咍{～袍哥、～老大}[2]孩鞋[3]嗨海蟹-{爬～：螃蟹，又꜁ɕiɛi}[5]害亥
ŋ[1]哀挨{～得近，又꜁ŋai}艾{陈～，又ŋai꜄}埃[2]癌挨{～打、，又꜀ŋai}崖岩[3]蔼矮[5]碍爱艾{～草，又꜀ŋai}

#iɛi
tɕ[1]阶{又꜀kai}[3]解{又꜂kai}[5]械疥介戒芥届界
ɕ[2]蟹{又꜂xai}

#uai
ts[1]□{跌}[2]□{～实：结实、壮实}[3]跩[5]拽{～你两个包：打你两个包}
tsʰ[1]揣[3]喘{～气}
s[1]衰[3]甩[5]疝帅率{又꜁so}
k[1]乖[2]□{～着走：脚尖向内走}[3]□{螺丝～：脚踝}拐[5]怪
kʰ[3]块蒯[5]桧刽快筷会{～计，又xuəi꜄}
x[1]欢-{～喜：高兴，又꜀xuan}[2]淮槐怀[5]坏
∅[1]歪□{凶}[3]崴{～脚}□{～货：质量不好的东西}[5]外

#əi
p[1]杯碑悲卑[3]□{摆弄}[5]贝倍背{～叛}臂辈秘{～密，又꜁mi}焙
pʰ[1]披批{又꜀pʰi}[2]赔培陪裴[3]呸胚[5]佩配譬
m[2]媒梅枚煤玫霉莓[3]美每[5]妹昧
f[1]妃非飞[2]肥[3]翡匪[5]费痱{～子}肺废□{调皮}

#uəi
t[1]堆[3]趸{～货：把剩下货物全部买下}[5]对兑队
tʰ[1]推[3]腿[5]退褪蜕
n[1]□{滚动}[2]雷[3]累{～积，又nuəi꜄}儡蕊垒[5]泪累{疲～，又꜂nuəi}类内
ts[1]追锥{又꜀tɕy}[2]贼{又tse꜁}[3]嘴[5]罪最坠醉
tsʰ[1]吹催摧炊崔[2]垂锤槌[5]碎猝脆翠粹
s[1]虽[2]谁随隋[3]水髓[5]税睡瑞岁
ɹ[5]锐芮
k[1]归闺规龟[3]诡轨鬼[5]贵桂柜圭{石～公社}
kʰ[1]魁奎盔亏窥[2]葵逵癸夔[3]傀[5]溃跪愧
x[1]恢挥灰徽辉[2]回蛔茴[3]悔毁[5]贿汇绘惠慧穗秽会{～不～，又kʰuai꜄}
∅[1]萎{～了：凋了，又꜂uəi}煨威[2]唯维惟桅苇违围微危为{作～，又uəi꜄}[3]委纬韦伟苇萎{枯～，又꜀uəi}尾[5]味喂未慰{又y꜄}谓伪位胃卫魏畏为{～什么，又꜁uəi}

#au
p[1]胞雹包褒[3]饱保堡宝[5]报抱菢暴曝爆龅鲍豹瀑{又pʰu꜆}
pʰ[1]泡{灯～，又pʰau꜄}抛[2]咆刨袍[3]跑[5]泡{～茶，又꜀pʰau}炮
m[1]猫[2]茅矛毛[3]卯[5]帽冒貌
t[1]叨刀[3]倒{～下，又tau꜄}捣岛[5]蹈到倒{～水，又꜂tau}稻道铸-{又tsu꜄}盗
tʰ[1]滔涛詜{骂}掏[2]淘桃逃萄陶[3]讨[5]导套
n[2]唠涝捞劳牢[3]恼脑老[5]闹□{毒害}
ts[1]召沼招昭遭糟朝{～气，又꜁tsʰau}[2]着-{表被动，又꜁tso}[3]澡枣找蚤早爪[5]皂诏罩灶照造{～孽，又tsʰau꜄}赵兆
tsʰ[1]操{～作，又tsʰau꜄}抄超钞耖{～田，又tsʰau꜄}[2]嘲潮巢槽曹朝{～代，又꜀tsau}[3]吵草炒[5]躁操{曹～，又꜀tsʰau}造{制～，又tsau꜄}糙耖{～锅：锅里翻炒，又꜀tsʰau}
s[1]梢捎艄稍臊烧骚筲{～箕}[2]苕韶{～山}[3]嫂扫{～地，又sau꜄}少{多～，sau꜄}[5]哨潲绍扫{～把，又꜂sau}少{～爷，꜂sau}
ɹ[2]饶挠{不屈不～}[3]绕扰
k[1]膏篙糕高羔[2]殽-{混合、米糊，又꜁kʰau}[3]搅-{即“搞”本字，又꜂tɕiau}稿[5]告较-{尝试，又tɕiau꜄}窖
kʰ[1]敲{又꜀tɕʰiau}[2]殽-{混合、米糊，又꜁kau}[3]烤考[5]铐靠
x[1]蒿薅[2]嚎壕豪毫[3]好{～坏，又xau꜄}郝[5]好{爱～，又꜂xau}号浩耗
ŋ[1]熝{炼}[2]熬敖翱[3]咬-{又꜂ȵiau}袄[5]澳懊傲拗坳奥

#iau
p[1]标猋膘{肥～}彪[3]表
pʰ[1]漂{水～，又pʰiau꜄}鳔飘[2]嫖瓢[3]瞟熛[5]漂{～亮，又꜀pʰiau}票
m[1]喵[2]描苗瞄[3]渺秒藐眇[5]妙庙
t[1]雕碉刁貂[3]屌[5]吊调{～动，又꜁tʰiau}掉钓
tʰ[1]挑[2]条调{～整，又tiau꜄}[3]斢{～换}[5]跳
n[1]敹{缝}□{～子：故意}[2]疗撩燎寥聊辽[3]了{～解}[5]撂尿{又ȵiau꜄}廖料
tɕ[1]姣浇椒跤胶蕉焦骄矫交教{～书，又tɕiau꜄}娇郊[2]□{嘴硬、不服管教}[3]绞缴饺剿搅{又꜂kau}狡铰侥[5]嚼噍叫校-{学～，又ɕiau꜄}教{～育，又꜀tɕiau}觉{睡～，又꜁tɕio}较{又kau꜄}轿
tɕʰ[1]橇跷悄撬敲={～诈，又꜀kʰau}锹[2]桥谯瞧樵侨荞翘{不整齐，又tɕʰiau꜄}乔[3]巧[5]俏藠{～头}翘{又꜁tɕʰiau}窍
ɕ[1]啸嚣消硝肖萧屑宵箫销霄[3]淆晓小[5]校{又tɕiau꜄}效笑酵孝
ȵ[3]咬{又꜂ŋau}鸟[5]尿{又niau꜄}
∅[1]妖要{～求，又꜀iau}吆腰邀幺夭[2]姚谣摇遥窑尧[3]舀[5]要{～不～，又iau꜄}跃耀

#əu
t[1]逗{～笑，又təu꜄}兜都{又꜀tu}篼[3]蚪斗陡[5]痘逗{～留，又꜀təu}鬥豆
tʰ[1]偷[2]投头[3]抖敨{～整：打理}[5]透
n[2]楼□{脏}[3]搂篓[5]漏陋
ts[1]周洲粥舟州邹[3]肘走帚[5]咒昼宙奏
tsʰ[1]搊{推}抽[2]绸愁仇稠筹酬[3]丑[5]嗅揍臭骤凑
s[1]搜收[3]手擞首守[5]嗽兽售瘦授受寿
ɹ[2]柔揉[5]肉{又꜁ɹu}
k[1]沟钩勾[3]狗□{吝啬}[5]购构苟够垢
kʰ[1]抠[2]□{东西向下倒放}[3]口[5]叩扣寇
x[1]齁[2]喉侯猴[3]吼[5]后候厚
ŋ[1]欧[3]沤偶藕殴[5]呕怄

#iəu
m[5]谬
t[1]丢
n[1]溜[2]流榴瘤馏硫刘琉留[3]柳
tɕ[1]纠灸鸠𩭓{～～儿}[3]疚酒久九韭[5]旧救究就舅臼
tɕʰ[1]揪秋蚯瞅丘邱[2]球求
ɕ[1]修休羞[2]囚泅[3]朽[5]绣秀锈袖
ȵ[2]牛[3]纽扭[5]□{动、扭动}
∅[1]忧悠优幽[2]游油犹鱿尤由邮[3]有友酉[5]柚佑又右釉幼诱

#an
p[1]搬扳班斑颁般[3]版板拚{～命}[5]绊瓣办伴拌扮畔半蚌{～壳儿}
pʰ[1]潘攀藩[2]蟠盘[5]判盼叛
m[2]馒蛮瞒[3]满螨[5]漫{又mən꜄}慢蔓曼谩
f[1]番翻[2]繁烦樊帆凡[3]反返[5]贩泛梵{～殿公社}饭犯范
t[1]担{～柴，又꜀tan}耽丹单[3]胆[5]诞但担{扁～，又tan꜄}蛋旦弹{子～，又꜁tʰan}
tʰ[1]贪滩瘫摊探坍[2]潭檀痰谭谈坛弹{～琴，又tan꜄}[3]坦毯[5]淡叹炭碳
n[2]栏难{～度，又nan꜄}拦蓝男篮南兰[3]缆榄懒揽{又꜂laŋ}览[5]滥难{灾～，又꜁nan}烂
ts[1]赡沾瞻簪毡詹[2]攒{～劲}[3]斩展盏[5]赞占灒栈蘸暂颤站战
tsʰ[1]餐掺参{～加，又꜀sən}搀[2]缠谗惭馋残蚕潺[3]惨摌{～耳光}产[5]忏灿
s[1]搧{～耳光}煽山衫三[2]蝉禅[3]伞陕闪散{懒～，又san꜄}[5]缮骟鳝散{～开，又꜂san}扇善膳
ɹ[2]然燃[3]染冉
k[1]甘柑橄杆{桅～，又꜂kan}肝间-{一～房，又kan꜄、꜀tɕiɛn、tɕiɛn꜄}竿干漧[3]杆{腰～，又꜀kan}感擀赶敢[5]间-{～开：隔开、～天：隔一天，又꜀kan、꜀tɕiɛn、tɕiɛn꜄}幹
kʰ[1]堪勘刊龛{神～子}嵌[3]砍坎[5]看
x[1]鼾憨酣[2]含涵韩寒衔-{又꜁ɕiɛn、꜁xaŋ}咸函[3]喊撼罕[5]汉汗憾悍苋{～菜}旱陷-{又ɕiɛn꜄}限-{又ɕiɛn꜄}
ŋ[1]淊{～没}桉安鞍[2]严-{门关～，又꜁ȵiɛn}谙[5]案雁-{～鹅，又iɛn꜄}按暗晏-{晚，又iɛn꜄}岸

#iɛn
p[1]编边鞭[3]贬蝙匾扁[5]辨辫辩便{方～，又꜁pʰiɛn}变汴
pʰ[1]偏篇[2]便{～宜，又piɛn꜄}[3]㓲{砍削}[5]骗遍片
m[2]绵棉眠[3]缅勉免[5]面
t[1]癫颠滇巅[3]典碘腆点[5]淀惦佃臀垫店殿奠电
tʰ[1]添天[2]填甜田[3]舔
n[2]莲连怜{又꜁nin}廉镰鲢联帘[3]脸[5]练恋炼链敛念{又ȵiɛn꜄}
tɕ[1]奸坚煎{～蛋，又tɕiɛn꜄}尖间{时～，又꜀kan、kan꜄、tɕiɛn꜄}监兼艰[3]检践{实～，又tɕiɛn꜄}剪俭拣茧简减柬涧[5]贱渐溅践{～踏，又꜂tɕiɛn}饯剑件健煎{～油，又꜀tɕiɛn}间{～接，又꜀kan、kan꜄、꜀tɕiɛn}箭见鉴键舰毽建荐
tɕʰ[1]谦歼迁签铅{又꜁yɛn}牵千[2]潜钱钳黔前乾[3]浅谴遣[5]欠歉倩茜
ɕ[1]仙先[2]贤嫌衔{又꜁xan、꜁xaŋ}闲[3]显险[5]线县献宪陷{又xan꜄}限{又xan꜄}现羡馅冼{～星海}
ȵ[1]研拈[2]年阎严{又꜁ŋan}[3]碾撵[5]砚念{又niɛn꜄}谚验酽{浓稠状}
∅[1]淹掩腌胭蔫{食物不新鮮、花萎}炎烟焉嫣庵[2]沿檐言芫颜盐延涎[3]演眼衍掩[5]咽雁{～南飞，又ŋan꜄}厌晏{又ŋan꜄}堰焰燕宴筵艳

#uan
t[1]端[2]剸{拦截（人在后），又꜂tuan}[3]剸{拦截（人在前），又꜁tuan}短[5]锻段
tʰ[2]团[3]䜝{巴结、说好话}
n[2]銮[3]暖卵[5]乱
ts[1]砖钻{～空子，又tsuan꜄}专[3]转{～手，又tsuan꜄}[5]赚转{～圈，又꜂tsuan}传{～记，又꜁tsʰuan}钻{电～，又꜀tsuan}
tsʰ[1]汆{～汤肉}川穿[2]传{～达，又tsuan꜄}船[3]铲[5]篡窜串
s[1]删拴珊酸[5]汕涮蒜闩算
ɹ[3]阮软
k[1]棺官关观冠{鸡～，又kuan꜄}[3]馆管[5]贯灌惯罐冠{～军，又꜀kuan}
kʰ[1]宽[3]款浣皖
x[1]欢{喜～，又꜀xuai}[2]横-{～顺：不管如何，又꜁xuən}还环[3]缓[5]唤涣痪患换焕宦幻
∅[1]湾弯豌[2]完顽玩[3]婉娩碗惋宛挽腕晚[5]万院{法～，又yɛn꜄}

#yɛn
tɕ[1]捐腃{蜷缩}鹃绢肩[3]卷{～起来，又tɕyɛn꜄}[5]券倦圈{猪～，又꜀tɕʰyɛn}腱{～子肉}卷{～子，又꜂tɕyɛn}眷
tɕʰ[1]圈{圆～，又tɕyɛn꜄}[2]泉权全拳醛[3]犬[5]劝
ɕ[1]喧掀宣轩鲜[2]漩悬旋{凯～，又ɕyɛn꜄}弦玄[3]癣选[5]旋{～吃～做，又꜁ɕyɛn}
∅[1]渊鸳冤[2]员源缘原援猿圆园铅{又꜀tɕʰiɛn}袁丸元[3]远[5]愿怨院{～子，又uan꜄}

#ən
p[1]绷{～带，又꜀pən}奔{～跑，又pən꜄}崩[3]本[5]坌{和物}奔{拼搏，又꜀pən}笨
pʰ[1]烹□{靠}[2]膨盆彭
m[1]扪闷{少言语，又꜀mən}[2]们明-{～天，又꜁min}门[5]漫-{水溢出，又man꜄}闷{～热，又mən꜄}
f[1]吩分{～数，又fən꜄}芬[2]坟焚[3]粉[5]喷分{本～，又꜀fən}愤份奋粪
t[1]蹬蹲墩{又꜂tən}敦灯登[2]□{～大：很大，又꜁toŋ}[3]等墩{桥～，又꜀tən}[5]吨囤瞪盾炖邓钝顿遁凳屯
tʰ[1]吞[2]疼誊藤滕腾[3]□{颠簸}[5]□{攀比、竞争}□{停顿}
n[1]捻{手指搓摩}[2]沦棱{～角}伦轮能楞[3]冷[5]嫩论
ts[1]赠贞诊争僧侦挣{～扎，又tsən꜄}尊樽蒸曾{姓，又꜁tsʰən}增臻睁遵真征筝珍针斟疹憎谆[3]枕怎振拯整震[5]澄{～水：使水中杂质沉淀，又꜁tsʰən}症甑证正挣{～钱，又꜀tsən}罾{搬～公社}阵郑政镇
tsʰ[1]村伸{手～出来，又꜀sən}撑称皴[2]呈澄{～清，又tsən꜄}存橙诚承{～建，又꜁sən}程曾{～经，又꜀tsən}尘城层陈丞臣成[3]惩揿{用力按}逞[5]秤寸趁衬慎
s[1]深孙森伸{～冤，又꜀tsʰən}声申坤牲身参{人～，又꜀tsʰan}生甥升[2]乘神承{～重，又꜁tsən}晨辰[3]婶沈榫损省审笋[5]剩肾甚葚圣胜盛
ɹ[2]任{姓～，又ɹən꜄}仁人壬仍[3]纫忍刃[5]认任{责～，又꜁ɹən}扔
k[1]根跟更{～换，又kən꜄}庚耕[3]哽{吞咽}梗耿埂[5]更{～多，又꜀kən}
kʰ[1]坑[3]啃恳肯垦
x[1]亨[2]痕恒衡[3]狠很[5]杏恨
ŋ[1]樱-{～桃儿，又꜀in}恩[3]□{硌人}[5]硬

#in
p[1]滨兵彬槟殡宾鬓冰斌[3]柄饼炳丙禀秉[5]并病
pʰ[1]拼[2]贫瓶评凭苹萍坪屏频平[3]品[5]聘
