id	ini	fn	pt	单字	IPA	注释
288	s	ɐu	31	酥	sɐu31	脆，杏仁～
289	s	ɐu	13	素	sɐu13	～菜，朴～
290	s	ɐu	13	訴	sɐu13	上～，倾～
291	s	ouk	013	塑	souk13	雕～，～料
292	k	u	31	姑	ku31	大～
293	k	u	31	孤	ku31	～儿，～单
294	kʰ	u	31	箍	kʰu31	紧～咒[文]
295	kʰ	u	31	箍	kʰu31	围束，～桶[白]
296	k	u	35	古	ku35	～代
297	k	u	35	估	ku35	～计
298	k	u	35	牯	ku35	牛～
299	k	u	35	股	ku35	～票
300	k	u	35	鼓	ku35	锣～，～励
301	k	u	13	故	ku13	～事，～乡
302	k	u	35	蛊	ku35	养～，～惑
303	k	u	13	固	ku13	～定
304	k	u	13	錮	ku13	禁～
305	k	u	13	雇	ku13	～人，～主
306	k	u	13	顧	ku13	照～
307	k	u	31	枯	ku31	干～，～水
308	f	u	35	苦	fu35	辛～，食～（吃苦）
309	f	u	35	苦	fu35	～味
310	f	u	13	庫	fu13	水～，仓～
311	f	u	13	褲	fu13	裤子
312		ŋ̍	21	吳	ŋ̍21	姓
313		ŋ̍	21	蜈	ŋ̍21	～蚣
314		ŋ̍	21	梧	ŋ̍21	～桐
315		ŋ̍	13	五	ŋ̍13	数字
316		ŋ̍	13	伍	ŋ̍13	姓；队～
317		ŋ̍	13	午	ŋ̍13	中～，端～
318		ŋ̍	43	誤	ŋ̍43	～会，错～
319		ŋ̍	43	悟	ŋ̍43	觉～；孙～空
320	f	u	31	呼	fu31	称～，～吸，招～
321	f	u	35	虎	fu35	老～
322	f	u	55	虎	fu55	马～
323	v	u	35	滸	vu35	水～
324	f	u	13	戽	fu13	～水（泼水），～斗
325	f	u	21	胡	fu21	二～ ；姓
326	f	u	21	湖	fu21	西～
327	f	u	21	狐	fu21	～狸
328	f	u	21	壺	fu21	水～
329	f	u	21	乎	fu21	在～
331	f	u	21	鬍	fu21	～须
332	f	u	21	蝴	fu21	～蝶
333	f	u	21	糊	fu21	浆～，～涂
334	f	u	13	戶	fu13	～口
335	f	u	13	滬	fu13	上海简称
336	f	u	43	互	fu43	～相
337	f	u	43	護	fu43	保～，～士
338	pʰ	ɐu	55	瓠	pʰɐu55	瓠瓜（味似葫芦而长）
339	v	u	31	烏	vu31	
340	v	u	31	汚	vu31	～染
341	v	u	31	塢	vu31	船～
342	ŋ	ouk	013	惡	ŋouk13	可～
343	n	ui	13	女	nui13	女人
344	l	ɐu	21	廬	lɐu21	～山
345	l	ui	21	驢	lui21	毛驴
346	l	ui	13	呂	lui13	姓
347	l	ui	13	旅	lui13	～游
348	l	ui	43	慮	lui43	考～
349	l	ui	43	濾	lui43	过～
350	ts	ui	35	蛆	tsui35	蛆虫，生～
351	s	ui	13	絮	sui13	棉～
352	tsʰ	ui	21	徐	tsʰui21	姓
353	ts	ui	43	序	tsui43	顺～
354	ts	ui	43	敍	tsui43	倒～
355	s	ui	43	緖	sui43	情～；光～
356	ts	y	55	豬	tsy55	～肉
357	ts	y	13	著	tsy13	～名，显～
358	tsʰ	y	21	除	tsʰy21	～法
359	tsʰ	y	13	儲	tsʰy13	～蓄
361	ʦ	y	35	箸	ʦy35	筷子
362	ts	o	35	阻	tso35	～止，～力
363	tsʰ	o	31	初	tsʰo31	当～，～中
364	tsʰ	o	35	楚	tsʰo35	清～
365	tsʰ	o	35	礎	tsʰo35	基～
366	tsʰ	o	21	鋤	tsʰo21	～草，～禾日当午
367	ts	o	43	助	tso43	帮～
368	s	u	31	梳	su31	梳子[名]；梳头[动]
369	s	u	31	疏	su31	～远；稀疏
370	s	u	31	疏	su31	生～
371	s	u	31	蔬	su31	～菜
372	s	u	35	所	su35	～以；派出～
373	s	u	31	疏	su31	注～
374	ts	y	13	諸	tsy13	姓；～如此类
375	ts	i	35	煮	tsi35	～饭
376	tsʰ	i	35	處	tsʰi35	～理
377	tsʰ	i	13	處	tsʰi13	～所
378	s	y	31	書	sy31	读～
379	s	y	31	舒	sy31	～服
380	s	y	35	暑	sy35	～假
381	s	y	35	鼠	sy35	老～
382	s	y	43	庶	sy43	～民
383	s	y	43	恕	sy43	宽～
384	ts	i	13	署	tsi13	～名
385	s	y	31	薯	sy31	番～
386	j	i	21	如	ji21	～果，假～
387	k	ui	31	居	kui31	～民
388	k	ui	31	車	kui31	象棋，～马炮
389	k	ui	35	舉	kui35	～报，～重
390	k	ui	43	據	kui43	收～
391	k	ui	13	鋸	kui13	电～
392	h	ui	31	墟	hui31	～日
393	h	ui	13	去	hui13	来～，过～
394	kʰ	ui	21	渠	kʰui21	水～，～道
395	kʰ	ui	13	佢	kʰui13	他，第三人称
396	k	ui	43	巨	kui43	～大
397	k	ui	43	拒	kui43	～绝
398	k	ui	43	距	kui43	～离
399	j	i	55	魚	ji55	金～
400	j	i	21	漁	ji21	～业，～夫
401	j	i	13	語	ji13	～文
402	j	i	43	御	ji43	～用文人
403	j	i	43	禦	ji43	防～
404	h	ui	31	虛	hui31	～心
405	h	ui	31	嘘	hui31	吹～
406	h	ui	35	許	hui35	允～；姓
407	j	i	31	於	ji31	在～
408	j	i	35	淤	ji35	～泥
409	j	i	21	余	ji21	姓
410	j	i	21	餘	ji21	多～
411	j	i	13	與	ji13	参～，给～，～众不同
412	j	i	43	予	ji43	给～
413	j	i	13	譽	ji13	荣～
414	j	i	43	預	ji43	～报，～备
415	j	i	21	豫	ji21	犹～
416	f	u	31	夫	fu31	～妻，车～
417	f	u	31	膚	fu31	皮～
419	f	u	35	府	fu35	政～
420	f	u	35	腑	fu35	五脏六～
421	f	u	35	俯	fu35	～卧撑，～视
422	f	u	35	甫	fu35	杜～
423	p	ɐu	35	脯	pɐu35	菜～（萝卜干）
424	p	ɐu	35	斧	pɐu35	～头
425	f	u	43	付	fu43	应～
426	f	u	13	咐	fu13	吩～
427	f	u	43	賦	fu43	天～
428	f	u	55	傅	fu55	师～[文]
429	f	u	43	傅	fu43	姓[白]
430	f	u	31	敷	fu31	～衍，～药
431	f	u	31	俘	fu31	～虏
432	p	ou	43	孵	pou43	孵小鸡
433	f	u	31	麩	fu31	麦～
434	f	u	35	撫	fu35	～养，安～
436	f	u	43	赴	fu43	奔～，～汤蹈火
437	f	u	43	訃	fu43	～告
438	f	u	21	符	fu21	～合，鬼画～
439	f	u	21	扶	fu21	～贫，～手[文]
440	pʰ	ɐu	21	扶	pʰɐu21	搀扶，～起来[白]
441	f	u	21	芙	fu21	～蓉
442	f	u	13	父	fu13	～亲
443	f	u	35	釜	fu35	破～沉舟
444	f	u	43	腐	fu43	～败
445	f	u	43	腐	fu43	豆～
446	f	u	43	輔	fu43	～导，～助
447	f	u	43	附	fu43	～近，～带
448	m	ɐu	13	無	mɐu13	没有，～中生有[文]
449	m	ɐu	21	無	mɐu21	没有，～事[白]
450	m	ɐu	21	巫	mɐu21	姓；～婆
451	m	ɐu	21	誣	mɐu21	～陷，～告
452	m	ɐu	13	武	mɐu13	～器，～术
453	m	ɐu	13	舞	mɐu13	跳～
454	m	ɐu	13	舞	mɐu13	拨弄，摆弄[白，动]
455	m	ɐu	13	侮	mɐu13	～辱
456	m	ɐu	13	鵡	mɐu13	鹦～
457	m	ɐu	43	務	mɐu43	任～，～农
458	m	ɐu	43	霧	mɐu43	大～
459	l	ɐu	35	縷	lɐu35	千丝万～
460	l	ui	13	屢	lui13	～次，～教不改
461	ʦʰ	ui	31	趨	ʦʰui31	～势
462	tsʰ	ui	35	取	tsʰui35	～钱
463	tsʰ	ui	35	娶	tsʰui35	嫁～
464	tsʰ	ui	13	趣	tsʰui13	兴～
465	ts	ui	43	聚	tsui43	～会
466	ts	ui	43	聚	tsui43	捡～（收拢）[白]
467	s	ui	31	須	sui31	必～
468	s	ɐu	31	鬚	sɐu31	胡～
469	s	ui	31	需	sui31	～要
470	tsʰ	ək	031	續	tsʰək31	连～，继～
471	ts	i	31	誅	tsi31	天～地灭
473	ts	i	31	株	tsi31	守～待兔
474	ts	i	43	駐	tsi43	～扎
475	ts	i	13	註	tsi13	～释
476	tsʰ	i	21	廚	tsʰi21	～房
478	tsʰ	i	13	柱	tsʰi13	柱子
479	ts	i	43	住	tsi43	～宿
480	tsʰ	ui	31	雛	tsʰui31	～形
481	s	ɐu	35	數	sɐu35	～落，～星星[动]
482	s	ɐu	13	數	sɐu13	～字，～学
483	ts	i	31	朱	tsi31	姓
484	ts	i	55	珠	tsi55	珍～
485	ts	i	35	主	tsi35	～人，地～
486	ts	i	13	注	tsi13	～意
487	ts	i	13	蛀	tsi13	～虫
488	ts	i	13	鑄	tsi13	～铁，～钢
489	s	y	31	樞	sy31	中～，～纽
490	s	y	31	輸	sy31	～赢
491	s	y	43	戍	sy43	～边
492	s	ʏ	31	輸	sʏ31	运～
493	s	ʏ	21	殊	sʏ21	特～
494	s	ʏ	43	豎	sʏ43	横～
495	s	ʏ	43	樹	sʏ43	～立，种～
496	j	y	21	儒	jy21	～家思想
497	j	y	13	乳	jy13	哺～，母～[文]
498	l	in	55	乳	lin55	食～（吃奶），麦～精[训]
499	k	ui	31	拘	kui31	～留
500	k	ui	43	俱	kui43	～备，～乐部
501	k	ui	43	矩	kui43	规～，～形
502	k	ui	13	句	kui13	～号
503	kʰ	ui	31	區	kʰui31	地～，～别
504	kʰ	ui	31	驅	kʰui31	先～，～动
505	k	ui	43	具	kui43	～体
506	k	ui	43	懼	kui43	恐～
507	j	i	21	愚	ji21	～蠢，～公移山
508	j	i	21	虞	ji21	姓，～姬
509	j	i	21	娛	ji21	～乐
510	j	i	13	遇	ji13	遭～，相～，～到
511	j	i	13	寓	ji13	～言；公～
512	j	i	31	迂	ji31	～回，～腐
513	j	i	31	于	ji31	姓；等～
514	j	i	31	吁	ji31	气喘～～，长～短叹
515	j	i	13	雨	ji13	落～，谷～，～水
516	j	i	13	宇	ji13	～宙
517	j	i	13	禹	ji13	大～治水
518	j	i	13	羽	ji13	～毛球
519	f	u	43	芋	fu43	芋头
520	j	i	21	逾	ji21	超过，～期
521	j	i	21	愉	ji21	～快
522	j	i	13	愈	ji13	病～
523	j	i	13	喻	ji13	比～
524	j	i	43	裕	ji43	富～
527	t	ai	13	戴	tai13	姓；～帽
528	tʰ	ui	31	胎	tʰui31	双胞～，～盘
529	tʰ	ui	21	台	tʰui21	天台
530	t	ai	13	態	tai13	～度，心～
531	t	ai	13	貸	tai13	～款
532	tʰ	ui	21	臺	tʰui21	～湾
533	tʰ	ui	21	苔	tʰui21	青～，舌～
534	tʰ	ui	21	抬	tʰui21	两个人抬
535	t	ui	43	待	tui43	等～，～人接物
536	t	ui	43	怠	tui43	～慢，～工
537	t	ui	43	殆	tui43	百战不～
538	t	ui	43	代	tui43	～替，～表
539	t	ɔi	43	逮	tɔi43	～捕
540	t	ui	43	袋	tui43	袋子
541	n	ai	13	乃	nai13	安～近；人名用字
542	n	ai	43	耐	nai43	～心
543	l	ui	21	來	lui21	过～，～去
544	ts	ui	31	災	tsui31	水～
545	ts	ui	31	栽	tsui31	种，～培
546	ts	ui	35	宰	tsui35	～相
547	ts	ui	35	載	tsui35	一年半～
548	ts	ui	13	再	tsui13	～来
549	ts	ui	43	載	tsui43	～重
550	ts	ai	31	猜	tsai31	～谜
551	tsʰ	ui	35	彩	tsʰui35	～色
552	tsʰ	ui	35	採	tsʰui35	～集
553	tsʰ	ui	35	睬	tsʰui35	理睬
554	tsʰ	ui	13	菜	tsʰui13	煮～，青～
555	tsʰ	ui	21	才	tsʰui21	人～，～气，秀～
556	tsʰ	ui	21	材	tsʰui21	材，药～，～料
557	tsʰ	ui	21	財	tsʰui21	财，发～
558	tsʰ	ui	21	裁	tsʰui21	裁，～纸，剪～
559	tsʰ	ui	21	纔	tsʰui21	刚～
560	ts	ui	43	在	tsui43	实～，现～[文]
561	tsʰ	ui	13	在	tsʰui13	存在，还～[白]
562	ts	ui	35	載	tsui35	满～而归
563	s	ui	31	腮	sui31	～腺炎，～红
564	s	ui	31	鰓	sui31	鱼鳃
565	tsʰ	ui	13	賽	tsʰui13	比～
566	k	ui	31	該	kui31	应～
567	k	ui	35	改	kui35	修～，～正
568	kʰ	ui	13	概	kʰui13	大～，～括
569	kʰ	ui	13	溉	kʰui13	灌～
570	f	ui	31	開	fui31	公～，～门
571	f	ui	35	凱	fui35	～旋
572	kʰ	ui	13	慨	kʰui13	慷～，感～
573	k	ɐt	055	咳	kɐt5	～嗽，止～糖浆
575		ui	43	礙	ui43	妨～
576	f	ui	35	海	fui35	大～
577	h	ai	21	孩	hai21	～童
578	f	ui	43	亥	fui43	辛～革命
579	ɡ	ui	31	哀	ɡui31	悲～
580		ai	31	埃	ai31	尘～，～及
581		ui	13	愛	ui13	～情；要
582	p	ui	43	貝	pui43	宝～
583	p	ui	43	貝	pui43	川～，～壳
584	pʰ	ui	43	沛	pʰui43	充～
585	t	ai	55	帶	tai55	鞋～
586	tʰ	ai	13	太	tʰai13	老～婆
587	tʰ	ai	13	泰	tʰai13	～山
588	t	ai	43	大	tai43	大小
589	n	ui	43	奈	nui43	无～，～何
590	l	ai	43	賴	lai43	依～，无～；姓
592	l	ai	13	癩	lai13	～哥（癞疮）[白]
593	tsʰ	ai	13	蔡	tsʰai13	姓
594	k	ui	13	蓋	kui13	～被[动]；盖子[名]
595	kʰ	ui	13	丐	kʰui13	～帮
596	g	ai	43	艾	gai43	姓；～滋病
597	g	ai	43	艾	gai43	艾草
598	f	ui	43	害	fui43	～人
599		ui	35	藹	ui35	和～，宋～龄
600	p	ai	13	拜	pai13	结～，礼～，～佛
601	pʰ	ai	21	排	pʰai21	～队
602	m	ai	21	埋	mai21	～伏
603	ʦ	ai	31	齋	ʦai31	食～（吃斋）
604	tsʰ	ai	21	豺	tsʰai21	～狼
605	k	ai	31	皆	kai31	～大欢喜
606	k	ai	31	階	kai31	台～，～级
607	k	ai	13	介	kai13	～绍，中～
608	k	ai	13	界	kai13	世～
609	k	ai	13	芥	kai13	～菜
610	k	ai	13	尬	kai13	尴～
612	k	ai	13	屆	kai13	第一～
613	k	ai	13	戒	kai13	～烟，猪八～
614	kʰ	ai	35	楷	kʰai35	～书，～模
615	h	ai	21	諧	hai21	和～
617	h	ai	13	械	hai13	机～
618	g	ai	31	挨	gai31	～打，～近
619	p	ai	35	擺	pai35	摇～
620	pʰ	ai	13	派	pʰai13	正～，～出所
