"繁體"	"简体"	"拼音"	"音标"	"注释"	"声"	"韵"	"调"
"式"	"式"	"sı̈4"	"sɿ˨˦"	""	"s"	"ɿ"	"˨˦"
"試"	"试"	"sı̈4"	"sɿ˨˦"	""	"s"	"ɿ"	"˨˦"
"四"	"四"	"sı̈4"	"sɿ˨˦"	""	"s"	"ɿ"	"˨˦"
"肆"	"肆"	"sı̈4"	"sɿ˨˦"	""	"s"	"ɿ"	"˨˦"
"示"	"示"	"sı̈4"	"sɿ˨˦"	""	"s"	"ɿ"	"˨˦"
"氏"	"氏"	"sı̈4"	"sɿ˨˦"	""	"s"	"ɿ"	"˨˦"
"日"	"日"	"rı̈2"	"zɿ˨˩"	""	"z"	"ɿ"	"˨˩"
"入"	"入"	"rı̈2"	"zɿ˨˩"	"性交，粗语"	"z"	"ɿ"	"˨˩"
"肏"	"肏"	"rı̈2"	"zɿ˨˩"	"白读"	"z"	"ɿ"	"˨˩"
"尿"	"尿"	"sÿ1"	"sʮ˦˥"	"催尿声"	"s"	"ʮ"	"˦˥"
"噓"	"嘘"	"sÿ1"	"sʮ˦˥"	"语气词，提醒他人保持安静"	"s"	"ʮ"	"˦˥"
"啐"	"啐"	"cÿ3"	"tsʰʮ˦˧"	"语气词，撵走人或动物"	"tsʰ"	"ʮ"	"˦˧"
"嗶"	"哔"	"bi1"	"b̥ɨ˦˥"	""	"b̥"	"ɨ"	"˦˥"
"筆"	"笔"	"bi2"	"b̥ɨ˨˩"	""	"b̥"	"ɨ"	"˨˩"
"潷"	"滗"	"bi2"	"b̥ɨ˨˩"	""	"b̥"	"ɨ"	"˨˩"
"畢"	"毕"	"bi2"	"b̥ɨ˨˩"	""	"b̥"	"ɨ"	"˨˩"
"必"	"必"	"bi2"	"b̥ɨ˨˩"	""	"b̥"	"ɨ"	"˨˩"
"鼻"	"鼻"	"bi2"	"b̥ɨ˨˩"	""	"b̥"	"ɨ"	"˨˩"
"逼"	"逼"	"bi2"	"b̥ɨ˨˩"	""	"b̥"	"ɨ"	"˨˩"
"璧"	"璧"	"bi2"	"b̥ɨ˨˩"	""	"b̥"	"ɨ"	"˨˩"
"壁"	"壁"	"bi2"	"b̥ɨ˨˩"	""	"b̥"	"ɨ"	"˨˩"
"碧"	"碧"	"bi2"	"b̥ɨ˨˩"	""	"b̥"	"ɨ"	"˨˩"
"比"	"比"	"bi3"	"b̥ɨ˦˧"	""	"b̥"	"ɨ"	"˦˧"
"匕"	"匕"	"bi3"	"b̥ɨ˦˧"	""	"b̥"	"ɨ"	"˦˧"
"彼"	"彼"	"bi3"	"b̥ɨ˦˧"	""	"b̥"	"ɨ"	"˦˧"
"閉"	"闭"	"bi4"	"b̥ɨ˨˦"	""	"b̥"	"ɨ"	"˨˦"
"箄"	"箅"	"bi4"	"b̥ɨ˨˦"	""	"b̥"	"ɨ"	"˨˦"
"蔽"	"蔽"	"bi4"	"b̥ɨ˨˦"	""	"b̥"	"ɨ"	"˨˦"
"弊"	"弊"	"bi4"	"b̥ɨ˨˦"	""	"b̥"	"ɨ"	"˨˦"
"幣"	"币"	"bi4"	"b̥ɨ˨˦"	""	"b̥"	"ɨ"	"˨˦"
"斃"	"毙"	"bi4"	"b̥ɨ˨˦"	""	"b̥"	"ɨ"	"˨˦"
"敝"	"敝"	"bi4"	"b̥ɨ˨˦"	""	"b̥"	"ɨ"	"˨˦"
"避"	"避"	"bi4"	"b̥ɨ˨˦"	""	"b̥"	"ɨ"	"˨˦"
"臂"	"臂"	"bi4"	"b̥ɨ˨˦"	"把~"	"b̥"	"ɨ"	"˨˦"
"備"	"备"	"bi4"	"b̥ɨ˨˦"	""	"b̥"	"ɨ"	"˨˦"
"被"	"被"	"bi4"	"b̥ɨ˨˦"	""	"b̥"	"ɨ"	"˨˦"
"鼻"	"鼻"	"bi4"	"b̥ɨ˨˦"	"鼻~"	"b̥"	"ɨ"	"˨˦"
"屄"	"屄"	"pi1"	"pʰɨ˦˥"	""	"pʰ"	"ɨ"	"˦˥"
"毴"	"毴"	"pi1"	"pʰɨ˦˥"	""	"pʰ"	"ɨ"	"˦˥"
"批"	"批"	"pi1"	"pʰɨ˦˥"	"~斗"	"pʰ"	"ɨ"	"˦˥"
"匹"	"匹"	"pi2"	"pʰɨ˨˩"	""	"pʰ"	"ɨ"	"˨˩"
"弼"	"弼"	"pi2"	"pʰɨ˨˩"	""	"pʰ"	"ɨ"	"˨˩"
"皮"	"皮"	"pi2"	"pʰɨ˨˩"	""	"pʰ"	"ɨ"	"˨˩"
"疲"	"疲"	"pi2"	"pʰɨ˨˩"	""	"pʰ"	"ɨ"	"˨˩"
"陂"	"陂"	"pi2"	"pʰɨ˨˩"	""	"pʰ"	"ɨ"	"˨˩"
"脾"	"脾"	"pi2"	"pʰɨ˨˩"	""	"pʰ"	"ɨ"	"˨˩"
"啤"	"啤"	"pi2"	"pʰɨ˨˩"	""	"pʰ"	"ɨ"	"˨˩"
"痺"	"痺"	"pi2"	"pʰɨ˨˩"	""	"pʰ"	"ɨ"	"˨˩"
"枇"	"枇"	"pi2"	"pʰɨ˨˩"	""	"pʰ"	"ɨ"	"˨˩"
"吡"	"吡"	"pi2"	"pʰɨ˨˩"	""	"pʰ"	"ɨ"	"˨˩"
"琵"	"琵"	"pi2"	"pʰɨ˨˩"	""	"pʰ"	"ɨ"	"˨˩"
"僻"	"僻"	"pi2"	"pʰɨ˨˩"	""	"pʰ"	"ɨ"	"˨˩"
"劈"	"劈"	"pi2"	"pʰɨ˨˩"	""	"pʰ"	"ɨ"	"˨˩"
"霹"	"霹"	"pi2"	"pʰɨ˨˩"	""	"pʰ"	"ɨ"	"˨˩"
"闢"	"辟"	"pi2"	"pʰɨ˨˩"	""	"pʰ"	"ɨ"	"˨˩"
"癖"	"癖"	"pi2"	"pʰɨ˨˩"	""	"pʰ"	"ɨ"	"˨˩"
"鄙"	"鄙"	"pi3"	"pʰɨ˦˧"	""	"pʰ"	"ɨ"	"˦˧"
"否"	"否"	"pi3"	"pʰɨ˦˧"	"臧~"	"pʰ"	"ɨ"	"˦˧"
"痞"	"痞"	"pi3"	"pʰɨ˦˧"	""	"pʰ"	"ɨ"	"˦˧"
"譬"	"譬"	"pi3"	"pʰɨ˦˧"	"~如"	"pʰ"	"ɨ"	"˦˧"
"彼"	"彼"	"pi3"	"pʰɨ˦˧"	"此起~伏"	"pʰ"	"ɨ"	"˦˧"
"庇"	"庇"	"pi3"	"pʰɨ˦˧"	"托~；~佑"	"pʰ"	"ɨ"	"˦˧"
"庇"	"庇"	"pi4"	"pʰɨ˨˦"	""	"pʰ"	"ɨ"	"˨˦"
"屁"	"屁"	"pi4"	"pʰɨ˨˦"	""	"pʰ"	"ɨ"	"˨˦"
"匕"	"匕"	"pi4"	"pʰɨ˨˦"	"~首"	"pʰ"	"ɨ"	"˨˦"
"片"	"片"	"pi4"	"pʰɨ˨˦"	"鸦~烟；鸦~花"	"pʰ"	"ɨ"	"˨˦"
"丕"	"丕"	"pi4"	"pʰɨ˨˦"	"~有，没有"	"pʰ"	"ɨ"	"˨˦"
"咪"	"咪"	"mi1"	"mᵇɨ˦˥"	""	"mᵇ"	"ɨ"	"˦˥"
"瞇"	"眯"	"mi1"	"mᵇɨ˦˥"	""	"mᵇ"	"ɨ"	"˦˥"
"微"	"微"	"mi1"	"mᵇɨ˦˥"	"小~~"	"mᵇ"	"ɨ"	"˦˥"
"奶"	"奶"	"mi1"	"mᵇɨ˦˥"	"乳房"	"mᵇ"	"ɨ"	"˦˥"
"密"	"密"	"mi2"	"mᵇɨ˨˩"	""	"mᵇ"	"ɨ"	"˨˩"
"蜜"	"蜜"	"mi2"	"mᵇɨ˨˩"	""	"mᵇ"	"ɨ"	"˨˩"
"迷"	"迷"	"mi2"	"mᵇɨ˨˩"	""	"mᵇ"	"ɨ"	"˨˩"
"謎"	"谜"	"mi2"	"mᵇɨ˨˩"	""	"mᵇ"	"ɨ"	"˨˩"
"瀰"	"弥"	"mi2"	"mᵇɨ˨˩"	""	"mᵇ"	"ɨ"	"˨˩"
"靡"	"靡"	"mi2"	"mᵇɨ˨˩"	""	"mᵇ"	"ɨ"	"˨˩"
"糜"	"糜"	"mi2"	"mᵇɨ˨˩"	""	"mᵇ"	"ɨ"	"˨˩"
"眉"	"眉"	"mi2"	"mᵇɨ˨˩"	"~毛；憨~憨眼"	"mᵇ"	"ɨ"	"˨˩"
"泌"	"泌"	"mi2"	"mᵇɨ˨˩"	""	"mᵇ"	"ɨ"	"˨˩"
"秘"	"秘"	"mi2"	"mᵇɨ˨˩"	""	"mᵇ"	"ɨ"	"˨˩"
"覓"	"觅"	"mi2"	"mᵇɨ˨˩"	""	"mᵇ"	"ɨ"	"˨˩"
"米"	"米"	"mi3"	"mᵇɨ˦˧"	""	"mᵇ"	"ɨ"	"˦˧"
"迷"	"迷"	"mi4"	"mᵇɨ˨˦"	"猫猫~，童谣音"	"mᵇ"	"ɨ"	"˨˦"
"謎"	"谜"	"mi4"	"mᵇɨ˨˦"	"猜~~"	"mᵇ"	"ɨ"	"˨˦"
"咪"	"咪"	"mi4"	"mᵇɨ˨˦"	"猫猫~，“躲猫猫”游戏中计时结束的口语信号，模仿猫叫"	"mᵇ"	"ɨ"	"˨˦"
"沕"	"沕"	"mi4"	"mᵇɨ˨˦"	""	"mᵇ"	"ɨ"	"˨˦"
"沒"	"没"	"mi4"	"mᵇɨ˨˦"	"~头；~子"	"mᵇ"	"ɨ"	"˨˦"
"低"	"低"	"di1"	"d̥ɨ˦˥"	""	"d̥"	"ɨ"	"˦˥"
"的"	"的"	"di1"	"d̥ɨ˦˥"	"文读"	"d̥"	"ɨ"	"˦˥"
"點"	"点"	"di1"	"d̥ɨ˦˥"	"~~个；一~点"	"d̥"	"ɨ"	"˦˥"
"滴"	"滴"	"di1"	"d̥ɨ˦˥"	"~~，拟声词"	"d̥"	"ɨ"	"˦˥"
"的"	"的"	"di2"	"d̥ɨ˨˩"	"目~；~确"	"d̥"	"ɨ"	"˨˩"
"滴"	"滴"	"di2"	"d̥ɨ˨˩"	""	"d̥"	"ɨ"	"˨˩"
"嫡"	"嫡"	"di2"	"d̥ɨ˨˩"	""	"d̥"	"ɨ"	"˨˩"
"笛"	"笛"	"di2"	"d̥ɨ˨˩"	""	"d̥"	"ɨ"	"˨˩"
"迪"	"迪"	"di2"	"d̥ɨ˨˩"	""	"d̥"	"ɨ"	"˨˩"
"敵"	"敌"	"di2"	"d̥ɨ˨˩"	""	"d̥"	"ɨ"	"˨˩"
"踢"	"踢"	"di2"	"d̥ɨ˨˩"	"~脚扳手"	"d̥"	"ɨ"	"˨˩"
