音標	調類	調值	字
niau	2	33	楼
niau	6	35	料
niɛn	2	33	莲
no	2	33	锣螺
non	2	33	南
non	3	42	暖
non	6	35	乱
noŋ	6	35	浪
nou	2	33	奴
nou	6	35	路露
nouʔ	7	55	鹿绿
noʔ	7	55	落[～雨]
ȵiɛn	2	33	黏严年原
ȵiɛn	3	42	染软
ȵiɛn	6	35	验念
ȵiɛnʔ	7	55	业热孽捏
ȵin	2	33	人银迎
ȵin	6	35	认
ȵinʔ	7	55	日[～头：太阳]
ȵioŋ	2	33	娘
ȵioŋ	6	35	让
ȵiou	2	33	牛
ȵiouʔ	7	55	肉
ȵioʔ	7	55	弱
ŋ	2	33	吴
ŋ	3	42	五
ŋa	2	33	牙
ŋa	3	42	哑瓦
ŋai	2	33	岩
ŋai	3	42	矮
ŋai	5	214	爱
ŋai	6	35	外
ŋan	2	33	颜
ŋan	3	42	眼孔
ŋanʔ	7	55	鸭
ŋaŋ	6	35	硬
ŋau	2	33	熬
ŋaʔ	7	55	额
ŋeʔ	7	55	额
ŋi	2	33	泥
ŋi	3	42	蚁尾
ŋi	6	35	艺义
ŋiau	3	42	藕
ŋiɛn	1	212	恩
ŋo	2	33	鹅
ŋo	6	35	饿
ŋon	1	212	安
ŋon	5	214	暗
ŋon	6	35	岸
ŋoʔ	7	55	恶
pa	3	42	把
pai	1	212	杯
pai	3	42	摆
pai	5	214	拜
pan	1	212	班
pan	3	42	板
pan	5	214	扮办
panʔ	7	55	八
pau	1	212	包
pau	3	42	宝饱
paʔ	7	55	百
pe	3	42	扁
pən	3	42	本
peʔ	7	55	北
pi	1	212	碑
pi	3	42	比
pi	5	214	贝
piaŋ	3	42	饼
piau	3	42	表
piaʔ	7	55	壁
piɛn	3	42	扁
piɛn	5	214	变
pin	1	212	冰兵
pin	3	42	饼
pinʔ	7	55	笔
piʔ	7	55	憋逼
pon	1	212	搬
pon	5	214	半
ponʔ	7	55	拨
poŋ	1	212	帮
poŋ	3	42	绑
poŋ	5	214	棒
poʔ	7	55	剥
pu	5	214	布
sa	1	212	沙杉衫
sa	2	33	蛇
sa	5	214	晒
sa	6	35	射
san	1	212	三山
san	3	42	伞
sanʔ	7	55	杀
saŋ	1	212	生声兄
sau	1	212	烧
sau	3	42	嫂
saʔ	7	55	石
sɛn	1	212	参僧生
sɛn	2	33	纯
sɛn	3	42	省
sɛn	5	214	扇
sɛn	6	35	善
sən	1	212	深身孙熏升声
sən	2	33	神辰纯
sən	6	35	顺剩
sɛnʔ	7	55	血
sənʔ	7	55	十实失食[天狗～月：月食]
səŋ	1	212	松
səŋ	5	214	送宋
seʔ	7	55	舌设虱塞色
so	3	42	锁所
son	1	212	酸闩
son	3	42	闪[霍～：闪电]
son	5	214	数算
sonʔ	7	55	刷
soŋ	1	212	霜伤双
soŋ	3	42	尝
soŋ	6	35	上
sou	3	42	手
sou	5	214	数
sou	6	35	寿
soʔ	7	55	索勺缩
sɿ	1	212	师丝
sɿ	2	33	时
sɿ	3	42	死使
sɿ	5	214	世四试式
sɿ	6	35	柿事市
ta	3	42	打
tai	5	214	带
tan	1	212	单
tan	3	42	胆
tanʔ	7	55	搭跌
tau	1	212	刀
tɕʮ	5	214	剧
tɕi	1	212	鸡饥
tɕi	3	42	几嘴
tɕi	5	214	寄记醉季
tɕia	3	42	姐
tɕia	5	214	借
tɕiaŋ	3	42	井
tɕiaŋ	5	214	镜
tɕiau	1	212	交焦
tɕiau	3	42	走
tɕiau	5	214	叫
tɕiaʔ	7	55	甲
tɕiɛn	1	212	尖间奸肩
tɕiɛn	3	42	剪
tɕiɛn	5	214	监剑建见
tɕiɛnʔ	7	55	接节截结
tɕin	1	212	金筋经
tɕin	3	42	紧井
tɕin	5	214	浸进劲俊镜
tɕinʔ	7	55	急吉
tɕioŋ	1	212	浆姜江
tɕioŋ	3	42	讲
tɕiou	3	42	酒九
tɕiouʔ	7	55	菊足
tɕioʔ	7	55	脚角
tɕiʔ	7	55	吸积击
tən	1	212	蹲
tən	3	42	墩
təŋ	1	212	东冬
təŋ	3	42	懂
təŋ	5	214	冻
teʔ	7	55	得
tʮ	1	212	猪
tʮ	3	42	举主
tʮ	5	214	句
tʮʔ	7	55	竹粥烛
ti	1	212	低
ti	5	214	递对
tiaŋ	1	212	钉
tiau	3	42	鸟抖
tiau	5	214	钓
tiɛn	1	212	灯
tiɛn	3	42	点典等
tiɛn	5	214	店垫凳
tiɛnʔ	7	55	跌
tin	3	42	顶
tiou	1	212	丢
to	1	212	多
to	3	42	躲
ton	1	212	端
ton	3	42	短
toŋ	3	42	党
tou	3	42	赌
tsa	1	212	抓
tsa	5	214	闸
tsanʔ	7	55	扎窄
tsaŋ	1	212	争
tsaŋ	3	42	耕整
tsau	3	42	早找
tsau	5	214	灶罩照
tsaʔ	7	55	闸摘
tsɛn	1	212	砖
tsɛn	3	42	转卷
tsɛn	5	214	占战
tsən	1	212	针均军贞
tsən	3	42	准整
tsən	5	214	镇震证正
tsɛnʔ	7	55	折决
tsənʔ	7	55	汁卒橘
tsəŋ	1	212	中终
tsəŋ	3	42	肿
tsəŋ	5	214	粽种
tseʔ	7	55	侧窄
tso	3	42	左
tsoŋ	1	212	张装桩
tsoŋ	5	214	壮章
tsou	1	212	租州
tsoʔ	7	55	作桌
tsɿ	1	212	租知资
tsɿ	3	42	紫纸指子
tsɿ	5	214	做制
tsɿʔ	7	55	织
u	1	212	箍乌
u	2	33	吴
u	3	42	苦武
u	5	214	裤
u	6	35	雾
uai	1	212	歪
uai	5	214	块快
uaiʔ	7	55	挖
uan	1	212	弯
uan	2	33	顽还
uan	6	35	万
uanʔ	7	55	阔活袜
uaŋ	1	212	绕
uaŋ	2	33	横
ue	2	33	茄
ui	2	33	垂危围
ui	3	42	尾
ui	6	35	卫柜位味胃
un	1	212	温
un	2	33	蚊
un	5	214	困
un	6	35	问
unʔ	7	55	物
uo	5	214	课
uon	1	212	宽
uon	2	33	完
uon	3	42	碗
uon	6	35	换
uonʔ	7	55	阔
uoŋ	2	33	黄狂王
uoŋ	3	42	网
uoŋ	6	35	旺
uoʔ	7	55	握
uʔ	7	55	哭屋
y	2	33	余儿
y	3	42	吕雨[落～；□/dzanʔD1/～：淋雨]耳
y	6	35	芋裕二
yɛn	1	212	冤
yɛn	2	33	圆园
yɛn	3	42	远
yɛn	6	35	院
yɛnʔ	7	55	越□[马～仂：虹]
yn	2	33	匀云
yn	3	42	永
yn	6	35	任闰运
ynʔ	7	55	入
yʔ	7	55	玉
