漢字	聲部	韻部	聲	韻	調類
䥢	他皆	春公	tʰ	uŋ	5
讀	他皆	春公入	tʰ	uʔ	8
黷	他皆	春公入	tʰ	uʔ	8
秃	他皆	春公入	tʰ	uʔ	8
鐓	他皆	春公入	tʰ	uʔ	8
鵚	他皆	春公入	tʰ	uʔ	8
𧳌	他皆	春公入	tʰ	uʔ	8
䛢	他皆	春公入	tʰ	uʔ	8
讟	他皆	春公入	tʰ	uʔ	8
冢	他皆	銀恭	tʰ	yŋ	2
塚	他皆	銀恭	tʰ	yŋ	2
通	他皆	東江	tʰ	øŋ	1
讀	他皆	東江入	tʰ	øʔ	8
蔟	曾之	溝勾	ts	eu	3
宗	曾之	春公	ts	uŋ	1
踪	曾之	春公	ts	uŋ	1
蹤	曾之	春公	ts	uŋ	1
逡	曾之	春公	ts	uŋ	1
緵	曾之	春公	ts	uŋ	1
𨺡	曾之	春公	ts	uŋ	1
鬉	曾之	春公	ts	uŋ	1
鏦	曾之	春公	ts	uŋ	1
𥓻	曾之	春公	ts	uŋ	1
㨑	曾之	春公	ts	uŋ	1
稯	曾之	春公	ts	uŋ	1
磫	曾之	春公	ts	uŋ	1
瘲	曾之	春公	ts	uŋ	1
㼻	曾之	春公	ts	uŋ	1
𨍈	曾之	春公	ts	uŋ	1
𨲇	曾之	春公	ts	uŋ	1
𪖁	曾之	春公	ts	uŋ	1
鬷	曾之	春公	ts	uŋ	1
豵	曾之	春公	ts	uŋ	1
椶	曾之	春公	ts	uŋ	1
騣	曾之	春公	ts	uŋ	1
嵏	曾之	春公	ts	uŋ	1
翪	曾之	春公	ts	uŋ	1
艐	曾之	春公	ts	uŋ	1
總	曾之	春公	ts	uŋ	2
搃	曾之	春公	ts	uŋ	2
准	曾之	春公	ts	uŋ	2
準	曾之	春公	ts	uŋ	2
隼	曾之	春公	ts	uŋ	2
傯	曾之	春公	ts	uŋ	2
𩮰	曾之	春公	ts	uŋ	2
純	曾之	春公	ts	uŋ	2
俊	曾之	春公	ts	uŋ	3
鎸	曾之	春公	ts	uŋ	3
竣	曾之	春公	ts	uŋ	3
峻	曾之	春公	ts	uŋ	3
浚	曾之	春公	ts	uŋ	3
駿	曾之	春公	ts	uŋ	3
汌	曾之	春公	ts	uŋ	3
圳	曾之	春公	ts	uŋ	3
濬	曾之	春公	ts	uŋ	3
隽	曾之	春公	ts	uŋ	3
䝋	曾之	春公	ts	uŋ	3
𧱭	曾之	春公	ts	uŋ	3
懏	曾之	春公	ts	uŋ	3
晙	曾之	春公	ts	uŋ	3
畯	曾之	春公	ts	uŋ	3
睃	曾之	春公	ts	uŋ	3
賐	曾之	春公	ts	uŋ	3
餕	曾之	春公	ts	uŋ	3
脧	曾之	春公	ts	uŋ	3
陖	曾之	春公	ts	uŋ	3
鵔	曾之	春公	ts	uŋ	3
卒	曾之	春公入	ts	uʔ	4
猝	曾之	春公入	ts	uʔ	4
咄	曾之	春公入	ts	uʔ	4
蔟	曾之	春公入	ts	uʔ	4
踤	曾之	春公入	ts	uʔ	4
䱣	曾之	春公入	ts	uʔ	4
䯿	曾之	春公入	ts	uʔ	4
崇	曾之	春公	ts	uŋ	5
叢	曾之	春公	ts	uŋ	5
樷	曾之	春公	ts	uŋ	5
菆	曾之	春公	ts	uŋ	5
藂	曾之	春公	ts	uŋ	5
𥵫	曾之	春公	ts	uŋ	5
潨	曾之	春公	ts	uŋ	5
賨	曾之	春公	ts	uŋ	5
爜	曾之	春公	ts	uŋ	5
𩅃	曾之	春公	ts	uŋ	5
𩞉	曾之	春公	ts	uŋ	5
徖	曾之	春公	ts	uŋ	5
悰	曾之	春公	ts	uŋ	5
𦇱	曾之	春公	ts	uŋ	5
誴	曾之	春公	ts	uŋ	5
琮	曾之	春公	ts	uŋ	5
族	曾之	春公入	ts	uʔ	8
蔟	曾之	春公入	ts	uʔ	8
鷟	曾之	春公入	ts	uʔ	8
鏃	曾之	春公入	ts	uʔ	8
𡻬	曾之	春公入	ts	uʔ	8
餕	時授	歡官	s	uaŋ	1
餕	出	歡官	tsʰ	uaŋ	1
睃	時授	歌高	s	ɔ	1
純	時授	春公	s	uŋ	5
咄	曾之	光入	ts	uoʔ	4
鏦	出	春公	tsʰ	uŋ	1
傯	出	春公	tsʰ	uŋ	1
鎸	曾之	釭綱	ts	ouŋ	3
椶	曾之	東江	ts	øŋ	1
齈	日女	春公	n	uŋ	1
𨑊	日女	春公	n	uŋ	2
癑	日女	春公	n	uŋ	2
冗	日女	春公	n	uŋ	2
戇	日女	春公	n	uŋ	3
農	日女	春公	n	uŋ	5
辳	日女	春公	n	uŋ	5
穠	日女	春公	n	uŋ	5
濃	日女	春公	n	uŋ	5
膿	日女	春公	n	uŋ	5
噥	日女	春公	n	uŋ	5
醲	日女	春公	n	uŋ	5
𪆯	日女	春公	n	uŋ	5
𪒬	日女	春公	n	uŋ	5
襛	日女	春公	n	uŋ	5
儂	日女	春公	n	uŋ	5
𩅽	日女	春公	n	uŋ	5
蕽	日女	春公	n	uŋ	5
𩟊	日女	春公	n	uŋ	5
憹	日女	春公	n	uŋ	5
欁	日女	春公	n	uŋ	5
閏	日女	春公	n	uŋ	7
𪼙	日女	春公	n	uŋ	7
𨬔	日女	春公	n	uŋ	7
韌	日女	春公	n	uŋ	7
𧖩	日女	春公入	n	uʔ	8
衄	日女	春公入	n	uʔ	8
䘐	日女	春公入	n	uʔ	8
𧖩	日女	銀恭入	n	yʔ	4
衄	日女	銀恭入	n	yʔ	4
儂	日女	釭綱	n	ouŋ	2
冗	日女	釭綱	n	ouŋ	2
戇	蒙美	釭綱	m	ouŋ	3
儂	日女	東江	n	øŋ	3
儂	日女	東江	n	øŋ	5
膿	日女	東江	n	øŋ	5
漱	時授	溝勾	s	eu	3
巡	鶯亦	香姜		ioŋ	5
涑	時授	嘉佳入	s	ak	4
嵩	時授	春公	s	uŋ	1
崧	時授	春公	s	uŋ	1
鬆	時授	春公	s	uŋ	1
詢	時授	春公	s	uŋ	1
洵	時授	春公	s	uŋ	1
珣	時授	春公	s	uŋ	1
殉	時授	春公	s	uŋ	1
狥	時授	春公	s	uŋ	1
徇	時授	春公	s	uŋ	1
凇	時授	春公	s	uŋ	1
菘	時授	春公	s	uŋ	1
蜙	時授	春公	s	uŋ	1
笋	時授	春公	s	uŋ	2
筍	時授	春公	s	uŋ	2
恂	時授	春公	s	uŋ	2
悚	時授	春公	s	uŋ	2
竦	時授	春公	s	uŋ	2
聳	時授	春公	s	uŋ	2
𢱤	時授	春公	s	uŋ	2
㨚	時授	春公	s	uŋ	2
毥	時授	春公	s	uŋ	2
荀	時授	春公	s	uŋ	2
駷	時授	春公	s	uŋ	2
䙕	時授	春公	s	uŋ	2
㩳	時授	春公	s	uŋ	2
𡾼	時授	春公	s	uŋ	2
駨	時授	春公	s	uŋ	2
㰬	時授	春公	s	uŋ	2
舜	時授	春公	s	uŋ	3
瞬	時授	春公	s	uŋ	3
宋	時授	春公	s	uŋ	3
俕	時授	春公	s	uŋ	3
送	時授	春公	s	uŋ	3
䴄	時授	春公	s	uŋ	3
橓	時授	春公	s	uŋ	3
束	時授	春公入	s	uʔ	4
速	時授	春公入	s	uʔ	4
觫	時授	春公入	s	uʔ	4
𣫎	時授	春公入	s	uʔ	4
樕	時授	春公入	s	uʔ	4
蔌	時授	春公入	s	uʔ	4
漱	時授	春公入	s	uʔ	4
涑	時授	春公入	s	uʔ	4
遫	時授	春公入	s	uʔ	4
恤	時授	春公入	s	uʔ	4
卹	時授	春公入	s	uʔ	4
戌	時授	春公入	s	uʔ	4
俶	時授	春公入	s	uʔ	4
賉	時授	春公入	s	uʔ	4
𧐒	時授	春公入	s	uʔ	4
誎	時授	春公入	s	uʔ	4
𪋗	時授	春公入	s	uʔ	4
餗	時授	春公入	s	uʔ	4
銊	時授	春公入	s	uʔ	4
𩳒	時授	春公入	s	uʔ	4
藗	時授	春公入	s	uʔ	4
⿰爿朮	時授	春公入	s	uʔ	4
訹	時授	春公入	s	uʔ	4
⿰彳束	時授	春公入	s	uʔ	4
𣨤	時授	春公入	s	uʔ	4
