漢字	聲部	韻部	聲	韻	調類
闊	氣悉	歡官入	kʰ	uaʔ	4
圜	氣悉	歡官	kʰ	uaŋ	5
環	氣悉	歡官	kʰ	uaŋ	5
鐶	氣悉	歡官	kʰ	uaŋ	5
還	氣悉	歡官	kʰ	uaŋ	5
圈	氣悉	歡官	kʰ	uaŋ	5
瑗	氣悉	歡官	kʰ	uaŋ	5
𡑡	氣悉	歡官	kʰ	uaŋ	5
𪍺	氣悉	歡官	kʰ	uaŋ	5
闤	氣悉	歡官	kʰ	uaŋ	5
寰	氣悉	歡官	kʰ	uaŋ	5
還	非風	歡官	h	uaŋ	5
寰	非風	歡官	h	uaŋ	5
圈	氣悉	光	kʰ	uoŋ	1
還	時授	光	s	uoŋ	5
圜	鶯亦	光		uoŋ	5
瑗	鶯亦	光		uoŋ	7
短	低聲	催	t	oi	2
端	低聲	歡官	t	uaŋ	1
煓	低聲	歡官	t	uaŋ	1
鍴	低聲	歡官	t	uaŋ	1
貒	低聲	歡官	t	uaŋ	1
䝎	低聲	歡官	t	uaŋ	1
𩤚	低聲	歡官	t	uaŋ	1
𧤗	低聲	歡官	t	uaŋ	1
短	低聲	歡官	t	uaŋ	2
斷	低聲	歡官	t	uaŋ	2
斷	低聲	歡官	t	uaŋ	3
鍛	低聲	歡官	t	uaŋ	3
斷	低聲	歡官	t	uaŋ	7
奪	低聲	歡官入	t	uaʔ	8
鍛	他皆	歡官	tʰ	uaŋ	3
潘	波	歡官	pʰ	uaŋ	1
磻	波	歡官	pʰ	uaŋ	1
攀	波	歡官	pʰ	uaŋ	1
扳	波	歡官	pʰ	uaŋ	1
𢬵	波	歡官	pʰ	uaŋ	1
坢	波	歡官	pʰ	uaŋ	2
判	波	歡官	pʰ	uaŋ	3
泮	波	歡官	pʰ	uaŋ	3
盻	波	歡官	pʰ	uaŋ	3
盼	波	歡官	pʰ	uaŋ	3
冸	波	歡官	pʰ	uaŋ	3
牉	波	歡官	pʰ	uaŋ	3
𩢔	波	歡官	pʰ	uaŋ	3
詊	波	歡官	pʰ	uaŋ	3
潑	波	歡官	pʰ	uaŋ	4
伴	波	歡官	pʰ	uaŋ	7
怑	波	歡官	pʰ	uaŋ	7
磻	非風	歡官	h	uaŋ	1
𢬵	非風	歡官	h	uaŋ	1
彖	他皆	歡官	tʰ	uaŋ	3
煅	他皆	歡官	tʰ	uaŋ	3
脱	他皆	歡官入	tʰ	uaʔ	4
侻	他皆	歡官入	tʰ	uaʔ	4
捝	他皆	歡官入	tʰ	uaʔ	4
𤿫	他皆	歡官入	tʰ	uaʔ	4
團	他皆	歡官	tʰ	uaŋ	5
慱	他皆	歡官	tʰ	uaŋ	5
漙	他皆	歡官	tʰ	uaŋ	5
摶	他皆	歡官	tʰ	uaŋ	5
剸	他皆	歡官	tʰ	uaŋ	5
鏄	他皆	歡官	tʰ	uaŋ	5
檲	他皆	歡官	tʰ	uaŋ	5
鷒	他皆	歡官	tʰ	uaŋ	5
𩅂	他皆	歡官	tʰ	uaŋ	5
團	低聲	光	t	uoŋ	5
僎	時授	天堅	s	ieŋ	2
鑽	曾之	歡官	ts	uaŋ	1
纂	曾之	歡官	ts	uaŋ	2
饌	曾之	歡官	ts	uaŋ	7
撰	曾之	歡官	ts	uaŋ	7
譔	曾之	歡官	ts	uaŋ	7
僎	曾之	歡官	ts	uaŋ	7
纂	出	歡官	tsʰ	uaŋ	3
鑽	曾之	釭綱	ts	ouŋ	2
撰	時授	釭綱	s	ouŋ	2
暖	日女	歡官	n	uaŋ	2
煖	日女	歡官	n	uaŋ	2
渜	日女	歡官	n	uaŋ	2
餪	日女	歡官	n	uaŋ	2
暖	日女	釭綱	n	ouŋ	2
煖	日女	釭綱	n	ouŋ	2
悛	時授	歡官	s	uaŋ	1
㝈	時授	歡官	s	uaŋ	2
悛	出	歡官	tsʰ	uaŋ	1
悛	時授	釭綱	s	ouŋ	1
彎	鶯亦	歡官		uaŋ	1
灣	鶯亦	歡官		uaŋ	1
𠠪	鶯亦	歡官		uaŋ	1
䘎	鶯亦	歡官		uaŋ	1
晚	鶯亦	歡官		uaŋ	2
挽	鶯亦	歡官		uaŋ	2
輓	鶯亦	歡官		uaŋ	2
宛	鶯亦	歡官		uaŋ	2
碗	鶯亦	歡官		uaŋ	2
莞	鶯亦	歡官		uaŋ	2
睆	鶯亦	歡官		uaŋ	2
浣	鶯亦	歡官		uaŋ	2
婉	鶯亦	歡官		uaŋ	2
晥	鶯亦	歡官		uaŋ	2
蜿	鶯亦	歡官		uaŋ	2
䯘	鶯亦	歡官		uaŋ	2
脘	鶯亦	歡官		uaŋ	2
琬	鶯亦	歡官		uaŋ	2
剜	鶯亦	歡官		uaŋ	2
踠	鶯亦	歡官		uaŋ	2
䩊	鶯亦	歡官		uaŋ	2
穵	鶯亦	歡官入		uaʔ	4
捾	鶯亦	歡官入		uaʔ	4
⿰⿱穴口刂	鶯亦	歡官入		uaʔ	4
萬	鶯亦	歡官		uaŋ	7
换	鶯亦	歡官		uaŋ	7
贎	鶯亦	歡官		uaŋ	7
㸘	鶯亦	歡官		uaŋ	7
曰	鶯亦	歡官入		uaʔ	8
襪	鶯亦	歡官入		uaʔ	8
靺	鶯亦	歡官入		uaʔ	8
𩈙	鶯亦	歡官入		uaʔ	8
韈	鶯亦	歡官入		uaʔ	8
浣	語鳥	歡官	ŋ	uaŋ	2
睆	語鳥	歡官	ŋ	uaŋ	2
蜿	鶯亦	光		uoŋ	1
曰	鶯亦	光入		uoʔ	8
晚	蒙美	光	m	uoŋ	2
樠	蒙美	歡官	m	uaŋ	1
滿	蒙美	歡官	m	uaŋ	2
抹	蒙美	歡官入	m	uaʔ	4
妺	蒙美	歡官入	m	uaʔ	4
𢗿	蒙美	歡官入	m	uaʔ	4
𤿗	蒙美	歡官入	m	uaʔ	4
沫	蒙美	歡官入	m	uaʔ	4
暪	蒙美	歡官	m	uaŋ	5
鰻	蒙美	歡官	m	uaŋ	5
饅	蒙美	歡官	m	uaŋ	5
墁	蒙美	歡官	m	uaŋ	5
鏝	蒙美	歡官	m	uaŋ	5
槾	蒙美	歡官	m	uaŋ	5
䝡	蒙美	歡官	m	uaŋ	5
慲	蒙美	歡官	m	uaŋ	5
鬘	蒙美	歡官	m	uaŋ	5
鄤	蒙美	歡官	m	uaŋ	5
蹣	蒙美	歡官	m	uaŋ	5
𧱼	蒙美	歡官	m	uaŋ	5
𩆓	蒙美	歡官	m	uaŋ	5
末	蒙美	歡官入	m	uaʔ	8
砞	蒙美	歡官入	m	uaʔ	8
𩑷	蒙美	歡官入	m	uaʔ	8
𩿣	蒙美	歡官入	m	uaʔ	8
䱅	蒙美	歡官入	m	uaʔ	8
沫	蒙美	杯盃	m	uoi	3
滿	蒙美	光	m	uoŋ	5
阮	語鳥	歡官	ŋ	uaŋ	2
𩪲	語鳥	歡官入	ŋ	uaʔ	4
頑	語鳥	歡官	ŋ	uaŋ	5
玩	語鳥	歡官	ŋ	uaŋ	7
翫	語鳥	歡官	ŋ	uaŋ	7
阮	鶯亦	光		uoŋ	2
餐	出	歡官	tsʰ	uaŋ	1
飱	出	歡官	tsʰ	uaŋ	1
湌	出	歡官	tsʰ	uaŋ	1
銓	出	歡官	tsʰ	uaŋ	1
筌	出	歡官	tsʰ	uaŋ	1
荃	出	歡官	tsʰ	uaŋ	1
痊	出	歡官	tsʰ	uaŋ	1
佺	出	歡官	tsʰ	uaŋ	1
喘	出	歡官	tsʰ	uaŋ	2
遄	出	歡官	tsʰ	uaŋ	2
湍	出	歡官	tsʰ	uaŋ	2
䵎	出	歡官	tsʰ	uaŋ	2
爨	出	歡官	tsʰ	uaŋ	3
⿺辶竄	出	歡官	tsʰ	uaŋ	3
𥍬	出	歡官	tsʰ	uaŋ	3
篡	出	歡官	tsʰ	uaŋ	3
竄	出	歡官	tsʰ	uaŋ	3
攛	出	歡官	tsʰ	uaŋ	3
𢸥	出	歡官	tsʰ	uaŋ	3
鑹	出	歡官	tsʰ	uaŋ	3
遄	時授	光	s	uoŋ	5
歡	非風	歡官	h	uaŋ	1
懽	非風	歡官	h	uaŋ	1
驩	非風	歡官	h	uaŋ	1
燔	非風	歡官	h	uaŋ	1
旛	非風	歡官	h	uaŋ	1
翻	非風	歡官	h	uaŋ	1
幡	非風	歡官	h	uaŋ	1
飜	非風	歡官	h	uaŋ	1
璠	非風	歡官	h	uaŋ	1
𥐓	非風	歡官	h	uaŋ	1
番	非風	歡官	h	uaŋ	1
蕃	非風	歡官	h	uaŋ	1
籓	非風	歡官	h	uaŋ	1
藩	非風	歡官	h	uaŋ	1
蟠	非風	歡官	h	uaŋ	1
膰	非風	歡官	h	uaŋ	1
讙	非風	歡官	h	uaŋ	1
反	非風	歡官	h	uaŋ	2
返	非風	歡官	h	uaŋ	2
飯	非風	歡官	h	uaŋ	2
唤	非風	歡官	h	uaŋ	3
奂	非風	歡官	h	uaŋ	3
焕	非風	歡官	h	uaŋ	3
涣	非風	歡官	h	uaŋ	3
痪	非風	歡官	h	uaŋ	3
梵	非風	歡官	h	uaŋ	3
汎	非風	歡官	h	uaŋ	3
泛	非風	歡官	h	uaŋ	3
販	非風	歡官	h	uaŋ	3
瑍	非風	歡官	h	uaŋ	3
釩	非風	歡官	h	uaŋ	3
𨥧	非風	歡官	h	uaŋ	3
魬	非風	歡官	h	uaŋ	3
䀀	非風	歡官	h	uaŋ	3
𥁔	非風	歡官	h	uaŋ	3
𦝝	非風	歡官	h	uaŋ	3
氾	非風	歡官	h	uaŋ	3
愌	非風	歡官	h	uaŋ	3
𥠅	非風	歡官	h	uaŋ	3
䟪	非風	歡官	h	uaŋ	3
法	非風	歡官入	h	uaʔ	4
灋	非風	歡官入	h	uaʔ	4
發	非風	歡官入	h	uaʔ	4
髮	非風	歡官入	h	uaʔ	4
𩬊	非風	歡官入	h	uaʔ	4
𥎰	非風	歡官入	h	uaʔ	4
驋	非風	歡官入	h	uaʔ	4
嬛	非風	歡官	h	uaŋ	5
繁	非風	歡官	h	uaŋ	5
蘩	非風	歡官	h	uaŋ	5
凡	非風	歡官	h	uaŋ	5
煩	非風	歡官	h	uaŋ	5
横	非風	歡官	h	uaŋ	5
樊	非風	歡官	h	uaŋ	5
礬	非風	歡官	h	uaŋ	5
桓	非風	歡官	h	uaŋ	5
汜	非風	歡官	h	uaŋ	5
颿	非風	歡官	h	uaŋ	5
䀀	非風	歡官	h	uaŋ	5
絙	非風	歡官	h	uaŋ	5
𡘍	非風	歡官	h	uaŋ	5
范	非風	歡官	h	uaŋ	7
範	非風	歡官	h	uaŋ	7
幻	非風	歡官	h	uaŋ	7
患	非風	歡官	h	uaŋ	7
犯	非風	歡官	h	uaŋ	7
宦	非風	歡官	h	uaŋ	7
緩	非風	歡官	h	uaŋ	7
豢	非風	歡官	h	uaŋ	7
伐	非風	歡官入	h	uaʔ	8
筏	非風	歡官入	h	uaʔ	8
閥	非風	歡官入	h	uaʔ	8
垡	非風	歡官入	h	uaʔ	8
𥩱	非風	歡官入	h	uaʔ	8
䇅	非風	歡官入	h	uaʔ	8
罸	非風	歡官入	h	uaʔ	8
乏	非風	歡官入	h	uaʔ	8
罰	非風	歡官入	h	uaʔ	8
猾	非風	歡官入	h	uaʔ	8
滑	非風	歡官入	h	uaʔ	8
𤇰	非風	歡官入	h	uaʔ	8
疺	非風	歡官入	h	uaʔ	8
𧽌	非風	歡官入	h	uaʔ	8
飯	邊	光	p	uoŋ	7
滑	求	釭綱入	k	ouʔ	4
滑	求	釭綱入	k	ouʔ	8
𠔠	邊	聲正入	p	iaʔ	4
老	柳	歌高	l	ɔ	2
恅	柳	歌高	l	ɔ	2
䇭	柳	歌高	l	ɔ	2
栳	柳	歌高	l	ɔ	2
潦	柳	歌高	l	ɔ	2
橑	柳	歌高	l	ɔ	2
𤶁	柳	歌高	l	ɔ	2
𩉙	柳	歌高	l	ɔ	2
羅	柳	歌高	l	ɔ	5
囉	柳	歌高	l	ɔ	5
𤄷	柳	歌高	l	ɔ	5
蘿	柳	歌高	l	ɔ	5
鑼	柳	歌高	l	ɔ	5
㗦	柳	歌高	l	ɔ	5
哰	柳	歌高	l	ɔ	5
儸	柳	歌高	l	ɔ	5
𠈭	柳	歌高	l	ɔ	5
㿚	柳	歌高	l	ɔ	5
癆	柳	歌高	l	ɔ	5
𤎤	柳	歌高	l	ɔ	5
䜎	柳	歌高	l	ɔ	5
勞	柳	歌高	l	ɔ	5
憥	柳	歌高	l	ɔ	5
𨣃	柳	歌高	l	ɔ	5
醪	柳	歌高	l	ɔ	5
牢	柳	歌高	l	ɔ	5
𢭂	柳	歌高	l	ɔ	5
𠔠	柳	歌高	l	ɔ	5
騾	柳	歌高	l	ɔ	5
簩	柳	歌高	l	ɔ	5
蟧	柳	歌高	l	ɔ	5
犖	柳	歌高	l	ɔ	5
賿	柳	歌高	l	ɔ	5
欏	柳	歌高	l	ɔ	5
䝁	柳	歌高	l	ɔ	5
䜮	柳	歌高	l	ɔ	5
邏	柳	歌高	l	ɔ	7
鐒	柳	歌高	l	ɔ	7
撈	柳	歌高	l	ɔ	7
勞	柳	歌高	l	ɔ	7
栳	柳	歌高	l	ɔ	7
𤶁	柳	歌高	l	ɔ	7
髝	柳	歌高	l	ɔ	7
澇	柳	歌高	l	ɔ	7
絡	柳	歌高入	l	ɔk	8
𦃆	柳	歌高入	l	ɔk	8
犖	柳	釭綱入	l	ouʔ	8
絡	柳	釭綱入	l	ouʔ	8
老	柳	郊交	l	au	7
𠔠	出	橋嬝入	tsʰ	iok	4
簸	邊	歪乖	p	uai	3
褒	邊	歌高	p	ɔ	1
堡	邊	歌高	p	ɔ	1
菠	邊	歌高	p	ɔ	1
鄱	邊	歌高	p	ɔ	1
皤	邊	歌高	p	ɔ	1
保	邊	歌高	p	ɔ	2
寶	邊	歌高	p	ɔ	2
鴇	邊	歌高	p	ɔ	2
褓	邊	歌高	p	ɔ	2
葆	邊	歌高	p	ɔ	2
𢉣	邊	歌高	p	ɔ	2
𩭼	邊	歌高	p	ɔ	2
報	邊	歌高	p	ɔ	3
颶	邊	歌高	p	ɔ	3
𠴸	邊	歌高	p	ɔ	3
播	邊	歌高	p	ɔ	3
譒	邊	歌高	p	ɔ	3
蕔	邊	歌高	p	ɔ	3
簸	邊	歌高	p	ɔ	3
㒲	邊	歌高入	p	ɔk	4
婆	邊	歌高	p	ɔ	5
蔢	邊	歌高	p	ɔ	5
袍	邊	歌高	p	ɔ	5
⿰金婆	邊	歌高	p	ɔ	5
齙	邊	歌高	p	ɔ	5
抱	邊	歌高	p	ɔ	7
懪	邊	歌高	p	ɔ	7
𢥑	邊	歌高	p	ɔ	7
虣	邊	歌高	p	ɔ	7
𧲐	邊	歌高	p	ɔ	7
𧭤	邊	歌高	p	ɔ	7
菢	邊	歌高	p	ɔ	7
䤖	邊	歌高	p	ɔ	7
萡	邊	歌高入	p	ɔk	8
薄	邊	歌高入	p	ɔk	8
箔	邊	歌高入	p	ɔk	8
舶	邊	歌高入	p	ɔk	8
泊	邊	歌高入	p	ɔk	8
穙	邊	歌高入	p	ɔk	8
菠	波	歌高	pʰ	ɔ	1
颶	邊	杯盃	p	uoi	3
菢	邊	孤姑	p	u	7
舶	邊	燈庚入	p	eiʔ	8
薄	邊	釭綱入	p	ouʔ	8
萡	邊	釭綱入	p	ouʔ	8
泊	邊	釭綱入	p	ouʔ	8
箔	邊	釭綱入	p	ouʔ	8
高	求	歌高	k	ɔ	1
篙	求	歌高	k	ɔ	1
槔	求	歌高	k	ɔ	1
蒿	求	歌高	k	ɔ	1
膏	求	歌高	k	ɔ	1
糕	求	歌高	k	ɔ	1
餻	求	歌高	k	ɔ	1
𩝝	求	歌高	k	ɔ	1
鼛	求	歌高	k	ɔ	1
羔	求	歌高	k	ɔ	1
臯	求	歌高	k	ɔ	1
㟸	求	歌高	k	ɔ	1
歌	求	歌高	k	ɔ	1
哥	求	歌高	k	ɔ	1
櫜	求	歌高	k	ɔ	1
皋	求	歌高	k	ɔ	1
薅	求	歌高	k	ɔ	1
稿	求	歌高	k	ɔ	2
稾	求	歌高	k	ɔ	2
槀	求	歌高	k	ɔ	2
舸	求	歌高	k	ɔ	2
皜	求	歌高	k	ɔ	2
縞	求	歌高	k	ɔ	2
𩫓	求	歌高	k	ɔ	2
杲	求	歌高	k	ɔ	2
箇	求	歌高	k	ɔ	3
個	求	歌高	k	ɔ	3
个	求	歌高	k	ɔ	3
誥	求	歌高	k	ɔ	3
郜	求	歌高	k	ɔ	3
𧠼	求	歌高	k	ɔ	3
閣	求	歌高入	k	ɔk	4
擱	求	歌高入	k	ɔk	4
袼	求	歌高入	k	ɔk	4
㾸	求	歌高	k	ɔ	5
皜	非風	歌高	h	ɔ	7
柯	氣悉	歌高	kʰ	ɔ	1
珂	氣悉	歌高	kʰ	ɔ	1
哿	氣悉	歌高	kʰ	ɔ	1
苛	氣悉	歌高	kʰ	ɔ	1
軻	氣悉	歌高	kʰ	ɔ	1
牁	氣悉	歌高	kʰ	ɔ	1
可	氣悉	歌高	kʰ	ɔ	2
考	氣悉	歌高	kʰ	ɔ	2
攷	氣悉	歌高	kʰ	ɔ	2
洘	氣悉	歌高	kʰ	ɔ	2
拷	氣悉	歌高	kʰ	ɔ	2
搞	氣悉	歌高	kʰ	ɔ	2
𥬯	氣悉	歌高	kʰ	ɔ	2
⿰可犮	氣悉	歌高	kʰ	ɔ	2
靠	氣悉	歌高	kʰ	ɔ	3
坷	氣悉	歌高	kʰ	ɔ	3
𣹇	氣悉	歌高	kʰ	ɔ	3
魺	氣悉	歌高	kʰ	ɔ	3
犒	氣悉	歌高	kʰ	ɔ	3
熇	氣悉	歌高	kʰ	ɔ	3
搞	氣悉	歌高	kʰ	ɔ	3
䎋	氣悉	歌高	kʰ	ɔ	3
𧋓	氣悉	歌高	kʰ	ɔ	3
多	低聲	歌高	t	ɔ	1
刀	低聲	歌高	t	ɔ	1
忉	低聲	歌高	t	ɔ	1
朷	低聲	歌高	t	ɔ	1
魛	低聲	歌高	t	ɔ	1
釖	低聲	歌高	t	ɔ	1
舠	低聲	歌高	t	ɔ	1
𧢵	低聲	歌高	t	ɔ	1
禱	低聲	歌高	t	ɔ	2
擣	低聲	歌高	t	ɔ	2
搗	低聲	歌高	t	ɔ	2
島	低聲	歌高	t	ɔ	2
倒	低聲	歌高	t	ɔ	2
㿒	低聲	歌高	t	ɔ	2
到	低聲	歌高	t	ɔ	3
菿	低聲	歌高	t	ɔ	3
卓	低聲	歌高入	t	ɔk	4
桌	低聲	歌高入	t	ɔk	4
棹	低聲	歌高入	t	ɔk	4
𩭟	低聲	歌高入	t	ɔk	4
趠	低聲	歌高入	t	ɔk	4
陶	低聲	歌高	t	ɔ	5
淘	低聲	歌高	t	ɔ	5
掏	低聲	歌高	t	ɔ	5
醄	低聲	歌高	t	ɔ	5
鋾	低聲	歌高	t	ɔ	5
翿	低聲	歌高	t	ɔ	5
檮	低聲	歌高	t	ɔ	5
燾	低聲	歌高	t	ɔ	5
濤	低聲	歌高	t	ɔ	5
鼗	低聲	歌高	t	ɔ	5
萄	低聲	歌高	t	ɔ	5
陀	低聲	歌高	t	ɔ	5
陁	低聲	歌高	t	ɔ	5
駝	低聲	歌高	t	ɔ	5
馱	低聲	歌高	t	ɔ	5
沱	低聲	歌高	t	ɔ	5
酡	低聲	歌高	t	ɔ	5
跎	低聲	歌高	t	ɔ	5
迱	低聲	歌高	t	ɔ	5
咷	低聲	歌高	t	ɔ	5
逃	低聲	歌高	t	ɔ	5
鮀	低聲	歌高	t	ɔ	5
迯	低聲	歌高	t	ɔ	5
䰿	低聲	歌高	t	ɔ	5
𤵚	低聲	歌高	t	ɔ	5
裪	低聲	歌高	t	ɔ	5
鞉	低聲	歌高	t	ɔ	5
鼧	低聲	歌高	t	ɔ	5
䬞	低聲	歌高	t	ɔ	5
綯	低聲	歌高	t	ɔ	5
䍫	低聲	歌高	t	ɔ	5
𩕯	低聲	歌高	t	ɔ	5
道	低聲	歌高	t	ɔ	7
導	低聲	歌高	t	ɔ	7
稻	低聲	歌高	t	ɔ	7
蹈	低聲	歌高	t	ɔ	7
惰	低聲	歌高	t	ɔ	7
盗	低聲	歌高	t	ɔ	7
悼	低聲	歌高	t	ɔ	7
翿	低聲	歌高	t	ɔ	7
穛	低聲	歌高入	t	ɔk	8
斫	低聲	歌高入	t	ɔk	8
𢧉	低聲	歌高入	t	ɔk	8
咷	他皆	歌高	tʰ	ɔ	5
陶	鶯亦	燒嬌		ieu	5
卓	低聲	釭綱入	t	ouʔ	4
斫	出	釭綱入	tsʰ	ouʔ	4
斫	出	釭綱入	tsʰ	ouʔ	8
棹	曾之	郊交	ts	au	7
悼	曾之	郊交	ts	au	7
破	波	歪乖	pʰ	uai	3
波	波	歌高	pʰ	ɔ	1
紴	波	歌高	pʰ	ɔ	1
坡	波	歌高	pʰ	ɔ	1
玻	波	歌高	pʰ	ɔ	1
陂	波	歌高	pʰ	ɔ	1
頗	波	歌高	pʰ	ɔ	2
叵	波	歌高	pʰ	ɔ	2
尀	波	歌高	pʰ	ɔ	2
𩑼	波	歌高	pʰ	ɔ	2
𩢘	波	歌高	pʰ	ɔ	2
破	波	歌高	pʰ	ɔ	3
粕	波	歌高入	pʰ	ɔk	4
粕	波	釭綱入	pʰ	ouʔ	4
拖	他皆	歌高	tʰ	ɔ	1
叨	他皆	歌高	tʰ	ɔ	1
夲	他皆	歌高	tʰ	ɔ	1
弢	他皆	歌高	tʰ	ɔ	1
䑬	他皆	歌高	tʰ	ɔ	1
𦩹	他皆	歌高	tʰ	ɔ	1
韜	他皆	歌高	tʰ	ɔ	1
縚	他皆	歌高	tʰ	ɔ	1
慆	他皆	歌高	tʰ	ɔ	1
𩹴	他皆	歌高	tʰ	ɔ	1
鞱	他皆	歌高	tʰ	ɔ	1
滔	他皆	歌高	tʰ	ɔ	1
瑫	他皆	歌高	tʰ	ɔ	1
幍	他皆	歌高	tʰ	ɔ	1
絛	他皆	歌高	tʰ	ɔ	1
𠬢	他皆	歌高	tʰ	ɔ	1
䤾	他皆	歌高	tʰ	ɔ	1
饕	他皆	歌高	tʰ	ɔ	1
號	他皆	歌高	tʰ	ɔ	1
𩥅	他皆	歌高	tʰ	ɔ	1
討	他皆	歌高	tʰ	ɔ	2
套	他皆	歌高	tʰ	ɔ	3
唾	他皆	歌高	tʰ	ɔ	3
托	他皆	歌高入	tʰ	ɔk	4
拓	他皆	歌高入	tʰ	ɔk	4
𣔦	他皆	歌高入	tʰ	ɔk	4
拆	他皆	歌高入	tʰ	ɔk	4
𧘐	他皆	歌高入	tʰ	ɔk	4
籜	他皆	歌高入	tʰ	ɔk	4
桃	他皆	歌高	tʰ	ɔ	5
𣑯	他皆	歌高	tʰ	ɔ	5
洮	他皆	歌高	tʰ	ɔ	5
號	非風	歌高	h	ɔ	5
號	非風	歌高	h	ɔ	7
拆	出	燈庚入	tsʰ	eiʔ	4
托	他皆	釭綱入	tʰ	ouʔ	4
籜	他皆	釭綱入	tʰ	ouʔ	4
拖	他皆	過朱	tʰ	uo	1
坐	時授	催	s	oi	7
遭	曾之	歌高	ts	ɔ	1
左	曾之	歌高	ts	ɔ	2
棗	曾之	歌高	ts	ɔ	2
𨚰	曾之	歌高	ts	ɔ	2
𧲭	曾之	歌高	ts	ɔ	2
佐	曾之	歌高	ts	ɔ	3
做	曾之	歌高	ts	ɔ	3
造	曾之	歌高	ts	ɔ	3
竈	曾之	歌高	ts	ɔ	3
作	曾之	歌高入	ts	ɔk	4
曹	曾之	歌高	ts	ɔ	5
嘈	曾之	歌高	ts	ɔ	5
漕	曾之	歌高	ts	ɔ	5
艚	曾之	歌高	ts	ɔ	5
螬	曾之	歌高	ts	ɔ	5
鏪	曾之	歌高	ts	ɔ	5
㜖	曾之	歌高	ts	ɔ	5
𣉿	曾之	歌高	ts	ɔ	5
蓸	曾之	歌高	ts	ɔ	5
𦋿	曾之	歌高	ts	ɔ	5
槽	曾之	歌高	ts	ɔ	5
𣩒	曾之	歌高	ts	ɔ	5
㷮	曾之	歌高	ts	ɔ	5
坐	曾之	歌高	ts	ɔ	7
座	曾之	歌高	ts	ɔ	7
皀	曾之	歌高	ts	ɔ	7
造	曾之	歌高	ts	ɔ	7
䟶	曾之	歌高	ts	ɔ	7
佐	曾之	歌高	ts	ɔ	7
皂	曾之	歌高	ts	ɔ	7
鑿	曾之	歌高入	ts	ɔk	8
槽	時授	歌高	s	ɔ	5
鏪	時授	歌高	s	ɔ	5
竈	鶯亦	歌高		ɔ	3
造	出	歌高	tsʰ	ɔ	3
作	曾之	釭綱入	ts	ouʔ	4
鑿	曾之	釭綱入	ts	ouʔ	8
鑿	出	東江入	tsʰ	øʔ	8
㷮	曾之	郊交	ts	au	1
竈	曾之	郊交	ts	au	3
𢜸	日女	歌高	n	ɔ	1
峱	日女	歌高	n	ɔ	1
腦	日女	歌高	n	ɔ	2
瑙	日女	歌高	n	ɔ	2
擾	日女	歌高	n	ɔ	2
娜	日女	歌高	n	ɔ	2
硇	日女	歌高	n	ɔ	2
惱	日女	歌高	n	ɔ	2
𤇱	日女	歌高	n	ɔ	2
𤷻	日女	歌高	n	ɔ	2
𩬷	日女	歌高	n	ɔ	2
𩛋	日女	歌高	n	ɔ	2
𩫺	日女	歌高	n	ɔ	2
袲	日女	歌高	n	ɔ	2
儺	日女	歌高	n	ɔ	5
㰙	日女	歌高	n	ɔ	5
𪐀	日女	歌高	n	ɔ	5
挪	日女	歌高	n	ɔ	5
哪	日女	歌高	n	ɔ	5
懦	日女	歌高	n	ɔ	7
愞	日女	歌高	n	ɔ	7
糯	日女	歌高	n	ɔ	7
穤	日女	歌高	n	ɔ	7
㖠	日女	歌高	n	ɔ	7
擾	鶯亦	燒嬌		ieu	2
峱	日女	郊交	n	au	5
些	時授	雞圭	s	ie	1
莎	時授	催	s	oi	1
傞	曾之	奇迦	ts	ia	1
艘	時授	溝勾	s	eu	2
𩮚	時授	歌高	s	ɔ	1
𠹏	時授	歌高	s	ɔ	1
鮻	時授	歌高	s	ɔ	1
繅	時授	歌高	s	ɔ	1
䤬	時授	歌高	s	ɔ	1
莎	時授	歌高	s	ɔ	1
臊	時授	歌高	s	ɔ	1
颾	時授	歌高	s	ɔ	1
㮻	時授	歌高	s	ɔ	1
梭	時授	歌高	s	ɔ	1
誜	時授	歌高	s	ɔ	1
唆	時授	歌高	s	ɔ	1
𥇇	時授	歌高	s	ɔ	1
娑	時授	歌高	s	ɔ	1
桫	時授	歌高	s	ɔ	1
𠋺	時授	歌高	s	ɔ	1
騷	時授	歌高	s	ɔ	1
慅	時授	歌高	s	ɔ	1
搔	時授	歌高	s	ɔ	1
瘙	時授	歌高	s	ɔ	1
溞	時授	歌高	s	ɔ	1
簑	時授	歌高	s	ɔ	1
艘	時授	歌高	s	ɔ	1
鏁	時授	歌高	s	ɔ	1
傞	時授	歌高	s	ɔ	1
些	時授	歌高	s	ɔ	1
挱	時授	歌高	s	ɔ	1
嫂	時授	歌高	s	ɔ	2
鎖	時授	歌高	s	ɔ	2
鏁	時授	歌高	s	ɔ	2
瑣	時授	歌高	s	ɔ	2
嗩	時授	歌高	s	ɔ	2
𨧪	時授	歌高	s	ɔ	2
䐝	時授	歌高	s	ɔ	2
𥔭	時授	歌高	s	ɔ	2
𢱡	時授	歌高	s	ɔ	2
𩹳	時授	歌高	s	ɔ	2
燥	時授	歌高	s	ɔ	3
躁	時授	歌高	s	ɔ	3
噪	時授	歌高	s	ɔ	3
譟	時授	歌高	s	ɔ	3
𡎮	時授	歌高	s	ɔ	3
髞	時授	歌高	s	ɔ	3
鐰	時授	歌高	s	ɔ	3
氉	時授	歌高	s	ɔ	3
操	時授	歌高	s	ɔ	3
