汉字	注释	音标
端		ton1
短		ton3
脱		tʰo7
团		tʰon2
断	折~	tʰon6
缎		tʰon6
夺		tʰo6
暖		non3
乱		lon6
捋		lo7=/lɑ7-
酸		son1
算		son5
官		kuan1
管		kuan3
灌		kuan5
括		kuɑ7
宽		kʰuan1
阔		kʰuɛ7
欢		kʰuan1
完		uan2
丸		uan2
换		uan6
活		uɑ6
碗		uan3
顽		uan2
猾		uɑ6
挖		uɑ7
闩		son1
刷		ɕyɑ7
关		kuan1
惯		kuan5
刮		kuɑ7
还	归~	uan2
弯		uan1
全		tɕʰiɛn2
绝		tɕʰiɛ6
雪		ɕiɛ7
转	~身	tɕyan3
传	~达	tɕʰyan2
砖		tɕyan1
穿		tɕʰyan1
船		tɕʰyan2
说	小~	ɕyɑ7
软		nyan3
卷	~起	tɕyan3
圈	圆~	tɕʰyan1
拳		tɕʰyan1
权		tɕʰyan2
圆		lan2
缘		lan2
反		fan3
发		fɑ7
翻		fan1
烦		fan2
饭		fan3
罚		fɑ6
万		uan
袜		uɑ7
劝		tɕʰyan5
元		lan2
原		lan2
月		lɑ7
冤		lan1
远		lan3
决		tɕyɑ7
缺		tɕʰyɑ7
血		ɕyɑ7
县		ɕiɛn6
穴		ɕiɛ7
吞		tʰən1
根		kən1
痕		xən2
恨		xən6
恩		ŋən1
宾		pin1
笔		pi7
匹		pʰi7
贫		pʰin2
民		min2
敏		min3
密		mi7
蜜		mi7
麟		lin2
栗		li7
进		tɕin5
亲		tɕʰin1
七		tɕʰi7
尽		tɕʰin6
新		ɕin1
信		ɕin5
镇		tsən5
陈		tsʰən2
真		tsən1
质		tsɿ7
神		sən2
实		sɿ6
身		sən1
失		sɿ7
肾		sən6
人		nən2=/nin2-
忍		nən3=/ŋən3
认		nin6
日		ʅ7
巾		tɕin1
紧		tɕin3
银		nin2
因		in1
印		in5
一		i1
引		in3
斤		tɕin1
筋		tɕin1
勤		tɕʰin2
近		tɕʰin6
本		pən3
不		pu7
盆		pʰən2
笨		pən5
门		mən2
墩		tən1
顿		tən5
突		tʰəu7
嫩		nən6
论		lən6
尊		tsən1
卒		tsəu7
村		tsʰən1
寸		tsʰən5
孙		sən1
滚		kuən3
骨		ku7
綑		kʰuən3
困		kʰuən5
昏		xəun1
忽		xu7
混		xuən6
温		uən1
律		li7
遵		tsən1
笋		sən3
榫		sən3
准		tɕyn3
春		tɕʰyn1
出		tɕʰy7
顺		ʃyn6
纯		ɕyn2
闰		nən6
橘		tɕy7
菌		tɕyn5
允		lən3
分		fən1
粪		fən5
坟		fən2
佛		fu6
蚊		uən2=/mən2-
问		uən6
物		u7
军		tɕyn1
屈		tɕʰy7
裙		tɕʰyn2
熏		ɕyn1
勋		ɕyn1
训		ɕyn5
云		lən2
运		lən6
帮		pɑŋ1
博		po7
薄		pʰo6
忙		mɑŋ2
莫		mo7
膜		mo7
摸		mo1
党		tɑŋ3
汤		tʰɑŋ1
托		tʰo7
堂		tʰɑŋ2
糖		tʰɑŋ2
荡		tɑŋ5
郎		lɑŋ2
狼		lɑŋ2
浪		lɑŋ6
落		lo7
葬		tsɑŋ5
作		tso7
仓		tsʰɑŋ1
凿		tsʰo6
桑		sɑŋ1
钢		kɑŋ1
各		ko7
糠		kʰɑŋ1
抗		kʰɑŋ5
行	银~	xɑŋ2
航		xɑŋ2
恶	善~	ŋo7
娘		niɑŋ2
凉		liɑŋ2
粮		liɑŋ2
两	~个	liɑŋ3
两	几~	liɑŋ3
浆		tɕiɑŋ1
蒋		tɕiɑŋ3
酱		tɕiɑŋ5
雀		tɕʰio7
枪		tɕʰiɑŋ1
抢		tɕʰiɑŋ3
墙		tɕʰiɑŋ2
箱		ɕiɑŋ1
想		ɕiɑŋ3
削		ɕio7
象		ɕiɑŋ6
像	~不~	ɕiɑŋ6
张		tsɑŋ1
长	生~	tsɑŋ3
帐		tsɑŋ5
着	穿~	tso7
着	睡~	tsʰo7
长	~短	tsʰɑŋ2
肠		tsʰɑŋ2
丈		tsʰɑŋ6
装		tsɑŋ1
壮		tsɑŋ5
疮		tsʰɑŋ1
床		tsʰɑŋ2
霜		sɑŋ1
爽		sɑŋ3
章		tsɑŋ1
掌		tsɑŋ3
昌		tsʰɑŋ1
厂		tsʰɑŋ3
唱		tsʰɑŋ5
瓤		nɑŋ2
让		nɑŋ6
弱		nɔ7
伤		sɑŋ1
常		sɑŋ2
尝		sɑŋ2
上	~山	sɑŋ6
上	~面	sɑŋ6
姜	生~	tɕiɑŋ1
脚		tɕio7
强	~大	tɕʰiɑŋ2
香		ɕiɑŋ1
乡		ɕiɑŋ1
响		ɕiɑŋ3
向		ɕiɑŋ5
秧		iɑŋ1
约		io7
羊		iɑŋ2
杨		iɑŋ2
痒		iɑŋ3
样		iɑŋ5
光		kuɑŋ1
郭		ko7
荒		xuɑŋ1
谎		xuɑŋ3
黄		xuɑŋ2=/uɑŋ2-
方		fɑŋ1
放		fɑŋ5
纺		fɑŋ3
房		fɑŋ2
网		uɑŋ3=/mɑŋ3-
望		uɑŋ6=/mɑŋ6-
筐		kʰuɑŋ1
狂		kʰuɑŋ2
王		uɑŋ2
绑		pɑŋ3
剥		po7
桌		tso7
戳		tsʰo7
捉		tso7
窗		tsʰɑŋ1
双		ɕyɑŋ1
江		tɕiɑŋ1
港		kɑŋ3
角		ko7
壳		kʰo7
巷		xɑŋ6
学		ɕio6=/xo6-
北		pɛ7
墨		mɛ7
灯		tən1
等		tən3
得		tɛ7
藤		tʰən2
特		tʰɛ6
能		nən2
层		tsʰɔn2
贼		tsʰɛ6
肯		kʰən3
刻		kʰɛ7
黑		xɛ7
冰		pin1
逼		pi7
力		li7
熄		ɕi7
直		tsʰɿ7
色		sɛ7
蒸		tsən1
证		tsən5
织		tsɿ7
称	一杆~	tsʰən5
绳		tsʰən2
食		sɿ6
升		sən1
识		sɿ7
极		tɕʰi7
兴	~旺	ɕin1
兴	高~	ɕin5
应	~当	in1
应	~对	in5=/ŋən5-
蝇		in2
国		kuɛ7
百		pɛ7
伯		pɛ7
彭		pʰən2
白		pʰɛ6
猛		məŋ3
孟		məŋ6
撑		tsʰən1
拆		tsʰɛ7
生		sən1
省		sən3
格		kɛ7
坑		kʰən1
客		kʰɛ7
硬		ŋən6
额		ŋɛ7
吓		xɛ7
行	~走	ɕin2
棚		pʰəŋ2
麦		mɛ7
脉		mɛ7
摘		tsɛ7
争		tsən1
隔		kɛ7
兵		pin1
柄		pin3
平		pʰin2
病		pʰin6
明		min2
命		min6
镜		tɕin5
迎		in2
逆		ni7
影		in3
饼		pin3
名		min2
领		lin3
岭		lin3
精		tɕin1
井		tɕin3
脊		tɕi7
清		tɕʰin1
请		tɕʰin3
情		tɕʰin2
晴		tɕʰin2
静		tɕʰin6
姓		ɕin5
惜		ɕi7
程		tsʰən2
正		tsən5
只	一~鸡	tsɿ7
尺		tsʰɿ7
声		sən1
成		tsʰən2
石		sɿ6
颈		tɕin3
轻		tɕʰin1
赢		in2
壁		pi7
瓶		pʰin2
钉	铁~	tin1
滴		ti7
听	~见	tʰin1
踢		tʰi7
停		tʰin2
定		tʰin6
笛		tʰi6
敌		ti7
灵		lin2
青		tɕʰin1
星		ɕin1
醒		ɕin3
锡		ɕi7
经		tɕin1
形		ɕin2
矿		kuɑŋ5
横	~直	xuən2=/uən2-
轰		/
兄		ɕiuŋ1
荣		iuŋ1
永		lən3
倾		tɕʰin1
琼		in2
营		in2
役		ʅ7
篷		pʰəŋ2
蒙		məŋ2
木		mo7
东		təŋ1
懂		təŋ3
冻		təŋ5
通		tʰəŋ1
桶		tʰəŋ3
痛		tʰəŋ5
铜		tʰəŋ2
动		tʰəŋ6
洞		tʰəŋ6
