例字	蓉城（客）	蓉城（土）	老洲
蘇	su31	su31	sɐu31
塑	su33	su33	sɐu44
姑	ku31	ku31	ku31
箍	ku33	kʰu31	kʰu44
鼓	ku223b	ku213	ku313
顧	ku33	ku33	ku44
枯	kʰu31	kʰu31	kʰu31
苦	kʰu223b	kʰu213	kʰu313
褲	kʰu33	kʰu33	kʰu44
吳	u223a	u223	u323
吾	u223b	u213	u313
五	u223b	u213	u313
誤	u33	u33	u44
呼	xu31	xu33	xu31
滸	xu223b	fv̩21	xu313
虎	xu223b	xu213	xu313
乎	xu31	xu33	xu31
湖	xu223a	xu223	xu323
瓠	xu33	xu33	xu44
烏	u31	u31	u31
部	pu33	pu33	pu44
廬	lu223a	lu223	lɐu323
驢	y223a	ʒy223	ly323
旅	y223a	y213	y313
濾	y33	y33	y44
蛆	tɕʰi31	tɕʰi31	tɕʰi31
狙	tsu223b	tsu213	tɕy44
徐	tɕʰy223a	tɕʰy223	tʰy323
嶼	y223b	y223	y313
緒	ɕy33	ʃy33	ɕy44
豬	tɕy31	tʃy31	ty31
除	tɕʰy223a	tʃʰy223	tʰy323
苧	ȵiən33	y33	ty31
阻	tsu223b	tsu213	tsɐu313
初	tsʰu31	tsʰu31	tsʰɐu31
楚	tsʰɘɯᵘ223b	tsʰu213	tsʰɐu313
鋤	tsʰu223a	tsʰu223	tsʰɐu323
助	tsu33	tsu33	tsɐu44
梳	su31	su31	sɐu31
所	so223b	so213	so313
諸	tɕy31	tʃy31	ty31
煮	tɕy223b	tʃy213	ty313
杵	tsʰu223b	tɕʰy223	tʰy313
處	tɕʰy33	tʃʰy33	tʰy44
書	ɕy31	ʃy31	ɕy31
暑	ɕy223b	ʃy213	ɕy313
鼠	tɕʰy223b	tʃʰy213	tʰy313
恕	su33	ʃy33	ɕy44
墅	ɕy223b	ʃy33	ɕy44
薯	ɕy223b	ʃy213	ɕy313
汝	y223a	y213	y313
居	tɕy31	tʃy33	ty31
擧	tɕy223b	tʃy213	ty313
鋸	tɕy33	tʃy33	ty44
鋸	kɛ33	kɛ33	kɛ44
墟	ɕy31	ʃy31	ɕy31
去	tɕʰy33	tɕʰy33	tʰy44
去	tɕʰi33	tɕʰi33	tʰi44
渠	tɕy33	tʃʰy223	tʰy323
巨	tɕy33	tʃy33	ty44
魚	y223a	y223	y323
語	y223b	y213	y313
禦	y33	y33	y44
虛	ɕy31	ʃy31	ɕy31
許	ɕy223b	ɕy213	ɕy313
於	y223a	y223	y323
余	y223a	y223	y323
與	y223b	y213	y313
預	y33	y33	y44
膚	fv̩31	fv̩31	fv̩31
斧	fv̩223b	fv̩213	fv̩313
付	fv̩33	fv̩33	fv̩44
孵	pu33	pu33	fv̩44
撫	fv̩223b	fv̩213	fv̩313
訃	pʰu33	pʰuəʔ5	pʰu44
赴	fv̩33	fv̩33	fv̩44
扶	fv̩223a	fv̩223	fv̩323
父	fv̩33	fv̩33	fv̩44
釜	fv̩223b	fv̩213	fv̩313
附	fv̩33	fv̩33	fv̩44
巫	u31	u31	u31
無	u223a	u223	u323
武	u223b	u213	u313
霧	u33	u33	u44
屢	y223b	lei213	li313
趨	tɕʰy31	tʃʰy31	tʰy31
娶	tɕʰy223b	tʃʰy213	tɕʰi313
趣	tɕʰy33	tʃʰy33	tɕʰi44
聚	tɕy33	tʃy33	ty44
鬚	ɕy31	ʃy31	ɕy31
蛛	tɕy31	tʃy31	ty31
拄	tɕy223b	tɕy213	ty313
住	tɕy33	tʃy33	ty44
廚	tɕʰy223a	tʃʰy223	tʰy323
雛	tɕʰy223a	tsʰu223	tʰy323
數	sɘɯᵘ223b	su213	sɐu313
數	sɘɯᵘ33	su33	sɐu44
朱	tɕy31	tʃy31	ty31
主	tɕy223b	tʃy213	ty313
蛀	tɕy33	tɕy33	ty44
樞	ɕy31	tʃʰy31	ɕy31
輸	ɕy31	ʃy31	ɕy31
戍	su33	ʃy33	ɕy44
豎	ɕy33	ʃy33	ɕy44
樹	ɕy33	ʃy33	ɕy44
儒	y223a	y223	y323
乳	y223b	y213	y313
擩	tɕʰy31	tɕʰy31	tɕʰy31
拘	tɕy31	tʃy31	ty31
矩	tɕy223b	tʃy213	ty313
句	tɕy33	tʃy33	ty44
區	tɕʰy31	tʃʰy31	tʰy31
瞿	tɕʰy223a	tɕʰy223	tʰy323
具	tɕy33	tʃy33	ty44
愚	y223a	y223	y323
遇	y33	y33	y44
于	y223a	y223	y323
雨	y223b	y213	y313
芋	y33	y33	y44
愉	y33	y33	y44
愈	y33	y33	y44
裕	y33	y33	y44
廢	fei33	fei33	fei44
杮	pʰei33	pʰi213	pʰi313
肺	fei33	fei33	fei44
穢	xuei33	xuei33	xuei44
杯	pei31	pei31	pei31
輩	pei33	pei33	pei44
胚	pʰei31	pʰei31	pʰi31
配	pʰei33	pʰei33	pʰei44
賠	pʰei223a	pʰei223	pʰei323
倍	pei33	pei33	pei44
佩	pʰei33	pʰei33	pʰei44
媒	mei223a	mei223	mei323
每	mei223b	mei213	mei313
妹	mei33	mei33	mei44
堆	tei31	tei31	tei31
對	tei33	tei33	tei44
推	tei31	tʰei31	tʰei31
腿	tʰei223b	tʰei213	tʰei313
退	tʰei33	tʰei33	tʰei44
隊	tei33	tei33	tei44
餒	lei223b	lei213	lei313
內	lei33	lei33	lei44
雷	lei223a	lei223	lei323
蕾	lei223b	lei213	lei313
累	lei33	lei33	lei44
催	tsʰei31	tsʰei31	tsʰei31
摧	tsʰei31	tsʰuei31	tsʰei31
罪	tsei33	tsei33	tsei44
碎	sei33	sei33	sei44
恢	xuei31	xuei31	xuei31
盔	kʰuei31	kuei31	kʰuei31
魁	kʰuei223a	kʰuei223	kʰuei323
桅	uei223a	uei223	uei323
磑	iẽ223a	ȵiẽ223	liẽ313
灰	xuei31	xuei31	xuei31
悔	xuei223b	xuei213	xuei313
賄	xuei33	xuei33	xuei44
回	xuei223a	xuei223	xuei323
匯	xuei33	xuei33	xuei44
潰	kʰuei33	kʰuei33	kʰuei44
煨	uei31	uei31	uei31
脆	tsʰei33	tsʰei33	tsʰei44
歲	sei33	sei33	sei44
彗	xuei33	xuei33	xuei44
綴	tɕyei33	ʒyei33	tyei44
贅	tɕyei33	tʃyei33	tyei44
稅	ɕyei33	ʃyei33	ɕyei44
衛	uei33	uei33	uei44
銳	ɹuei33	ʒyei33	yei44
厲	ȵi33	ȵi33	li44
祭	tɕi33	tɕi33	tɕi44
滯	tsʰɿ33	tsɿ33	tsɿ44
制	tsɿ223b	tsɿ33	tsɿ44
世	sɿ33	sɿ33	sɿ44
誓	sɿ33	sɿ33	sɿ44
蔽	pi33	pei33	pi44
幣	pei33	pei33	pei44
斃	pi33	pi33	pi44
藝	i33	i33	i44
蝸	uo31	ᵘo33	uo31
拐	kuɛ223b	kuɛ213	kuɛ313
歪	uɛ31	uɛ31	uɛ31
畫	xua33	xua33	xua44
擺	pɛ223b	pɛ213	pɛ313
派	pʰɛ33	pʰɛ33	pʰɛ44
罷	pa33	pa33	pa44
稗	pɛ33	pɛ33	pɛ44
買	mɛ223b	mɛ213	mɛ313
賣	mɛ33	mɛ33	mɛ44
奶	lɛ223b	lɛ213	lɛ313
債	tsɛ33	tsɛ33	tsɛ44
釵	tsʰɛ31	tsʰɛ31	tsʰɛ31
柴	tsʰɛ223a	tsʰɛ223	tsʰɛ323
篩	sɛ31	sɛ31	sɛ31
曬	sɛ33	sɛ33	sɛ44
佳	tɕia31	tɕia31	tɕia31
解	kɛ223b	kɛ213	kɛ313
解	tɕiɛ223b	tɕiɛ213	kɛ313
懈	ɕiɛ33	ɕiɛ33	ɕiɛ44
捱	ŋɛ223a	ŋɛ223	ŋɛ323
蟹	xɛ223b	xɛ213	xɛ313
娃	ua31	ua31	ua323
矮	ŋɛ223b	ŋɛ213	ŋɛ313
隘	ŋɛ33	iəʔ5	ŋɛ44
乖	kuɛ31	kuɛ31	kuɛ31
怪	kuɛ33	kuɛ33	kuɛ44
懷	xuɛ223a	xuɛ223	xuɛ323
壞	xuɛ33	xuɛ33	xuɛ44
拜	pɛ33	pɛ33	pɛ44
排	pʰɛ223a	pʰɛ223	pʰɛ323
憊	pei33	pei33	pei44
埋	mɛ223a	mɛ223	mɛ323
齋	tsɛ31	tsɛ31	tsɛ31
差	tsʰɛ31	tsʰɛ31	tsʰɛ31
豺	tsʰɛ223a	tsʰɛ223	tsʰɛ323
偕	ɕi33	ɕiɛ223	ɕiɛ323
皆	tɕiɛ31	tɕiɛ31	tɕiɛ31
街	kɛ31	kɛ31	kɛ31
階	tɕiɛ31	tɕiɛ31	tɕiɛ31
界	tɕiɛ33	tɕiɛ33	tɕiɛ44
疥	tɕiɛ33	tɕiəʔ5	tɕieʔ5
芥	kɛ33	kɛ33	kɛ44
揩	kʰɛ31	kʰɛ31	kʰɛ31
楷	kʰɛ223b	kʰɛ213	kʰɛ313
諧	ɕiɛ223a	ɕiɛ223	ɕiɛ323
鞋	xɛ223a	xɛ223	xɛ44
駭	xɛ33	xeʔ5	xɛ44
械	tɕiɛ33	tɕiɛ33	ɕiɛ313
掛	kua33	kua33	kua44
快	kʰuɛ33	kʰuɛ33	kʰuɛ44
話	xua33	xua33	xua44
邁	mɛ33	mɛ33	mɛ44
寨	tsɛ33	tsɛ33	tsɛ44
閨	kuei31	kuei31	kuei31
桂	kuei33	kuei33	kuei44
攜	ɕi223a	tɕʰi223	ɕi323
惠	xuei33	xuei33	xuei44
蓖	pi31	pei33	pi44
閉	pi33	pi33	pi44
批	pʰi31	pʰi31	pʰi31
陛	pi33	pi33	pi44
迷	mi223a	mi223	mi323
米	mi223b	mi213	mi313
低	ti31	ti31	ti31
底	ti223b	ti213	ti313
帝	ti33	ti33	ti44
蒂	ti33	tiəʔ5	tiəʔ5
梯	tʰi31	tʰi31	tʰi31
體	tʰi223b	tʰi213	tʰi313
剃	tʰi33	tʰi33	tʰi44
題	tʰi223a	tʰi223	tʰi323
弟	ti33	ti33	ti44
泥	ȵi223a	ȵi223	li323
犂	ȵi223a	ȵi223	li323
禮	ȵi223b	ȵi213	li313
麗	ȵi33	ȵi33	li44
擠	tɕi223b	tɕi213	tɕi313
濟	tɕi33	tɕi33	tɕi44
妻	tɕʰi31	tɕʰi31	tɕʰi31
砌	tɕʰi33	tɕʰi33	tɕʰi44
齊	tɕʰi223a	tɕʰi223	tɕʰi323
薺	tɕi33	tɕi31	tɕi44
劑	tɕi33	tɕi33	tɕi44
西	ɕi31	ɕi31	ɕi31
洗	ɕi223b	ɕi213	ɕi313
細	ɕi33	ɕi33	ɕi44
雞	tɕi31	tɕi31	tɕi31
計	tɕi33	tɕi33	tɕi44
髻	tɕiəʔ5	tɕiəʔ5	tɕiəʔ5
溪	tɕʰi223b	tɕʰi31	tɕʰi31
契	tɕʰi33	tɕʰi33	tɕʰi44
倪	ȵi223a	ȵi223	li323
系	ɕi33	ɕi33	ɕi44
戴	tɛ33	tɛ33	tɛ44
胎	tʰɛ31	tʰɛ31	tʰɛ31
態	tʰɛ33	tʰɛ33	tʰɛ44
貸	tɛ33	tɛ33	tɛ44
抬	tʰɛ223a	tʰɛ223	tʰɛ323
待	tɛ33	tɛ33	tɛ44
袋	tɛ33	tɛ33	tɛ44
逮	tɛ223b	tɛ213	tɛ313
乃	lɛ33	lɛ213	lɛ313
耐	lɛ33	lɛ33	lɛ44
來	lɛ223a	lɛ223	lɛ323
栽	tsɛ31	tsɛ31	tsɛ31
宰	tsɛ223b	tsɛ213	tsɛ313
再	tsɛ33	tsɛ33	tsɛ44
猜	tsʰɛ31	tsʰɛ31	tsʰɛ31
彩	tsʰɛ223b	tsʰɛ213	tsʰɛ313
菜	tsʰɛ33	tsʰɛ33	tsʰɛ44
財	tsʰɛ223a	tsʰɛ223	tsʰɛ323
在	tsɛ33	tsɛ33	tsɛ44
鰓	sɛ31	sɛ31	sɛ31
賽	sɛ33	sɛ33	sɛ44
該	kɛ31	kɛ31	kɛ31
改	kɛ223b	kɛ213	kɛ313
溉	kɛ33	kɛ33	kɛ44
開	kʰɛ31	kʰɛ31	kʰɛ31
凱	kʰɛ223b	kʰɛ213	kʰɛ313
慨	kʰɛ223b	kʰɛ213	kʰɛ313
呆	tɛ31	tɛ31	tɛ31
呆	ŋɛ223a	ŋɛ223	ŋɛ323
礙	ŋɛ33	ŋɛ33	ŋɛ44
海	xɛ223b	xɛ213	xɛ313
孩	xɛ223a	xɛ223	xɛ323
亥	xɛ33	xɛ33	xɛ44
哀	ŋɛ31	ŋɛ31	ŋɛ31
埃	ŋɛ223a	iɛ223	iɛ323
挨	ŋɛ223a	ŋɛ223	ŋɛ31
愛	ŋɛ33	ŋɛ33	ŋɛ44
兌	tei33	tei33	tei44
最	tsei33	tsei33	tsei44
劊	kuɛ223b	kʰuɛ33	kʰuɛ313
外	uɛ33	uɛ33	uɛ44
會	kʰuɛ33	kʰuɛ33	kʰuɛ44
會	xuei33	xuei33	xuei44
薈	xuei33	xuei33	xuei44
貝	pei33	pei33	pei44
沛	pʰei33	pʰei33	pʰei44
帶	tɛ33	tɛ33	tɛ44
太	tʰɛ33	tʰɛ33	tʰɛ44
大	tɛ33	tɛ33	tɛ44
奈	lɛ33	lɛ33	lɛ44
瀨	lɛ33	lɛ33	lɛ44
蔡	tsʰɛ33	tsʰɛ33	tsʰɛ44
蓋	kɛ33	kɛ33	kɛ44
艾	ŋɛ33	ŋɛ33	ŋɛ44
害	xɛ33	xɛ33	xɛ44
藹	ŋɛ223b	ŋɛ213	ŋɛ313
飛	fei31	fei31	fei31
匪	fei223b	fei213	fei313
痱	fei33	fei33	fei44
菲	fei31	fei31	fei31
費	fei33	fei33	fei44
肥	fei223a	fei223	fei323
翡	fei223b	fei213	fei313
微	uei31	uei31	uei323
尾	uei223b	uei213	uei313
味	uei33	uei33	uei44
歸	kuei31	kuei31	kuei31
鬼	kuei223b	kuei213	kuei313
貴	kuei33	kuei33	kuei44
巍	uei31	uei223	uei31
魏	uei33	uei223	uei44
徽	xuei31	xuei31	xuei31
卉	xuei33	xuei33	xuei44
威	uei31	uei31	uei31
慰	uei33	uei33	uei44
圍	uei223a	uei223	uei323
葦	uei223b	uei213	uei313
彙	xuei33	xuei33	xuei44
胃	uei33	uei33	uei44
饑	tɕi31	tɕi31	tɕi31
幾	tɕi223b	tɕi213	tɕi313
既	tɕi33	tɕi33	tɕi44
氣	tɕʰi33	tɕʰi33	tɕʰi44
祈	tɕʰi223b	tɕʰi213	tɕʰi313
毅	i223a	i223	i44
希	ɕi31	ɕi31	ɕi31
衣	i31	i31	i31
李	ȵi223b	ȵi213	li313
吏	ȵi33	ȵi33	li44
滋	tsɿ31	tsʰɿ223	tsɿ31
子	tsɿ223b	tsɿ213	tsɿ313
慈	tsʰɿ223a	tsʰɿ223	tsʰɿ323
字	tsɿ33	tsɿ33	tsɿ44
絲	sɿ31	sɿ31	sɿ31
伺	tsʰɿ33	tsʰɿ33	sɿ44
祠	tsʰɿ223a	tsʰɿ223	tsʰɿ323
祀	sɿ33	sɿ33	sɿ44
寺	tsɿ33	tsɿ33	sɿ44
置	tsɿ33	tsəʔ5	tsɿ44
持	tsʰɿ223a	tsʰɿ223	tsʰɿ323
痔	tsɿ33	tsɿ33	tsɿ44
治	tsɿ33	tsɿ33	tsɿ44
事	sɿ33	sɿ33	sɿ44
士	sɿ33	sɿ33	sɿ44
史	sɿ223b	sɿ213	sɿ313
芝	tsɿ31	tsɿ31	tsɿ31
趾	tsɿ223b	tsɿ213	tsɿ313
痣	tsɿ33	tsɿ33	tsɿ44
齒	tsʰɿ223b	tsʰɿ213	tsʰɿ313
詩	sɿ31	sɿ31	sɿ31
始	sɿ223b	tsʰɿ213	sɿ313
試	sɿ33	sɿ33	sɿ44
時	sɿ223a	sɿ223	sɿ323
市	sɿ33	sɿ33	sɿ44
而	ɞ˞223a	ɞ˞223	ər323
耳	ɞ˞223b	ɞ˞213	ər313
基	tɕi31	tɕi31	tɕi31
己	tɕi223b	tɕi213	tɕi313
記	tɕi33	tɕi33	tɕi44
欺	tɕʰi31	tɕʰi31	tɕʰi31
起	tɕʰi223b	tɕʰi213	tɕʰi313
棋	tɕʰi223a	tɕʰi223	tɕʰi323
忌	tɕi33	tɕi33	tɕi44
疑	i223a	i223	i323
擬	ȵi223b	ȵi213	li313
嬉	ɕi31	ɕi31	ɕi31
喜	ɕi223b	ɕi213	ɕi313
醫	i31	i31	i31
意	i33	i33	i44
怡	i223a	i223	i323
以	i223b	i213	i313
異	i33	i33	i44
嘴	tsei223b	tsei213	tɕi313
隨	sei223a	sei223	sei323
錘	tɕʰyei223a	tʃʰyei223	tʰyei323
揣	tɕʰyɛ31	tɕʰyɛ33	tʰyɛ44
吹	tɕʰyei31	tʃʰyei31	tʰyei31
垂	tɕʰyei223a	tʃʰyei223	tʰyei323
瑞	ɹuei33	ʒyei33	yei44
睡	ɕyei33	ʃyei33	ɕyei44
離	ȵi223a	ȵi223	li323
紫	tsɿ223b	tsɿ213	tsɿ313
雌	tsʰɿ223a	tsʰɿ223	tsʰɿ31
此	tsʰɿ223b	tsʰɿ213	tsʰɿ313
撕	sɿ31	sɿ31	sɿ31
璽	ɕi223b	ɕi213	ɕi313
賜	tsʰɿ33	tsʰɿ33	tsʰɿ44
知	tsɿ31	tsɿ31	tsɿ31
智	tsɿ33	tsɿ33	tsɿ44
池	tsʰɿ223a	tsʰɿ223	tsʰɿ323
支	tsɿ31	tsɿ31	tsɿ31
紙	tsɿ223b	tsɿ213	tsɿ313
侈	tsʰɿ223a	tsʰɿ223	tsʰɿ323
施	sɿ31	sɿ31	sɿ31
翅	tsɿ33	tsɿ33	tsɿ44
匙	tsʰɿ223a	tsʰɿ223	tsʰɿ323
是	sɿ33	sɿ33	sɿ44
爾	ɞ˞223b	ɞ˞213	ər313
移	i223a	i223	i323
易	i33	i33	i44
規	kuei31	kuei31	kuei31
窺	kʰuei31	kuei31	kʰuei31
卑	pei31	pei31	pei31
臂	pei33	pei33	pei44
譬	pʰi33	pʰei33	pʰei44
脾	pʰi223a	pʰi223	pʰi323
婢	pi33	pi33	pi44
避	pei33	pei33	pei44
彌	mi223a	mi223	mi323
企	tɕʰi223b	tɕʰi213	tɕʰi313
岐	tɕʰi223a	tɕʰi223	tɕʰi323
詭	kuei223b	kuei213	kuei313
虧	kʰuei31	kʰuei31	kʰuei31
危	uei223a	uei223	uei313
毀	xuei223b	xuei213	xuei313
委	uei223b	uei213	uei313
萎	uei223b	uei213	uei313
碑	pei31	pei31	pei31
彼	pi223b	pi213	pi313
披	pʰi31	pʰi31	pʰi31
皮	pʰi223a	pʰi223	pʰi323
被	pei33	pei33	pei44
糜	mi223a	mi223	mi323
靡	mi223a	mi223	mi323
寄	tɕi33	tɕi33	tɕi44
騎	tɕʰi223a	tɕʰi223	tɕʰi323
技	tɕi33	tɕi33	tɕi44
儀	i33	i223	i44
蟻	i31	i213	i313
義	i33	i33	i44
犧	ɕi31	ɕi31	ɕi31
戲	ɕi33	ɕi33	ɕi44
椅	i223b	i213	i313
壘	lei223b	lei213	lei313
淚	lei33	lei33	lei44
醉	tsei33	tsei33	tsei44
翠	tsʰei33	tsʰei33	tsʰei44
萃	tsʰei33	tsʰei33	tsʰei44
雖	sei223a	sei31	sei31
祟	sei33	sei33	sei44
粹	tsʰei33	tsʰei33	tsʰei44
穗	suei33	sei33	sei44
追	tɕyei31	tʃyei31	tyei31
槌	tɕʰyei223a	tʃʰyei223	tʰyei323
墜	tɕyei33	tʃyei33	tyei44
帥	ɕyɛ33	ɕyɛ33	ɕyɛ44
錐	tɕyei31	tʃyei31	tyei31
水	ɕyei223b	ʃyei213	ɕyei313
誰	ɕyei223a	ʃyei223	ɕyei323
帷	uei223a	uei223	uei323
位	uei33	uei33	uei44
維	uei223a	uei223	uei323
遺	i223a	i223	i323
篦	pei33	pei33	pei44
地	ti33	ti33	ti44
尼	ȵi223a	ȵi223	li323
膩	ȵi33	ȵi33	li44
梨	ȵi223a	ȵi223	li323
履	y223b	ȵy213	ly313
利	ȵi33	ȵi33	li44
資	tsɿ31	tsɿ31	tsɿ31
姊	tsɿ223b	tsɿ213	tsɿ313
次	tsʰɿ33	tsʰɿ33	tsʰɿ44
餈	tsʰɿ223a	tsʰɿ223	tsʰɿ323
自	tsɿ33	tsɿ33	tsɿ44
私	sɿ31	sɿ31	sɿ31
死	sɿ223b	sɿ213	sɿ313
四	sɿ33	sɿ33	sɿ44
致	tsɿ33	tsɿ33	tsɿ44
遲	tsʰɿ223a	tsʰɿ223	tsʰɿ323
稚	tsɿ33	tsʰɿ33	tsʰɿ44
師	sɿ31	sɿ31	sɿ31
脂	tsɿ31	tsɿ213	tsɿ31
指	tsɿ223b	tsɿ213	tsɿ313
至	tsɿ33	tsɿ33	tsɿ44
示	sɿ33	sɿ33	sɿ44
屍	sɿ31	sɿ31	sɿ31
屎	sɿ223b	sɿ213	sɿ313
嗜	sɿ33	sɿ33	sɿ44
二	ɞ˞33	ɞ˞33	ər44
姨	i223a	i223	i323
癸	kʰuei223b	kʰuei213	kʰuei313
季	tɕi33	tɕi33	tɕi44
葵	kʰuei223a	kʰuei223	kʰuei323
比	pi223b	pi213	pi313
痹	pi33	pi33	pi44
屁	pʰi33	pʰi33	pʰi44
琵	pʰi223a	pʰi223	pʰi323
鼻	piəʔ5	piəʔ5	piəl5
棄	tɕʰi33	tɕʰi33	tɕʰi44
伊	i33	i33	i31
