参考资料	《建水方言志》《云南方言调查报告》
to	①多哆②戳夺剟沰（雨淋)③朵躲④剁驮（马～子）惰
tʰo	①拖②驼驮脱托托拓坨舵③妥椭
no	①喏（睡～～）②挪诺④糯摞
lo	①啰②罗椤箩骡螺落(～下)烙(～铁)洛乐（快～）③裸
tso	②撮凿昨桌卓琢着镯③左佐④坐做座
tsʰo	①搓初(～ー)②矬撮④锉措错
so	①唆梭蓑②说索勺芍朔（初一）③锁琐所
zo	②若弱
ko	①哥歌锅②合（十～一升）鸽割葛各阁搁郭廓角箇(～旧市)③果裹④过个
kʰo	①科颗棵②磕壳渴阔③可④课嗑（～瓜子)
xo	①喝②河何荷和合盒豁活郝鹤霍藿③火伙④贺货祸
ɣo	①阿(～胶)窝屙倭②蛾鹅俄恶（凶～）握③我④饿卧
	io
nio	②虐略疟
lio	②掠
tɕio	②嚼爵脚觉（～得）角（两～钱）
tɕʰio	②却雀鹊确
ɕio	②学削
ʑio	②约岳钥药乐（音～）
	ɘɨ
pɘɨ	①杯碑悲背（～人)②北百柏伯白帛③把（介词：～门关好）④倍辈背（脊～)焙臂婢
pʰɘɨ	②培陪赔迫拍魄④配佩沛
mɘɨ	②梅媒煤墨默陌麦脉眉（画～）③美每④妹媚昧
fɘɨ	①非飞妃②肥③匪翡④费废肺吠费痱(～子)
vɘɨ	②微唯惟维③尾④未味
tɘɨ	①他（白）②得德
tʰɘɨ	②特
nɘɨ	③哪（～个）
lɘɨ	②勒肋
tsɘɨ	①遮②窄贼则责宅摘③者④这（文）
tsʰɘɨ	①车②拆册策择泽③扯
sɘɨ	①奢赊②色塞佘蛇③捨舍④社射麝舍赦
zɘɨ	②热③惹
kɘɨ	②格革隔格③曷（～去？）给④锯（白）
kʰɘɨ	②克客刻咳乞（白）④去（白）
xɘɨ	①嘿②黑赫核（～对）
ɣɘɨ	②额呃扼轭
	uɘɨ
tuɘɨ	①堆④队对
tʰuɘɨ	①推②颓③腿④退褪
nuɘɨ	④内
luei	①鐳②雷擂③吕累（积～）垒儡屡④累（劳～）泪类
kuɘɨ	①龟规归闺②国③鬼轨诡癸④桂跪贵柜
kʰuɘɨ	①亏盔魁②逵奎葵③傀④愧溃（～败)
xuɘɨ	①灰恢挥辉徽②回茴或惑③悔毁④汇会(～议)惠慧溃(～脓)晦（灾星～气）讳贿
uɘɨ	①威煨萎巍②危为（作～)违围③委伟苇④卫畏喂为（～什么)位魏慰伪胃谓
tʃuɘɨ	①追锥③嘴④罪醉赘坠
t̠ʃʰuɘɨ	①崔催吹炊摧②垂锤④脆翠
ʃuɘɨ	①尿虽绥②随谁③水④碎岁税睡瑞穗隧
ʒuɘɨ	③蕊④锐
	ɘ˞
pɘ˞	①褒
mɘ˞	②谋③某亩牡
fɘ˞	②浮③否
tɘ˞	①兜逗（挑～)③斗（一～米)抖陡④斗（～争)逗豆（～号)鬥（遇）
tʰɘ˞	①偷②投头④透
nɘ˞	④吺（啰嗦）
lɘ˞	①喽②楼③篓搂缕④漏
tsɘ˞	①邹周舟州洲③走肘④奏皱绉咒纣宙昼
tsʰɘ˞	①抽搊(～上去)②绸稠筹愁仇酬③丑瞅④臭湊骤
sɘ˞	①收馊搜飕③手首守④嗽瘦受兽寿授售
zɘ˞	②柔揉
kɘ˞	①勾沟钩③狗苟④够彀（往上～）构购
kʰɘ˞	①抠③口④扣叩
xɘ˞	①齁②候喉猴瘊③吼④候厚后
ɣɘ˞	①欧抠（～黄鳝）瓯（汤缽子）③偶呕藕④沤怄
	iɘ
miɘ	④谬
tiɘ	①丢
niɘ	①妞②牛③纽扭④拗
liɘ	②流刘留硫琉③柳④溜〔～冰)榴（石～）瘤
tɕiɘ	①纠揪鸠③酒九久韭灸（针～）④就旧舅救白柩究
tɕʰiɘ	①秋秋丘煪（烟～）②囚泅求球仇（姓)
ɕiɘ	①修休羞③朽④秀绣锈袖宿（星～)嗅
ʑiɘ	①优悠幽②油由游邮尤③友有④又右祐幼柚釉酉诱
	ã
pã	①班搬扳帮邦斑颁般③板榜绑版④半拌伴办棒扮瓣谤
pʰã	①潘攀肨（肿～）乓②盘旁傍(～边；～晚)螃庞④判叛胖绊攀盼
mã	①䏵②蛮忙瞒馒芒茫③满莽蟒④曼慢漫面（一～走一～说)
fã	①方芳肪翻番蕃②烦繁房防妨凡帆③反纺访仿做④饭贩范犯泛
vã	②亡忘③晚网挽④万望妄
tã	①单(～薄)当(～面)担(～心)丹耽③胆掸党挡④淡担（一～水)旦但弹（子～）蛋当（～作)
tʰã	①贪汤摊滩②弹（～琴)谈痰檀谭堂棠螳唐糖塘③坦躺毯④炭趟烫叹探
nã	②南男难（～处)囊③攮攘④难（灾～)
lã	②兰篮蓝拦栏郎廊狼③懒搅览榄朗④浪晾(～衣裳)烂滥
tsã	①簪沾占(～卜)毡赃脏张章③昝斩盏攒展搌长(～大)涨掌仗（炮～）④战占站暂蘸赞赞颤栈丈仗（打～）杖藏(西～)帐胀瘴障葬
tsʰã	①参(～加)搀仓苍昌菖倡餐②蚕馋缠缠残藏（收～)长（～短)肠场常尝③惨产铲厂④灿唱畅
sã	①山搧桑商伤裳衫删丧③闪散(～乱)伞嗓搡赏偿晌陕④散（解～）善扇膳单（姓）丧(～失)上尚
zã	②燃燃瓤③染壤嚷酿(～酒)④让
kã	①甘柑泔干（～燥)肝竿冈岗纲刚钢缸③感敢橄杆秆擀(～面)赶港④干杠虹
kʰã	①堪康糠鹐（鸡～米）刊勘龛②扛③坎砍慷④看炕抗
xã	①憨鼾夯②含寒函韩行（商～）杭航③喊罕④旱汉汗焊翰项巷陷（～进田头)
ɣã	①安庵鞍肮②昂④按案晏岸揞
	iã
niã	①孃②娘③仰④酿
liã	②良凉量（丈～）梁粱③两④亮谅量（数～)
tɕiã	①江姜将（～要)浆僵疆③蒋奖讲桨④酱匠降(下～)将（大～）犟(～嘴)
tɕʰiã	①枪腔羌②墙强详③抢④呛像
ɕiã	①香乡相箱厢湘镶②降（投～）③想响享④相(～貌)向象
ʑiã	①央秧殃②羊洋杨扬阳疡③养痒④样
	uã
kuã	①光③广④逛
kʰuã	①匡眶筐诓②狂③硄（用力敲门）④况旷矿
xuã	①荒慌塃②黄潢簧蟥皇蝗惶③谎④晃
uã	①汪②王③枉往④旺
tʃuã	①装庄妆④壮状
t̠ʃʰuã	①窗疮②床③闯④创
ʃuã	①双霜③爽
	ɘ˞̃
pɘ˞̃	①奔锛崩③本④笨
pʰɘ˞̃	①烹喷(～水)②盆④喷(～噬)
mɘ˞̃	①闷（闭嘴，～啰嘴）②门们扪④闷（胸～）焖面（～前)
fɘ˞̃	①分芬氛纷盼②焚坟③粉④愤奋分（水～)份
vɘ˞̃	②文蚊纹闻③吻刎④问
tɘ˞̃	①灯登③等戥(～子)④凳瞪镫澄(～清)
tʰɘ˞̃	①熥（把饭～热）②腾藤疼誊
nɘ˞̃	②能
lɘ˞̃	②棱③冷④愣
tsɘ˞̃	①正(～月)征症(～结)贞侦珍诊（～所）针砧（～板)斟甄蒸真曾（姓）增憎争睁③枕诊(～断)疹（麻～）整怎拯④正(～副)政症（～状)振震阵镇郑挣甑赠赈
tsʰɘ˞̃	①称（～呼)抻撑②曾（～经)成城诚程臣陈尘沉层乘（～法）③惩岑（羞）④称（～心)秤趁乘（～车)
sɘ˞̃	①深身申伸呻绅森参（人～)升声生笙性甥僧②神晨承③审婶省④胜圣剩盛(～大)甚肾
zɘ˞̃	①扔②人仁壬任（姓)③刃忍纫韧仍④认任（主～)
kɘ˞̃	①根耕更（打～）庚③埂哽鲠梗④硌更(～好)
kʰɘ˞̃	①吭坑③恳垦肯啃
xɘ˞̃	①亨哼②衡恒痕③很狠④恨
ɣɘ˞̰	①恩④硬
	iɛ
piɛ	①鞭编边③贬扁匾④辨辩辫变便（方～）
pʰiɛ	①篇偏②便(～宜)④骗片遍
miɛ	②棉绵眠③缅免勉④面（对面）
tiɛ	①滇颠掂③点典④店电殿佃垫
tʰiɛ	①天添②田甜填③舔④掭
niɛ	①研（～究）拈（～起来）②年黏③碾辇撚（以指～碎)撵④念
liɛ	②镰帘连怜莲③脸④殓练炼栋（苦～子)恋
tɕiɛ	①监尖兼搛艰间（空～）奸煎肩坚绢捐③减检俭简柬拣剪笕捲④见贱舰鉴间（～断）渐剑件箭饯贱建圈（牛～)卷券倦眷
tɕʰiɛ	①千迁歼笺谦牵圈（圆～)铅间（中～）先（～走）②钱乾(～坤)前全泉拳权钳③浅遗犬潜④嵌欠劝歉
ɕiɛ	①先（～生）鲜仙轩掀宣暄②咸嫌闲贤弦玄旋悬③险显选癣④限线羡陷（攻～）现县宪献
ʑiɛ	①炎醃淹烟渊冤②盐严颜延言圆员缘沿元原源袁园阎檐③掩眼演远魇④验厌艳焰酽雁谚堰燕宴愿怨院
	uɘ˞̃
tuɘ˞̃	①端③短断（～车)④断（折～）段锻缎
tʰuɘ˞̃	②团
nuɘ˞̃	③暖
luɘ˞̃	②鸾栾③卵④乱
kuɘ̃˞	①关官倌棺观冠（衣～)鳏③管馆④贯惯掼灌罐冠(～军)
kʰuɘ˞̃	①宽③款侃（白）
xuɘ˞̃	①欢②环还（归～）③缓④换幻唤焕宦患奂
uɘ˞̃	①弯湾豌②玩完丸③腕皖碗④院（医～）
tʃuɘ˞̃	①专砖钻③转(～动)④钻(～子)转(～圈)传（记～）篆
t̠ʃʰuɘ˞̃	①氽川穿②传（宣～）船椽③喘④串窜篡
ʃuɘ˞̃	①酸栓拴闩②纯④算蒜涮疝
ʒuɘ˞̰	③软阮
	ɨ̃
pɨ̃	①兵宾冰斌彬殡③丙柄饼禀秉④病并併
pʰɨ̃	①拼姘乒②贫平坪评瓶屏萍苹凭频③品④聘
mɨ̃	②民明名冥铭呜盟③敏抿闽悯皿④命
tɨ̃	①丁钉叮盯③顶鼎④定订钉打（白）（～住)锭
tʰɨ̃	①厅汀听（～课)钉(～钯儿)②庭蜒廷亭停婷③挺艇④听(～任)
nɨ̃	②凝吟宁
lɨ̃	①拎②林淋菱凌玲铃临邻鳞燐灵宁③领岭檩凛④另令吝赁
tsɨ̃	①金津巾筋均君军京惊经晶浸侵襟③紧锦仅谨境景警颈④禁尽进晋近劲俊菌郡敬竞镜競净静
tsʰɨ̃	①亲(～人)轻青蜻清钦卿②琴禽秦勤芹群裙琼③请倾顷④庆亲（～家)磬
sɨ̃	①心辛新薪欣熏勋兴(～旺)星腥馨②形刑型寻旬荀巡行(～为)循③醒寝擤(～鼻子)④信训幸兴（高～）迅衅囟(～门儿)
zɨ̃	①音阴荫因姻洇（纸～）蝇鹰殷樱鹦婴英②淫银寅云匀迎盈赢营萤③饮引隐允尹颖影④印韵运晕熨应孕映泳詠
	õ
põ	①绷④蹦蚌泵
pʰõ	①埄②朋鹏棚蓬篷③捧④碰
mõ	①蒙（～一层纸）②蒙檬濛③懵猛蜢④梦孟
fõ	①风枫疯丰封峰锋蜂②逢缝(～衣裳)冯③讽④凤奉俸缝（门～）
tõ	①敦墩蹲东冬③董懂趸(～来卖)④动栋冻洞顿盾沌（混～）
tʰõ	①通吞②屯囤同铜桐筒童彤③桶统捅④痛褪蜕（蛇～皮）
nõ	②农浓脓④嫩
lõ	①聋咙②龙笼伦轮隆③拢垄陇④论弄
tsõ	①尊遵宗综棕中忠盅钟衷终③准总肿种④中仲纵纵众粽重种
tsʰõ	①冲充春村春椿皴聪葱囱②存从丛虫崇重③蠢宠④寸冲
sõ	①松孙嵩②倯③损笋榫髓（骨～）怂④顺送颂诵讼舜
zõ	②绒冗戎茸④润闰
kõ	①公蚣工攻弓躬官恭供③滚汞拱巩䂵④棍贡共供
kʰõ	①昆坤空③捆孔恐④空困睏控
xõ	①昏婚烘轰荤②魂浑横洪红鸿宏③哄④混
ɣõ	①温瘟翁嗡③稳④瓮
	iõ
tɕʰiõ	②穷
ɕiõ	①胸凶兄匈②熊雄
ʑiõ	①庸雍臃②荣容蓉熔③永勇拥俑恿④用佣
ɣɯ˞	②儿而③耳尔④二
