音標	調類	調值	
miu	6	21	廟
ȵiai	2	13	黏
piæ	7	24	壁
pʰiæ	7	24	劈
tiæ	7	24	碟
tʰiæ	7	24	鐵
ɕiæ	7	24	錫
miæ	7	24	滅篾
liæ	7	24	列栗
iæ	7	24	業
piæ	1	33	憋
tɕiɑ	7	24	甲
ɕiɑ	6	21	夏
iɑ	2	13	爺
tɕiɑ	3	41	假
iɑ	3	41	野
piɑu	3	41	表
tiɑu	2	13	條
tɕiɑu	2	13	橋
ɕiɑu	1	33	簫
ȵiɑu	3	41	鳥
liɑu	6	21	料
iɑu	2	13	搖
tiɑu	5	45	釣
tɕiɑu	6	21	轎
ɕiɑu	3	41	小
iɑu	1	33	腰
tɕiɑu	1	33	交焦
ɕiɑu	5	45	孝校笑
iɑu	3	41	繞
tɕiɑu	5	45	叫
iɑu	5	45	要
tiəɯ	1	33	丟
tɕiəɯ	2	13	球
ɕiəɯ	1	33	修休
tɕʰiəɯ	7	24	曲
ȵiəɯ	2	13	牛
liəɯ	2	13	流
iəɯ	2	13	油
tɕiəɯ	6	21	舅舊
ɕiəɯ	5	45	袖
ȵiəɯ	7	24	肉
iəɯ	6	21	右
tɕiəɯ	3	41	酒九
iəɯ	7	24	裕育褥浴
iəɯ	1	33	優
iəɯ	3	41	有
iəɯ	5	45	幼
pʰiɛ	5	45	別
tʰiɛ	7	24	跌貼鐵
tɕiɛ	7	24	接節截結
ɕiɛ	7	24	協歇
tɕʰiɛ	7	24	傑切
ȵiɛ	7	24	孽捏
iɛ	2	13	爺
ɕiɛ	3	41	寫
tɕʰiɛ	5	45	去
iɛ	7	24	葉熱
ɕiɛ	5	45	謝
tɕia	3	41	姐
ɕia	3	41	寫
tɕʰia	7	24	吃
ia	6	21	夜
tɕia	5	45	借
kuai	3	41	拐
kʰuai	3	41	塊
uai	6	21	外
kuai	5	45	怪
kʰuai	5	45	快
uai	1	33	歪
tʃuei	2	13	垂
kuei	6	21	櫃
kʰuei	1	33	虧
uei	2	13	危圍
tʃuei	5	45	追
kuei	7	24	骨
kʰuei	3	41	跪
uei	6	21	位味
kuei	1	33	規龜
uei	3	41	尾
kuei	3	41	鬼
uei	5	45	衛胃
kuei	5	45	桂貴
tʃuæ	7	24	絕決
ʃuæ	7	24	雪血
tʃʰuæ	7	24	缺
kuæ	7	24	國
kuɑ	7	24	刮
uɑ	7	24	滑挖襪
kuɑ	1	33	瓜
uɑ	3	41	瓦
kuɑ	5	45	掛
yæ	7	24	熱月越
pən	2	13	盆朋棚
fən	2	13	魂墳橫紅
tən	2	13	藤銅
tʰən	1	33	通統
tsən	2	13	沉陳唇層程城蟲
sən	2	13	神辰繩
tsʰən	1	33	村蔥充沖
kən	1	33	根耕
kʰən	3	41	肯孔
xən	1	33	烘
mən	2	13	門
ŋən	1	33	恩
lən	2	13	輪能膿濃龍
ən	1	33	翁
pən	3	41	本
fən	6	21	縫
tən	6	21	動洞
tʰən	3	41	桶統
tsən	6	21	重
sən	6	21	剩
tsʰən	5	45	寸秤
xən	5	45	恨
mən	6	21	夢
lən	6	21	嫩
fən	1	33	婚分風豐封蜂
tən	1	33	墩燈東冬
tʰən	5	45	痛
tsən	1	33	針蹲僧貞中終
sən	1	33	參深身孫升生松
mən	1	33	蚊
lən	5	45	弄
fən	3	41	粉
tən	3	41	懂
tsən	3	41	整腫
sən	3	41	筍省
mən	3	41	猛
fən	5	45	糞鳳
tən	5	45	凍
tsən	5	45	鎮震俊證正粽種
sən	5	45	送宋
pin	2	13	貧
pʰin	3	41	品
tin	2	13	停
tʰin	1	33	廳
tɕin	2	13	尋琴勤窮
ɕin	2	13	行形熊雄
tɕʰin	5	45	浸慶
min	2	13	民明
ȵin	2	13	銀
lin	2	13	林零
in	2	13	人迎榮營容
pin	3	41	柄
tin	6	21	定
tʰin	3	41	挺
tɕin	6	21	近靜
ɕin	1	33	心新星兄兇
min	6	21	命
in	6	21	認用
tin	3	41	頂
tɕin	1	33	金筋
ɕin	5	45	興姓
in	1	33	音蠅
tɕin	3	41	緊
in	3	41	引隱影擁
tɕin	5	45	進勁鏡
in	5	45	任印
tɕyn	2	13	裙
ɕyn	2	13	純
tɕʰyn	1	33	春
yn	2	13	勻雲
tɕyn	1	33	均軍
ɕyn	6	21	順
yn	6	21	閏
tɕyn	3	41	准
ɕyn	1	33	熏
yn	3	41	永
yn	5	45	運
kuən	6	21	共
kʰuən	5	45	困
uən	6	21	問運
kuən	1	33	公宮恭
uən	1	33	溫
kuən	3	41	滾
kuən	5	45	共
poŋ	1	33	幫
pʰoŋ	5	45	胖
toŋ	2	13	潭譚（姓）糖
tʰoŋ	1	33	湯
tʰoŋ	5	45	探（存疑）
tsoŋ	2	13	蠶長床
soŋ	2	13	嘗
tsʰoŋ	1	33	倉瘡窗
koŋ	1	33	鋼光
kʰoŋ	2	13	狂
xoŋ	2	13	房防
moŋ	2	13	忙
loŋ	6	21	浪
oŋ	2	13	黃王
poŋ	3	41	綁
toŋ	3	41	黨
tsoŋ	1	33	張裝章樁
soŋ	6	21	上
tsʰoŋ	3	41	廠撞
koŋ	3	41	講
kʰoŋ	1	33	糠筐
xoŋ	1	33	慌方
oŋ	3	41	網
poŋ	5	45	棒
tsoŋ	5	45	壯
soŋ	1	33	霜傷雙
tsʰoŋ	5	45	唱
xoŋ	3	41	紡
oŋ	5	45	旺
xoŋ	5	45	放
pʰɑŋ	1	33	蓬
fɑŋ	2	13	橫
tʰɑŋ	1	33	吞
tsɑŋ	1	33	爭
sɑŋ	1	33	生聲
kɑŋ	1	33	更
kʰɑŋ	1	33	坑
ŋɑŋ	6	21	硬
lɑŋ	1	33	聾
sɑŋ	3	41	省
kɑŋ	3	41	梗
lɑŋ	3	41	冷
tɕioŋ	2	13	降
ɕioŋ	6	21	向
tɕʰioŋ	3	41	搶
ȵioŋ	2	13	娘
lioŋ	6	21	亮
ioŋ	6	21	讓樣
tɕioŋ	6	21	匠像
ɕioŋ	3	41	想響
lioŋ	3	41	兩
ioŋ	1	33	秧
tɕioŋ	1	33	漿薑江
ɕioŋ	5	45	像向項
ioŋ	3	41	癢
pã	6	21	辦
fã	6	21	犯飯
tã	2	13	彈
tʰã	1	33	貪
tsã	6	21	賺
sã	1	33	三衫山
tsʰã	3	41	鏟產
kã	1	33	間
xã	2	13	含
mã	6	21	慢
ŋã	2	13	顏
lã	2	13	南藍難蘭
pã	3	41	板
fã	3	41	反
tã	6	21	淡
tʰã	3	41	毯
sã	3	41	傘
kã	3	41	減
xã	3	41	喊
ŋã	3	41	眼
lã	6	21	爛
tã	1	33	單
tʰã	5	45	炭
kã	5	45	監
xã	5	45	限
lã	3	41	懶
sɛɪ̃	1	33	生
pø̃	2	13	盤
pʰø̃	5	45	判
tø̃	6	21	斷
tsø̃	2	13	纏傳船權
sø̃	1	33	酸閂
tsʰø̃	1	33	圈
kø̃	1	33	甘肝奸官關
kʰø̃	1	33	寬
xø̃	2	13	鹹還
mø̃	3	41	滿
ŋø̃	6	21	岸
lø̃	6	21	亂
ø̃	2	13	完圓原園
pø̃	1	33	班搬
tø̃	1	33	單端
tsø̃	6	21	傳
sø̃	5	45	扇善算
tsʰø̃	5	45	勸
kø̃	3	41	感敢
kʰø̃	5	45	看
xø̃	6	21	汗換
ŋø̃	1	33	安
lø̃	3	41	暖
ø̃	1	33	彎冤
pø̃	5	45	扮半
tø̃	3	41	膽短
tsø̃	1	33	磚
kø̃	5	45	慣
xø̃	1	33	歡翻
ŋø̃	5	45	暗
ø̃	3	41	染碗軟遠
tsø̃	3	41	轉卷
xø̃	5	45	漢
ø̃	5	45	院
tsø̃	5	45	占戰
piã	2	13	平瓶
pʰiã	3	41	片
tiã	1	33	釘
tʰiã	5	45	聽
tɕiã	1	33	經
ɕiã	1	33	星
tɕʰiã	1	33	親清輕青
miã	2	13	明名
liã	2	13	鄰零
iã	2	13	贏
piã	6	21	病
tɕiã	3	41	井
tɕʰiã	3	41	淺
miã	6	21	命
liã	3	41	領
iã	1	33	音
piã	1	33	冰兵
iã	3	41	影
piã	3	41	餅
piɪ̃	6	21	便
pʰiɪ̃	5	45	騙片
tiɪ̃	2	13	甜田
tʰiɪ̃	1	33	添天
tɕiɪ̃	2	13	鉗錢前全
ɕiɪ̃	2	13	嫌
tɕʰiɪ̃	1	33	簽牽鉛
kʰiɪ̃	3	41	肯
miɪ̃	2	13	棉
ȵiɪ̃	2	13	嚴言年
liɪ̃	2	13	連蓮
iɪ̃	2	13	炎鹽延
piɪ̃	3	41	扁
tiɪ̃	6	21	墊
tɕiɪ̃	6	21	件健
ɕiɪ̃	6	21	現縣
tɕʰiɪ̃	5	45	欠
miɪ̃	6	21	面
ȵiɪ̃	6	21	念
iɪ̃	1	33	煙
piɪ̃	5	45	變
tiɪ̃	1	33	燈
tɕiɪ̃	1	33	尖肩
ɕiɪ̃	1	33	鮮先
ȵiɪ̃	5	45	蟻驗
iɪ̃	5	45	厭
tiɪ̃	3	41	點典等
tɕiɪ̃	3	41	剪
ɕiɪ̃	3	41	險顯選
tiɪ̃	5	45	店凳
tɕiɪ̃	5	45	劍建健見
ɕiɪ̃	5	45	線
kuã	1	33	關
uã	2	13	頑
uã	6	21	萬
uã	3	41	晚
