	註釋：-白讀，=文讀
ts	[1]遭糟脏[3]左佐早棗蚤[5]做={～衫機：縫紉機}造竈罩[7]作桌捉
tsʰ	[1]操鈔[2]曹槽[3]草吵[5]銼錯措造糙[6]座[8]鑿啄
s	[1]蓑唆騷臊[3]鎖嫂[5]掃[7]索
tʃ	[1]朝{今～}招周舟州洲[5]照詔晝宙咒[7]着{穿}
tʃʰ	[1]超抽[2]朝{～代}潮稠籌愁仇酬[3]丑醜[5]臭獣[6]趙兆[7]焯[8]着{睡～}了[1]燒[3]少{多～}手首守[5]少{～年}[6]紹邵受毒授售[8]勺
k	[1]歌哥鍋高膏糕[3]果裹稿[5]告[7]鴿葛各閣郭角□{屋～：椽}[8]□{～門：敲門}
kʰ	[1]科棵顆[3]可考[5]課去靠烤[7]廓擴殻□{～頭：叩頭}
ŋ	[2]蛾鵝俄熬[3]偶[5]□{～頭：抬頭}[6]餓傲[8]鄂鱷嶽岳
h	[2]河何荷豪毫□{魚～si7：魚鰓}[3]好{形容詞}[5]好{愛～}[6]賀浩號[7]□{熱}□{煨}[8]盒鶴學
ʔ	[1]阿屙肮{～髒}[3]襖[5]奧□{叫}[7]惡{～霸}
#ie	
p	[1]鞭編邊辮[3]眨扁匾[5]燮[7]八-{～個}□{煨}
pʰ	[1]篇偏[3]□{西邊～：西邊}[5]騙片[6]辦-{煮}辯便{方～}[7]撇[8]別{差～；離～}
m	[2]綿棉[3]免勉□{屎2～背：後面}[6]慢-{晚}面麵[7]□{酒～：酒窩}[8]滅篾
f	[2]船玄[7]歇
v	[1]冤淵[2]完丸圓員緣沿袁園援[3]遠[6]院[7]□{跌～：遺失}[8]悅閱越
t	[1]顛癲[2]□{縫，動詞}[3]點典[5]店殿[7]跌貼得-{識～：知道}
tʰ	[1]添天[2]甜田={～螺}填[6]電[7]帖墊鐵[8]疊碟蝶諜
n	[2]年
l	[2]廉簾連聯憐蓮[3]斂[6]練鍊[8]獵列烈裂劣□{舐}
ts	[1]尖煎□{楔子}{打}[3]盞剪[5]薦[7]接節
tsʰ	[1]簽遷千鉛[2]潛錢前全泉={～州：地名}[3]淺癬□{門～：門檻}[6]踐賤[7]插切[8]絶膝
s	[1]些仙鮮先宣喧□{粥等稀}[3]選[5]線[7]薛雪
tʃ	[3]紙展[5]佔戰[7]哲折{摺疊}浙
tʃʰ	[2]纏[5]□{穗}[6]轉{滾}□{～線：繞線}[7]濕[8]涉徹撤
ʃ	[2]嫌閑賢弦懸[3]陝險鱔-{黃～：鱔魚}顯[5]陷扇獻[6]限莧善鱔={～魚}膳現[7]脅協瞎設血[8]狹舌折{～本：虧本}穴食
ɲ	[2]嚴顔研{1，～究}[3]染眼研{2，動詞}[5]蟻[6]艾驗念戀[7]聶鑷攝捏□{把袖子一段一段地疊起來}[8]業熱孽月{1，～光：月亮}額
j	[1]煙[2]鹽簷然燃延[3]演□{掀}[5]厭燕[6]豔焰縣[7]抉[8]葉頁曳翼
k	[1]監{～牢}兼艱間{房～；～諜}奸肩堅[3]減鹼儉簡囝{兒子}[5]艦監{太～}劍建見[7]劫挾結={了=～}潔□{砌}
kʰ	[1]謙[2]鉗乾{～坤}虔[3]□{蚌}[5]欠歉[6]件鍵健[7]缺-{有口子}[8]揭傑
ʔ	[1]□{咱們}[7]嫼{生氣}
#ʯie	
tʃ	[1]專磚捐[3]轉{～告}捲□{撿、拾}[7]決訣□{閹割}
tʃʰ	[1]川穿圈[2]傅{～達}拳=權[3]犬近-{形容詞}䘆{ɲiəu6～：蚯蚓}[5]串勸[6]傅{自2～}[7]缺={～乏}
ɳ	[2]元原源言[3]軟[6]願□{詛呪}[8]月{2，一～}
ʃ	[7]説
#uei	
p	[1]杯飛-{動詞}□{～jiaŋ2：蝴蝶}[5]背{～梁骨}[7]髪發-{～癲：發瘋}□{nɒ7～：怎麽}
pʰ	[2]賠□{站起來}[5]佩配[6]倍背{～書}焙[8]□{泡沫}
m	[2]梅煤黴[3]尾□{～窿hɵˑə2：煙囪}[6]妹
f	[1]灰[3]火夥[5]悔
v	[1]□{埋}[2]禾
t	[1]堆[5]對隊兌[7]□{罵}
tʰ	[1]梯推[2]苔[5]退[6]袋□{laŋ6得-～：來得及}[7]脫[8]斷{～絕}奪
l	[2]來={將～}雷[3]累{～積}壘[6]累{連～}類[8]捋
ts	[1]朘{男性生殖器}[5]最□{～飯：添版}[7]□{吮}
tsʰ	[1]催崔[3]坐[5]菜碎脆翠
s	[1]衰[7]薩刷屑
k	[1]該□{嗉子}[3]改[5]蓋[7]割
kʰ	[1]開[7]渴
ŋ	[2]危[6]礙魏
h	[3]海[6]害[8]核{1，桃～}
ʔ	[1]哀□{ʔaŋ5～：蜻蜓}[5]愛
#eu	
p	[1]標錶彪[3]表
pʰ	[1]飄[2]嫖薸[3]漂{～亮}[5]票
m	[2]苗描錨[3]秒[5]貓[6]廟妙謬
t	[1]刀貂雕丟[2]留-{～下來-}[8]六緑
tʰ	[1]挑[2]條調{～羹}[3]斢{交換}[5]跳[6]調{音～}
l	[1]溜[2]燎療聊遼流劉留=榴硫瑠餾□{～鞦：鞦韆}[3]了={～不起}柳[5]□{鍍}[6]料廖□{聰明}[8]略陸録
ts	[1]焦蕉椒[3]酒[7]雀足
tsʰ	[1]鬚-鍬秋鞦[2]樵{柴}松{1，～毛卵：松球}[6]就袖嚼[7]促
s	[1]消宵硝銷蕭簫修休[2]泅[3]小[5]笑肖秀繡[7]削肅宿粟俗續束
ʃ	[3]曉朽
k	[1]驕嬌究糾[3]絞攪=繳九久韭餃[5]救灸[7]腳
kʰ	[1]丘舅[2]茄喬僑橋求球[3]巧[5]撬竅[6]轎舊
#iəu	
ɲ	[2]柔[3]紐=扭[6]尿□{～䘆tʃʰʯie3：蚯蚓}[8]弱虐
j	[1]妖邀腰要{～求}憂優悠幽[2]肴饒搖謠遙堯尤郵由油遊猶[3]友西[5]要{ŋ̍7～：不要}幼[6]鷂誘又右祐柚釉[7]約躍[8]藥
#ɤ	
t	[1]都={～城=}兜[3]賭肚{豬～}斗[5]鬥
tʰ	[1]偷[2]徒屠途塗圖逃頭投[3]土吐{～氣=}㪗{解開}[5]兔透[6]杜度鍍豆毒-{～魚：用毒藥抓魚}
n	[2]奴努□{稠}□{頭～殻：腦袋}[3]紐-{紐扣}
l	[1]□{疥}□{sɤ1～：銹}□{～雞：呼雞}[2]盧爐蘆廬樓□{飯～kʰiɒ6：炊帚}[3]魯虜滷屢簍□{～□lɒ3：吐痰}[5]露鷺[6]路漏
ts	[1]租鄒□{手～卵：肘}[3]祖走[5]奏皺
tsʰ	[1]粗初餿{臭～：發餿}[3]楚礎[5]湊[6]助
s	[1]蘇□{～lɤ1：銹}[3]所□{鳥～：鳥巢}[5]素訴塑數{名詞}瘦
k	[1]勾鉤溝鬮[3]狗枸[5]夠構購
kʰ	[3]口厚[5]扣寇
ŋ	[2]呉梧[6]誤悟
h	[2]侯猴[3]有[6]后候
ʔ	[1]歐甌[5]漚
#ʉ	
p	[1]夫-{～娘：老婆}□{蹲}晡{後日～：後天}[3]補斧[5]布怖
pʰ	[1]鋪[2]蒲菩匏□{被～窿：被窩}[3]譜普[6]部薄步腐伏{孵小雞}
#ʯ	
tʃ	[1]豬居車{～馬炮}誅朱珠拘駒□{螢火～：螢火蟲}[3]煮舉主矩[5]據鋸註注鑄句
tʃʰ	[1]超區驅[2]除渠廚櫥槌[3]苎處{～理}鼠柱[5]處{到2～}[6]距駐住具□{～lɒ6：玩兒}
ɳ	[2]魚漁[3]女語[6]遇
ʃ	[1]書舒墟虛輸{負；運～}殊[2]薯[3]許水[5]暑[6]豎樹
ʒ	[1]於[2]如餘儒愚娛盂乳兒而□{jiɒ6～：蟬（小的）}[3]與雨宇[6]愉譽寓芋喻裕
#v̩	
f	[1]呼乎夫=膚[2]胡湖糊狐壺瓠蝴瑚{原文行中出現“珊”字，為非註釋内容，應為有誤}俘符扶芙浮={～蓮}□{lɒ3～蜞：螞蟥}[3]虎滸府輔[5]褲戽付咐傅赴負={正～}富副[6]婦={寡～}負-{自2～}戸互護父
v	[1]烏污巫誣[2]無[3]武舞鵡[5]惡{可～}□{蒙、遮蓋起來}[6]務
k	[1]姑孤箍菇估□{naŋ1～：乳房}[3]古牯{牛～：公牛}[5]過故固顧[7]□{～piɒ5piɒ5：捉迷藏}
kʰ	[1]枯[3]苦臼[5]庫
#ɵˑə	
p	[1]疤八={王～}邦□{拔}[3]把[5]霸垻豹[7]百伯□{扯}
pʰ	[2]爬琶杷耙{犁～}□{砧～：菜板}[5]怕□{不實}[8]白
m	[1]摸[2]魔蘑麻蔴蟆模摹媒謀□{有tʰɒ6～：懷孕}嫲{牛～：母牛}□{～子：姐姐}[3]馬碼每某畝母={水～}蜢[6]墓茂貿□{ʃi8～：什麽}[8]𢫦{打}麥
f	[1]花[2]華{中～}[5]化[6]畫范{姓}範{模～}犯[7]話={連城-～}法
v	[1]□{挖}[2]橫□{拗～：弄折}[6]話-{～事：説話}[8]劃
t	[1]爹耽擔[3]膽打{2，～扮}[7]答搭□{蓋，動詞}
tʰ	[1]貪淡-{形容詞（老人説）}聽[2]談痰[3]探毯坦[6]淡={形容詞}[7]塔塌[8]踏□{牛腳～：牛蹄子}
n	[1]拿[2]南男[8]納
l	[2]藍籃[3]覽欖[7]□{巷}□{摞}[8]臘蠟
ts	[1]渣爭-{爭吵}□{凍～：凍瘡}[3]斬[5]詐榨炸做-{～大水：發大水}
tsʰ	[1]叉杈差{～別}釵參{～加}[2]茶搽查[3]杉□{按}[5]撐□{攏}[6]暫鏨棧鄭□{亂吃}[7]拆□{綁}□{舀}[8]雜
s	[1]沙紗三衫刪生-{～卵：下蛋}[2]□{別～：別人}[3]省-{節省}[7]□{～tɔŋ5人：陌生人}
tʃ	[1]遮正{～月2}[5]蔗[7]隻炙{曬}
tʃʰ	[1]車{單～：自行車}[3]喘[7]赤尺
ʃ	[1]賒聲[2]蛇城-{連～：地名}[3]捨[6]社射麝[8]石
ʒ	[2]耶爺[3]野[6]夜
k	[1]家加嘉瓜-{lai7～：黃瓜}佳甘柑□{蚊～：蚊子}□{手～筒：胳臂}[3]假{真～；放=～}感敢橄{原文作“欖”，應為有誤}哽梗耿[5]架嫁稼掛卦降{下～}[7]蛤{雨～：雨蛙}夾裌甲覺隔{2，～川：地名}合{和、跟}
kʰ	[1]坑[7]客□{咳嗽}
ŋ	[2]芽牙衙涯崖巖[3]雅瓦[6]硬
h	[2]霞蝦{～公：蝦；～蟆}鹹銜行-{走}□{赤～毛：嬰兒}□{屋～崽：檁}□{muei3窿～：煙囪}[3]下{底～}後{～日晡pʉ1：後天}[6]廈{～門：地名；大～}下{～降}夏{姓；～天}[7]嚇[8]合核{2，～卵：陰囊}
ʔ	[1]鴉丫庵罌[3]啞[5]亞暗[7]鴨押壓握
#ɿ	
ts	[1]資姿咨滋抓[3]組阻紫姊={～妹}子[5]漬{浸、漚}醉[7]自{1，～家：自己}
tsʰ	[2]鋤瓷餈慈磁辭詞祠□{馬～：荸薺}[3]此[5]刺賜次[6]自{2，～由}字寺□{腹～窿：肚臍}
s	[1]梳疏蔬撕師獅私司思絲[2]□{你各～：你們}[3]死使駛[5]四肆史[6]似士仕柿飼事
#ʅ	
tʃ	[1]支枝={荔～}脂之芝□{女性生殖器官}[3]旨指{1，～示}址□{～個：這個}[5]制製知={～識}智致置志誌[6]□{～裏：這兒}
tʃʰ	[1]豸癡[2]池遲持治{宰}[3]恥齒[5]試-{動詞}[6]治
ʃ	[1]施尸屍詩□{懶～：懶惰}[2]匙時[3]指{2，手～爪：手指頭}矢屎{1，屙～：拉屎；腹～：肚子}始□{女崽～：女孩子}[5]試={考～}[6]誓是={～非}豉屎{2，～mie3：屁股}示視市蒔
#i	
p	[1]蓖碑卑悲陂[3]彼鄙比[5]蔽閉箅痺[7]篦筆畢必逼碧
pʰ	[1]批披[2]裴皮疲{原文作“労”，應為有誤}脾琵枇便{～宜}[3]被婢[5]屁[6]幣斃備鼻[7]避匹僻
m	[2]謎彌眉□{邊緣}[3]米美[8]秘密={～切}蜜□{收斂}
f	[1]恢非飛={～機}妃揮輝[2]肥={～料}[3]匪[5]稅廢肺費[6]惠慧睡瑞[8]术術
v	[1]微徽威[2]為維惟唯違圍[3]委偉葦[6]衛偽位未味慰胃謂蝟[8]域疫役
t	[1]堤[2]籬梨狸[3]李鯉[5]帝[6]利-{鋒利}俐□{滴，助詞}[7]裏笠的嫡□{～子：一些}[8]栗
tʰ	[2]題提[3]體[6]第地[8]敵
n	[2]尼
l	[2]來-{動詞}黎離璃漓痢釐[3]呂旅禮里理[6]慮濾麗隷荔利={～益}[8]例厲勵吏立律率力歷曆
ts	[3]姊-[5]祭際濟□{1ɒ6～：絲瓜}[7]蟋即鯽積跡=□{蘸}□{kʰɒ8lɒ8～：腋下}[8]□{堵}
tsʰ	[1]妻[3]取[6]聚趣[7]七漆戚[8]集輯疾
s	[1]須鬚={魚～}西雖[2]徐隨垂[3]洗髓[5]細壻歲[6]序緒遂[7]鰓襲悉息熄夕錫析[8]習席={赴～}
tʃ	[7]汁質織職□{～tʰɒ2：這兒}
tʃʰ	[8]蟄執姪直值殖植
ʃ	[1]希[3]喜{1，～歡}[5]戲氣-{生氣}[6]系是-{繫詞}[7]吸失室識適釋[8]十實□{～mɵˑə6：什麽}
ɲ	[2]宜儀誼[3]你耳擬[6]藝義議二異毅憶[7]□{眨巴}[8]入日
j	[1]醫衣依□{jiɒ2～：蟬（大的）}□{中～心：中間}[2]移夷姨遺[3]椅已以[5]意億[7]乙一益譯易{貿～；容～}液
k	[1]稽枝-{量詞}肌基箕饑={～荒}機譏渠{他；她}□{～洋毛：打毛衣}[3]己杞幾[5]計繼寄紀記忌既□{金手～：戒指}[7]急級吉橘極劇擊激
kʰ	[1]欺[2]奇騎其棋期蜞祈[3]啓企徛{立}崎{陡}起喜{2，歡～}豈[5]契器棄氣={小～}汽[6]技妓[8]及
#ʯi	
tʃ	[1]饑-{腹～：肚子俄}規追歸={當～}[3]嘴[5]桂季貴[7]□{箍}
tʃʰ	[1]吹炊虧[2]逵葵[7]出
#aŋ	
p	[1]分-{分給}冰楓□{～𢫦：被打}[3]本[5]笨糞迸
pʰ	[1]蜂[2]盆朋彭膨棚篷馮□{～laŋ2：草長得很密}[5]噴[6]傍縫{名詞}
m	[1]滿={載～}蚊[2]門□{～露：霧}□{鼾～：打鼾}[3]猛懵[6]悶燜問-{～路}孟夢
f	[1]婚分={～散}吩葷風豐封峰鋒[2]魂宏洪鴻[3]粉諷[5]憤奮[6]混分{充～}份鳳
v	[1]溫瘟翁[2]渾文紋聞[3]穩[6]問={～題}
t	[1]敦墩登燈丁釘東冬□{金耳～：耳環}[3]盾等頂鼎董懂□{樁子}[5]頓鈍凳凍□{捅}
tʰ	[1]廳汀通[2]騰藤亭停廷庭同銅桐筒童[3]艇桶動-{～棋；下棋}統[5]痛[6]鄧定動={勞～}
n	[1]□{～kv̩：乳房}[2]能寧農[3]撚[5]膿[6]嫩
l	[1]聾窿[2]崙倫輪靈零伶能隆嚨□{砍}□{pʰaŋ2～：草長得很密}□{kʰaŋ6～冰：結冰}[3]冷[6]論弄蜦{石～：山裏的青蛙}□{～得-tʰuei6：來得及}
ts	[3]碪砧尊遵曾增憎爭={鬥～}棕宗蹤[3]總[5]站{車～}贊甑粽縱{～容}
tsʰ	[1]村窗聰蔥囪[2]存曾層叢崇[3]慘[5]寸[6]□{～有；只有}
s	[1]森參{人～}新{1，～婦-：兒媳婦}孫生={放-～}牲星雙[3]損筍㩳{推}省{福建～}[5]送宋誦頌訟
k	[1]跟根巾斤筋庚羹耕公蚣工功攻弓躬恭[3]拱[5]貢□{～子：駝子}
kʰ	[1]牽空[3]懇肯={～定}孔恐[5]控□{烘}[6]共-{～一下：一起}□{～1aŋ2冰：結冰}
ŋ	[2]銀□{漤}
h	[1]憨亨[2]喉{～嚨}含痕恆行={～為}衡紅[3]很肯-{ŋ̍7～：不肯}[6]恨杏幸□{吵架}
ʔ	[1]恩□{撒}□{～婆：老鷹}[5]□{～ʔuei1：蜻蜓}
#iaŋ	
p	[1]坊{林-～：地名}枋[5]放-{～水：灌田}
m	[2]芒{蘆葦}[3]網
t	[2]涼量{動詞}輛[3]兩{～個；斤～}
l	[2]良糧梁粱龍[6]亮諒量{質～}
ts	[1]將{～來=}漿[3]蔣奬槳[5]醬將{大～}
tsʰ	[1]槍[2]牆從[3]搶[6]匠像
s	[1]相{～似}箱廂湘鑲[2]群祥[3]想[5]相{～片}[6]象橡
ɲ	[2]娘[6]讓
ʃ	[1]香鄉[3]享響[5]向
j	[1]央秧殃[2]羊洋烊楊陽揚螢□{puei1～：蝴蝶}[3]養{1}癢[6]養{2，供～}釀{～豆腐：一種食品}様□{鬧熱}
k	[1]僵薑姜
kʰ	[1]疆{新2～：地名}腔[2]強{形容詞}[3]強{勉～}
#ʯaŋ	
tʃ	[1]中{～國}終宮鐘供{～應；喂}□{～藥：研藥}[3]種{穀～：稻種}[5]中{動詞}衆種{～樹}供{～養₂}
tʃʰ	[1]充衝[2]瓊蟲窮重{～複}[3]寵重{形容詞}[5]銃[6]仲共={～産黨}
ɳ	[2]濃
ʃ	[1]胸凶兇[2]熊雄
ʒ	[1]雍庸擁[2]絨融茸容蓉[3]甬勇[6]用
#ʋaŋ	
k	[3]滾棍
kʰ	[1]昆崑坤[2]拳{～頭}裙[3]捆□{轉、滾}[5]困睏
#ɔŋ	
p	[1]幫[3]榜綁□{地～：菜畦}
pʰ	[2]旁[5]□{魚～～：鰾}
m	[2]忙芒{～果}茫盲
f	[1]荒慌方芳[2]凡繁皇妨房防[3]仿紡謊倣[5]放={～屁}
v	[2]黃簧王[3]枉往□{～～：狗叫聲}[6]忘望旺
t	[1]當[3]黨擋[5]□{sɵˑə7～人：陌生人}
tʰ	[1]湯盪{～口：漱口}[2]譚檀壇堂棠唐糖塘[6]蕩
n	[1]瓤[5]□{慢}
l	[2]郎廊狼榔[3]朗[6]浪□{褶子}
ts	[1]莊裝妝[5]葬壯
tsʰ	[1]倉[2]藏{動詞}[3]闖創[6]藏{西～}臓撞
s	[1]桑霜[2]牀[3]爽
tʃ	[1]瞻氈張章樟[3]長{營～}漲掌[5]帳脹障賬
tʃʰ	[1]昌[2]長{形容詞}腸場常嘗[3]廠[5]暢唱倡[6]丈仗杖
ʃ	[1]商傷[2]□{～日：明天}[3]上{～墟：趕集}[6]上{～裏：上面}
k	[1]竿岡崗{1，～尾：地名}綱缸光江豇[3]崗{2，～位}廣講港[5]鋼
kʰ	[1]勘刊康糠[2]狂[5]抗曠況礦[7]□{～～：剛剛}
h	[2]行{量詞}航杭降{投～}[6]項巷笐{～篙：曬衣用的竹竿}
ʔ	[3]影-{人～}
#eiŋ	
p	[1]彬賓檳奔兵[5]併並
pʰ	[1]烹拼[2]貧頻憑平={～和}評瓶屏[3]品
m	[2]眠民閩萌鳴明盟銘[3]憫敏[6]命={革～}
f	[1]勳[2]唇純醇[5]訓[6]順
v	[2]勻云雲榮[3]允永泳[6]潤閏韻運
t	[1]鱗[2]林-{姓}
tʰ	[3]挺
l	[2]林={森～}淋臨隣燐陵凌菱鈴[3]領{占～}[6]令另
ts	[1]津精晶□{～嘴：親嘴}[5]浸進晉
tsʰ	[1]侵親襯清青=[2]尋-{找}秦情松{2，～樹}□{～日晡pʉ1：前天}[6]盡靜
s	[1]心辛新{2}薪[2]尋=旬循巡蠅[5]信訊迅性
tʃ	[1]針珍臻真徵蒸箏貞偵征[3]枕振震拯整[5]診鎮證症正{糾～}政
tʃʰ	[1]深稱[2]沈陳塵臣澄橙承丞呈程成城={都=～}誠[3]懲[5]趁秤[6]陣[7]□{～～：鐃}
ʃ	[1]身申欣升興{復～}[2]神辰塍□{頭暈}□{多～：多謝}□{簷～：簷下}[3]沈審[5]勝興{高～}聖[6]甚腎慎盛{旺～}
k	[1]今金京鯨經[3]錦緊僅謹景警[5]禁{～止}勁境敬竟競
kʰ	[1]欽卿傾頃[2]琴禽擒勤芹[3]腎{鳥類的胃}[5]慶[6]近=□{～ŋ̍7hai8：禁不住}
#ieiŋ	
ɲ	[2]人[3]忍□{腳踒、閃腰}[6]認
j	[1]音陰因姻殷鷹鶯鸚櫻英嬰[2]淫仁迎盈[3]引隱[5]印應{～該}映[6]任□{剩}
#ʯaiŋ	
tʃ	[1]均君軍[3]準准[5]郡
tʃʰ	[1]伸春菌蟶[2]群[3]蠢
#ŋ̍	
∅	[2]蜈牛[3]五伍[7]唔{不}
