漢字	IPA	IPA调类	注释
龕	hɐm⁴⁵	hɐm1	
坎	hɐm⁴⁵	hɐm1	～坷
欽	hɐm⁴⁵	hɐm1	
鑫	hɐm⁴⁵	hɐm1	
陷	ham⁵²	ham6	
餡	ham⁵²	ham6	
撼	hɐm⁵²	hɐm6	
憾	hɐm⁵²	hɐm6	
冚	hɐm⁵²	hɐm6	全部，～屋：全家
闞	hɐm⁵²	hɐm6	
閑	han²¹	han2	
嫻	han²¹	han2	
鷳	han²¹	han2	
痕	hɐn²¹	hɐn2	
很	hɐn³⁵	hɐn3	
狠	hɐn³⁵	hɐn3	
墾	hɐn³⁵	hɐn3	
懇	hɐn³⁵	hɐn3	
㷫	hɐn⁴⁴³	hɐn5	热烘烘
慶	hɐn⁴⁴³	hɐn5	
興	hɐn⁴⁴³	hɐn5	高～
慳	han⁴⁵	han1	
輕	hɐn⁴⁵	hɐn1	
氫	hɐn⁴⁵	hɐn1	
卿	hɐn⁴⁵	hɐn1	
罄	hɐn⁴⁵	hɐn1	
馨	hɐn⁴⁵	hɐn1	
興	hɐn⁴⁵	hɐn1	～旺
兄	hɐn⁴⁵	hɐn1	
限	han⁵²	han6	
恨	hɐn⁵²	hɐn6	
恒	hɐŋ²¹	hɐŋ2	
珩	hɐŋ²¹	hɐŋ2	一种玉，多作人名用字
桁	hɐŋ²¹	hɐŋ2	
衡	hɐŋ²¹	hɐŋ2	
行	hɐŋ²¹	hɐŋ2	慢慢～
肯	hɐŋ³⁵	hɐŋ3	
啃	hɐŋ³⁵	hɐŋ3	
亨	hɐŋ⁴⁵	hɐŋ1	
哼	hɐŋ⁴⁵	hɐŋ1	
坑	hɐŋ⁴⁵	hɐŋ1	
鏗	hɐŋ⁴⁵	hɐŋ1	
摼	hɐŋ⁴⁵	hɐŋ1	动词，用棍棒敲击
行	hɐŋ⁵²	hɐŋ6	德～
杏	hɐŋ⁵²	hɐŋ6	
幸	hɐŋ⁵²	hɐŋ6	
悻	hɐŋ⁵²	hɐŋ6	
呷	hap⁴	hap7b	动词，扁口喝水或液态食品
瞌	hɐp⁴⁵	hɐp7a	动词，闭上眼睛
洽	hɐp⁴⁵	hɐp7a	
恰	hɐp⁴⁵	hɐp7a	～当
俠	hap⁵²	hap8	
峽	hap⁵²	hap8	
狹	hap⁵²	hap8	
合	hɐp⁵²	hɐp8	～法
盒	hɐp⁵²	hɐp8	
頜	hɐp⁵²	hɐp8	
闔	hɐp⁵²	hɐp8	
瞎	hat⁴	hat7b	
吃	hɐt⁴⁵	hɐt7a	
乞	hɐt⁴⁵	hɐt7a	
核	hɐt⁵²	hɐt8	～心
迄	hɐt⁵²	hɐt8	
轄	hɐt⁵²	hɐt8	
姣	hau²¹	hau2	
蠔	hɐu²¹	hɐu2	
毫	hɐu²¹	hɐu2	
豪	hɐu²¹	hɐu2	
壕	hɐu²¹	hɐu2	
嚎	hɐu²¹	hɐu2	
侯	hɐu²¹	hɐu2	
喉	hɐu²¹	hɐu2	
猴	hɐu²¹	hɐu2	
睺	hɐu²¹	hɐu2	动词，伺机的意思
吼	hɐu²¹	hɐu2	
厚	hɐu²¹	hɐu2	
考	hau³⁵	hau3	
巧	hau³⁵	hau3	
好	hɐu³⁵	hɐu3	～坏
