漢字	IPA	IPA调类	注释
現	jin⁵²	jin6	
硯	jin⁵²	jin6	
諺	jin⁵²	jin6	
醃	jip⁴	jip7b	
入	jip⁵²	jip8	
業	jip⁵²	jip8	
葉	jip⁵²	jip8	
頁	jip⁵²	jip8	
曄	jip⁵²	jip8	
燁	jip⁵²	jip8	
噎	jit⁴	jit7b	
乙	jit⁴	jit7b	
熱	jit⁵²	jit8	
饒	jiu²¹	jiu2	
堯	jiu²¹	jiu2	
姚	jiu²¹	jiu2	
窯	jiu²¹	jiu2	
謠	jiu²¹	jiu2	
搖	jiu²¹	jiu2	
瑤	jiu²¹	jiu2	
澆	jiu³⁵	jiu3	
擾	jiu³⁵	jiu3	
繞	jiu³⁵	jiu3	围～
妖	jiu³⁵	jiu3	
舀	jiu³⁵	jiu3	～水
要	jiu⁴⁴³	jiu5	
么	jiu⁴⁵	jiu1	～二三
夭	jiu⁴⁵	jiu1	
吆	jiu⁴⁵	jiu1	～喝
腰	jiu⁴⁵	jiu1	
邀	jiu⁴⁵	jiu1	
要	jiu⁴⁵	jiu1	～求
鷂	jiu⁵²	jiu6	
曜	jiu⁵²	jiu6	
耀	jiu⁵²	jiu6	
沃	jok⁴⁵	jok7a	
郁	jok⁴⁵	jok7a	葱～
昱	jok⁴⁵	jok7a	
彧	jok⁴⁵	jok7a	
喐	jok⁴⁵	jok7a	俗字，动词，动
煜	jok⁴⁵	jok7a	
毓	jok⁴⁵	jok7a	
肉	jok⁵²	jok8	
辱	jok⁵²	jok8	
褥	jok⁵²	jok8	
玉	jok⁵²	jok8	
育	jok⁵²	jok8	
獄	jok⁵²	jok8	
浴	jok⁵²	jok8	
欲	jok⁵²	jok8	
鬻	jok⁵²	jok8	
戎	joŋ²¹	joŋ2	
茸	joŋ²¹	joŋ2	
容	joŋ²¹	joŋ2	
蓉	joŋ²¹	joŋ2	
榕	joŋ²¹	joŋ2	
鎔	joŋ²¹	joŋ2	
融	joŋ²¹	joŋ2	
熊	joŋ²¹	joŋ2	
庸	joŋ²¹	joŋ2	
墉	joŋ²¹	joŋ2	
勇	joŋ²¹	joŋ2	
絨	joŋ³⁵	joŋ3	
擁	joŋ³⁵	joŋ3	
湧	joŋ³⁵	joŋ3	汹～
踴	joŋ³⁵	joŋ3	～跃
噰	joŋ⁴⁴³	joŋ5	嗅
冗	joŋ⁴⁵	joŋ1	
翁	joŋ⁴⁵	joŋ1	
雍	joŋ⁴⁵	joŋ1	
傭	joŋ⁵²	joŋ6	
用	joŋ⁵²	joŋ6	
攸	ju²¹	ju2	
悠	ju²¹	ju2	白
油	ju²¹	ju2	白
友	ju²¹	ju2	
有	ju²¹	ju2	
酉	ju²¹	ju2	白
莠	ju²¹	ju2	白
由	ju³⁵	ju3	白，任～,随便
幼	ju⁴⁴³	ju5	白
幼	ju⁴⁴³	ju5	白
柚	ju⁴⁴³	ju5	
誘	ju⁴⁴³	ju5	白
休	ju⁴⁵	ju1	
優	ju⁴⁵	ju1	白
優	ju⁴⁵	ju1	白
憂	ju⁴⁵	ju1	白
又	ju⁵²	ju6	
右	ju⁵²	ju6	
佑	ju⁵²	ju6	
瑪	jy²¹	jy2	
如	jy²¹	jy2	
茹	jy²¹	jy2	
儒	jy²¹	jy2	
濡	jy²¹	jy2	
孺	jy²¹	jy2	
蠕	jy²¹	jy2	
汝	jy²¹	jy2	
乳	jy²¹	jy2	
酗	jy²¹	jy2	又读，～酒
餘	jy²¹	jy2	
妤	jy²¹	jy2	
盂	jy²¹	jy2	
魚	jy²¹	jy2	
娛	jy²¹	jy2	
萸	jy²¹	jy2	
漁	jy²¹	jy2	
腴	jy²¹	jy2	
虞	jy²¹	jy2	
愚	jy²¹	jy2	
輿	jy²¹	jy2	
予	jy²¹	jy2	
嶼	jy²¹	jy2	
宇	jy²¹	jy2	
羽	jy²¹	jy2	
雨	jy²¹	jy2	
禹	jy²¹	jy2	
語	jy²¹	jy2	
□	jy⁴⁴³	jy5	饭～：皮肤上的疣，俗称疾子
錐	jy⁴⁵	jy1	
蕊	jy⁵²	jy6	
芮	jy⁵²	jy6	
銳	jy⁵²	jy6	
籲	jy⁵²	jy6	
逾	jy⁵²	jy6	
渝	jy⁵²	jy6	生死不～
愉	jy⁵²	jy6	
瑜	jy⁵²	jy6	
榆	jy⁵²	jy6	
預	jy⁵²	jy6	
遇	jy⁵²	jy6	
喻	jy⁵²	jy6	
禦	jy⁵²	jy6	
寓	jy⁵²	jy6	
裕	jy⁵²	jy6	
愈	jy⁵²	jy6	
譽	jy⁵²	jy6	
豫	jy⁵²	jy6	
鉛	jyn²¹	jyn2	
軟	jyn²¹	jyn2	
丸	jyn²¹	jyn2	
完	jyn²¹	jyn2	
玄	jyn²¹	jyn2	
懸	jyn²¹	jyn2	
眩	jyn²¹	jyn2	
元	jyn²¹	jyn2	
園	jyn²¹	jyn2	
員	jyn²¹	jyn2	
袁	jyn²¹	jyn2	
原	jyn²¹	jyn2	
圓	jyn²¹	jyn2	
緣	jyn²¹	jyn2	
猿	jyn²¹	jyn2	
源	jyn²¹	jyn2	
轅	jyn²¹	jyn2	
遠	jyn²¹	jyn2	
浣	jyn³⁵	jyn3	
阮	jyn³⁵	jyn3	
皖	jyn³⁵	jyn3	
院	jyn³⁵	jyn3	
怨	jyn⁴⁴³	jyn5	
鳶	jyn⁴⁵	jyn1	
鴛	jyn⁴⁵	jyn1	
冤	jyn⁴⁵	jyn1	
淵	jyn⁴⁵	jyn1	
㾓	jyn⁴⁵	jyn1	酸痛
縣	jyn⁵²	jyn6	
願	jyn⁵²	jyn6	
穴	jyt⁵²	jyt8	
鑰	jyt⁵²	jyt8	
曰	jyt⁵²	jyt8	
月	jyt⁵²	jyt8	
鉞	jyt⁵²	jyt8	
閱	jyt⁵²	jyt8	
悅	jyt⁵²	jyt8	
越	jyt⁵²	jyt8	
粵	jyt⁵²	jyt8	
剮	ka³⁵	ka3	
寡	ka³⁵	ka3	
賈	ka³⁵	ka3	姓
假	ka³⁵	ka3	真～
哚	ka⁴⁴³	ka5	语气词
卦	ka⁴⁴³	ka5	
掛	ka⁴⁴³	ka5	
褂	ka⁴⁴³	ka5	
價	ka⁴⁴³	ka5	
駕	ka⁴⁴³	ka5	
架	ka⁴⁴³	ka5	
嫁	ka⁴⁴³	ka5	
稼	ka⁴⁴³	ka5	
咖	ka⁴⁴³	ka5	
踟	ka⁴⁵	ka1	
伽	ka⁴⁵	ka1	瑜～
嘎	ka⁴⁵	ka1	
呱	ka⁴⁵	ka1	
瓜	ka⁴⁵	ka1	
加	ka⁴⁵	ka1	
迦	ka⁴⁵	ka1	
枷	ka⁴⁵	ka1	
痂	ka⁴⁵	ka1	
家	ka⁴⁵	ka1	
嘉	ka⁴⁵	ka1	
架	ka⁵²	ka6	动词，迈、跨
晷	kɐi3	ki3	又读
拐	kai³⁵	kai3	
拐	kai³⁵	kai3	动词，睁大眼睛望
解	kai³⁵	kai3	～放
偈	kɐi³⁵	kɐi3	倾～：聊天
尬	kai⁴⁴³	kai5	
鎅	kai⁴⁴³	kai5	动词，裁割、锯开
怪	kai⁴⁴³	kai5	
解	kai⁴⁴³	kai5	押～
介	kai⁴⁴³	kai5	
戒	kai⁴⁴³	kai5	
芥	kai⁴⁴³	kai5	
屆	kai⁴⁴³	kai5	
界	kai⁴⁴³	kai5	
疥	kai⁴⁴³	kai5	
誡	kai⁴⁴³	kai5	
蚧	kai⁴⁴³	kai5	
計	kɐi⁴⁴³	kɐi5	又读，～数
繼	kɐi⁴⁴³	kɐi5	
髻	kɐi⁴⁴³	kɐi5	
佳	kai⁴⁵	kai1	
階	kai⁴⁵	kai1	
皆	kai⁴⁵	kai1	
街	kai⁴⁵	kai1	
歸	kɐi⁴⁵	kɐi1	文
圭	kɐi⁴⁵	kɐi1	
閨	kɐi⁴⁵	kɐi1	
雞	kɐi⁴⁵	kɐi1	
笄	kɐi⁴⁵	kɐi1	
計	kɐi⁵²	kɐi6	计谋：谂～,思考计谋
計	kɐi⁵²	kɐi6	动词，严厉地望着
革	kak⁴⁵	kak7a	
格	kak⁴⁵	kak7a	
隔	kak⁴⁵	kak7a	
膈	kak⁴⁵	kak7a	
格	kak⁵²	kak8	架，箸～：架在锅里承托着蒸盘的一对竹片
減	kam³⁵	kam3	
敢	kɐm³⁵	kɐm3	
感	kɐm³⁵	kɐm3	
錦	kɐm³⁵	kɐm3	
尷	kam⁴⁴³	kam5	
監	kam⁴⁴³	kam5	
鑒	kam⁴⁴³	kam5	
禁	kɐm⁴⁴³	kɐm5	
監	kam⁴⁵	kam1	
甘	kɐm⁴⁵	kɐm1	
柑	kɐm⁴⁵	kɐm1	
橄	kɐm⁴⁵	kɐm1	
蚶	kɐm⁴⁵	kɐm1	
今	kɐm⁴⁵	kɐm1	
金	kɐm⁴⁵	kɐm1	
撳	kɐm⁵²	kɐm6	
揀	kan³⁵	kan3	
梘	kan³⁵	kan3	
繭	kan³⁵	kan3	
鐧	kan³⁵	kan3	
簡	kan³⁵	kan3	
堿	kan³⁵	kan3	
滾	kɐn³⁵	kɐn3	～水
僅	kɐn³⁵	kɐn3	
緊	kɐn³⁵	kɐn3	
謹	kɐn³⁵	kɐn3	
頸	kɐn³⁵	kɐn3	
景	kɐn³⁵	kɐn3	
警	kɐn³⁵	kɐn3	
竟	kɐn³⁵	kɐn3	
境	kɐn³⁵	kɐn3	
慣	kan⁴⁴³	kan5	
躀	kan⁴⁴³	kan5	动词，因被挡或绊而摔倒
間	kan⁴⁴³	kan5	离～
澗	kan⁴⁴³	kan5	
棍	kɐn⁴⁴³	kɐn5	
莖	kɐn⁴⁴³	kɐn5	
徑	kɐn⁴⁴³	kɐn5	
敬	kɐn⁴⁴³	kɐn5	
鏡	kɐn⁴⁴³	kɐn5	
關	kan⁴⁵	kan1	
冠	kan⁴⁵	kan1	鸡～花
鰥	kan⁴⁵	kan1	
奸	kan⁴⁵	kan1	
間	kan⁴⁵	kan1	中～
艱	kan⁴⁵	kan1	
綸	kan⁴⁵	kan1	
根	kɐn⁴⁵	kɐn1	
跟	kɐn⁴⁵	kɐn1	
巾	kɐn⁴⁵	kɐn1	
斤	kɐn⁴⁵	kɐn1	
筋	kɐn⁴⁵	kɐn1	
京	kɐn⁴⁵	kɐn1	
經	kɐn⁴⁵	kɐn1	
荊	kɐn⁴⁵	kɐn1	
驚	kɐn⁴⁵	kɐn1	
軍	kɐn⁴⁵	kɐn1	
均	kɐn⁴⁵	kɐn1	
君	kɐn⁴⁵	kɐn1	
鈞	kɐn⁴⁵	kɐn1	
艮	kɐn⁵²	kɐn6	八卦中的一卦
亙	kɐn⁵²	kɐn6	
近	kɐn⁵²	kɐn6	
勁	kɐn⁵²	kɐn6	
競	kɐn⁵²	kɐn6	
郡	kɐn⁵²	kɐn6	
耿	kɐŋ³⁵	kɐŋ3	
哽	kɐŋ³⁵	kɐŋ3	～咽
梗	kɐŋ³⁵	kɐŋ3	
浭	kɐŋ⁴⁴³	kɐŋ5	动词，涉水
更	kɐŋ⁴⁴³	kɐŋ5	～加
逕	kɐŋ⁴⁴³	kɐŋ5	
庚	kɐŋ⁴⁵	kɐŋ1	
耕	kɐŋ⁴⁵	kɐŋ1	
賡	kɐŋ⁴⁵	kɐŋ1	姓
羹	kɐŋ⁴⁵	kɐŋ1	
更	kɐŋ⁴⁵	kɐŋ1	三～半夜
夾	kap⁴	kap7b	～心饼干；～衣
甲	kap⁴	kap7b	
胛	kap⁴	kap7b	
匣	kap⁴	kap7b	
鴿	kɐp⁴⁵	kɐp7a	
蛤	kɐp⁴⁵	kɐp7a	
合	kɐp⁴⁵	kɐp7a	～河：新兴本地地名
合	kɐp⁴⁵	kɐp7a	～份，俗写作“㪉”
急	kɐp⁴⁵	kɐp7a	
及	kɐp⁵²	kɐp8	
及	kɐp⁵²	kɐp8	动词，盯，目不转睛地看
刮	kat⁴	kat7b	
摑	kat⁴	kat7b	～耳光
骨	kɐt⁴⁵	kɐt7a	
擊	kɐt⁴⁵	kɐt7a	
激	kɐt⁴⁵	kɐt7a	
吉	kɐt⁴⁵	kɐt7a	
吉	kɐt⁴⁵	kɐt7a	这，～个
亟	kɐt⁴⁵	kɐt7a	～待
戟	kɐt⁴⁵	kɐt7a	
桔	kɐt⁴⁵	kɐt7a	
橘	kɐt⁴⁵	kɐt7a	
譎	kɐt⁴⁵	kɐt7a	诡～
訖	kɐt⁴⁵	kɐt7a	
㓤	kɐt⁴⁵	kɐt7a	俗字，动词，刺；扎
疙	kɐt⁵²	kɐt8	
極	kɐt⁵²	kɐt8	
極	kɐt⁵²	kɐt8	形容词，稠、浓
倔	kɐt⁵²	kɐt8	
倔	kɐt⁵²	kɐt8	形容词，秃、钝，不尖
掘	kɐt⁵²	kɐt8	
掘	kɐt⁵²	kɐt8	动词，盯、瞪，严厉地看
趷	kɐt⁵²	kɐt8	动词，向上翘
搞	kau³⁵	kau3	
蛟	kau³⁵	kau3	
佼	kau³⁵	kau3	
狡	kau³⁵	kau3	
餃	kau³⁵	kau3	～子
絞	kau³⁵	kau3	
皎	kau³⁵	kau3	
攪	kau³⁵	kau3	
稿	kɐu³⁵	kɐu3	
苟	kɐu³⁵	kɐu3	
狗	kɐu³⁵	kɐu3	
笱	kɐu³⁵	kɐu3	
九	kɐu³⁵	kɐu3	
骹	kau⁴⁴³	kau5	
鉸	kau⁴⁴³	kau5	门、窗合页
較	kau⁴⁴³	kau5	
教	kau⁴⁴³	kau5	～育
窖	kau⁴⁴³	kau5	
滘	kau⁴⁴³	kau5	
覺	kau⁴⁴³	kau5	睡～
校	kau⁴⁴³	kau5	～对
告	kɐu⁴⁴³	kɐu5	
誥	kɐu⁴⁴³	kɐu5	
垢	kɐu⁴⁴³	kɐu5	
夠	kɐu⁴⁴³	kɐu5	
灸	kɐu⁴⁴³	kɐu5	文
咎	kɐu⁴⁴³	kɐu5	
疚	kɐu⁴⁴³	kɐu5	
柩	kɐu⁴⁴³	kɐu5	
犒	kɐu⁴⁴³	kɐu5	
交	kau⁴⁵	kau1	
郊	kau⁴⁵	kau1	
茭	kau⁴⁵	kau1	
膠	kau⁴⁵	kau1	
皋	kɐu⁴⁵	kɐu1	
高	kɐu⁴⁵	kɐu1	
羔	kɐu⁴⁵	kɐu1	
睾	kɐu⁴⁵	kɐu1	
膏	kɐu⁴⁵	kɐu1	
鳩	kɐu⁴⁵	kɐu1	
攪	kau⁵²	kau6	捞～：混乱
嚿	kɐu⁵²	kɐu6	睁大眼睛注视着
嚿	kɐu⁵²	kɐu6	俗写，量词：块、团
擱	kɔk⁴	kɔk7b	
閣	kɔk⁴	kɔk7b	
各	kɔk⁴	kɔk7b	
蟈	kɔk⁴	kɔk7b	
國	kɔk⁴	kɔk7b	
角	kɔk⁴	kɔk7b	
覺	kɔk⁴	kɔk7b	
桷	kɔk⁴	kɔk7b	
港	kɔŋ³⁵	kɔŋ3	
桄	kɔŋ³⁵	kɔŋ3	
廣	kɔŋ³⁵	kɔŋ3	
講	kɔŋ³⁵	kɔŋ3	
鋼	kɔŋ⁴⁴³	kɔŋ5	
杠	kɔŋ⁴⁴³	kɔŋ5	
降	kɔŋ⁴⁴³	kɔŋ5	
岡	kɔŋ⁴⁵	kɔŋ1	
剛	kɔŋ⁴⁵	kɔŋ1	
肛	kɔŋ⁴⁵	kɔŋ1	
綱	kɔŋ⁴⁵	kɔŋ1	
缸	kɔŋ⁴⁵	kɔŋ1	
罡	kɔŋ⁴⁵	kɔŋ1	
崗	kɔŋ⁴⁵	kɔŋ1	
光	kɔŋ⁴⁵	kɔŋ1	
胱	kɔŋ⁴⁵	kɔŋ1	
江	kɔŋ⁴⁵	kɔŋ1	
弶	kɔŋ⁵²	kɔŋ6	虾、蟹等的钳状前肢
景	keŋ³⁵	keŋ3	～梗：不可告人的事，蹊跷的事
呀	kɛ³⁵	kɛ3	青～～：绿得不好看
嘅	kɛ⁴⁴³	kɛ5	胜～：干杯
嘅	kɛ⁴⁴³	kɛ5	语气词
嘅	kɛ⁴⁵	kɛ1	形容词，秃的，磨蚀的
□	kʰa²¹	kʰa2	～势：富有
曱	kʰa²¹	kʰa2	～甴
□	kʰa³⁵	kʰa3	～裂：钩着裂开
旮	kʰa⁴⁵	kʰa1	
卡	kʰa⁴⁵	kʰa1	
誇	kʰa⁴⁵	kʰa1	
垮	kʰa⁴⁵	kʰa1	
胯	kʰa⁴⁵	kʰa1	
跨	kʰa⁴⁵	kʰa1	
□	kʰai²¹	kʰai2	～水：到水井打水
逵	kʰɐi²¹	kʰɐi2	
葵	kʰɐi²¹	kʰɐi2	
夔	kʰɐi²¹	kʰɐi2	
愧	kʰɐi²¹	kʰɐi2	
攜	kʰɐi²¹	kʰɐi2	
楷	kʰai³⁵	kʰai3	
塊	kʰai⁴⁴³	kʰai5	
龜	kʰɐi⁴⁵	kʰɐi1	白
規	kʰɐi⁴⁵	kʰɐi1	
稽	kʰɐi⁴⁵	kʰɐi1	
虧	kʰɐi⁴⁵	kʰɐi1	
巋	kʰɐi⁴⁵	kʰɐi1	
盔	kʰɐi⁴⁵	kʰɐi1	
窺	kʰɐi⁴⁵	kʰɐi1	
溪	kʰɐi⁴⁵	kʰɐi1	
揢	kʰak⁴⁵	kʰak7a	动词，逛。～街：逛街
落	kʰak⁴⁵	kʰak7a	动词，卡住，绊住；用线、绳、布等圈闭起来
落	kʰak⁵²	kʰak8	～腰跤：摔跤
螭	kʰɐm²¹	kʰɐm2	
琴	kʰɐm²¹	kʰɐm2	
禽	kʰɐm²¹	kʰɐm2	
擒	kʰɐm²¹	kʰɐm2	
冚	kʰɐm³⁵	kʰɐm3	动词，盖
襟	kʰɐm⁴⁵	kʰɐm1	
衾	kʰɐm⁴⁵	kʰɐm1	
冚	kʰɐm⁵²	kʰɐm6	动词，用盖子等硬物掩盖
近	kʰɐn²¹	kʰɐn2	
鯨	kʰɐn²¹	kʰɐn2	
芹	kʰɐn²¹	kʰɐn2	
勤	kʰɐn²¹	kʰɐn2	
擎	kʰɐn²¹	kʰɐn2	
瓊	kʰɐn²¹	kʰɐn2	
瓊	kʰɐn²¹	kʰɐn2	动词，澄，使液体中的杂质沉下去；凝结
裙	kʰɐn²¹	kʰɐn2	
群	kʰɐn²¹	kʰɐn2	
□	kʰan³⁵	kʰan3	搓麻将时三个相同或按顺序的子
滾	kʰɐn³⁵	kʰɐn3	～动
菌	kʰɐn³⁵	kʰɐn3	
捆	kʰɐn³⁵	kʰɐn3	
頃	kʰɐn³⁵	kʰɐn3	
困	kʰɐn⁴⁴³	kʰɐn5	
坤	kʰɐn⁴⁵	kʰɐn1	
昆	kʰɐn⁴⁵	kʰɐn1	
傾	kʰɐn⁴⁵	kʰɐn1	
哽	kʰɐŋ²¹	kʰɐŋ2	白，不能下咽
哽	kʰɐŋ²¹	kʰɐŋ2	白，不能下咽
梗	kʰɐŋ³⁵	kʰɐŋ3	
鯁	kʰɐŋ³⁵	kʰɐŋ3	动词，鱼刺、骨头等卡在嗓子里
掯	kʰɐŋ⁴⁴³	kʰɐŋ5	把门带上。又读
劥	kʰɐŋ⁴⁴³	kʰɐŋ5	形容词，本义是烟、酒等味道浓烈，比喻人能耐大，有霸气
肱	kʰɐŋ⁴⁵	kʰɐŋ1	
觥	kʰɐŋ⁴⁵	kʰɐŋ1	
轟	kʰɐŋ⁴⁵	kʰɐŋ1	
框	kʰɐŋ⁴⁵	kʰɐŋ1	
掯	kʰɐŋ⁵²	kʰɐŋ6	把门带上。又读
□	kʰap⁴	kʰap7b	把口～～着：嘴巴开合
扱	kʰɐp⁴⁵	kʰɐp7a	动词，盖上
給	kʰɐp⁴⁵	kʰɐp7a	
汲	kʰɐp⁴⁵	kʰɐp7a	
級	kʰɐp⁴⁵	kʰɐp7a	
笈	kʰɐp⁴⁵	kʰɐp7a	
吸	kʰɐp⁴⁵	kʰɐp7a	呼～
夾	kʰap⁵²	kʰap8	动词，捕
夾	kʰap⁵²	kʰap8	过基～：银环蛇
吸	kʰɐp⁵²	kʰɐp8	动词，大口咬，迅速地咬
咳	kʰɐt⁴⁵	kʰɐt7a	
□	kʰat⁵²	kʰat8	量词，用于摊量不太大的糊状物
屐	kʰɐt⁵²	kʰɐt8	
劇	kʰɐt⁵²	kʰɐt8	
臼	kʰɐu²¹	kʰɐu2	
求	kʰɐu²¹	kʰɐu2	
球	kʰɐu²¹	kʰɐu2	
裘	kʰɐu²¹	kʰɐu2	姓
靠	kʰau⁴⁴³	kʰau5	
構	kʰɐu⁴⁴³	kʰɐu5	
購	kʰɐu⁴⁴³	kʰɐu5	
銬	kʰɐu⁴⁴³	kʰɐu5	
叩	kʰɐu⁴⁴³	kʰɐu5	～头
扣	kʰɐu⁴⁴³	kʰɐu5	～住
寇	kʰɐu⁴⁴³	kʰɐu5	
溝	kʰɐu⁴⁵	kʰɐu1	
篝	kʰɐu⁴⁵	kʰɐu1	
媾	kʰɐu⁴⁵	kʰɐu1	动词，追求异性
鬮	kʰɐu⁴⁵	kʰɐu1	执～：抓阄
摳	kʰɐu⁴⁵	kʰɐu1	
郭	kʰɔk⁴	kʰɔk7b	
槨	kʰɔk⁴	kʰɔk7b	棺～：棺材
郝	kʰɔk⁴	kʰɔk7b	姓
涸	kʰɔk⁴	kʰɔk7b	
壑	kʰɔk⁴	kʰɔk7b	
霍	kʰɔk⁴	kʰɔk7b	又读
藿	kʰɔk⁴	kʰɔk7b	
傕	kʰɔk⁴	kʰɔk7b	姓
廓	kʰɔk⁴	kʰɔk7b	
確	kʰɔk⁴	kʰɔk7b	
搉	kʰɔk⁴	kʰɔk7b	动词，用指节敲击
榷	kʰɔk⁴	kʰɔk7b	
確	kʰɔk⁵²	kʰɔk8	动词，玩；为兴趣而做
狂	kʰɔŋ²¹	kʰɔŋ2	
誑	kʰɔŋ²¹	kʰɔŋ2	
慷	kʰɔŋ³⁵	kʰɔŋ3	
伉	kʰɔŋ⁴⁴³	kʰɔŋ5	
抗	kʰɔŋ⁴⁴³	kʰɔŋ5	
炕	kʰɔŋ⁴⁴³	kʰɔŋ5	～床
鄺	kʰɔŋ⁴⁴³	kʰɔŋ5	
曠	kʰɔŋ⁴⁴³	kʰɔŋ5	
況	kʰɔŋ⁴⁴³	kʰɔŋ5	
礦	kʰɔŋ⁴⁴³	kʰɔŋ5	
擴	kʰɔŋ⁴⁴³	kʰɔŋ5	
扛	kʰɔŋ⁴⁵	kʰɔŋ1	动词，用肩膀承托
□	kʰek⁴⁵	kʰek7a	动词，绊别人的脚；互拼
隙	kʰek⁴⁵	kʰek7a	
騎	kʰɛ²¹	kʰɛ2	～马
茄	kʰɛ²¹	kʰɛ2	
伽	kʰɛ³⁵	kʰɛ3	～蓝
瘸	kʰɛ³⁵	kʰɛ3	
瘸	kʰɛ³⁵	kʰɛ3	量词，种，用于事情等，一般与“嚼”配合使用
茄	kʰɛ⁴⁵	kʰɛ1	屎
期	kʰi²¹	kʰi2	时～
祁	kʰi²¹	kʰi2	
岐	kʰi²¹	kʰi2	
其	kʰi²¹	kʰi2	
奇	kʰi²¹	kʰi2	～怪
祈	kʰi²¹	kʰi2	
淇	kʰi²¹	kʰi2	
騏	kʰi²¹	kʰi2	
琪	kʰi²¹	kʰi2	
棋	kʰi²¹	kʰi2	
旗	kʰi²¹	kʰi2	
麒	kʰi²¹	kʰi2	
企	kʰi²¹	kʰi2	
猗	kʰi²¹	kʰi2	站立
沂	kʰi²¹	kʰi2	～蒙山耆
冀	kʰi⁴⁴³	kʰi5	
驥	kʰi⁴⁴³	kʰi5	
龜	kʰi⁴⁵	kʰi1	白
畸	kʰi⁴⁵	kʰi1	
蹊	kʰi⁴⁵	kʰi1	
崎	kʰi⁴⁵	kʰi1	
卻	kʰiak⁴	kʰiak7b	
強	kʰiaŋ²¹	kʰiaŋ2	
繈	kʰiaŋ²¹	kʰiaŋ2	
鉗	kʰim²¹	kʰim2	
黔	kʰim²¹	kʰim2	
虔	kʰin²¹	kʰin2	
乾	kʰin²¹	kʰin2	
㨜	kʰin³⁵	kʰin3	动词，用力扭、捏
虔	kʰin⁴⁵	kʰin1	～洒：癌症，来自英语cancer
喼	kʰip⁴	kʰip7b	～帽：鸭舌帽，来自英语"cap"
愜	kʰip⁴	kʰip7b	～意
篋	kʰip⁴	kʰip7b	手提箱
夾	kʰip⁵²	kʰip8	～住
硤	kʰip⁵²	kʰip8	
揭	kʰit⁴	kʰit7b	
詰	kʰit⁴	kʰit7b	
頡	kʰit⁴	kʰit7b	
碣	kʰit⁴	kʰit7b	
竭	kʰit⁴	kʰit7b	
歇	kʰit⁴	kʰit7b	～后语
蠍	kʰit⁴	kʰit7b	
擷	kʰit⁴	kʰit7b	
喬	kʰiu²¹	kʰiu2	
僑	kʰiu²¹	kʰiu2	
蕎	kʰiu²¹	kʰiu2	
橋	kʰiu²¹	kʰiu2	
繑	kʰiu³⁵	kʰiu3	动词，缠绕。又读
繑	kʰiu³⁵	kʰiu3	计谋
蹺	kʰiu⁴⁵	kʰiu1	
繑	kʰiu⁴⁵	kʰiu1	动词，缠绕。又读
□	kʰo⁴⁵	kʰo1	英
文	kʰo⁴⁵	kʰo1	
□	kʰœ²¹	kʰœ2	跑，因寒冷而手脚僵硬，动作不便
劊	kʰoi³⁵	kʰoi3	
賄	kʰoi³⁵	kʰoi3	
潰	kʰoi³⁵	kʰoi3	～败
丐	kʰoi⁴⁴³	kʰoi5	
鈣	kʰoi⁴⁴³	kʰoi5	
溉	kʰoi⁴⁴³	kʰoi5	
概	kʰoi⁴⁴³	kʰoi5	
檜	kʰoi⁴⁴³	kʰoi5	
慨	kʰoi⁴⁴³	kʰoi5	
愾	kʰoi⁴⁴³	kʰoi5	
曲	kʰok⁴⁵	kʰok7a	
蛐	kʰok⁴⁵	kʰok7a	
麹	kʰok⁴⁵	kʰok7a	
權	kʰɵn²¹	kʰɵn2	
拳	kʰɵn²¹	kʰɵn2	
顴	kʰɵn²¹	kʰɵn2	
䠰	kʰɵn⁴⁵	kʰɵn1	挛～：多向弯曲
邛	kʰoŋ²¹	kʰoŋ2	～崃：地名
窮	kʰoŋ²¹	kʰoŋ2	
穹	kʰoŋ²¹	kʰoŋ2	
䓖	kʰoŋ⁵²	kʰoŋ6	量词，簇，团
藭	kʰoŋ⁵²	kʰoŋ6	芎藭：中药名，俗写作“䓖”
豁	kʰɵt⁴	kʰɵt7b	～达
決	kʰɵt⁴	kʰɵt7b	
訣	kʰɵt⁴	kʰɵt7b	
厥	kʰɵt⁴	kʰɵt7b	
蕨	kʰɵt⁴	kʰɵt7b	～菜
蹶	kʰɵt⁴	kʰɵt7b	一～不振
括	kʰɵt⁴	kʰɵt7b	
了	kʰɵt⁴	kʰɵt7b	
缺	kʰɵt⁴	kʰɵt7b	
闕	kʰɵt⁴	kʰɵt7b	
橛	kʰɵt⁵²	kʰɵt8	一～：一截
桕	kʰu²¹	kʰu2	
舅	kʰu²¹	kʰu2	
箍	kʰu⁴⁵	kʰu1	
枯	kʰu⁴⁵	kʰu1	又读
酷	kʰu⁴⁵	kʰu1	又读
拒	kʰy²¹	kʰy2	
距	kʰy²¹	kʰy2	
渠	kʰy²¹	kʰy2	
瞿	kʰy²¹	kʰy2	姓，又读
衢	kʰy²¹	kʰy2	
拘	kʰy⁴⁵	kʰy1	
駒	kʰy⁴⁵	kʰy1	
跔	kʰy⁴⁵	kʰy1	
俱	kʰy⁴⁵	kʰy1	
區	kʰy⁴⁵	kʰy1	地～
驅	kʰy⁴⁵	kʰy1	
樞	kʰy⁴⁵	kʰy1	
軌	ki³⁵	ki3	
詭	ki³⁵	ki3	
鬼	ki³⁵	ki3	
晷	ki³⁵	kɐi3	又读
簋	ki³⁵	ki3	
幾	ki³⁵	ki3	～多
己	ki³⁵	ki3	
