	注释：-白读；=文读
ɬ	[1]糍{～粑。俗字作“𬖞”}尸司-{公～}丝诗时鲥{～鱼}鹚{鸬～}[3]死[5]四-{数字}肆-{同“四”}[6]是氏示视-{电～}寺恃{有～无恐}
k	[1]奇={3～怪}飢{～饿}饑{～荒}肌祁{～山：地名}基其{～他；量词，相当于“件”“个”}棋期旗箕{簸～}蜞{蟛～：螃蟹的一种}机讥祈{～福}逵葵芪{黄～}□{～□li24：把被火烧热的东西放入水中冷却发出的声音}[3]几{茶～}己{天干}纪杞{枸～}麂{△海里好食马鲛鲳，山里好食～鹿麠}[5]记[6]技忌{～日}
kʰ	[1]欺={～负}蜞{□hu-31～：水蛭。《集韵》渠之切，虫名，水蛭也}㩻{倾斜，歪：～头}[3]齿{喙～：牙齿；牙～；～轮}起[5]器弃{放～}气汽[6]柿
ŋ	[1]宜仪疑[3]拟{～稿}[6]耳饵
ɕ	[1]牺{～牲}熙希稀{～疏}非{～常}飞={～机；人名}妃[3]喜
∅	[1]儿{～童}尔伊{第三人称单数}夷{武～山：地名}姨医饴{高粱～}衣={～裳：衣服}依[3]而已以[5]意忆亿抑‖胰{～皂：肥皂}[6]易{容～}异未={地支；～来}味={口～}
#u	
p	[1]蒲={～扇；～蝇：苍蝇}菩{～萨}瓠{形状大的瓠瓜}[5]富-{财～；～人}[6]妇-{新～：儿媳妇}复{～是：又是}伏{孵}
pʰ	[1]浮-{上～；～动；～力}烰{油炸：～蛎饼（牡蛎肉、红薯粉、蔬菜等油炸而成的食品）}[3]殕{生～：食物长毛，发霉}
m	[3]某{～侬：某人}牡{～丹}母={母亲、妈；阿～：伯母}
t	[1]都{～是；六～、七～：旧时闽清地名划分（现在仍说）}徒{～弟}途图□{悬挂，分音形式为[tu24-44lu44]。蜀□□[tu24-44lu44]：一串}[3]堵{～车}赌肚{手～：小臂肌肉；骹～：小腿肚}[6]肚{鱼～；猪～}妒{嫉～}杜度渡镀
tʰ	[1]涂{土：～地；电～：电池；姓；糊～}[3]土□{伸出；（嘴）向外凸出}[5]吐{～血}兔
n	[1]奴[3]努[6]怒
l	[1]卢炉鸬{～鹚}庐{茅～}[3]鲁卤[5]露鹭[6]路{道～；～线；回～}
ts	[1]租□{形容人没有活力，兴致不高}[3]祖组阻[5]诅{絮絮叨叨地骂街、骂人；～喙：发誓}[6]助={～力}
tsʰ	[1]粗初={起～；～中；～一（年级）}[3]楚础[5]醋
ɬ	[1]苏酥[3]所-{派出～；厕～}[5]诉数{名词：算～；～学}
k	[1]姑菇孤糊-{～～：糊状食物；动词，用黏性物粘贴}痼{～𤶁：麻风病，当地也称“病腿”}[3]古{～代}估{～计}股鼓䀇{盛水、烧水的壶：酒～；茶～；紫砂～}□{盛水、烧水的壶：酒～；茶～；紫砂～}久-{～长：很久；□nik32～：一会儿}□{动词，搅拌}[5]故固雇顾[6]旧
kʰ	[1]枯丘-{量词，段、截；指称田垄围起来的水田：蜀～塍：一丘田}呼-{～鸡，～猪；～八音：借助《戚林八音》，以声、韵、调相拼的方式呼出字音}箍={桶～：箍桶的篾条或铁线；金～棍：金箍棒}蛄{虾～：皮皮虾}[3]古{～塍：古田，地名}苦[5]库裤[6]臼{舂～}
ŋ	[1]吴梧{～桐}牛-{一种动物}□{～～叫：不高兴时嘟囔自语}□{动词，把笨重的东西（如房子、屋顶等）顶起来。～头：杠杆的支点}[3]吾午伍[6]五
h	[1]呼={高～}胡湖狐壶{新～：坂东镇村名}乎夫={～妻}肤俘符芙{～蓉}浮={～力（也可读白读）}糊={～涂}烌{灰。火～：烧灶后的灰烬；元宝～：纸钱燃烧后的灰烬}戽{～水}[3]虎浒{水～}府腑俯釜{～底抽薪}辅[5]付赋傅{姓}附富={～裕}副‖□{～蜞：水蛭}[6]户互护扶父{师～：有某种技艺的人，或传授技艺的人}腐妇={～女}负阜{曲～、～阳：地名}
∅	[1]乌{黑}污坞无{～产阶级}巫诬{～陷}[3]抚{巡～；～台；安～}武舞侮鹉{鹦～}[5]□{溪、河、湖泊中，远离中流、靠近岸边、水流平静的地方：水～}[6]务有-{“无”反：～无}
#y	
t	[1]猪褚{姓}除[5]□{水流淤堵}[6]箸{筷子}
tʰ	[1]锄诛蛛株{人名}殊{特～}[3]□{铲。义同“□tʰœ33”}
n	[1]□{轻柔地擦。～地兜：拖地}[3]女汝{第二人称单数}
l	[1]吕铝旅屡履[6]虑滤
ts	[1]诸{～位}书资姿咨瓷兹滋慈磁□{形容人稳重、低调、成熟}[3]煮子={地支；～女}[5]著{～名；四大名～。有的人读作tsy132}[6]聚驻柱={人名}住={居～}注{～意}自={～动}
tsʰ	[1]舒{～畅：（心情或身体）舒服；在平面上铺开薄物（如被子、布）}[3]储{存～；～蓄}鼠取娶{嫁～}此梓{人名；乡～}‖箠{～□lɛ24：竹枝做的鞭子（根据连读变调规律，单字调为阳平）}[5]处{相～；到～}趣次觑{看，探望。～病：看病人}
ɬ	[1]徐薯{山药；番～}须={必～}鬚={胡～}需输={运～；～电}斯私={自～}师={3老～}司={～令}思{～考}辞词祠[3]暑署{专～；部～}使={3～命}始史[5]塑{～料}庶恕{人名；宽～}赐四={～川}肆={放～}视={近～}思{意～}[6]絮序绪{光～；头～}树={～立}伺{～候}似祀巳嗣饲={～料}士仕事={～实}侍{～女；～奉}□{无～伊：不理睬他}
k	[1]居车{～马炮}渠{～道}拘[3]举[5]据锯矩[6]巨拒距俱具惧
kʰ	[1]趋{～势}枢区驱{～赶}[5]去={过～}
ŋ	[1]鱼渔愚{～公移山}娱[3]语[5]□{形容不喜欢见到或怕见到某人}[6]遇寓
ɕ	[1]墟{赶～}虚嘘{唏～}吁[3]许{姓；远指代词，着～：在那里；副词，～好：那么好}
∅	[1]如于淤余儒迂榆逾愉衣-{～母：胎盘}[3]乳雨宇禹羽[5]□{陪。～侬：陪人}[6]御誉预豫{犹～}喻裕
#a	
p	[1]巴{～掌}芭{～蕉}笆{篱～}粑{糍～}爬琶{琵～}杷{枇～}钯{草～：耙草的工具。△雷拍清明前，无水～早田}疤扒{～船：划船}羓{肉～：肉干}□{□lɛ24～：努力}[3]把{量词；～手}饱靶[5]霸坝百-{数字}柏伯擘{用手掰开}檗{黄～：药名}[6]耙{犁～；徛～：和牛配合的、单人手扶站立使用的耙}罢{～工}爸{郎～：父亲}□{猪～：公猪}‖[9]爸{阿～：父亲（面称）}
pʰ	[1]脬{𡳞～：阴囊；癫～：疯子；野～：行为上很坏、猖狂（近些年有此说法，可能从福州方言借入）}□{动词，撒网（圆形渔网）}[5]拍{打}
m	[1]麻={指味道麻；～雀：麻将}毛-{～竹；～笋}猫-{动物}□{用手抓物。～晬：小孩一周岁抓周}[3]马码{～头}妈{阿～：奶奶；老～：老婆}[5]骂‖[9]妈{□m̩-44～：妈妈（面称）}
t	[1]茶焦-{干。曝～：晒干；～通：干燥}□{干。曝～：晒干；～通：干燥}[3]打{～谷机}□{～索：绞绳子；～缠：形容人头脑不清楚。《广韵》竹下切，絮相着皃，原文作“⿰糹奓”}
tʰ	[1]他{其～}[5]䖳{海蜇}澈{形容干净、（水）清澈。～洁：干净}
n	[1]□{用大拇指和另一根手指（多为中指）丈量长度；指两根手指之间的长度}[6]若-{连词，表假设，如果：～有}
l	[1]拉{拖拉；～链}□{～□tsʰa24-44：脏，不干净}‖[3]□{～□li33：穿山甲}
ts	[1]查{调～}楂{山～}渣[3]早{～头：早上}[5]诈{～骗}榨{～油}炸{～弹；油～}窄{宽～}
tsʰ	[1]叉差{～别；～不多；参～不齐}柴瘥{病情好转、缓解}□{□la24-44～：脏，不干净}[3]炒
ɬ	[1]纱师-{1～父}沙={～石料；～筛。形容口感；豆～包}砂{朱～}痧{刮～}[5]□{动词，（动物、人）性交，常用于詈语}
k	[1]家{～～：叔叔}加嘉佳胶铰{～刀：剪刀；～断}‖□{～蚤：跳蚤}[3]假{真～}贾{姓}绞-{螺丝～：螺丝刀；～拌机：搅拌机；～面：擀面}[5]假{放～}架驾价教-{～书；～徒弟}珓{～杯：占卜吉凶的用具。有的人读作ka24}阁搁格隔{山～、～门：两座山之间的低谷；～壁：邻居}[6]咬-{动作}
kʰ	[1]骹{脚。凑～：（打牌、打麻将等游戏中）凑人头。量词，蜀～鞋：一隻鞋；蜀～桶：一个桶}鲛{马～：鱼名}[5]客{侬～：客人；～车}卡{银行～；～车}‖□{～□liu53：玩}
ŋ	[1]牙芽桠={开～墿：岔路}□{蜻～：蜻蜓}[3]衙{～门}雅[5]□{～□tsʰi24：知了，蝉}
h	[1]虾霞□{臭～：食物变质的臭味}□{～秆：捆扎稻草}[6]厦{大～}夏{姓；春～；立～}下={4～降；～落}
∅	[1]阿{亲属称谓词前缀，～哥：哥哥}[3]丫{～头：丫鬟}哑{病～：哑巴}亚拗{（双手用力）折}[6]下-{1上～；～底：下面}厦{～门：地名}
#ia	
p	[5]臂璧壁
pʰ	[1]陂{山～：山脊至山沟之间的侧面山坡}□{（原本竖直的物体）倾斜，歪}[5]僻{偏～}
t	[1]爹
tʰ	[5]□{跟随（一般指小一辈跟着大一辈）}
n	[3]惹{招惹；逗（小孩）}[5]□{～哥/囝：小孩子}
l	[5]□{用火燎一下}
ts	[1]遮{～被：盖被子}[3]姐者{记～}[5]蔗笊{～篱}迹{骹～：脚印}隻{量词。蜀～侬：一个人；□tsiek5～：这个；真侪～：真多个}漈{有高度差的小瀑布：落～}□{近指代词，这。～侬：这人；趁～机会：趁机}□{句首发语词，引起后面要说的话}
tsʰ	[1]车{交通工具}[3]且[6]镲{～～：乐器，小钹}
ɬ	[1]邪{～教}斜{不正。～洋：塔庄镇村名}蛇赊佘{姓}畲桸{舀水的工具}[3]写捨{舍得}舍{宿～}[5]泻卸赦[6]谢射麝{～香}社
k	[5]寄{～批：寄信}[6]下{2方位。行～：向下走}
kʰ	[1]奇-{1～数：单数}骑欺-{～侬：欺负人}[5]崎{地不平、有斜坡，常用于形容山坡、悬崖。当地俗字作“𢆓”。𢆓头：坂东镇地名}□{～厝：起房子、建房子}徛{地不平、有斜坡，常用于形容山坡、悬崖。当地俗字作“𢆓”。𢆓头：坂东镇地名；～厝：起房子、建房子}[6]徛{站，立}
ŋ	[1]鹅奇-{2（数字、事情等）不刚好、差一点。～～□li0、野～：分东西时，不能恰好分配；可引申为很不巧，或有意料之外的事发生}[5]艾{～草}[6]蚁
∅	[3]也野{山～；～菜。副词，表示程度高}冶{读字}[6]夜□{播撒，撒种。～菜籽；～肥料；～粪}
#ua	
t	[1]□{～鱼：鳖}
tʰ	[1]拖{～拉机；～把}
ts	[1]爪{鸡～}
k	[1]戈{兵器}瓜[3]寡剐[5]挂卦
kʰ	[1]夸
ŋ	[3]瓦{电量单位}[6]瓦{瓦片}
h	[1]花华{中～；～山；姓}铧[5]化
∅	[1]鸦{乌～；老～：白颈鸦，当地认为是不详之鸟，△老～叫，别侬死}蛙[3]□{中途拐道别处}倚{动词，靠}[6]画话
#ɛ	
p	[1]排{～长；～队}□{用食品供奉神灵或祖宗，～月奶：供月神。～摊：摆摊}牌碑[3]摆{调转方向，分音形式为[pɛ33lɛ33]：向左～}
pʰ	[1]䱝{洋～：青蛙}□{洋～：青蛙}[3]䫌{面～：脸颊；股□tsʰyoŋ24～：屁股；～～：女阴；大舌～：口吃，或口吃的人的绰号}[5]稗{△播蔸伓大～大：水稻不大稗草大，形容有心栽花花不开}
m	[1]□{站立时俯身向下}[3]买[6]卖𣍐{不会，“解”[ɛ132]反}
t	[1]低题蹄[3]底抵[5]帝[6]弟={兄～；堂～；～子}第递□{遮盖。～被：盖被子}
tʰ	[3]体[5]替屉
n	[1]泥尼邌{～～婆：做事拖拉、磨蹭的人}□{形容人说话故意娘娘腔}□{用脚拖动踩死}[3]奶{娘～：母亲；契～：干妈；姑～：姑妈}
l	[1]犂黎璃{玻～}□{～□pa24：努力}‖□{箠～：竹枝做的鞭子}[3]礼[6]励丽隶{奴～；～书}
ts	[1]斋齐脐={～带；～橙}𱹁{一种用粳米制作的，用于供祖宗和鬼神的食品}[3]䶩{𣍐～：不齐，可形容牙齿、脚踝（指崴脚）、砖头等}[5]济{～南：地名；经～}[6]剂{量词，指称药；药～}
tsʰ	[1]差{出～}妻栖[5]粞{糯米加水、磨碎再晒干制成的粉。～丸：汤圆}
ɬ	[1]西[3]洗[5]细{～～弟：小弟弟；～腻：客气，或做事认真}婿={读字}[6]侪{多。～少：（数量）多少}□{多。～少：（数量）多少}
k	[1]街[3]解-{讲～；～开；了～}[6]□{（人、动物等活物）被抓}
kʰ	[1]溪䶞{人或动物用门牙咬的动作。～瓜子：嗑瓜子}□{人或动物用门牙咬的动作。～瓜子：嗑瓜子}[5]快-{与“慢”相对}
ŋ	[1]桠-{树～：树杈}倪{姓}[3]□{形容眼睛视物不正、斜视}
h	[1]□{形容人唉声叹气：～～叫}[3]□{斜视，斜瞟。～侬：用眼白看人，不正眼看，带有不尊重的意味}[6]蟹{老～：田间淡水蟹}
∅	[1]鞋挨{（缓慢均匀用力地）推：～车，～门；推延时间：～时间}[3]矮[6]下-{3～底：下面}解{～𣍐：会不会；～咯：口语中表示肯定回答。《广韵》胡买切，晓也}
#ie	
p	[5]□{跑}[6]避{～免；回～；着～：要回避}‖[9]□{棕□liu-44～：撕成细条的棕叶，捆粽子用}
pʰ	[1]批{书信，～袋：信封；～发}𠜱{削皮（可以厚削）：～番薯}
t	[1]池[3]裏{～边；～外；厝～：老婆；岭～：省璜镇村名}[6]弟-{阿～：弟弟；大～；二～}蛎{海～}
tʰ	[1]啼{哭}[3]扯{～开：撕开}[5]剃□{～手：顺手，顺便}
l	[1]篱{～笆；笊～}厘荔{～枝}[3]□{砌（不平整的石块）}[6]例离{～别；～开}
ts	[1]支{量词，指称条状物品；～持}枝肢脂{胭～；～肪}芝[3]紫[5]祭{～奠}际制炙{～药：炮制中药}
tsʰ	[5]刺翅{鱼～}
ɬ	[1]施{细小的东西从上往下洒落。～蜀地下：洒落一地；～工}匙{锁～；铁～：锅铲}[5]世势誓[6]舐{用舌头舔}豉{～油：酱油}
k	[1]鸡稽{滑～}圭闺奎岐{魁～：地名}妓规窥羁{红线～骹：结婚时，用红线将公鸡、母鸡的脚相连，寓意夫妻一世专一}[5]计继桂季[6]□{～空：（肚子）容易饿}
kʰ	[3]启企[5]契{～约；地～}
ŋ	[6]艺外-{～头；～公；～妈：外婆；～甥}谊义议毅
ɕ	[1]携[5]废肺戏费[6]係{关～}繫{联～}惠慧
∅	[1]移[3]椅
#ɔ	
p	[1]波{浪～}菠{～薐菜：菠菜}玻{～璃}婆袍={龙～；大红～}葡{～萄}[3]褒{～奖；～贬}保堡宝[5]播={～种；广～}报嚗{破口大骂，辱骂}[6]抱暴爆
pʰ	[1]坡{山～}[3]颇{～好}[5]破={～四旧；～坏}粕{渣。蔗节～：甘蔗渣；药～}
m	[1]魔馍{皮肤上隆起的包；发风～：长风疹。～～：馒头}蟆{山松～：蛤蟆}无-{没有}毛={生于动植物表皮}[3]母-{公～（一般指动物，指人时有调侃义）；鸭～：母鸭；石头～：大石头}拇{掌头～：大拇指}姆{人名}[5]□{重重敲打（有无工具均可）。讨～：找打}[6]磨={名词，石～}冒帽
t	[1]多{差不～}驼{骆～}驮{～木头}刀滔掏{拿}逃={～兵；出～}涛{波～}□{收～：收拾、整理（行李、卫生）}沱{滂～}[3]祷岛倒{打～；推～}[5]倒{～水}到{迟～；报～；签～}桌[6]道稻{水～}盗导
tʰ	[1]桃淘{～米}陶{姓}萄{葡～}[3]讨{～菜：（在菜园）摘菜；～钱：催讨债务}[5]套
n	[1]挪{～用}[3]脑恼{读字}
l	[1]罗锣萝{红～卜}啰{～唆}劳牢涝{雨～；～灾}捞={～面：把面放入锅中煮熟}痨{□tsʰiek5～：痨病}[3]老={～师；～办法}□{～～：一种篾条制成的、编制细密的提篮}𤶁{痼～：麻风病}[5]□{套上（外包装）；披上（衣服）}[6]𤶁{㾸～：疥疮}
ts	[1]遭{～遇}曹{姓}槽={～钢}[3]左佐枣[5]做[6]座皂{胰～：肥皂}造矬{～～：形容人矮墩墩的}
tsʰ	[1]搓{～索：搓麻绳}操={～作；曹～：人名}臊{鱼类腥味重}[3]草={～鱼；潦～}□{食用碱}[5]措{～施}错{～误}糙{粗～；～米}
ɬ	[1]梭{织布梭}唆{啰～}槽-{马～；水～；竹～}缲{～边}𥆝{～□lɔ24转：眼睛四处乱看（贬义）。分音形式为[ɬɔ24-44lɔ24-44]。《广韵》素何切，偷视也}[3]锁嫂
k	[1]歌哥高{～中}膏篙{船～；竹～}糕㾸{～𤶁：疥疮}[3]稿搞{～破坏}[5]个{～人；～别}告□{烹饪方式，煎。～饼：烙饼}
kʰ	[1]柯{姓}苛{手握权力的负责人故意不给人办事}□{当头一棍打人}□{烹饪方式，文火慢熬，使食物吸收汤汁的味道。俗字作“炣”}[3]可考烤[5]靠犒{～劳}
ŋ	[1]蛾俄{～国}娥{嫦～}熬{～药}鳌[3]我={人名}[6]饿{～死}傲{大～：很骄傲，自以为是}鏊{饼～：烙饼工具}
h	[1]何{姓}荷{～花；薄～}豪壕毫嚎{～叫}[3]好{形容词}[5]耗[6]贺浩号{～码；蜀～：一样}好{～食：贪吃}
∅	[1]河阿{～胶；～房宫}[3]袄[5]奥懊{～恼；～悔}澳{～门}[6]□{双手合十，掌心握香，拜神明的动作}
#uo	
p	[1]蒲-{菖～}夫-{丈～}麸{麦～}柎{量词，朵，指称花、香菇、黑木耳等}晡{暝～：夜晚；蜀～：一晚上}埔{地名用字，梅～：梅城镇地名}莆{～田：地名}[3]补斧{～头}捕{逮～}[5]布播-{～蔸：刚种下还未成熟的禾苗；～塍：插秧}剥-{～皮}[6]部簿步
pʰ	[1]铺{～马墿：铺马路；被～：床铺}[3]谱普浦捕{～头}甫{杜～：人名}脯{肉～}[5]铺{长度单位，一铺等于十里}
m	[1]模{～具；～范}雾{落～：起雾}摸[5]墓[6]暮慕募戊{天干之一}瞀{眼睛模糊不清}
t	[1]屠{～杀}厨橱{～柜}[3]□{～杖：方便挑夫在路上临时休息或换肩所用的“丫”字形撑杖}[6]墿{道路：车～}□{道路：车～}
tʰ	[3]妥{～协}椭{～圆}
l	[3]裸虏{俘～}
ts	[1]朱珠={珍～；露～；人名}[3]主{～任；～要}[5]註{註：～解}铸烛
tsʰ	[1]□{拧：～螺丝}[5]厝{房子}戍{房子}粟-{没有去壳的水稻子实}
ɬ	[1]输-{～赢}[3]所={～以}
k	[1]锅{火～}[3]果={水～；苹～}[5]过{～街；通～}句
kʰ	[1]科窠{鸟～：鸟巢}瘸{～骹：瘸脚}靴{鞋～}[5]课{～本}去-{与“来”相对}曲-{～尺：木工工具}
ŋ	[6]卧{～铺}误{错～；～会}悟{觉～}
h	[1]和{～气}[3]火={肝～：火气}[5]货[6]祸
∅	[6]芋
#yo	
t	[3]贮{盛，装进容器里：～饭}
ts	[5]借{～问；～条；～贷}
tsʰ	[5]尺
k	[1]桥
∅	[1]□{花朵、蔬菜等植物蔫了；人精神不振作}[6]锐悦{愉～}
#œ	
m	[1]□{～～：马虎，不认真；野～：形容人不守信用，答应过后就忘了}
t	[6]苎{指苎麻}
tʰ	[3]□{动词、名词、量词，铲。鼎～：锅铲。义同“□tʰy33”}
n	[1]嬝{扭摆，形容动作风骚：～来～去}[3]□{□tøyŋ-24～：疑问代词，哪里}
l	[1]驴□{滑动。～～板：滑滑梯}[3]□{形容（老人）智力、能力下降}[5]鑢{锯～：锉锯子工具；柴～：锉木柴工具}[6]□{形容动物到处吃食物，也用于调侃人一直吃东西}
ts	[1]□{形容女性对待男女关系太随便，贬义}[6]助-{帮～}
tsʰ	[1]初-{～一（农历时间）}□{动词，用不好的口气、态度顶撞人：～侬}[5]□{～目珠：揉眼睛；～黑板：擦黑板；铅笔～：铅笔擦；～瓤：丝瓜瓤。原文作“⿰扌苴”}
ɬ	[1]梳疏{亲～}[3]黍{高粱}[5]疏{写～、作～：宗教活动中写给阴间、神灵并焚化的祝告文；写～先生：写祝告文的人}玺{玉～}
k	[5]□{叫、喊。～侬：叫人}
kʰ	[1]□{愚笨}
h	[5]□{用工具或声音驱赶动物：～羊、～鸡。△～鬼骂阎王：形容一个人凶恶，发出很大的声音}
#ai	
p	[6]败
t	[1]台𧉟{一种小虫，多长在鸡窝里、米糠里、床上}□{一种小虫，多长在鸡窝里、米糠里、床上}[5]戴带碓{～米：去掉稻谷的皮，剩下米糠；车～：以水车为动力的碓米工具；踏～：使用人力脚踏的碓米工具}殆{不顺、不尽人意}[6]大={～学；～夫}贷待{接～}代={～表}事-{～□ie31：事情；做～}逮{～捕}
tʰ	[2]治-{杀，俗字作“刣”。～猪；～人}[5]态太泰
n	[6]耐奈{无～；～何}
l	[2]来={人名}雷-{拍～：打雷}箩{篾条制成的、编织细密的容器（大个、有耳），多用来盛稻谷、粮食}[5]濑{溪流的浅滩。}[6]赖癞{生～：长癞痢}
ts	[2]才材财豺[5]再载{～重；～满}债[6]在{实～；现～}寨{□任凭、随便：～汝去做}
tsʰ	[5]菜蔡
ɬ	[2]脐-{腹～：肚脐}[5]婿-{□nieŋ53～：女婿（因声母类化现象，读作[nieŋ53-31nai31]）}使-{2大～}
k	[5]概{～率}溉慨{感～}盖界芥{～蓝花：花菜}尬{尴～}届
kʰ	[5]概{大～}
ŋ	[2]□{坏}
h	[2]孩䀁{陶瓷器：～器}□{陶瓷器：～器}颏{下～：下巴}[6]亥{地支}害骇{惊涛～浪}
∅	[5]爱{关～；～做：喜欢做；～睏：很困}[6]碍
#uai	
p	[5]簸{上下簸的动作；～箕}拜
pʰ	[5]破{东西因损伤而不完整。～水：挖开沟渠，把田里的水排出}派{帮～}
m	[2]磨-{动词，～刀；～石：磨刀石}麻-{植物，纤维可制成麻布；油～：芝麻，可用于榨油。出～：麻疹}埋[6]□{动词，背}
t	[6]大-{～小}
ts	[2]□{近指代词，这里，“隻块”合音。着～：在这里}
k	[2]槐[5]怪
kʰ	[5]快={～乐；爽～}
h	[2]怀淮□{远指代词，那里，“许块”合音。着～：在那里}[6]坏{～分子；破～}
∅	[6]夥{偌～：疑问代词，问数量，相当于“多少”}
#ɛi	
p	[3]□{量词，次：蜀～两～：一次两次}
pʰ	[3]痞{坏，下流，不正派。～囝：泛指不正派、不务正业、做坏事的人}
t	[1]呆堆秮{一种小米（比一般小米的颗粒小）}[3]短{短：长～}
tʰ	[1]胎苔{舌～}筛{动词，～沙。名词，沙～；米～}梯推-{～板：用推刀刨木板}[3]腿
n	[3]乃
l	[1]颣{（条状物或人身上的）疙瘩、结}[3]垒{动词，把东西叠起来。堡～；～球}
ts	[1]灾栽[3]宰载{蜀年半～：一年半载}纸滓{渣～洞}指-{掌～：手指}趾{骹掌～：脚趾}嘴{壶嘴；～真会辩：讽刺人嘴巴源源不断地说，贬义；～真好使：大人调侃小孩很会辨别东西好不好吃}
tsʰ	[1]钗[3]彩采髓{骨～}
ɬ	[1]蓑{棕～：蓑衣}沙-{土～}私-{～家钱：私房钱}师-{2～公：道士}狮衰{野～：打牌时手气不好瘦}[3]屎使-{1用；～用}驶
k	[1]该皆阶{～级}[3]改介解={～放军；～决；～释}
kʰ	[1]开={～水；～关（名词）}[3]凯楷
h	[3]海
∅	[1]哀{～悼}[3]蔼{和～}倚{动词，靠，引申为有靠山}
#ɔi	
t	[5]对□{蜀～钱：一块钱，原文作“块”}[6]代-{第几～}袋兑{～换；～卦。有的人读作tɔi31}
tʰ	[5]退{～悔：后悔；～色}
n	[2]□{男性生殖器，或称“～鸟”，连读音[（nɔi53＞）nɛi33iu33]}[1]内
l	[2]螺{塍～：田螺}脶{斗形手指纹；无～：簸箕形手指纹；头发旋儿}雷={响～公：打雷}
ts	[5]最缀{点～}赘{入～}晬{做～：庆贺小孩一周岁}[6]罪
tsʰ	[5]碎剉{～树：砍树}莝{～树：砍树}
ɬ	[5]帅{元～}率{～领}[6]坐
#iu	
p	[1]标彪[3]表
pʰ	[1]飘漂{～浮；打水～}[2]瓢嫖{～赌}鳔{鱼～}薸{浮萍}□{羊～：公羊}[5]漂{～白；～亮}票
m	[2]苗描[3]藐渺秒杳{～然}杪{形容（建材、支撑物等）太细或受力不足；引申为人的实力不足}[6]庙妙谬{～论}
t	[1]刁貂雕={沙～；冰～}[2]朝{～阳；～代}潮调={～料}绸[3]拄{木～：建房时临时的支撑柱；□tuo33～：方便挑夫在路上临时休息或换肩所用的撑杖；上～下碰：形容夹在中间难做人；用言语顶撞人：～侬}[5]钓吊={～车}[6]住-{～厝：住处}地{～下}粙{水稻：割～}赵{姓}兆召{～开}调{音～}宙
tʰ	[1]挑{揭～：房屋构件，一端在墙内，一端伸出墙外的木条}抽[2]筹{～备}[3]丑{地支}[5]跳粜{卖粮食：～米}[6]柱-{柱子}□{肉～：粉刺}
n	[1]□{（皮肤、衣服等）表面皱，起褶}[3]纽{～扣}扭鸟={花～}[5]□{动词，掐（身上的肉），采摘（茶叶、菜）}[6]尿
l	[1]溜[2]燎{星火～原}疗聊辽瞭{～望台}流={水～；清～：地名；人名}留={滞～地}榴{石～}硫{～黄}琉{～璃}寮{简易的棚子：木～，草～。梅～：塔庄镇村名}‖□{□kʰa31～：玩}[3]寥{～～无几}了{～解；为～}柳[6]□{搅动、翻动。～糊：淀粉或面粉调水后搅拌，煮成浆糊}‖□{棕～□pie-44：撕成细条的棕叶，捆粽子用}
