# 	聲韻 	聲調 	字元 	字數	http://humanum.arts.cuhk.edu.hk/Lexis/lexi-mf/dialectIndex.php?point=A
439 	tʰiã 	陽平24 	甜, 塡, 田		3
440 	tʰiã 	上聲53 	舔, 腆		2
441 	tʰuã 	陰平21 	貒		1
442 	tʰuã 	陽平24 	糰, 團		2
443 	tʰuẽ 	陽平24 	童, 囤, 臀, 屯		4
444 	tʰaŋ 	陰平21 	湯		1
445 	tʰaŋ 	陽平24 	塘, 搪, 糖, 唐, 螳, 堂, 棠		7
446 	tʰaŋ 	上聲53 	趟, 淌		2
447 	tʰaŋ 	去聲44 	燙		1
448 	tʰəŋ 	陰平21 	吞		1
449 	tʰəŋ 	陽平24 	疼, 謄, 藤, 騰		4
450 	tʰiŋ 	陰平21 	聽, 廳, 庭, 廷		4
451 	tʰiŋ 	陽平24 	停, 亭		2
452 	tʰiŋ 	上聲53 	艇, 挺		2
453 	tʰiŋ 	去聲44 	停		1
454 	tʰuŋ 	陰平21 	捅, 通		2
455 	tʰuŋ 	陽平24 	銅, 同, 桐, 茼, 瞳, 童, 筒, 潼		8
456 	tʰuŋ 	上聲53 	桶, 筒, 統		3
457 	tʰuŋ 	去聲44 	痛		1
458 	ni 	陰平21 	匿, 逆, 你		3
459 	ni 	陽平24 	倪, 誼, 尼, 呢, 泥, 疑, 宜		7
460 	ni 	上聲53 	你		1
461 	ni 	去聲44 	泥, 膩		2
462 	ny 	上聲53 	女		1
463 	na 	陰平21 	捺, 納		2
464 	na 	陽平24 	拿		1
465 	nia 	陰平21 	押, 壓, 伢		3
466 	nia 	陽平24 	牙		1
467 	nia 	去聲44 	軋		1
468 	niɛ 	陰平21 	聶, 鑷, 捏, 業, 孽		5
469 	niɛ 	去聲44 	苶		1
470 	nuo 	陽平24 	挪		1
471 	nuo 	上聲53 	諾		1
472 	nyo 	陰平21 	握		1
473 	nai 	陽平24 	捱, 崖		2
474 	nai 	上聲53 	奶		1
475 	nai 	去聲44 	耐, 奈, 那		3
476 	nau 	陽平24 	撓, 鐃		2
477 	nau 	上聲53 	惱, 腦		2
478 	nau 	去聲44 	鬧, 癆		2
479 	niau 	上聲53 	咬, 鳥		2
480 	niau 	去聲44 	尿		1
481 	nou 	陽平24 	奴		1
482 	nou 	上聲53 	努		1
483 	nou 	去聲44 	怒		1
484 	niou 	陽平24 	牛		1
485 	niou 	上聲53 	紐, 扭		2
486 	niou 	去聲44 	拗, 謬		2
487 	nã 	陽平24 	南, 難, 男		3
488 	nã 	去聲44 	難, 湳		2
489 	niã 	陰平21 	蔫		1
490 	niã 	陽平24 	嚴, 言, 年		3
491 	niã 	上聲53 	碾, 攆, 眼		3
492 	niã 	去聲44 	念		1
493 	nuã 	上聲53 	卵, 暖		2
494 	nuẽ 	去聲44 	嫩		1
495 	naŋ 	陰平21 	骯, 囔		2
496 	naŋ 	上聲53 	攮		1
497 	niaŋ 	陽平24 	娘		1
498 	niaŋ 	上聲53 	仰		1
499 	niaŋ 	去聲44 	娘		1
500 	nəŋ 	陽平24 	能		1
501 	niŋ 	陽平24 	凝, 擰, 寧		3
502 	niŋ 	去聲44 	寧, 硬		2
503 	nuŋ 	陽平24 	膿, 聾		2
504 	nuŋ 	去聲44 	弄		1
505 	li 	陰平21 	力, 荔, 立, 栗, 曆		5
506 	li 	陽平24 	剺, 犁, 梨, 離, 籬, 黎, 釐		7
507 	li 	上聲53 	里, 理, 禮, 鯉, 裏, 李		6
