# 	聲韻 	聲調 	字元 	字數	http://humanum.arts.cuhk.edu.hk/Lexis/lexi-mf/dialectIndex.php?point=A
963 	kuo 	上聲53 	餜, 果, 裹		3
964 	kuo 	去聲44 	過		1
965 	kai 	陰平21 	該, 跟		2
966 	kai 	上聲53 	改		1
967 	kai 	去聲44 	漑, 蓋, 丐, 概		4
968 	kuai 	陰平21 	乖		1
969 	kuai 	上聲53 	拐		1
970 	kuai 	去聲44 	怪		1
971 	kei 	陰平21 	革, 隔, 格, 槅		4
972 	kei 	上聲53 	給		1
973 	kuei 	陰平21 	歸, 閨, 國, 龜, 虢, 規		6
974 	kuei 	上聲53 	軌, 鬼, 詭, 癸		4
975 	kuei 	去聲44 	貴, 櫃, 跪, 瑰, 桂		5
976 	kau 	陰平21 	糕, 膏, 高		3
977 	kau 	上聲53 	稿, 搞, 膏		3
978 	kau 	去聲44 	告, 膏		2
979 	kou 	陰平21 	勾, 鉤, 溝		3
980 	kou 	上聲53 	垢, 狗		2
981 	kou 	去聲44 	够, 構, 購, 妬, 彀, 苟		6
982 	kã 	陰平21 	柑, 肝, 竿, 乾, 甘, 干, 桿		7
983 	kã 	上聲53 	感, 趕, 橄, 稈, 桿, 幹, 敢, 擀		8
984 	kã 	去聲44 	幹		1
985 	kuã 	陰平21 	棺, 關, 官, 觀		4
986 	kuã 	上聲53 	管, 館		2
987 	kuã 	去聲44 	罐, 灌, 貫, 觀, 慣, 冠		6
988 	kẽ 	陰平21 	根, 跟		2
989 	kuẽ 	上聲53 	滾		1
990 	kuẽ 	去聲44 	棍		1
991 	kaŋ 	陰平21 	崗, 岡, 缸, 剛, 鋼, 綱		6
992 	kaŋ 	陽平24 	剛		1
993 	kaŋ 	上聲53 	港		1
994 	kaŋ 	去聲44 	杠		1
995 	kuaŋ 	陰平21 	光		1
996 	kuaŋ 	陽平24 	光		1
997 	kuaŋ 	上聲53 	廣		1
998 	kuaŋ 	去聲44 	逛, 光, 桄		3
999 	kəŋ 	陰平21 	粳, 耕, 更, 羹, 庚		5
1000 	kəŋ 	上聲53 	梗, 耿		2
1001 	kəŋ 	去聲44 	更		1
1002 	kuŋ 	陰平21 	供, 恭, 公, 躬, 弓, 宫, 工, 功		8
1003 	kuŋ 	上聲53 	汞, 鞏, 攻, 拱		4
1004 	kuŋ 	去聲44 	供, 共, 貢		3
1005 	kʰɯ 	陰平21 	咳, 坷		2
1006 	kʰu 	陰平21 	哭, 枯, 窟		3
1007 	kʰu 	上聲53 	苦		1
1008 	kʰu 	去聲44 	庫, 褲		2
1009 	kʰa 	上聲53 	卡		1
1010 	kʰua 	陰平21 	誇		1
1011 	kʰua 	上聲53 	骻, 垮, 跨		3
1012 	kʰɤ 	陰平21 	渴, 可, 磕, 殼, 瞌		5
1013 	kʰɤ 	上聲53 	可		1
1014 	kʰuo 	陰平21 	擴, 闊, 廓, 科, 括		5
1015 	kʰuo 	上聲53 	顆, 棵		2
1016 	kʰuo 	去聲44 	嗑, 課		2
1017 	kʰai 	陰平21 	開		1
1018 	kʰai 	上聲53 	凱, 楷, 慨		3
1019 	kʰuai 	上聲53 	塊, 會		2
1020 	kʰuai 	去聲44 	快, 筷		2
1021 	kʰei 	陰平21 	刻, 客, 克		3
1022 	kʰuei 	陰平21 	盔, 虧, 規		3
1023 	kʰuei 	陽平24 	茴, 葵, 逵, 奎, 魁		5
1024 	kʰuei 	去聲44 	潰, 愧		2
1025 	kʰau 	上聲53 	烤, 考, 拷		3
1026 	kʰau 	去聲44 	銬, 犒, 靠		3
1027 	kʰou 	陰平21 	口, 摳		2
1028 	kʰou 	陽平24 	扣		1
1029 	kʰou 	上聲53 	口		1
1030 	kʰou 	去聲44 	扣, 叩		2
1031 	kʰã 	陰平21 	勘, 看, 堪, 刊		4
1032 	kʰã 	上聲53 	砍, 龕, 坎		3
1033 	kʰã 	去聲44 	看		1
1034 	kʰuã 	陰平21 	寬		1
1035 	kʰuã 	上聲53 	款		1
1036 	kʰẽ 	陰平21 	懇, 墾		2
1037 	kʰẽ 	上聲53 	肯		1
1038 	kʰuẽ 	陰平21 	昆, 坤, 崑		3
1039 	kʰuẽ 	上聲53 	綑, 齦		2
1040 	kʰuẽ 	去聲44 	困		1
1041 	kʰaŋ 	陰平21 	慷, 糠, 扛, 康		4
1042 	kʰaŋ 	去聲44 	抗, 炕		2
1043 	kʰuaŋ 	陰平21 	框, 眶, 筐		3
1044 	kʰuaŋ 	陽平24 	狂		1
1045 	kʰuaŋ 	去聲44 	曠, 礦, 况, 框		4
1046 	kʰəŋ 	陰平21 	坑		1
1047 	kʰuŋ 	陰平21 	空		1
1048 	kʰuŋ 	上聲53 	孔, 恐, 控		3
1049 	kʰuŋ 	去聲44 	空, 控		2
1050 	ŋɤ 	陰平21 	惡		1
1051 	ŋɤ 	陽平24 	蛾, 訛, 鵝, 俄		4
1052 	ŋɤ 	上聲53 	我		1
1053 	ŋɤ 	去聲44 	餓		1
1054 	ŋai 	陰平21 	哀, 挨, 俺		3
1055 	ŋai 	陽平24 	癌, 呆		2
1056 	ŋai 	上聲53 	矮, 礙		2
1057 	ŋai 	去聲44 	艾, 愛		2
1058 	ŋei 	陰平21 	額, 扼		2
1059 	ŋau 	陰平21 	爊, 熬		2
1060 	ŋau 	陽平24 	熬		1
1061 	ŋau 	上聲53 	襖		1
1062 	ŋau 	去聲44 	鏊, 傲, 奧, 澳		4
1063 	ŋou 	陰平21 	嘔, 慪, 歐		3
1064 	ŋou 	上聲53 	偶, 藕, 毆		3
1065 	ŋou 	去聲44 	慪, 漚		2
1066 	ŋã 	陰平21 	庵, 鞍, 鵪, 安		4
1067 	ŋã 	上聲53 	揞		1
1068 	ŋã 	去聲44 	暗, 案, 按, 岸		4
1069 	ŋẽ 	陰平21 	恩		1
1070 	ŋaŋ 	陰平21 	昂		1
1071 	xɯ 	陽平24 	核		1
1072 	xu 	陰平21 	忽, 乎, 呼		3
1073 	xu 	陽平24 	核, 狐, 和, 蝴, 胡, 喉, 湖, 糊, 瓠, 壺, 鬍		11
1074 	xu 	上聲53 	虎		1
1075 	xu 	去聲44 	戶, 互, 瓠, 糊, 護		5
1076 	xa 	陰平21 	, 瞎		2
1077 	xa 	去聲44 	下, 嚇, 	3
1078 	xua 	陰平21 	華, 化, 花		3
1079 	xua 	陽平24 	滑, 鏵, 猾, 划		4
1080 	xua 	去聲44 	華, 畫, 話, 化, 樺, 劃		6
1081 	xuo 	陰平21 	豁, 霍, 喝, 鶴, 獲, 郝, 藿, 劐		8
1082 	xuo 	陽平24 	盒, 和, 活, 河, 禾, 合, 飴, 荷, 何		9
1083 	xuo 	上聲53 	火, 夥		2
1084 	xuo 	去聲44 	禍, 賀, 貨, 和		4
1085 	xai 	陰平21 	核		1
1086 	xai 	陽平24 	鞋, 還, 孩		3
1087 	xai 	上聲53 	海		1
1088 	xai 	去聲44 	亥, 害		2
1089 	xuai 	陽平24 	槐, 淮, 懷		3
1090 	xuai 	去聲44 	壞		1
1091 	xei 	陰平21 	黑		1
1092 	xuei 	陰平21 	恢, 灰, 揮, 輝, 徽		5
1093 	xuei 	陽平24 	或, 回		2
1094 	xuei 	上聲53 	毀, 悔		2
1095 	xuei 	去聲44 	惠, 檜, 會, 彙, 匯, 慧, 繪, 潰, 彗, 燴, 賄		11
1096 	xau 	陰平21 	蒿		1
1097 	xau 	陽平24 	壕, 豪, 號, 毫, 耗		5
1098 	xau 	上聲53 	好		1
1099 	xau 	去聲44 	浩, 好, 號		3
1100 	xou 	陽平24 	猴, 瘊, 侯		3
1101 	xou 	上聲53 	吼		1
1102 	xou 	去聲44 	候, 後, 厚		3
1103 	xã 	陰平21 	涎, 鼾		2
1104 	xã 	陽平24 	函, 含, 鹹, 寒, 韓, 閒		6
1105 	xã 	上聲53 	罕, 撼, 喊, 憾		4
1106 	xã 	去聲44 	漢, 汗, 旱, 翰, 銲		5
1107 	xuã 	陰平21 	歡		1
1108 	xuã 	陽平24 	還, 桓, 環		3
1109 	xuã 	上聲53 	緩		1
1110 	xuã 	去聲44 	換, 幻, 患, 宦, 煥, 喚		6
1111 	xẽ 	陽平24 	痕		1
1112 	xẽ 	上聲53 	很, 狠		2
1113 	xẽ 	去聲44 	恨		1
1114 	xuẽ 	陰平21 	葷, 婚, 昏		3
1115 	xuẽ 	陽平24 	魂, 餛, 渾		3
1116 	xuẽ 	去聲44 	渾, 混		2
1117 	xaŋ 	陰平21 	巷		1
1118 	xaŋ 	陽平24 	行, 杭, 航		3
1119 	xaŋ 	上聲53 	夯		1
1120 	xaŋ 	去聲44 	巷, 項, 行		3
1121 	xuaŋ 	陰平21 	慌, 荒		2
1122 	xuaŋ 	陽平24 	蝗, 簧, 皇, 黃		4
1123 	xuaŋ 	上聲53 	謊		1
1124 	xuaŋ 	去聲44 	晃		1
1125 	xəŋ 	陰平21 	哼		1
1126 	xəŋ 	陽平24 	恆		1
1127 	xəŋ 	去聲44 	杏		1
1128 	xuŋ 	陰平21 	揈, 轟, 烘		3
1129 	xuŋ 	陽平24 	洪, 鴻, 衡, 紅, 弘, 宏		6
1130 	xuŋ 	上聲53 	哄		1
1131 	xuŋ 	去聲44 	橫, 閧, 洪		3
