IPA	**调类**	**调值**	**字**
mie	7	45	灭篾
min	2	13	民明名
min	6	21	命
mo	1	33	摸
mo	2	13	磨
mo	3	42	母
mo	6	21	磨暮
mo	7	45	末木目
muŋ	6	21	梦
ȵi	2	13	泥倪
ȵi	6	21	义
ȵien	1	33	研
ȵien	2	13	黏年莲
ȵien	6	21	验念
ȵiaŋ	2	13	娘
ȵiau	3	42	鸟
ȵiau	6	21	尿
ȵie	7	45	孽捏
ȵiəu	2	13	牛
ȵy	3	42	女
ŋa	2	13	牙[白]
ŋa	3	42	哑[白]
ŋa	7	45	鸭[白]
ŋai	3	42	矮
ŋai	5	35	爱
ŋan	1	33	安
ŋan	3	42	眼[白]
ŋan	5	35	暗
ŋan	6	21	岸
ŋau	2	13	熬
ŋau	3	42	袄
ŋən	1	33	恩
ŋən	6	21	硬
ŋəu	3	42	藕
ŋo	2	13	鹅
ŋo	6	21	饿
ŋo	7	45	恶握额
ŋuŋ	1	33	翁
Ǿə	2	13	儿
Ǿə	3	42	耳
Ǿə	6	21	二
Ǿi	1	33	衣
Ǿi	2	13	移姨
Ǿi	3	42	义
Ǿi	5	35	意
Ǿi	6	21	艺蚁
Ǿi	7	45	一益
Ǿia	2	13	爷[白]牙[文]
Ǿia	6	21	夜[白]
Ǿien	1	33	烟
Ǿien	2	13	岩炎盐严颜延言
Ǿien	5	35	厌
Ǿiaŋ	1	33	秧
Ǿiaŋ	3	42	痒
Ǿiaŋ	6	21	样
Ǿiau	1	33	腰吆
Ǿiau	2	13	摇
Ǿiau	5	35	要
Ǿie	3	42	野
Ǿie	7	45	叶业
Ǿiəu	1	33	优
Ǿiəu	2	13	油
Ǿiəu	3	42	有
Ǿiəu	5	35	幼
Ǿiəu	6	21	右
Ǿiəu	7	45	育
Ǿin	1	33	音阴
Ǿin	2	13	银蝇迎赢营
Ǿin	3	42	引隐影
Ǿin	5	35	印
Ǿio	7	45	约药
vu	1	33	乌
vu	2	13	吴
vu	3	42	五武
vu	6	21	雾
vu	7	45	物屋
va	1	33	挖洼
va	3	42	瓦
va	7	45	袜滑
vai	1	33	歪
vai	6	21	外
van	1	33	弯
van	2	13	完顽
van	3	42	碗晚
van	6	21	万
vaŋ	2	13	王
vaŋ	3	42	网
vaŋ	6	21	旺
vei	2	13	危围
vei	3	42	尾
vei	5	35	喂
vei	6	21	卫位味胃
vən	1	33	温
vən	6	21	蚊问
Ǿy	2	13	如鱼余
Ǿy	3	42	雨
Ǿy	5	35	玉
Ǿy	6	21	遇芋
Ǿy	7	45	裕入浴
Ǿyen	1	33	冤渊
Ǿyen	2	13	圆原园
Ǿyen	3	42	软远
Ǿyen	6	21	院
Ǿye	7	45	月越
Ǿyn	2	13	匀云
Ǿyn	6	21	闰润运
Ǿyəŋ	2	13	容
Ǿyəŋ	3	42	永拥
Ǿyəŋ	6	21	用
pa	3	42	把
pa	7	45	八
pai	3	42	摆
pai	5	35	拜
pan	1	33	班搬
pan	3	42	板
pan	5	35	半
paŋ	1	33	帮
paŋ	3	42	绑
paŋ	5	35	棒
pau	1	33	包
pau	3	42	宝饱
pe	7	45	北百
pei	1	33	杯碑
pei	5	35	贝
pən	2	13	盆
pən	3	42	本
pʰa	2	13	爬
pʰai	2	13	排牌
pʰai	5	35	派
pʰai	6	21	败
pʰan	1	33	潘
pʰan	2	13	盘
pʰan	5	35	判
pʰan	6	21	扮办
pʰaŋ	5	35	胖
pʰau	2	13	浮[白]
pʰau	5	35	炮
pʰau	6	21	抱
pʰe	7	45	拍白
pʰei	2	13	赔
pʰei	5	35	配
pʰei	6	21	币背被
pʰi	1	33	匹
pʰi	2	13	皮
pʰi	5	35	屁
pʰi	7	45	鼻劈
pʰien	5	35	片
pʰien	6	21	便
pʰien	7	45	骗
pʰiau	5	35	票
pʰie	7	45	别
pʰin	2	13	贫平瓶
pʰin	3	42	品
pʰin	6	21	病
pʰo	2	13	婆
pʰo	5	35	破
pʰo	7	45	泼薄
pʰu	1	33	铺
pʰu	3	42	谱
pʰu	6	21	步
pʰu	7	45	簿
pʰuŋ	2	13	朋棚蓬
pi	3	42	比
pi	7	45	笔逼壁
pien	3	42	扁
pien	5	35	变
piau	3	42	表
pie	6	21	憋
pin	1	33	兵
pin	3	42	柄饼
pin	7	45	冰
po	7	45	拨剥
pu	5	35	布
sa	1	33	沙杉
sa	6	21	射[白]
sa	7	45	杀刷
sai	5	35	晒
san	1	33	三衫山酸闩
san	3	42	伞
san	5	35	扇算
san	6	21	善
saŋ	1	33	霜伤双
saŋ	6	21	上
sau	1	33	烧
sau	2	13	勺
sau	3	42	嫂
se	2	13	蛇
se	7	45	舌设虱塞色
sei	2	13	随
sei	5	35	碎
sən	1	33	参深身孙僧升生声
sən	2	13	神绳
sən	3	42	笋省
sən	5	35	肾
sən	6	21	剩
səu	1	33	苏
səu	3	42	数手
səu	5	35	数瘦
səu	6	21	寿
səu	7	45	宿缩叔熟赎属
so	3	42	锁所
so	7	45	索
sɿ	1	33	师丝市
sɿ	2	13	时
sɿ	3	42	死使
sɿ	5	35	世四试式
sɿ	6	21	柿事
sɿ	7	45	十实失食石
sei	3	42	水
sei	5	35	岁
suŋ	1	33	松松
suŋ	5	35	送宋
ta	1	33	达
ta	3	42	打
ta	7	45	搭跌[白]
tai	5	35	带
tan	1	33	单端
tan	3	42	胆短
taŋ	2	13	糖
taŋ	3	42	党
tau	1	33	刀
tɕʰi	2	13	骑棋齐
tɕʰi	3	42	取
tɕʰi	5	35	契器气
tɕʰi	7	45	七
tɕʰia	2	13	茄[白]
tɕʰia	7	45	吃[白]
tɕʰien	1	33	签牵
tɕʰien	2	13	钳钱前铅全
tɕʰien	3	42	浅
tɕʰien	5	35	欠
tɕʰien	6	21	件健
tɕʰiaŋ	3	42	抢
tɕʰiau	2	13	桥
tɕʰiau	6	21	轿
tɕʰie	7	45	绝
tɕʰie	7	45	杰切
tɕʰiəu	2	13	球
tɕʰiəu	6	21	舅旧
tɕʰiəu	7	45	曲[白]
tɕʰin	1	33	亲清轻青
tɕʰin	2	13	寻[白]琴勤
tɕʰin	5	35	庆
tɕʰin	6	21	近静
tɕʰio	7	45	雀
tɕʰy	1	33	区
tɕʰy	2	13	除渠厨
tɕʰy	6	21	柱住
tɕʰy	7	45	出
tɕʰyen	1	33	圈
tɕʰyen	2	13	传船权
tɕʰyen	5	35	劝
tɕʰyen	6	21	传
tɕʰye	7	45	缺
tɕʰyei	1	33	吹
tɕʰyei	2	13	垂
tɕʰyn	1	33	春
tɕʰyn	2	13	群
tɕʰyn	2	13	裙
tɕʰyəŋ	2	13	穷
tɕi	1	33	鸡饥
tɕi	3	42	几
tɕi	5	35	寄记季
tɕi	7	45	集急及吉极积击
tɕia	3	42	假姐[白]
tɕia	5	35	嫁
tɕia	7	45	甲
tɕien	1	33	尖奸肩间[文]
tɕien	5	35	剑建见
tɕiaŋ	1	33	浆姜江
tɕiaŋ	3	42	讲
tɕiaŋ	6	21	匠像
tɕiau	1	33	交焦
tɕiau	5	35	叫
tɕie	3	42	姐[文]
tɕie	5	35	借
tɕie	7	45	接节截结绝
tɕiəu	3	42	酒九
tɕin	1	33	金筋经精
tɕin	3	42	紧井
tɕin	5	35	浸进劲镜
tɕio	7	45	脚
tɕy	1	33	猪珠
tɕy	3	42	举主
tɕy	5	35	锯句剧著
tɕy	7	45	橘菊局
tɕyen	1	33	砖
tɕyen	3	42	转卷
tɕye	7	45	决
tɕyei	1	33	追
tɕyn	1	33	均军
tɕyn	3	42	准
te	7	45	得
tei	1	33	堆
tei	5	35	对
tən	1	33	墩蹲灯
tən	3	42	等
tən	5	35	凳
təu	3	42	赌抖
tʰa	6	21	大
tʰa	7	45	踏塔
tʰai	1	33	胎
tʰai	2	13	台
tʰai	6	21	袋
tʰan	1	33	贪
tʰan	2	13	潭弹谈
tʰan	3	42	毯
tʰan	5	35	炭
tʰan	6	21	淡断
tʰaŋ	1	33	汤
tʰau	2	13	桃
tʰau	3	42	讨
tʰau	6	21	道
tʰe	7	45	特
tʰei	3	42	腿
tʰən	1	33	吞
tʰən	2	13	藤
tʰəu	1	33	偷
tʰəu	2	13	图头
tʰəu	3	42	土
tʰəu	6	21	杜豆
tʰəu	7	45	读毒
tʰi	1	33	梯
tʰi	5	35	剃
tʰi	6	21	弟地
tʰia	7	45	踢[白]
tʰien	1	33	添天
tʰien	2	13	甜田
tʰien	6	21	垫
tʰie	7	45	贴铁
tʰin	1	33	厅
tʰin	2	13	停
tʰin	3	42	挺
tʰin	5	35	听
tʰin	6	21	定
tʰo	1	33	拖
tʰo	7	45	脱夺托
tʰuŋ	1	33	通
tʰuŋ	2	13	铜
tʰuŋ	3	42	桶统
tʰuŋ	5	35	痛
tʰuŋ	6	21	动洞
ti	1	33	低
ti	6	21	递
ti	7	45	笛
tien	3	42	点典
tien	5	35	店
tiau	2	13	条
tiau	5	35	钓
tie	7	45	碟跌[文]
tiəu	1	33	丢
tin	1	33	钉
tin	3	42	顶
to	1	33	多
to	3	42	躲
tsa	1	33	抓
tsa	7	45	闸扎
tsan	5	35	占战
tsaŋ	1	33	张装章桩
tsaŋ	5	35	壮
tsau	3	42	早找
tsau	5	35	灶罩照兆
tse	7	45	折窄摘
tsei	1	33	追
tsei	3	42	嘴
tsei	5	35	罪醉
tsən	1	33	针争贞征
tsən	3	42	整
tsən	5	35	镇震证正
tsəu	1	33	租州
tsəu	3	42	走
tsəu	5	35	做
tsəu	7	45	卒竹粥足烛
tsʰa	2	13	茶
tsʰa	7	45	杂插擦
tsʰai	2	13	才财柴
tsʰai	5	35	菜
tsʰan	2	13	蚕缠
tsʰan	3	42	铲产
tsʰan	6	21	赚
tsʰaŋ	1	33	仓疮窗
tsʰaŋ	2	13	长床尝
tsʰaŋ	3	42	厂
tsʰaŋ	5	35	唱创
tsʰaŋ	6	21	撞
tsʰau	1	33	抄
tsʰau	2	13	朝
tsʰau	3	42	草
tsʰau	6	21	糙造
tsʰe	1	33	车
tsʰe	7	45	撤贼侧测拆择策
tsʰei	1	33	催吹
tsʰei	2	13	垂
tsʰən	1	33	村
tsʰən	2	13	沉陈辰唇纯层程成城
tsʰən	5	35	寸秤趁
tsʰəu	1	33	初抽
tsʰəu	2	13	锄绸愁
tsʰəu	5	35	凑臭
tsʰəu	7	45	族畜
tsʰo	5	35	错
tsʰo	6	21	坐
tsʰɿ	2	13	池迟祠
tsʰɿ	5	35	刺
tsʰɿ	6	21	字寺治
tsʰɿ	7	45	侄直尺吃[文]
tsʰɿ	7	45	侄直尺吃[文]
tsʰɿ	7	45	侄直尺吃[文]
tɕʰyei	2	13	锤
tsʰuŋ	1	33	葱充冲
tsʰuŋ	2	13	虫
tsʰuŋ	6	21	重
tso	3	42	左
tso	7	45	作着桌镯
tsɿ	1	33	知资
tsɿ	3	42	紫纸指子
tsɿ	5	35	制
tsɿ	7	45	汁织
tsuŋ	1	33	中终
tsuŋ	3	42	肿
tsuŋ	5	35	粽种
tsyn	5	35	俊
tuŋ	1	33	东冬
tuŋ	3	42	懂
tuŋ	5	35	冻
xa	1	33	虾[白]
xa	7	45	瞎
xai	2	13	鞋还
xai	3	42	海
xai	6	21	害蟹
xan	2	13	含咸[白]
xan	3	42	喊
xan	5	35	汉
xan	6	21	汗
xau	3	42	好
xau	6	21	号
xe	7	45	黑
xən	2	13	横
xən	6	21	恨
xəu	6	21	后厚
xo	2	13	河
xo	3	42	火
xo	5	35	贺祸货
xo	6	21	祸
xo	7	45	盒活鹤霍或
xuan	2	13	还
xuŋ	1	33	烘风疯丰封蜂
xuŋ	2	13	红
xuŋ	6	21	凤缝奉
zan	3	42	染
zaŋ	6	21	让
zau	3	42	绕
ze	7	45	热
zən	2	13	人
zən	3	42	忍
zən	6	21	任认
zəu	7	45	肉褥
zo	7	45	弱
zɿ	7	45	日
zuŋ	2	13	荣
