汉字	注释	关峡	羊石	兰蓉	五团	麻林	牛头
手	指纹	ləu²²	lo²¹	lo²⁴	lo¹¹²	lo¹³	lo¹¹
锉		/	tsʰo³³	/	/	dzɤu¹¹	tʰo³³
坐		tsəu³³	tsʰo³³	dzo³³	dzo²²	dzɤu²²	ɮo²²
座		tsəu³³	tsʰo³³	dzo³³	dzo²²	dzɤu²²	ɮo²²
蓑		səu⁴⁴	so¹³	so⁵⁵	so⁵⁵	sɤu³⁵	ɬo⁵⁵
锁		su⁵³	so⁴⁵	so³³	so²²	sɤu²²	ɬo²²
锅		ku⁴⁴	ko¹³	ko⁵⁵	ko⁵⁵	kɤu³⁵	ko⁵⁵
果		ko³³	ko³³	ko³³	ko²²	ko²²	ko²²
过		ku³³	ko³³	ko⁴⁴	ko³³	kɤu³³	ko³³
窠		kʰəu⁴⁴	kʰo¹³	ho⁵⁵	ho⁵⁵	fɤu³⁵	ho⁵⁵
课		kʰo⁵³	kʰo⁴⁵	kʰo⁵⁵	kʰo⁵⁵	kʰo³⁵	kʰo³⁵
火		xəu³³	xo⁴⁵	ho³³	ho²²	fɤu²²	ho²²
伙		xəu³³	xo⁴⁵	ho³³	ho²²	fɤu²²	ho²²
货		kʰəu³³	xo⁴⁵	kʰo³³-；ho³³=	ho⁵⁵	kʰɤu³	ho³⁵
和	和气	xəu²²	xo²¹	ho²⁴	ɦo¹¹²	hɤu³	ɦo¹¹
禾		u²²	o²¹	ho²⁴	o¹¹²	hɤu¹³	o¹¹
祸		xo⁵³	xo³³	ho³³	ho²²	hɤu²²	ho³⁵
巴		po⁴⁴	pa¹³	pa⁵⁵	pɑ⁵⁵	pa³⁵	pɑ⁵⁵
把		po⁵³	pa⁴⁵	pa³³	pɑ²²	pa²²	pɑ²²
霸		pa⁵³	pa⁴⁵	pa⁵⁵	pɑ³³	pa³⁵	pɑ³⁵
怕		pʰo³³	pʰa³	pʰa⁴⁴	pʰɑ³³	pʰa³³	pʰɑ³³
爬		po²²	pʰia²¹	ɡia²⁴训读	bɑ¹¹²	ba¹³	bia¹¹
麻		mo²²	ma²¹	ma⁴⁴	mɑ¹¹²	ma¹³	mɑ¹¹
马		mo³³	ma³³	ma³³	mɑ²²	ma²²	mɑ²²
骂		mo³³	ma³³	ma¹¹	mɑ³³	ma¹¹	mɑ⁵²
拿		to⁴⁴训读担	ta¹³训读担	ta⁵⁵训读担	tɑ⁵⁵训读担	ta³⁵训读担	tɑ⁵⁵担训读
茶		tso²²	tsʰa²	da²⁴	dɑ¹¹²	dʑia¹³	dɑ¹¹
叉		tsʰo⁴⁴	tsʰa¹³	tʰa⁵⁵	tʰɑ⁵⁵	tɕʰia⁵⁵	tɑ⁵⁵
查	调查	tsʰa²¹³	tsʰa²¹	da²⁴	dɑ¹¹²	dʑia¹³	tsʰɑ¹¹
家		ko⁴⁴	ka¹³	ka⁵⁵	kɑ⁵⁵	ka³⁵	kɑ⁵⁵
假	真假	ko⁵³	ka⁴⁵	tɕia³³	kɑ²²	tɕia²²	kɑ²²
假	放假	tɕia⁵³	ka⁴⁴	tɕia³³	tɕiɑ²²	tɕia²²	tɕiɑ²²
嫁		ko³³	ka³³	ka⁴⁴	kʰɑ³³	ka³³	kɑ³³
牙		ŋo²²	ŋa²¹	ŋa²⁴	ŋɑ¹¹²	ŋa¹³	ŋɑ¹¹
虾		xo⁴⁴	xa¹³	ha⁵⁵	hɑ⁵⁵	ha³⁵	hɑ⁵⁵
下	底下	xo³³	xa³³	ha³³	ɦɑ²²	ha²²	ɦɑ²²
下	下降	xo³³	xa³³	ha³³	ɦɑ²²	ha²²	fɑ²²
哑		o³³	a⁴⁵	a³³	ɑ²²	a²²	ɑ²²
姐		tsi³³母亲义；tsia⁵³姐姐义	tsi³³母亲义；tsie⁴⁵姐姐义	tsi³³母亲义；tsia³³姐姐义	tɑ³¹训读大，ao⁵⁵~，姐姐义	ta¹¹训读大，姐姐义	tɑ⁵²训读大，姐姐义
借		tsio³³	tsia³³	tsia⁴⁴	tsiɑ³³	tɕia³³	tɕiɑ³³
写		sio⁵³	sia⁴⁵	sia³³	siɑ²²	ɕia²²	ɕiɑ²²
泻		sio³³	sia³³	sia⁴⁴	siɑ³³	ɕia³³	ɕiɑ³³
邪		sie²²	tsʰia²¹	dʑia²⁴	dziɑ¹¹²	dʑia¹³	dʑiɑ¹¹
斜		tsio²²	tsʰia²¹	dʑia²⁴	dʑiɑ¹¹²	dʑia¹³	dʑiɑ¹¹
谢		ɕie⁵³	ɕie⁴⁵	tsia¹¹	ɕie⁴²	tɕia¹¹	ɕie³⁵
爹		tie⁴⁴	tie¹³	tia⁵⁵	tiɑ⁵⁵	tie³³	te⁵⁵
遮		tɕio⁴⁴	tɕia¹³	tɕia⁵⁵	tɕiɑ⁵⁵	tɕia³⁵	tɕiɑ⁵⁵
蔗		/	tsə⁴⁵	tɕia⁴⁴	tɕiɑ³³	tse³³	tɕiɑ³³
车	马车	tɕʰio⁴⁴	tɕʰia¹³	tɕʰia⁵⁵	tɕʰiɑ⁵⁵	tsʰe³³	tɕʰiɑ⁵⁵
扯		tɕʰio⁵³	tɕʰia⁴⁵	tɕʰia³³	tɕʰiɑ²²	tɕʰia²²	tɕʰiɑ²²
蛇		ɕio²²	tɕʰia²¹	dʑia²⁴	dʑiɑ¹¹²	dʑia¹³	dʑiɑ¹¹
射		ɕio⁴⁴	ɕie³³	ɕia¹¹	ɕiɑ⁴²	ɕia¹¹	ɕiɑ⁵²
舍		ɕio³³	ɕia⁴⁵	ɕia³³	ɕiɑ²²	ɕia²²	ɕiɑ²²
社		ɕie⁵⁵	/	dʑia³³	dʑiɑ²²-~饭；ʑie⁵⁵=~会	ze¹³	dʑiɑ²²-公；ɕie³⁵=~会
惹		nio³³	ie³³	nia³³	ɕiɑ²²	vai²²训读犯	ȵie²²
爷		ia²²	ia²¹	ia²⁴	iɑ¹¹²	ia¹³	iɑ⁵²
也		io³³	ia⁴⁵	ia¹¹	iɑ⁴²	ia¹¹	iɑ⁵²
野		io³³	ia⁴⁵	ia³³	iɑ²²	ia²²	iɑ²²
夜		io⁴⁴	ia³³-~里；ie¹³=~宵	ia¹¹	iɑ⁴²	ia¹¹	iɑ⁵²
瓜		ko⁴⁴	kua¹³-苦~；kua⁴⁴=~皮帽	kua⁵⁵	kuɑ⁵⁵	kua³⁵	kuɑ⁵⁵
垮		kʰua³³	kʰua⁴⁵	kʰua³³	kʰuɑ²²	kʰua²²	kʰuɑ²²
瓦		o³³	ua³³	va³³	vɑ²²	va²²	vɑ²²
花		xo⁴⁴	fa¹³	fa⁵⁵	fɑ⁵⁵	fa³⁵	fɑ⁵⁵
化		fa⁵³	fa³³	fa⁵⁵	fɑ³³	fa³³	fɑ³³
划	划船	po²²	fa²¹	va²⁴	/	va¹³	/
补		pu⁵³	pu⁴⁵	pu³³	pu²²	pu²²	pu²²
布		pu³³	pu³³	pu⁴⁴	pu³³	pu³³	pu³³
铺	铺路	pʰu⁴⁴	pʰu⁴⁵	pʰu⁵⁵	pʰu⁵⁵	pʰu³³	pʰu⁵⁵
铺	店铺	pʰu³³	pʰu³	pʰu⁵⁵	pʰu⁵⁵	pʰu³⁵	pʰu³³
部		pu³³	pʰu³³	pu²⁴	pu⁴²	bu¹³	pu³⁵
簿		pu³³	pʰo³³	pu²⁴	pu⁴²	bu¹³	pu³⁵
步		pu⁴⁴	pu³³	pu¹¹	pu⁴²	pu¹¹	pu³⁵
模		mo²²	mo²¹	mo²⁴	mo¹¹²	mo²²	mo¹¹
肚	猪肚	tu⁵³	tu⁴⁵	du³³	du²²	tu²²	tu²²
土		tʰu⁵³	tʰu⁴⁵	tʰu³³	tʰu²²	tʰu²²	tʰu²²
兔		tʰu³³	tʰu³³	tʰu⁴⁴	tʰu³³	tʰu³³	tʰu³³
徒		tu²²	tu²¹	du²⁴	du¹¹²	du¹³	du¹¹
肚	腹肚	tu³³	tu⁴⁵	du³³	du²²	tu²²	tu²²
度		tu³³	tu³³	du²⁴	du²⁴	tu¹¹	tu³⁵
炉		lu²²	lu²¹	lu²⁴	lu¹¹²	lu¹³	lu¹¹
卤		lu³³	lu³³	lu³³	lu²²	lɤu²²	lu²²
路		lu⁴⁴	lu³³	lu¹¹	lu⁴²	lu¹¹	lu⁵⁵
露		lu⁴⁴	lu³³	lu¹¹	lu⁴²	lu¹¹	lu⁵⁵
租		tsu⁴⁴	tsu¹³	tsu⁵⁵	tsu⁵⁵	tsu³⁵	tu⁵⁵
祖		tsu⁵³	tsu⁴⁵	tsu³³	tsu²²	tsu²²	tɬu²²
做		tsu³³	tsu³³	tsu⁴⁴	tsu³³	tsɿ³³	tu³³
粗		tsʰu⁴⁴	tsʰu¹³	tsʰu⁵⁵	tsʰu⁵⁵	tsʰu³⁵	tʰu⁵⁵
醋		tsʰu³³	tsʰu³³	tsʰu⁴⁴	tsʰu³³	tsʰu³³	/
错		tsʰəu³³	tsʰo³³	tsʰo⁴⁴	to⁴²	tɕiɤu¹¹	to⁵²
姑		ku⁴⁴	ku¹³	ku⁵⁵	ku⁵⁵	ku³³	ku⁵⁵
牯		ku⁵³	ku⁴⁵	ku³³	ku²²	ku²²	ku²²
鼓		ku³³	ku⁴⁵	ku³³	ku²²	ku²²	ku²²
苦		fu⁵³	fu⁴⁴	fu³³	fu²²	fu²²	fu²²-药~；kʰu²²=~难
裤		kʰu³³	fu³³	fu⁴⁴	fu³³	fu³³	fu³³
吴		u²²	u²¹	vu²⁴	vu¹¹²	vu¹³	vu¹¹
五		ŋ̍³³	ŋ̍³³	ŋ̍³³	ŋ̍²²	ŋ̍²²	ŋ̍²²
午		u³³	u³³	ŋ̍³³	ŋ̍²²	ŋ̍²²	ŋ̍²²
胡	姓	fu²¹³	fu²¹	fu²⁴	fu¹¹²	vu¹³	fu¹¹
胡	胡须	u²²	u²¹	vu²⁴	vu¹¹²	vu¹³	fu¹¹
户		fu⁵³	fu³³	vu²⁴	vu²⁴	vu²²	fu³⁵
乌		u⁴⁴	u⁴⁴	vu⁵⁵	vu³⁵	vu³⁵	vu³³
女		niəu³³	niu³³-；ny³³=	niu³³-；ny³³=	ny²²	ȵy²	niu²²-；ny²²=
吕		ly³³	ly³³	liu³³	ly²²	ly²²	liu²²
蛆		tsʰiəu⁴⁴	tsʰy¹³	tsʰia⁵⁵	tsʰei⁵⁵	tsʰei³⁵	tʰiu⁵⁵
徐		ɕy²²	tɕʰy²¹	dʑy²⁴	tɕʰy¹¹²	dʑy²²	tɕʰy¹¹
猪		tiəu⁴⁴	tio¹³	tiu⁵⁵	tei⁵⁵	tei³⁵	tiu⁵⁵
除		tɕy²²	tɕʰy¹³	dʑy²⁴	dʑy¹¹²	dʑy¹²	tɕʰy¹¹
苎		/	/	/	dei²²	dʑy³	tɕy³⁵
初		tsʰu⁴⁴	tsʰu¹³	tʰu⁵⁵	tʰu⁵⁵	tɕʰy³⁵	tʰu⁵⁵
锄		tsu²²	tsʰu²¹	du²⁴	du¹¹²	dʑy¹³	du¹¹
助		tsu⁵³	tsʰu³³	dzu²⁴	dzu²⁴	dzɤu¹³	tsu³⁵
梳		su⁴⁴	su¹³	su⁵⁵	su⁵⁵	ɕy³⁵	ɬu⁵⁵
煮		tsu³³	tsu⁴⁵	tɕiu³³	tɕy²	tɕy²²	tɕiu²²
书		ɕy⁴⁴	ɕy¹³	ɕi⁵⁵	ɕy⁵⁵	ɕy³⁵	ɕiu⁵⁵
鼠		sɿ⁵³	sɿ⁴⁵	ɕiu³³	ɕy²²	ɕyei²²	ɕiu²²
薯		ɕy³³	ɕy³³	ʑy⁴⁴	tɕy³³	dʑy¹³	tɕiu³³
车	车马炮	tiəu⁴⁴	tio¹³	tsʰa	tei⁵⁵	tei³⁵	tɕʰia⁵⁵
锯		ka³³	kɤu³³	ki⁴⁴	ki³³	ki³³	ki³³
墟		/	/	/	ɕy³³	y¹³	ɕiu⁵⁵
去	来去	ɕi³³	ɕi³³	i²⁴	ɕi³³	y¹³	ɕi³³
鱼		ŋei²²	ŋɤu²	ni²⁴	ni¹¹²	ȵy¹³	ȵi¹¹
斧		fu⁵³	fu⁴⁴	pu³³	pu²²	pu²²	pu²²
符		fu²²	fu²¹	vu²⁴	fu¹¹²	vu¹³	fu¹¹
扶		fu²¹³	fu²¹	vu²⁴	bu¹¹²	vu¹³	fu¹¹
武		u³³	u³³	vu³³	vu²²	vu²²	vu²²
雾		u⁵³	u³³	vu⁵⁵	vu⁵⁵	vu¹¹	vu⁵²
娶		tsʰy⁵⁵	tsʰy³³	tsʰy³³	tsʰy²²	tsʰei²²	tsʰy²²
须	胡须	sy⁴⁴	sy¹³	siu⁵⁵	sei⁵⁵	ɕy³⁵	ɬiu⁵⁵
柱		tɕy³³	tʰio³³	diu³³	dei²²	dy²²	diu²²
住		tɕy³³	tɕy³³	tu¹¹	tɕy³³	tsɤu¹¹	/
朱		tɕy⁴⁴	tɕy¹³	tɕy⁵⁵	tɕy³³	tei³⁵	tɕy³³
主		tɕy⁵³	tɕy⁴⁵	tɕy³³	tɕy²²	tɕy²²	tɕiu²²
输	输赢	ɕy⁴⁴	ɕy¹³	ɕiu⁵⁵	sei⁵⁵	ɕy³⁵	ɬei⁵⁵
树		tsu⁴⁴	tsʰu³³	tɕiu¹¹	tɕy⁴²	tɕy¹¹	tɕiu⁵²
句		tɕy³³	kei³³	ki³³	ki³³	ki³³	ki³³
区		tɕʰy⁴⁴	tɕʰy¹³	tɕʰy⁵⁵	tɕʰy³³	tɕʰy³⁵	tɕʰy⁵⁵
雨		u³³	u³³	vu³³	vu²²	vu²²	vu²²
芋		u⁴⁴	y³³	vu¹¹	y⁵⁵	vu¹¹	vu⁵²
戴		ta³³	ta³³	tia³³	ta⁵⁵	tia³³	tia³³
台		ta²²	ta²¹	dia²⁴	da¹¹²	dia¹³	dia¹¹
待		ta³³	ta³³	tia¹¹	ta⁴²	dia²²	tai³⁵
袋		ta⁴⁴	ta³³	tia¹¹	ta⁴²	tia¹¹	tia⁵⁵
来		la²²	la²¹	lia²⁴	la¹¹²	lia¹³	lia¹¹
栽		tsa⁴⁴	tsa¹³	tsia⁵⁵	tsa⁵⁵	tɕia³⁵	tɬia⁵⁵
财		tsa²²	tsʰa²¹	dʑia²⁴	dza¹¹²	dʑia¹³	ɮia¹¹
在		te³³	tsɿ³³	tsɿ³³	dza²²	dʑia³³	tsɿ²²
该		kai⁴⁴	kai¹³	kai⁵⁵	kai³³	kai³³	kai⁴⁴
改		ka⁵³	kia⁴⁵	kai³³	kai²²	tɕia²²	kai²²
开		kʰue⁴⁴	kʰue¹³	fɤ⁵⁵~门；fei⁵⁵~春	fei⁵⁵	fei⁵⁵	fe⁵⁵-~门；kʰai³³=~门
海		xai³³	xai³³	hai³³	hai²²	hai²²	hai²²
哀		ŋai⁴⁴	/	ŋai⁵⁵	ai³³	ŋai³³	ŋai³³
爱		ai⁵³	uei³³	vei⁴⁴	ŋai⁵⁵	vei³³	ŋai³⁵
带		ta⁵³	ta³³	tia⁴⁴	ta³³	tia³³	tia³³
太		tʰai⁵³	tʰie³³	/	tʰa³³	tʰia³³	tʰai³⁵
蔡		tsʰai⁵³	tsʰai³³	tsʰia⁴⁴	/	tɕʰia³³	tsʰai³⁵
盖		kue³³	kuei³³	kuɤ⁴⁴	/	kuei³³	kue³³
害		xan³³	xaŋ³³	hai¹¹	hai⁴²	hai¹¹	hai⁵²
拜		pa³³	pa³³	pia²⁴	pa³³	pia³³	pia³³
排		pa²²	pa²¹	bia²⁴	ba¹¹²	bia¹³	bia¹¹
埋		ma²²	ma²¹	mia²⁴	ma¹¹²	mia¹³	mia¹¹
阶		ka⁴⁴	kia³-~基；tɕie⁴⁴=~级	tɕia⁵⁵	tɕia⁵⁵	tɕia³⁵	tɕia⁵⁵
界		kai³³	kai⁴⁵	tɕia⁴⁴	kia³³	tɕia³³	tɕia³³
揩		kʰue⁴⁴	kʰia⁴⁴	ɕia⁵⁵	ha⁵⁵	ɕia³⁵	tɕia⁵⁵
挨	挨近	/	ŋia³	nia⁵⁵	a⁵⁵	ȵia¹³	ȵia⁵⁵
派		pʰai⁵³	pʰai⁴⁵	pʰia⁴⁴	pʰai⁵⁵	pʰai³⁵	pʰai³⁵
稗		pa³³	pa³³	pia¹¹	pa⁴²	pia¹¹	pia⁵²
买		ma³³	ma³³	mia³³	ma²²	mia²²	mia²²
卖		ma³³	ma³³	mia³³	na²²	mia²²	mia⁵⁵
奶		na³³	nia³³	nia³³	na²²	lai³⁵	ȵia⁵²
柴		tɕia²²	tɕʰia²¹	dʑia²⁴	dʑia¹¹²	dʑia¹³	dʑia¹¹
街		ka⁴⁴	kia¹³	tɕia⁵⁵	tɕia⁵⁵	tɕia³⁵	tɕia⁵⁵
解	解开	ka⁵³	kai⁴⁵	tɕia³³	tɕia²²	tɕia²²	tɕia²²
鞋		xa²²	xa²¹	hia²⁴	ɦa¹¹²	ia¹³	ɦia¹¹
蟹		xa³³	xan³³	hai¹¹	hei²²	ha²²	hai²²
矮		ŋa⁵³	a³³	ia³³	a²²	ia²²	ia²²
败		pa³³	pai³³	pia¹¹	pa⁴²	pia¹¹	pia⁵²
寨		tsai³³	tsʰai³³	tɕia¹¹	tɕia⁴²	dʑia¹³	tɕia⁵²
例		lie³³	lie³³	lie⁵⁵	li³³	li³³	lie³³
厉		li³³	li⁴⁵	li⁵⁵	li³³	li³³	li³³
世		sɿ³³	sɿ⁴⁴	sɿ⁴⁴	sɿ³³	sɿ³³	ɬʅ³³
低		ti⁴⁴	/	/	tie⁵⁵	ti³⁵	tie⁵⁵
梯		tʰai⁴⁴	tʰie¹³	tʰie⁵⁵	tʰie⁵⁵	tʰi³⁵	tʰie⁵⁵
体		tʰi³³	tʰi³³	tʰi³³	tʰie²²	tʰi²²	tʰi²²
替		tʰai³³	tʰi³³	tʰi⁴⁴	tʰie³³	tʰie³³	tʰie³³
弟		tai³³	tie³³	die³³	die²²	die²²	die²²
第		ti³³	tie³³	tie¹¹	tie⁴²	ti¹¹	tie⁵²
泥		nai²²	nie²¹	nie²⁴	nie¹¹²	ȵie¹³	nie¹¹-；ni¹¹=
犁		lai²²	lie²¹	li²⁴	li¹¹²	li¹³	li
齐		tsi²²	tsʰi²¹	dzia²⁴	dzi¹¹²	dʑia³	ɮi¹¹
西		si⁴⁴	si¹³	si⁵⁵	si	ɕi³⁵	ɬi⁵⁵
洗		sai⁵³	sie⁴⁵	sie³³	sie²²	ɕie²²	ɬie²²
细		sai³³	sie³³	sie⁴⁴	sie³³	ɕie³³	ɬie³³
鸡		tɕi⁴⁴	tɕi¹³	tɕi⁵⁵	tɕie⁵⁵	tɕi³⁵	tɕi⁵⁵
杯		pei⁴⁴；ao⁴⁴训读瓯	pei⁴⁴	ao⁵⁵训读瓯	ao⁵⁵训读瓯	ao³⁵训读瓯	pei⁵⁵
背	背包袱	pei³³	pa³³	pai	pai³³	pei³³	pei³³
倍		pei⁵⁵	pɤu³³	pei¹¹	/	bei²²	pei³⁵
背	背诵	pei³³	pɤu³³	pɤ¹¹	pai³³	pei¹¹	pei⁵²
梅		mei²²	ma²¹	mei²⁴	mei¹¹²	mei¹³	mei¹¹
每		mei³³	mei³³	mei³³	mei²²	mei²²	mei²²
妹		mei³³	mei⁴⁴	mei¹¹	mei⁵⁵	mei¹¹	mei⁵³
堆		tei⁴⁴	tɤu¹³	tao⁵⁵训读	/	tin³⁵	tei⁵⁵
推		tʰei⁴⁴	tʰei¹³	lo²⁴训读	tʰei³³	/	tʰei³³
腿		/	tɤu⁴⁵	tʰio³³	tʰei²²	tɕiɤu²²训读脚	tʰei²²
退		tʰei³³	tʰei³³	tʰɤ⁴⁴	tʰei³³	tʰei³³	tʰei³³
队		tei³³	tei⁴⁵	dɤ²⁴	dei²⁴	dei¹³	tei³⁵
罪		tsuei⁵³	tsʰɤu³	/	dzei²²	tsei²²	ɮei²²
碎		sei³³	/	siu⁴⁴	tsʰei³³	tsʰei³³	ɬei³³
块		kʰua³³	kʰua³³	kʰya⁴⁴	kʰua²²	kʰia³³	kua³³
灰		fei⁴⁴	fɤu¹³	pɤ⁵⁵-；fɤ⁵⁵=	fei⁵⁵	fei³⁵	fei⁵⁵
回		ki⁴⁴训读归	ki³³训读归	ki⁵⁵训读归	fei¹¹²	ki³⁵训读归	fei¹¹
汇		fei⁵³	fei³³	/	fei²⁴	vei¹³	fei³⁵
最		tsuei³³	tsue⁴⁵	tsei⁵⁵	tsei⁵⁵	tsei³⁵	tsue³⁵
外		me⁴⁴~后年；uai³³岁	uai³³~孙；uai¹³~面	vai²⁴	uai⁴²	vai¹¹	vai³⁵
会	开会	fei³³	fei³³	fei¹¹	fei⁴²	vei¹³	fei³³
会	会不会	fei³³	fei³³	vei²⁴	fei⁴²	vei¹³	fei³³
乖		kuai⁴⁴	kuai¹³	kya⁵⁵	kua⁵⁵	kia³⁵	kua⁵⁵
怪		kua³³	kuai⁴⁵	kya⁴⁴	kua³³	kia³³	kua³³
坏		fa³³	ua³³	ya¹¹	va⁴²	ya¹¹	ya⁵²
拐		kuai³³	ke³³	kuai³³	kuai²²	kuai²²	kua²²
挂		ko⁴⁴	kua³³	kua⁴⁴	kuɑ³³	kua³³	kuɑ³³
画	名	xo⁴⁴	fa³³	fa¹¹	fɑ⁴²	va¹¹	fɑ⁵²
蛙		ua⁴⁴	ua⁴⁴	va⁵⁵	vɑ⁵⁵	va³³	va³³
快		kʰua³³	kʰua³³	kʰya⁴⁴	kʰua³³	kʰia³³	kʰua³³
话		o⁴⁴	ua³³	va¹¹	vɑ⁴²	va¹¹	vɑ⁵²
岁		sy³³	sy³³	sei⁴⁴	sei³³	sei³³	ɬei³³
税		ɕy³³	ɕy³³	sei⁴⁴	sei³³	sei³⁵	ɬei³³
卫		uei⁵³	uei⁴⁵	vei⁵⁵	vei⁵⁵	vei³⁵	ve³³
桂		kuei⁵³	kuei⁴⁵	kuei⁴⁴	kuei³³	kuei³⁵	kvi³³
惠		fei⁵³	fei³³	/	fei²⁴	vei¹³	fe³⁵
碑		pei⁴⁴	pei¹³	pi⁵⁵	pei³³	pi³⁵	pie³³
披		pʰi⁴⁴	pʰi¹³	pʰi⁵⁵	pʰi⁵⁵	pʰi³⁵	pʰi⁵⁵
皮		pi²²	pi²¹	bi²⁴	bi¹¹²	bi¹³	bi¹¹
被	被子	pi³³	pi³³	bi³³	bi²²	bi²²	bi²²
被	被迫	pi³³	pi³³	/	bi²²	bi²²	bi²²
知		tɕi⁴⁴	tɕi⁴⁴	tɕi⁵⁵	ti⁵⁵	ti³⁵	ti⁵⁵
支		tɕi⁴⁴	tsɿ⁴⁴	tsɿ⁵⁵	tsɿ³³	tsɿ³³	tɕi⁵⁵
纸		tsɿ⁵³	tsɿ⁴⁵	tsɿ³³	tsɿ²²	tsɿ²²	tɬʅ²²
是		sɿ³³	tsɿ³³	zɿ³³	zɿ²²	zɿ²²	ɮʅ²²
寄		tɕi³³	tɕi³³	tɕi⁴⁴	tɕi³³	tɕi³³	tɕi³³
蚁		i³³	ni³³	nie²⁴	nin²²	ȵi²²	ȵin²²
义		i³³	ni³³	ni⁵⁵	nie²⁴	ȵi³⁵	ȵi³⁵
戏		ɕi³³	ɕi⁴⁵	ɕi⁵⁵	ɕi³³	ɕi³³	ɕi³³
易		i⁵³	i³³	i⁵⁵	i³³	ie¹¹	i³³
美		mei³³	mei³³	mei³³	mei²²	mei²²	mei²²
地		ti⁴⁴	ti³³	ti¹¹	ti⁴²	ti¹¹	ti⁵²
梨		li²²	li²¹	li²⁴	li¹¹²	lie¹³	li¹¹
利		li⁵³	li³³	li¹¹	li⁴²	li¹¹	li³³
自		tsɿ³³	tsɿ³³	tsɿ¹¹	tsɿ⁴²	tɕie¹¹	tɬʅ³³
私		sɿ⁴⁴	sɿ⁴⁴	sɿ⁵⁵	sɿ³³	sɿ³³	sɿ³³
死		sɿ⁵³	sɿ⁴⁵	sɿ³³	sɿ²²	ɕi²²	ɬʅ²²
四		sɿ³³	si³³	si⁴⁴	si³³	ɕi³³	ɬi⁴⁴
屎		sɿ⁵³	sɿ⁴⁵	sɿ³³	ɡai¹¹²训读	sɿ²²	ɬʅ²²；kai¹¹训读
二		ni⁴⁴	ni³³	ni¹¹	ni⁴²	ȵie¹¹	ni⁵²
饥		tɕi⁴⁴	tɕi¹³	tɕi⁵⁵	tɕi⁵⁵	tɕi³⁵	tɕi⁵⁵
器		tɕʰi⁵³	tɕʰi³³	tɕʰi⁵⁵	tɕʰi⁵⁵	tɕʰi³³	tɕʰi³⁵
里	长度单位	li³³	li³³	li³³	li³¹	li²²	lie²²
里	里面	li³³	li³³	lie³³	li³	li²²	li²²
理		li³³	li³³	li³³	li²²	li²²	li²²
鲤		li³³	li³³	li³³	li²²	li²²	li²²
字		tsɿ⁴⁴	tsɿ³³	tsɿ¹¹	tsɿ⁴²	tsɿ¹¹	tɬʅ⁵²
