jian ti	trad	detail	调类	
喧	喧		ʂyø1	
譞	譞		ʂyø1	
嬛	嬛	輕盈貌	ʂyø1	
翾	翾		ʂyø1	
癣	癬		siɪ1	
选	選		siɪ1	
线	線		siɪ5	
线	綫		siɪ5	
腺	腺		siɪ5	
前	前		ziɪ2	
旋	旋	～鑿：螺絲刀	dziɪ2	
璇	璇		ziɪ2	
璇	璿		ziɪ2	
贱	賤		ziɪ6	
羡	羨		ziɪ6	
羡	羡		ziɪ6	
兼	兼		tɕiɪ1	
搛	搛	～菜：用筷子夾菜	tɕiɪ1	
间	間	中～	tɕiɪ1	
间	閒	中～	tɕiɪ1	
艰	艱		tɕiɪ1	
奸	奸		tɕiɪ1	
奸	姦		tɕiɪ1	
涧	澗		tɕiɪ1	
涧	㵎		tɕiɪ1	
肩	肩		tɕiɪ1	
坚	堅		tɕiɪ1	
鉴	鑒		tɕiɪ1	
鉴	鑑		tɕiɪ1	
检	檢		tɕiɪ1	
睑	瞼		tɕiɪ1	
捡	撿		tɕiɪ1	
简	簡		tɕiɪ1	
简	𥳑		tɕiɪ1	
柬	柬		tɕiɪ1	
茧	繭		tɕiɪ1	
趼	趼	足底硬皮	tɕiɪ1	
间	間		tɕiɪ5	
间	閒		tɕiɪ5	
剑	劍		tɕiɪ5	
剑	劎		tɕiɪ5	
剑	劒		tɕiɪ5	
剑	劔		tɕiɪ5	
谏	諫		tɕiɪ5	
锏	鐧	殺手～	tɕiɪ5	
锏	鐗	殺手～	tɕiɪ5	
建	建		tɕiɪ5	
见	見		tɕiɪ5	
谦	謙		tɕʰiɪ1	
牵	牽		tɕʰiɪ1	
遣	遣		tɕʰiɪ1	
纤	縴	～繩	tɕʰiɪ5	
芡	芡		tɕʰiɪ5	
欠	欠		tɕʰiɪ5	
堑	塹		tɕʰiɪ5	
舰	艦		tɕʰiɪ5	
歉	歉		tɕʰiɪ5	
钳	鉗		dʑiɪ2	
揵	揵	舉	dʑiɪ2	
乾	乾		dʑiɪ2	
虔	虔		dʑiɪ2	
掮	掮		dʑiɪ2	
俭	儉		dʑiɪ6	
件	件		dʑiɪ6	
犍	犍		dʑiɪ6	
键	鍵		dʑiɪ6	
健	健		dʑiɪ6	
拈	拈		ȵiɪ1	
黏	黏		ȵiɪ2	
粘	粘	俗黏字	ȵiɪ2	
严	嚴		ȵiɪ2	
鲇	鮎		ȵiɪ2	
鲇	鯰		ȵiɪ2	
年	年		ȵiɪ2	
年	秊	年本字	ȵiɪ2	
妍	妍		ȵiɪ2	
妍	姸		ȵiɪ2	
研	研		ȵiɪ2	
研	硏		ȵiɪ2	
岩	巖		ȵiɪ2	
岩	岩		ȵiɪ2	
碾	碾		ȵiɪ1	
撚	撚	《琵琶行》輕攏慢撚撥復挑	ȵiɪ1	
捻	捻		ȵiɪ1	
撵	攆		ȵiɪ1	
染	染		ȵiɪ1	
验	驗		ȵiɪ6	
俨	儼		ȵiɪ6	
广	广	因广爲屋，象對剌高屋之形	ȵiɪ6	
廿	廿	二十	ȵiɪ6	
念	念		ȵiɪ6	
念	唸	～書	ȵiɪ6	
砚	硯		ȵiɪ6	
轩	軒		ɕiɪ1	
掀	掀		ɕiɪ1	
忺	忺	得意（含貶義）	ɕiɪ1	
险	險		ɕiɪ1	
显	顯		ɕiɪ1	
㬎	㬎		ɕiɪ1	
蚬	蜆		ɕiɪ1	
宪	憲		ɕiɪ5	
献	獻		ɕiɪ5	
炎	炎		ɦiɪ2	
盐	鹽		ɦiɪ2	
檐	檐		ɦiɪ2	
檐	簷		ɦiɪ2	
闫	閆		ɦiɪ2	
阎	閻	～羅王	ȵiɪ2	
嫌	嫌		ɦiɪ2	
涎	涎		ɦiɪ2	
延	延		ɦiɪ2	
筵	筵		ɦiɪ2	
衍	衍		ɦiɪ6	
言	言		ɦiɪ2	
贤	賢		ɦiɪ2	
弦	弦		ɦiɪ2	
弦	絃		ɦiɪ2	
舷	舷		ɦiɪ2	
沿	沿		ɦiɪ2	
咸	咸	～陽	ɦiɪ2	
兖	兗		ɦiɪ6	
兖	兖	俗兗字	ɦiɪ6	
陷	陷	（文）	ɦiɪ6	
衔	銜		ɦiɪ2	
颜	顏		ɦiɪ2	
颜	顔		ɦiɪ2	
艳	艷	與豔同	ɦiɪ6	
艳	豔	同豓	ɦiɪ6	
艳	豓		ɦiɪ6	
艳	艶	俗豔字	ɦiɪ6	
滟	灧	俗灩字	ɦiɪ6	
滟	灎	俗灩字	ɦiɪ6	
滟	灩	灎本字	ɦiɪ6	
焰	焰		ɦiɪ6	
彦	彥		ɦiɪ6	
谚	諺		ɦiɪ6	
邂	邂		ɦiɪ6	
现	現		ɦiɪ6	
咽	咽	～喉	iɪ1	
淹	淹		iɪ1	
腌	腌		iɪ1	
腌	醃		iɪ1	
烟	烟		iɪ1	
烟	煙		iɪ1	
烟	菸	香～	iɪ1	
胭	胭		iɪ1	
蔫	蔫	花～落個哩：花枯萎了	iɪ1	
嫣	嫣		iɪ1	
焉	焉		iɪ1	
演	演		iɪ1	
魇	魘	夢～	iɪ1	
厌	厭		iɪ5	
堰	堰		iɪ5	
䞁	䞁		iɪ5	
燕	燕	～京	iɪ1	
燕	燕	～子	iɪ5	
咽	咽		iɪ5	
咽	嚥		iɪ5	
宴	宴		iɪ5	
雁	雁		iɪ5	
赝	贗		iɪ5	
赝	贋		iɪ5	
贝	貝		pei5	
呗	唄		pei5	
狈	狽		pei5	
杯	杯		pei1	
杯	盃		pei1	
杯	桮		pei1	
背	背	～書包（動詞）	pei1	
背	揹	～書包（動詞）	pei1	
碑	碑		pei1	
卑	卑		pei1	
悲	悲		pei1	
辈	輩		pei5	
背	背	後～（名詞）	pei5	
臂	臂		pi5	
胚	胚		pʰei1	
坯	坯		pʰi1	
坏	坏	坏者，凡土器未燒之緫名也	pʰi1	
丕	丕		pʰi1	
剖	剖		pʰei1	
配	配		pʰei5	
培	培		bei2	
陪	陪		bei2	
赔	賠		bei2	
裴	裴		bei2	
裴	裵		bei2	
倍	倍		bei6	
邶	邶		bei6	
珮	珮		bei6	
佩	佩		bei6	
背	背	～誦（動詞）	bei6	
焙	焙		bei6	
痱	痱		bei6	
眉	眉	（文）	mei2	
梅	梅		mei2	
槑	槑	古文梅字	mei2	
枚	枚		mei2	
玫	玫		mei2	
媒	媒		mei2	
煤	煤		mei2	
莓	莓		mei2	
楣	楣	倒～，門～	mei2	
霉	霉	～雨	mei2	
霉	黴	發～	mei2	
谋	謀		mei2	
每	每		mei1	
美	美		mei1	
某	某		mei1	
妹	妹		mei6	
魅	魅		mei6	
昧	昧		mei6	
媚	媚		mei6	
寐	寐		mei6	
谜	謎	猜～～子：猜謎語	mei6	
茂	茂		mei6	
贸	貿		mei6	
否	否		fei1	
缶	缶		fei1	
浮	浮	形容詞，浮躁：～尸（指辦事不穩重的人）	vei2	
芣	芣		vei2	
堆	堆		tei1	
兜	兜		tei1	
丢	丟		tei1	
抖	抖		tei1	
陡	陡		tei1	
对	對		tei5	
斗	斗	抽～	tei1	
斗	鬥	爭～	tei5	
斗	鬦	俗鬭字	tei5	
斗	鬭	爭～	tei5	
斗	鬬	爭～	tei5	
斗	鬪	爭～	tei5	
推	推		tʰei1	
偷	偷		tʰei1	
腿	腿		tʰei1	
退	退		tʰei5	
颓	頹		dei2	
颓	頽		dei2	
蜕	蛻		tʰei5	
蜕	蜕		tʰei5	
透	透		tʰei5	
头	頭		dei2	
投	投		dei2	
骰	骰	～子	dei2	
队	隊		dei6	
兑	兌		dei6	
兑	兑		dei6	
豆	豆		dei6	
逗	逗		dei6	
痘	痘		dei6	
内	內		nei6	
芮	芮		zei6	
留	留	～親眷	lei2	
留	畱	～親眷	lei2	
雷	雷		lei2	
蕾	蕾		lei2	
擂	擂		lei2	
楼	樓	～白相：假吵架，鬧著玩	lei2	
儡	儡		lei1	
垒	垒		lei1	
垒	壘		lei1	
搂	摟		lei1	
累	累	積～	lei1	
磊	磊		lei1	
磥	磥	同磊	lei1	
累	纍		lei2	
羸	羸		lei2	
累	累	勞～	lei6	
类	類		lei6	
漏	漏	～脫落（不小心遺失了，弄丟了）	lei6	
陋	陋		lei6	
椎	椎		tsei1	
追	追		tsei1	
锥	錐		tsei1	
昼	晝		tʂei1	
邹	鄒		tsei1	
周	周		tʂei1	
周	週		tʂei1	
舟	舟		tʂei1	
州	州		tʂei1	
洲	洲		tʂei1	
嘴	嘴		tʂʯ1	
走	走		tsei1	
缀	綴		tsei5	
赘	贅		tsei5	
醉	醉		tsei5	
奏	奏		tsei5	
皱	皺		tsəɯ5	
绉	縐	～巴巴	tsəɯ5	
咒	咒		tʂei5	
咒	呪		tʂei5	
帚	帚	苕～	tʂei5	
最	最		tsei5	
催	催		tsʰei1	
崔	崔		tsʰei1	
摧	摧		tsʰei1	
吹	吹	（文）	tsʰei1	
炊	炊		tsʰei1	
抽	抽		tʂʰei1	
璀	璀		tsʰei1	
丑	丑	小～	tʂʰei1	
丑	醜	～八怪	tʂʰei1	
脆	脆		tsʰei5	
翠	翠		tsʰei5	
凑	湊		tsʰei5	
臭	臭		tʂʰei5	
垂	垂		dzei2	
槌	槌		dʐʯ2	
锤	錘		dzei2	
谁	誰		zei2	
蕤	蕤		zei2	
甤	甤		zei2	
绸	綢		dʐei2	
稠	稠		dʐei2	
筹	籌		dʐei2	
酬	酬		dʐei2	
柔	柔		dʐei2	
罪	罪	犯～	dzei6	
罪	辠	犯～	dzei6	
罪	罪	～過人：可憐	zᴇ6	
罪	辠	～過人：可憐	zᴇ6	
睡	睡		zei6	
瑞	瑞		zei6	
睿	睿		zei6	
叡	叡		zei6	
蕊	蕊		zei6	
遂	遂		zei6	
隧	隧		zei6	
穗	穗		zei6	
坠	墜		dzei6	
纣	紂		dʐei6	
宙	宙		dʐei6	
籀	籀		dʐei6	
籀	籒		dʐei6	
冑	冑	甲～（從“冃”，與“胄”不同）	dʐei6	
胄	胄	～裔，貴～（從“肉”，與“冑”不同）	dʐei6	
伷	伷	貴～（同“胄”，多用於人名）	dʐei6	
骤	驟	步～	dzi6	
荽	荽		sei1	
虽	雖		sei1	
尿	尿		ʂʯ1	
溲	溲	排泄小便	sei1	
搜	搜	～查，～集	sei1	
搜	蒐	～集	sei1	
蒐	蒐	茜草	sei1	
飕	颼		sei1	
馊	餿		sei1	
收	收		ʂei1	
叟	叟		sei1	
叟	叜	古文叟字	sei1	
傁	傁		sei1	
手	手		ʂei1	
首	首		ʂei1	
守	守		ʂei1	
碎	碎		sᴇ5	
岁	歲		sei5	
岁	歳		sei5	
税	稅		sei5	
锐	銳	～角	sei5	
锐	鋭	～角	sei5	
锐	銳	～氣	zei6	
锐	鋭	～氣	zei6	
秽	穢		huei5	
秽	穢		ɦuei6	
艘	艘		sei5	
粹	粹		zei6	
嗽	嗽		sei5	
瘦	瘦		sei5	
漱	漱	咳～	sei5	
兽	獸		ʂei5	
随	隨		zei2	
隋	隋		zei2	
愁	愁		zei2	
受	受		ʐei6	
寿	壽		ʐei6	
授	授		ʐei6	
售	售		ʐei6	
沟	溝		kei1	
勾	勾	～當，～銷	kei1	
句	句	高～麗	kei1	
钩	鉤		kei1	
钩	鈎		kei1	
佝	佝		kei1	
偻	僂		lei2	
狗	狗		kei1	
苟	苟		kei1	
够	夠		kei5	
构	構		kei5	
购	購		kei5	
抠	摳		kʰei1	
口	口		kʰei1	
去	去	（白）	kʰei5	
扣	扣		kʰei5	
寇	寇		kʰei5	
厚	厚		ɡei6	
藕	藕		ŋei1	
偶	偶	配～，～然	ŋei1	
齁	齁		hei1	
呴	呴	氣喘	hei1	
吼	吼		hei1	
吼	吼		hei5	
鲎	鱟	彩虹	hei5	
侯	侯		ɦei2	
喉	喉		ɦei2	
猴	猴		ɦei2	
瘊	瘊		ɦei2	
逅	逅		ɦei6	
后	后	皇～	ɦei6	
后	後	～底：後面	ɦei6	
候	候		ɦei6	
区	區	姓	ei1	
瓯	甌		ei1	
讴	謳		ei1	
沤	漚		ei1	
欧	歐		ei1	
鸥	鷗		ei1	
殴	毆		ei1	
呕	嘔		ei1	
怄	慪		ei5	
圭	圭		kuei1	
闺	閨		kuei1	
规	規		kuei1	
槻	槻		kuei1	
龟	龜		kuei1	
归	歸	（文）	kuei1	
归	歸	（白）～去	tɕiəɯ1	
诡	詭		kuei1	
轨	軌		kuei1	
氿	氿		kuei1	
晷	晷		kuei1	
簋	簋		kuei1	
鬼	鬼	（白）老～：熟練	tʂʯ1	
鬼	鬼	（文）	kuei1	
会	會	～計	kuei5	
刽	劊		kuei5	
刿	劌		kuei5	
桧	檜		kuei5	
桂	桂		kuei5	
贵	貴		kuei5	
盔	盔		kʰuei1	
魁	魁		kʰuei1	
傀	傀		kʰuei1	
奎	奎		kʰuei1	
亏	虧		kʰuei1	
块	塊		kʰuei5	
喟	喟	～嘆	kʰuei5	
癸	癸		kuei1	
逵	逵		ɡuei2	
葵	葵		ɡuei2	
揆	揆		ɡuei6	
溃	潰		ɡuei6	
馈	餽		ɡuei6	
馈	饋		ɡuei6	
聩	聵		ɡuei6	
愧	愧		ɡuei6	
跪	跪		dʑi6	
柜	櫃	（白）	dʐʯ6	
柜	櫃	（文）	ɡuei6	
恢	恢		huei1	
灰	灰		huei1	
麾	麾		huei1	
挥	揮		huei1	
辉	輝		huei1	
晖	暉		huei1	
徽	徽		huei1	
悔	悔		huei1	
虫	虫	虺本字	huei1	
虺	虺	一種蛇	huei1	
毁	毁		huei1	
毁	毀		huei1	
毁	燬		huei1	
毁	譭		huei1	
毁	䛼		huei1	
贿	賄		huei5	
晦	晦		huei5	
卉	卉		huei5	
卉	芔	卉本字	huei5	
烩	燴		huei5	
桅	桅		ɦuei2	
徘	徘	～徊	bei2	
徊	徊	徘～	ɦuei2	
回	回		ɦuei2	
回	囘	一～	ɦuei2	
回	囬	一～	ɦuei2	
回	迴	～轉	ɦuei2	
回	逥	～轉	ɦuei2	
回	廻	～轉	ɦuei2	
回	廽	～轉	ɦuei2	
蛔	蛔		ɦuei2	
蛔	蚘		ɦuei2	
蛔	蜖		ɦuei2	
蛔	蛕		ɦuei2	
茴	茴		ɦuei2	
危	危		ɦuei2	
喂	喂	電話應答聲	ɦuei2	
为	爲	行～	ɦuei2	
违	違		ɦuei2	
围	圍		ɦuei2	
涠	潿	～洲島（廣西地名）	ɦuei2	
巍	巍		ɦuei2	
嵬	嵬		ɦuei2	
汇	匯	～合	ɦuei6	
汇	滙	～合	ɦuei6	
汇	彙	詞～	ɦuei6	
会	會		ɦuei6	
绘	繪		ɦuei6	
卫	衛		ɦuei6	
卫	衞		ɦuei6	
卫	䘙		ɦuei6	
彗	彗		ɦuei6	
惠	惠		ɦuei6	
慧	慧		ɦuei6	
伪	僞		ɦuei6	
为	爲	～人民服務	ɦuei6	
位	位		ɦuei6	
魏	魏		ɦuei6	
讳	諱		ɦuei6	
讳	諱		huei5	
伟	偉		ɦuei6	
苇	葦		ɦuei6	
玮	瑋		ɦuei6	
炜	煒		ɦuei6	
荟	薈		ɦuei6	
纬	緯		ɦuei6	
胃	胃		ɦuei6	
谓	謂		ɦuei6	
猬	猬		ɦuei6	
煨	煨		uei1	
偎	偎		uei1	
隈	隈		uei1	
萎	萎		uei1	
葵	葵	又：向日～	uei1	
威	威		uei1	
葳	葳		uei1	
畏	畏		uei5	
委	委		uei1	
猥	猥		uei1	
崴	崴		uei1	
慰	慰		ɦuei6	
尉	尉		ɦuei6	
蔚	蔚		ɦuei6	
搬	搬		pø1	
半	半		pø5	
潘	潘		pʰø1	
拌	拌	～得：捨得（俗作拚）	pʰø1	
拚	拚	（俗）～得：捨得（正字爲拌）	pʰø1	
判	判		pʰø5	
繙	繙	同槃	bø2	
槃	槃		bø2	
磐	磐		bø2	
蹒	蹣		bø2	
盘	盤		bø2	
胖	胖	心寬體～	bø2	
伴	伴		bø6	
拌	拌		bø6	
叛	叛		bø6	
瞒	瞞		mø2	
馒	饅		mø2	
鳗	鰻	～鱺	mø2	
鲡	鱺	鰻～	li2	
满	滿		mø1	
漫	漫		mø6	
幔	幔		mø6	
端	端		tø1	
短	短		tø1	
断	斷	決～	tø5	
锻	鍛		tø5	
湍	湍		tʰø1	
贪	貪		tʰø1	
探	探		tʰø5	
彖	彖		tʰø5	
抟	摶		dø2	
漙	漙		dø2	
鏄	鏄		dø2	
覃	覃		dø2	
潭	潭		dø2	
谭	譚		dø2	
坛	罈	酒～	dø2	
坛	罎	酒～	dø2	
坛	壜	酒～	dø2	
坛	墰	酒～	dø2	
坛	墵	酒～	dø2	
埮	埮	酒～	dø2	
团	團		dø2	
段	段		dø6	
缎	緞		dø6	
断	斷	砍～	dø6	
囡	囡	女兒	nø1	
男	男		nø2	
南	南		nø2	
楠	楠		nø2	
腩	腩		nø1	
暖	暖		nø1	
龻	龻		lø2	
鸾	鸞		lø2	
銮	鑾		lø2	
挛	攣		lø2	
孪	孿		lø2	
峦	巒		lø2	
娈	孌		lø2	
栾	欒		lø2	
滦	灤		lø2	
癵	癵		lø2	
脔	臠		lø2	
曫	曫		lø2	
羉	羉		lø2	
滦	灓		lø2	
圝	圝		lø2	
圞	圞		lø2	
卵	卵		lø1	
乱	亂		lø6	
詹	詹		tʂyø1	
瞻	瞻		tʂyø1	
占	占	～卜	tʂyø1	
沾	沾	～～自喜	tʂyø1	
沾	霑	～恩，雨露均～	tʂyø1	
毡	毡		tʂyø1	
毡	氊		tʂyø1	
毡	氈		tʂyø1	
钻	鑽	～研	tsø1	
专	專		tʂyø1	
砖	磚		tʂyø1	
撰	撰		tʂyø1	
展	展		tʂyø1	
纂	纂		tsø1	
转	轉	～眼	tʂyø1	
占	佔	（口）～便宜	tsiɪ5	
占	佔	～領	tʂyø5	
占	占		tʂyø5	
战	戰		tʂyø5	
颤	顫		tʂyø5	
钻	鑽	電～	tsø5	
转	轉	～圓圈	tʂyø5	
参	參		tsʰø1	
参	參	～差	tsʰəŋ1	
餐	餐	～廳，～巾紙	tsʰø1	
汆	汆	燙一下食物	tsʰø1	
窜	竄		tsʰø1	
篡	篡		tsʰø1	
川	川		tʂʰyø1	
穿	穿		tʂʰyø1	
惨	慘		tsʰø1	
喘	喘		tʂʰyø1	
串	串		tʂʰyø5	
缠	纏		dʐyø2	
传	傳	水滸～	dʐyø2	
椽	椽		dʐyø2	
篆	篆		dʐyø6	
蒃	蒃		dʐyø6	
传	傳		dʐyø6	
膻	膻		ʂyø1	
膻	羶		ʂyø1	
扇	扇	～風	ʂyø1	
扇	搧	～風	ʂyø1	
煽	煽		ʂyø1	
酸	酸	味道～	sø1	
酸	痠	～痛	sø1	
涮	涮		ʂyø1	
陕	陝		ʂyø1	
闪	閃		ʂyø1	
扇	扇	電風～	ʂyø5	
算	算		sø5	
祘	祘	同算	sø5	
蒜	蒜		sø5	
蚕	蠶		zø2	
蟾	蟾		ʐyø2	
蝉	蟬		ʐyø2	
禅	禪	～宗	ʐyø2	
单	單	～于	ʐyø2	
婵	嬋		ʐyø2	
然	然	弗～	dzø2	
然	然	當～	ʐyø2	
燃	燃		ʐyø2	
船	船		ʐyø2	
染	染		ʐyø2	
冉	冉		ʐyø6	
冉	冄		ʐyø6	
苒	苒		ʐyø6	
善	善		ʐyø6	
蟮	蟮	蛐～：蚯蚓	ʐyø6	
缮	繕		ʐyø6	
鳝	鱔		ʐyø6	
单	單	姓	ʐyø6	
膳	膳		ʐyø6	
禅	禪	～讓	ʐyø6	
甘	甘		kø1	
柑	柑		kø1	
泔	泔		kø1	
干	干	～涉	kø1	
干	乾	～燥	kø1	
漧	漧	～燥	kø1	
肝	肝		kø1	
感	感		kø1	
敢	敢		kø1	
橄	橄	～欖	kᴇ1	
杆	杆	欄～	kø1	
杆	杆	一～秤	kø1	
杆	桿	一～秤	kø1	
竿	竿		kø1	
秆	秆		kø1	
秆	稈		kø1	
擀	擀		kø1	
赶	趕		kø1	
干	幹	骨～，～部	kø5	
干	榦	樹～	kø5	
赣	贛		kø5	
赣	灨		kø5	
赣	贑		kø5	
淦	淦		kø5	
绀	紺		kø5	
旰	旰		kø5	
看	看	～守	kʰø1	
堪	堪		kʰø1	
龛	龕		kʰø1	
勘	勘		kʰø1	
刊	刊		kʰø1	
刊	栞		kʰø1	
砍	砍		kʰø1	
看	看	小～	kʰø5	
岸	岸		ŋø6	
憨	憨		hø1	
酣	酣		hø1	
鼾	鼾		hø1	
罕	罕		hø1	
汉	漢		hø5	
厂	厂	山石之厓巖，人可居	hø1	
邗	邗		ɦø2	
含	含		ɦø2	
邯	邯		ɦø2	
涵	涵		ɦø2	
函	函		ɦø2	
寒	寒		ɦø2	
韩	韓		ɦø2	
撼	撼		ɦø6	
憾	憾		ɦø6	
捍	捍		ɦø6	
扞	扞		ɦø6	
旱	旱		ɦø6	
汗	汗		ɦø6	
焊	焊		ɦø6	
翰	翰		ɦø6	
瀚	瀚		ɦø6	
庵	庵		ø1	
鹌	鵪		ø1	
安	安		ø1	
鞍	鞍		ø1	
揞	揞		ø1	
暗	暗		ø5	
暗	闇		ø5	
按	按		ø5	
案	案		ø5	
蠲	蠲		tʂyø1	
捐	捐		tʂyø1	
娟	娟		tʂyø1	
鹃	鵑		tʂyø1	
卷	卷	～起來	tʂyø1	
卷	捲	～起來	tʂyø1	
眷	眷		tʂyø5	
绢	絹		tʂyø5	
卷	卷	試～	tʂyø5	
圈	圈	圓～	tʂʰyø1	
犬	犬		tʂʰyø1	
劝	勸		tʂʰyø5	
券	券		tʂʰyø5	
蜷	蜷		dʐyø2	
拳	拳		dʐyø2	
权	權		dʐyø2	
颧	顴		dʐyø2	
圈	圈	豬～	dʐyø6	
倦	倦		dʐyø6	
软	軟		ŋø1	
楦	楦	鞋～	ʂyø5	
园	园	《莊子·齊物論》五者园而幾向方矣	ɦø2	
圆	圓		ɦyø2	
员	員		ɦyø2	
鸢	鳶		ɦyø2	
缘	緣		ɦyø2	
芫	芫		ɦyø2	
元	元	～寶	ȵyø2	
元	元	～旦	ɦyø2	
鼋	黿	～頭渚（無錫地名）	ɦyø2	
原	原	～諒	ȵyø2	
原	原	～子彈	ɦyø2	
源	源		ȵyø2	
袁	袁		ɦyø2	
辕	轅		ɦyø2	
园	園	公～	ɦyø2	
援	援		ɦyø2	
猿	猿		ɦyø2	
玄	玄		ɦyø2	
悬	懸		ɦyø2	
眩	眩		ɦyø2	
渊	淵		ɦyø2	
渊	渕	俗淵字	ɦyø2	
媛	媛		ɦyø6	
院	院		ɦyø6	
朊	朊		ȵyø6	
阮	阮		ȵyø6	
愿	愿	《書·臯陶謨》～而恭	ȵyø6	
愿	願	～意	ȵyø6	
县	縣		ɦyø6	
冤	冤		yø1	
鸳	鴛		yø1	
远	遠		ɦyø1	
怨	怨		ɦyø6	
官	官		kø1	
棺	棺		kø1	
观	觀	參～，山～（地名）	kø1	
冠	冠	～軍，衣～	kø1	
管	管		kø1	
馆	館		kø1	
馆	舘		kø1	
贯	貫		kø5	
灌	灌		kø5	
罐	罐		kø5	
观	觀	寺～	kø5	
宽	寬		kʰø1	
款	款		kʰø1	
欢	歡		hø1	
欢	懽		hø1	
焕	煥		hø5	
唤	喚		hø5	
痪	瘓		hø5	
完	完		ɦø2	
玩	玩		ɦø2	
纨	紈		ɦø2	
丸	丸		ɦø2	
桓	桓		ɦø2	
换	換		ɦø6	
皖	皖		ɦø6	
豌	豌		ø1	
腕	腕		ø1	
缓	緩		ø1	
碗	碗		ø1	
惋	惋		ø1	
腕	腕		ø1	
宛	宛		ø1	
婉	婉		ø1	
巴	巴		pu1	
芭	芭		pu1	
疤	疤		pu1	
笆	笆		pu1	
把	把	量詞	pu1	
霸	霸		pu5	
坝	垻		pu5	
坝	壩		pu5	
怕	怕		pʰu5	
爬	爬		bu2	
琶	琶		bu2	
耙	耙		bu6	
蟆	蟆		mø2	
蟆	蟇		mø2	
麻	蔴		mø2	
麻	麻		mø2	
蘑	蘑	～菇	mø2	
马	馬		mø1	
码	碼		mø1	
骂	駡		mø6	
骂	罵		mø6	
那	那		nɑ1	
拿	拿	俗拏字	nø2	
拿	拏		nø2	
拿	挐	同拏	nø2	
拿	㧱	俗拏字	nø2	
查	査	姓	tsø1	
查	查	姓	tsø1	
楂	楂		tsø1	
渣	渣		tsø1	
诈	詐		tsø5	
榨	榨	～油	tsø5	
炸	炸	爆～	tsø5	
柞	柞		tsø5	
钗	釵		tsʰø1	
叉	叉		tsʰø1	
杈	杈		tsʰø1	
砗	硨		tsʰø1	
车	車		tsʰø1	
岔	岔		tsʰø5	
茶	茶		dzø2	
搽	搽		dzø2	
茬	茬		dzø2	
查	査		dzø2	
查	查		dzø2	
莎	莎		sø1	
沙	沙		sø1	
砂	砂	硃～	sø1	
纱	紗		sø1	
裟	裟		sø1	
所	所	廁～	sø1	
产	產	～母娘：產婦	sø1	
产	産	～母娘：產婦	sø1	
瓜	瓜		ku1	
寡	寡		ku1	
嫁	嫁		kɑ5	
价	价	价，善也	kɑ5	
价	價	～錢	kɑ5	
挂	挂		ku5	
挂	掛		ku5	
卦	卦		ku5	
夸	誇		kʰu1	
夸	夸		kʰu1	
垮	垮		kʰu1	
可	可		kʰəɯ1	
跨	跨		kʰu5	
胯	胯		kʰu5	
牙	牙		ŋɑ2	
芽	芽		ŋɑ2	
衙	衙		ŋɑ2	
瓦	瓦	磚～	ŋø1	
虾	蝦		hu1	
花	花	～瓣，～費，姓	hu1	
花	蘤	～瓣	hu1	
花	芲	～瓣	hu1	
化	化		hu5	
罅	罅	～～：縫隙	hu5	
华	華		ɦu2	
铧	鏵		ɦu2	
划	划	～船	ɦu2	
画	畵		ɦu6	
画	畫		ɦu6	
话	話		ɦu6	
踝	踝		ɦu2	
厦	廈		ɦu6	
下	下		ɦu1	
下	下	（文）零～	ɦiɑ1	
夏	夏		ɦu6	
鸦	鴉		u1	
丫	丫	～頭：女孩子	u1	
桠	椏	～杈：枝椏	u1	
蛙	蛙		u1	
洼	洼		u1	
洼	窪		u1	
哑	啞		ø1	
靴	靴		ɕiu1	
魔	魔		mø2	
磨	磨	～刀	mø2	
摩	摩		mø2	
模	模		mø2	
亩	畮		m1	
亩	畝		m1	
母	母		mø1	
拇	拇		mø1	
姥	姥		mø1	
磨	磨	石～	mø6	
暮	暮		mø6	
慕	慕		mø6	
墓	墓		mø6	
募	募		mø6	
幕	幕		mø6	
多	多		təɯ1	
都	都		təɯ1	
朵	朵		təɯ1	
朵	朶		təɯ1	
躲	躲		təɯ1	
躲	躱		təɯ1	
堵	堵		təɯ1	
赌	賭		təɯ1	
肚	肚	豬～，魚～	təɯ1	
妒	妒		təɯ5	
妒	妬		təɯ5	
拖	拖		tʰəɯ1	
妥	妥		tʰəɯ1	
椭	橢		tʰəɯ1	
唾	唾		tʰəɯ1	
土	土		tʰəɯ1	
吐	吐		tʰəɯ1	
兔	兔		tʰəɯ5	
兔	兎		tʰəɯ5	
菟	菟		tʰəɯ5	
菟	莵		tʰəɯ5	
菟	菟		dəɯ2	
菟	莵		dəɯ2	
驼	駞		dəɯ2	
驼	駝		dəɯ2	
驮	馱		dəɯ2	
驮	駄		dəɯ2	
陀	陀		dəɯ2	
佗	佗		dəɯ2	
沱	沱	滂～	dəɯ2	
徒	徒		dəɯ2	
屠	屠		dəɯ2	
途	途		dəɯ2	
涂	涂		dəɯ2	
涂	塗	～～畫畫	dəɯ2	
图	圖		dəɯ2	
舵	舵		dəɯ6	
大	大	～姐，～小	dəɯ6	
堕	墮		dəɯ6	
惰	惰		dəɯ6	
肚	肚	～臍眼，～皮	dəɯ6	
杜	杜		dəɯ6	
度	度		dəɯ6	
渡	渡		dəɯ6	
镀	鍍		dəɯ6	
奴	奴		nəɯ2	
捼	捼	動詞，揉身體的某個部位	nəɯ2	
挪	挪		nəɯ2	
努	努		nəɯ1	
