#ɿ
ts[1]资姿咨兹滋梓[3]紫姊子滓[5]刺自字
x[1]花[2]华{中华}铧桦[5]化划{~船}华{~山}画话划{~破}[7]滑猾
∅[1]蛙洼挖[2]娃[3]瓦{动词}瓦{名词}[7]袜

#e
p[7]泊北百柏伯白
pʰ[7]迫拍魄
m[7]墨默脉麦
t[7]得德
tʰ[7]特
n[7]劣勒肋
ts[1]遮[2]贼[7]哲蜇辙折浙则仄宅窄摘责
tsʰ[1]笡[7]厕撤彻侧恻测拆择泽册策
s[1]赊[2]蛇摄折{~本}[3]舍{宿~}舍{~得}[5]麝社[7]涉涩舌设虱塞色啬
tʂ[7]蔗折{打~}
tʂʰ[3]扯[7]澈
ʐ[3]惹[7]热
k[5]给[7]格骼革隔嗝
kʰ[7]克刻咳客
ŋ[7]额厄扼轭
x[7]黑核

#ie
p[7]陛鼻别{分~}笔滗毕必碧璧壁
pʰ[7]避别{~针}撇癖僻辟劈霹
m[7]秘灭密
t[7]叠碟牒蝶谍的滴嫡笛敌涤
tʰ[7]跌帖贴铁踢
tɕ[1]皆阶偕[2]吸[3]姐解{了~}[5]介界芥[7]接缉集辑急级及杰揭节结洁疾即鲫极积绩激击
tɕʰ[7]捷劫怯切窃截七漆乞戚
ȵ[7]聂镊蹑猎业立笠粒列烈裂孽捏力逆历
ɕ[2]谐[7]解{姓~}蟹胁协习袭竭歇悉膝息熄媳隙昔惜夕席析锡
∅[7]椰揖乙一壹逸益

#ue
k[7]郭国
kʰ[7]括阔廓扩

#ye
tɕ[7]绝决诀菊鞠掬
tɕʰ[2]掘[7]缺却曲
ɕ[2]血[7]薛雪穴戌
∅[1]曰[2]越[7]悦阅月

#o
p[1]波菠玻[3]簸{~一~}簸{~箕}跛[5]播[7]薄{~荷}不拨脖勃博泊帛薄{厚~}剥驳
pʰ[1]坡[2]婆[5]破剖[7]赴泼朴扑醭仆瀑
m[1]摩摸[2]魔磨{~刀}[3]抹[5]磨{石~}暮慕墓幕[7]蟆末沫没出没莫膜寞陌木沐
f[7]脯傅佛佛福腹复辐覆伏服
t[1]多都{~市}[7]夺戳独读督毒
tʰ[1]拖[7]颓脱突凸托拓秃
n[1]啰[2]骆鹿[5]诺[7]赂律落洛乐络禄六陆录绿
ts[7]苎作昨着{~棋}着{~地}酌
tsʰ[7]矬凿畜{~牲}促
s[7]素率{效~}缩束蜀属
tʂ[7]绰卓桌啄琢浊捉镯竹逐轴祝烛嘱触
tʂʰ[7]撮拙出
ʂ[7]说朮{白~}索芍叔淑熟
ʐ[7]入弱
k[1]歌哥锅姑孤[3]果裹[5]个过[7]鸽割葛骨胳各阁谷角{白}
kʰ[1]科棵[3]可颗[5]课酷[7]磕渴窟壳哭
ŋ[1]鹅腭愕[3]我[7]恶
x[1]喝[2]荷{薄~}何河荷{~花}和{我~你}禾和{~面}[3]火伙[5]贺货祸[7]合盒豁活忽鹤霍藿惑赫
∅[1]窝莴蜗[2]蛾鄂鳄俄[5]饿[7]卧勿物握屋沃

#io
tɕ[7]爵脚觉足局角{文}
tɕʰ[3]瞅[7]屈倔掘雀鹊确族曲
ȵ[7]略掠
ɕ[7]续戍恤削学速宿肃蓄畜{~牧}俗续
∅[7]虐约药钥乐岳域役疫育狱浴欲

#ɤ
k[7]搁

#ai
p[3]摆[5]拜败
pʰ[2]排牌徘[5]派
m[2]埋[3]买[5]卖迈
t[1]呆怠[3]逮[5]戴贷待代袋带大{~夫}
tʰ[1]胎台{天~}[2]台{平~}苔抬[5]态太泰
n[2]来[3]奶[5]耐奈赖癞
ts[1]灾栽斋[3]者宰[5]再载{~重}在载{满~}载{年~}债寨
tsʰ[1]猜钗差{出~}[2]才材财裁豺柴[3]彩采踩睬[5]菜蔡
s[1]腮鳃筛{~选}筛{米~}[5]赛晒
k[1]该街[3]改[5]盖丐
kʰ[1]开揩[3]凯楷[5]概溉慨
ŋ[1]哀埃[2]崖捱岩[3]蔼矮[5]碍爱艾
x[2]孩鞋还{~有}[3]海[5]亥害
∅[1]唉挨

#uai
s[1]衰
tʂʰ[1]揣[3]喘
ʂ[1]摔[5]帅率{率~}蟀
k[1]乖[3]拐[5]怪
kʰ[3]块[5]会{~计}刽快筷
x[2]徊怀槐淮[5]坏
∅[1]歪[5]外

#ei
p[1]杯碑卑悲[5]贝狈辈背{后~}倍背{~书}臂婢
pʰ[1]批胚坯披[2]培陪赔裴[3]丕[5]沛配佩
m[2]梅枚媒煤玫莓霉媚[3]每美[5]妹昧
f[1]飞非妃菲[2]肥[3]匪翡[5]废肺吠痱沸费
tʂʰ[1]车
ʂ[5]射

#uei
t[1]堆[5]对队兑
tʰ[1]推[3]腿[5]退褪
n[2]雷擂[3]摞屡馁累{~计}垒[5]内累{劳~}累{连~}类泪
ts[3]嘴[5]罪最醉
tsʰ[1]催崔摧[5]碎脆翠悴粹
s[2]隧[5]岁
tʂ[1]追锥[5]缀赘坠
tʂʰ[1]吹炊[2]垂锤
ʂ[2]髓随谁[3]水[5]税睡穗
ʐ[5]瑞锐芮
k[1]闺规龟归[3]诡轨鬼[5]瑰桂跪癸柜贵
kʰ[1]盔亏窥[2]魁奎逵葵[5]溃愧
x[1]恢灰挥辉徽[2]回迴茴或获[3]悔毁[5]贿晦汇桧会{开~}会{~不~}绘惠慧卉讳汇
∅[1]萎巍威[2]危为{~人，作为}帷维惟唯微薇围违苇纬[3]委尾伟[5]为{~他人服务}卫伪喂位帷未味魏畏慰胃谓猬

#au
p[1]包胞雹[3]保宝堡饱[5]报抱暴菢豹爆鲍刨曝
pʰ[1]抛[2]袍刨[3]跑[5]泡炮
m[1]猫[2]毛茅矛[3]卯[5]冒帽貌
t[1]刀[3]倒{打~}岛祷捣[5]倒{~车}到稻道盗蹈
tʰ[1]滔掏[2]桃逃淘陶萄涛[3]讨[5]套导
n[1]捞[2]劳牢唠痨涝[3]脑恼老姥[5]闹
ts[1]糟遭朝{名词}昭招沼[3]早枣蚤澡找[5]灶皂照罩赵兆召{号~}诏
tsʰ[1]操抄超[2]曹槽巢潮朝{名词}[3]草騲草鸡炒吵[5]躁糙造燥
s[1]骚臊梢筲捎稍烧[2]韶[3]嫂扫少{多~}[5]潲哨少{~爷}绍邵
tʂʰ[1]钞
ʂ[2]勺
ʐ[2]铙挠饶[3]扰绕
k[1]高膏篙糕羔膏[3]稿搞[5]告窖
kʰ[1]敲[3]考烤拷[5]靠铐
ŋ[1]爊[2]熬傲[3]袄[5]懊奥澳懊拗
x[1]蒿薅[2]毫豪壕[3]好{~坏}[5]好{爱~}浩耗号{口~}
∅[1]凹

#iau
p[1]膘标鳔彪[3]表婊
pʰ[1]飘[2]瓢嫖[3]漂{~白}[5]票漂{~亮}
m[2]苗描[3]秒渺藐[5]庙妙谬
t[1]刁雕貂凋[5]吊钓掉调{音~}
tʰ[1]挑[2]条调{~整}[5]跳
tɕ[1]教{~书}茭焦蕉椒醮骄娇矫浇交胶郊[2]嚼[3]绞狡铰搅剿缴侥饺[5]教{~育}较轿叫觉{睡一~}
tɕʰ[1]悄锹撬[2]瞧荞侨桥乔[3]巧[5]翘窍
ȵ[2]疗辽聊寥撩僚镣燎[3]咬鸟了{了结}[5]尿廖料
ɕ[1]消宵霄硝销逍肖嚣萧箫[3]小晓[5]酵校{校对}哮孝淆校{学校}效笑
∅[1]妖邀腰要{~求}夭幺吆[2]肴摇谣姚窑遥尧[3]舀[5]要{主要}耀跃

#əu
t[1]都{~是}兜[3]斗{一~}陡[5]斗{~争}豆痘逗
tʰ[1]偷[2]头投[3]抖[5]透
n[2]楼[3]搂[5]漏陋
ts[1]邹[3]走肘[5]宙奏
tsʰ[1]掫[2]愁[5]凑骤
s[1]搜飕馊搜[5]嗽
tʂ[1]周舟州洲周粥[3]帚[5]昼咒
tʂʰ[1]抽[2]绸稠筹酬仇[3]丑[5]臭
ʂ[1]收[3]手首守[5]瘦兽受寿授售
ʐ[2]柔揉[5]肉
k[1]勾{~引}钩沟勾{~当}[3]狗苟[5]垢够构购
kʰ[1]抠[3]口[5]叩扣寇
ŋ[1]欧区{姓~}[3]藕偶呕殴[5]怄
x[2]侯喉猴[3]吼[5]后厚候

#iəu
t[1]丢
tɕ[1]揪鸠阄臼灸柩纠[3]酒九久韭[5]就救究舅咎旧
tɕʰ[1]秋丘鳅[2]囚求球
ȵ[1]溜[2]流留刘榴琉硫馏牛[3]纽扭柳
ɕ[1]修羞休[3]朽[5]秀绣锈宿{星~}袖
∅[1]优忧悠幽[2]尤邮由油游犹[3]有友酉[5]又右佑诱柚釉幼

#an
p[1]班斑扳颁搬般帮邦浜[3]板版榜绑[5]扮办瓣半伴拌谤傍棒蚌
pʰ[1]攀潘[2]盘襻滂旁螃庞[5]盼绊判畔叛胖
m[2]蛮瞒馒忙芒茫盲虻氓[3]满莽蟒[5]慢鳗漫幔
f[1]翻番方芳[2]凡帆烦矾繁藩坊肪仿妨房防[3]反纺仿彷访[5]泛范犯贩饭放
t[1]耽担丹单当{应~}裆[3]胆党挡档[5]担淡旦诞但弹{子~}蛋当{~铺}荡
tʰ[1]贪探坍滩摊瘫汤[2]潭谈谭坛痰坛弹{~琴}堂棠螳唐糖塘[3]毯坦躺[5]叹炭倘烫趟
n[2]南男蓝篮难{困~}兰拦栏囊郎廊狼螂[3]览揽榄缆懒朗[5]滥难{灾~}烂浪
ts[1]簪粘瞻砧毡赃脏张[3]盏攒长{省~}涨[5]暂錾赞绽栈葬藏{西~}脏{内~}
tsʰ[1]参{~加}仓苍舱[2]蚕惭藏{隐~}[3]惨产[5]灿
s[1]三衫珊搧桑丧{婚~}[3]散{松~}磉嗓[5]散{~会}
tʂ[1]章樟蟑[3]斩展掌[5]站蘸占灒战帐胀账怅丈仗杖障瘴
tʂʰ[1]餐昌菖娼倡[2]馋谗残缠长{~短}肠场[3]厂[5]畅唱
ʂ[1]山商伤[2]蝉禅常尝裳[3]陕闪伞颤搡赏晌偿[5]扇善膳丧{~失}上尚
ʐ[2]然燃瓤[3]染冉壤攘嚷[5]让
k[1]甘柑尴干{天~地支}干{~湿}肝竿杆刚岗纲钢冈缸钢肛[3]感敢橄秆擀赶港[5]干{~部}杠虹
kʰ[1]堪龛勘刊康糠慷[2]扛[3]坎砍槛囥[5]看抗炕
ŋ[1]安鞍肮[2]昂[5]揞暗岸按案晏
x[1]憨酣鼾夯[2]含函咸寒韩行{银~}航杭[3]撼憾喊罕[5]汉旱捍汗焊翰苋项巷

#iɛn
p[1]鞭编边[3]贬蝙扁匾[5]变辩辨便{方~}辫
pʰ[1]篇偏[2]便{~宜}[5]骗遍{一~}遍{普~}片
m[2]绵棉眠[3]免勉缅娩[5]面
t[1]掂踮颠癫[3]点典腆[5]店簟电殿奠佃垫淀
tʰ[1]添天[2]甜田填[3]舔
tɕ[1]监{~督}尖兼艰间奸煎肩坚将{~来}疆僵姜缰姜江[3]减碱检俭简柬拣锏剪践茧趼蒋奖[5]鉴监{国子~}舰渐剑箭贱件建毽键健腱荐见匠浆桨酱将{大~}降{下~}
tɕʰ[1]歼签扦纤谦迁笺千牵铅{文}枪羌腔[2]潜钳钱乾虔犍前墙强{坚~}[3]浅遣抢强{勉~}[5]欠歉纤呛
ȵ[1]拈研[2]廉镰阎严俨鲇连联年怜莲粮娘良凉梁粱匿[3]脸碾两辆[5]验酽念练炼链炼楝恋酿量{动词}亮谅量{名词}
ɕ[1]仙先相{互~}箱厢湘镶[2]嫌闲贤衔翔降{投~}[3]险显想[5]陷馅限线羡宪献现县相{~貌}象像饷向
∅[1]淹炎蔫焉蔫烟胭央秧殃[2]颜言檐盐蜒羊阳扬疡[3]演衍掩眼仰养[5]厌艳焰谚堰燕宴燕咽雁砚样

#uan
t[1]端[3]短[5]断锻段缎
tʰ[2]团
n[2]鸾[3]暖卵[5]乱
ts[5]赚
tsʰ[3]铲
tʂ[1]钻{~洞}专砖庄装妆桩[3]转{~学}[5]钻{名词}转{~圈}传{~记}撰壮状撞{文}
tʂʰ[1]川穿疮窗[2]传{~达}船床[3]闯撞{白}[5]纂蹿窜篡串创{~造}
ʂ[1]酸拴删霜双[3]爽[5]算蒜
ʐ[3]软阮{文}
k[1]官棺观{参~}冠{衣~}关光[3]管馆广[5]贯灌罐观{道~}冠{~军}惯
kʰ[1]宽筐框匡眶[2]狂[3]款[5]皖旷况矿
x[1]欢荒慌[2]还{~原}环桓黄皇蝗蟥凰簧[3]缓谎晃[5]唤焕换幻患
∅[1]豌弯湾汪[2]玩完顽纨亡丸王[3]碗腕晚挽宛网枉往[5]万蔓望妄忘旺

#yɛn
tɕ[1]绢捐[3]卷{~起来}[5]卷{~宗}眷倦
tɕʰ[1]圈[2]全泉权拳[3]犬[5]劝券
ɕ[1]鲜新鲜朝鲜掀轩宣喧[2]弦旋{~转}玄悬眩[3]癣选[5]旋{~吃~做}楦
∅[1]冤渊[2]圆员缘沿铅{白}元原源袁辕园援猿阮{白}[3]远[5]院愿怨

#en
p[5]笨
m[2]门
t[1]敦墩蹲登灯[3]等[5]顿扽盾沌钝遁盾凳邓澄
tʰ[1]吞[2]屯豚臀藤腾誊
n[2]论{~语}仑伦沦轮能棱[3]冷[5]嫩论{讨~}
ts[1]针斟真疹尊遵增曾{姓~}憎征蒸争筝睁贞侦[3]怎枕撙拯[5]赠证症郑
tsʰ[1]村撑[2]沉存层曾{~经}澄{~清}橙承丞橙呈程[3]惩逞[5]衬忖称{相~}秤寸{文}
s[1]森参{人~}深孙僧生牲甥笙[2]辰乘[3]渗葚沈婶审损省{节~}[5]甚剩胜盛{~饭}盛{兴~}
tʂ[1]珍榛臻诊正{~月}征[3]振震整[5]镇阵圳正{~直}政
tʂʰ[1]伸称{~呼}[2]陈尘娠臣成城诚[5]趁慎
ʂ[1]身申升声[2]神晨[5]肾胜{~任}圣
ʐ[2]壬任{姓~}纴人仁[3]忍刃韧仍扔[5]任{~务}认
k[1]跟根更{~替}庚粳耕[3]哽耿梗[5]埂更{~加}
kʰ[1]坑[3]恳垦啃肯
ŋ[1]恩[5]硬
x[1]亨哼[2]痕恒衡横{蛮~}[3]很[5]恨杏

#in
p[1]蓖宾滨殡冰兵彬槟鬓[3]丙柄饼禀秉[5]病并
pʰ[1]拼[2]贫频苹凭平评坪瓶屏萍[3]品[5]聘
m[2]民悯明鸣铭名[3]闽敏抿皿[5]命
t[1]丁钉{名词}疔叮[3]顶鼎[5]钉{动词}订锭定
tʰ[1]听厅[2]亭停庭廷蜓[3]挺艇
n[2]林淋临鳞磷邻凌陵菱宁{安~}宁{~可}灵零铃龄翎拎[3]檩凛领岭[5]吝凝令另
tɕ[1]今金禁{~不住}津巾斤筋茎京荆惊精晶睛经襟鲸[3]锦紧仅谨境景警井颈[5]襟禁{~止}尽进晋劲近敬竟镜竞静靖净径
tɕʰ[1]钦揿亲清轻青蜻[2]琴禽擒秦勤芹情晴[3]寝请[5]浸侵庆
ɕ[1]心芯辛薪新兴{~旺}星腥猩馨[2]行{~为}形刑型[3]反省醒[5]信兴{~趣}幸性姓
∅[1]音阴窨因洇姻殷鹰蝇莺樱鹦英婴缨萤[2]吟淫银迎盈赢[3]饮{~酒}引隐瘾影[5]饮{~菜}印应{反~}应{~该}映颖

#uen
s[2]纯绳
ʐ[5]闰润
∅[1]温[2]文[3]稳[5]问

#yn
tɕ[1]钧均君[5]俊肫菌
tɕʰ[1]倾顷[2]琼
ɕ[2]寻询旬{文}循{文}[5]讯迅
∅[2]寅匀荣{白}[5]泳咏

#iaŋ
tɕ[1]豇[3]讲
ɕ[1]香乡[2]详祥[3]享响
∅[2]洋杨[3]痒

#əŋ
p[1]奔崩绷[3]本
pʰ[1]烹[2]盆朋彭膨棚篷蓬[3]捧[5]喷{~香}碰
m[1]闷[2]谋萌盟蒙蠓[3]某亩猛蜢[5]茂贸孟
f[1]分芬纷丰封蜂峰锋[2]焚坟冯逢缝{~衣服}[3]粉讽[5]喷{~水}粪奋愤份凤奉缝{~隙}俸

#uəŋ
∅[1]瘟翁[2]纹蚊闻[3]吻[5]齆

#oŋ
f[1]吩风疯枫
t[1]东冬[3]董懂[5]冻栋动洞
tʰ[1]通[2]同铜桐筒童瞳[3]捅桶统[5]痛
n[1]聋[2]笼咙农脓侬隆窿浓龙[3]拢垄陇[5]弄
ts[1]踪[5]纵
tsʰ[1]囱[2]醇丛从[5]寸{白}
s[1]孙{白}松{~树}[3]笋舜[5]送宋诵颂讼
tʂ[1]鬃棕宗中{~秋}忠衷终钟盅舂[3]准总种肿种{~类}种{~田}[5]皱粽综中{射~}仲众重{轻~}
tʂʰ[1]椿春唇葱聪匆充冲[2]虫崇重{~复}[3]蠢宠
ʂ[1]松{轻~}[3]吮[5]顺
ʐ[2]绒戎融茸[5]孕
k[1]公工功攻蚣弓躬宫恭龚[3]滚拱巩[5]棍贡供供应上供共
kʰ[1]昆坤空天空[3]捆孔恐[5]困睏控
x[1]昏婚浑荤轰烘[2]魂弘横{~直}宏虹红洪鸿[3]哄{~骗}哄{内~}[5]馄混
∅[1]瓮

#ioŋ
tɕ[1]军[5]郡
tɕʰ[2]群裙穷
ɕ[1]熏勋薰兄胸凶[2]巡熊雄旬{白}循{白}[5]驯殉训
∅[1]晕雍臃庸[2]云耘营茔荥容溶蓉熔荣{文}[3]允尹永拥
