"来源："	"李小平 2004《山西离石方言音系》；安静先生 整理录入"
"l"	"［2］凌-{冬～：冰}［3］冷-{～水}［5］赖-癞-"
"tɕ"	"［1］睁-耕-更{～深半夜}羹{抿～}遮皆阶秸街［3］姐者解{～开}［5］债-{～务}寨-{～马墕}借藉褯蔗介界芥疥届戒械"
"tɕʰ"	"［1］差-{出～}坑-车{～辆}揩搋{～馅子：以手用力压和揉馅，使之充分混合}［2］茄柴-［3］且扯踩"
"ɕ"	"［1］筛-生-{～汉：生人}甥-奢赊［2］行-{～～走走：小孩开始走路}邪斜蛇谐［3］些写舍［5］晒杏-{～树}泻卸谢射麝赦社懈解-{姓}射"
"ŋ"	"［1］挨"
"x"	"［2］鞋［5］解{～下：晓也}澥"
"Ø"	"［2］爷［3］惹也野［5］夜液腋"
"#yɛ"	""
"tɕ"	"［5］拽"
"tɕʰ"	"［2］瘸［3］揣［5］窜-"
"ɕ"	"［1］靴［2］横-"
"k"	"［1］乖-［3］拐诡-［5］怪"
"kʰ"	"［3］块［5］会{～计}快筷"
"x"	"［2］怀槐-淮-［5］坏"
"Ø"	"［1］歪"
"#iɪ"	""
"p"	"［1］边蝙=鞭编［3］贬扁匾［5］变辨辩汴便{方～}遍辫"
"pʰ"	"［1］蝙-篇偏边［3］片{照～}［5］骗片{～柴：劈柴}"
"m"	"［2］绵棉眠［3］免勉娩{分～}缅［5］面"
"t"	"［1］掂颠癫［3］点典［5］店簟电殿奠垫淀靛"
"tʰ"	"［1］添天［2］恬甜田填［3］舔"
"n"	"［2］拈年研-［3］碾=捻撵［5］酽{颜色深}念砚"
"l"	"［2］狸廉镰帘连联=鲢怜莲零-铃-翎-犁梨黎离篱璃厘［3］脸敛礼李里理鲤岭-领-［5］令-{节～：时节，时令；本～年：本命年}练炼楝另-{～开：独自生活}例厉励丽隶荔利痢吏"
"tɕ"	"［1］沾-粘-{～贴}尖兼犍键肩坚煎［3］展-{舒～：舒服}检俭剪茧［5］占-战-颤-渐剑箭溅践贱饯件建健荐见"
"tɕʰ"	"［1］歼锨{铁～}签谦迁千牵［2］缠-潜钳钱乾{～坤}虔前［3］浅遣［5］欠歉芡"
"ɕ"	"［1］羶扇-煽-仙涎掀先［2］纤{～维}嫌贤弦禅-{～在居舍：呆在家里}［3］陕-{~西}闪-险鲜癣显［5］扇-善-线羡宪献现县"
"k"	"［1］柑-泔干肝竿-［3］杆-{旗～}秆{麦～}擀赶"
"kʰ"	"［1］堪-勘-看{小～：看不起}［3］砍［5］看{～见}"
"ŋ"	"［1］安-鞍-［2］严-［3］唵揞{～盖：掩盖}［5］暗-{黄尘黑～}岸-按-案-"
