字	声	韵	调	注释
碑	p	ø	44	坟~
碑	p	ei	52	口~
皮	ph	ø	13	
被	ph	ø	13	
紫	ts	ɿ	52	
刺	ts	ɿ	52	
知	ts	ɿ	52	
池	dz	ɿ	13	
纸	tɕ	iɛ	35	
纸	ts	ɿ	35	字~箩
儿	Ǿ	əl	13	幼~园
寄	ts	ɿ	52	
骑	dz	ɿ	13	
蚁	ȵ	i	13	
义	ȵ	i	13	
戏	s	ɿ	52	
移	Ǿ	i	13	
比	p	i	35	
屁	ph	ei	52	
屁	ph	i	52	
鼻	ph	i	52	~头
眉	m	i	13	
地	d	i	13	
梨	l	i	13	
资	ts	ɿ	52	
死	s	ɿ	35	
四	s	ɿ	52	
迟	dz	ɿ	13	
师	s	ɿ	52	
指	ts	ɿ	52	
二	n	a	13	
二	ȵ	i	13	
饥	ts	ɿ	52	
器	tsh	ɿ	52	
姨	Ǿ	i	13	
李	l	i	13	
子	ts	ɿ	52	书面语
字	dz	ɿ	13	
丝	s	ɿ	52	
祠	dz	ɿ	13	
寺	z	ɿ	13	
治	dz	ɿ	13	
柿	z	ɿ	13	
事	z	ɿ	13	
使	s	ɿ	52	
试	s	ɿ	52	
时	z	ɿ	13	
市	z	ɿ	13	
耳	ȵ	i	52	~朵
耳	Ǿ	əɭ	13	木~
记	ts	ɿ	52	
棋	dz	ɿ	13	
喜	s	ɿ	52	
意	Ǿ	i	52	
几	ts	ɿ	52	
气	tsh	ɿ	52	
希	s	ɿ	52	
衣	Ǿ	i	52	
随	z	ei	13	
吹	tsh	ø	44	
垂	z	ei	13	
规	k	uei	52	
亏	kh	uei	44	
跪	ɡ	uei	13	
危	Ǿ	uei	13	
类	l	ei	13	
醉	ts	ei	52	
追	ts	ei	44	
锤	z	ei	13	
水	ts	ei	35	
水	ɕ	y	52	~门汀
龟	k	uei	52	
季	ts	ɿ	52	
柜	ɡ	uei	13	又
柜	dʑ	y	13	又
位	Ǿ	uei	13	
飞	p	ø	44	~船
飞	f	i	52	岳~
费	f	i	52	
肥	b	ei	13	白读
肥	v	i	13	文读
尾	m	ø	44	又
尾	m	i	13	又
味	m	i	52	白读
味	v	i	13	文读
鬼	k	uei	35	
贵	k	uei	52	
围	Ǿ	y	13	~巾
围	Ǿ	uei	13	包~
胃	Ǿ	uei	13	
宝	p	ɔ	52	
抱	b	ɔ	13	
毛	m	ɔ	13	
帽	m	ɔ	13	
刀	t	ɔ	44	
讨	th	ɔ	35	
桃	d	ɔ	13	
道	d	ɔ	13	
脑	n	ɔ	13	
老	l	ɔ	13	
早	ts	a	35	
灶	ts	ɔ	52	
草	tsh	ɔ	35	
糙	tsh	ɔ	52	
造	z	ɔ	13	
嫂	s	ɔ	52	
高	k	ɔ	52	书面语
靠	kh	ɔ	52	
熬	ŋ	ɔ	13	
好	h	ɔ	35	
号	h	ɔ	52	
包	p	ɔ	44	
饱	p	a	35	
炮	ph	ɔ	52	
猫	m	ɛ	13	
闹	n	ɔ	13	
罩	ts	ɔ	52	
抓	ts	a	52	
找	ts	ɔ	35	
抄	tsh	ɔ	44	
交	k	ɔ	44	~上去
交	tɕ	iɔ	52	公~车
敲	kh	ɔ	52	
孝	ɕ	iɔ	52	
校	Ǿ	iɔ	13	
表	p	iɔ	44	
票	ph	iɔ	52	
庙	m	iɔ	13	
焦	tɕ	iɔ	52	
小	ɕ	iɔ	52	
笑	th	iɔ	52	
朝	dʑ	iɔ	13	
照	tɕ	iɔ	52	
烧	ɕ	iɔ	44	
绕	ȵ	iɔ	13	
桥	dʑ	yo	13	又
桥	dʑ	iɔ	13	又
轿	dʑ	iɔ	13	
腰	Ǿ	iɔ	44	
要	Ǿ	iɔ	52	
摇	Ǿ	iɔ	13	
鸟	ts	øʏ	35	
钓	t	iɔ	52	
条	d	iɔ	13	书面语
料	l	iɔ	13	
箫	ɕ	iɔ	52	
叫	tɕ	iɔ	52	
母	Ǿ	m	13	
抖	t	əu	35	
偷	th	ɔ	44	
头	th	ɔ	13	
豆	d	ɔ	13	
楼	l	ɔ	13	~顶
楼	l	øʏ	13	茶~
走	ts	ɔ	35	
凑	ts	øʏ	52	
钩	k	øʏ	52	
狗	k	øʏ	35	
够	k	ɔ	52	又
够	k	øʏ	52	又
口	kh	øʏ	52	书面语
藕	ŋ	øʏ	13	
后	h	ɔ	13	
厚	ɡ	ɔ	13	
富	f	u	52	
副	f	u	52	
浮	f	øʏ	13	
妇	v	u	13	
流	l	ʏ	13	
酒	tɕ	ʏ	35	
修	ɕ	ʏ	44	
袖	ɕ	ʏ	13	
抽	tɕh	ʏ	44	
绸	d	y	13	紒~
绸	dʑ	y	13	~缎
愁	d	øʏ	13	又
愁	z	øʏ	13	又
瘦	s	ø	44	
州	tɕ	ʏ	52	
臭	tsh	ɔ	52	又
臭	tɕh	ʏ	44	又
手	tɕh	ʏ	35	
寿	ɕ	ʏ	13	
九	k	ɔ	35	
球	dʑ	ʏ	13	
舅	dʑ	ʏ	13	
旧	dʑ	ʏ	13	
牛	ŋ	ʏ	13	
牛	ȵ	ʏ	13	~郎
休	ɕ	ʏ	52	
优	Ǿ	ʏ	52	
有	Ǿ	ʏ	13	
右	Ǿ	ʏ	13	
油	Ǿ	ʏ	13	
丢	t	ʏ	44	
幼	Ǿ	ʏ	52	
贪	th	e	52	
潭	d	ɛ	13	
南	n	ɛ	13	
蚕	z	e	13	
感	k	e	52	
含	ɡ	ɛ	13	
含	h	ɛ	13	
暗	Ǿ	e	52	
搭	t	aʔ	5	
踏	t	aʔ	5	
拉	l	aʔ	5	
杂	dz	aʔ	5	
鸽	k	aʔ	5	
盒	h	aʔ	5	
胆	t	e	44	
毯	th	ɛ	44	
淡	d	ɛ	13	
蓝	l	ɛ	13	
三	s	ɛ	44	
甘	k	ɛ	44	
敢	k	ɛ	44	
喊	h	ɛ	35	书面语
塔	th	aʔ	5	
蜡	l	aʔ	5	
赚	dz	ɛ	13	书面语
杉	s	ɛ	44	
减	k	ɛ	44	
咸	ɡ	ɛ	13	
插	tsh	aʔ	5	
闸	ts	aʔ	5	
夹	k	aʔ	5	
衫	s	ɛ	44	
监	k	ɛ	44	
岩	ŋ	ɛ	13	
甲	tɕ	iaʔ	5	
鸭	Ǿ	aʔ	5	
黏	ȵ	iɛ	52	
尖	tɕ	iɛ	44	
签	tɕh	iɛ	44	
占	tɕ	iɛ	52	
染	ȵ	iɛ	13	
钳	dʑ	iɛ	13	
验	ȵ	iɛ	13	
险	ɕ	iɛ	52	
厌	Ǿ	iɛ	52	
炎	Ǿ	iɛ	13	
盐	Ǿ	iɛ	13	
接	tɕ	iɪʔ	5	
折	tɕ	iɪʔ	5	
叶	ȵ	yoʔ	5	
剑	tɕ	iɛ	52	
欠	tɕh	iɛ	52	
严	ȵ	iɛ	13	
业	ȵ	iɪʔ	5	
点	t	e	35	
店	t	e	52	
添	th	e	35	
甜	t	iɛ	44	
念	n	e	13	
嫌	Ǿ	iɛ	44	
跌	th	iɪʔ	5	
贴	th	iaʔ	5	
碟	d	iaʔ	5	
协	Ǿ	iaʔ	5	
犯	f	ɛ	13	
法	h	uaʔ	5	
品	ph	iŋ	52	
林	l	iŋ	13	
浸	tɕ	iŋ	52	
心	ɕ	iŋ	44	
寻	ɕ	iŋ	13	
沉	dʑ	iŋ	13	
参	s	əŋ	52	
针	ts	e	44	
深	tɕh	iŋ	44	
任	ȵ	iŋ	13	
金	tɕ	iŋ	44	
琴	dʑ	iŋ	13	
音	Ǿ	iŋ	44	
立	l	iɪʔ	5	
集	ɕ	iɪʔ	5	
习	ɕ	iɪʔ	5	
汁	tɕ	iɪʔ	5	
十	z	aʔ	5	
入	ɕ	iɪʔ	5	
急	tɕ	iɪʔ	5	
及	dʑ	iɪʔ	5	
吸	ɕ	iɪʔ	5	
单	t	ɛ	52	
炭	th	ɛ	44	
弹	d	ɛ	13	
难	n	ɛ	13	
兰	l	ɛ	13	
懒	l	ɛ	35	
烂	l	ɛ	13	
伞	s	ɛ	35	
肝	k	ɛ	44	
看	kh	ɛ	52	
岸	ŋ	ɛ	13	
汉	h	ɛ	52	
汗	ɡ	ɛ	13	
安	Ǿ	ɛ	44	
达	d	aʔ	5	
辣	l	aʔ	5	
擦	tsh	aʔ	5	
割	k	aʔ	5	
渴	kh	aʔ	5	书面语
扮	ph	ɛ	44	
办	b	ɛ	13	
铲	tsh	ɛ	44	
山	s	ɛ	44	
产	tsh	ɛ	44	
间	k	ɛ	44	
眼	ŋ	ɛ	13	
限	h	ɛ	13	
八	p	aʔ	5	
扎	ts	aʔ	5	
杀	s	aʔ	5	书面语
班	p	ɛ	44	
板	p	ɛ	35	
慢	m	ɛ	13	
奸	k	ɛ	44	
颜	ŋ	ɛ	13	
瞎	h	aʔ	5	
变	p	iɛ	52	
骗	ph	iɛ	52	
便	b	iɛ	13	
棉	m	iɛ	13	
面	m	iŋ	52	~前
面	m	iɛ	13	~油
连	l	iɛ	13	
剪	tɕ	iɛ	52	
浅	tɕh	iɛ	35	
钱	dʑ	iɛ	13	
鲜	ɕ	iɛ	44	
线	ɕ	iɛ	52	
缠	dʑ	iɛ	13	
战	tɕ	iɛ	52	
扇	ɕ	iɛ	52	
善	ɕ	iɛ	13	
件	dʑ	iɛ	13	书面语
延	Ǿ	iɛ	13	书面语
别	b	iɪʔ	5	
灭	m	iɪʔ	5	
列	l	iɪʔ	5	
撤	tɕ	iɪʔ	5	
舌	ɕ	iɪʔ	2	
设	ɕ	iɪʔ	5	
热	ȵ	iɪʔ	5	
杰	dʑ	iɪʔ	5	
孽	ȵ	iɪʔ	5	
建	tɕ	iɛ	52	
健	dʑ	iɛ	13	
言	Ǿ	iɛ	13	
歇	ɕ	iɪʔ	5	
扁	p	iɛ	35	
片	ph	iɛ	52	
面	m	iɛ	13	
典	t	i	52	
天	th	iɛ	44	
田	dz	ɛ	13	
垫	d	iɛ	13	
年	ȵ	iɛ	13	
莲	l	iɛ	13	
前	ɕ	iɛ	13	
先	ɕ	iɛ	52	
肩	tɕ	iɛ	52	
见	tɕ	iɛ	52	
牵	kh	iɛ	44	
显	ɕ	iɛ	52	
现	Ǿ	iɛ	13	
烟	Ǿ	iɛ	44	
憋	p	iɪʔ	5	
篾	m	iɪʔ	5	
铁	th	iɪʔ	5	
捏	ȵ	iaʔ	5	
节	tɕ	iɪʔ	5	
切	tɕh	iɪʔ	5	
截	dʑ	iɪʔ	5	书面语
结	tɕ	iɪʔ	5	
搬	p	ɛ	44	
半	p	ɛ	52	
判	ph	ɛ	52	
判	ph	ø	52	
盘	b	ɛ	13	村~
盘	b	ø	13	~子
满	m	ɛ	13	又
满	m	ø	13	又
端	t	ø	35	
短	t	ø	35	
断	d	ø	13	
暖	n	ø	13	
乱	l	ø	13	
酸	s	ø	44	
算	s	ø	44	
官	k	uɛ	44	
宽	kh	uɛ	44	
欢	h	uø	52	
完	Ǿ	uø	13	
换	Ǿ	uø	13	
碗	Ǿ	uɛ	35	
碗	Ǿ	uø	35	
拨	p	aʔ	5	
泼	ph	aʔ	5	
末	m	aʔ	5	
脱	th	oʔ	5	
夺	d	aʔ	5	
阔	kh	uaʔ	5	
活	Ǿ	uaʔ	5	
顽	h	uɛ	13	
滑	Ǿ	uaʔ	5	
挖	Ǿ	uaʔ	5	
闩	ɕ	iɛ	44	
关	k	uø	44	
惯	k	uɛ	44	
还	h	ɛ	13	
还	Ǿ	ua	13	
弯	Ǿ	uɛ	44	
刷	s	oʔ	5	
刮	k	uaʔ	5	
全	dʑ	yø	13	
选	ɕ	iɛ	35	
转	tɕ	yø	35	
传	dʑ	yø	13	
传	dʑ	yø	13	
砖	ts	ø	52	
砖	tɕ	yø	52	
船	z	əŋ	13	
软	n	ø	13	
卷	k	uø	35	
卷	tɕ	yø	35	
圈	tɕh	yø	52	
权	dʑ	yø	13	
圆	Ǿ	yø	13	
院	Ǿ	yø	13	
铅	kh	ɛ	52	
绝	dʑ	iɪʔ	5	
雪	s	oʔ	5	
反	h	uɛ	44	
翻	f	ɛ	52	
饭	b	ø	13	
晚	f	ɛ	13	
万	m	ɛ	13	
劝	kh	uø	52	
原	ȵ	yø	13	
冤	Ǿ	yø	52	
园	Ǿ	yø	13	
远	h	uø	13	白读
发	p	aʔ	5	
罚	h	uaʔ	5	
袜	v	aʔ	5	
月	ŋ	oʔ	2	~老
月	Ǿ	yoʔ	2	~食
越	Ǿ	yoʔ	2	
县	ɡ	iɛ	13	~官
县	Ǿ	yø	13	~长
决	tɕ	yoʔ	5	
缺	tɕh	yoʔ	5	
血	h	aʔ	5	
血	ɕ	yoʔ	5	~本
吞	th	ø	44	~落去
吞	th	əŋ	44	~~吐吐
根	k	əŋ	44	书面语
恨	h	ø	13	~伲
恨	h	əŋ	13	
恩	Ǿ	əŋ	52	
贫	b	iŋ	13	
民	m	iŋ	13	
邻	l	iŋ	13	
进	tɕ	iŋ	35	
亲	tɕh	iŋ	44	
新	ɕ	iŋ	44	
镇	tɕ	iŋ	52	
陈	dʑ	iŋ	13	
震	tɕ	iŋ	52	
神	ɕ	iŋ	13	
身	ɕ	iŋ	52	
辰	ɕ	iŋ	13	书面语
人	n	əŋ	13	白读
人	ɕ	iŋ	13	文读
认	ȵ	iŋ	13	
紧	tɕ	iŋ	35	
银	ȵ	iŋ	13	
印	Ǿ	iŋ	52	
引	Ǿ	iŋ	13	
笔	p	iɪʔ	5	
匹	ph	iɪʔ	5	
密	m	iɪʔ	5	
栗	l	iɪʔ	2	
七	tɕh	iɪʔ	5	
侄	t	iɪʔ	5	白读
侄	dʑ	iɪʔ	2	文读
虱	s	oʔ	5	
实	ɕ	iɪʔ	2	
失	ɕ	iɪʔ	5	
日	ȵ	iɪʔ	5	~头
日	ɕ	iɪʔ	2	生~
吉	tɕ	iɪʔ	5	
一	h	aʔ	5	~二三
一	Ǿ	iɪʔ	5	第~
筋	tɕ	iŋ	44	
劲	dʑ	iŋ	13	
勤	dʑ	iŋ	13	
近	dʑ	yuŋ	13	交关~
近	dʑ	iŋ	13	~视眼
隐	Ǿ	iŋ	52	
本	p	ø	44	~人
本	p	əŋ	52	日~
盆	b	ø	13	
门	m	ø	13	
墩	t	əŋ	44	
嫩	n	əŋ	52	
村	tsh	əŋ	44	
寸	tsh	ø	52	白读
寸	tsh	əŋ	52	文读
孙	s	ø	44	
孙	s	əŋ	52	
滚	k	uəŋ	35	
困	kh	uəŋ	52	
婚	h	uəŋ	52	
魂	Ǿ	uəŋ	13	
温	Ǿ	uəŋ	52	
卒	ts	ø	52	
骨	k	oʔ	5	
轮	l	əŋ	13	
俊	tɕ	iŋ	52	
笋	ɕ	iŋ	35	
准	tɕ	yuŋ	35	
春	tsh	əŋ	44	
春	tɕh	yuŋ	52	
唇	ɕ	iŋ	13	
顺	ɕ	iŋ	13	
纯	ɕ	iŋ	13	
纯	dz	əŋ	13	
闰	ɕ	iŋ	13	
均	tɕ	yuŋ	52	
匀	Ǿ	yuŋ	13	
律	l	iɪʔ	5	
出	tsh	oʔ	5	
橘	tɕ	yoʔ	5	
分	p	ø	44	
粉	h	uəŋ	35	
粪	p	əŋ	52	~缸
粪	f	əŋ	52	
坟	h	uəŋ	13	
蚊	m	əŋ	13	
蚊	v	əŋ	13	
问	m	ø	52	~道
问	v	əŋ	13	~题
军	tɕ	yuŋ	52	
裙	ɡ	uəŋ	13	白读
裙	dʑ	yuŋ	13	文读
熏	ɕ	yuŋ	44	
云	h	uəŋ	13	白读
云	Ǿ	yuŋ	13	文读
运	Ǿ	yuŋ	13	
佛	f	oʔ	2	
佛	f	aʔ	2	
物	f	aʔ	2	
帮	p	ɔ ̃	44	
忙	m	ɔ ̃	13	
党	t	ɔ ̃	44	
汤	th	ɔ ̃	44	
糖	d	ɔ ̃	13	
浪	l	ɔ ̃	13	
仓	tsh	ɔ ̃	52	
钢	k	ɔ ̃	52	
糠	kh	ɔ ̃	44	
薄	p	ø	44	
薄	b	oʔ	2	
摸	m	oʔ	5	
托	th	oʔ	5	
落	l	o	44	
作	ts	oʔ	5	
索	s	oʔ	5	
各	k	oʔ	5	
鹤	ŋ	oʔ	5	
恶	Ǿ	oʔ	5	
娘	ȵ	ia ̃	13	
两	l	iɔ ̃	13	
亮	l	iɔ ̃	13	~亮
亮	l	ia ̃	13	~相
浆	tɕ	ia ̃	52	
抢	tɕh	iɔ ̃	35	
匠	tɕh	iɔ ̃	44	
匠	ɕ	ia ̃	13	
想	ɕ	ia ̃	52	
像	ɕ	ia ̃	13	
张	tɕh	yɔ ̃	52	一~桌凳
长	d	ɔ ̃	13	
长	dʑ	ia ̃	13	
装	ts	ɔ ̃	52	
壮	ts	ɔ ̃	52	书面语
疮	tsh	ɔ ̃	44	
床	z	ɔ ̃	13	
霜	s	ɔ ̃	44	
章	ts	ɔ ̃	52	
厂	tɕh	yɔ ̃	35	
唱	tsh	ɔ ̃	52	
伤	ɕ	yɔ ̃	44	白读
伤	s	ɔŋ	52	
尝	z	ɔ ̃	13	
上	z	ɔ ̃	13	
让	ȵ	iɔ ̃	52	又
让	ȵ	ia ̃	13	又
姜	tɕ	ia ̃	52	
响	ɕ	iɔ ̃	35	又
响	ɕ	ia ̃	52	又
向	ɕ	ia ̃	52	
秧	Ǿ	ia ̃	52	
痒	ɕ	iɔ ̃	13	又
痒	Ǿ	ia ̃	13	又
样	Ǿ	iɔ ̃	13	又
样	Ǿ	ia ̃	13	又
雀	tɕ	ia ̃	52	麻~
雀	tɕh	iaʔ	5	百~羚
削	ɕ	iaʔ	5	
着	dʑ	iaʔ	2	
勺	z	oʔ	2	
弱	ɕ	iaʔ	2	
约	Ǿ	iaʔ	5	
药	Ǿ	iɔ	44	中~
药	Ǿ	iaʔ	5	山~
光	k	uɔ ̃	44	
慌	h	uɔ ̃	44	
黄	Ǿ	uɔ ̃	13	
郭	k	oʔ	5	
霍	h	oʔ	5	
方	h	uɔ ̃	44	
方	f	ɔ ̃	52	
放	p	əŋ	52	
放	f	ɔ ̃	52	
纺	f	ɔ ̃	52	
房	p	əŋ	52	~间
房	f	ɔ ̃	13	
防	b	ɔ ̃	13	
网	m	ɔ ̃	35	
筐	kh	uɔ ̃	52	
狂	Ǿ	uɔ ̃	13	
王	Ǿ	uɔ ̃	13	
旺	Ǿ	uɔ ̃	13	
缚	b	u	13	
绑	p	ɔ ̃	35	
胖	ph	ɔ ̃	52	
棒	b	ɔ ̃	13	
桩	ts	ɔ ̃	52	
撞	dʑ	yɔ ̃	13	
窗	th	uŋ	52	~门
窗	tɕh	yɔ ̃	52	
双	ɕ	yɔ ̃	52	
江	k	ɔ ̃	44	
讲	k	ɔ ̃	35	
降	h	ɔ ̃	13	
项	h	ɔ ̃	13	
剥	p	oʔ	5	
桌	t	ø	52	~凳
桌	tɕ	yoʔ	5	
镯	dʑ	yoʔ	2	
角	k	aʔ	5	一~钞票
角	k	oʔ	5	~落头
壳	kh	aʔ	5	
壳	kh	oʔ	5	
学	Ǿ	oʔ	5	~堂
握	Ǿ	oʔ	5	~手
朋	b	a ̃	13	
灯	t	əŋ	44	
等	t	iŋ	35	又
等	t	əŋ	35	又
凳	t	əŋ	44	
藤	d	iŋ	13	又
藤	d	əŋ	13	又
能	n	əŋ	13	
层	z	əŋ	13	
僧	s	əŋ	52	
肯	kh	əŋ	35	
北	p	aʔ	5	
墨	m	aʔ	5	
得	t	aʔ	5	
特	d	aʔ	2	
贼	dz	aʔ	5	
塞	s	aʔ	5	
刻	kh	aʔ	5	
黑	h	aʔ	5	
冰	p	iŋ	52	
证	tɕ	iŋ	52	
秤	tɕh	iŋ	52	
绳	ɕ	iŋ	13	
剩	dʑ	iŋ	13	
升	ɕ	iŋ	52	
兴	ɕ	iŋ	52	
蝇	Ǿ	iŋ	52	苍~
逼	p	iɪʔ	5	
力	l	iɪʔ	2	
息	ɕ	iɪʔ	5	
直	t	iɪʔ	5	
侧	ts	aʔ	5	
测	tsh	aʔ	5	
色	s	aʔ	5	
织	tɕ	iɪʔ	5	
食	ɕ	iaʔ	5	~饭
食	ɕ	iɪʔ	2	粮~
式	ɕ	iɪʔ	5	
极	dʑ	iɪʔ	5	
国	k	oʔ	5	
或	h	oʔ	5	
猛	m	a ̃	13	
打	t	a ̃	52	
冷	l	a ̃	13	
生	s	a ̃	52	~命
生	s	əŋ	52	~产
省	s	a ̃	52	
更	k	a ̃	52	
梗	k	ua ̃	52	
坑	kh	a ̃	52	
硬	ŋ	a ̃	13	
行	Ǿ	iŋ	13	
百	p	aʔ	5	
拍	ph	aʔ	5	
白	p	a	44	
拆	th	iaʔ	5	~厝
拆	tsh	aʔ	5	看相~字
择	z	aʔ	5	
窄	ts	a	52	书面语
格	k	aʔ	5	
客	kh	aʔ	5	
额	ŋ	aʔ	5	
棚	b	a ̃	13	
争	ts	a ̃	52	~气
争	ts	əŋ	52	战~
耕	k	a ̃	52	又
耕	k	əŋ	52	又
麦	m	a	13	
摘	t	iaʔ	5	白读
摘	ts	aʔ	5	文读
策	tsh	aʔ	5	
隔	k	aʔ	5	
兵	p	iŋ	52	
柄	p	a ̃	52	白读
柄	p	iŋ	52	文读
平	b	a ̃	13	白读
平	b	iŋ	13	文读
病	b	a ̃	13	白读
病	b	iŋ	13	文读
明	m	a ̃	13	白读
明	m	iŋ	13	文读
命	m	ia ̃	13	白读
命	m	iŋ	13	文读
镜	tɕ	ia ̃	52	白读
镜	ʨ	iŋ	52	文读
庆	tɕh	iŋ	52	文读
迎	ȵ	iŋ	13	
影	Ǿ	iŋ	52	
剧	dʑ	iɪʔ	2	
饼	p	ia ̃	35	白读
饼	p	iŋ	35	文读
名	m	ia ̃	13	白读
名	m	iŋ	13	文读
领	l	ia ̃	13	白读
领	l	iŋ	13	文读
井	ts	a ̃	35	白读
井	tɕ	iŋ	35	文读
清	tɕh	iŋ	52	
静	ɕ	iŋ	13	
姓	s	a ̃	35	白读
姓	ɕ	iŋ	52	文读
贞	tɕ	iŋ	52	
程	dʑ	iŋ	13	
整	tɕ	iŋ	52	
正	tɕ	ia ̃	52	白读
正	tɕ	iŋ	52	文读
声	ɕ	ia ̃	44	白读
声	ɕ	iŋ	52	文读
城	ɕ	ia ̃	13	白读
城	dʑ	iŋ	13	文读
轻	tɕh	iŋ	52	
赢	Ǿ	ia ̃	13	
赢	Ǿ	iŋ	13	
积	tɕ	iɪʔ	5	
惜	ɕ	iɪʔ	5	
席	ɕ	iɪʔ	2	
尺	tɕh	yo	52	
尺	tsh	aʔ	5	
石	z	aʔ	2	
益	Ǿ	iɪʔ	5	
瓶	b	iŋ	13	书面语
钉	t	iŋ	44	
顶	t	iŋ	52	
厅	th	iŋ	35	
听	th	ia ̃	44	
听	th	iŋ	35	
停	d	iŋ	13	
