#ɿ	
tsɿ1	之支芝枝1知1肢脂蜘豬咨滋貲資1指2{指甲}至3{夏至}制2{制服}子3嘴3
pu3	補佈{量詞}譜1{家譜}
pu5	播布
pʰu1	鋪1
pʰu3	頗鋪3普譜2{家譜}
pʰu5	破鋪2浦鋪4{被褥鋪蓋}
bu2	婆菩葡蒲
bu4	部2簿1{號簿}
bu6	捕步部1{六部}埠簿2{上簿子enrol}
fu1	夫麩膚咐2{吩咐}
fu3	甫斧府俯腑撫
fu5	付咐1{吩咐}副傅富賦負3{忘恩負義}
vu2	扶符無2附3{魂勿附體}婦3{新婦}巫武2{武彝茶}
vu4	腐1{腐壞}父1{父母}附2{附耳朵}婦1{婦女}武1舞
vu6	腐2{荳腐}父2{父老}附1{附近}負2{欺負}婦2{新婦}務霧
mu2	蔴2模摩2磨1魔2母1{姨母}
mu4	母2{母親}拇
mu6	磨3募墓1幕慕暮
tu1	都多2{多少}哆肚4{直心直肚腸}朵2{耳朵套}垜2{橫垜裏}
tu3	睹賭肚3{橫肚裏}朵1{耳朵}躱垜1{橫垜裏}
tu5	妒
tʰu1	拖拕
tʰu3	土妥堵{一堵墻}
tʰu5	吐兎唾
du2	徒途屠塗圖陀砣跎大2{膽大}度5{國度}
du4	肚1{肚腸}舵1
du6	大1{膽大}肚2{肚皮}度4{國度}渡鍍舵2惰駝
nu2	奴懦
nu4	娜
nu6	怒
lu2	盧蘆爐螺羅騾玀1籮鑼囉
lu4	鹵魯1{粗魯}擄磠櫓玀2
lu6	魯2{魯班尺}賂路露裸濾
tsu1	租1
tsu3	阻1祖詛1左1做2主3{財主人家}
tsu5	阻2詛2左2做1租2
tsʰu1	初粗矬{矮矬矬}
tsʰu3	楚
tsʰu5	醋銼錯2處3
dzu4	助2
dzu6	助3座2
su1	梳2疎穌蘇唆1娑梭睃鬚2{老白鬚}
su3	所1{所在}瑣鎖唆2{挑唆}
su5	數素訴塑蔬唆3{做唆}
zu4	助1坐1
zu6	坐2座1
ku1	哥歌𪃿{鸚𪃿}孤姑1{姑媽}菇辜箍篐鴣個5{種田個事體}
ku3	估古1{古今}股1詁鼓蠱固2{堅固}果姑2{姑姑}
ku5	個1{一个一个}古2{古時間}股2{量詞}固1{堅固}故雇僱顧裹過1戈2{干戈}踝
kʰu1	科1{外科醫生}枯1骷棵{原作“科”}戈1{干戈}
kʰu3	顆苦1{苦惱}
kʰu5	課苦2{苦難}庫褲科2{內科醫生}枯2{枯槁}
ŋu2	訛蛾鵝吾梧
ŋu4	我
ŋu6	餓互臥悞1{躭悞}寤
hu1	呼1{呼兄喊弟}
hu3	虎琥火伙夥
hu5	貨呼2{稱呼}
ɦu2	何和1{和尙}河荷乎1狐胡壺葫湖瑚楜蝴糊餬鬍吳2無3戶2{戶堂}窩污2烏2{烏鴉}午4{中午線}
ɦu4	五2午2伍
ɦu6	賀戶1{鋪戶}護禍惡4{可惡}和2{調和}
u1	污1烏1乎2蜈
u5	惡3{可惡}煮悞2{躭悞；原作û韻}
#y	
ly2	驢
ly4	旅屢1{屢次}
ly6	屢2{屢次}履慮
tsy3	主2
tsʰy3	取2娶2
tsʰy5	處2{空處}趣
dzy2	聚3{聚攏來}
dzy4	緒3
dzy6	聚2{聚集}
sy1	須2{須要}所4{啥所}
zy4	豎2緒1{衍緒草堂筆記}
cy1	龜歸1拘居
cy3	鬼1矩舉
cy5	貴1句據鋸歸3
cʰy1	虧1{吃虧}驅1樞1{樞紐}
cʰy5	去2
ɟy2	具2{器具}
ɟy6	跪1拒具1{才具}鉅颶懼
ɲy2	愚女2
ɲy4	女1蕊語1寓
ɲy6	語2遇
tɕy3	鬼2
tɕʰy1	驅2樞2{樞紐}
dʑy6	序2
ɕy1	虛
ɕy3	許5{應許}詡
ɕy5	許6{應許}
ɦy2	餘1於2預4
ɦy4	雨1
ɦy6	緯1{原作“芋”}預1
y1	紆於1于楡餘2踰預2
y3	羽雨2與1愈癒
y5	椅2芋1與2喩預3蕷諭
#ʮ	
tsʮ1	疽朱珠硃蛛諸煮2炷
tsʮ3	主1煮1注1
tsʮ5	注2蛀註鑄
tsʰʮ1	趨
tsʰʮ3	杵取1
tsʰʮ5	處1{好處}翠娶1
dzʮ2	除廚
dzʮ6	聚1{聚集}助4住柱1
sʮ1	書舒1輸須1{須張}鬚1{剃鬚}庶2
sʮ3	暑鼠1舒2{舒身}所3{所在}
sʮ5	恕庶1
zʮ2	櫥如儒徐2{舒徐}樹2{樹木}
zʮ4	乳豎1坐3{坐江山}
zʮ6	豎3樹1序1{次序}緒2柱2座3
#ɑ	
pɑ3	擺
pɑ5	拜1{禮拜}
pʰɑ1	派2{派出來}
pʰɑ5	派1{派出來}
bɑ2	排牌敗2{敗子，表示“敗家子”}稗
bɑ4	罷1{勿罷拉，表示“不止”}
bɑ6	罷2{罷勿得}敗1{打敗}
vɑ2	哇
vɑ4	否
mɑ1	媽1{媽媽}
mɑ2	埋
mɑ3	媽2{阿媽}
mɑ4	買
mɑ6	賣
tɑ1	多1{多囘}
tɑ3	打3
tɑ5	帶戴1
tʰɑ5	太1{太平}
dɑ2	大4{高大無比}
dɑ6	大3{大黃}
nɑ2	乃1那4㑚2
nɑ4	哪那1奶乳
nɑ6	那2㑚1
lɑ1	拉
lɑ2	垃1拉2
lɑ4	拉1
lɑ6	賴1{倚賴}癩
tsɑ1	齋𨐃
tsɑ5	債
tsʰɑ1	差1{差人}扯
tsʰɑ5	詫
sɑ1	𨅓1{𨅓跎，表示“累”}啥3
sɑ3	洒啥2耍
sɑ5	啥1𨅓2
zɑ2	柴1{稻柴}豺1{豺狼虎豹}
zɑ4	惹
zɑ6	瀉
kɑ1	加枷家1{自家}袈傢嘉階街架2界2{世界}
kɑ3	假1解1價3{價値}
kɑ5	假2架1{告假}嫁價1{價錢}駕介{程度副詞}戒芥界1{世界}誡
kʰɑ1	揩
kʰɑ5	卡快1{快活}
gɑ2	茄
gɑ6	骱
hɑ3	蟹
ŋɑ2	牙芽衙外2{外婆}
ŋɑ6	外1{外公}
ɦɑ2	那2{那裏}鞋鴉2{鴉片}
ɦɑ4	那1{那裏}也1矮2
ɑ1	阿1{阿哥}挨鴉1{鴉片}呀{是呀，語氣詞}
ɑ3	矮1{矮子}那3{那裏}也4
#iɑ	
tiɑ1	爹
tsiɑ3	姐
tsiɑ5	借
tsʰiɑ1	且3{況且}
tsʰiɑ3	且1{而且}
siɑ3	寫
siɑ5	卸1{卸船}瀉1{瀉藥}
ziɑ2	邪1斜1{歪斜}卸3{卸脫}
ziɑ6	謝斜2{歪斜}卸2{卸貨}瀉2{吐瀉}
ciɑ1	家2{國家}皆
ciɑ3	假3{假如}解2
ciɑ5	價2{無價之寶}
ɟiɑ2	佳
ɕiɑ1	𨰵
ɦiɑ2	爺1佯2{假佯頭}野3
ɦiɑ4	下4{下落}夏3{無冬無夏}野1爺2
ɦiɑ6	夜{本爲陽調}
iɑ1	鴉4耶喲1爺3
iɑ3	雅亞夏5野2鴈{鴈鵝}
#uɑ	
kuɑ1	乖1怪{擬聲詞，結怪結怪}拐3{釋義爲“kidnap”}
kuɑ3	拐1{拐子}
kuɑ5	拐2{拐子}怪
kʰuɑ1	快4{快點}
kʰuɑ5	快2{爽快}
huɑ1	歪
ɦuɑ6	壞1{弄壞}
uɑ5	壞2{燒壞}
#e	
pe1	杯卑1{卑賤}悲碑彼1{彼此}背3{背脊骨}
pe3	彼2{彼此}
pe5	拜2貝背2{背脊骨}輩卑2{卑賤}
pʰe3	呸
pʰe5	配
be2	陪1培賠備2{預備}
be6	背1{違背}倍悖被2{被告}備1{責備}陪2{陪送}
me2	眉梅1{楊梅}媒楣煤霉1{發霉}每2薇
me4	每1美
me6	瑁妹1{妹妹}昧袂1{衣袂飄飄}媚梅2{楊梅瘡}霉2{霉爛}
te1	堆
te3	歹騃
te5	玳戴2{不共戴天}對2{勿對}
ɗe5	對1{對面}
tʰẽ	探3
tʰe1	呔胎台2推1退2
tʰe3	腿
tʰe5	太2{太陽}泰退1推2
de2	台1{道台}苔擡代2{代替}
de4	待1{待別人好}怠1{怠慢}
de6	代1{代替}待2{待人接物}怠2{懈怠}袋兌隊
ne2	乃2
ne4	奈2{無奈何}你2
ne6	奈1{嘸奈何}耐內
le2	來1{出來}雷累1{累積}淚3{流淚}類2{類書}
le4	來2{舉起來}
le6	賴2{依賴}壘累2{連累}淚2{搨淚}類1
tse1	災哉栽
tse3	載1{裝載}者1
tse5	宰載2{失載}再者2
tsʰe1	猜
tsʰe3	採彩
tsʰe5	菜
dze2	才2{口才}材2{材料}財2{財主}裁柴2{柴門}豺2{豺狼虎豹}
dze4	在2{現在}財3{發大財}
dze6	在4{實在}
se1	篩1奢衰
se5	賽赦2碎1
ze2	才1{秀才}材1{棺材}財1{錢財}在5{實在}
ze4	在1{現在}罪1{罪過}
ze6	社射6{射光個，原文釋義爲“radiant”}在3{實在}罪2{罪過}
ke1	該蓋2{拾蓋，表示“這樣”}改2{更改}槪2{大槪}
ke3	改1{改正}
ke5	丐蓋{蓋地皮}蓋1{什蓋能，“這樣”}槪1{大槪}𡀽3
kʰe1	開
kʰe5	凱
he1	哈
he3	海許4
he5	化2{一氣勒化altogether}害2
ŋe2	呆崖
ŋe6	礙
ɦe6	亥害1{利害}
e1	哀埃噯語氣詞愛2{愛惜}
e5	愛1{愛慕}
#ie	
ie3	也3{語氣詞}
ie5	懈{懈怠}
tsʰie3	且2{並且}
zie2	邪2
ɦie4	也2 語氣詞
#iæ	
ɕiæ1	駭
#ue	
kue1	乖2圭規閨歸2桂2{桂花}貴3{貴庚}冠2{衣冠楚楚}
kue3	鬼3晷1詭1{詭計}
kue5	軌晷2詭2{詭計}桂1{桂花}貴2{貴庚}櫃愧匱乖3{乖戾}
kʰue1	劊盔1{盔甲}窺虧2{虧空}揆塊2{第塊}
kʰue5	快3塊1{冰塊}
gue2	葵
gue4	跪2詭4{詭譎}
gue6	饋
hue1	灰揮暉詼煇輝
hue3	毀1{毀謗}卉賄
hue5	悔毀2{毀謗}晦誨諱
ŋue2	危1{危險}
ŋue6	僞
ɦue2	回1茴1{茴香}危2{危險}桅圍1爲1違1會2威3{虎威}
ɦue4	圍2
ɦue5	謂
ɦue6	惠1{恩惠}匯會1彙慧1{智慧}薈繪爲2緯2位1衛1慰1衞1回2圍3違2畏2
ue1	威1{威風}煨茴2{細茴香}委2緯3胃1喂衛2衞2
ue3	委1諉
ue5	穢偉畏1餧惠2{恩惠}會3{機會}慧2{智慧}外3{心往象外}危3{危險}威2{威風}緯4位2胃2慰2
#ye	
sye1	雖2
#ʮe	
tsʮe1	追1
tsʮe5	最醉1
tsʰʮe1	催摧萃
tsʰʮe5	脆1{brittle}翠
dzʮe2	垂1{垂線}鎚隨2{ED037}
dzʮe4	罪4{犯罪}
dzʮe6	墜罪6{定罪}垂2{垂線}
sʮe1	荽雖1{雖然}綏所5{啥所}隨3
sʮe3	水3
sʮe5	稅祟碎2歲雖3{雖然}
zʮe2	隨1罪7
zʮe4	罪3
zʮe6	悴睿遂
#ʮi	
tsʮi1	追2{追勿上}
dzʮi4	罪5
sʮi3	水4{金木水火土}
#ɤ	
pʰɤ5	剖
vɤ2	浮
vɤ6	負1{辜負}
mɤ2	謀畝某2
mɤ4	某1
mɤ6	茂貿
tɤ1	兜
tɤ3	抖斗鬥3{相鬥}
tɤ5	鬥2{相鬥}
ɗɤ5	鬥1
tʰɤ1	偸1
tʰɤ5	透偸2
dɤ2	投頭荳2{荳油}
dɤ6	荳1{荳腐}逗痘
lɤ2	樓髏漏2{漏脫}
lɤ4	陋1{鄙陋}
lɤ6	陋2{鄙陋}漏1
tsɤ1	惆{苦惆惆}州周1洲週賙走2
tsɤ3	肘箒咒1走1周2
tsɤ5	咒2晝皺縐奏
tsʰɤ1	抽
tsʰɤ3	丑
tsʰɤ5	臭1{臭蟲}
dzɤ2	酬稠愁綢讎2{報讎}妯
dzɤ6	讎3{報讎}
sɤ1	收
sɤ3	手守首瘦2獸擻
sɤ5	瘦1嗽
zɤ2	讎1{前世無讐今世無冤}柔蹂
zɤ4	受1壽1
zɤ6	受2壽2
kɤ1	勾鈎溝
kɤ3	狗彀2{巴勿能彀}
kɤ5	個2{一个一个}垢彀1{勿彀}
kʰɤ1	摳口2{口氣}
kʰɤ3	口1{口才}
kʰɤ5	叩扣寇蔻
hɤ1	哮1{哮病，原文釋義爲“asthma”}
hɤ5	鱟{表示“彩虹”}化3{一氣勒化altogether}
ŋɤ2	偶2{偶然}
ŋɤ4	偶1{偶然}
ɦɤ2	侯喉1{喉嚨}猴後3{退後}
ɦɤ4	后1{王后}厚1後1嘔
ɦɤ6	瘊后2{皇太后}厚2{厚實}後2{以後}候喉2{咽喉}
ɤ1	歐
#iɤ	
miɤ2	謬
tiɤ1	丢
liɤ2	留流琉硫榴瘤柳2{柳條布}
liɤ4	柳1{柳條}簍
liɤ6	溜
tsiɤ3	酒
tsʰiɤ1	揪秋
tsʰiɤ5	臭2{臭名聲}
dziɤ2	囚
dziɤ6	就1袖2
siɤ1	修脩羞宿3銹繡2{洋繡球}
siɤ3	宿2{二十八宿}小3{養育小囝}
siɤ5	秀繡1
ziɤ2	袖3{袖珍}柚2{柚皮}
ziɤ6	就2袖1
ciɤ1	鳩鬮
ciɤ3	九久韮
ciɤ5	究救
cʰiɤ1	孬
ɟiɤ2	仇{報仇}求球毬
ɟiɤ4	桕舊1
ɟiɤ6	臼舅舊2
ɲiɤ2	牛
ɲiɤ4	杻扭紐鈕
ɕiɤ1	休
ɕiɤ3	朽
ɦiɤ2	悠由油1猶1
ɦiɤ4	友1有1右1
ɦiɤ6	友2又2右2佑誘1{引誘}油2
iɤ1	鰌幽憂猶2遊柚1{柚子}
iɤ3	黝友3有2酉右3誘3{誘惑}
iɤ5	誘2{引誘}有3
#ɔ	
pɔ1	包1{一包花}胞褒爆1
pɔ3	保飽寶包2{包庇}
pɔ5	豹報跑3暴2{暴風}
pʰɔ1	抛泡1{膿泡}
pʰɔ5	炰泡2炮雹
bɔ2	咆袍跑1抱3{抱怨}
bɔ4	抱1{抱進抱出}跑2
bɔ6	抱2{抱住}暴1{暴風}鑤刨跑4
mɔ1	麼3
mɔ2	猫2毛茅錨帽2{帽子}
mɔ4	卯
mɔ6	悁冒帽1{帽子}貌牡猫3
tɔ1	刀到2{到裏向}
tɔ3	島禱倒
tɔ5	到1
tʰɔ1	叨幍鞱討2{討厭}
tʰɔ3	討1
tʰɔ5	套
dɔ2	逃桃萄淘擣2稻3{稻柴}
dɔ4	導道1{道理}稻1擣1{擣米}
dɔ6	蹈道2{味道}盜稻2
nɔ1	拿1{拿來}
nɔ2	鐃
nɔ4	撓惱1{煩惱}瑙腦鬧2{鬧嚷嚷}嘵
nɔ6	惱2{煩惱}鬧1
lɔ2	牢1哰勞老2{老兄}咾1潦2{潦潦草草}蘿
lɔ4	牢2{牢頭}老1咾2
lɔ6	憦
tsɔ1	朝1{今朝}搔遭糟蹧招騷2{騷擾}詔2照2
tsɔ3	早棗找抓
tsɔ5	澡竈詔1照1罩
tsʰɔ1	操抄超吵2{吵鬧}
tsʰɔ3	草1吵1{吵鬧}炒造{造到until}
tsʰɔ5	草2{潦潦草草}鈔
dzɔ2	朝3{朝代}潮
dzɔ4	造3
dzɔ6	兆1
sɔ1	騷1{騷擾}梢燒1嫂3
sɔ3	掃嫂1少燒2
sɔ5	嫂2燥
zɔ2	漕槽朝2{周朝}嬈{妖妖嬈嬈}召繞
zɔ4	擾造1
zɔ6	皂造2兆2
kɔ1	高羔膏篙糕槁膠1{樹膠}絞2叫3
kɔ3	稿絞1{絞線}攪1{攪動}
kɔ5	告叫1酵1{發酵}覺1{睏覺}焅1{焅點心，釋義爲“pastry {cake}”}敎2{敎書}攪3{攪動}
kʰɔ1	拷敲
kʰɔ3	考栲烤靠2{靠勿着}可1{可以}
kʰɔ5	靠1{靠近}焅2{釋義爲“roast”}
hɔ1	好2{相好}
hɔ3	好1許1{幾許}
hɔ5	耗許2{幾許}化1{塲化，另作“好”}
ŋɔ2	熬
ŋɔ4	咬1
ŋɔ6	傲咬2
ɦɔ2	毫豪壕濠
ɦɔ4	號1{號筒trumpet}下1{天下}夏1{夏至}
ɦɔ6	號2{號單}下2{天下}夏2{夏至}
ɔ1	嗄語氣詞凹丫1{丫頭}椏鴉3拗3{拗强}
ɔ3	襖拗2{拗強}懊啞1夏4{夏天}
ɔ5	㕭語氣詞拗1{拗強}奧丫2{丫頭}
#iɔ	
piɔ1	標鏢
piɔ3	表裱
pʰiɔ1	飄漂1
pʰiɔ3	票1
pʰiɔ5	票2漂2
biɔ2	瓢
biɔ4	嫖
miɔ2	苗描
miɔ4	藐
miɔ6	秒妙廟
tiɔ1	刁凋貂雕
tiɔ3	吊2{吊桶}鳥1
tiɔ5	吊1{吊死}釣
tʰiɔ1	挑
tʰiɔ5	跳
diɔ2	調1{調料}條
diɔ6	掉調2{釋義爲“tune”}
liɔ2	潦1鐐
liɔ4	了
liɔ6	料
tsiɔ1	椒焦蕉
tsiɔ3	剿1
tsiɔ5	剿2醮
tsʰiɔ3	悄
dziɔ2	瞧
siɔ1	消硝銷1簫小2{小心}
siɔ3	小1
siɔ5	鞘笑消2
ziɔ2	巢1{窩巢}憔
ziɔ4	巢2{鳥巢}
ziɔ6	誚
ciɔ1	交郊膠2{樹膠}澆驕磽皎絞3
ciɔ3	攪2{攪動；另有作“擱”}較
ciɔ5	敎1{教訓}敎{慢慢敎}叫2酵2{發酵}校攪4{攪動}
cʰiɔ3	巧1
cʰiɔ5	竅
ɟiɔ2	橋1
ɟiɔ6	轎橋2
çiɔ3	曉1
çiɔ5	孝1
ɲiɔ2	饒1{饒赦}
ɲiɔ3	鳥2
ɲiɔ4	裊嬝饒2{饒赦}
tɕʰiɔ3	巧2
ɕiɔ1	囂哮2{咆哮}
ɕiɔ3	曉2
ɕiɔ5	孝2
ɦiɔ2	堯搖1謠舀1
ɦiɔ6	效1
iɔ1	妖殀腰搖2遙窰颻1颻2要2{總要用心}
iɔ3	舀2
iɔ5	要1效2
#o	
po1	巴1{巴勿得}芭笆杷2{尾杷}把2{第把雨傘}
po3	把1{量詞}靶弝巴2{巴總，釋義爲“sergeant”}
po5	霸
pʰo1	怕3{怕來死}
pʰo3	怕2{可怕個}
pʰo5	帕怕1
bo2	耙杷1爬琶巴3{下巴}
bo4	罷3
mo1	媽3{姑媽}麼1
mo2	麻痳蔴1摩1磨2魔1
mo3	麼2{疑問語氣詞}
mo4	馬瑪碼
mo6	罵
to1	朵3{耳朵}
no1	拿2{拿去}
no2	挪
tso1	渣遮蔗2
tso5	詐醡蔗1酢
tsʰo1	叉差2{差勿多}車搓錯1{錯過}
dzo2	茶查蛇2
dzo6	乍
so1	沙砂紗痧裟賒晒
so3	捨1所2{所以}
so5	舍捨2赦1十1{十五}
zo2	蛇1
zo4	喏1
zo6	喏2射7{日頭射個光}麝
ko5	個3{諂媚別人個人}過2{消悶過日}
kʰo1	可3{勿可相信}
kʰo3	可2{可以}
ho5	許3{幾許}化2{造化}
ŋo4	瓦
ɦo4	下3
o3	啞2
#uo	
kuo1	瓜寡卦2{占卦}
kuo5	卦1{占卦}掛
kʰuo1	誇跨
huo1	花1華1{龍華塔}化3{造化主}
huo5	化1{造化}花2{花花世界}
ɦuo2	華2{榮華}畫2{畫畫}話3{話勿得}
ɦuo6	畫1話1
uo1	划華3{榮華}
uo5	話2{白話}
#iu	
ɕiu1	靴
#æ̃	
pæ̃1	扳班1{班次}斑頒1{頒行於世}板{推板，表示“相差”}
pæ̃3	板1{印板}板{副詞，表示“一定”}版
pæ̃5	扮絆班2{魯班尺}頒2{頒行天下}半3{南半爿}辦3{有辦頭}
pʰæ̃1	攀
bæ̃2	爿辦2{書辦，釋義爲“writer {for government officers}”}
bæ̃6	辦1{辦法}
fæ̃1	番1{一番道理}藩翻1{翻譯}反2{了反勿得}
fæ̃3	反1{反轉來}翻2{船將要翻脫}
fæ̃5	氾汎販
væ̃2	帆番2{番柿}凡煩燔礬梵飯2
væ̃4	犯1{犯法}
væ̃6	犯2{犯法}飯1範萬2
mæ̃1	蠻{程度副詞}
mæ̃2	槾
mæ̃6	蠻{疑問語氣詞，飯用蠻，表示“吃過飯了嗎”}曼慢萬1
tæ̃1	丹担1{担過來}耽2{耽誤}單癉1{火癉}毯{皮毯}
tæ̃3	膽癉2{癉疽}
tæ̃5	担2{二十担泥}疸2{黃疸}誕
tʰæ̃1	坍攤灘癱
tʰæ̃5	怛炭嘆
dæ̃2	彈1{彈琵琶}痰談壇檀但3{但是}淡3
dæ̃4	但2{但憑儂}淡1{淡薄}
dæ̃6	但1{但是}淡2{淡薄}蛋彈2{鉛彈}
næ̃2	難1{難過}
næ̃6	難2{災難}
læ̃2	婪1{貪婪}藍攔蘭籃欄欖懶2{懶惰}纜2{纜繩}濫2{蹂濫}爛2{爛泥}
læ̃4	懶1{懶惰}纜1{紥纜}
læ̃6	濫1{汎濫}爛1
tsæ̃1	剸讚2盞2
tsæ̃3	斬{兩版n均未斜}盞1
tsæ̃5	讚1
tsʰæ̃1	餐1{聖餐}攙懺
tsʰæ̃3	產㦃鏟
dzæ̃2	殘涎湛
dzæ̃4	棧
dzæ̃6	暫站綻賺{原作“贃”}
sæ̃1	三山刪衫珊散3{散開來}
sæ̃3	傘1散1
sæ̃5	傘2散2
zæ̃2	慚讒
kæ̃1	橄奸姦間1{房間}監1{監牢}鹻减2{减脫}
kæ̃3	减1揀簡1鑑
kæ̃5	間3{間一個月}
kʰæ̃1	鉛鉛2{表示“剛剛”}檻2{機檻}
kʰæ̃3	檻1{機檻}
kʰæ̃5	鉛1{表示“剛剛”}
hæ̃1	壗2{壗頭，表示處所}
hæ̃3	喊
hæ̃5	壗1{壗頭，表示處所}
ŋæ̃2	顏1巖眼2
ŋæ̃4	眼1顏2
ɦæ̃2	鹹閒含2{包含}
ɦæ̃6	限1{限定}
æ̃5	晚
#iæ̃	
ɲiæ̃2	嚴1{威嚴}
ɲiæ̃4	捻1
ɲiæ̃6	廿念
ɦiæ̃2	咸
ɦiæ̃5	陷
ɦiæ̃6	限3{象限儀}
iæ̃1	諧{詼諧}
iæ̃5	燄2
#uæ̃	
kuæ̃1	關1鰥
kuæ̃5	貫慣1{習慣}關2{海關}
kʰuæ̃1	筷
guæ̃2	環鐶
guæ̃6	摜
ɦuæ̃2	還懷{懷胎}
ɦuæ̃4	挽1
ɦuæ̃6	患玩1{玩器}
uæ̃1	彎顽
uæ̃3	玩2{玩耍}挽2
#ẽ	
pẽ1	般搬半2{北半爿}
pẽ5	半1{東半爿}
pʰẽ5	判泮
bẽ2	伴2{同伴}伴2{偷伴子，釋義爲“secretly”}磐盤1叛2{叛逆}
bẽ6	伴1{同伴}伴1{偷伴子}叛1{叛逆}盤2{盤攏}
mẽ2	瞞饅
mẽ4	滿
ɗẽ1	耽1
tʰẽ1	貪
tʰẽ3	探2
tʰẽ5	探1
dẽ2	潭
nẽ2	男南
tsẽ1	沾毡氈占專磚輾轉2
tsẽ3	展轉1纏3{纏頭帽}
tsẽ5	戰
tsʰẽ1	參3{{弹劾}}諂懴川穿喘2{氣喘}串2{一串珠}
tsʰẽ3	慘喘1
tsʰẽ5	串1{一串珠子}脆3{釋義爲“brittle”}
dzẽ2	蠶2{大蠶，釋義爲“silk {Taysaam}”}纏2{纏絞}傳2{傳下來}全3
dzẽ6	傳4{言行傳}篆
sẽ1	閂2{原作“閃”}
sẽ3	閃
sẽ5	搧煽扇
zẽ2	蠶1{養蠶}纏1{盤纏}船傳1{傳下來}全1然染4{沾染}鱔2{鱔魚}
zẽ4	染2善1蟮鱔1
zẽ6	染3善2傳3{傳道}
kẽ1	甘柑
kẽ3	敢感
kʰẽ1	龛堪龕
kʰẽ3	坎砍1
kʰẽ5	砍2
hẽ1	撼{搖撼}
ɦẽ2	含1{包含}
