o
f[1]飞非痱妃[3]匪翡水[5]沸肺费睡瑞[2]肥谁
tʂ[2]哲
ʂ[2]摄涉
k[5]给

ai
p[5]拜摆稗败
pʰ[5]派[2]牌排
m[3]买[5]卖迈[2]埋
t[1]戴[5]带呆待殆怠代袋
l[3]乃奶[5]奈耐赖癞[2]来
tʰ[1]胎[5]太泰态[2]台苔抬台
tʂ[1]斋[5]债寨
s[1]鳃[5]赛
ts[1]灾栽[3]宰[5]载再载祭在载
tsʰ[3]踩彩采睬踩[5]菜蔡[2]猜才材财裁
tʂʰ[1]钗差[2]豺柴
ʂ[1]筛[5]晒
k[1]该阶街[3]改溉解[5]盖丐
kʰ[1]开揩[3]凯楷[5]概慨
x[3]海[5]亥害骇解[2]孩鞋还
ŋ[1]哀[3]蔼矮[5]碍艾爱隘[2]呆崖捱岩埃挨

i
p[1]蓖[3]彼比鄙滗[5]闭箅臂弊毙被被避篦备[2]毕必笔逼碧璧壁币鼻
m[1]迷[3]米[5]谜觅[2]庇糜弥靡眉篾蜜密
t[1]低[3]底抵[5]帝蒂弟第递地隶[2]的滴嫡敌笛狄
l[3]礼李里理鲤[5]例厉励丽荔利痢吏[2]匿溺犁黎离篱璃梨厘立粒笠栗力历
Ǿ[1]殷倚伊衣依[3]以已椅[5]艺议蚁义议毅危忆亿抑易肄异翼易意[2]谊一乙益移姨夷遗逸亦译疫役缢
tʰ[1]梯[3]体[5]替[2]堤屉涕剔提题蹄啼
ȵ[3]你[5]腻拟[2]泥尼倪宜疑玉
tɕ[1]鸡稽饥肌几基箕机[3]己纪记讥饥虮[5]计继寄冀既季妓技忌[2]髻急级棘击激及极
tɕʰ[1]讫昆溪欺乞期祈[3]启起杞岂[5]去契企弃器气汽[2]乞泣岐奇骑棋旗其旗
ɕ[1]牺熙喜希稀豨奚兮携[5]系戏嬉系

ɿ
pʰ[1]屄[5]屁[2]痹匹僻癖劈脾皮疲琵枇痞辟
s[1]西栖犀斯厮撕私丝思馊[3]洗死[5]细四肆司祀似寺嗣饲[2]婿玺徙膝悉息熄媳昔惜锡锡析习袭夕隙
ts[1]资姿咨兹[3]挤紫姊子刺牸[5]际济最剂自字巳[2]积迹脊绩集辑疾籍藉寂
tsʰ[1]妻疵[3]此[5]砌刺次赐伺[2]雌七漆戚齐瓷糍慈磁祠辞词

au
p[1]褒胞雹[3]保宝堡饱豹[5]报包爆抱暴菢鲍
pʰ[1]抛脬[3]跑[5]泡炮[2]袍刨
m[1]猫[3]卯[5]冒帽貌[2]毛茅矛
t[1]刀[3]倒岛祷[5]倒到稻道盗
l[3]姥脑恼老了[5]闹[2]劳捞牢唠涝
tʰ[1]叨滔[3]讨[5]套导[2]桃逃淘陶萄涛
tʂ[1]朝召招昭沼诏[3]爪找[5]罩赵兆照
s[1]骚臊[3]嫂扫[5]臊潲
ts[1]糟遭[3]早枣澡[5]灶皂
tsʰ[1]操缲[3]草[5]躁糙造[2]曹槽巢
tʂʰ[1]超抄钞[3]炒吵[2]朝
ʂ[1]梢筲稍烧[3]少{～多}[5]哨少{～年}绍邵
k[1]高糕羔膏[3]稿搞[5]告觉窖
ʐ[3]扰绕[2]饶
kʰ[1]犒[3]考烤[5]靠铐
x[1]蒿薅[3]好{～人}[5]好{～好一口}耗浩号[2]篙毫豪壕号
ŋ[1]熬爊凹[3]袄[5]傲咬奥懊澳拗[2]熬

iau
p[1]膘标[3]表
pʰ[1]飘漂漂[5]票[2]嫖
m[3]藐秒渺[5]妙庙[2]苗描
t[1]彪贬刁貂雕[3]吊[5]钓掉调
l[3]了[5]料[2]燎疗辽聊撩寥瞭
Ǿ[1]邀腰要妖幺吆[3]搯舀[5]耀鹞跃要[2]尧肴窑摇姚谣
tʰ[1]挑[3]掉[5]跳[2]条调
ȵ[3]鸟[5]尿
s[1]消销宵硝霄肖萧箫屑嚣[3]小[5]笑鞘淆
ts[1]焦蕉椒[2]嚼
tsʰ[1]悄[2]樵瞧
tɕ[1]交胶郊骄娇矫浇[3]剿绞狡铰搅教缴饺[5]教{教室}较酵校觉叫轿
tɕʰ[1]锹敲跷撬[3]巧[5]俏窍[2]偢桥乔侨
ɕ[3]晓[5]哮孝校效

in
p[1]宾彬冰兵[3]禀丙秉柄饼[5]并病
pʰ[1]拼[3]品[5]聘姘[2]频贫凭平评坪瓶屏萍
m[3]闽敏抿悯皿[5]命[2]民鸣明名铭冥暝
t[1]槟鬓殡丁疔钉[3]顶鼎[5]钉订锭定
l[3]檩领岭[5]赁吝令另凝[2]宁林淋临邻鳞磷凌陵菱灵零铃伶拎
Ǿ[1]音阴饮荫揖鹰莺英影婴缨蝇[3]饮淫引颖[5]印应映[2]吟银迎逆萤寅盈赢
tʰ[1]听厅廷庭蜓艇[3]挺[5]听踢[2]亭停
s[1]心芯辛新薪星腥欣[3]醒[5]信性姓行[2]寻
ts[1]津精晶睛[3]井[5]进晋尽靖净
tsʰ[1]亲清青蜻卿[3]请[5]侵寝[2]秦情晴静
tɕ[1]今金襟巾斤筋京荆惊经[3]锦紧谨景警敬颈茎[5]禁劲境竟镜径近竞剧
tɕʰ[1]钦轻[3]顷[5]庆[2]琴禽擒勤芹擎
ɕ[1]兴{兴奋}[5]兴{兴高采烈}幸[2]行形刑型

an
p[1]班斑扳颁搬般[3]板版[5]扮半绊办瓣伴拌
pʰ[1]攀襻潘[5]盼判叛[2]盘
m[3]满[5]慢鳗漫蔓[2]蛮瞒馒
t[1]担单丹[3]胆掸[5]担旦淡诞弹但蛋
f[1]翻番[3]反[5]贩范犯饭[2]泛凡帆乏烦矾繁
l[3]览揽榄缆懒[5]难滥烂[2]南男难蓝篮拦栏
tʰ[1]贪坍滩摊叹[3]毯坦[5]探炭[2]潭谭沓痰谈弹坛檀
tʂ[1]黏粘瞻占毡[3]展斩盏[5]暂沾砧站绽栈占战颤
s[1]三[3]散伞[5]散
ts[1]尖簪[3]攒[5]赞灒錾蘸
tsʰ[1]参餐[3]惨[5]灿惭[2]蚕残
tʂʰ[1]搀[3]产[2]缠谗馋
ʂ[1]衫山膻扇[3]闪陕[5]扇善鳝膳[2]蝉禅
k[1]甘柑敢尴干竿肝[3]橄杆秆擀赶[5]干
ʐ[3]染冉[2]然燃
kʰ[1]堪勘刊[3]坎砍[5]看
x[1]憨鼾酣[3]喊罕[5]汉撼憾陷旱汗焊翰[2]含函咸衔寒韩
ŋ[1]庵鞍[5]岸雁暗按案轧晏

iɛn
p[1]编鞭[3]扁匾[5]变辩辨便{方～}辫畔
pʰ[1]篇偏[5]遍骗片[2]便{～宜}
m[3]免勉[5]面[2]棉绵眠
t[1]边掂踮颠[3]点典[5]店垫电殿奠
l[3]缅[5]敛练炼链恋[2]廉镰连联怜莲
Ǿ[1]淹阉蔫烟炎焉焰[3]掩腌演[5]验严谚厌晏堰宴燕咽艳[2]颜言盐檐延筵
tʰ[1]添天[2]甜田填
ȵ[1]拈研[3]碾撵辇眼[5]念砚[2]年俨阎
s[1]仙先[5]线羡
ts[1]歼煎[3]剪箭[5]溅践饯
tsʰ[1]笺签迁千铅[3]浅遣[5]贱[2]潜钱前虔
tɕ[1]监鉴兼间艰奸肩坚[3]减夹检脸简拣柬茧笕趼俭[5]荐渐剑劫间谏建见件键健腱舰苋
tɕʰ[1]谦歉牵[5]欠
ɕ[3]显[5]宪献馅限现县[2]嫌闲贤

ie
p[1]憋[2]别
pʰ[2]迫拍
m[2]灭默脉
l[2]墨猎列裂烈劣肋勒
Ǿ[1]噎[3]也野[5]夜腋液[2]爷耶叶页
t[2]跌德得迭碟牒蝶跌
tʰ[2]帖贴铁特
ȵ[1]捏[2]聂镊业孽
s[1]些[3]写[5]泻卸泄[2]斜邪谢楔涩
ts[3]姐[5]借[2]接浸节疖妾捷截
tsʰ[3]且[2]切
tɕ[2]揭结洁吉杰竭揭
tɕʰ[2]怯茄
ɕ[2]恤胁吸歇蝎血衅谐协穴

en
p[1]奔[3]本[5]逩笨
pʰ[1]烹[2]盆彭膨
m[5]闷[2]门
t[1]墩登灯蹲[3]等戥[5]顿扽凳屯炖囤沌钝遁邓瞪
f[1]分吩芬纷[3]粉[5]喷粪奋愤忿份顺[2]坟焚
l[3]冷[5]嫩论[2]能轮伦沦
tʰ[1]吞[2]豚臀藤腾誊疼
tʂ[1]珍征摘贞侦针斟枕真诊疹蒸征[3]振震拯整[5]镇阵郑证症正政
s[1]僧参
ts[1]尊遵增曾憎争筝睁[5]甑赠
tsʰ[1]撑[3]惩[5]寸牚衬[2]蹭层曾逞
tʂʰ[1]澄称[5]椿秤[2]陈尘橙呈程臣承丞成城诚
ʂ[1]森生牲甥深沈身申伸娠升声[3]婶审[5]渗葚剩胜圣甚肾慎盛[2]神乘辰晨承
k[1]根跟更庚羹哽耕[3]耿[5]粳埂梗
ʐ[3]忍[5]任认刃韧[2]壬任人仁仍扔
kʰ[1]坑客[3]恳垦肯
x[1]亨[3]很[5]恨杏[2]痕恒衡
ŋ[1]樱[5]硬

aŋ
p[1]帮邦[3]榜绑[5]谤棒
pʰ[5]胖傍[2]旁庞
m[3]莽蟒[2]忙芒茫盲氓
t[1]当[3]党挡[5]荡宕[2]荡
f[1]方[3]仿纺彷访[5]放[2]肪坊妨防
l[3]囊朗浪[2]狼郎廊螂
tʰ[1]汤[3]躺[5]趟[2]堂唐糖塘棠
tʂ[1]张章樟獐[3]长涨掌[5]帐胀账丈杖仗障瘴
s[1]桑[3]磉嗓搡[5]丧
ts[1]赃脏[5]葬藏{西藏}臓
tsʰ[1]仓苍舱[2]藏{捉迷藏}
tʂʰ[1]娼倡[3]厂[5]唱[2]肠场长
ʂ[1]商伤[3]赏晌偿[5]尚上[2]常尝裳
k[1]刚缸纲钢岗各[3]港[5]扛
ʐ[3]壤嚷[5]让[2]瓤
kʰ[1]康糠慷羌[5]抗炕
x[3]夯[5]项巷[2]行杭航
ŋ[2]昂

e
p[2]北百柏伯帛陌
pʰ[2]撇魄泊
t[2]白
tʂ[1]遮[3]者诸[5]蔗[2]责折褶折浙
s[2]塞色
ts[2]则侧窄
tsʰ[2]拆泽测
tʂʰ[1]车[3]扯[2]彻撤厕策册
ʂ[1]赊奢[3]舍[5]射赦舍社[2]瑟虱啬蛇舌设畲折
k[[2]胳格骼革隔
ʐ[3]惹[2]如
kʰ[2]刻克
x[2]黑赫核
ŋ[2]额扼

oŋ
p[1]绷[5]迸擘
pʰ[3]捧[5]碰[2]朋棚篷蓬
m[1]懵[3]某亩猛[5]贸谋孟梦[2]萌蒙
t[1]冬东[3]懂[5]冻栋动洞
f[1]风疯枫封丰蜂峰锋[3]否讽[5]凤缝奉俸[2]冯缝
l[3]笼拢陇垄[5]弄鹿[2]农脓浓聋隆龙
Ǿ[1]翁壅[5]瓮
tʰ[1]通捅[3]统桶[5]痛[2]同铜桐筒童瞳
tʂ[1]中忠终钟盅[3]种肿种[5]中仲重众
s[1]松[3]怂[5]送宋诵颂讼
ts[1]棕鬃宗综踪[3]总[5]粽纵皱
tsʰ[1]葱聪[2]从丛
tʂʰ[1]怱囱充冲舂[3]宠茶[5]铳[2]虫重崇
k[1]公工功蚣攻弓躬宫恭供[3]拱巩汞[5]贡供共
ʐ[3]冗[2]绒戎茸
kʰ[1]空{～气}[3]孔恐[5]空{～闲}控
x[1]轰[2]弘宏虹红洪鸿

iəu
t[1]丢
l[1]溜馏緑[3]柳 [2]留刘流榴硫琉
Ǿ[1]幽悠优忧[3]有友酉[5]幼又右佑诱莠柚釉[2]尤邮油游犹由
ȵ[3]纽扭[2]牛
s[1]修羞休[5]秀绣锈袖嗅[2]囚泅
ts[3]酒
tsʰ[1]秋鳅
tɕ[1]纠鸠灸纠咎柩[3]九久韭[5]究救舅臼旧
tɕʰ[1]阄丘[2]仇求球
ɕ[3]朽

uan
t[1]端[3]短[5]断锻段缎
l[3]暖卵[5]乱
Ǿ[1]豌弯湾[3]晚挽碗腕皖[5]万院[2]顽元完丸
tʰ[2]团断
tʂ[1]专砖[3]转[5]转篆传
s[1]酸[5]算蒜
ts[5]钻纂钻
tsʰ[5]窜篡[2]攒
tʂʰ[1]川穿[3]铲[2]传椽船
ʂ[1]珊闩拴[5]疝涮
k[1]官棺观冠鳏关[3]馆[5]管灌罐观贯冠惯
ʐ[3]软阮
kʰ[1]宽[3]款
x[1]欢[3]缓[5]唤焕换幻患宦[2]还环

iᴀ
m[2]麦
Ǿ[1]涯鸦丫[3]雅哑[5]亚押压[2]牙芽衙鸭
tɕ[1]家嘉加稼佳[3]假贾假[5]架价驾嫁[2]夹甲挟
tɕʰ[2]恰掐洽
ɕ[1]虾[5]厦下夏[2]瞎霞瑕遐暇狭峡匣侠辖

uei
t[1]堆[5]对碓队兑
l[3]儡累垒[5]内累类泪[2]雷
Ǿ[1]煨萎威[3]尾伟纬委医委喂[5]未味伪魏卫为位胃谓猬喂畏[2]微桅为围违苇维惟唯
tʰ[1]推[3]腿[5]退蜕褪
tʂ[1]追置[5]缀坠潮拽赘
s[1]虽[5]岁[2]髓随
ts[1]蜇锥[3]嘴醉[5]罪[2]贼
tsʰ[1]崔催[5]脆翠碎粹
tʂʰ[1]吹炊丑[2]锤槌垂
ʂ[5]税
k[1]圭闺规龟[3]诡轨鬼[5]桂癸贵柜
ʐ[5]蕊鋭
kʰ[1]盔窥亏[3]傀[5]愧归跪溃[2]魁逵葵
x[1]恢灰贿挥辉徽[3]晦毁[5]悔讳汇会绘惠慧汇秽[2]回

uᴀ
Ǿ[1]蛙洼挖蛙[3]瓦[2]袜
tʂ[1]抓[3]爪[2]啄
ʂ[2]刷
k[1]瓜[3]寡剐剐[5]挂卦[2]蕨国
kʰ[1]夸[3]垮[5]跨枯
x[1]划[5]化呼画话[2]华划华滑猾

uen
l[2]轮
Ǿ[1]温瘟[3]吻刎稳[5]问璺[2]文纹蚊闻
tʂ[3]准
s[1]孙[3]损笋榫省省缩
tsʰ[1]村[2]存
tʂʰ[1]春[3]蠢
ʂ[3]吮[5]舜[2]唇绳纯醇
k[3]滚[5]棍
ʐ[5]闰润孕
kʰ[1]坤[3]捆[5]困
x[1]昏婚荤[3]哄[5]混[2]魂浑横

uaŋ
Ǿ[1]汪[3]网枉往[5]妄望旺[2]忘王
tʂ[1]桩装庄[5]撞妆壮状
tʂʰ[1]疮[3]闯[5]创窗[2]床
ʂ[1]霜孀双[3]爽
k[1]光[3]广[5]逛
kʰ[1]筐眶框[5]矿旷扩况[2]狂
x[1]荒慌[3]谎晃[5]晃[2]黄簧皇蝗惶

əu
t[1]都兜逗逗[3]斗{北斗星}陡抖[5]斗{斗志}豆
l[3]篓[5]漏[2]楼搂
tʰ[1]偷[5]透[2]头投
tʂ[1]舟州洲帚[3]肘[5]昼站纣宙咒
s[1]搜[3]叟[5]嗽瘦
ts[1]邹[3]走[5]奏骤
tsʰ[1]搊[5]凑[2]愁
tʂʰ[1]抽[3]丑[5]臭[2]绸稠筹仇酬
ʂ[1]收[3]手守首[5]兽受寿授[2]售
k[1]痀勾钩沟[3]狗苟[5]垢够构购
ʐ[5]肉[2]柔揉
kʰ[1]抠眍[3]口[5]叩扣寇
x[3]吼[5]后厚后候[2]侯喉猴
ŋ[1]欧[3]藕偶偶呕殴沤[5]怄

y
l[3]吕旅缕屡履捋[5]虑[2]驴
Ǿ[1]淤迂[3]屿语雨羽宇禹与[5]御遇寓芋预誉豫愉逾愈喻裕慰[2]鱼渔娱虞愚于郁于盂域余榆育欲
ȵ[3]女
s[1]须需[5]絮序叙绪续穗隧遂续[2]宿戌速肃宿粟徐俗蓄
ts[2]足黢
tsʰ[1]蛆黢[3]取娶[5]趣
tɕ[1]车居举拘驹[3]矩[5]聚锯据句巨拒距具惧[2]橘菊
tɕʰ[1]觑趋区驱[5]去[2]屈曲渠瞿局
ɕ[1]墟虚吁[3]许[2]旭

iaŋ
l[3]两辆[5]凉量亮谅[2]良粮凉
Ǿ[1]秧殃[3]养痒[5]样[2]羊洋杨阳扬疡
ȵ[3]仰[2]娘
s[1]相厢箱湘襄镶[3]想[5]象像橡[2]祥详
ts[1]将[3]蒋桨奖[5]将酱匠
tsʰ[1]枪[3]抢[2]墙
tɕ[1]姜疆姜僵缰江豇[3]讲[5]糨降虹
tɕʰ[1]腔[2]强
ɕ[1]香乡[3]饷享响向[2]降{投降}

io
l[2]略掠
Ǿ[2]虐疟乐岳狱约药钥
tɕ[2]爵脚觉角
tɕʰ[2]雀鹊却确
ɕ[2]学

yn
Ǿ[1]晕[3]永允[5]熨运韵泳咏[2]云荣匀营
s[5]讯逊迅训[2]荀询旬循巡殉
ts[5]俊
tɕ[1]均钧君军[3]窘迥[5]菌郡
tɕʰ[3]倾[2]群裙琼
ɕ[1]熏勋

yɛn
Ǿ[1]冤宛渊恩[3]远[5]怨[2]原源袁辕圆员园援缘沿铅
s[1]鲜宣轩喧[3]癣选[5]鲜旋楦
tsʰ[2]全泉
tɕ[1]绢捐[3]卷{~发}[5]卷{～试}卷眷倦
tɕʰ[1]圈[2]权拳颧
ɕ[1]掀[2]弦玄悬眩

ye
Ǿ[1]曰[2]月粤越悦阅
s[2]薛雪削
tɕ[2]绝让决诀掘
tɕʰ[2]缺瘸仅倔
ɕ[1]靴
ʅ 
tʂ[1]知蜘智支枝栀肢之芝只[3]只纸脂指止址趾志炙[5]致窒滞池稚痔治秩制旨至痣翅[2]蛰侄直值掷汁执质织职植殖
tʂʰ[1]痴嗤[3]耻侈齿[2]驰迟持赤斥尺吃
ʂ[1]师狮施尸诗[3]史使驶屎始[5]饬士柿仕事示世势试饰拭誓逝匙是氏视嗜市恃侍[2]实食蚀矢失室识式适释时十什拾石
ʐ[2]日

uai
Ǿ[1]歪[5]外
tʂ[1]拽
tʂʰ[3]揣喘串
ʂ[1]衰摔[5]帅率
k[1]乖怪[3]拐
kʰ[3]块[5]会刽快筷
x[5]坏[2]淮怀槐
ə˞
Ǿ[3]尔耳饵[5]二[2]儿而

uo
k[3]果
x[1]豁[3]火伙[5]货祸[2]喝喝霍藿禾和合盒活

iei
tɕ[1]皆阶[5]介界戒芥疥械
ɕ[5]懈

ue
k[2]郭
kʰ[3]阔[2]括奎廓
x[2]或惑获

ioŋ
Ǿ[1]拥庸[3]勇涌[5]用[2]融容溶蓉
tɕʰ[2]穷
ɕ[1]兄烘凶胸凶[2]熊雄
