"来源：鲍厚星.湖南邵阳方言音系[J].方言,1989(3):196-207."						
"轉錄者：DaiDzao"						
"拼音"	"IPA"	"調號"	"調值"	"單字"		"1阴平55，2阳平12，3上声42，5阴去35，6阳去24，7入声33"
	"mo"	5	35	"莫磨[石~]"		
	"mo"	7	33	"末沫抹=幕寞墓暮慕募目穆牧木沐"		
	"to"	1	55	"多"		
	"to"	3	42	"朵垛[柴~]"		
	"to"	5	35	"剁"		
	"to"	7	33	"夺铎踱"		
	"tʰo"	1	55	"拖"		
	"tʰo"	3	42	"妥椭[~圆]唾[~液]"		
	"tʰo"	6	24	"~[压:莫~得我啰]"		
	"tʰo"	7	33	"脱託讬托"		
	"do"	2	12	"驼驮"		
	"do"	6	24	"舵惰"		
	"lo"	1	55	"烙啰[~唆]"		
	"lo"	2	12	"罗锣箩骡螺脶[手指纹]"		
	"lo"	3	42	"裸卵-"		
	"lo"	5	35	"糯"		
	"lo"	7	33	"落骆洛络诺乐"		
	"tso"	3	42	"左佐"		
	"tso"	5	35	"~[~里~气(神气+足)]"		
	"tso"	7	33	"桌卓琢啄捉作[~坊]着酌脚"		
	"tsʰo"	1	55	"搓"		
	"tsʰo"	5	35	"戮"		
	"tsʰo"	6	24	"锉凿"		
	"tsʰo"	7	33	"浊濯措错绰撮[一~米]"		
	"dzo"	6	24	"坐座昨"		
	"so"	1	55	"蓑梭唆莎[~草]"		
	"so"	3	42	"锁琐"		
	"so"	7	33	"朔塑索"		
	"ko"	1	55	"歌哥锅"		
	"ko"	3	42	"果裹"		
	"ko"	5	35	"个[~人]过"		
	"ko"	7	33	"鸽割葛各阁搁郭角戈廓"		
	"kʰo"	1	55	"科窠"		
	"kʰo"	3	42	"可颗棵"		
	"kʰo"	6	24	"课"		
	"kʰo"	7	33	"渴扩殻壳磕阔"		
	"ŋo"	2	12	"蛾鹅俄"		
	"ŋo"	3	42	"我"		
	"ŋo"	5	35	"饿卧讹鄂"		
	"xo"	1	55	"喝[~酒,~采]荷[薄~]"		
	"xo"	3	42	"火夥"		
	"xo"	5	35	"货"		
	"xo"	7	33	"合盒活鹤豁[~然]霍藿[~香]郝"		
	"ɣo"	2	12	"河何荷[~花]和[~气]禾"		
	"ɣo"	6	24	"祸贺和[~面]"		
	"o"	1	55	"蜗倭窝阿[~胶]"		
	"o"	7	33	"恶"		
	"nio"	7	33	"略掠"		
	"ʨio"	7	33	"爵嚼=觉[知~]角="		
	"ʨʰio"	6	24	"嚼-"		
	"ʨʰio"	7	33	"却雀鹊确="		
	"ȵio"	7	33	"虐疟"		
	"ɕio"	5	35	"勺[~子]"		
	"ɕio"	7	33	"削芍[~药花]学"		
	"ʑio"	6	24	"若弱"		
	"io"	7	33	"约药钥跃岳乐[音~]"		
	"pɛ"	5	35	"白帛"		
	"pɛ"	7	33	"北百柏伯魄别[~个]"		
	"pʰɛ"	7	33	"迫拍拍陌[歼~]泊"		
	"mɛ"	1	55	"~[~黑:很黑]"		
	"mɛ"	7	33	"墨默麦脉没陌[~生]~[看:~得~不得]"		
	"vɛ"	7	33	"或惑物[~件:东西]"		
	"tɛ"	5	35	"~[你咯只人何如咯个~,你这个人为什么这样讲不清)]"		
	"tɛ"	7	33	"德得"		
	"tʰɛ"	5	35	"~[太:你咯只人~恼火哩]"		
	"tʰɛ"	7	33	"特忒"		
	"nɛ"	7	33	"肋勒捋[~袖]"		
	"tsɛ"	1	55	"遮="		
	"tsɛ"	3	42	"者"		
	"tsɛ"	7	33	"哲折浙则侧窄摘责摺"		
	"tsʰɛ"	1	55	"车=猜"		
	"tsʰɛ"	3	42	"扯="		
	"tsʰɛ"	6	24	"择-[~菜]"		
	"tsʰɛ"	7	33	"测侧拆泽宅策册厕撤撤辙"		
	"dzɛ"	6	24	"贼择[~菜]"		
	"sɛ"	1	55	"奢=赊="		
	"sɛ"	3	42	"捨="		
	"sɛ"	5	35	"舌舍赦"		
	"sɛ"	7	33	"设摄涉瑟啬涩色塞虱"		
	"zɛ"	2	12	"蛇=佘="		
	"zɛ"	3	42	"惹="		
	"zɛ"	6	24	"热社射麝"		
	"kɛ"	5	35	"锯-"		
	"kɛ"	7	33	"格革隔给[~你]膈"		
	"kʰɛ"	6	24	"去-[~年]"		
	"kʰɛ"	7	33	"刻克客咳"		
	"ŋɛ"	7	33	"额扼厄"		
	"xɛ"	7	33	"黑核嚇[恐~]骇"		
	"ɣɛ"	2	12	"儿而"		
	"ɛ"	3	42	"耳尔饵"		
	"ɛ"	5	35	"二贰"		
	"piɛ"	1	55	"~[~淡:很淡]"		
	"piɛ"	3	42	"瘪"		
	"piɛ"	7	33	"鳖憋"		
	"pʰiɛ"	7	33	"撇[~开]别[区~,离~]"		
	"miɛ"	7	33	"灭篾"		
	"miɛ"	1	55	"~[揪:~你两下]"		
	"tiɛ"	5	35	"碟"		
	"tiɛ"	7	33	"跌叠"		
	"tʰiɛ"	7	33	"铁帖贴碟牒蝶谍"		
	"niɛ"	5	35	"戾"		
	"niɛ"	7	33	"列烈裂猎劣例"		
	"ʨiɛ"	3	42	"姐="		
	"ʨiɛ"	5	35	"借"		
	"ʨiɛ"	7	33	"揭节结洁接劫给"		
	"ʨʰiɛ"	3	42	"且"		
	"ʨʰiɛ"	6	24	"去[~皮]"		
	"ʨʰiɛ"	7	33	"杰切妾截捷"		
	"ʥiɛ"	2	12	"邪-斜-茄-瘸"		
	"ʥiɛ"	6	24	"藉[~故]谢-"		
	"ȵiɛ"	7	33	"孽捏聂镊业"		
	"ɕiɛ"	3	42	"写些"		
	"ɕiɛ"	5	35	"泻卸泄谢="		
	"ɕiɛ"	7	33	"协胁屑蝎蠍歇袭穴楔[~子]"		
	"ʑiɛ"	2	12	"爷=[~~:祖父]"		
	"iɛ"	3	42	"野=也"		
	"iɛ"	5	35	"夜=液腋叶"		
	"iɛ"	7	33	"乙页噎腌"		
	"kuɛ"	7	33	"国虢"		
	"ʨyɛ"	5	35	"绝"		
	"ʨyɛ"	7	33	"诀决掘拙倔[~强]厥矍"		
	"ʨʰyɛ"	7	33	"缺"		
	"ɕyɛ"	1	55	"靴"		
	"ɕyɛ"	7	33	"雪说血薛"		
	"yɛ"	5	35	"~[歪:~咖哩]"		
	"yɛ"	7	33	"悦阅月越曰粤"		
	"pai"	1	55	"跛"		
	"pai"	3	42	"摆"		
	"pai"	5	35	"拜"		
	"pʰai"	6	24	"派"		
	"bai"	2	12	"排牌牌"		
	"bai"	6	24	"稗败"		
