匣	開	一	東	平	影	通	洪		h	ʊŋ	51	h	ʊŋ	51	h	ʊŋ	51	
匣	開	一	東	平	影	通	虹		h	ʊŋ	51	h	ʊŋ	51	h	ʊŋ	51	
匣	開	一	東	平	影	通	烘		h	ʊŋ	33	h	ʊŋ	33	h	ʊŋ	22	
匣	開	一	東	平	影	通	紅		h	ʊŋ	51	h	ʊŋ	51	h	ʊŋ	51	紅色
見	開	一	東	平	見	通	紅		k	ʊŋ	55	k	ʊŋ	45	k	ʊŋ	55	女紅
匣	開	一	東	平	影	通	鴻		h	ʊŋ	51	h	ʊŋ	51	h	ʊŋ	51	
影	開	一	東	平	影	通	翁		j	ʊŋ	55	j	ʊŋ	45	j	ʊŋ	55	
影	開	一	東	平	影	通	蓊		j	ʊŋ	213	j	ʊŋ	21	j	ʊŋ	21	
云	開	三	東	平	影	通	雄		h	ʊŋ	51	h	ʊŋ	51	h	ʊŋ	51	
云	開	三	東	平	影	通	熊		h	ʊŋ	51	h	ʊŋ	51	h	ʊŋ	51	
以	開	三	東	平	以	通	融		j	ʊŋ	51	j	ʊŋ	51	j	ʊŋ	51	
幫	合	三	東	平	幫	通	楓		h	ʊŋ	55	h	ʊŋ	45	h	ʊŋ	55	
幫	合	三	東	平	幫	通	風		h	ʊŋ	55	h	ʊŋ	45	h	ʊŋ	55	
並	開	一	東	平	幫	通	蓬		pʰ	ʊŋ	51	pʰ	ʊŋ	51	pʰ	ʊŋ	51	
並	開	一	東	平	幫	通	篷		pʰ	ʊŋ	51	pʰ	ʊŋ	51	pʰ	ʊŋ	51	
並	開	一	東	平	幫	通	蜂		h	ʊŋ	55	h	ʊŋ	45	h	ʊŋ	55	
並	合	三	東	平	幫	通	梵		f	an	51	f	an	51	f	an	51	
並	合	三	東	平	幫	通	馮		h	ʊŋ	51	h	ʊŋ	51	h	ʊŋ	51	姓馮
並	開	三	蒸	平	幫	曾	馮		pʰ	ɐŋ	51	pʰ	ɐŋ	51	pʰ	ɐŋ	51	暴虎馮河
明	開	一	東	平	幫	通	矇		m	ʊŋ	55	m	ʊŋ	45	m	ʊŋ	55	
明	開	一	東	平	幫	通	濛		m	ʊŋ	51	m	ʊŋ	51	m	ʊŋ	51	
明	開	一	東	平	幫	通	朦		m	ʊŋ	51	m	ʊŋ	51	m	ʊŋ	51	
明	開	一	東	平	幫	通	檬		m	ʊŋ	55	m	ʊŋ	45	m	ʊŋ	55	
明	開	一	東	平	幫	通	蒙		m	ʊŋ	51	m	ʊŋ	51	m	ʊŋ	51	
明	合	三	東	平	幫	通	夢		m	ʊŋ	33	m	ʊŋ	33	m	ʊŋ	22	
滂	合	三	東	平	幫	通	豐		h	ʊŋ	55	h	ʊŋ	45	h	ʊŋ	55	
群	開	三	東	平	見	通	窮		kʰ	ʊŋ	51	kʰ	ʊŋ	51	kʰ	ʊŋ	51	
端	開	一	東	上	端	通	董		t	ʊŋ	213	t	ʊŋ	21	t	ʊŋ	21	
透	開	一	東	上	端	通	桶		tʰ	ʊŋ	213	tʰ	ʊŋ	21	tʰ	ʊŋ	21	
定	開	一	東	上	端	通	動		t	ʊŋ	33	t	ʊŋ	33	t	ʊŋ	22	
來	開	一	東	上	來	通	攏		l	ʊŋ	213	l	ʊŋ	21	l	ʊŋ	21	
精	開	一	東	上	精	通	總		ts	ʊŋ	213	ts	ʊŋ	21	ts	ʊŋ	21	
溪	開	一	東	上	見	通	孔		kʰ	ʊŋ	213	kʰ	ʊŋ	21	kʰ	ʊŋ	21	
幫	開	一	東	上	幫	通	俸		h	ʊŋ	213	h	ʊŋ	21	h	ʊŋ	21	
明	開	一	東	上	幫	通	懵		m	ʊŋ	213	m	ʊŋ	21	m	ʊŋ	21	
端	開	一	東	去	端	通	棟		t	ʊŋ	33	t	ʊŋ	33	t	ʊŋ	22	
透	開	一	東	去	端	通	痛		tʰ	ʊŋ	33	tʰ	ʊŋ	33	tʰ	ʊŋ	22	
來	開	一	東	去	來	通	弄		l	ʊŋ	33	l	ʊŋ	33	l	ʊŋ	22	
精	開	一	東	去	精	通	粽		ts	ʊŋ	33	ts	ʊŋ	33	ts	ʊŋ	22	
心	開	一	東	去	精	通	送		s	ʊŋ	33	s	ʊŋ	33	s	ʊŋ	22	
澄	開	三	東	去	知	通	仲		ts	ʊŋ	33	ts	ʊŋ	33	ts	ʊŋ	22	
昌	開	三	東	去	章	通	銃		tsʰ	ʊŋ	33	tsʰ	ʊŋ	33	tsʰ	ʊŋ	22	
見	開	一	東	去	見	通	貢		k	ʊŋ	33	k	ʊŋ	33	k	ʊŋ	22	
匣	開	一	東	去	影	通	哄		h	ʊŋ	33	h	ʊŋ	33	h	ʊŋ	22	
							哄											
影	開	一	東	去	影	通	甕			ʊŋ	33		ʊŋ	33		ʊŋ	22	
幫	合	三	東	去	幫	通	諷		h	ʊŋ	33	h	ʊŋ	33	h	ʊŋ	22	
並	合	三	東	去	幫	通	鳳		h	ʊŋ	33	h	ʊŋ	33	h	ʊŋ	22	
端	開	一	東	入	端	通	啄		t	œk	3	t	iɔk	2	t	œk	5	
							啄		t	œŋ	55	t	iɔŋ	45	t	œŋ	55	
端	開	一	東	入	端	通	竺		ts	ʊk	5	ts	ʊk	5	ts	ʊk	5	
透	開	一	東	入	端	通	禿		tʰ	ʊk	5	tʰ	ʊk	5	tʰ	ʊk	5	
定	開	一	東	入	端	通	犢		t	ʊk	3	t	ʊk	2	t	ʊk	2	
定	開	一	東	入	端	通	獨		t	ʊk	3	t	ʊk	2	t	ʊk	2	
定	開	一	東	入	端	通	瀆		t	ʊk	3	t	ʊk	2	t	ʊk	2	
定	開	一	東	入	端	通	讀		t	ʊk	3	t	ʊk	2	t	ʊk	2	朗讀
定	開	一	侯	去	端	流	讀		t	ɐu	3	t	ɐu	2	t	ɐu	2	句讀
來	開	一	東	入	來	通	麓		l	ʊk	5	l	ʊk	5	l	ʊk	5	
來	開	一	東	入	來	通	鹿		l	ʊk	3	l	ʊk	2	l	ʊk	2	
來	開	一	東	入	來	通	漉		l	ʊk	5	l	ʊk	5	l	ʊk	5	
來	開	一	東	入	來	通	碌		l	ʊk	5	l	ʊk	5	l	ʊk	5	
來	開	一	東	入	來	通	角		k	ɔk	3	k	ɔk	2	k	ɔk	5	
來	開	一	東	入	來	通	祿		l	ʊk	3	l	ʊk	2	l	ʊk	2	
來	開	三	東	入	來	通	陸		l	ʊk	3	l	ʊk	2	l	ʊk	2	
來	開	三	東	入	來	通	六		l	ʊk	3	l	ʊk	2	l	ʊk	2	
精	開	三	東	入	精	通	蹙		tsʰ	ʊk	5	tsʰ	ʊk	5	tsʰ	ʊk	5	
清	開	一	東	入	精	通	簇		tsʰ	ʊk	5	tsʰ	ʊk	5	tsʰ	ʊk	5	
清	開	三	東	入	精	通	蹴		tsʰ	ʊk	5	tsʰ	ʊk	5	tsʰ	ʊk	5	
從	開	一	東	入	精	通	族		ts	ʊk	3	ts	ʊk	2	ts	ʊk	2	
從	開	一	東	入	精	通	鑿		ts	ɔk	3	ts	ɔk	2	ts	ɔk	2	
心	開	一	東	入	精	通	速		tsʰ	ʊk	5	tsʰ	ʊk	5	tsʰ	ʊk	5	
心	開	三	東	入	精	通	肅		s	ʊk	5	s	ʊk	5	s	ʊk	5	
心	開	三	東	入	精	通	夙		s	ʊk	5	s	ʊk	5	s	ʊk	5	
知	開	三	東	入	知	通	竹		ts	ʊk	5	ts	ʊk	5	ts	ʊk	5	
知	開	三	東	入	知	通	築		ts	ʊk	5	ts	ʊk	5	ts	ʊk	5	
澄	開	三	東	入	知	通	逐		ts	ʊk	3	ts	ʊk	2	ts	ʊk	2	
澄	開	三	東	入	知	通	軸		ts	ʊk	3	ts	ʊk	2	ts	ʊk	2	
澄	開	三	東	入	知	通	筑		ts	ʊk	5	ts	ʊk	5	ts	ʊk	5	
初	開	三	東	入	莊	通	矗		tsʰ	ʊk	5	tsʰ	ʊk	5	tsʰ	ʊk	5	
生	開	三	東	入	莊	通	縮		s	ʊk	5	s	ʊk	5	s	ʊk	5	
常	開	三	東	入	章	通	淑		s	ʊk	3	s	ʊk	2	s	ʊk	2	
常	開	三	東	入	章	通	熟		s	ʊk	3	s	ʊk	2	s	ʊk	2	
常	開	三	東	入	章	通	塾		s	ʊk	3	s	ʊk	2	s	ʊk	2	
常	開	三	東	入	章	通	孰		s	ʊk	3	s	ʊk	2	s	ʊk	2	
書	開	三	東	入	章	通	倏		s	ʊk	5	s	ʊk	5	s	ʊk	5	
書	開	三	東	入	章	通	叔		s	ʊk	5	s	ʊk	5	s	ʊk	5	
日	開	三	東	入	日	通	肉		j	ʊk	3	j	ʊk	2	j	ʊk	2	
見	開	一	東	入	見	通	穀		k	ʊk	5	k	ʊk	5	k	ʊk	5	
見	開	一	東	入	見	通	谷		k	ʊk	5	k	ʊk	5	k	ʊk	5	
以	開	三	鍾	入	以	通	谷											
來	開	一	東	入	來	通	谷											
見	開	三	東	入	見	通	掬		kʰ	ʊk	5	kʰ	ʊk	5	kʰ	ʊk	5	
見	開	三	東	入	見	通	鞠		kʰ	ʊk	5	kʰ	ʊk	5	kʰ	ʊk	5	
見	開	三	東	入	見	通	菊		kʰ	ʊk	5	kʰ	ʊk	5	kʰ	ʊk	5	
溪	開	一	東	入	見	通	哭		h	ʊk	5	h	ʊk	5	h	ʊk	5	
溪	開	三	東	入	見	通	麴		kʰ	ʊk	5	kʰ	ʊk	5	kʰ	ʊk	5	
曉	開	三	東	入	影	通	蓄		tsʰ	ʊk	5	tsʰ	ʊk	5	tsʰ	ʊk	5	
匣	開	一	東	入	影	通	斛		h	ʊk	3	h	ʊk	2	h	ʊk	2	
影	開	一	東	入	影	通	屋			ʊk	5		ʊk	5		ʊk	5	
影	開	三	東	入	影	通	郁		j	ʊk	5	j	ʊk	5	j	ʊk	5	
以	開	三	東	入	以	通	粥		ts	ʊk	5	ts	ʊk	5	ts	ʊk	5	
以	開	三	東	入	以	通	鬻		j	ʊk	3	j	ʊk	2	j	ʊk	2	
以	開	三	東	入	以	通	育		j	ʊk	3	j	ʊk	2	j	ʊk	2	
以	開	三	東	入	以	通	昱		j	ʊk	5	j	ʊk	5	j	ʊk	5	
幫	開	一	東	入	幫	通	蹼		p	ʊk	3	p	ʊk	2	p	ʊk	2	
幫	開	一	東	入	幫	通	卜		p	ʊk	5	p	ʊk	5	p	ʊk	5	
幫	合	三	東	入	幫	通	腹		h	ʊk	5	h	ʊk	5	h	ʊk	5	
幫	合	三	東	入	幫	通	蝠		h	ʊk	5	h	ʊk	5	h	ʊk	5	
幫	合	三	東	入	幫	通	福		h	ʊk	5	h	ʊk	5	h	ʊk	5	
幫	合	三	東	入	幫	通	幅		h	ʊk	5	h	ʊk	5	h	ʊk	5	
並	開	一	東	入	幫	通	僕		p	ʊk	3	p	ʊk	2	p	ʊk	2	
並	合	三	東	入	幫	通	服		h	ʊk	3	h	ʊk	2	h	ʊk	2	
並	合	三	東	入	幫	通	匐		h	ʊk	3	h	ʊk	2	h	ʊk	2	
並	合	三	東	入	幫	通	馥		h	ʊk	5	h	ʊk	5	h	ʊk	5	
明	開	一	東	入	幫	通	木		m	ʊk	3	m	ʊk	2	m	ʊk	2	
明	開	一	東	入	幫	通	沐		m	ʊk	3	m	ʊk	2	m	ʊk	2	
明	合	三	東	入	幫	通	睦		m	ʊk	3	m	ʊk	2	m	ʊk	2	
明	合	三	東	入	幫	通	穆		m	ʊk	3	m	ʊk	2	m	ʊk	2	
明	合	三	東	入	幫	通	目		m	ʊk	3	m	ʊk	2	m	ʊk	2	
明	合	三	東	入	幫	通	牧		m	ʊk	3	m	ʊk	2	m	ʊk	2	
滂	開	一	東	入	幫	通	撲		pʰ	ɔk	3	pʰ	ɔk	2	pʰ	ɔk	5	
							撲		p	ʊk	3	p	ʊk	2	p	ʊk	2	撲鷄盲
端	合	一	冬	平	端	通	冬		t	ʊŋ	55	t	ʊŋ	45	t	ʊŋ	55	
定	合	一	冬	平	端	通	疼		tʰ	ɐŋ	51	tʰ	ɐŋ	51	tʰ	ɐŋ	51	
定	合	一	冬	平	端	通	疼											
定	合	一	冬	平	端	通	彤		tʰ	ʊŋ	51	tʰ	ʊŋ	51	tʰ	ʊŋ	51	
定	合	一	冬	平	端	通	鼕		tʰ	ʊŋ	51	tʰ	ʊŋ	51	tʰ	ʊŋ	51	
泥	合	一	冬	平	端	通	農		n	ʊŋ	51	n	ʊŋ	51	n	ʊŋ	51	
泥	合	一	冬	平	端	通	膿		n	ʊŋ	51	n	ʊŋ	51	n	ʊŋ	51	
精	合	一	冬	平	精	通	宗		ts	ʊŋ	55	ts	ʊŋ	45	ts	ʊŋ	55	
從	合	一	冬	平	精	通	淙		ts	ʊŋ	55	ts	ʊŋ	45	ts	ʊŋ	55	
從	合	一	冬	平	精	通	鬃		ts	ʊŋ	55	ts	ʊŋ	45	ts	ʊŋ	55	
心	合	一	冬	平	精	通	鬆		s	ʊŋ	55	s	ʊŋ	45	s	ʊŋ	55	
透	合	一	冬	去	端	通	統		tʰ	ʊŋ	213	tʰ	ʊŋ	21	tʰ	ʊŋ	21	
精	合	一	冬	去	精	通	綜		ts	ʊŋ	55	ts	ʊŋ	45	ts	ʊŋ	55	
心	合	一	冬	去	精	通	宋		s	ʊŋ	33	s	ʊŋ	33	s	ʊŋ	22	
端	合	一	冬	入	端	通	篤		t	ʊk	5	t	ʊk	5	t	ʊk	5	
端	合	一	冬	入	端	通	督		t	ʊk	5	t	ʊk	5	t	ʊk	5	
定	合	一	冬	入	端	通	毒		t	ʊk	3	t	ʊk	2	t	ʊk	2	
泥	合	一	冬	入	端	通	褥		j	ʊk	3	j	ʊk	2	j	ʊk	2	
溪	合	一	冬	入	見	通	酷		h	ʊk	3	h	ʊk	2	h	ʊk	2	
							酷		k	ʊk	5							
影	合	一	冬	入	影	通	沃		j	ʊk	5	j	ʊk	5	j	ʊk	5	
娘	開	三	鍾	平	知	通	濃		n	ʊŋ	51	n	ʊŋ	51	n	ʊŋ	51	
來	開	三	鍾	平	來	通	龍		l	ʊŋ	51	l	ʊŋ	51	l	ʊŋ	51	
精	開	三	鍾	平	精	通	縱											
精	開	三	鍾	去	精	通	縱		ts	ʊŋ	33	ts	ʊŋ	33	ts	ʊŋ	22	
精	開	三	鍾	平	精	通	蹤		ts	ʊŋ	55	ts	ʊŋ	45	ts	ʊŋ	55	
精	開	三	鍾	平	精	通	樅		ts	ʊŋ	55	ts	ʊŋ	45	ts	ʊŋ	55	
從	開	三	鍾	平	精	通	從		tsʰ	ʊŋ	51	tsʰ	ʊŋ	51	tsʰ	ʊŋ	51	跟從
清	開	三	鍾	平	精	通	從		tsʰ	ʊŋ	55	tsʰ	ʊŋ	45	tsʰ	ʊŋ	55	從容
從	開	三	鍾	平	精	通	從											
邪	開	三	鍾	平	精	通	松		tsʰ	ʊŋ	51	tsʰ	ʊŋ	51	tsʰ	ʊŋ	51	
邪	開	三	鍾	平	精	通	訟		ts	ʊŋ	33	ts	ʊŋ	33	ts	ʊŋ	22	
澄	開	三	鍾	平	知	通	重		tsʰ	ʊŋ	51	tsʰ	ʊŋ	51	tsʰ	ʊŋ	51	重新
澄	開	三	鍾	上	知	通	重		tsʰ	ʊŋ	213	tsʰ	ʊŋ	21	tsʰ	ʊŋ	21	重量
澄	開	三	鍾	去	知	通	重		ts	ʊŋ	33	ts	ʊŋ	33	ts	ʊŋ	22	重要
章	開	三	鍾	平	章	通	鐘		ts	ʊŋ	55	ts	ʊŋ	45	ts	ʊŋ	55	
章	開	三	鍾	平	章	通	忪		ts	ʊŋ	55	ts	ʊŋ	45	ts	ʊŋ	55	怔忪
							忪		s	ʊŋ	55	s	ʊŋ	45	s	ʊŋ	55	惺忪
章	開	三	鍾	平	章	通	鍾		ts	ʊŋ	55	ts	ʊŋ	45	ts	ʊŋ	55	
昌	開	三	鍾	平	章	通	憧		tsʰ	ʊŋ	55	tsʰ	ʊŋ	45	tsʰ	ʊŋ	55	
昌	開	三	鍾	平	章	通	衝		tsʰ	ʊŋ	55	tsʰ	ʊŋ	45	tsʰ	ʊŋ	55	
							衝											
書	開	三	鍾	平	章	通	舂		ts	ʊŋ	55	ts	ʊŋ	45	ts	ʊŋ	55	
日	開	三	鍾	平	日	通	茸		j	ʊŋ	51	j	ʊŋ	51	j	ʊŋ	51	
見	開	三	鍾	平	見	通	共		k	ʊŋ	33	k	ʊŋ	33	k	ʊŋ	22	
見	開	三	鍾	平	見	通	恭		k	ʊŋ	55	k	ʊŋ	45	k	ʊŋ	55	
見	開	三	鍾	平	見	通	供		k	ʊŋ	55	k	ʊŋ	45	k	ʊŋ	55	提供
見	開	三	鍾	去	見	通	供		k	ʊŋ	33	k	ʊŋ	33	k	ʊŋ	22	供奉
曉	開	三	鍾	平	影	通	凶		h	ʊŋ	55	h	ʊŋ	45	h	ʊŋ	55	
曉	開	三	鍾	平	影	通	洶		h	ʊŋ	55	h	ʊŋ	45	h	ʊŋ	55	
曉	開	三	鍾	平	影	通	兇		h	ʊŋ	55	h	ʊŋ	45	h	ʊŋ	55	
曉	開	三	鍾	平	影	通	匈		h	ʊŋ	55	h	ʊŋ	45	h	ʊŋ	55	
影	開	三	鍾	平	影	通	雍		j	ʊŋ	55	j	ʊŋ	45	j	ʊŋ	55	
以	開	三	鍾	平	以	通	蓉		j	ʊŋ	51	j	ʊŋ	51	j	ʊŋ	51	
以	開	三	鍾	平	以	通	溶		j	ʊŋ	51	j	ʊŋ	51	j	ʊŋ	51	
以	開	三	鍾	平	以	通	容		j	ʊŋ	51	j	ʊŋ	51	j	ʊŋ	51	
以	開	三	鍾	平	以	通	傭		j	ʊŋ	51	j	ʊŋ	51	j	ʊŋ	51	
以	開	三	鍾	平	以	通	鎔		j	ʊŋ	51	j	ʊŋ	51	j	ʊŋ	51	
以	開	三	鍾	平	以	通	頌		ts	ʊŋ	33	ts	ʊŋ	33	ts	ʊŋ	22	
以	開	三	鍾	平	以	通	庸		j	ʊŋ	51	j	ʊŋ	51	j	ʊŋ	51	
幫	合	三	鍾	平	幫	通	封		h	ʊŋ	55	h	ʊŋ	45	h	ʊŋ	55	
並	合	三	鍾	平	幫	通	逢		h	ʊŋ	51	h	ʊŋ	51	h	ʊŋ	51	
並	合	三	鍾	平	幫	通	縫		h	ʊŋ	51	h	ʊŋ	51	h	ʊŋ	51	裁縫
並	合	三	鍾	去	幫	通	縫		h	ʊŋ	33	h	ʊŋ	33	h	ʊŋ	22	裂縫
滂	合	三	鍾	平	幫	通	鋒		h	ʊŋ	55	h	ʊŋ	45	h	ʊŋ	55	
滂	合	三	鍾	平	幫	通	烽		h	ʊŋ	55	h	ʊŋ	45	h	ʊŋ	55	
滂	合	三	鍾	平	幫	通	丰		h	ʊŋ	55	h	ʊŋ	45	h	ʊŋ	55	
來	開	三	鍾	上	來	通	隴		l	ʊŋ	213	l	ʊŋ	21	l	ʊŋ	21	
心	開	三	鍾	上	精	通	聳		s	ʊŋ	213	s	ʊŋ	21	s	ʊŋ	21	
心	開	三	鍾	上	精	通	悚		s	ʊŋ	213	s	ʊŋ	21	s	ʊŋ	21	
心	開	三	鍾	上	精	通	慫		s	ʊŋ	213	s	ʊŋ	21	s	ʊŋ	21	
知	開	三	鍾	上	知	通	冢		tsʰ	ʊŋ	213	tsʰ	ʊŋ	21	tsʰ	ʊŋ	21	
知	開	三	鍾	上	知	通	塚		tsʰ	ʊŋ	213	tsʰ	ʊŋ	21	tsʰ	ʊŋ	21	
徹	開	三	鍾	上	知	通	寵		tsʰ	ʊŋ	213	tsʰ	ʊŋ	21	tsʰ	ʊŋ	21	
							寵		ts	ʊŋ	33							
章	開	三	鍾	上	章	通	踵		ts	ʊŋ	213	ts	ʊŋ	21	ts	ʊŋ	21	
章	開	三	鍾	上	章	通	腫		ts	ʊŋ	213	ts	ʊŋ	21	ts	ʊŋ	21	
章	開	三	鍾	上	章	通	種		ts	ʊŋ	213	ts	ʊŋ	21	ts	ʊŋ	21	種子
章	開	三	鍾	去	章	通	種		ts	ʊŋ	33	ts	ʊŋ	33	ts	ʊŋ	22	種植
見	開	三	鍾	上	見	通	鞏		k	ʊŋ	213	k	ʊŋ	21	k	ʊŋ	21	
見	開	三	鍾	上	見	通	拱		k	ʊŋ	213	k	ʊŋ	21	k	ʊŋ	21	
溪	開	三	鍾	上	見	通	恐		kʰ	ʊŋ	213	kʰ	ʊŋ	21	kʰ	ʊŋ	21	
影	開	三	鍾	上	影	通	擁		j	ʊŋ	213	j	ʊŋ	21	j	ʊŋ	21	
以	開	三	鍾	上	以	通	恿		j	ʊŋ	213	j	ʊŋ	21	j	ʊŋ	21	
以	開	三	鍾	上	以	通	蛹		j	ʊŋ	213	j	ʊŋ	21	j	ʊŋ	21	
以	開	三	鍾	上	以	通	勇		j	ʊŋ	213	j	ʊŋ	21	j	ʊŋ	21	
並	合	三	鍾	上	幫	通	奉		h	ʊŋ	33	h	ʊŋ	33	h	ʊŋ	22	
滂	合	三	鍾	上	幫	通	捧		p	ʊŋ	213	p	ʊŋ	21	p	ʊŋ	21	
邪	開	三	鍾	去	精	通	誦		ts	ʊŋ	33	ts	ʊŋ	33	ts	ʊŋ	22	
以	開	三	鍾	去	以	通	用		j	ʊŋ	33	j	ʊŋ	33	j	ʊŋ	22	
來	開	三	鍾	入	來	通	綠		l	ʊk	3	l	ʊk	2	l	ʊk	2	
來	開	三	鍾	入	來	通	錄		l	ʊk	3	l	ʊk	2	l	ʊk	2	
清	開	三	鍾	入	精	通	促		tsʰ	ʊk	5	tsʰ	ʊk	5	tsʰ	ʊk	5	
心	開	三	鍾	入	精	通	粟		s	ʊk	5	s	ʊk	5	s	ʊk	5	
邪	開	三	鍾	入	精	通	續		ts	ʊk	3	ts	ʊk	2	ts	ʊk	2	
邪	開	三	鍾	入	精	通	俗		s	ʊk	3	s	ʊk	2	s	ʊk	2	
章	開	三	鍾	入	章	通	燭		ts	ʊk	5	ts	ʊk	5	ts	ʊk	5	
章	開	三	鍾	入	章	通	囑		ts	ʊk	5	ts	ʊk	5	ts	ʊk	5	
