"單字"	"聲母_定"	"介母_定"	"韻母_定"	"聲調_定"	"備註"	"聲母_定"	"介母_定"	"韻母_定"	"聲調_定"
"幣"	"b"	""	"ai"	"6"	""	"p"	""	"ɐi"	"32"
"斃"	"b"	""	"ai"	"6"	""	"p"	""	"ɐi"	"32"
"跛"	"b"	""	"ai"	"2"	"跛腳"	"p"	""	"ɐi"	"45"
"白"	"b"	""	"ak"	"6"	""	"p"	""	"ɐk"	"32"
"百"	"b"	""	"ak"	"2"	"百厭"	"p"	""	"ɐk"	"45"
"百"	"b"	""	"ak"	"1"	"一百"	"p"	""	"ɐk"	"23"
"佰"	"b"	""	"ak"	"1"	""	"p"	""	"ɐk"	"23"
"北"	"b"	""	"ak"	"2"	""	"p"	""	"ɐk"	"45"
"伯"	"b"	""	"ak"	"1"	"伯爺"	"p"	""	"ɐk"	"23"
"伯"	"b"	""	"ak"	"6"	"伯公"	"p"	""	"ɐk"	"32"
"伯"	"b"	""	"ak"	"4"	"阿伯"	"p"	""	"ɐk"	"21"
"帛"	"b"	""	"ak"	"6"	""	"p"	""	"ɐk"	"32"
"蔔"	"b"	""	"ak"	"6"	""	"p"	""	"ɐk"	"32"
"卜"	"b"	""	"ak"	"6"	"萝卜"	"p"	""	"ɐk"	"32"
"乓"	"b"	""	"am"	"1"	""	"p"	""	"ɐm"	"23"
"奔"	"b"	""	"an"	"1"	""	"p"	""	"ɐn"	"23"
"笨"	"b"	""	"an"	"6"	""	"p"	""	"ɐn"	"32"
"彬"	"b"	""	"an"	"1"	""	"p"	""	"ɐn"	"23"
"賓"	"b"	""	"an"	"1"	""	"p"	""	"ɐn"	"23"
"濱"	"b"	""	"an"	"1"	""	"p"	""	"ɐn"	"23"
"檳"	"b"	""	"an"	"1"	""	"p"	""	"ɐn"	"23"
"繽"	"b"	""	"an"	"1"	""	"p"	""	"ɐn"	"23"
"臏"	"b"	""	"an"	"1"	""	"p"	""	"ɐn"	"23"
"鬢"	"b"	""	"an"	"1"	""	"p"	""	"ɐn"	"23"
"鬢"	"b"	""	"an"	"6"	""	"p"	""	"ɐn"	"32"
"稟"	"b"	""	"an"	"2"	""	"p"	""	"ɐn"	"45"
"品"	"b"	""	"an"	"2"	""	"p"	""	"ɐn"	"45"
"崩"	"b"	""	"ang"	"1"	""	"p"	""	"ɐŋ"	"23"
"繃"	"b"	""	"ang"	"1"	"繃帶"	"p"	""	"ɐŋ"	"23"
"蹦"	"b"	""	"ang"	"2"	""	"p"	""	"ɐŋ"	"45"
"拔"	"b"	""	"at"	"6"	""	"p"	""	"ɐt"	"32"
"跋"	"b"	""	"at"	"6"	""	"p"	""	"ɐt"	"32"
"筆"	"b"	""	"at"	"2"	""	"p"	""	"ɐt"	"45"
"畢"	"b"	""	"at"	"2"	""	"p"	""	"ɐt"	"45"
"嗶"	"b"	""	"at"	"2"	""	"p"	""	"ɐt"	"45"
"不"	"b"	""	"at"	"2"	""	"p"	""	"ɐt"	"45"
"啤"	"b"	""	"e"	"1"	""	"p"	""	"ɛ"	"23"
"陂"	"b"	""	"ei"	"4"	""	"p"	""	"ei"	"21"
"卑"	"b"	""	"ei"	"1"	""	"p"	""	"ei"	"23"
"悲"	"b"	""	"ei"	"1"	""	"p"	""	"ei"	"23"
"碑"	"b"	""	"ei"	"1"	""	"p"	""	"ei"	"23"
"被"	"b"	""	"ei"	"6"	"被動"	"p"	""	"ei"	"32"
"備"	"b"	""	"ei"	"6"	""	"p"	""	"ei"	"32"
"憊"	"b"	""	"ei"	"6"	""	"p"	""	"ei"	"32"
"鼻"	"b"	""	"ei"	"6"	""	"p"	""	"ei"	"32"
"比"	"b"	""	"ei"	"2"	"比較"	"p"	""	"ei"	"45"
"妣"	"b"	""	"ei"	"2"	""	"p"	""	"ei"	"45"
"彼"	"b"	""	"ei"	"2"	""	"p"	""	"ei"	"45"
"庇"	"b"	""	"ei"	"1"	""	"p"	""	"ei"	"23"
"痺"	"b"	""	"ei"	"1"	""	"p"	""	"ei"	"23"
"避"	"b"	""	"ei"	"6"	""	"p"	""	"ei"	"32"
"臂"	"b"	""	"ei"	"1"	""	"p"	""	"ei"	"23"
"泌"	"b"	""	"ei"	"1"	""	"p"	""	"ei"	"23"
"祕"	"b"	""	"ei"	"1"	""	"p"	""	"ei"	"23"
"秘"	"b"	""	"ei"	"1"	""	"p"	""	"ei"	"23"
"畀"	"b"	""	"ei"	"2"	""	"p"	""	"ei"	"45"
"柄"	"b"	"i"	"iang"	"1"	""	"p"	"i"	"iɐŋ"	"23"
"餅"	"b"	"i"	"iang"	"2"	""	"p"	"i"	"iɐŋ"	"45"
"病"	"b"	"i"	"iang"	"6"	""	"p"	"i"	"iɐŋ"	"32"
"逼"	"b"	""	"ik"	"1"	""	"p"	""	"ɪk"	"23"
"碧"	"b"	""	"ik"	"1"	""	"p"	""	"ɪk"	"23"
"壁"	"b"	""	"ik"	"1"	""	"p"	""	"ɪk"	"23"
"璧"	"b"	""	"ik"	"1"	""	"p"	""	"ɪk"	"23"
"迫"	"b"	""	"ik"	"1"	""	"p"	""	"ɪk"	"23"
"鞭"	"b"	""	"in"	"1"	""	"p"	""	"in"	"23"
"邊"	"b"	""	"in"	"4"	"邊址"	"p"	""	"in"	"21"
"邊"	"b"	""	"in"	"1"	""	"p"	""	"in"	"23"
"扁"	"b"	""	"in"	"2"	"扁平"	"p"	""	"in"	"45"
"匾"	"b"	""	"in"	"2"	""	"p"	""	"in"	"45"
"貶"	"b"	""	"in"	"2"	""	"p"	""	"in"	"45"
"汴"	"b"	""	"in"	"6"	""	"p"	""	"in"	"32"
"便"	"b"	""	"in"	"6"	"便利"	"p"	""	"in"	"32"
"辨"	"b"	""	"in"	"6"	""	"p"	""	"in"	"32"
"辮"	"b"	""	"in"	"1"	""	"p"	""	"in"	"23"
"辯"	"b"	""	"in"	"6"	""	"p"	""	"in"	"32"
"變"	"b"	""	"in"	"1"	""	"p"	""	"in"	"23"
"迸"	"b"	""	"ing"	"6"	""	"p"	""	"ɪŋ"	"32"
"冰"	"b"	""	"ing"	"1"	""	"p"	""	"ɪŋ"	"23"
"兵"	"b"	""	"ing"	"1"	""	"p"	""	"ɪŋ"	"23"
"丙"	"b"	""	"ing"	"2"	""	"p"	""	"ɪŋ"	"45"
"秉"	"b"	""	"ing"	"2"	""	"p"	""	"ɪŋ"	"45"
"柄"	"b"	""	"ing"	"2"	"文讀"	"p"	""	"ɪŋ"	"45"
"炳"	"b"	""	"ing"	"2"	""	"p"	""	"ɪŋ"	"45"
"并"	"b"	""	"ing"	"6"	""	"p"	""	"ɪŋ"	"32"
"並"	"b"	""	"ing"	"6"	""	"p"	""	"ɪŋ"	"32"
"摒"	"b"	""	"ing"	"2"	""	"p"	""	"ɪŋ"	"45"
"乒"	"b"	""	"ing"	"1"	""	"p"	""	"ɪŋ"	"23"
"屏"	"b"	""	"ing"	"2"	"屏除"	"p"	""	"ɪŋ"	"45"
"必"	"b"	""	"it"	"2"	""	"p"	""	"it"	"45"
"別"	"b"	""	"it"	"6"	""	"p"	""	"it"	"32"
"癟"	"b"	""	"it"	"6"	""	"p"	""	"it"	"32"
"彆"	"b"	""	"it"	"1"	""	"p"	""	"it"	"23"
"彪"	"b"	""	"iu"	"1"	""	"p"	""	"iu"	"23"
"標"	"b"	""	"iu"	"1"	""	"p"	""	"iu"	"23"
"飆"	"b"	""	"iu"	"1"	""	"p"	""	"iu"	"23"
"鑣"	"b"	""	"iu"	"1"	""	"p"	""	"iu"	"23"
"表"	"b"	""	"iu"	"2"	""	"p"	""	"iu"	"45"
"錶"	"b"	""	"iu"	"2"	""	"p"	""	"iu"	"45"
"錶"	"b"	""	"iu"	"1"	""	"p"	""	"iu"	"23"
"波"	"b"	""	"o"	"1"	""	"p"	""	"ɔ"	"23"
"玻"	"b"	""	"o"	"1"	""	"p"	""	"ɔ"	"23"
"菠"	"b"	""	"o"	"1"	""	"p"	""	"ɔ"	"23"
"菠"	"b"	""	"o"	"2"	""	"p"	""	"ɔ"	"45"
"播"	"b"	""	"o"	"1"	""	"p"	""	"ɔ"	"23"
"簸"	"b"	""	"o"	"1"	""	"p"	""	"ɔ"	"23"
"坡"	"b"	""	"o"	"1"	""	"p"	""	"ɔ"	"23"
"雹"	"b"	""	"ok"	"6"	""	"p"	""	"ɔk"	"32"
"薄"	"b"	""	"ok"	"6"	""	"p"	""	"ɔk"	"32"
"博"	"b"	""	"ok"	"1"	""	"p"	""	"ɔk"	"23"
"博"	"b"	""	"ok"	"2"	""	"p"	""	"ɔk"	"45"
"搏"	"b"	""	"ok"	"1"	""	"p"	""	"ɔk"	"23"
"駁"	"b"	""	"ok"	"1"	""	"p"	""	"ɔk"	"23"
"箔"	"b"	""	"ok"	"6"	""	"p"	""	"ɔk"	"32"
"膊"	"b"	""	"ok"	"1"	""	"p"	""	"ɔk"	"23"
"礴"	"b"	""	"ok"	"6"	""	"p"	""	"ɔk"	"32"
"卜"	"b"	""	"ok"	"2"	""	"p"	""	"ɔk"	"45"
"縛"	"b"	""	"ok"	"1"	""	"p"	""	"ɔk"	"23"
"泊"	"b"	""	"ok"	"6"	""	"p"	""	"ɔk"	"32"
"魄"	"b"	""	"ok"	"6"	"旁魄"	"p"	""	"ɔk"	"32"
"邦"	"b"	""	"ong"	"1"	""	"p"	""	"ɔŋ"	"23"
"幫"	"b"	""	"ong"	"1"	""	"p"	""	"ɔŋ"	"23"
"綁"	"b"	""	"ong"	"2"	""	"p"	""	"ɔŋ"	"45"
"榜"	"b"	""	"ong"	"2"	""	"p"	""	"ɔŋ"	"45"
"膀"	"b"	""	"ong"	"2"	"肩膀"	"p"	""	"ɔŋ"	"45"
"傍"	"b"	""	"ong"	"6"	"依山傍水"	"p"	""	"ɔŋ"	"32"
"傍"	"b"	""	"ong"	"6"	"傍晚"	"p"	""	"ɔŋ"	"32"
"磅"	"b"	""	"ong"	"6"	"一磅"	"p"	""	"ɔŋ"	"32"
"煲"	"b"	""	"ou"	"1"	""	"p"	""	"ou"	"23"
"褒"	"b"	""	"ou"	"1"	""	"p"	""	"ou"	"23"
"保"	"b"	""	"ou"	"2"	""	"p"	""	"ou"	"45"
"葆"	"b"	""	"ou"	"2"	""	"p"	""	"ou"	"45"
"堡"	"b"	""	"ou"	"2"	""	"p"	""	"ou"	"45"
"褓"	"b"	""	"ou"	"2"	""	"p"	""	"ou"	"45"
"寶"	"b"	""	"ou"	"2"	""	"p"	""	"ou"	"45"
"報"	"b"	""	"ou"	"1"	""	"p"	""	"ou"	"23"
"暴"	"b"	""	"ou"	"6"	"凶暴"	"p"	""	"ou"	"32"
"捕"	"b"	""	"ou"	"6"	""	"p"	""	"ou"	"32"
"哺"	"b"	""	"ou"	"6"	""	"p"	""	"ou"	"32"
"補"	"b"	""	"ou"	"2"	""	"p"	""	"ou"	"45"
"布"	"b"	""	"ou"	"1"	""	"p"	""	"ou"	"23"
"步"	"b"	""	"ou"	"6"	""	"p"	""	"ou"	"32"
"佈"	"b"	""	"ou"	"1"	""	"p"	""	"ou"	"23"
"怖"	"b"	""	"ou"	"1"	""	"p"	""	"ou"	"23"
"部"	"b"	""	"ou"	"6"	""	"p"	""	"ou"	"32"
"埠"	"b"	""	"ou"	"6"	"埠頭"	"p"	""	"ou"	"32"
"簿"	"b"	""	"ou"	"6"	""	"p"	""	"ou"	"32"
"埔"	"b"	""	"ou"	"1"	""	"p"	""	"ou"	"23"
"杯"	"b"	""	"ui"	"1"	""	"p"	""	"ui"	"23"
"盃"	"b"	""	"ui"	"1"	""	"p"	""	"ui"	"23"
"貝"	"b"	""	"ui"	"1"	""	"p"	""	"ui"	"23"
"背"	"b"	""	"ui"	"6"	"背書"	"p"	""	"ui"	"32"
"背"	"b"	""	"ui"	"1"	"背後"	"p"	""	"ui"	"23"
"狽"	"b"	""	"ui"	"1"	""	"p"	""	"ui"	"23"
"悖"	"b"	""	"ui"	"1"	""	"p"	""	"ui"	"23"
"悖"	"b"	""	"ui"	"6"	""	"p"	""	"ui"	"32"
"焙"	"b"	""	"ui"	"6"	""	"p"	""	"ui"	"32"
"輩"	"b"	""	"ui"	"1"	""	"p"	""	"ui"	"23"
"暴"	"b"	""	"uk"	"6"	"一暴十寒"	"p"	""	"ʊk"	"32"
"卜"	"b"	""	"uk"	"2"	""	"p"	""	"ʊk"	"45"
"僕"	"b"	""	"uk"	"6"	""	"p"	""	"ʊk"	"32"
"蹼"	"b"	""	"uk"	"6"	""	"p"	""	"ʊk"	"32"
"瀑"	"b"	""	"uk"	"6"	""	"p"	""	"ʊk"	"32"
"曝"	"b"	""	"uk"	"6"	""	"p"	""	"ʊk"	"32"
"仆"	"b"	""	"uk"	"6"	""	"p"	""	"ʊk"	"32"
"般"	"b"	""	"un"	"1"	""	"p"	""	"un"	"23"
"搬"	"b"	""	"un"	"1"	""	"p"	""	"un"	"23"
"半"	"b"	""	"un"	"1"	""	"p"	""	"un"	"23"
"伴"	"b"	""	"un"	"6"	""	"p"	""	"un"	"32"
"拌"	"b"	""	"un"	"6"	""	"p"	""	"un"	"32"
"絆"	"b"	""	"un"	"6"	""	"p"	""	"un"	"32"
"本"	"b"	""	"un"	"2"	""	"p"	""	"un"	"45"
"畚"	"b"	""	"un"	"2"	""	"p"	""	"un"	"45"
"叛"	"b"	""	"un"	"6"	""	"p"	""	"un"	"32"
"畔"	"b"	""	"un"	"6"	""	"p"	""	"un"	"32"
"胖"	"b"	""	"un"	"6"	"肥胖"	"p"	""	"un"	"32"
"肨"	"b"	""	"un"	"6"	""	"p"	""	"un"	"32"
"缽"	"b"	""	"ut"	"6"	""	"p"	""	"ut"	"32"
"撥"	"b"	""	"ut"	"6"	""	"p"	""	"ut"	"32"
"勃"	"b"	""	"ut"	"6"	""	"p"	""	"ut"	"32"
"脖"	"b"	""	"ut"	"6"	""	"p"	""	"ut"	"32"
"渤"	"b"	""	"ut"	"6"	""	"p"	""	"ut"	"32"
"砵"	"b"	""	"ut"	"6"	""	"p"	""	"ut"	"32"
"鉢"	"b"	""	"ut"	"6"	""	"p"	""	"ut"	"32"
"缽"	"b"	""	"ut"	"6"	""	"p"	""	"ut"	"32"
"叉"	"c"	""	"aa"	"1"	""	"ʦh"	""	"a"	"23"
"茶"	"c"	""	"aa"	"4"	""	"ʦh"	""	"a"	"21"
"查"	"c"	""	"aa"	"4"	"檢查"	"ʦh"	""	"a"	"21"
"槎"	"c"	""	"aa"	"4"	""	"ʦh"	""	"a"	"21"
"奼"	"c"	""	"aa"	"1"	""	"ʦh"	""	"a"	"23"
"岔"	"c"	""	"aa"	"1"	""	"ʦh"	""	"a"	"23"
"差"	"c"	""	"aa"	"1"	"差別"	"ʦh"	""	"a"	"23"
"詫"	"c"	""	"aa"	"1"	""	"ʦh"	""	"a"	"23"
"猜"	"c"	""	"aai"	"2"	""	"ʦh"	""	"ai"	"45"
"踩"	"c"	""	"aai"	"2"	""	"ʦh"	""	"ai"	"45"
"差"	"c"	""	"aai"	"1"	"出差"	"ʦh"	""	"ai"	"23"
"柴"	"c"	""	"aai"	"4"	""	"ʦh"	""	"ai"	"21"
"參"	"c"	""	"aam"	"1"	"參加"	"ʦh"	""	"am"	"23"
"慚"	"c"	""	"aam"	"4"	""	"ʦh"	""	"am"	"21"
"蠶"	"c"	""	"aam"	"4"	""	"ʦh"	""	"am"	"21"
"慘"	"c"	""	"aam"	"2"	""	"ʦh"	""	"am"	"45"
"摻"	"c"	""	"aam"	"1"	""	"ʦh"	""	"am"	"23"
"攙"	"c"	""	"aam"	"1"	""	"ʦh"	""	"am"	"23"
"饞"	"c"	""	"aam"	"4"	""	"ʦh"	""	"am"	"21"
"杉"	"c"	""	"aam"	"1"	""	"ʦh"	""	"am"	"23"
"巉"	"c"	""	"aam"	"4"	""	"ʦh"	""	"am"	"21"
"餐"	"c"	""	"aan"	"1"	""	"ʦh"	""	"an"	"23"
"殘"	"c"	""	"aan"	"4"	""	"ʦh"	""	"an"	"21"
"璨"	"c"	""	"aan"	"1"	""	"ʦh"	""	"an"	"23"
"燦"	"c"	""	"aan"	"1"	""	"ʦh"	""	"an"	"23"
"產"	"c"	""	"aan"	"2"	""	"ʦh"	""	"an"	"45"
"剷"	"c"	""	"aan"	"2"	""	"ʦh"	""	"an"	"45"
"鏟"	"c"	""	"aan"	"2"	""	"ʦh"	""	"an"	"45"
"插"	"c"	""	"aap"	"1"	""	"ʦh"	""	"ap"	"23"
"擦"	"c"	""	"aat"	"1"	""	"ʦh"	""	"at"	"23"
"察"	"c"	""	"aat"	"1"	""	"ʦh"	""	"at"	"23"
"刷"	"c"	""	"aat"	"1"	""	"ʦh"	""	"at"	"23"
"刷"	"c"	""	"aat"	"4"	""	"ʦh"	""	"at"	"21"
"獺"	"c"	""	"aat"	"1"	""	"ʦh"	""	"at"	"23"
"抄"	"c"	""	"aau"	"1"	""	"ʦh"	""	"au"	"23"
"抄"	"c"	""	"aau"	"2"	""	"ʦh"	""	"au"	"45"
"鈔"	"c"	""	"aau"	"2"	""	"ʦh"	""	"au"	"45"
"巢"	"c"	""	"aau"	"4"	""	"ʦh"	""	"au"	"21"
"吵"	"c"	""	"aau"	"2"	""	"ʦh"	""	"au"	"45"
"炒"	"c"	""	"aau"	"2"	""	"ʦh"	""	"au"	"45"
"沏"	"c"	""	"ai"	"1"	""	"ʦh"	""	"ɐi"	"23"
"妻"	"c"	""	"ai"	"1"	""	"ʦh"	""	"ɐi"	"23"
"萋"	"c"	""	"ai"	"1"	""	"ʦh"	""	"ɐi"	"23"
"淒"	"c"	""	"ai"	"1"	""	"ʦh"	""	"ɐi"	"23"
"悽"	"c"	""	"ai"	"1"	""	"ʦh"	""	"ɐi"	"23"
"棲"	"c"	""	"ai"	"1"	""	"ʦh"	""	"ɐi"	"23"
"齊"	"c"	""	"ai"	"4"	"整齊"	"ʦh"	""	"ɐi"	"21"
"砌"	"c"	""	"ai"	"1"	""	"ʦh"	""	"ɐi"	"23"
"切"	"c"	""	"ai"	"1"	"一切"	"ʦh"	""	"ɐi"	"23"
"隋"	"c"	""	"ai"	"4"	"又音"	"ʦh"	""	"ɐi"	"21"
"隨"	"c"	""	"ai"	"4"	"又音"	"ʦh"	""	"ɐi"	"21"
"冊"	"c"	""	"ak"	"1"	""	"ʦh"	""	"ɐk"	"23"
"策"	"c"	""	"ak"	"1"	""	"ʦh"	""	"ɐk"	"23"
"測"	"c"	""	"ak"	"1"	""	"ʦh"	""	"ɐk"	"23"
"惻"	"c"	""	"ak"	"1"	""	"ʦh"	""	"ɐk"	"23"
"拆"	"c"	""	"ak"	"1"	""	"ʦh"	""	"ɐk"	"23"
"坼"	"c"	""	"ak"	"1"	""	"ʦh"	""	"ɐk"	"23"
"賊"	"c"	""	"ak"	"1"	"文讀"	"ʦh"	""	"ɐk"	"23"
"賊"	"c"	""	"ak"	"4"	"白讀"	"ʦh"	""	"ɐk"	"21"
"吒"	"c"	""	"ak"	"2"	"叱吒"	"ʦh"	""	"ɐk"	"45"
"柵"	"c"	""	"ak"	"1"	"木柵"	"ʦh"	""	"ɐk"	"23"
"參"	"c"	""	"am"	"1"	"參差"	"ʦh"	""	"ɐm"	"23"
"沉"	"c"	""	"am"	"4"	""	"ʦh"	""	"ɐm"	"21"
"侵"	"c"	""	"am"	"1"	""	"ʦh"	""	"ɐm"	"23"
"寢"	"c"	""	"am"	"2"	""	"ʦh"	""	"ɐm"	"45"
"尋"	"c"	""	"am"	"4"	""	"ʦh"	""	"ɐm"	"21"
"瞋"	"c"	""	"an"	"1"	""	"ʦh"	""	"ɐn"	"23"
"陳"	"c"	""	"an"	"4"	""	"ʦh"	""	"ɐn"	"21"
"塵"	"c"	""	"an"	"4"	""	"ʦh"	""	"ɐn"	"21"
"趁"	"c"	""	"an"	"1"	""	"ʦh"	""	"ɐn"	"23"
"襯"	"c"	""	"an"	"1"	""	"ʦh"	""	"ɐn"	"23"
"春"	"c"	""	"an"	"1"	""	"ʦh"	""	"ɐn"	"23"
"鶉"	"c"	""	"an"	"1"	"鵪鶉"	"ʦh"	""	"ɐn"	"23"
"蠢"	"c"	""	"an"	"2"	""	"ʦh"	""	"ɐn"	"45"
"村"	"c"	""	"an"	"4"	""	"ʦh"	""	"ɐn"	"21"
"秦"	"c"	""	"an"	"4"	""	"ʦh"	""	"ɐn"	"21"
"親"	"c"	""	"an"	"1"	"親人"	"ʦh"	""	"ɐn"	"23"
"親"	"c"	""	"an"	"1"	"親家"	"ʦh"	""	"ɐn"	"23"
"旬"	"c"	""	"an"	"4"	""	"ʦh"	""	"ɐn"	"21"
"巡"	"c"	""	"an"	"4"	""	"ʦh"	""	"ɐn"	"21"
"循"	"c"	""	"an"	"4"	""	"ʦh"	""	"ɐn"	"21"
"疹"	"c"	""	"an"	"2"	""	"ʦh"	""	"ɐn"	"45"
"診"	"c"	""	"an"	"2"	""	"ʦh"	""	"ɐn"	"45"
"曾"	"c"	""	"ang"	"4"	"曾經"	"ʦh"	""	"ɐŋ"	"21"
"層"	"c"	""	"ang"	"4"	""	"ʦh"	""	"ɐŋ"	"21"
"撐"	"c"	""	"ang"	"1"	""	"ʦh"	""	"ɐŋ"	"23"
"瞠"	"c"	""	"ang"	"1"	""	"ʦh"	""	"ɐŋ"	"23"
"橙"	"c"	""	"ang"	"4"	""	"ʦh"	""	"ɐŋ"	"21"
"鐺"	"c"	""	"ang"	"1"	"瓦鐺"	"ʦh"	""	"ɐŋ"	"23"
"鐺"	"c"	""	"ang"	"4"	"又音"	"ʦh"	""	"ɐŋ"	"21"
"鎗"	"c"	""	"ang"	"1"	""	"ʦh"	""	"ɐŋ"	"23"
"鋥"	"c"	""	"ang"	"1"	""	"ʦh"	""	"ɐŋ"	"23"
"牚"	"c"	""	"ang"	"1"	""	"ʦh"	""	"ɐŋ"	"23"
"緝"	"c"	""	"ap"	"2"	""	"ʦh"	""	"ɐp"	"45"
"輯"	"c"	""	"ap"	"2"	""	"ʦh"	""	"ɐp"	"45"
"出"	"c"	""	"at"	"2"	""	"ʦh"	""	"ɐt"	"45"
"齣"	"c"	""	"at"	"2"	""	"ʦh"	""	"ɐt"	"45"
"七"	"c"	""	"at"	"2"	""	"ʦh"	""	"ɐt"	"45"
"柒"	"c"	""	"at"	"2"	""	"ʦh"	""	"ɐt"	"45"
"漆"	"c"	""	"at"	"2"	""	"ʦh"	""	"ɐt"	"45"
"猝"	"c"	""	"at"	"2"	""	"ʦh"	""	"ɐt"	"45"
"抽"	"c"	""	"au"	"1"	""	"ʦh"	""	"ɐu"	"23"
"惆"	"c"	""	"au"	"4"	""	"ʦh"	""	"ɐu"	"21"
"酬"	"c"	""	"au"	"4"	""	"ʦh"	""	"ɐu"	"21"
"稠"	"c"	""	"au"	"4"	""	"ʦh"	""	"ɐu"	"21"
"綢"	"c"	""	"au"	"4"	""	"ʦh"	""	"ɐu"	"21"
"疇"	"c"	""	"au"	"4"	""	"ʦh"	""	"ɐu"	"21"
"籌"	"c"	""	"au"	"4"	""	"ʦh"	""	"ɐu"	"21"
"躊"	"c"	""	"au"	"4"	""	"ʦh"	""	"ɐu"	"21"
"丑"	"c"	""	"au"	"2"	""	"ʦh"	""	"ɐu"	"45"
"醜"	"c"	""	"au"	"2"	""	"ʦh"	""	"ɐu"	"45"
"臭"	"c"	""	"au"	"1"	""	"ʦh"	""	"ɐu"	"23"
"湊"	"c"	""	"au"	"1"	""	"ʦh"	""	"ɐu"	"23"
"秋"	"c"	""	"au"	"1"	""	"ʦh"	""	"ɐu"	"23"
"鰍"	"c"	""	"au"	"1"	""	"ʦh"	""	"ɐu"	"23"
"囚"	"c"	""	"au"	"4"	""	"ʦh"	""	"ɐu"	"21"
