#参考资料	《江苏句容方言音韵研究》
#调值	 [1] 平声31 [1b] 变调平13 [3] 上声213 [5] 去声44 [7] 入声5

#ɿ
s	 [1] 森参{人~}深孙-僧升胜生甥甥声 [3] 神沈婶绳省盛-{₁~饭}城-{₁}辰-{₁}晨-{₁} [5] 葚甚渗肾慎胜剩=圣盛{~开}
z	 [1] 扔= [1b] 仁仍 [3] 人=忍 [5] 任={姓}任{~性}纫刃认=
k	 [1] 今-跟根更{~新}羹耕庚 [3] 梗耿哽 [5] 更{~加}
kʰ	 [1] 坑 [3] 肯恳请垦
x	 [1b] 	恒 [3] 很痕横{~竖} [5] 恨横{蛮~}
∅	 [1] 恩 [5] 硬

#in	
p	 [1] 宾滨冰兵 [3] 丙秉瓶-饼屏平-坪-评- [5] 殡鬓病并
pʰ	 [1] 乒拼 [3] 瓶-平-坪-凭评-凭品贫贫 [5] 聘
m	 [1b] 	鸣铭 [3] 明=悯敏皿名 [5] 命
t	 [1] 丁钉叮锭 [3] 停-蜓-亭-顶鼎 [5] 订定
tʰ	 [1] 厅听 [3] 停=蜓=亭=婷挺庭
tɕ	 [1] 今=金禁津巾斤筋茎京惊鲸精品睛经 [3] 锦紧谨井颈仅景警 [5] 浸禁进晋劲近敬竞镜净
tɕʰ	 [1] 侵钦亲卿清轻青 [1b] 禽擒秦 [3] 勤晴寝琴芹请情 [5] 亲庆静寻-
ɕ	 [1] 心辛新薪欣兴星腥 [1b] 刑行{品~} [3] 行{答应别人}省行{~为}醒形 [5] 信尽兴杏幸姓性
ȵ	 [1] 拎人-扔- [1b] 凝宁 [3] 林鳞菱邻灵零领 [5] 认-吝令另任-{姓}
∅	 [1] 音阴因姻殷应蝇莺樱鹦英婴 [1b] 吟淫 [3] 迎饮银引隐影赢盈 [5] 荫印硬映

#an	
p	 [1] 班=斑=颁={₂}扳=搬={₂}般= [3] 板=版= [5] 拌={₂}件={₂}扮={₂}瓣=半=
pʰ	 [1] 攀 [3] 盘 [5] 盼=判=叛=绊={₂}
m	 [1] 蛮= [3] 满=馒=瞒={₂}螨 [5] 蔓鳗慢={₂}漫=
f	 [1] 帆=翻=番= [1b] 凡=樊繁 [3] 烦=反=返= [5] 犯=范=泛=饭=贩=
ʋ	 [1] 弯=湾= [3] 挽碗={₂}豌={₂}丸={₂}晚={₂}玩=顽= [5] 腕=万=
t	 [1] 耽=担=丹=单= [3] 胆=掸= [5] 担=淡=旦=但=弹={子~}蛋=诞=
tʰ	 [1] 贪=滩=摊=坍= [1b] 檀 [3] 潭=谭=坛=谈=弹={₂~琴}痰={₂}毯=坦= [5] 探=叹=炭=
n	 [3] 南={₂}男={₂}难={~看} [5] 难={遭~}
l	 [1b] 	兰= [3] 拦=榄揽懒=篮=蓝= [5] 滥=烂=
ts	 [1] 瞻簪=斩=沾=粘=占={~卜} [3] 盏=展=攒 [5] 占=蘸=站=赞=绽=栈=战=暂=
tsʰ	 [1] 参={~加}搀=餐=掺= [1b] 蝉禅 [3] 惭=惨=残=铲=产=馋=缠=蚕=谗= [5] 灿=颤=
s	 [1] 三=衫=杉=珊=山=删=栅 [3] 散={鞋带~了}闪=伞= [5] 散={聚~}善=扇={₂}膳禅
z	 [3] 然=燃=染=
k	 [1] 杆=甘=柑=泔=尴=干={₂~净}肝=竿=间= [3] 感=敢=橄 [5] 干={~活}
kʰ	 [1] 铅= [3] 砍=坎=侃崁 [5] 看={₂}
x	 [3] 喊=罕=咸=寒=韩=含= [5] 旱汉汗={₂}焊=
∅	 [1] 庵=安= [3] 眼=颜= [5] 暗=案=按岸=

#uan
t	 [1] 端= [3] 短= [5] 锻断={₂}
tʰ	 [3] 团=
l	 [3] 卵暖= [5] 乱
ts	 [1] 专=砖={₂} [3] 转={~眼} [5] 篆撰=转={₂~圆圈}传={~记}赚=
tsʰ	 [1] 川穿={₂} [3] 传={~给}船喘= [5] 窜串={₂}篡={₂}
s	 [1] 闩酸={₂} [5] 涮蒜={₂}算={₂}
z	 [3] 软=
k	 [1] 官=棺=观=关= [3] 管=馆= [5] 灌={₂}罐={₂}冠={₂}惯=
kʰ	 [1] 宽={₂} [3] 款=
x	 [1] 欢={₂} [3] 缓还={~给} [5] 唤宦换={₂}幻={₂}患={₂}

#uən
t	 [1] 敦
tʰ	 [1b] 豚 [3] 臀
l	 [1] 抡 [3] 伦轮= [5] 论=
ts	 [1] 尊遵 [3] 准
tsʰ	 [1] 村=椿春 [3] 纯存=蠢唇={₂}
s	 [1] 孙= [3] 损笋 [5] 顺
z	 [5] 润闰
k	 [3] 滚 [5] 棍
kʰ	 [1] 昆坤 [3] 捆 [5] 困
x	 [1] 昏婚荤 [3] 魂浑 [5] 混

#yn	
tɕ	 [1] 胗-均君军裙-群-唇- [5] 俊菌郡
tɕʰ	 [3] 裙=群=唇-
ɕ	 [1] 熏薰 [1b] 旬巡循 [3] 寻= [5] 迅殉训讯逊汛殉
∅	 [1] 晕 [3] 匀允云 [5] 韵运晕熨孕

#aŋ	
p	 [1] 帮邦 [3] 绑榜螃 [5] 诽傍棒蚌
pʰ	 [1] □{浮出水面} [3] 螃=旁 [5] 胖
m	 [1b] 芒茫盲 [3] 忙蟒莽 [5] 望-忘-
f	 [1] 方芳 [3] 肪房防纺仿访 [5] 放
ʋ	 [1] 汪 [3] 黄-王往网亡枉 [5] 旺安望=忘=
t	 [1] 当裆铛 [3] 堂-糖-塘-党挡 [5] 荡宕砀档
tʰ	 [1] 汤 [1b] 螳唐 [3] 堂=糖=塘=躺=溏 [5] 烫=趟
n	 [3] 囊馕
l	 [1] 狼□{推} [1b] 郎 [3] 瓤-榔螂廊朗 [5] 浪
ts	 [1] 彰张=章=樟= [3] 长={~高}掌=涨 [5] 藏{西~}葬=障=瘴账=胀=帐=丈=
tsʰ	 [1] 娼仓=苍昌= [1b] 嫦 [3] 长={太~了}常尝敞偿肠=藏={隐~}场=厂= [5] 唱=倡=畅=
s	 [1] 桑=丧=商=伤=裳= [3] 赏= [5] 上=尚=
z	 [1] 嚷 [3] 瓤=壤 [5] 让
k	 [1] 刚纲缸江-豇钢 [3] 岗讲港 [5] 杠
kʰ	 [1] 康糠 [3] 扛 [5] 抗囥{藏起来}
x	 [1] 夯 [1b] 航 [3] 行{~列}杭 [5] 巷-{₂}项-{₂}上-{₂}
∅	 [3] 昂

#iaŋ	
