字	塘村	注釋
午	u35	陰上
誤	u51	
呼	fu24	
虎	fu35	
湖	fu21	
狐	fu21	
壺	fu21	
鬍	u21	
互	/	
烏	/	
惡	ŋo51	
女	lu35	陰上
驢	lu21	
蛆	tɕʰy24	
豬	tsu24	
除	tɕʰy21	
苧	tsʰu35	陰上
箸	/	
阻	/	
初	tsʰu24	
楚	tsʰu35	~公圩
鋤	tsʰu21	
助	tsu51	
梳	su24	
所	so35	
諸	tɕʰy35	
煮	tsu35	
杵	tɕʰy35	
書	su13	
舒	su13	
鼠	ɕy35	
薯	ɕy21	紅~
如	y21	
車	tɕy24	~馬炮
舉	tɕy35	
鋸	tɕy51	~子
鋸	kɛ51	~樹
墟	ɕy13	
去	xɛ31	陽上
魚	ən31	陽上
虛	ɕy13	
許	ɕy35	
夫	/	
斧	fu35	
傅	fu51	
敷	fu13	
符	fu21	
扶	fu21	
腐	fu31	陽上
巫	u21	
武	u51	去聲，或借官
舞	u51	去聲，或借官
霧	u51	
取	tɕʰi35	
趣	tɕʰi51	
須	ɕi24	
續	su21	借官
廚	tɕʰy24	
柱	tsʰu31	陽上
住	tsʰu51	
數	su35	~數
數	su51	數~
主	tsu35	
輸	ɕy24	~錢
豎	ɕy35	陰上，或借官
樹	su51	
矩	tɕy35	
句	tɕy51	
雨	u35	
羽	/	
芋	u51	
貝	pei51	
戴	tai51	
帶	tai51	
胎	tʰai24	
太	tʰai51	
台	tai21	
抬	to21	
待	tai35	陰上
代	tai51	
袋	to51	
耐	nai51	
奈	nai51	
來	lai21	
賴	lie51	
癩	lie51	
災	tsai21	
栽	tso24	
宰	tsai35	
再	tsai51	
猜	tsʰai51	去聲
彩	tsʰai35	
菜	tsʰo51	
才	tsai21	
財	tsʰai21	
裁	tsai21	
在	tsʰai	陽上
在	tsʰai	實~
腮	sai24	
鰓	so24	
該	kai24	
改	kai35	
蓋	ko51	
開	xo24	
咳	kʰɛ51	
礙	ŋai51	
艾	ŋai51	
海	xai35	
害	xai51	
愛	o51	
拜	pai51	
排	pie21	
埋	mai21	
齋	tɕie24	
豺	tsʰai21	
階	kɛ24	
稭	kəu24	
界	kɛ51	
戒	kɛ51	
擺	pie35	
派	pʰai51	
牌	pie13	
稗	pai51	
買	mie31	陽上
賣	mie51	
奶	lai21	
差	/	出~
篩	ɕie24	
灑	sa51	去聲
曬	ɕie51	
街	kɛ24	
解	kɛ35	
鞋	xɛ21	
矮	ie51	去聲
隘	ie51	
敗	pie51	
厲	li51	
祭	tɕi51	
世	sɿ51	
藝	ȵi31	
蓖	pʰi31	
閉	/	
批	pʰi24	
迷	mi21	
米	mi31	陽上
謎	mi21	
低	ti24	
底	ti35	
帝	ti51	
梯	tʰi24	
體	tʰi35	
替	tʰi51	
涕	ȵiɛ21	
剃	tʰi51	
題	tʰi21	
提	te21	
蹄	ti21	
弟	ti35	陰上
第	ti51	
泥	ni21	
犁	li21	
禮	li31	陽上
擠	tɕi35	
砌	tsʰɿ51	
齊	tɕi21	
臍	/	
薺	tsʰɿ31	
西	ɕi24	
洗	ɕi35	
細	ɕi51	
雞	tɕi24	
繼	tɕi51	
系	/	
髻	/	
杯	pei24	
輩	pei51	
背	pei51	~脊
坯	pʰei24	
配	pʰei51	
陪	pei21	
賠	pei21	
背	/	~誦
媒	mei21	
每	mei35	~人
妹	mei51	
堆	tei24	
對	tei51	
碓	tei51	
推	tʰei24	
腿	tʰei35	
退	tʰei51	
隊	/	
內	ȵiɛ35	
雷	lei21	
催	tsʰuei55	
罪	tsʰuei35	陰上
碎	tsʰuei51	
塊	kʰue51	
灰	xuei24	
悔	xuei35	
回	tsuei21	聲母存疑
煨	uei24	
蛻	tʰei51	
兌	tei51	
最	tsuei51	
外	uai51	
會	xuei51	~不~
乖	kue35	
怪	kai51	
懷	xuai21	
壞	xue51	
掛	kua51	
卦	kua51	
畫	xua51	
快	kʰue51	
筷	kʰue51	
歪	ue24	
話	xua51	說~
脆	/	
歲	ɕi51	
稅	ɕy51	
鱖	/	
廢	fi51	
肺	fi51	
桂	/	
碑	pei24	
彼	pi35	
臂	pi51	
披	pʰi24	
皮	pʰi21	
脾	pi21	
被	/	~子
婢	pi31	陽上
被	/	~打
避	pi21	陽平
離	li21	
紫	tsɿ35	
刺	tsɿ	原書聲調漏標
斯	/	
撕	/	
知	tɕi24	
池	tsʰɿ21	
支	tɕi24	
枝	tɕi24	
桅	/	
紙	tsɿ35	
只	tsɿ35	~有
舐	tiɛ31	陽上
翅	tsɿ31	陽上
匙	ɕi21	
是	ɕi31	陽上
豉	sɿ51	
寄	tɕi51	
奇	tɕʰi21	
騎	tɕʰi21	
徛	tɕʰi31	
宜	nin21	便~
蟻	ni51	去聲
義	ni51	
戲	tɕi51	演~
戲	/	~臺
椅	i35	
移	i21	
易	i51	容~
比	pi35	
秕	pʰi35	
屁	pʰi51	
枇	pʰi21	
鼻	pi51	
篦	pi51	~子
眉	mi21	
地	ti51	
尼	ni21	
膩	ni51	
梨	li21	
利	li35	
痢	/	
姿	/	
姊	tsɿ35	
次	tsʰɿ53	調存疑
瓷	tsʰɿ21	
餈	tsʰɿ21	
自	tsɿ51	
私	sɿ24	
死	sɿ35	
四	sɿ51	
遲	tsʰɿ21	
師	sɿ24	
獅	sɿ24	
脂	tɕi24	
指	tsɿ35	
屍	sɿ24	
屎	sɿ24	
飢	/	
器	tsʰɿ51	
祁	tɕʰi21	~陽
姨	i21	
你	ȵi31	陽上
貍	li21	
李	li21	陽平，存疑
里	li21	陽平，存疑，公~
里	li21	陽平，~外
理	li21	陽平
子	tsɿ353	
梓	/	
字	tsʰɿ51	
司	/	
絲	sɿ24	
思	/	
祠	tsʰɿ21	
似	tsʰɿ31	
伺	sɿ51	
寺	tsʰɿ51	
置	/	
治	/	
柿	pi31	疑訓讀
事	sɿ51	
趾	tsɿ35	
痣	tsɿ51	
齒	tsʰɿ35	
詩	sɿ24	
始	sɿ35	
試	sɿ51	
時	sɿ21	
耳	ɛ31	陽上
基	tɕi24	
記	tɕi51	
欺	tɕʰiom24	訓讀
起	tɕʰi35	
棋	tɕʰi21	
旗	tɕʰi21	
疑	ȵi21	
喜	ɕi35	
意	i51	
以	i35	陰上
幾	tɕi35	~個
氣	tɕʰi51	
汽	tɕʰi51	
稀	ɕi24	
衣	i24	
依	i24	
嘴	tɕi35	
髓	sən35	
隨	suei21	
吹	tɕʰy24	
睡	ɕie21	陽平，調存疑
規	kuei24	
虧	kʰuei24	
跪	tɕʰy31	
爲	uei21	
淚	/	
醉	tɕi51	
穗	sei51	
追	kuei24	
槌	tɕʰy21	
錘	tɕʰy21	
錐	tɕy24	
水	ɕy35	
龜	kuei31	陽上，調存疑
季	tɕi51	
葵	kʰuei21	借官
櫃	tɕy	
位	uei51	
飛	fi24	
痱	pi24	
費	fi51	
肥	fi21	~肉
尾	mie31	陽上
味	y51	
歸	tɕiau51	疑訓讀
鬼	tɕy35	
貴	tɕy51	
揮	pʰin51	訓讀
威	/	
圍	uei21	
保	pau51	
堡	pau51	
寶	pəu51	
報	pəu51	
袍	mau21	
抱	pau35	陰上
菢	pu51	
毛	məu21	
帽	məu51	
刀	təu24	
倒	təu35	打~
到	təu51	
倒	təu35	~水
掏	/	
討	tʰəu35	
套	tʰəu51	
桃	təu21	
逃	təu21	
淘	təu21	
道	tʰəu21	
盜	təu51	
腦	nəu31	陽上
惱	nau31	陽上
勞	ləu21	
撈	ləu21	
牢	lau21	
老	ləu31	
糟	tsəu24	
早	tsəu35	
棗	tsəu35	
蚤	tsəu35	
躁	tsʰəu31	
灶	tsəu51	
草	tsʰəu35	
糙	tsʰəu51	
槽	tsəu21	
皂	tsʰəu31	陽上
臊	səu24	
掃	səu51	陰去，~地
嫂	səu35	
掃	səu51	陰去，~地
高	kəu24	
膏	kəu24	
篙	xau24	
羔	kəu24	
告	kəu51	
考	kʰau35	
烤	kʰau35	
靠	kʰəu51	
蒿	xəu24	
薅	xəu24	
好	xəu35	~壞
好	xəu35	喜~
毫	/	
號	xəu51	
包	pau24	
胞	pau24	
飽	pau51	
豹	pau51	
泡	pʰau51	水~
拋	pʰau24	
炮	pʰau51	
泡	pʰau51	~水
跑	/	
刨		
茅	mau21	
貓	mau21	陽平
貌	mau51	
鬧	nau51	
罩	tsau51	
抓	/	
爪	tsau21	
抄	tsʰau24	
炒	tsʰau35	
吵	tsʰau35	
潲	sau51	
交	kau24	
教	kau51	~書
絞	kau35	
攪	kau35	
搞	kau35	
窖	kau51	
覺	kau51	
敲	kʰau51	去聲
巧	tɕʰiau35	
咬	ŋau31	陽上
孝	xau51	
校	/	
坳	au51	
膘	piəu55	
標	piəu24	
表	piəu35	
錶	piəu35	
飄	pʰiəu24	
票	pʰiəu51	
漂	pʰiəu51	~亮
瓢	piəu21	
苗	miəu21	
廟	miəu51	
焦	tɕiəu24	
蕉	tɕiəu24	
椒	tɕie24	
繰	tɕʰiəu51	
樵	tɕiəu21	
消	ɕiau24	
宵	ɕiau24	
硝	ɕiau24	
銷	ɕiau24	
小	ɕiəu35	
笑	ɕiəu51	
超	tɕʰiau21	去聲
朝	tɕʰiəu13	~代
兆	tɕiəu24	
招	tɕiəu24	
照	tɕiəu51	
燒	ɕiəu24	
少	səu35	多~
嬌	tɕiəu24	
橋	tɕʰiəu21	
蕎	tɕʰiəu22	
轎	kʰɛ51	
妖	iəu24	
腰	iəu24	
要	/	~求
要	iəu51	想~
搖	iəu21	
窯	iəu21	
搲	ye31	陽上
刁	tiəu24	
雕	tiəu24	
鳥	tie35	
釣	tiəu51	
挑	tʰiəu35	
跳	tʰiəu51	
條	tiəu21	
調	tiəu21	~羹
掉	tʰiəu35	陰上
調	tiəu51	~動
尿	niəu51	
了	liəu31	陽上，~不起
料	liəu51	
叫	au35	訓讀
竅	tɕʰiau51	
曉	ɕiəu35	
畝	mu31	陽上
兜	/	
斗	tau35	
抖	tau35	
陡	tau35	
鬥	tau51	
偷	tʰau24	
敨	tʰau35	
透	tʰəu51	
頭	tau21	
投	tau21	
豆	tie51	
逗	tau24	陰平
樓	lau21	
漏	lau51	
走	tsau35	
湊	tsʰau51	
嗽	sau51	
勾	kau24	
鉤	kau24	
溝	kau24	
狗	kau35	
彀	kau51	
夠	kau51	
摳	kʰau24	
口	kʰau35	
叩	kʰau35	
扣	kʰau51	
藕	au31	陽上
喉	xau21	
猴	xau21	
後	xau51	去聲
厚	/	
後	xau51	去聲，~代
候	xau51	
嘔	au51	
漚	au51	
慪	au51	
副	fu51	
浮	fəu21	
婦	fu31	陽上
扭	niəu31	陽上
流	liəu21	
劉	liəu21	
留	liəu21	
榴	liəu21	
硫	liəu21	
柳	liəu31	陽上
溜	liəu31	陽上
酒	tɕiəu35	
秋	tɕʰiəu24	
就	tɕʰiəu51	
修	ɕiəu24	
秀	ɕiəu51	
繡	ɕiəu51	
鏽	ɕiəu51	
袖	ɕiəu51	
肘	tɕiəu35	
晝	tau51	
抽	tɕʰiəu24	
丑	tɕʰiəu35	~角
綢	tɕʰiəu21	
皺	tsau51	
縐	tsau51	
搊	tsʰau24	
愁	tsʰəu21	
搜	sau24	
餿	sau24	
瘦	sau51	
漱	sau51	
周	tɕiəu24	
州	tɕiəu24	
洲	/	
醜	tɕʰiəu35	
臭	tɕʰiəu51	
收	ɕiəu24	
手	ɕiəu35	
守	ɕiəu35	
仇	tɕʰiəu21	
受	ɕiəu31	陽上
壽	ɕiəu51	
鳩	kɛ33	存疑
九	tɕiəu35	
久	tɕiəu35	
韭	tɕiəu35	
灸	tɕiəu35	
救	tɕiəu51	
求	tɕʰiəu21	
球	tɕʰiəu21	
舅	tɕʰiəu31	陽上
舊	/	
牛	niəu21	
休	/	
嗅	ɕyn35	
憂	/	
有	xau31	陽上
友	iəu31	陽上
又	iəu51	
右	iəu51	
佑	iəu51	
油	iəu21	
游	/	
丟	xɛ51	訓讀
耽	tom24	
答	tɛ21	
搭	tɛ21	
貪	tʰom24	
探	tʰom51	
踏	tɛ21	
潭	tom21	
沓	tʰɛ21	
南	nom21	
男	nom21	
納	na21	
拉	/	
簪	/	
慘	/	
雑	tsa21	
合	xɛ21	
鴿	ko21	借官
砍	tɕʰie24	
喝	/	
含	xaŋ21	
合	xɛ21	~起來
盒	xɛ21	
庵	om24	
暗	om51	
擔	tom24	~任
膽	tom35	
擔	tom51	挑~
毯	tʰom35	
塔	tʰɛ21	
塌	tʰɛ21	
談	tom21	
淡	tom21	陽平
藍	lom21	
臘	lɛ21	
蠟	lɛ21	
慚	/	
三	sa24	
甘	kom24	
柑	kom24	
敢	kom35	
賺	tɕʰye51	
眨	tsɛ21	
插	tsʰɛ21	
炸（煠）	tsʰɛ21	
杉	sa24	
甲	/	
嵌	kʰei51	
岩	/	
鴨	a51	
押	a51	
壓	a51	
鐮	lei21	
尖	tsei24	
接	tɕie21	
簽	sei24	
沾	kei51	存疑，~光
占	/	~卜
佔	kei51	存疑
折	tɕie21	~疊
閃	kei51	
染	lai31	陽上
鉗	kʰei21	
淹	/	
閹	ei24	
厭	xei21	嫌訓讀
鹽	ei21	
閻	ei21	
檐	ei21	
葉	ie51	
欠	kʰei51	
業	nie21	借官
醃	ei24	
腌	ei24	
點	tei35	
店	/	
跌	tie21	
添	tʰei24	
舔	lɛ21	訓讀
㮇	to21	
帖	tʰie21	
貼	tʰie21	
甜	tei21	
鲇	/	
念	nei51	
挾	kei21	
嫌	xei21	
法	fɛ21	
凡	fie21	
犯	fie31	
品	pʰin51	去聲，或借官
淋	tɕʰye51	訓讀
笠	/	
粒	la21	
心	ɕin24	
尋	tɕʰin21	
浸	tɕin51	
習	ɕie21	
沉	tɕʰin21	
蟄	tɕʰie21	驚~
參	ɕie24	人~
澀	sɛ21	
針	tɕin24	
斟	/	
枕	tɕin35	
汁	tɕie21	
深	ɕin24	
濕	ɕie21	
十	ɕie21	
入	iau51	
今	tɕin24	
金	tɕin24	
急	tɕie21	
給	om35	訓讀
琴	tɕʰin21	
及	tɕʰie31	
音	in24	
陰	in24	
單	tom24	
旦	/	
灘	tʰom24	
攤	tʰom24	
坦	tʰom35	
炭	tʰom51	
歎	tʰom51	
彈	tom21	~琴
彈	/	子~
難	nom21	~易
攔	lom21	
欄	lom21	
懶	nom31	陽上
爛	lie51	
辣	la21	
癩	lie51	
餐	tsʰom24	
擦	tsʰa21	
散	som35	~開
傘	som35	
散	som51	分~
薩	sa21	
肝	kom24	
乾	kom24	~濕
桿	kom35	
趕	kuei35	
稈	kom35	
割	kɛ21	
看	/	
岸	om51	
鼾	/	
漢	xom21	
寒	xom21	
旱	xom51	
汗	xom21	出~
安	om24	
按	/	
案	om51	
扮	piɛ51	
八	pɛ21	
抹	ma21	
盞	tɕie35	
鏟	tɕʰie35	
山	ɕie24	
產	/	
殺	sɛ21	
間	kɛ24	
眼	nie31	陽上
莧	/	
軋	ŋɛ21	
班	pie24	
扳	pie24	
板	piɛ35	
蠻	miɛ21	
慢	miɛ51	
顏	ŋaŋ21	
瞎	xɛ21	
鞭	piɛ24	
變	pei51	
鱉	piɛ21	
篇	/	
偏	pʰei24	~心
騙	pʰei55	
便	pei21	~宜
便	pei51	方~
棉	mei21	
面	mei51	
連	lei21	
裂	/	
煎	tsei24	
箭	ʦuei51	
淺	tsʰuei35	
錢	tsʰei21	
賤	tsʰei51	
仙	sei24	
鮮	sei24	
癬	sei35	
線	sei51	
蜇	tsom51	訓讀，~人
纏	kʰuei21	疑訓讀
戰	/	
折	tɕie21	
舌	ɕie51	
扇	sei51	
燃	nei21	
熱	ie51	
孽	nie21	
揭	tɕie21	
邊	pei24	
扁	pei35	
匾	/	
憋	pi31	
片	pei21	
撇	/	
辮	pin35	
麵	mei51	~粉
蔑	mie21	
天	tʰei24	
鐵	tʰie31	
田	tei21	
電	tei51	
佃	/	
墊	tei51	
年	nei21	
撚	nei31	陽上
憐	lei21	
蓮	lei21	
楝	li51	苦~樹
節	tɕie21	
千	tsʰei24	
切	tɕʰie21	
前	tɕʰei21	
先	sei24	
肩	kiɛ24	
見	kei21	
結	tɕie21	
牽	xaŋ35	
現	ɕiaŋ31	~飯
煙	ei24	
燕	iaŋ51	
噎	ie21	
般	/	
搬	pom24	
半	pom51	
鉢	pɛ21	
拔	pa21	
拼	pʰin24	
潑	pʰɛ31	
盤	pom21	
伴	pom31	
滿	mom31	
末	miɛ31	
抹	ma31	
端	tom24	~午
短	tom35	
團	tom21	
斷	tom31	
脫	tʰɛ31	
段	tom51	
緞	tom51	
奪	/	
暖	nom33	調值存疑
卵	lom31	陽上
亂	lom51	
捋	lɛ21	
鑽	/	
撮	tɕye31	一~米
酸	som24	
算	som51	
蒜	som51	
官	kom24	
管	kom24	同“官”音
灌	kom51	
罐	kom51	
觀	kom51	寺~
寬	kʰom24	
闊	kʰo21	
玩	/	
歡	xom33	
完	uei21	
丸	uei21	
換	om51	
活	xue21	
豌	uei21	
碗	om35	
挖	uo51	
閂	suaŋ24	
刷	sua24	
關	kue24	
慣	kue51	
颳	kue21	
還	ue21	~錢
還	xai21	借官，~有
彎	ue24	
全	tsʰei21	
泉	tsʰei21	
絕	tɕye21	
選	sei35	
雪	ɕie21	
鏇	tsʰuei51	
轉	tsʰuei51	
傳	tsʰei21	~達
椽	tsʰuei21	
專	tsei24	
磚	tsuei24	
穿	tsʰei24	
串	tsʰuei51	
船	suai21	
軟	uai31	陽上
捲	kuei35	
圈	kʰue24	
拳	kʰue21	
權	kʰuei21	
圓	uei21	
院	uei21	
緣	uei21	
捐	tsei21	
反	fiɛ35	
發	fɛ21	
翻	fiɛ24	
煩	fiɛ21	
飯	fiɛ51	
罰	fɛ21	
襪	ua21	
勸	kʰuei51	
元	uei21	
原	uei21	
願	uei51	
月	ye21	
冤	uei24	
怨	/	
園	uei21	
遠	uei31	陽上
越	ye21	
缺	tɕʰye21	
縣	xuei51	
血	ɕye21	
吞	tʰaŋ24	
跟	kaŋ24	
根	kaŋ25	
很	na51	訓讀
恨	xaŋ51	
恩	ŋən24	
筆	piɛ21	
必	/	
匹	pʰie21	
密	miɛ21	
蜜	miɛ21	
鄰	lin21	
鱗	lin21	
磷	lin21	
栗	li21	
親	tɕʰin24	~戚
親	tɕʰin24	~家
七	tɕʰie21	
漆	tɕʰie21	
盡	tɕʰin24	陰平
辛	ɕin24	
新	ɕin24	
信	ɕin51	
膝	tɕʰie21	
珍	tɕin24	
鎮	tɕin24	
陳	tɕʰin21	
塵	tɕʰin21	
陣	tɕʰin21	
侄	tɕʰie21	
虱	sə21	
真	tcin24	
質	tɕie24	
神	ɕin21	
實	ɕin21	疑誤
身	ɕin24	
伸	ɕin24	
晨	ɕin21	
腎	ɕin35	
人	in21	
仁	in21	
忍	in31	陽上
日	ie21	
巾	tɕin24	
緊	tɕin35	
吉	tɕin35	疑誤
銀	in21	
因	in24	
印	in51	
一	ie21	
斤	tɕin24	
筋	kaŋ24	
勁	tɕin24	借官
芹	tɕʰin21	
近	tɕʰin31	陽上
殷	/	
隱	/	
本	paŋ35	
不	mə21	訓讀
噴	pʰaŋ51	~水
噴	pʰaŋ51	~香
盆	paŋ21	
笨	/	
門	maŋ21	
悶	maŋ51	
沒	mau21	
墩	/	
頓	tən24	借官
褪	tʰei51	
蠢	tən51	
鈍	/	
嫩	nən51	
論	/	議~
尊	tsən21	
村	xu24	訓讀
寸	tsʰən51	
存	tsʰən21	
蹲	tsau35	訓讀
孫	sən24	
滾	kuən51	
棍	kuən51	
骨	kue21	
綑	kʰuən35	
昏	xuən24	
魂	xuən21	
混	xuən51	
溫	uən24	
瘟	ue24	
穩	ue24	
輪	lən21	
筍	sən35	
榫	sən35	
椿	tɕʰyn24	~樹
肫	tɕʰyn24	
準	tɕʰyn51	
春	tɕʰyn24	
蠢	tɕʰyn35	
出	ɕye21	
唇	ɕyn21	
順	ɕyn21	
術	ɕye21	
純	ɕyn21	
閏	yn51	
均	/	
菌	tɕʰyn31	
勻	yn21	
分	faŋ24	
粉	faŋ35	
糞	faŋ51	
墳	faŋ21	
份	faŋ51	
佛	fu21	
文	/	
蚊	maŋ31	
聞	/	
問	maŋ51	
物	ue21	
軍	tɕyn24	
裙	tɕʰyn13	
熏	ɕyn24	
葷	/	
雲	yn21	
運	yn51	
暈	/	
幫	pom24	
榜	pom35	
旁	pom21	
薄	pəu51	
忙	maŋ21	
摸	məu35	
當	tom24	應~
擋	tom35	
當	tom51	~作
湯	tʰom24	
燙	/	
托	tʰə21	
堂	tʰei21	
堂	tom21	
糖	tom21	
塘	tom21	
諾	ia21	
郎	lom21	
狼	laŋ21	借官
浪	/	
落	lau51	
葬	tsom51	
倉	tsʰom24	
錯	tsʰo31	
藏	so51	訓讀，隱~
昨	tsʰɛ31	
桑	som24	
䘮	/	婚~
索	/	繩~
鋼	kom24	
缸	kom24	
各	kʰɛ51	
擱	kɛ21	
糠	xom24	
蠚	/	
行	xom21	銀~
惡	ŋo21	
娘	ȵiom21	
釀	iom51	
良	/	
涼	liom21	
量	liom21	~長短
梁	liom21	
粱	liom21	
糧	liom21	
兩	liom31	陽上，~個
兩	liom31	陽上，兒~
亮	liom51	
輛	liom51	
漿	tɕiom24	
槳	tɕiom35	
醬	tɕiom51	
槍	tɕʰiom24	
搶	tɕʰiom21	
鵲	tɕʰio21	或借官
墻	tɕʰiom21	
匠	tɕʰiom51	
嚼	tɕiəu51	
箱	ɕiom24	
相	ɕiom24	~互
湘	/	
想	ɕiom35	
相	ɕiom51	~貌
削	ɕio21	
詳	ɕiom21	
像	tɕʰiom31	
張	tɕiom24	
長	tɕiom35	~生
漲	tɕiom35	
帳	tɕiom51	
賬	tɕiom51	
脹	tɕiom51	
着	tɕiəu51	~衣
長	tsʰom21	~短
腸	tsʰom21	
丈	tsʰom31	陽上
杖	tsʰom31	
着	tɕiəu51	
裝	tɕiom24	
壯	tɕiom51	
瘡	tsʰom24	
瘡	som24	
床	tsʰom21	
狀	tsʰom51	
霜	som24	
樟	tsom24	
掌	tɕiom35	
菖	/	~蒲
唱	tɕʰiom51	
商	som24	~量
傷	ɕiom24	
賞	ɕiom35	
餉	ɕiom51	
常	/	
嘗	tɕiom21	
裳	/	
上	ɕiom31	~山
尚	som51	和~
上	ɕiom51	~面
勺	ɕio51	
讓	iom51	
薑	tɕiom24	
腳	tɕiəu51	
強	tɕʰiom21	
香	ɕiom24	
鄉	ɕiom24	
享	ɕiom35	
響	ɕiom35	
向	ɕiom51	
秧	iom24	
羊	iom21	
洋	iom21	
楊	iom21	
陽	iom21	
養	iom31	陽上
癢	iom31	陽上
樣	iom51	
藥	io51	
光	kom24	
廣	kʰom35	
郭	ko24	存疑
荒	xom24	
慌	xom24	
黃	xom24	
皇	xom21	
方	̊fom24	
放	om51	
紡	fom35	
房	fom21	
防	fom24	
芒	/	
網	mom31	陽上
枉	uaŋ35	
王	om21	
剝	pau51	
胖	/	
蚌	paŋ31	陽上
雹	pau51	
樁	ɕyn24	
桌	tso51	
啄	/	
撞	tsʰuaŋ51	
濁	tsʰɛ21	
窗	/	
雙	suaŋ24	
江	kom24	
講	/	
虹	xom21	
角	kau51	牛~
腔	/	
確	tɕʰio21	
㩁	tɕʰio	~蒜
殼	xau51	
岳	io21	~丈
夯	/	
巷	xaŋ51	
學	xau51	
崩	paŋ24	
北	pɛ21	
朋	paŋ21	
墨	mɛ21	
默	mɛ21	
燈	taŋ24	
等	taŋ35	
凳	taŋ51	
得	tɛ21	
德	tɛ21	
謄	/	
藤	taŋ21	
鄧	taŋ51	
澄	tɕʰin21	~清
能	laŋ21	
肋	lɛ21	
曾	tsaŋ24	姓
增	tsaŋ24	
層	tsʰaŋ21	
塞	sɛ21	
肯	xaŋ35	
刻	kʰə31	時~
刻	kʰɛ21	用刀~
克	kʰɛ21	
黑	xɛ21	
冰	pin24	
逼	pie21	
菱	lin21	~角
力	lie21	
鯽	tɕie21	
熄	ɕie21	
媳	ɕie21	
瞪	/	
直	tɕie21	
值	tɕi35	
側	/	
色	sɛ21	
蒸	tɕin24	
證	tɕin24	
織	tɕie21	
稱	tɕʰin24	~呼
稱	/	相~
秤	tɕʰin51	
繩	ɕyn21	
塍	in21	
剩	ɕin51	
食	sɛ21	
升	ɕin24	
勝	/	
識	ɕie21	
興	ɕin55	調例外，~旺
興	/	高~
應	in51	~當
應	in51	響~
國	kue51	
百	pa51	
柏	pa51	
伯	pa51	
拍	pʰɛ21	
魄	pʰɛ21	
彭	pom24	
白	pa51	存疑
打	ta35	
冷	lie31	陽上
撐	tɕʰie24	
牚	tɕiom21	
拆	tɕʰia51	
