pi1 碑蓖陂{坡,坝}
kʰɛu2 窍桥乔撬侨荞
kʰɛu3 巧朽
kʰɛu5 轿藠{蔬菜,藠头}
ŋɛu2 □{平面的某一角翘起}
hɛu1 嚣侥浇翘
hɛu2 晓
jɛu1 邀妖腰幺{~二三}
jɛu2 绕姚摇遥瑶谣窑扰尧要□{吵}
jɛu5 耀鹞
ɛu1 吆
ɛu3 舀
pʰam5 □{泥浆}
tam1 耽担{~水}
tam2 担{挑~}
tam3 胆疸
tʰam1 贪
tʰam2 探潭谭
tʰam5 淡
nam1 喃
nam2 男南楠
nam3 腩
lam1 □{跨步}
lam3 览揽榄
lam5 舰滥缆
ɬam1 三
tʃam1 簪{~花}
tʃam2 湛
tʃam3 斩崭
tʃʰam1 渗搀参
tʃʰam2 蚕劖{刺､戳}
tʃʰam3 惨
tʃʰam5 暂站錾{似凿,用来凿断钢筋}
ʃam1 衫
ʃam2 馋
kam1 监{~察}
kam2 鉴
kam3 减
ŋam1 啱{合适}
ŋam2 岩
ham2 咸衔喊
pɐm1 泵
pʰɐm3 品烹
tɐm2 □{无谓地消耗时间}
tɐm3 □{碰上}
tɐm5 凼{水~:水坑}□{到了尽头}
tʰɐm1 □{把竹篓套在一起}
tʰɐm2 □{哄骗}
tʰɐm3 □{小坑}
nɐm1 □{动作迟缓}
nɐm2 □{质地松软}
nɐm3 谂{叨念,想}
nɐm5 腍{软烂}
lɐm1 □{就着瓶口喝酒}
lɐm2 林淋临
lɐm3 檩凛
ɬɐm1 心
ɬɐm3 □{撒粉末}
ɬɐm5 □{憨憨傻傻}
tʃɐm1 针斟砧勘
tʃɐm2 浸
tʃɐm3 枕
tʃɐm5 □{溺水}
tʃʰɐm1 侵
tʃʰɐm2 寻沉浔
tʃʰɐm3 寝
ȵɐm2 淫壬
ȵɐm3 饮□{紧闭双唇嚼物}
ȵɐm5 任纴
ʃɐm1 深森
ʃɐm2 岑蟾
ʃɐm3 沈审婶
ʃɐm5 甚
kɐm1 襟甘柑金今疳
kɐm2 禁
kɐm3 感橄敢
kɐm5 绀{黑~~:很黑}
kʰɐm2 琴禽擒蠄
kʰɐm3 砍
kʰɐm5 妗{舅母}
ŋɐm1 啱{合适,相投}
ŋɐm5 □{小声嘀咕}
hɐm1 钦鑫欣堪
hɐm2 坎含函憾
hɐm3 □{大力气揍人}
hɐm5 陷
jɐm1 音阴
jɐm2 □{感觉不太明显}
ɐm1 庵
ɐm2 暗
ɐm3 揞{捂住}
ɐm5 □{婴儿吃食物}
tim1 掂惦
tim2 店
tim3 点
tim5 □{妥当,常作补语}
tʰim1 添
tʰim2 甜
tʰim5 垫掭{~笔}
nim1 拈
nim2 黏
nim3 捻□{吃得俭省}
nim5 念验
lim1 □{皮壳干透而发脆}
lim2 廉镰簾帘
lim3 敛殓脸
lim5 炼链练
tʃim1 粘瞻尖歼占赡詹
tʃim2 占
tʃim3 辗
tʃʰim1 签迁笺
tʃʰim2 潜挦{~鸡毛:拔鸡毛}
tʃʰim5 渐
ȵim2 严俨
ȵim3 冉染
ʃim3 陕闪
kim1 兼搛
kim2 剑
kim3 检捡
kʰim1 谦
kʰim2 钳黔
kʰim3 舔
kʰim5 俭
him2 欠歉嫌芡
him3 险
jim1 阉
jim2 盐阎
jim3 掩魇淹厣{螺的软盖}
jim5 焰
pan1 班斑颁
pan2 □{长条物倒下}
pan3 扳板版阪
pʰan1 攀
pʰan2 盼
pʰan5 办瓣扮瓣湴{泥泞}
man1 □{手扶着}
man2 蛮顽{~皮}
man3 晚
man5 慢幔曼漫蔓{瓜~}
fan1 翻番
fan2 凡矾繁藩烦帆贩蕃
fan3 反返
fan5 饭泛犯乏幻患宦樊
van1 弯湾
van2 环还
van3 挽
van5 万
tan1 丹单{~独}
tan2 旦诞
tan3 掸{鸡毛~}
tʰan1 滩摊
tʰan2 谈痰叹炭檀坛弹{~琴}
tʰan3 坦毯
tʰan5 蛋但弹{子~}
nan2 男楠南难{不容易}
nan5 难{患~}
lan1 栏{猪~}
lan2 兰拦蓝栏{~目}
lan3 懒
lan5 烂
ɬan2 伞散{分~}
ɬan3 散{鞋带~}
tʃan2 赞灒撰
tʃan3 盏攒{积~}绽{破绽}
tʃʰan1 餐
tʃʰan2 残灿惭忏谗
tʃʰan3 产铲
tʃʰan5 赚栈溅
ʃan1 山膻闩拴删珊羶
ʃan2 汕疝漦{口水,黏液}
kan1 奸艰间
kan2 间谏涧
kan3 茧趼笕锏简苋拣柬碱
kʰan1 刊
ŋan2 颜癌
ŋan3 眼
ŋan5 雁
han1 悭{节省}
han2 闲娴蚶酣
kvan1 关鳏{~寡}
kvan2 惯
an2 晏{晚}
pɐn1 冰兵斌宾滨彬奔缤锛
pɐn2 并併並柄迸槟殡鬓
pɐn3 丙秉饼炳
pɐn5 笨
pʰɐn2 平评坪姘拼瓶屏萍贫嫔频喷苹
pʰɐn3 聘品{又读}
pʰɐn5 病
mɐn1 炆缗{一元钱}
mɐn2 名铭蚊文明鸣冥闻螟纹暝瞑
mɐn3 吻刎
mɐn5 问命璺
fɐn1 兄分芬婚纷昏勋氛荤熏吩薰
fɐn2 训坟粪焚豮
fɐn3 粉
fɐn5 奋愤忿份
vɐn1 温瘟伝
vɐn2 云雲耘
vɐn3 稳酝
vɐn5 运韵晕熨馄
tɐn1 丁钉疔敦
tɐn2 订顿{又读}
tɐn3 顶鼎盾
tɐn5 顿炖钝遁沌
tʰɐn1 听厅汀吞
tʰɐn2 亭停廷庭蜓铤
tʰɐn3 挺
tʰɐn5 定锭定淀靛
nɐn1 您{你们}
nɐn2 宁凝
nɐn3 拧笭{鱼篓}
nɐn5 佞
lɐn1 □{重提旧事}
lɐn2 灵零铃伶拎翎琳邻玲楞棱鳞磷伦轮陵凌棱龄麟绫仑
lɐn3 领岭漤
lɐn5 另令吝
ɬɐn1 星腥猩辛新薪
ɬɐn2 性姓信讯荀巡鉎{锈}
ɬɐn3 醒笋榫
ɬɐn5 □{块茎食物水份大而脆}
tʃɐn1 真贞侦征精晶津睛珍蒸惩臻徵{征求}正{正月}
tʃɐn2 正政进晋镇俊振震证症骏濬圳
tʃɐn3 井整诊疹拯准
tʃɐn5 □{不懂事理,话很多}
tʃʰɐn1 青蜻清亲春椿鹑抻□{怎,哪}
tʃʰɐn2 情程陈尘沉趁衬臣秦晴秤澄橙
tʃʰɐn3 请苘蠢
tʃʰɐn5 净静尽阵郑靖
ȵɐn2 人仁
ȵɐn3 忍
ȵɐn5 孕润闰认刃韧
ʃɐn1 声升申身伸娠呻绅
ʃɐn2 成圣城诚胜乘晨神唇绳辰承丞呈塍
ʃɐn5 盛肾剩慎顺舜
kɐn1 经斤巾跟根惊筋京荆
kɐn2 径敬竟镜劲
kɐn3 颈锦紧谨景境警
kʰɐn1 倾
kʰɐn2 勤芹琼鲸
kʰɐn3 顷
kʰɐn5 近
ŋɐn1 奀{细小}
ŋɐn2 银仍扔迎龈
hɐn1 轻兴{兴旺}
hɐn2 磬馨痕庆杏兴{高兴}
hɐn3 很恳垦
hɐn5 恨限旱
kvɐn1 均钧君军
kvɐn2 棍謴{哄骗}
kvɐn3 滚
kvɐn5 □{在土里乱拱}
kʰvɐn1 昆崑坤
kʰvɐn2 群困裙睏窘
kʰvɐn3 菌捆混
kʰvɐn5 郡
jɐn2 赢蝇型形刑寅匀盈营茔
jɐn3 颖瘾隐引允尹蚓
ɐn1 婴缨英因恩姻殷鹰鹦莺樱罂
ɐn2 应印
ɐn3 影映
pin1 边辫鞭
pin2 变辨辩
pin3 扁匾贬
pʰin1 蝙编翩篇
pʰin2 骗片遍汴
pʰin5 便{方~}
min1 □{翻}
min2 眠棉绵
min3 缅渑免勉敏抿娩
min5 麺面
tin1 颠癫
tin2 店□{触及}
tin3 典腆
tin5 掂
tʰin1 天
tʰin2 田填佃
tʰin3 □{挣扎}
tʰin5 电殿奠甸
nin1 蔫{花~}
nin2 年粘鲇
nin3 撵辇
lin1 □{刺骨地疼}
lin2 怜莲连廉镰鲢
lin3 □{滚动}
lin5 练炼楝链
ɬin1 仙先鲜
ɬin2 线羡
tʃin1 煎
tʃin2 箭战荐饯{~行}
tʃin3 践展剪
tʃʰin1 千
tʃʰin2 前钱潜缠逞
tʃʰin3 浅
tʃʰin5 贱溅
ʃin2 婵蝉搧禅单{~姓}
kin1 肩坚绢捐娟鹃
kin2 见腱建剑键健
kin3 检捡
kʰin1 掀谦杴兼搛
kʰin2 乾虔钳
kʰin5 件
ŋin2 研
hin1 牵
hin2 贤弦玄悬眩舷欠嫌
hin3 显蚬险
hin5 宪献
jin1 烟渊燕{~京,姓}
jin2 言筵焉堰檐延咽宴簷盐厌炎燕{~子}
jin3 衍
jin5 砚现艳
pun1 般搬瘢
pun2 半
pun3 本
pʰun1 潘
pʰun2 叛盆判襻
pʰun5 伴拌胖绊
mun1 □{~身:围裙}
mun2 门们瞒
mun3 满
mun5 闷
fun1 欢宽
fun2 劝魂
fun3 犬款
vun1 冤鸳
vun2 完怨丸桓
vun3 宛碗皖豌腕婉莞
vun5 换焕缓
tun1 端
tun2 墩锻
tun3 短
tʰun2 屯豚饨臀团褪{~壳:蛇､蝉脱皮}
tʰun5 缎断段
nun3 暖
nun5 嫩
lun1 躝{低头缩颈躬腰前行}
lun2 恋鸾銮联挛峦栾滦
lun3 卵
lun5 乱
ɬun1 孙喧酸宣楦
ɬun2 算逊旬纯蒜迅衅循殉
ɬun3 选损癣
ɬun5 旋篆
tʃun1 专遵撙砖毡尊
tʃun2 钻转{动词}
tʃun5 转{动量词,相当于“次”}
tʃʰun1 川穿村皴{脸~}
tʃʰun2 寸存忖全泉串传{~达}
tʃʰun3 喘窜篡蹿
tʃʰun5 传{左~}
ȵun1 □{收缩成团}
ȵun3 阮软
ȵun5 愿
ʃun2 船驯
ʃun5 善膳鳝
kun1 官泔肝杆竿观棺干{~净}
kun2 颧贯灌罐眷券桊幹{~部}
kun3 赶馆管擀卷秆
kʰun1 圈{猪~}
kʰun2 拳权
kʰun5 倦
ŋun5 岸
hun1 看{看守}
hun2 寒韩看{看见}
hun5 汉汗撼翰焊
jun2 元原缘铅源袁辕园援圆沿员猿
jun3 远
jun5 县院
un1 安鞍鹌
un2 按案
pɛŋ1 崩浜邦
pɛŋ3 □{硬物磕掉一小块}
pʰɛŋ2 庞谤旁滂螃
pʰɛŋ5 棒傍
mɛŋ2 吂{未曾}
vɛŋ1 轰
vɛŋ5 □{大圆圈}
tɛŋ1 瞪当裆灯登
tɛŋ2 凳镫
tɛŋ3 等档党挡戥
tʰɛŋ1 汤烫摥劏{推平抹光}劏{宰杀}
tʰɛŋ2 堂棠腾誊藤螳唐糖塘摥{~墙}
tʰɛŋ3 躺趟倘
tʰɛŋ5 邓荡
nɛŋ1 □{皱起疙瘩}
nɛŋ2 能瓤穰攮
nɛŋ5 □{平面的中部下陷}
lɛŋ1 軨{车轮圈}□{鲠住咽喉}
lɛŋ2 郎廊狼榔螂
lɛŋ3 朗
lɛŋ5 浪晾
ɬɛŋ1 桑嗓搡丧{婚丧}
ɬɛŋ2 丧{~气}
tʃɛŋ1 曾增憎筝庄赃装妆甑罾
tʃɛŋ2 壮葬
tʃʰɛŋ1 疮仓苍舱
tʃʰɛŋ2 蹭层
tʃʰɛŋ5 赠脏{内脏}
ȵɛŋ1 □{毛发竖起}
ʃɛŋ2 床
ʃɛŋ3 爽
ʃeŋ3 省
