#a							
n	[1]奶{訓}□{奶，乳}呢{疑問}[2]泥尼妮呢{助詞}[3]染女						
l	[1]吏[2]離籬璃梨旅狸厲俐黎雷釐[3]李呂里理鯉禮裏履閭[5]厲隸麗慮勵						
ts	[1]資諸肢知芝支枝脂咨姿之[2]钱薺臍[3]籽子紫姊指止趾址住只旨咫[5]祭際製濟擠致至箭志智置著						
s	[1]需癡思妻淒棲胥婿舒書殊鮮飼耆戌[2]徐齊除齒嗤遲儲黍馳池持[3]取娶時恥侈疵□{稱讚}[5]趣刺次樹豎嗜翅細侍處示試聚緒						
k	[1]支妓技机肌饑已{自己}基拘駒居幾機[2]柿杞畦期旗棋舷{旁边}[3]舉指己紀[5]寄記痣見計						
h	[1]天欺□{倾斜}趨區驅樞絺軀添嶇[2]苔祈啼奇期岐祁[3]體齒起企其啟[5]器剃棄氣						
ŋ	[2]疑儀宜誼						
ɦ	[1]虛稀熙於噓墟硯希牺溪奚犧義兮淤姬[2]年[3]喜禧嬉[5]意戲噫						
Ø	[1]伊{他}醫衣依[2]圆夷姨[3]椅[5]意噫						
dz	[1]二貳餌[2]兒餘以虞儒與遺娛宜矣芋宇余[3]宇以乳予矣[5]羽語瑜						
#iʔ							
ɓ	[7]鼈庇蔽閉鳖幣斃[8]敝避庇備蔽弊被{～迫}						
f	[7]□{兩腳張開}						
m	[8]物{東西}[7]物{疑问代词，什么}乜{疑问代词，什么}						
b	[8]篾[7]□{躲藏}						
ɗ	[7]蒂滴[8]碟第弟地遞						
t	[7]視寺世{專名}□{闪光}[8]氏是豉恃						
d	[8]滇{溢}[7]□{些}□{指代詞。表示處所。相當於普通話的「裡」}						
n	[7]□{小。通常與「仔」連用，~仔，即小孩子}□{瞇眼}						
l	[7]莉慮濾□{撕開}[8]利俐						
ts	[7]接鞠際智{專名}志{專名}摺雅□{tsi21~：形容女孩子的傻勁}□{象聲詞，形容小雞等小動物的叫聲，引申而有小的意思。~tsiat42泛指小東西}[8]治折舌痔						
s	[7]樹絮[8]祠恃						
k	[7]繼既技懼稽渠拒距巨冀記劇[8]具據俱嫉忌						
h	[7]鐵[8]□{皮膚上生的小瘤}						
ŋ	[8]議繫{聯繫}義係[7]藝毅蟻義						
ɦ	[8]繫{帶子}耳噫						
Ø	[7]燕憶意隙嘻懿[8]噫						
dz	[7]輸{運~}逾愈與{參與}預愉喻愉豫玉{專名}[8]翼異玉寓禦詣遇易{容～}						
#ia							
ɓ	[1]兵[3]饼						
m	[1]命[2]名						
ɗ	[1]定[2]庭[3]鼎[5]碇{拋錨}						
t	[1]射聲賒[2]城斜[3]寫捨舍[5]瀉赦						
n	[1]□{搖搖籃的動作}[3]領嶺						
l	[3]領嶺						
ts	[1]遮正{~月}[2]情成[3]䭕{淡}[5]蔗正{~當}						
s	[1]车□{推}[2]持[3]请						
k	[1]嘉家加驚{怕}[2]行擎[3]囝仔{训“囝”}[5]寄駕鏡賈						
h	[1]廳聽徛{竖起來}[2]騎[5]痛{訓}疼{訓}□{疼痛}						
ɦ	[1]兄也[2]椰楊{~桃}燃{燃燒}						
Ø	[1]也丫亦□{撒}[2]霞瑕赢營[3]野						
dz	[1]鴉也[2]耶呀一{訓}蜀{數詞，一}日牙[3]惹雅[5]偌訝迓						
#iaʔ							
f	[8]□{量詞，相當於普通话的「片」，但通常指一大片}[7]僻闢						
ɓ	[7]壁臂鼈						
ɗ	[7]摘						
t	[7]錫削[8]謝席□{形容眼珠子不正}						
l	[8]搦{捉、抓}掠{训“搦，捉、抓}						
ts	[7]脊{~背}跡隻[8]食						
s	[8]勺[7]赤斥鹧						
k	[7]夾挾稼莢[8]夾屐						
h	[7]卸{训“拆”}析{俗}隙拆[8]徛{站}						
ɦ	[8]夏額蟻瓦呀[7]厦夏轄歇□{~圾：垃圾}						
Ø	[8]易□{扇動}						
dz	[8]□{～公：拜神}						
#u							
ɓ	[1]孵□{~loi44：一種撈飯的工具}[2]□{量詞，堆}[5]富佈布怖						
f	[1]鋪敷夫[2]符扶浮俘浦捕輔蒲普脯釜茯[3]府俯譜腐[5]富傅父						
m	[3]謨[5]霧巫戊暮漠募慕幕						
b	[1]□{號角}[2]撫侮誣[3]武舞鵡[5]□{象聲詞，形容風聲或東西飛動的聲音}						
d	[3]汝{你}						
ɗ	[1]都豬苧箸{筷子}[2]堵賭屠廚[5]妒蠹						
t	[1]書字朱株蛛珠誅樞輸[2]薯蜍組祖[3]主駐煮[5]注註蛆鑄						
n	[2]奴[3]努女						
l	[1]□{捞起}[2]爐盧魯蘆顱虜兒耳爾[3]櫓而[5]鑪了{助詞}						
s	[1]蘇酥疽[2]除芻雛[5]厝{屋}署錯恕庶						
k	[1]車{象棋棋子名}估姑菇孤龜咕拘枯舅舊[2]鼓股買[3]古估矩舉鼓久[5]固顧故鋸句						
g	[2]牛						
ŋ	[2]梧[3]晤						
h	[1]軀區去[2]圖徒途塗盂鋤[3]□{視觉模糊}[5]去						
ɦ	[1]烌{灰}呼乎虛墟腐[2]魚漁胡瑚糊弧狐鬍壺和{~牌}[3]許滸虎[5]副{量詞}						
Ø	[1]烏嗚污{~濁}[2]伍□{象聲词，形容蜜蜂等動的聲音}[5]污{~染}塢壺惡{厭~}						
#uʔ							
ɓ	[8]部婦赴暴訃[7]佈布						
f	[7]父婦阜□{斥責}[8]付婦負附阜副						
m	[7]戊貿慕[8]務						
b	[8]務						
ɗ	[7]杜{姓}度{文，～量}渡踱镀注{一~}[8]佇{在}						
t	[7]□{形容小孩子臉部胖嘟嘟的樣子}[8]櫥渚□{承受}櫝						
n	[7]怒						
l	[7]露路[8]露賂						
s	[7]訴[8]□{象聲詞，形容細語的聲音}						
k	[7]□{身體向前彎而倒下}固[8]□{象聲詞，形容雞啼的聲音}舅						
g	[8]□{啊~，初生婴兒發出的聲音}						
ŋ	[8]悟[7]捂悟{專名}□{哮喘}						
h	[7]禿[8]臼凸						
ɦ	[8]戶互護						
Ø	[7]喔[8]有						
#ai							
ɓ	[1]敗{壞了}[2]排牌[3]板反[5]拜擺						
f	[1]□{拍~：糟蹋}[2]排[5]派潑						
m	[1]拜{訓，（因傳統的節日、慶典或活動）賀喜}□{（因傳統的節日、慶典或活動）賀喜}[2]埋霾[3]□{母亲}母{训，～亲}姆{俗}[5]示{训}□{示，～伊：教他}						
b	[2]眉牌楣[3]□{形容植物的幼苗枯死了}						
ɗ	[1]橂{硬}呆獃靛[2]埋{訓}□{埋}□{生長於幹稻草中的一種小昆蟲}[3]□{液体里下沉的杂质}歹典{典當}滓{液体里下沉的杂质}						
t	[1]西先齊怎犀災栽哉師知[2]前宰臍[3]駛使崽指滓屎[5]戴载再						
n	[1]奶[2]蓮[3]乃						
l	[1]荔利{～息}[2]狸来[3]荔[5]癞						
s	[1]千釵猜獅腮差{欽~}[2]才財柴纔蠶裁豺[3]採彩睬[5]菜赛蔡寨						
k	[1]佳稭該肩楷階皆[2]個{的}[3]解揀{选择}[5]界械戒介屆芥尬蓋						
h	[1]胎筛開揩[2]台臺抬苔凱愷孩治{宰杀}[5]態泰太概溉慨						
ŋ	[1]礙[2]捱{～夜：熬夜}[3]研						
ɦ	[3]偕藹諧眼{龙～}海霭[5]愛						
Ø	[1]哀埃挨唉哎[2]閒[3]矮[5]爱						
dz	[2]涯崖						
#aiʔ							
m	[7]迈□{出嫁了的年輕女子}						
ɓ	[8]敗						
b	[7]□{跛腳}						
ɗ	[7]貸大代{～表}怠殆[8]大待代{一~}□{門~：門檻}						
t	[8]□{擲}在						
n	[8]耐[7]奈耐捺						
l	[7]賴懶梨[8]賴内{训“里”}里{～面}						
s	[7]赛蔡曬						
k	[7]蓋屆						
h	[8]□{順隨}						
ŋ	[7]艾						
ɦ	[7]轄[8]害亥駭閡{合上門}□{合上門}						
Ø	[7]泰咳						
#ue							
ɓ	[1]杯□{陌}碑飛[2]賠[5]貝辈背						
f	[2]皮跛和{~尚}[5]配{菜肴}						
m	[1]妹[2]糜{饭}						
b	[1]味□{將要}[2]玫媒枚梅[3]尾						
ɗ	[5]□{尋找}綴{尋找}						
t	[5]贅税						
l	[5]□{穢~：即弄髒，多用來罵人}						
s	[1]衰[5]髓						
k	[1]瓜關[3]寡果裹稿{稻~}[5]過貴怪卦鱖						
h	[1]靴[2]瘸[5]快						
ɦ	[1]花灰會{銀～}[2]横回[3]火伙夥[5]歲化貨						
Ø	[1]畫劃{計~}話[2]劃{~破}[5]穢{～衫：弄脏衣服}						
dz	[2]□{用腳把東西踏碎}						
#ueʔ							
ɓ	[7]發{性交}□{性交}[8]□{把，拿}倍						
f	[8]被						
t	[8]罪						
n	[7]□{用手指取食物}						
s	[7]啜{～酒：喝酒}						
g	[8]月						
k	[8]□{東西的頭，相當於普通話的「端」。但也可以用來表示位置，相當於普通話的「裡」}[7]郭刮						
h	[7]缺						
ɦ	[7]血						
Ø	[7]噦[8]劃{筆~}話{告訴}						
#oi							
ɓ	[1]碑□{象聲詞。趕牛聲，表示要牛向右轉}[3]婢						
b	[1]賣[3]買						
f	[1]批[5]呸{吐口水}						
t	[1]□{多}多{訓}[2]齊[3]洗[5]細{小}						
ɗ	[1]低第[2]題蹄[3]底抵邸[5]第帝						
l	[1]例□{ɓu44~：一種撈飯的工具}[2]犁黎褛[3]禮						
s	[5]砌						
k	[1]雞街[2]□{用小蝦或小鱼滷成的漿類食物}[3]改解[5]界疥						
g	[1]□{形容婴兒討人喜歡的樣子}						
Ø	[1]挨[2]鞋[3]矮						
h	[1]溪[2]題提抬堤[3]體睇[5]替□{啃}						
ɦ	[1]□{象聲词。喊人的聲音，多用於人名後}						
#oiʔ							
ɓ	[8]拔[7]八						
b	[8]□{懶得}						
t	[7]雪節[8]截誓						
ɗ	[8]遞						
l	[8]笠[7]□{拍~：一種野果}□{隘~~：形容很窄}						
s	[7]惜{愛惜}						
k	[7]垢[8]間{~隔}						
Ø	[8]會{訓“解”}解{會}隘{窄}[7]□{象聲詞，人遇意外時的喊叫聲}						
h	[7]瞌{睡}						
ɦ	[8]蟹喂{歎詞}[7]喂{歎詞}						
#ou							
ɓ	[1]步哺□{ta44~：男孩子}[2]符[3]補脯斧[5]佈布傅						
b	[1]晡[2]模[3]□{ta44~：女孩子}						
m	[1]墓[2]摩模摸謀[3]牡某畝						
f	[1]埠[2]扶浮[5]鋪否復剖						
t	[1]租蘇颼搜[3]叟祖						
ɗ	[1]都{~要}度[2]糊[3]肚						
n	[2]奴						
l	[1]路露都[2]爐盧魯螻[3]屢褛縷□{胡說八道}						
s	[1]初粗[2]愁[5]驟醋						
k	[1]姑孤菇枯勾鵠[2]糊□{懷裡}[3]古鼓估苟牯[5]僱構媾購顧						
g	[1]誤[2]吳						
ŋ	[3]偶藕						
ɦ	[2]候猴[3]虎[5]戽						
Ø	[1]烏{黑}芋毆歐區{姓}謳[2]湖[3]偶嘔慪						
h	[1]箍呼扣[2]投狐塗{土}[3]苦吐許□{無~肯：不太肯}[5]吐兔褲寇蔻扣叩						
#ouʔ							
m	[8]舞[7]茂貿						
t	[7]祖						
ɗ	[7]痘逗豆						
l	[8]□{動摇，形容東西的基部不穩固}[7]□{戲弄人}						
k	[7]構[8]夠□{依靠}						
ŋ	[8]午五伍						
ɦ	[7]後厚[8]後候雨						
#au							
ɓ	[1]煲包胞鮑[2]袍[3]保褒寶堡						
b	[1]包[3]□{打}						
f	[1]拋[2]刨[5]泡跑炮						
m	[2]茅矛毛□{粗野}[3]卯[5]帽						
ɗ	[1]兜豆脰{颈}[2]島濤禱導[3]島斗抖蹈倒{顛~}[5]鬥晝						
t	[1]糟遭叨□{形容隨手抓起一樣東西打人的動作}[2]棗[3]走蚤[5]掃嗽灶						
n	[3]惱腦[5]鬧						
l	[1]漏陋捞[2]勞嘮癆澇牢留瘤流劉楼榴[3]佬老{~鼠}[5]漏						
s	[1]操騷臊鈔抄[2]曹嘈巢槽韶剿缲[3]草吵[5]燥躁燥□{用在動詞後面，表示同樣的動作。我也去~}						
k	[1]溝膏高勾鉤[2]睺{斜視}□{斜視}猴搞[3]狗九韭[5]够遘{到}□{到了}						
h	[1]偷滔薅摳{刨}候[2]淘陶討頭投逃掏濤□{~蠅：蒼蠅}[3]□{把包著或卷著的东西打开}敨{把包著或卷著的东西打开}口考烤[5]透哭套						
ŋ	[2]熬鏊□{自言自語，多指不服氣或不滿時的自語}[3]□{laŋ51~：傻}						
ɦ	[1]候號[2]豪毫[3]□{發出聲音}[5]好{喜～}						
Ø	[1]坳盎[2]喉[3]拗{～斷}[5]□{朽爛，多用來形容木頭}拗{壞脾氣}						
#auʔ							
ɓ	[8]爆暴瀑[7]鮑□{象聲詞，形容人呼喝的聲音}						
f	[8]□{象聲詞，形容吃稀飯的聲音。也可以當動詞用，即喝粥的聲音}						
m	[7]茂貿[8]貌冒□{把貨物全買下來}						
ɗ	[7]道{專名}[8]道盜						
t	[8]造糙						
n	[8]扭						
l	[7]□{金屬物掉地的聲音}[8]老{~人}						
s	[7]□{象聲詞，形容人碰到乾枯的東西如稻草、紙張等时出的聲音}[8]□{細語時的聲音}						
k	[7]犒□{食物不新鮮}[8]厚						
h	[7]靠浩皓酷						
ŋ	[8]傲[7]鉤□{象聲词，形容吃脆的束西时發出的聲音}						
ɦ	[7]耗灝						
Ø	[7]奥澳懊襖[8]後						
#ua							
ɓ	[1]般[2]搬盤[3]粄[5]半簸						
f	[1]□{披掛}拚[5]破						
m	[1]□{披掛}[2]麻瞒鰻[3]满						
b	[2]磨摩						
ɗ	[1]大單[2]彈{~琴}[5]带						
t	[1]沙鯊山砂賤踐逝{線條}抓[2]泉蛇[3]纸徙{移动}[5]傘續散線□{叫喊}						
n	[1]爛[2]郎[3]□{揉搓}捼{训}[5]僆{未成年的母鸡}旦						
l	[1]□{見~：幸虧}[2]攔欄騾						
s	[1]□{带领，娶}娶{训}[3]□{歪斜}癬{一種皮膚病}[5]蔡閂						
k	[1]肝官歌汗瓜倌乾[2]寒[3]赶管寡[5]蓋{～子}掛{懸掛}						
g	[1]外[3]我						
h	[1]拖科潘{姓}誇垮跨寬缓攤[2]□{笨拙}[3]□{大聲罵人，多指女人}[5]炭課寬						
ɦ	[1]蛙娃窪花按歡華岸[2]鼾禾瓦和{~平}華{~佗}[5]案						
Ø	[1]安換鞍[2]何{無奈~：勉強}[3]碗倚{～墙：靠墙}[5]晏						
#uaʔ							
ɓ	[7]撥缽[8]跋{跌倒，～钱：博钱}□{～衫：衣服用水洗一遍}						
f	[7]潑[8]伴□{購買成批的貨物}□{披掛}						
m	[7]抹潑						
b	[8]□{一種野果}[7]抹						
ɗ	[8]舵墮懒惰{训“懒”}						
t	[7]撒殺[8]□{差、缺}						
n	[8]澜{口水}						
l	[8]辣[7]捋						
s	[7]擦[8]□{鰻魚}						
k	[7]割葛瓜[8]□{怀孕}褂掛{量詞}						
h	[7]渴						
ɦ	[7]喝{吆~}化[8]禍□{跨越}						
Ø	[8]旱□{疑問代詞，相當於普通话的「多」、「多麼」、「多少」。如:~高(多高)，~好(多麼好)，~多人(多少人)}活						
dz	[8]熱						
#iau							
ɓ	[1]標{~準}彪鏢臕鑣[3]表錶裱婊						
f	[1]標{商~}漂飄[2]嫖						
m	[2]苗描瞄[3]渺藐秒杳杪						
ɗ	[1]貂刁雕□{「底候」的合音，即什麼時候}[2]條愁橱寮{训“橱“，鸡～}[5]吊						
t	[1]鞘逍{~遙}哨悄俏硝削銷捎梢肖消霄宵销萧嘯蕭稍[2]逍{閒逛}[3]小痟{發~：發癲}[5]数						
n	[1]貓撓[5]皺						
l	[1]料{材~}廖[2]遼療聊嘹寮繚撩燎僚瞭[3]了{~結}[5]繚						
ts	[1]焦樵邵沼紹召招昭[2]朝{一~}[3]鳥找抓[5]照罩皺						
s	[1]搜超搜[2]朝{~代}潮[3]曉[5]臭						
k	[1]交郊嬌膠餃咬繳驕[2]僑喬嬌橋[3]繳攪鉸狡矯絞[5]較教校{~訂}						
h	[1]挑餿蹺翹橈[2]調{~和}[3]巧[5]竅跳						
ɦ	[1]淆[2]□{輕佻，特指女子}[3]曉[5]孝酵						
Ø	[1]幺妖邀要{～求}夭腰[5]要{重～}						
dz	[2]堯撓饒搖瑤謠窯姚燒餚[3]爪繞擾[5]耀躍						
#iauʔ							
