字	音	注
姊	tɕi[6]	
旨	tɕi[6]	聖～
指	tɕi[6]	3手～：戒指
籽	tɕi[6]	1
止	tɕi[6]	
址	tɕi[6]	
鯽	tɕi[12]	～魚
鰓	ɕi[1]	
雌	ɕi[1]	
犧	ɕi[1]	
熙	ɕi[1]	
希	ɕi[1]	
稀	ɕi[1]	
妃	ɕi[1]	
□	ɕi[2]	□□nan11nan11～：知了
廢	ɕi[5]	
肺	ɕi[5]	
刺	ɕi[5]	名詞
戲	ɕi[5]	
系	ɕi[6]	
係	ɕi[6]	
惠	ɕi[6]	
慧	ɕi[6]	
耻	ɕi[6]	
齒	ɕi[6]	2面前～：門牙
喜	ɕi[6]	
喙	ɕi[12]	3～齒：牙齒。本書中寫作「喙」
雞	ki[1]	
圭	ki[1]	
閨	ki[1]	
枝	ki[1]	1柴～：樹枝
技	ki[1]	
妓	ki[1]	
飢	ki[1]	
肌	ki[1]	
基	ki[1]	
箕	ki[1]	
饑	ki[1]	2
機	ki[1]	2飛～
規	ki[1]	
窺	ki[1]	
今	ki[1]	2～旦：今日
計	ki[5]	
繼	ki[5]	
桂	ki[5]	～花，肉～
季	ki[5]	
几	ki[6]	茶～
麂	ki[6]	
己	ki[6]	天干之一
紀	ki[12]	～念
□	ki[11]	～□lin55孫：曾孫
□	ki[11]	拍～□□lin55nyn44：抖一下子
稽	kʰi[1]	
欺	kʰi[1]	
譏	kʰi[1]	
㩻	kʰi[17]	～頭：歪脖子
契	kʰi[5]	塍～：田契
棄	kʰi[5]	
啓	kʰi[6]	
企	kʰi[6]	
齒	kʰi[6]	1替～：換牙
起	kʰi[6]	～身：起牀
豈	kʰi[6]	
汽	kʰi[12]	～車
□	kʰi[12]	～座：臺階
枝	ŋi[1]	2樹～
□	ŋi[17]	～甌：刷牙用的杯子
宜	ŋi[2]	便～
藝	ŋi[6]	
義	ŋi[6]	
議	ŋi[6]	
毅	ŋi[6]	
伊	∅i[1]	他
醫	∅i[1]	
衣	∅i[1]	2～裳
依	∅i[1]	
味	∅i[17]	2～精
個	∅i[17]	2慢慢～：慢慢地
底	∅i[17]	3戍～：家裡，椅～：椅子上。常讀作輕聲；著～…：正在…
得	∅i[17]	3一種助詞，相當於普通話的「了、掉」或「著」，如，落～：遺失，分～：分開，徛～：站著。常讀作輕聲
□	∅i[17]	□kʰa11～蟲：孑孓
移	∅i[2]	
□	∅i[5]	萎
□	∅i[5]	□sɛu11～：鞭子
椅	∅i[6]	
已	∅i[6]	
以	∅i[6]	
薏	∅i[12]	～米
□	∅i[12]	骹～底：腳掌
□	pu[17]	～栳：針綫筐
布	pu[5]	
布	pu[5]	
鋪	pu[5]	十里。不送氣音
怖	pu[5]	
補	pu[6]	
部	pu[6]	
步	pu[6]	
蒲	pu[11]	～扇
菩	pu[11]	～薩
葡	pu[11]	～萄
□	pu[11]	～蠅：蒼蠅
鋪	pʰu[1]	動詞
潽	pʰu[1]	溢出
扶	pʰu[2]	1推
譜	pʰu[6]	
普	pʰu[6]	
浦	pʰu[6]	
簿	pʰu[6]	
甫	pʰu[6]	
殕	pʰu[6]	生～：發黴
□	pʰu[12]	～李：李子
菠	pʰu[11]	～薐菜：菠菜
摸	mu[1]	用手掏
夫	mu[1]	1丈～：男人
模	mu[2]	
□	mu[2]	朵，量詞
墓	mu[5]	
暮	mu[6]	1前～：昨日
某	mu[6]	
牡	mu[6]	
母	mu[6]	2□tɕym55～：女人
拇	mu[6]	
戊	mu[6]	
□	mu[12]	～薺：荸薺
都	tu[1]	首～
都	tu[1]	副詞
堵	tu[6]	
賭	tu[6]	
肚	tu[6]	腹～：肚子
□	tu[6]	路；～下：地上
妒	tu[12]	～忌
拄	tu[12]	～杖：幫助挑擔用的棍子
□	tu[12]	～袋：口袋
杜	tu[13]	～仲
□	tu[13]	～□nɛn41：蜥蜴
妥	tʰu[6]	
土	tʰu[6]	
□	tʰu[6]	～喙：噘嘴
枯	nu[1]	2偏～：癱瘓
努	nu[6]	
裸	lu[6]	
魯	lu[6]	
鹵	lu[6]	
□	lu[12]	～～草：狗尾草。讀作[lu55lu24iau41ʔ]
租	tsu[1]	
株	tsu[1]	
蛛	tsu[1]	
誅	tsu[1]	
朱	tsu[1]	
硃	tsu[1]	
珠	tsu[1]	2蜀粒～
資	tsu[1]	
姿	tsu[1]	
咨	tsu[1]	
注	tsu[5]	
鑄	tsu[5]	
祖	tsu[6]	
組	tsu[6]	
阻	tsu[6]	
著	tsu[6]	
主	tsu[6]	
子	tsu[6]	2地支之一
梓	tsu[6]	
□	tsu[12]	～□aʔ4：叔叔；大概是「叔」的變體。
粗	tsʰu[1]	
厝	tsʰu[5]	康～：地名
戍	tsʰu[5]	房子
楚	tsʰu[6]	2清～
礎	tsʰu[6]	
蘇	su[1]	
酥	su[1]	
穌	su[1]	
輸	su[1]	～贏
斯	su[1]	
廝	su[1]	
私	su[1]	2
師	su[1]	2
思	su[1]	
史	su[6]	
鍋	ku[1]	沙～
姑	ku[1]	
孤	ku[1]	
菇	ku[1]	
鴣	ku[1]	鷓～
枯	ku[1]	3
□	ku[1]	□mit5～：陰莖
過	ku[5]	～來，～世：去世；去～
句	ku[5]	1
固	ku[5]	還，副詞。本書中寫作「固」
果	ku[6]	
裹	ku[6]	2包～
古	ku[6]	1
估	ku[6]	
股	ku[6]	
鼓	ku[6]	
牯	ku[6]	老犬～：公狗
□	ku[6]	魔芋
□	ku[6]	蚊蟲～：蟾蜍
□	ku[12]	～風：旋風
□	ku[12]	～□on22：貓頭鷹
狐	ku[11]	～狸
科	kʰu[1]	
靴	kʰu[1]	
箍	kʰu[1]	空胡切
枯	kʰu[1]	1榨完油之後的渣子壓成的餅
呼	kʰu[1]	1～雞
丘	kʰu[1]	1量詞，用於田
古	kʰu[17]	2～田：地名。此處「田」讀作[tsʰɛn-ɛn22-44]
課	kʰu[5]	
苦	kʰu[6]	
瘸	kʰu[11]	～骹：瘸子
傀	kʰu[11]	～儡戲
窩	ŋu[1]	蜂～煤
晡	ŋu[1]	冥～：晚上
伍	ŋu[6]	
午	ŋu[6]	
□	ŋu[6]	□lœuŋ55～：廂房
五	ŋu[12]	2～香：八角；從連讀調來看，單字調應該是上聲、陰去、陽去α或陰入。土話說「八角」[pɛt5kœuk4]。
呼	hu[1]	2
乎	hu[1]	
夫	hu[1]	2姊～：姐夫
膚	hu[1]	
麩	hu[1]	
烌	hu[1]	火～：灰
霍	hu[17]	～童：地名
和	hu[2]	～尚；～平
禾	hu[2]	
□	hu[2]	量詞，用於棺材
貨	hu[5]	
虎	hu[6]	
滸	hu[6]	
府	hu[6]	
腑	hu[6]	
雨	hu[6]	1做～：下雨
葫	hu[11]	～蘆
俘	hu[11]	～虜
芙	hu[11]	～蓉
□	hu[11]	～□møŋ44：蜈蚣
烏	∅u[1]	黑
污	∅u[1]	
蛄	∅u[1]	蝦～
武	∅u[6]	
舞	∅u[6]	
侮	∅u[6]	
鵡	∅u[6]	
要	∅u[12]	3無～緊
芋	∅u[13]	～卵：芋頭
豬	ty[1]	
□	tʰy[6]	鼎～：鍋鏟
□	tʰy[12]	～豆：花生
女	ny[6]	外甥～：外甥女、外孫女
汝	ny[6]	你
呂	ly[6]	
旅	ly[6]	
屢	ly[6]	
鋁	ly[6]	
書	sy[1]	2秘～
須	sy[1]	必～
鬚	sy[1]	2蔬菜的細根
需	sy[1]	
輸	sy[1]	運～
暑	sy[6]	大～
署	sy[6]	
諸	tɕy[1]	
書	tɕy[1]	1教～
支	tɕy[17]	2～提：地名
煮	tɕy[6]	～菜：做菜
沝	tɕy[6]	水。本書中一般寫作「水」
水	tɕy[6]	
注	tɕy[11]	～意
舒	ɕy[1]	～牀：鋪牀，～蓆：鋪席子
墟	ɕy[1]	趕～：趕集
虛	ɕy[1]	
鼠	ɕy[6]	
許	ɕy[6]	3姓
取	ɕy[6]	
娶	ɕy[6]	
此	ɕy[6]	
喙	ɕy[12]	2～齒：牙齒。本書中寫作「喙」
居	ky[1]	
車	ky[1]	～馬炮
拘	ky[1]	
駒	ky[1]	
茄	ky[2]	1辣～：辣椒
舉	ky[6]	
矩	ky[6]	
區	kʰy[1]	
驅	kʰy[1]	
去	kʰy[17]	2～年
語	ŋy[6]	
御	ŋy[6]	
禦	ŋy[6]	
淤	∅y[17]	～塞
胰	∅y[17]	～皂：肥皂
於	∅y[6]	
與	∅y[6]	
預	∅y[6]	
豫	∅y[6]	
于	∅y[6]	姓
乳	∅y[6]	腐～：豆腐乳
雨	∅y[6]	2穀～
宇	∅y[6]	
禹	∅y[6]	
羽	∅y[6]	
巴	pa[1]	
芭	pa[1]	
疤	pa[1]	
笆	pa[1]	
粑	pa[1]	
爬	pa[2]	
琶	pa[2]	
杷	pa[2]	
筢	pa[2]	～□ua35：筢子
扒	pa[2]	～癢：抓癢，～冥晝：扒飯
霸	pa[5]	
壩	pa[5]	
把	pa[6]	
靶	pa[6]	
罷	pa[6]	
飽	pa[6]	
八	pa[11]	2～～：八哥兒。讀作[pau11ua35]
脬	pʰa[1]	𡳞～：陰囊
泡	pʰa[5]	1生～：起泡
□	pʰa[11]	～糞斗：翻跟頭
□	βa[11]	□pi11～□βet5：蝙蝠
□	ma[1]	抓
□	ma[1]	手～：手套
□	ma[1]	□tsʰɛm55～：銅鈸
貓	ma[2]	～□nei35：貓
駡	ma[5]	
媽	ma[6]	老～：妻子
馬	ma[6]	
碼	ma[6]	
□	ma[6]	解～：右邊
爸	ma[6]	郎～：父親
□	ma[6]	□ŋɔŋ24～：傻子
麻	ma[11]	2～面：麻臉
□	ma[11]	𣍐～□nɔi22：左撇子
□	ta[1]	乾燥
茶	ta[2]	
打	ta[6]	
他	tʰa[1]	
□	tʰa[17]	～□liu553：玩兒
䖳	tʰa[5]	海蜇
□	na[1]	疤
□	na[2]	拃
□	na[2]	解大小便
□	na[2]	灡～：涎布
□	na[6]	淨；只
□	na[6]	如果
拉	la[1]	拖～
渣	tsa[1]	
楂	tsa[1]	山～
查	tsa[1]	動詞
□	tsa[2]	用油炸
□	tsa[2]	□maʔ1～：肮髒
詐	tsa[5]	
榨	tsa[5]	
炸	tsa[5]	
者	tsa[6]	
紙	tsa[6]	徐孟友有時把「紙」讀作[tɕia41]。但仍然認為與「早」[tsa41]同音。
早	tsa[6]	
這	tsa[6]	1這。本書中寫作「這」；在語流當中常讀作[tsaʔ42]或[tsaʔ43]，尤其是在徐孟友的口音中。
叉	tsʰa[1]	
差	tsʰa[1]	～別
岔	tsʰa[1]	
柴	tsʰa[2]	柴；樹。本書中寫作「柴」
炒	tsʰa[6]	
□	tsʰa[11]	～□□lam11met5：麻雀
紗	sa[1]	
痧	sa[1]	發～：中暑，吐瀉～：霍亂
沙	sa[17]	2～鍋
砂	sa[17]	～糖：紅糖
□	sa[5]	性交
廈	sa[6]	□pʰit5～：廂房
家	ka[1]	
加	ka[1]	
痂	ka[1]	
嘉	ka[1]	
傢	ka[1]	
佳	ka[1]	
膠	ka[1]	～水
鉸	ka[1]	剪，裁，～刀：剪刀
蛟	ka[1]	拔～：山洪暴發
茄	ka[17]	2蕃～：西紅柿
□	ka[17]	～機：織布機；本字有可能是「交」。
假	ka[5]	放～
架	ka[5]	
駕	ka[5]	
嫁	ka[5]	
稼	ka[5]	
價	ka[5]	
教	ka[5]	1～書
假	ka[6]	真～
賈	ka[6]	
絞	ka[6]	～米：碾米
咬	ka[6]	下巧切
橄	ka[12]	～欖
□	ka[12]	～蚤：跳蚤
□	ka[11]	～□lai24下：腋下
□	ka[11]	～□lam11吞：囫圇吞
□	ka[11]	～□laʔ4側：側身而睡
骹	kʰa[1]	腳
□	kʰa[17]	～□liu553：玩兒
敲	kʰa[5]	苦教切，～門
□	kʰa[11]	～□i44蟲：孑孓
□	ŋa[1]	杈，開～：分枝
牙	ŋa[2]	
芽	ŋa[2]	
衙	ŋa[2]	
蚜	ŋa[2]	
涯	ŋa[2]	
崖	ŋa[2]	
雅	ŋa[6]	
啞	ŋa[6]	病～：啞巴
蝦	ha[2]	何加切
霞	ha[2]	出紅～：出朝霞、晚霞
瑕	ha[2]	
遐	ha[2]	
暇	ha[2]	
孝	ha[5]	1帶～
廈	ha[6]	～門
下	ha[6]	2～願：許願
夏	ha[6]	姓
夏	ha[6]	～至
許	ha[6]	1那；在語流當中常讀作[haʔ42]或[haʔ43]，尤其是在徐孟友的口音中。
鴉	∅a[1]	
下	∅a[6]	樓～
下	∅a[6]	1～堂：下課
下	∅a[6]	動量詞
亞	∅a[6]	
拗	∅a[6]	
啊	∅a[0]	一種助詞。參[句]27、85、95
且	ɕia[6]	
□	∅ia[6]	母親
寡	kua[6]	
我	∅ua[6]	
□	∅ua[5]	筢～：筢子
拜	pai[5]	
敗	pai[6]	
□	pai[12]	～骹：瘸子
派	pʰai[5]	
埋	mai[2]	
□	mai[5]	壞，破
邁	mai[6]	
□	mai[6]	用背馱
臺	tai[2]	2戲～
怠	tai[2]	
□	tai[2]	埋
□	tai[2]	雞虱
□	tai[2]	□ʊŋ11～：菠蘿
戴	tai[5]	動詞；姓
帶	tai[5]	名詞；動詞
碓	tai[5]	水～
大	tai[6]	2～暑
待	tai[6]	
貸	tai[6]	
代	tai[6]	2～表
逮	tai[6]	解～：來得及
□	tai[12]	～中：中間
胎	tʰai[1]	
苔	tʰai[1]	舌～
梯	tʰai[1]	
𥭘	tʰai[1]	篩子
癡	tʰai[1]	風～：颱風
豺	tʰai[17]	1～犬：狼
治	tʰai[2]	直之切，殺
腿	tʰai[3]	1骹～：大腿
態	tʰai[5]	
太	tʰai[5]	
泰	tʰai[5]	
□	tʰai[11]	～□ɛt5：鮎魚
婿	nai[5]	1兒～：女婿
乃	nai[6]	
耐	nai[6]	
奈	nai[6]	
捺	nai[6]	
來	lai[2]	2將～
雷	lai[2]	1響～：打雷
□	lai[3]	簍
□	lai[5]	蹭癢
賴	lai[6]	～伏雞母：抱窩的母雞；姓
癩	lai[6]	
士	lai[6]	1道～
□	lai[13]	□ka11～下：腋下
灾	tsai[1]	
栽	tsai[1]	
材	tsai[2]	
財	tsai[2]	
裁	tsai[2]	
豺	tsai[2]	2
臍	tsai[2]	腹～：肚臍
□	tsai[2]	耳～：耳垂
再	tsai[5]	
載	tsai[5]	～重
債	tsai[5]	
□	tsai[5]	1這裡
在	tsai[6]	
載	tsai[6]	滿～
寨	tsai[6]	
宰	tsai[12]	～相
猜	tsʰai[1]	
釵	tsʰai[1]	
差	tsʰai[1]	2出～
才	tsʰai[2]	奴～
彩	tsʰai[3]	
采	tsʰai[3]	
睬	tsʰai[3]	
踩	tsʰai[3]	
指	tsʰai[3]	2十一～：有六指的人。送氣音
菜	tsʰai[5]	
蔡	tsʰai[5]	
□	tsʰai[5]	□hat5～：打噴嚏
獅	sai[1]	
屎	sai[3]	
使	sai[3]	用，解～得：可以
駛	sai[3]	
師	sai[13]	1～父
私	sai[11]	1～家錢：私房錢
該	kai[1]	
皆	kai[1]	
階	kai[1]	
□	kai[1]	嗉子
改	kai[3]	
解	kai[3]	2～放
溉	kai[5]	
蓋	kai[5]	
介	kai[5]	2
界	kai[5]	
屆	kai[5]	
戒	kai[5]	2～酒
□	kai[5]	1再
□	kai[5]	平斗斛的木片
開	kʰai[1]	2～水
凱	kʰai[3]	
楷	kʰai[3]	
概	kʰai[5]	
慨	kʰai[5]	
艾	ŋai[5]	2姓
介	ŋai[12]	1～紹
□	hai[2]	陶瓷器
海	hai[3]	
□	hai[5]	1那裡
亥	hai[6]	
害	hai[6]	
駭	hai[6]	
骸	hai[11]	～瓮：骨灰罐
□	hai[11]	～□□ɛ24lu41：銀河
哀	∅ai[1]	
埃	∅ai[1]	
挨	∅ai[1]	
□	∅ai[2]	無□li55～：疲勞
螠	∅ai[3]	一種海裡的螃蟹，較小
倚	∅ai[3]	靠
愛	∅ai[5]	2～國
□	∅ai[5]	2再
械	∅ai[6]	機～
拐	kuai[3]	～杖
歪	∅uai[1]	
包	pau[1]	～起身：包起來；包子
鮑	pau[1]	
胞	pau[2]	
豹	pau[5]	
□	pau[5]	□sie11～花：杜鵑花
齙	pau[12]	重牙～齒：齙牙
拋	pʰau[1]	
跑	pʰau[2]	
炮	pʰau[5]	
泡	pʰau[5]	2～茶
□	pʰau[6]	凸
鉚	mau[17]	～釘
茅	mau[2]	
矛	mau[2]	
卯	mau[3]	
貌	mau[6]	
兜	tau[1]	
蔸	tau[1]	棵
□	tau[1]	身～：附近，□lɛn41伊𣍐□kau55～：追不上他
投	tau[2]	
斗	tau[3]	容量單位
罩	tau[5]	
鬥	tau[5]	1爭
晝	tau[5]	食～：吃午飯
豆	tau[6]	
痘	tau[6]	
脰	tau[13]	1～管：脖子
偷	tʰau[1]	
骰	tʰau[17]	～子
頭	tʰau[2]	
㪗	tʰau[3]	展開
透	tʰau[5]	
□	tʰau[5]	用毒藥毒害致死
鬧	nau[6]	
脰	nau[6]	2吊～：上吊
漏	nau[6]	2酒～：舀酒時所用的漏斗
紐	nau[6]	秤～
□	nau[6]	□kun55～：後邊
蘿	lau[2]	1～卜
樓	lau[2]	1
流	lau[2]	1
劉	lau[2]	
留	lau[2]	1
□	lau[5]	～烟筒：疏通烟囪
□	lau[5]	腹肚～：拉肚子
老	lau[6]	1形容詞
了	lau[6]	2助詞。這一讀音很少出現
漏	lau[6]	1
陋	lau[6]	
□	lau[10]	老虎。「老虎」的合音
□	lau[11]	～□uɔŋ22：時候
遭	tsau[1]	
糟	tsau[1]	
巢	tsau[2]	
剿	tsau[2]	
蚤	tsau[3]	
爪	tsau[3]	
走	tsau[3]	跑
灶	tsau[5]	
操	tsʰau[1]	2體～
抄	tsʰau[1]	
□	tsʰau[1]	把下擺塞到褲子裡
草	tsʰau[3]	
吵	tsʰau[3]	
臭	tsʰau[5]	
鈔	tsʰau[12]	～票
掃	sau[5]	動詞；雞毛～：雞毛撣子
哨	sau[5]	
嗽	sau[5]	
交	kau[1]	
郊	kau[1]	
勾	kau[1]	
鈎	kau[1]	
溝	kau[1]	
□	kau[17]	～子：骰子
□	kau[17]	～囝：蜘蛛
□	kau[17]	～□yn41ʔ：蚯蚓
狡	kau[2]	～猾
猴	kau[2]	
垢	kau[3]	污垢
九	kau[3]	1
教	kau[5]	2～育
較	kau[5]	
夠	kau[5]	
□	kau[5]	到
□	kau[5]	蜀～日：一個月
厚	kau[6]	1兼指「密」
□	kʰau[1]	鬮
□	kʰau[2]	削，刮去，～豬毛：刮豬毛
口	kʰau[3]	1洪～：地名
□	ŋau[2]	斜，歪
□	ŋau[5]	□□tɔ11løŋ11～：冰柱
藕	ŋau[6]	
□	ŋau[6]	摳
薅	hau[1]	～草：稻田除草
吼	hau[3]	叫
酵	hau[5]	
孝	hau[5]	2
鱟	hau[5]	
校	hau[6]	～長
效	hau[6]	
甌	∅au[1]	1酒杯，□ŋi44～：刷牙用的杯子
號	∅au[2]	胡刀切，哭
後	∅au[6]	1～□yn41ʔ：後邊
標	piɐu[1]	
彪	piɐu[1]	
表	piɐu[3]	
錶	piɐu[3]	
飄	pʰiɐu[1]	
否	pʰiɐu[3]	
藐	miɐu[3]	
渺	miɐu[3]	
秒	miɐu[3]	
杳	miɐu[3]	
畝	miɐu[3]	
刁	tiɐu[1]	
貂	tiɐu[1]	
雕	tiɐu[1]	
超	tʰiɐu[1]	
餿	niɐu[1]	臭～
鳥	niɐu[3]	2
了	liɐu[3]	3～解
簍	liɐu[3]	炭～：炭瓮
消	siɐu[1]	
宵	siɐu[1]	
霄	siɐu[1]	
硝	siɐu[1]	
銷	siɐu[1]	
燒	siɐu[1]	
蕭	siɐu[1]	
簫	siɐu[1]	
搜	siɐu[1]	～身
小	siɐu[3]	貪～利：占便宜
焦	tɕiɐu[1]	
蕉	tɕiɐu[1]	
椒	tɕiɐu[1]	
昭	tɕiɐu[1]	
招	tɕiɐu[1]	
沼	tɕiɐu[1]	
□	tɕiɐu[1]	～料：佐料
少	tɕiɐu[3]	副詞
抽	ɕiɐu[1]	2
驕	kiɐu[1]	
嬌	kiɐu[1]	
□	kiɐu[1]	～角：防火墻的頭
繳	kiɐu[3]	
狗	kiɐu[3]	～腿：走狗
餃	kiɐu[3]	
珓	kiɐu[12]	～杯：一種問卜用的東西
巧	kʰiɐu[3]	
口	kʰiɐu[3]	2量詞，用於墳墓；人～
妖	∅iɐu[1]	
邀	∅iɐu[1]	
腰	∅iɐu[1]	
要	∅iɐu[1]	～求
歐	∅iɐu[1]	
甌	∅iɐu[1]	2
舀	∅iɐu[6]	聲調特殊
要	∅iɐu[12]	1病～好了：病輕了，～緊
排	pɛ[2]	
牌	pɛ[2]	
簰	pɛ[2]	筏子
擺	pɛ[6]	
稗	pʰɛ[5]	
□	pʰɛ[6]	喙～：臉頰，□□kø11løn24～：屁股蛋
□	mɛ[2]	□ioŋ11～：青蛙
買	mɛ[6]	
賣	mɛ[6]	
𣍐	mɛ[6]	不會。本書中寫作「𣍐」
爹	tɛ[1]	父親
低	tɛ[1]	
題	tɛ[2]	
蹄	tɛ[2]	
帝	tɛ[5]	
底	tɛ[6]	2水～，鞋～
弟	tɛ[6]	2表～，徒～
第	tɛ[6]	
遞	tɛ[6]	
隸	tɛ[6]	
替	tʰɛ[5]	
屜	tʰɛ[5]	
體	tʰɛ[6]	
泥	nɛ[2]	～匙：抹子，水～
尼	nɛ[2]	
奶	nɛ[6]	1伯母
提	lɛ[17]	2支～：地名
荔	lɛ[17]	～枝
犁	lɛ[2]	1一種農具
黎	lɛ[2]	
璃	lɛ[2]	玻～
厘	lɛ[2]	
勵	lɛ[6]	
禮	lɛ[6]	
遮	tsɛ[1]	
齋	tsɛ[1]	食～：吃素
笊	tsɛ[17]	～籬
齊	tsɛ[2]	1齊全
濟	tsɛ[5]	～公
䶓	tsɛ[5]	苧絲
鷓	tsɛ[12]	～鴣
西	sɛ[1]	～爿：西邊，～瓜
栖	sɛ[1]	
犀	sɛ[1]	
細	sɛ[5]	～囝：最小的兒子
婿	sɛ[5]	2
□	sɛ[5]	耖
所	sɛ[6]	
洗	sɛ[6]	
□	sɛ[6]	有～：多
街	kɛ[1]	
疥	kɛ[5]	
戒	kɛ[5]	1豬母～：豬八戒
解	kɛ[6]	1～開，了～
解	kɛ[6]	押～
溪	kʰɛ[1]	
快	kʰɛ[5]	1形容詞
倪	ŋɛ[2]	姓
蟹	hɛ[6]	湖～：淡水螃蟹；此處「湖」是指「小水坑，積水窪地」。參看溫昌衍2012:18–19。
□	hɛ[6]	膩
□	hɛ[13]	□hai11～□lu41：銀河
鞋	∅ɛ[2]	
□	∅ɛ[5]	看
解	∅ɛ[6]	胡買切，會
矮	∅ɛ[6]	
謀	mɛu[2]	
茂	mɛu[6]	
貿	mɛu[6]	
條	tɛu[2]	
愁	tɛu[2]	
吊	tɛu[5]	
鬥	tɛu[5]	2～爭
抖	tɛu[6]	發抖
逗	tɛu[6]	～號；做～：撒嬌
□	tʰɛu[5]	～板：搭板
□	tʰɛu[5]	～水：引水
樓	lɛu[2]	2洋～：地名。本字應當是「寮」
寮	lɛu[2]	1草～：棚子
料	lɛu[6]	
廖	lɛu[6]	力吊切
奏	tsɛu[5]	
皺	tsɛu[5]	
縐	tsɛu[5]	
咒	tsɛu[5]	
湊	tsʰɛu[5]	
稠	sɛu[2]	
□	sɛu[2]	均勻；～～：常常
□	sɛu[2]	～□i35：鞭子
構	kɛu[5]	
購	kɛu[5]	
□	kɛu[5]	掛；本字有可能就是「掛」。
扣	kʰɛu[5]	
寇	kʰɛu[5]	
釦	kʰɛu[5]	
□	kʰɛu[5]	假豆～：一種粉條兒
快	kʰɛu[12]	2～活：舒服
侯	hɛu[2]	閩～：地名
後	hɛu[6]	2落～
厚	hɛu[6]	2～道
后	hɛu[6]	皇～
候	hɛu[6]	
□	hɛu[11]	～□mɔ44：痤瘡
蔻	∅ɛu[5]	豆～
褒	pɔ[1]	
婆	pɔ[2]	
報	pɔ[5]	
暴	pɔ[5]	
爆	pɔ[5]	
保	pɔ[6]	
堡	pɔ[6]	
寶	pɔ[6]	
抱	pɔ[6]	
波	pʰɔ[1]	
頗	pʰɔ[1]	
坡	pʰɔ[1]	
玻	pʰɔ[1]	
袍	pʰɔ[2]	
□	mɔ[1]	蚊子咬成的疙瘩
毛	mɔ[2]	□tsʰɔt4～：拔毛
無	mɔ[2]	無，沒有。本書中寫作「無」
播	mɔ[5]	廣～
磨	mɔ[6]	名詞
冒	mɔ[6]	
帽	mɔ[6]	
母	mɔ[6]	1豬～：母豬，虱～：虱子
拇	mɔ[6]	指頭～：大拇指
□	mɔ[6]	□haʔ5～：大概
多	tɔ[1]	
刀	tɔ[1]	
駝	tɔ[2]	
馱	tɔ[2]	拿
舵	tɔ[2]	
淘	tɔ[2]	
逃	tɔ[2]	
陶	tɔ[2]	
禱	tɔ[2]	
□	tɔ[2]	結霜冰～：凍冰，～□□løŋ11ŋau35：冰柱
到	tɔ[5]	
島	tɔ[6]	
倒	tɔ[6]	跋蜀～：跌倒
搗	tɔ[6]	
道	tɔ[6]	2穴～
稻	tɔ[6]	
盜	tɔ[6]	
導	tɔ[6]	
□	tɔ[6]	種～：種子
滔	tʰɔ[1]	
濤	tʰɔ[1]	
桃	tʰɔ[2]	
套	tʰɔ[5]	
討	tʰɔ[6]	
挪	nɔ[2]	
□	nɔ[2]	柿～：柿餅
腦	nɔ[6]	後～：後腦勺子
惱	nɔ[6]	
□	nɔ[6]	～草：牛反芻
囉	lɔ[1]	～嗦
羅	lɔ[2]	
鑼	lɔ[2]	
蘿	lɔ[2]	2刺～：絲瓜
邏	lɔ[2]	
