#湖南泸溪梁家潭乡话同音字汇			
#方言 2016 年第 4 期 481—495 页( 2016 年 11 月 24 日出版于北京)			
#作者：陈 晖			
#湖南师范大学文学院 长沙			
#转录者 DaiDzao			
IPA	调类	调值	例字
li	7	41	笠栗里[(长度单位):一～]李[姓～]
li	0	22	子[名词后缀:婆～:已婚女子]
tsi	2	24	节[脚～骨:脚腕，又见tsi41，dzi41]蔗餈[~粑]
tsi	3	51	姐[阿～:姐姐]
tsi	7	41	借挤[～眼]接鲫室=[房屋;家，一～人:一家人]节[～气]
tsʰi	1	44	自-[～□kεi41:自己]
tsʰi	5	13	刺[～猪:刺猬]砌
tsʰi	7	41	切七漆
dzi	2	24	齐
dzi	3	51	牸[～牛:母牛(未生育)]
dzi	5	13	湿
dzi	7	41	节[~省，又见tsi24，tsi41]
si	1	44	西[(又见siε44)]私[(又读sɿ44)]
si	2	24	席
si	3	51	死□[～□□uo24 sɿ44:蝉]
si	5	13	细四媳熄性[～命，又见sẽ13]
si	7	41	蜇[蜜蜂～人]锡
ʨi	1	44	机箕[筲～，又读ʨiε44]基揭[～开]
ʨi	2	24	摺[(折叠)]骑
ʨi	3	51	纸几[～条]□[昨～:昨天]己[(天干)]
ʨi	5	13	极[太～图]吉
ʨi	7	41	隻[(量词)]
ʨʰi	1	44	折[~本]期
ʨʰi	3	51	是起
ʨʰi	5	13	气汽去[出～，又见kei13]
ʨʰi	7	41	赤[～脚]
ʥi	2	24	棋移旗
ʥi	5	13	舌奇[稀～]
ʥi	7	41	热-[天气~]
ȵi	1	44	泥燃宜
ȵi	2	24	你[(第二人称复数)]
ȵi	3	51	艺[手～]你[(第二人称单数)]
ȵi	5	13	尼腻疑
ȵi	7	41	月-[正～，又见yi41，ȵyi41，ȵiε41]裏[(方位词，又见liu41]
ɕi	1	44	稀
ɕi	2	24	戏什[～家:什么]
ɕi	3	51	喜=
ɕi	5	13	世[先～:前世]
ɕi	7	41	叶-页歇
Øi	1	44	医衣
Øi	2	24	一[又读i41]瞖乙
Øi	5	13	意
Øi	7	41	一[又读i24]噎[～喉了:噎住了]
pu	3	51	补部
pu	2	24	杷[枇～]不=[～得了]□[(训读),打～哈:打呼]□[椑～子:一种野生的小柿子]
pu	5	13	布
pʰu	1	44	铺[床～]
pʰu	3	51	浦[～溪:地名，今浦市]谱普
pʰu	5	13	铺[店～]
bu	1	44	蒲[～扇]□[物体表面下限:瓶子～了]
bu	2	24	菩[～萨]□[～圈子:荸荠]□[量词，一～葡萄:一嘟噜葡萄]□[松～□lu22:松球]
mu	2	24	蜈
mu	5	13	雾
fu	1	44	夫[脚～:挑夫]麸肤
fu	2	24	浮
fu	3	51	斧府腐
fu	5	13	戽[～水]富伏[～天]副[(量词)]幅[(量词)]服傅[师～]妇=[寡～]佛
vu	2	24	壶鬍胡-[～椒]糊-[浆～]猢[～狲:猴子]
vu	3	51	舞-[扔(丢弃;投掷);舞弄:～狮子]□[～钻:钻子]戊[(时辰)]
vu	5	13	学[～古:讲故事]芋[又读ʐu13]
vu	7	41	舞=[跳～]武
tu	1	44	都[首～]
tu	2	24	毒
tu	3	51	肚[鱼肚、人肚]
tu	7	41	赌
tʰu	1	44	独
tʰu	3	51	杜[(地名:～家寨)]土=[～塘:土地庙]
tʰu	5	13	吐[～子:唾沫]兔涂[糊～]
du	2	24	□[(蹲)]
du	5	13	徒图
lu	1	44	炉
lu	2	24	芦[(瓠子)]□[表程度深:肥～了:很肥]□[～□tʂʰʅ51:猫头鹰]□[～蜂:马蜂]
lu	3	51	鸬[～鹚]路[～费]
lu	5	13	露
lu	7	41	读
lu	0	22	□[松□bu24～:松球]
tʂu	1	44	朱
tʂu	2	24	卒
tʂu	3	51	水-主=[～意]帚
tʂu	5	13	□[绑～:凳子的统称]注[用针～:用针扎]
tʂʰu	1	44	吹
tʂʰu	3	51	处[～暑]
tʂʰu	7	41	出
dʐu	2	24	厨[～子:厨师]□[巴巴～:髻]
ʂu	1	44	舒
ʂu	2	24	素[尿～]
ʂu	3	51	秫[～米:糯米]鼠暑[处～]
ʂu	5	13	嗉[鸡～袋:鸡嗉囊]□[被～:被子]□[亮～门:窗户]□[箩～:挑谷用的箩筐]薯术[白～]
ʐu	5	13	入=[～殓]芋[(又读vu13)]
ku	1	44	箍姑孤
ku	3	51	古估[~量]牯股[(量词，又见kʰu51]鼓
ku	5	13	顾故
ku	7	41	骨=[～牌]谷□[蜈～□san33:蜈蚣]
kʰu	1	44	枯㗺[(《集韵》平声模韵空胡切:“～，麻滓饼”)]
kʰu	3	51	苦虎股[屁～，又见ku51]
xu	1	44	呼[招～:招待]
xu	2	24	胡=[姓～]湖[跑江～]糊[～涂]
Øu	1	44	乌
Øu	3	51	捂[～眼睛]
Øu	5	13	吴
Øu	7	41	午[～时]
pɑ	1	44	胅[(跛足)]掰[巴～～]□[tʂu24:髻，又见po44]
pɑ	2	24	排赔牌簰不-[(副词，表示“不”或“没有”;动词:～有(没有)]
pɑ	3	51	摆-把[百～条:百把个，又见po51]
pɑ	5	13	拜
pɑ	7	41	八笔叭[喇～]
pɑ	0	22	吧[(语气词)]
pʰɑ	1	44	披
pʰɑ	3	51	背[～书;～耳朵:耳背。又见pei13]□[(两臂平伸两手伸直的长度)]
bɑ	5	13	脯[胸～]负[背~]□[□tsai24～:肘子]
mɑ	1	44	妈[(乳，乳汁)]
mɑ	2	24	明[～朝:明天，又读moŋ13。又见mo44]
mɑ	3	51	买卖
fɑ	2	24	皮-[肉～]匹[量词:一～布]
fɑ	3	51	火-[炙～:烤火]伙被
fɑ	5	13	贩
fɑ	7	41	法发[～气:生气]
vɑ	3	51	雨有
tɑ	1	44	株[(量词):一～树:一棵树]逗
tɑ	2	24	抬□[阿～:姑姑)]枱[～子:桌子]
tɑ	3	51	底斗-[一～米]陡大=[当～事:办丧事]
tɑ	5	13	豆鬥[～铜钱:凑钱]
tɑ	0	22	哒[(语气词)]
tʰɑ	1	44	梯胎
tʰɑ	5	13	太-[～老□bɔu51:曾祖父之父]剃[□～汗:发汗]塔
tʰɑ	7	41	铁-
dɑ	2	24	头[日～:太阳]
dɑ	5	13	大-[阿～:父亲，又见lʊ13]
lɑ	1	44	篓[秧～:盛猪草、秧苗、牛粪等的筐]
lɑ	2	24	讨[～糜:讨饭]癞[～脑壳:秃顶]呐[唢～]捺
lɑ	3	51	喇[～叭花]
tsɑ	1	44	栽斋
tsɑ	2	24	财
tsɑ	3	51	子-[～～:男子]指[手～，又见tʂʅ51]趾[脚～]在[实～好，又见tsʰɛi51]事-[红喜～]□[门～:外面]
tsɑ	5	13	事[讲～:说话，“事”与“字”清浊对立，原文作“话”]
tsɑ	7	41	□[补～:补丁]
tsʰɑ	1	44	拆[～花:翻绳]猜搊[～屎:把屎]餐搀
tsʰɑ	3	51	取娶测[～八字:算八字]
tsʰɑ	7	41	撤插铲[(又见tsʰai41)]
dzɑ	2	24	梨射[(不自主地大小便:～屎，～尿)]□[(挠)]
dzɑ	3	51	扯
dzɑ	5	13	竖字-漏坼[(皴裂)]
dzɑ	7	41	□[(老鼠啃)]
sɑ	1	44	筛师-[～父]狮丝搜馊嘶
sɑ	3	51	数[(动词)]使-
sɑ	5	13	数[(名词)]
sɑ	7	41	虱[～娘:虱子]
sɑ	0	22	□[□a44～:脏]
kɑ	1	44	街间[时～]家-[兄弟～:爷们儿，又见kuo44，kʊ44]
kɑ	2	24	□[近指(训读)～:这些]
kɑ	3	51	改解[～毒:去毒，又见kia51]
kɑ	5	13	锯[(动词)，又见kei13]□[一～子:一霎那]
kʰɑ	1	44	开
kʰɑ	3	51	打[(训读)]
kʰɑ	7	41	掐
ŋɑ	5	13	艾
xɑ	2	24	咍[玩:《广韵》平声咍韵呼來切，笑也]
xɑ	3	51	海会[～不～]弟[(训读)]
ɦɑ	2	24	喉□[(我;我们)]
ɦɑ	3	51	后[～娘]厚
Øɑ	1	44	阿[～大:父亲，又见ai44，uo44]
Øɑ	3	51	矮呕
Øɑ	5	13	沤□[～□sa22:脏]□[～缚:绕线的工具]
piɑ	5	13	□[(涂抹)]
miɑ	3	51	□[(面煮糗了)]
tiɑ	2	24	绸
tiɑ	3	51	□[～餈:做糍粑时将糯米饭打碎]
tʰiɑ	1	44	抽
tʰiɑ	3	51	柱
tʰiɑ	7	41	缔[～鞋带:系鞋带，又说缚鞋带∥《广韵》去声霁韵特计切:“结也。”声调与演变规律不合，但乡话中有个别去声字读同入声，如“借”]
liɑ	1	44	刘
liɑ	3	51	柳绿溜[～肩膀，又读lio51]
liɑ	7	41	六陆
tsiɑ	3	51	酒
tsʰiɑ	1	44	秋-[交～:立秋]□[(短)]
dziɑ	2	24	泅[～水:游泳]
dziɑ	7	41	像
siɑ	1	44	杀修
ʨiɑ	1	44	加家=[败～子]
ʨiɑ	2	24	求
ʨiɑ	3	51	九久韭主-[作～]
ʨiɑ	5	13	树犟[(倔强)]架=[摆～子]甲㲃[～紧:拧紧∥《广韵》去声宥韵居祐切:“强击。”]
ʨʰiɑ	1	44	丘
ʨʰiɑ	3	51	寿-[～岁:寿辰]□[～子:钹]
ʥiɑ	2	24	球-[大蒜～:大蒜头]李-[麦～:李子，又见liu51]
ȵiɑ	1	44	捱岩[(石头)]
ȵiɑ	3	51	纽
ȵiɑ	5	13	碍
ȵiɑ	7	41	捏
ɕiɑ	1	44	收
ɕiɑ	2	24	赎
ɕiɑ	3	51	手[～□ʨiɔu24:毛巾，又见ɕiɔu51]下=[～课]夏
ziɑ	1	44	油由-友
kiɑ	1	44	鸡勾钩沟鸠[布～:斑鸠]阄[抓～]□[(捆绑人、鸡、牛等有生命的东西)]
kiɑ	3	51	解[脱:～衣冠(脱衣服)，又见ka51]
kiɑ	5	13	够
kiɑ	7	41	结-[编、织:～脑毛辫子(编辫子)]
kʰiɑ	1	44	溪抠[～耳屎:掏耳朵]
kʰiɑ	3	51	□[(喜欢)]
Øiɑ	2	24	押=[～金]
tuɑ	5	13	对碓队兑
tʰuɑ	1	44	跑[(训读)]□[作～:作伴儿]□[～颗铜:镀上点铜]
tʰuɑ	3	51	腿
tʰuɑ	5	13	退褪
luɑ	2	24	擂[～辣椒]
tsuɑ	2	24	撮[量词:一～毛，又见tsuɛ24]啄[～木官官:啄木鸟]扎
tsuɑ	5	13	岁
tsuɑ	7	41	捉
tsʰuɑ	1	44	催
dzuɑ	3	51	罪
suɑ	7	41	刷洒甩
kuɑ	1	44	瓜乖[(漂亮;乖巧，听话)]
kuɑ	2	24	□[～壳:蚌]
kuɑ	3	51	寡
kuɑ	5	13	盖[(名词)]怪挂卦
kuɑ	7	41	刮骨-
kʰuɑ	5	13	块快
kʰuɑ	7	41	窟[洞～:地窖]
xuɑ	1	44	花
xuɑ	5	13	划[～拳，又见ua24]化
Øuɑ	1	44	挖
Øuɑ	2	24	划[～手:招手，又见xua13]滑那[(训读)]
Øuɑ	3	51	瓦
po	1	44	疤巴[～结;烫(形容词)，～水:很烫的水。又见pa44]菠
po	2	24	耙钵=[椒～:擂钵]
po	3	51	把[一～刀，又见pa51]
po	5	13	坝[(堤)]笆[栏～:篱笆]钹
po	7	41	百-伯
pʰo	1	44	白-[～菜]
pʰo	3	51	妇-[媳～:儿媳，又读pʰai13]
pʰo	5	13	帕
pʰo	7	41	拍扑
bo	2	24	扒[～船]爬[又读luo24]
bo	3	51	趴[～倒睏:趴着睡;～脑壳:低头;～腰:弯腰]
mo	1	44	麻模明[～年，又见ma24，moŋ13]
mo	2	24	婆[～子:已婚女子，又见bʊ24]蚂[～蚁]
mo	3	51	马码
mo	7	41	抹[～布]莫麦
vo	5	13	袜
lio	1	44	□[～手:手残者]
lio	3	51	溜[～肩膀，又读lia51]
lio	7	41	历-[～头:历书]栎[白～树]
tsʰio	5	13	□[(躲藏)]
dzio	2	24	斜
dzio	5	13	谢[花～]
sio	3	51	写
ʨio	1	44	遮
ʨio	2	24	角[一～钱，又见kɔu41，kuo41]
ʨio	7	41	炙[～火:烤火]□[～盒□dɔu13:膈肢窝，腋下]
ʨʰio	1	44	车[水～，又见ʨyi44]石[～灰]蚯
ʨʰio	7	41	尺
ʥio	3	51	□[(一虎口的长度)]□[(跨，迈)]
ʥio	5	13	留□[～了字:落了字]
ȵio	1	44	黏鲇
ȵio	7	41	咬
ɕio	1	44	畲[～刀:长柄柴刀]赊
ɕio	3	51	舍
ɕio	2	24	□[油～～:山蜥蜴]
ʑio	2	24	□[蚯～:蚯蚓]
ʑio	3	51	惹野揖[唱～:作揖]
ʑio	5	13	夜
Øio	2	24	约[～秤:复秤，验秤]
tuo	1	44	拿[(训读)，拿;使，～箸:使筷子;表处置，与“把”相当]
tuo	3	51	□[～屄:交合]
tuo	7	41	答搭[～早:趁早]□[～耙:四齿耙]
tʰuo	1	44	拖[～把]
tʰuo	2	24	沓[一～纸]□[～柜:室内存放稻谷的器具]
duo	5	13	獭[水～]
duo	2	24	坨[(成块或成团的东西):煤～(煤球);量词:一～纸(一卷纸);人名后:金～，银～]□[□luo51～:叨唠]
luo	2	24	爬[又读bo24]□[～豆:黄豆]□[楼～:阳台;～～:过道，走廊]□[腿～:大腿根儿]萝[菠～]
luo	3	51	□[～□duo24:叨唠]
luo	7	41	腊蜡辣
tsuo	1	44	楂[山～]
tsuo	2	24	杂
tsuo	3	51	两[训读，(又见lioŋ51)]□[两]
tsuo	5	13	炸[～弹]灒[(溅水)]扎[～实:坚固]
tsuo	7	41	□[(塞紧)]
tsʰuo	1	44	叉[鱼～]差[～不多]
tsʰuo	3	51	□[～子:垃圾]
tsʰuo	5	13	□[室～:地基]岔[三～路]
dzuo	2	24	查
suo	1	44	沙痧三[(又见soŋ44)]杉
suo	5	13	塑[～像]
suo	7	41	萨[菩～]□[～贴:收拾(东西)，打扫]
zuo	2	24	纱[(线)]
kuo	1	44	家-[亲～:岳父，又见ka44，kʊ44]鹐[(鸟啄物)]
kuo	2	24	舅
kuo	3	51	果假[真～]
kuo	5	13	嫁价架-[个～郎:个子，又见kei13]
kuo	7	41	□[～□lai:冬天]割[(剪)]夹隔□[半～:半天]角[长豆～:豇豆，又见kɔu41，ʨio24]
kʰuo	2	24	昨
kʰuo	5	13	课□[鱼～:鱼刺]
kʰuo	7	41	客
ŋuo	1	44	伢[～崽:小孩儿]牙芽
ŋuo	2	24	恶[善~]
xuo	1	44	虾鳃腮[～骨头:腮帮子]哈[～歇:哈欠]
xuo	2	24	盒
xuo	3	51	下-[～酒，又见ɦuo51，uo24]
xuo	5	13	和=[～气]荷=[～花]
xuo	7	41	瞎吓[惊~]
ɦuo	3	51	下-[～种，又见uo24，xuo51]
Øuo	1	44	丫[～口:张口]桠[～杈]□[(跨)]阿[～鹊娘:喜鹊，又见a44，ai44]轭[牛～]
Øuo	2	24	下-[～底去:下去，又见ɦuo51，xuo51]鸦[老～:乌鸦]□[～～:叔叔]□[～屎虫:蝉]
Øuo	3	51	哑
Øuo	5	13	隘[(窄)]
Øuo	7	41	压押-
pʊ	7	41	钵-[～头:钵]拨
pʰʊ	2	24	□[量词，一～:一瓣]
pʰʊ	7	41	泼[～了:洒了]
bʊ	2	24	婆[家～:外祖父，又见mo24]
bʊ	3	51	坡
bʊ	5	13	薄
mʊ	1	44	磨[～刀，又见mʊ13]摸[□～～豆角:扁豆]
mʊ	5	13	魔[～芋]磨[石磨，又见mʊ44]□[～燕:老鹰]
mʊ	7	41	末亩蚊
tʊ	1	44	朵托
tʊ	5	13	带[～子，又见dʊ13]
tʊ	7	41	着[～衣:穿衣]
tʰʊ	1	44	着[用在动词后，表示已经达到目的或有了结果，睏～了:睡着了，射～了:射中了;表被动，～打:被打。]
tʰʊ	7	41	踏脱
dʊ	1	44	□[～行～讲:边走边说]
dʊ	2	24	屠□[□lʊ41～:横着，又说“□lʊ41横”]
dʊ	5	13	带[(动词)]
lʊ	1	44	锣箩脶捋[捻;揉;捋]烙萝落[～皮:脱皮，又见dzʊ41]
lʊ	2	24	□[～菜:择菜]
lʊ	5	13	大
lʊ	7	41	□[～横:横着]
lʊ	0	22	啰[(语气词)]
tsʊ	1	44	租
tsʊ	5	13	□[(高粱)]
tsʊ	7	41	祖组雀[～儿:鸟儿]
tsʰʊ	1	44	搓锉[(凿子)]
tsʰʊ	5	13	错
tsʰʊ	7	41	擦
dzʊ	1	44	□[～口:亲吻;吮吸]
dzʊ	7	41	落[～雨:下雨，又见iʊ44]
sʊ	1	44	蓑梭唢蔬
sʊ	3	51	锁□[(涩)]
sʊ	7	41	索[～子:绳子]缩
kʊ	1	44	歌哥锅家-[李～岭，又见kuo44，ka44]
kʊ	3	51	裹
kʊ	5	13	过
kʊ	7	41	各脚葛[～根]□[～手指壳:剪指甲]
kʰʊ	1	44	窠□[～树:油茶树;～叶:油茶树叶]
kʰʊ	3	51	可颗
kʰʊ	7	41	渴阔[(宽)]
ŋʊ	1	44	鹅欧
ŋʊ	3	51	我
xʊ	1	44	缚[(系;捆)]
xʊ	2	24	活
xʊ	3	51	贺户何[～条:谁，哪个]
xʊ	5	13	货
xʊ	7	41	蠚吼霍[～闪:闪电]火=[(五行之一)]
ɦʊ	2	24	河和-[～棋]合荷-[～包卵:荷包蛋]
ɦʊ	3	51	祸
Øʊ	1	44	莴[～笋]屙窝
Øʊ	2	24	禾[(稻草)]
Øʊ	3	51	□[(训读)，打，～过秋:荡秋千]□[(训读)，打。～和:吆喝]
Øʊ	7	41	鸭
tiu	1	44	中-猪爹丢
tiu	5	13	住箸[(筷子)]
tʰiu	1	44	值直
liu	1	44	龙垄
liu	2	51	□[掉落;丢失;落下]礼理李-[地名:～家岭]鲤裏[里儿，与面儿相对]岭[地名:枞～]
liu	5	13	凝[汤～成冻了]
liu	7	41	力
tsʰiu	1	44	蛆秋=[～天]□[架鸭脚～:架二郎腿]
dziu	5	13	袖
siu	1	44	须[包谷～]
siu	5	13	絮绣
siu	7	41	粟
ʨiu	1	44	书珠[眼～]就邹周洲升[一～]终[送～]钟弓舂[～米]□[～～:赤子阴]
ʨiu	5	13	球=[皮～:篮球]□[田～:田埂]醜冲[地名:栽家～，又见ʨiu44]
ʨiu	7	41	织竹烛
ʨʰiu	1	44	称[～重量]熟冲[～过去，又见ʨiu13]属
ʨʰiu	5	13	秤铳
ʨʰiu	7	41	畜丑[～时]
ȵiu	1	44	鱼渔浓
ȵiu	2	24	□[猪～:猪食]
ȵiu	3	51	女耳-[～屎]
ȵiu	7	41	肉□[□ʨiɑu13～:蜻蜓]
ɕiu	1	44	胸
ɕiu	5	13	瘦
ʑiu	2	24	余[～～:剩余]□[～～:容易]食-[～糜:吃饭]
ʑiu	3	51	绒茸氄[～毛]
Øiu	1	44	又□[中～:中间]
Øiu	2	24	由=[自～棍:拐杖]
Øiu	3	51	酉
pai	2	24	盆百=[～货店]
pai	3	51	粉-[麦～:面粉]本败
pai	5	13	笨
pʰai	2	24	派
pʰai	5	13	妇[媳～:儿媳，又读pʰo51]
mai	1	44	门
mai	3	51	尾
mai	5	13	万闷问
fai	1	44	分
fai	2	24	坟豶[～犬:公狗]
fai	3	51	反-[～手:左边]翻
fai	5	13	喷[～水]
vai	3	51	远
vai	5	13	份物
tai	1	44	颠癫
tai	3	51	点顶□[～家:女婿]
tai	5	13	店代
tʰai	1	44	添天
tʰai	2	24	太=[～极图]态
tʰai	3	51	垫定-
dai	3	51	沉澄[水～一～:把水澄清]
lai	1	44	年这[(训读)]
lai	2	24	田
lai	3	51	簟[(席子)]碾
tsai	1	44	尖煎筝
tsai	2	24	坐[坐;住]再□[家～:家具]□[～□ba13:肘子]钱盏[灯～，又见tsai51]崽[伢～:小孩]□[辣～:辣椒]
tsai	3	51	盏[量词:一～灯，又见tsai24]剪
tsai	5	13	箭
tsʰai	1	44	签千-□[(戳)]
tsʰai	3	51	浅
tsʰai	7	41	铲[～分勺:锅铲，又见tsʰa41]
dzai	2	24	才
sai	1	44	山新薪先籼[～米]
zai	2	24	来
kai	1	44	跟该
kai	5	13	戒介芥
gai	2	24	呆[发～，又见ŋεi24]
ŋai	2	24	爱
ŋai	3	51	眼-雁
xai	2	24	核[～桃]
xai	3	51	害亥[(时辰)]
xai	7	41	恨很
Øai	1	44	阿[～娘:母亲，又见a44，uo44]还[～有，又见voŋ24]
Øai	5	13	厌
pɛi	2	24	棚朋篷[(帆)]
pɛi	3	51	簸[动词，～一～摆打*～子:发疟疾]甏[(盛放酒或粮食的大坛子)]
pʰɛi	2	24	柏配
bɛi	2	24	缝[裁～，又见vei13]
bɛi	3	51	埋[又读mei44]
mɛi	2	24	脉
mɛi	3	51	妹
mɛi	7	41	密
fɛi	3	51	腐[破碎;破烂;腐烂∥韵母特殊]
tɛi	2	24	台[戏～，窗～]□[妈～:乳房]
tɛi	3	51	等
tɛi	7	41	□[～使:骗]
tʰɛi	3	51	土-
dɛi	2	24	同铜桐茼[～蒿]
lɛi	3	51	拢
tsɛi	2	24	曾[不～:没有(副词)]□[(一种竹背篓)]□[厅～:堂屋]
tsɛi	3	51	□[雨～了:雨停了]
tsʰɛi	3	51	在[(又见tsa51)]
dzɛi	2	24	层裁□[(踩)]□[什家～间:什么时候]
dzɛi	3	51	动□[(用)]
kɛi	3	51	讲舅[~父]梗[子～:脖子]粳[～米]□[自～:自己]羹[调～]
kʰɛi	3	51	肯□[碓～:臼]□[～疮壳:结痂]□[～雾露:下雾]
ŋɛi	2	24	呆[(刀子)钝，不锋利;笨:～手～脚(笨手笨脚)。又见gai24]
xɛi	3	51	哄[～小孩]□[～汁:溃脓]
ɦɛi	2	24	红-
Øɛi	3	51	饮[～水，～酒]□[～□ʐu13:庄稼]□[～血:淤血]
piɛ	2	24	便[～宜，又见pʰiε44]
piɛ	5	13	变边[近～:附近]鳊[～鱼，又读pʰiε13]
pʰiɛ	1	44	偏篇便[方～]
pʰiɛ	3	51	辫□[□liɔu24～:围嘴儿]
pʰiɛ	5	13	□[～子:簪子]骗撇片鳊[～鱼，又读piε13]
miɛ	1	44	棉[(又读mi44)]
tiɛ	2	24	□[～儿:男阴，又读ti24]□[～了:涝了]
tʰiɛ	1	44	伸
tʰiɛ	2	24	铁=[磁～]帖特
tʰiɛ	7	41	涕[鼻～]嚏[喷～]贴
diɛ	2	24	尘芹碟
diɛ	3	51	舔[(声母特殊)]
liɛ	1	44	镰连
liɛ	2	24	莲
liɛ	3	51	殓
tsʰiɛ	1	44	亲
tsʰiɛ	7	41	戚
dziɛ	2	24	前
siɛ	1	44	西[东～，又见si44]参[人～]仙鲜[新～]心-辛-惜司[官～，又见sɿ44]
siɛ	5	13	信色姓
ʨiɛ	1	44	茎针金-肩真震斤筋经[谈～:聊天]惊[～蛰]箕[筲～，又读ʨi44]砧[～板]占[～米]
ʨiɛ	2	24	㓺[～羊:阉过的羊∥《广韵》元韵居言切:“以刀去牛势。或作犍。”]
ʨiɛ	3	51	碱枕笕紧整[～田]
ʨiɛ	5	13	见-[望～]
ʨiɛ	7	41	结[巴～]
ʨʰiɛ	1	44	牵
ʨʰiɛ	3	51	件近□[～想:沉思]□[挂～:挂念]□[～牯:犍牛]
ʥiɛ	2	24	缠勤
ȵiɛ	1	44	银
ȵiɛ	5	13	染孽[造～]认
ȵiɛ	7	41	月[先个～:上个~]聂
ɕiɛ	1	44	深身
ɕiɛ	3	51	闪社
ɕiɛ	5	13	扇蛇[生肖]
ʑiɛ	2	24	神盐檐业[家～]□[马～:虹]
ʑiɛ	5	13	热=[～闹]
Øiɛ	1	44	阴-[～阳]阉醃烟[纸～，又见uε44]餍[饱∥《广韵》盐韵於廉切:“饱也。又於豔切”]
Øiɛ	3	51	也掩
Øiɛ	5	13	印燕□[(量长短)]
Øiɛ	7	41	叶=[百～肚:牛肚儿(带毛状物的那种)]
tuɛ	1	44	蹲墩驐[～犬:阉狗∥《广韵》魂韵都昆切:“驐，去畜势。出《字林》”]
tuɛ	2	24	锤捶顿槌
tuɛ	5	13	□[回来，归;往～头行:往回走]
duɛ	2	24	团[～枱:圆桌，又见doŋ13]
luɛ	1	44	轮
luɛ	2	24	圞[(整个的，又见loŋ24)]
tsuɛ	2	24	撮[～起;量詞:一～米。又见tsua24]全
tsʰuɛ	1	44	村寨
tsʰuɛ	2	24	□[打(训读)～:打盹]黢[～黑:很黑]
tsʰuɛ	3	51	揿[(按)]喘
