音标	调类	调值	辖字
tsʰin	5	35	浸靘鋟凊
dzin	6	24	靜淨
sin	5	35	信訉
tʃin	5	35	正証證振鎮政震侲
tʃʰin	5	35	秤稱趁鴆疢
dʒin	6	24	鄭慎乗陣朕
ʃin	5	35	聖勝腎
ʒin	6	24	認
根韵			
kən	1	55	根跟更莖庚賡鶊耕羹
kʰən	1	55	坑{俗字}阬硜鏗牼慳{俗音}
xən	1	55	亨哼
ɣən	2	12	衡恆珩桁痕行拫
pən	1	55	奔犇賁崩痭漰{原书字形中“山”作“罒”。~渤，水撃聲}伻
pʰən	1	55	烹
bən	2	12	彭盆蟛膨葐朋𨂃{踰也，跳也}湓鵬
mən	2	12	門們菛捫虻
fən	1	55	分芬棼{亂也}氛訜紛餴
vən	2	12	汾焚墳坟羵豶聞蚊
tən	1	55	登燈敦豋{豆也}惇墩炖{熾也}憕
tʰən	1	55	吞
dən	2	12	謄滕藤䕨騰臀
nən	2	12	能掄輪論綸侖崙稜
tsən	1	55	爭曾罾繒憎嶒樽蓁尊遵猙箏矰錚蹭臻崢
tsʰən	1	55	村參{~差}撐
dzən	2	12	存循巡曾{~是}馴{不前也雅~又漸也}峋恂詢旬層橙洵
sən	1	55	生牲僧參{曾子名參}孫笙鼪薓蕤飡
耿韵			
kən	3	42	耿梗绠哽骾鲠亙
kʰən	3	42	懇肯墾
ɣən	3	42	很狠悻杏
pən	3	42	本畚
bən	3	42	体{抬柩之人曰~夫俗作體误}呠𥢊
βən	3	42	忿{~怒}刎文{~过}
fən	3	42	粉
tən	3	42	等戥{~秤此俗字}
tʰən	3	42	㖔
dən	3	42	鄧
nən	3	42	冷
tsən	3	42	怎撙
tsʰən	3	42	忖
sən	3	42	笋筍省損榫𤯝{~災小過也}
艮韵			
kən	5	35	艮
ŋən	6	24	硬鞕
xən	5	35	啈{~氣俗云爭氣}
ɣən	6	24	杏憾{怨~}恨
pən	5	35	榜{~人船人也}
pʰən	5	35	坌{塵飞也}
bən	6	24	𥦜{葬下土也}𪔑
mən	6	24	孟悶懣
fən	5	35	糞憤奮僨噴拚{掃席前曰~}
vən	6	24	絻
βən	6	24	分{職~，安~}問汶紊
tən	5	35	鐙凳{桌~}櫈頓
tʰən	5	35	㧷
dən	6	24	鄧{俗音}鈍遁遯
lən	6	24	嫩媆論
尖韵			
tɕian	1	55	尖兼蒹肩鰜牋堅豣磏鞬慳鐫
tɕʰian	1	55	愆千{俗音}仟{俗音}籤搴筌𢳍騫韆遷褼䀒僉謙牽
dʑian	2	12	鉗箝拑黔乾䖍仱錢{俗音}前{俗音}潛籛{俗音}
ȵian	2	12	年嚴妍斫{~抹}拈
jian	1	55	煙烟湮焉鄢嘕嫣燕炎醃堙陻咽臙㤿
ɕian	1	55	先{俗音}仙僊鱻秈蹮
ʑian	2	12	䫇絃賢舷
jian	2	12	言延筵簷鹽沿幨舷{俗音}弦{俗音}嫌{俗音}閻蜒
pian	1	55	邊籩鞭編斒鯾鳊
pʰian	1	55	篇偏扁褊{俗音}
bian	2	12	弁駢便胼
mian	2	12	綿眠緜緍
tian	1	55	顛癲
tʰian	1	55	天添
dian	2	12	田恬填窴鈿佃
nian	2	12	連蓮廉簾聯漣劆鐮縺鰱憐𢅏濂帘籨匳謰
tsian	1	55	殲
tsʰian	1	55	千仟芊
dzian	2	12	前錢潛
sian	1	55	先仙僊
tʃian	1	55	占沾瞻黏粘鮎氈饘苫邅詹鸇羶覘幨旃鱣佔惉
tʃʰian	1	55	㢟
dʒian	2	12	躔廛纏
ʒian	2	12	然禪嬋蟬
捡韵			
tɕian	3	42	撿檢翦{俗音}蹇繭絸襺戩{俗音}謭{俗音}搴梘䮿
tɕʰian	3	42	慊{俗音}歉
dʑian	3	42	儉件芡
ȵian	3	42	撚{俗音}儼捻
jian	3	42	掩揜演衍眼兖蝘愝奄魘鼴閹䁆偃渰淹
ɕian	3	42	險礆顯跣獫玁
pian	3	42	匾扁貶砭褊蝙
mian	3	42	勉免冕勔眄緬沔湎
tian	3	42	典點䠄𥮏
tʰian	3	42	忝餂覥餮
dian	3	42	殄
nian	3	42	臉{俗音}瀲孌斂臠璉輦
tsian	3	42	翦謭戩
tsʰian	3	42	淺
dzian	3	42	餞踐
sian	3	42	燹跣
tʃian	3	42	展輾囅
tʃʰian	3	42	遣謟繾譴
dʒian	3	42	磰
ʃian	3	42	閃陝覢
ʒian	3	42	染冉苒善髥
见韵			
tɕian	5	35	見劍箭建薦{俗音}餞{俗音}洊{俗音}臶{俗音}荐韉僭牮
tɕʰian	5	35	欠艌茜{俗音}倩
dʑian	6	24	健儉件漸鍵
ȵian	6	24	硯念唸喭騐研彦釅廿諺讞唁這驗
jian	5	35	厭饜燕䴏讌宴豔醼嚥灧爓燄
ɕian	5	35	線獻憲現睍見晛綫鋧
pian	5	35	變
pʰian	5	35	騙片遍徧
bian	6	24	便辨辮辯卞弁
mian	6	24	面麫眄
tian	5	35	店玷痁殿瑱坫
dian	6	24	簟殿奠佃靛電澱蒨
nian	6	24	鍊練殮歛瀲戀念
tsian	5	35	薦洊臶荐牮餞
tsʰian	5	35	茜
dzian	6	24	件漸
sian	5	35	線
tʃian	5	35	戰佔占顫颭
dʒian	6	24	𧸳𧸖
ʃian	5	35	扇騸煽㮼謆
ʒian	6	24	善膳鱔贍繕墠禪
甘韵			
kan	1	55	甘乾奸艱姦干肝柑菅間竿玕蕳緘杆
kʰan	1	55	堪戡刊龕看㪁
ŋan	2	12	顔巖豻
an	1	55	安鞍鞌諳庵菴
xan	1	55	酣泔鼾憨疳㰹
ɣan	2	12	寒鹹銜函涵嫻閑咸緘{俗音}閒嫺含韓䤴䘶䩂鷴
pan	1	55	班斑頒扳瘢
pʰan	1	55	攀
ban	2	12	𨂝
man	2	12	蠻䅼𪈿
fan	1	55	番旙繙{俗音}翻
van	2	12	煩繁蘩凡帆
βan	2	12	樊礬藩燔蹯籓墦璠膰蕃
tan	1	55	丹單簞躭耽酖聃殚擔禅
tʰan	1	55	灘攤擹貪探䆱癱㤾
dan	2	12	檀談彈潭藫曇罎𤑶惔譚覃
nan	2	12	南蘭攔闌欄婪藍難喃斕嵐枏諵㘓𦧼
tsan	1	55	簪鑽
tsʰan	1	55	參餐驂
dzan	2	12	鑱蠶饞讒攙殘儳慙慚巉潺孱
san	1	55	芟三栅删山衫
zan	2	12	蟾
敢韵			
kan	3	42	敢撼感揀柬減趕簡橄
kʰan	3	42	坎侃欿刊
ŋan	3	42	眼
an	3	42	盫晻
xan	3	42	罕𠳾喊闞噉
ɣan	3	42	限頷瞰
pan	3	42	板版阪蝂𦙀{俗音}昄闆
man	3	42	滿懣
βan	3	42	晚挽
fan	3	42	反返飯坂
tan	3	42	膽胆亶紞
tʰan	3	42	坦蓞菼毯袒{俗音}𤎥忐厂醓𥧹
dan	3	42	淡啖襢
lan	3	42	懶覽戁纜攬赧
tsan	3	42	斬趲瓚寁盞
tsʰan	3	42	產鏟剗摌摻滻慘㦫噆
san	3	42	傘繖散澘
谏韵			
kan	5	35	諫閒幹榦監鑑鑒㵎斡
kʰan	5	35	看覵矙闞
ŋan	6	24	岸雁暗盫闇贋
an	5	35	晏案按揞
xan	5	35	漢
ɣan	6	24	翰瀚陷埳汗悍限旱莧扞捍
pan	5	35	扮絆𢲔半
pʰan	5	35	盼襻闆
ban	6	24	瓣辦
man	6	24	慢蔓漫縵僈嫚謾
fan	5	35	泛𪞖販氾
van	6	24	萬飯
βan	6	24	犯范𧍙範笵
tan	5	35	旦妲擔
tʰan	5	35	炭歎嘆𦧡探𢾡𪊇
dan	6	24	但憚蛋澹𠻪彈
nan	6	24	濫難爁爛瓓纜
tsan	5	35	濺贊讚站
tsʰan	5	35	燦懺粲璨
dzan	6	24	棧壍鏨暫湛
san	5	35	散訕疝
歌韵			
ko	1	55	歌哥鍋戈柯過
kʰo	1	55	科苛柯{俗音}窠蝌軻珂
ŋo	2	12	俄我鵝娥訛莪哦蛾峩峨譌
o	1	55	窩倭咼㗻阿訶娿鈳閜
xo	1	55	呵𪗮
ɣo	2	12	和河禾何荷龢
o	2	12	𥑾
po	1	55	波玻嶓
pʰo	1	55	頗陂坡
bo	2	12	婆𡣩鄱皤
mo	2	12	摩磨魔𩟠
to	1	55	多
tʰo	1	55	拖拕他它佗
do	2	12	鮀㾃{又有异体，病字头下“它”替换为“也”}鼉㸰酡馱佗駝陀沱堶沲
no	2	12	螺騾蠃羅鑼供儺挪腡籮捼挼囉蘿𤄷那
tsʰo	1	55	蹉瑳磋鹺嵯瘥醝傞挱
so	1	55	娑蓑
果韵			
ko	3	42	果菓裹蜾哿餜
kʰo	3	42	可哿顆坷確㩁
go	3	42	𡿇{原书字形“羅”上有“山”}
ŋo	3	42	我𢫷
o	3	42	㛂
xo	3	42	夥{俗音}火伙
ɣo	3	42	禍夥輠
po	3	42	跛
pʰo	3	42	頗叵
mo	3	42	麽
to	3	42	朶垜垛躱𦕰朵嚲
tʰo	3	42	櫜妥嶞
do	3	42	墮爹舵柁隋
no	3	42	裸蠃娜纙那邏砢
tso	3	42	左佐㝾
tsʰo	3	42	挫怍{俗音}脞蓌
so	3	42	鎖鎻𤨏鏁
箇韵			
ko	5	35	箇个閣觕擱鞹過穫槨各鍋鑊角埆括割葛
kʰo	5	35	課騍錁瞌渴廓恪榷愨慤闊確擴壑㲉殼
ŋo	6	24	饿噩鱷鰐蕚卧遏愕鍔諤
o	5	35	握渥惡幄堊遏蠖閼
xo	5	35	盍合闔閤盒{俗音}貨鶴藿嗑嗃活{俗音}貉
ɣo	6	24	賀荷{俗音}禍{俗音}和合盒活
po	5	35	簸鉢撥博駁縛剝襏播鎛
pʰo	5	35	破潑雹爆鉋䥤撲𢷏跑
bo	6	24	薄礴粕箔泊鉑仢
mo	6	24	莫鏌磨茉抹沫妺漠秣幙瘼
to	5	35	刴奪妲
tʰo	5	35	託托度擇脱佗唾塌踏䜚{原书字形走之底上为“眾”}搨闒沓
do	6	24	惰{俗音}舵{俗音}墮鐸踱達脱奪嫷媠
no	6	24	樂落洛糯稬絡蠟懦愞賂臘諾駱拉𥻟酪𣤊袼翋犖
tso	5	35	作桌倬硺綽啄桌棹斲捉做佐斀斫斮婥諑
tsʰo	5	35	錯剉鑿{俗音}䟶怍
dzo	6	24	昨柞坐鑿雜
so	5	35	朔遡索薩
tʃo	5	35	酌覺爵脚著㬭嚼爝
tʃʰo	5	35	卻雀鵲躩矍貜彴逴擢攫濯
ʃo	5	35	灼碩芍削學
ʒo	6	24	若弱篛箬
孤韵			
ku	1	55	孤沽酤篐罛菰觚呱蛄姑嫴辜
kʰu	1	55	枯
ŋu	2	12	吾梧齬鼯娪吳娪蜈
u	1	55	烏惡污汙圬
xu	1	55	呼戲虖嘑滹
ɣu	2	12	胡湖瑚餬巫狐𧲲弧鬍鶘瓠苻
pu	1	55	𧻷哺
pʰu	1	55	鋪
bu	2	12	蒲逋匍痡晡蒱菩
mu	2	12	模謨摹膜嫫摸
fu	1	55	夫孚膚桴郛敷鈇俘罦
vu	2	12	無无亡扶芙蚨符苻毋蕪巫鳧誣餬壺乎𩖬
βu	2	12	牾齬
tu	1	55	都𦘴
tʰu	1	55	悇
du	2	12	徒屠途稌瘏圖荼駼酴菟
nu	2	12	奴孥帑駑蘆廬盧爐鑪櫨攎顱臚鸕壚騈驢鱸
tsu	1	55	租沮殂蛆狙徂趄苴疽
tsʰu	1	55	初麤粗芻
dzu	2	12	鋤{俗音}耡{俗音}耝{俗音}鉏{俗音}雛
su	1	55	疏疎蔬梳㢝蘇穌酥
古韵			
ku	3	42	古鼓牯羖賈股估詁瞽嘏蠱罟盬
kʰu	3	42	苦楛
ŋu	3	42	隖
u	3	42	五伍午旿忤
xu	3	42	虎琥滸戽𣶉
ɣu	3	42	祜户
pu	3	42	補浦圃
pʰu	3	42	譜普溥氆浦
mu	3	42	母
βu	3	42	侮武舞鵡廡嫵
fu	3	42	甫俯府頫腑輔斧釜撫黼腐簠㕮拊
tu	3	42	賭覩睹肚渚堵陼
tʰu	3	42	土
du	3	42	杜
nu	3	42	魯櫓虜擄弩鹵滷努氌嚕虜
tsu	3	42	祖俎阻組咀詛
tsʰu	3	42	楚礎
su	3	42	所數
固韵			
ku	5	35	固骨鵠顧錮痼汩雇故谷穀梏牿嚳
kʰu	5	35	褲袴絝
ŋu	6	24	肭
u	5	35	悟誤捂惡忤晤寤兀卼握杌迕
xu	5	35	罅忽笏
ɣu	6	24	鵠沍觳獲護
u	6	24	祜
pu	5	35	不布佈怖
pʰu	5	35	鋪僕卜扑仆勃{俗音}璞訃{俗音}樸朴鏷赴{俗音}
bu	6	24	捕步埠部簿捗蒲哺
mu	6	24	沐木幕慕暮目睦募牧霂苜
βu	5	35	護{俗音}祜沃{俗音}怙互扈瓠屋{俗音}渥
fu	5	35	賦傅富服伏複福蝠匐賻葍訃付倏紼絥𩊙拂斛{俗音}赴黻腹祓駙幅艴髴佛茯弗祔附
βu	6	24	務父霧騖物勿户{俗音}婦{俗音}互{俗音}負{俗音}蝜婺
tu	5	35	獨毒篤讟斁射犢櫝黠黷殰瀆蠹蠧妬妒卵贕牘
tʰu	5	35	吐兔窟堀突秃㩿
du	6	24	度讀渡杜{俗音}牘荰
nu	6	24	路綠鹿祿錄漉盝鷺輅露勠戮訥陸六{俗音}簏麓僇籙轆醁𧌍
tsu	5	35	祝竹築足燭粥蜀鬻竺觸{俗音}髑妯躅囑
tsʰu	5	35	逐族束簇軸醋措畜蹴蹵餗厝促蹙觸
dzu	6	24	肉{俗音}辱{俗音}助酢縟{俗音}褥祚胙蓐
su	5	35	叔宿夙縮肅俗淑速素訴數熟塾孰屬贖續觫粟矚俶菽愬溯遡塑塐鷫驌㑛遫𧼭蔌簌
tʃʰu	5	35	矗
高韵			
kau	1	55	高膏羔餻糕醪{俗音}膠皋臯鼛睪槔篙嘐{俗音}櫜
kʰau	1	55	敲磽墝尻
ŋau	2	12	熬遨敖獒螯聱□{原书字形为上“敖”下“牛”，牛名}厫翺驁謷坳
au	1	55	鏖
xau	1	55	蒿𧂭茠𦵢𢫩耗{字形存疑。俗音，散也}
ɣau	2	12	豪濠毫□{原书字形上“高”下“豕”，~猪}號壕
pau	1	55	包{俗音}胞{俗音}苞{俗音}裦𧜯
pʰau	1	55	抛{俗音}跑{俗音}
bau	2	12	袍炰{俗音}炮{俗音}庖刨{俗音}匏瓟
mau	2	12	毛旄芼茅髦錨{俗音}矛
fau	1	55	嘌
tau	1	55	刀忉舠魛
tʰau	1	55	韜滔慆叨饕夲
dau	2	12	陶綯淘洮逃桃咷濤萄檮䬞鋾鼗
nau	2	12	勞癆撈蕘牢嘮峱鐃𤎤
tsau	1	55	燥糟遭嘲謿
tsʰau	1	55	操抄鈔訬
dzau	2	12	曹槽漕螬巢
sau	1	55	騷搔𤔢筲{俗音}梢{俗音}颾艄{俗音}䈰{俗音}捎{俗音}
稿韵			
kau	3	42	槀槁稾稿縞杲藁皜
kʰau	3	42	考拷燺熇䯪
ŋau	3	42	襖懊咬齩{俗音}
au	3	42	芺
xau	3	42	好
ɣau	3	42	鎬昊皓浩皞
pau	3	42	保寶褓飽堡葆鴇
mau	3	42	卯昴
tau	3	42	禱擣倒島
tʰau	3	42	討
dau	3	42	道導纛
nau	3	42	老潦惱腦瑙
tsau	3	42	藻澡早蚤爪棗找抓
tsʰau	3	42	草炒煼謅
dzau	3	42	造皁皂
sau	3	42	掃埽嫂稍
告韵			
kau	5	35	告誥窖
kʰau	5	35	靠犒
ŋau	6	24	傲奧凹拗坳燠奡扷
au	5	35	隩
xau	5	35	好耗
ɣau	6	24	號皓{俗音}浩{俗音}昊{俗音}
pau	5	35	豹報凸爆
pʰau	5	35	炮{俗音}泡{俗音}礟{俗音}砲{俗音}
bau	6	24	抱菢𣭀鉋暴虣刨
mau	6	24	冒瑁帽耄媢𢝌眊芼貌
tau	5	35	到倒
tʰau	5	35	套
dau	6	24	道{俗音}導{俗音}蹈盜稻悼
nau	6	24	鬧撓橈
tsau	5	35	罩竈䈇
tsʰau	5	35	躁造{俗音}糙慥操
dzau	6	24	皁皂造{俗音}𢲵漕
sau	5	35	掃譟
居韵			
tɕy	1	55	居俱諸{俗音}琚据豬駒拘洙誅株銖珠蛛裾朱侏雎瀦
tɕʰy	1	55	趨嶇區祛姝貙佉摴祛蛆
dʑy	2	12	劬徐{俗音}除{俗音}藷蒣儲渠蕖蘧躇臞躕衢癯廚醵瞿姁鸜
ȵy	2	12	愚漁圩魚
jy	1	55	迂淤瘀於于
ɕy	1	55	書舒紆輸墟盱吁需{俗音}旴嚅須鬚嬃胥噓
ʑy	2	12	如茹袽洳儒鴽襦殊
jy	2	12	餘盂隅臾俞渝魚{俗音}逾踰窬覦揄余予愉瑜諛璵畬娛虞杅竽歟伃旟腴
举韵			
tɕy	3	42	舉主煮翥楮矩筥麈
tɕʰy	3	42	取處杼抒杵
dʑy	3	42	具聚紵窶緒序敘叙秬柱
ȵy	3	42	女語
jy	3	42	與雨羽宇庾禹窳圄愈傴
ɕy	3	42	暑黍許冔瀡訏鼠墅詡栩
ʑy	3	42	汝乳
ny	3	42	呂侶旅
据韵			
tɕy	5	35	據遽句鑄局踞倨鋸注註駐屨据掬匊菊鞠橘侷跼麴
tɕʰy	5	35	去趣屈怵㰦
dʑy	6	24	懼娶柱{俗音}序{俗音}敘{俗音}拒秬{俗音}苧箸筯詎巨竚距佇炷聚{俗音}遂{俗音}鉅住炬
ȵy	6	24	禦御禺
jy	5	35	遇玉慾欲寓譽馭豫預喻諭熨怕燠芋鸑蜮毓育慰疫噢役鬱郁
ɕy	5	35	恕絮庶戍曙朮朂旭術述
ʑy	6	24	入樹澍
ny	6	24	律屢矞鷸聿{俗音}茟遹濾慮
tsy	5	35	卒
tsʰy	5	35	促
dzy	6	24	辱縟褥
sy	5	35	澀𠽼
瓜韵			
kua	1	55	瓜騧媧蝸
kʰua	1	55	誇夸侉姱𠇗
ua	1	55	蛙窪哇挖跬汙搲蝸
xua	1	55	華花
ɣua	2	12	嘩驊華嘩崋𡼀瞱
ua	2	12	划找
寡韵			
kua	3	42	寡冎剐叧
kʰua	3	42	髁踝
ua	3	42	瓦
xua	3	42	輠
ɣua	3	42	黊蘳
卦韵			
kua	5	35	卦挂褂罣罫
kʰua	5	35	跨胯
ŋua	6	24	豽𦘍{原書字形為“耳閼”}
ua	5	35	窊挖𠹁
xua	5	35	化
ɣua	6	24	滑猾
ua	6	24	畫劃话
fua	5	35	罚法閥伐乏发髪筏
βua	6	24	襪韈
tsʰua	5	35	撮
sua	5	35	刷㕞𢼞
光韵			
kuaŋ	1	55	光胱桄侊洸
kʰuaŋ	1	55	匡眶腔䯑
guaŋ	2	12	狂
uaŋ	1	55	汪
xuaŋ	1	55	荒慌肓讙{俗音}
ɣuaŋ	2	12	黃潢𤛥黌鱑簧橫萑
uaŋ	2	12	王皇遑惶喤完{俗音}頑{俗音}隍煌蝗桓{俗音}
tuaŋ	1	55	端{俗音}
tʰuaŋ	1	55	湍{俗音}
duaŋ	2	12	團{俗音}
nuaŋ	2	12	圝{俗音}
tsuaŋ	1	55	臧莊裝粧妝贓
tsʰuaŋ	1	55	倉{俗音}蒼{俗音}滄撞瘡創窗𥧁𤗉䆫牎愴
dzuaŋ	2	12	牀藏
suaŋ	1	55	桑雙喪霜鸘驦孀
廣韵			
kuaŋ	3	42	廣
kʰuaŋ	3	42	款{俗音}
uaŋ	3	42	往枉尩
xuaŋ	3	42	謊{原書記為“誑”之俗音}詤愰恍
tuaŋ	3	42	短{俗音}
tʰuaŋ	3	42	畽
nuaŋ	3	42	朊
tsuaŋ	3	42	撰纂
tsʰuaŋ	3	42	闖
suaŋ	3	42	爽{俗音}
誑韻			
kuaŋ	5	35	誑
kʰuaŋ	5	35	曠壙貺况
uaŋ	5	35	旺王豢玩圂
xuaŋ	5	35	渙奐
ɣuaŋ	6	24	換愌
puaŋ	5	35	半{俗音}
pʰuaŋ	5	35	奤
buaŋ	6	24	棒蚌蜯
tuaŋ	5	35	斷{俗音}
duaŋ	6	24	斷
nuaŋ	6	24	亂{俗音}
tsuaŋ	5	35	葬髒壯
tsʰuaŋ	5	35	創
dzuaŋ	6	24	狀臓
suaŋ	5	35	蒜涮孿
官韻			
kuan	1	55	官棺關觀鰥倌冠瘝
kʰuan	1	55	寬
guan	2	12	狂
ŋuan	2	12	园
uan	1	55	彎灣
xuan	1	55	歡懽驩貛肓{俗音}
ɣuan	2	12	環還桓寰闤鬟𡑡頑{俗音}
uan	2	12	完
puan	1	55	般搬
pʰuan	1	55	潘{俗音}拌𥕿
buan	2	12	盤槃跘𨃞搫磐瘢
muan	2	12	瞞饅
tuan	1	55	端耑
tʰuan	1	55	湍歂
duan	2	12	團漙摶𥻁𩜵
nuan	2	12	鸞鑾巒圝
tsuan	1	55	鑽
tsʰuan	1	55	倉瘡搶創
dzuan	2	12	牀藏
suan	1	55	酸閂
館韻			
kuan	3	42	館管
kʰuan	3	42	款{俗音}盥𦹔坎{碓~。原文训为“臼”}
uan	3	42	宛盌碗椀琬輓挽腕苑菀
xuan	3	42	緩浣澣莞詤暖恍
muan	3	42	滿
tuan	3	42	短斷
tʰuan	3	42	喘舛彖
nuan	3	42	煖煗
tsuan	3	42	纘籫瓚
suan	3	42	爽磢嗓顙塽𧴅
貫韻			
kuan	5	35	貫慣罐鸛觀丱冠灌串{穿也。疑為“貫”訓讀}
kʰuan	5	35	曠壙
uan	5	35	患豢幻逭宦
xuan	5	35	煥喚渙奐
ɣuan	6	24	換逭
uan	6	24	玩翫
puan	5	35	半
pʰuan	5	35	泮判胖
buan	6	24	畔叛伴怑
tuan	5	35	鍛斷緞
tʰuan	5	35	彖
duan	6	24	段毈
nuan	6	24	亂
tsuan	5	35	鑽
tsʰuan	5	35	篡
dzuan	6	24	饌
suan	5	35	算蒜孿涮
觥韻			
kuən	1	55	觥肱
kʰuən	1	55	髡禿昆{俗音}琨{俗音}崑{俗音}崐{俗音}鯤
ŋuən	2	12	瘒
uən	1	55	溫瘟緼
xuən	1	55	昏葷婚惛惽昬閽渾
ɣuən	2	12	魂
uən	2	12	橫{俗音}
袞韻			
kuən	3	42	袞滾㨰鯀𨍽
kʰuən	3	42	捆綑閫壼悃
uən	3	42	穩
xuən	3	42	脗
ɣuən	3	42	䧰
棍韻			
kuən	5	35	棍睴
kʰuən	5	35	困
ŋuən	6	24	顐
uən	5	35	韞醞蘊
ɣuən	6	24	橫溷混倱
乖韻			
kuai	1	55	乖
kʰuai	1	55	魁盔
ŋuai	2	12	鮠
uai	1	55	歪隈煨猥
xuai	1	55	灰恢詼
ɣuai	2	12	槐淮
uai	2	12	回迴徊洄懷
tuai	1	55	堆
tʰuai	1	55	推㾼
duai	2	12	弚穨頹
nuai	2	12	雷擂蕾
tsuai	1	55	脧
tsʰuai	1	55	摧催
dzuai	2	12	磪
suai	1	55	衰鰓顋揌
拐韻			
kuai	3	42	拐柺𪜯𦫳
kʰuai	3	42	夬蒯塊
uai	3	42	㧳{應當為訓讀。~斷}
xuai	3	42	咶譮
tsʰuai	3	42	揣
suai	3	42	灑洒
怪韻			
kuai	5	35	怪
kʰuai	5	35	快筷澮會膾禬
ŋuai	6	24	聵
uai	5	35	外
uai	6	24	壞
tuai	5	35	祋對
tʰuai	5	35	退
duai	6	24	兌隊
tsuai	5	35	嘬
tsʰuai	5	35	𠻜
suai	5	35	帥
拙韻			
tɕyɛ	5	35	拙掘抉咄決蹶蕨歠觖劂厥鱖訣輟
tɕʰyɛ	5	35	闕玦缺鈌闋
dʑyɛ	6	24	絕崛
jyɛ	5	35	月刖越鉞閱軏{俗音}悅抈曰粵
ɕyɛ	5	35	雪{俗音}說血穴
ɕyɛ	1	55	靴{俗音。原書置於去聲，稱“平聲無韻可置”}
爵韻			
tɕio	5	35	爵屩榷㩁
tɕʰio	5	35	鵲卻
dʑio	6	24	𠶸
ȵio	6	24	虐謔瘧
jio	5	35	藥葯約樂躍慾籥鑰嶽岳禴礿
ɕio	5	35	爍灼
ʑio	6	24	弱箬學
nio	6	24	畧略掠
