汉字	白读	文读	多音字补充	声调			编号
怒	nou33						
魯（鲁）	lou52						
櫓（橹）	lou52						
虜（虏）	lou52						
盧（卢）	lou24						
廬（庐）	lou24						
爐（炉）	lou24						
鹵（卤）	lou52						
露	lou33						
路	lou33						
賂（赂）	lou33						
租	tsou55						
祖	tsou52						
粗	tsʰou55						
組（组）	tsou52						
做		tsɔ31					
助		tsɔ33					
錯（错）		tsʰɔ31					
措		tsʰɔ31					
醋	tsʰou31						
厝	tsʰu31						
蘇（苏）	sou55						
酥	sou55						
塑	sɔk2						
嗉	sou31						
素	sou31						
箍	kʰou55						
辜	kou55						
孤	kou55						
姑	kou55						
古	kou52	ku52					
沽	kou55						
鴣（鸪）	kou55						
枯	kʰou55						
苦	kʰou52						
估	kou52						
固	kou31						
故	kou31						
股	kou52						
鼓	kou52						
訴（诉）	sou31						
賈（贾）	kou52		商賈				
蠱（蛊）	kou52						
雇	kou31						
顧（顾）	kou31						
褲（裤）	kʰou31						
庫（库）	kʰou31						
乎		hu55					
呼		hu55					
吳（吴）	ɡou24						
誤（误）	ɡou33						
伍	ɡou52						
五	ɡou33						
午	ɡou52						
忤	ɡou52						
滸（浒）	hou52						
虎	hou52						
琥	hou52						
胡	hou24						
湖	hou24						
糊	kou24						
狐	hou24						
戶（户）	hou31						
戽	hou31						
滬（沪）	hou33						
烏（乌）	ou55						
嗚（呜）	ou55						
塢（坞）	ou55						
鎢（钨）	ou55						
污	ou55						
互	hou33						
悟	ɡou33						
吾	ɡou24						
梧	ɡou24						
壺（壶）	hou24						
瓠		pu24（俗）					
護（护）	hou33						
惡（恶）		u33	厭惡				
呂（吕）		li52					
侶（侣）		li52					
旅		li52					
驢（驴）		li24					
慮（虑）		li33					
濾（滤）		li33					
疽		tsi55					
蛆		tsʰi55					
阻		tsɔ52					
胥		si55					
居		ki55					
倨		ki31					
鋸（锯）		ki31					
車（车）		ki55					
舉（举）		ki52					
據（据）		ki31					
遽		ki31					
虚		hi55					
墟		hi55					
嘘		hi55					
去		kʰi31					
渠		kʰi24					
巨		ki31					
距		ki31					
拒		ki31					
炬		ki31					
魚（鱼）		hi24					
漁（渔）		hi24					
語（语）		ji52					
御		i33					
禦		i33					
嘘		hi55					
余		i24					
餘（余）		i24					
除		ti24，tu24					
徐		tsʰi24					
譽（誉）		i33					
與（与）		i52					
預（预）		i33					
予	hɔ33	i33					
豫		i33					
序		si33					
舒		su55					
墅		si33					
許（许）		hi52					
女		ni52					
汝	li52	ni52					
如		dzu24					
絮		si31					
恕		su33					
庶		su31					
徐		tsʰi24					
豬（猪）		ti55					
箸		ti33					
緒（绪）		si31					
著		tsu31					
褚		tsʰu52					
諸（诸）		tsu55					
儲（储）		tsʰu52					
暑		su52					
署		su52					
薯	tsi24						
處（处）		tsʰu31					
書（书）		su55					
苧		tsu33					
楚		tsʰɔ52					
黍		su52					
叙		si33					
鼠		tsʰi52					
鋤(锄）		ti24					
初	tsʰei55	tsʰɔ55					
疏	sei55	sɔ55					
蔬		sɔ55					
梳	sei55	sɔ55					
所		sɔ52					
於（于）		i24					
淤		i55					
夫	pou55	hu55					
扶		hu24					
膚（肤）		hu55					
甫		hu52					
傅		hu33					
輔（辅）		pʰu52					
敷		hu55					
斧		pʰu52					
釜		hu52					
付		hu31					
府		hu52					
腑		hu52					
俯		hu52					
腐	hu33	hu52					
附		hu33					
符		hu24					
武		bu52					
賦（赋）		hu31					
鵡（鹉）		bu52					
父	pe31	hu31					
毋	m33						
巫		bu55					
誣（诬）		bu55					
孚		hu24					
孵		hu55					
俘		hu24					
乳		dzu52					
廚（厨）		tu24					
赴		hu31					
訃（讣）		hu31					
句		ku31					
駒（驹）		ki55					
拘		ki55					
雨	hou33	i52					
無（无）	bɔ24						
撫（抚）		hu52					
舞		bu52					
侮		mu52					
虞		i24					
務（务）		bu33					
霧（雾）		bu33					
主		tsu52					
駐（驻）		tsu33					
注		tsu31					
住		tsu33					
柱		tsu33					
數（数）	sou31	siau31					
縷（缕）		li52					
屢（屡）		li52					
芻（刍）		tsʰu55					
趨（趋）		tsʰi55					
雛（雏）		tsʰu24					
取		tsʰi52					
娶	tsʰua33						
趣		tsʰi31					
聚		tsi31					
朱		tsu55					
誅（诛）		tsu55					
蛛		tu55					
株		tsu55					
珠	tsiu55	tsu55					
殊		su24					
需		si55					
儒		dzu24					
輸（输）		su55					
戍		su31					
豎（竖）		su33					
鑄（铸）		tsu31					
須（须）	tsʰiu55	si55					
树	tsʰiu33						
愚		i24					
遇		i33					
寓		i33					
具		ki31					
俱		ki31					
矩		ki52					
瞿		kʰi24					
懼（惧）		ki31					
娛（娱）		i24					
區（区）		kʰi55					
驅（驱）		kʰi55					
樞（枢）		su55					
吁		i33					
迂		i55					
于		i24					
盂		i24					
禹		i24					
宇		i52					
羽		i52					
芋	ou33						
羽		i52					
逾		i24					
榆		i24					
愉		i24					
愈		i33					
喻		i33					
裕		i33					
獃（呆）		tai55					
態（态）		tʰai31					
貸（贷）		tai33					
臺（台）		tai24					
颱（台）		tʰai55					
苔		tai24					
抬		tʰai24					
殆		tai33					
待		tai33					
怠		tai33					
代	te33	tai33					
袋		tai33					
乃		nai33					
耐		nai33					
來（来）		lai24					
災（灾）		tsai55					
栽		tsai55					
宰		tsai52					
載（载）		tsai31					
再		tsai31					
猜		tsʰai55					
胎		tʰai55					
在	te33	tsai33					
戴	ti31	tai31					
采		tsʰai52					
睬		tsʰai52					
彩		tsʰai52					
菜		tsʰai31					
裁		tsʰai24					
材		tsai24					
才		tsai24					
豺		tsʰai24					
財（财）		tsai24					
纔（才）		tsʰai24					
腮		sai55					
賽（赛）		sai31					
該（该）		kai55					
改		kɔi52					
溉		kai31					
概		kʰai31					
凱（凯）		kʰai52					
愷（恺）		kʰai52					
開（开）	kʰʊi55						
慨		kʰai52					
呆		tai55					
礙（碍）		ŋai33					
海		hai52					
孩		hai24					
亥		hai33					
駭（骇）		hai33					
哀		ai55					
埃	ia55	ai55					
唉		ai55					
挨		ai55					
愛（爱）		ai31，aĩ31					
沛		pʰʊi31					
泰		tʰai31					
奈		nai33					
帶（带）	tua31	tai31					
賴（赖）	lua33	lai33					
癩（癞）		lai33					
丐		kai31					
害		hai33					
藹（蔼）		ai52					
靄（霭）		ai52					
拜		pai31					
排		pai24					
埋		mai24					
街	kei55						
戒		kai31					
介		kai31					
疥		kai31					
芥		kai31					
尬		kai31					
界							
届							
蔡	tsʰua31	tsʰai31					
蓋（盖）	kua31	kai31					
蓋（盖）	kaʔ2						
蓋	kʰam31						
太		tʰai31					
大	tua33	tai33					
艾	hiã33	ŋai33					
貝（贝）	pue33						
皆		kai55					
稭		kai55					
偕		hai24					
階（阶）		kai55					
揩		kʰai55					
楷		kʰai52					
諧（谐）		hai24					
齋（斋）		tsai55					
買（买）	bei52						
賣（卖）	bei33						
釵（钗）		tsʰai55					
解	kei52	kai52					
解	ei33		会				
械		hai33					
擺（摆）		pai52					
派		pʰai31					
牌		pai24					
罷（罢）		pa31					
稗		pai33					
奶	leŋ55						
奶	lei52		娘奶，母亲背称				
債（债）		tsai33					
差		tsʰai55	出差				
篩（筛）		sai55					
曬（晒）		sai31					
佳		kai55					
蟹		hai52					
矮	ei52						
柴	tsʰa24						
債（债）		tsai33					
涯		ŋai24					
崖		ŋai24					
捱		ŋai33					
鞋	ei24						
懈		hai33					
隘		ai31					
敗（败）		pai31					
邁（迈）		mai33					
蔽		pi31					
斃（毙）		pi31					
敝		pi31					
幣（币）		pi31					
弊		pi31					
厲（厉）	li33						
勵（励）		lei33					
例		lei33					
祭		tsei31					
際（际）		tsei31					
穄		tsei31					
滯（滞）		tsei31					
制		tsei31					
製（制）		tsei31					
勢（势）	si31						
世	si31	sei31					
誓	si31						
逝	si33						
寨		tsai33					
藝（艺）	ŋei33						
囈（呓）	ŋei33						
刈		i31					
閉（闭）		pi31					
箅		pi31					
陛		pi31					
迷		mi24					
米		bi52					
謎（谜）		mi24					
渧（啼）	tei24						
帝	tei31						
替	tʰei31						
涕		tʰi31					
剃	tʰei31	tʰi31					
蹄	tei24						
啼	tei24						
弟		ti33					
第	tei33						
遞（递）		ti31					
泥	nei24						
犁		li24					
批	pʰei55						
堤	tei55						
底	tei52						
氐	tei55						
低	tei55						
抵	tei52						
體(体）	tʰei52						
提	tʰei24						
題（题）	tei24						
第	tei33						
睇	tʰei52						
犁	lei24						
禮（礼）	lei52						
黎	lei24	li24					
齊（齐）	tsei24						
細（细）	sei31						
麗（丽）	lei33						
隸（隶）	lei33						
擠（挤）	tsei31						
濟（济）	tsei31						
妻	tsʰei55						
凄	tsʰei55						
砌	tsʰei31						
薺（荠）	tsei24						
棲（栖）	tsʰei55						
犀	sai55						
洗	sei52						
稽	kʰei55						
計（计）	kei31	ki31					
繼（继）		ki31					
繋（系）		ki31					
溪	kʰei55						
啟（启）	kʰei52						
契		kʰi31					
倪		ni24					
詣（诣）		i33					
兮		hi55					
奚	hei24						
系	hei33						
係（系）	hei33						
雞（鸡）	kei55						
計（计）	kei31						
倪	nei24						
臍（脐）	tsai24						
西	sai55						
婿	sai31						
梯	tʰʊi55						
縊（缢）		i31					
配	pʰue31						
媒	mue24						
妹	mue33						
堆		tʊi55					
對（对）		tʊi33					
推		tʰʊi55					
頽（颓）		tʰʊi24					
隊（队）		tʊi33					
餒（馁）		nʊi52					
雷		lʊi24					
儡		lʊi52					
催		tsʰʊi55					
崔		tsʰʊi55					
碎		tsʰʊi31					
瑰		kʊi31					
盔		kʰʊi55					
魁		kʰʊi24					
詼（诙）		hʊi55					
傀		kʰʊi24					
塊（块）		kʰuai31					
桅		ʊi24					
賄（贿）		hʊi52					
杯	pue55						
輩（辈）	pue31						
背	pue31						
悖	pue31						
坯	pʰue55						
胚	pʰue55						
呸	pʰue31						
培	pʰue24						
賠（赔）	pʰue24						
陪	pʰue24						
倍	pue31						
佩	pʰue31						
珮	pʰue31						
盃（杯）	pue55						
枚	mue24						
玫	mue24						
梅	mue24						
每	bue52						
妹	mue33						
昧		mʊi33					
煤	mue24						
罪		tsʊi31					
恢		hʊi55					
悔		hʊi52					
晦		hʊi31					
回	hue24						
茴		hʊi24					
退	tʰe31	tʰue31					
腿		tʰʊi52					
內（内）		lai33					
堆		tʊi55					
灰	hu55	hue55，hʊi55					
最	tsue31						
會（会）	hue33						
薈（荟）		ʊi52					
劊（刽）		kʊi31					
繪（绘）	hue33						
外	ɡua33，ua33	ɡue33					
畫（画）	ue33	hua33					
畫（画）	ueʔ5						
話（话）	ue33						
快		kʰuai31					
歲（岁）	hue31						
贅（赘）		tsʊi31					
稅（税）	sue31						
說（说）	sue31						
衛（卫）	ue33						
銳（锐）		dzʊi33					
睿		dzʊi33					
匯（汇）	hue33						
潰（溃）		kʰʊi31					
煨		ʊi55					
兑		tʊi31					
乖		kuai55					
怪		kuai31					
蒯		kʰuai31					
淮		huai24					
懷（怀）		huai24					
槐		huai24					
壞（坏）		hai33					
拐		kuai52					
掛（挂）		kua31					
卦		kua31					
歪		uai55					
蛙		ua55					
快		kʰuai31					
筷		kʰuai31					
話（话）	ue33						
脆		tsʰʊi31					
彗		hʊi33					
綴（缀）	tue31	tsʊi31					
贅（赘）		tsʊi31					
鱖（鳜）		kʊi31					
廢（废）		hʊi31					
肺		hʊi31					
吠		pʊi33					
穢（秽）		hʊi31					
圭		kʊi55					
閨（闺）		kʊi55					
桂		kʊi31					
奎		kʰʊi24					
携		he24					
慧		hʊi33					
惠		hʊi33					
臂		pi31					
譬		pʰi31					
避		pi31					
彌（弥）		mi24					
荔	lei33						
紫		tsi52					
雌		tsʰi24					
此		tsʰi52					
疵		tsʰi24					
斯		su55					
撕		su55					
厮		su55					
嘶		si55					
璽（玺）		si52					
賜（赐）		tsʰi31					
支	ki55	tsi55					
枝	ki55	tsi55					
肢		tsi55					
只		tsi52					
侈		tsʰi52					
施		si55					
豕		si52					
啻		tsʰi31					
翅		tsʰi31					
匙		si24					
是		si33					
氏		si31					
寄	kia31	ki31					
奇		kʰi24					
騎	kʰia24	kʰi24					
皮	pʰue24	pʰi24					
疲		pʰi24					
被	pʰue33	pi33					
彼		pi52					
披		pʰi55					
靡		mi24					
糜	mue24						
離（离）		li24					
璃		li24					
籬（篱）		li24					
徙		si52					
倚	ua52	i52					
紙（纸）	tsua52						
馳（驰）		tsʰi24					
池		ti24，tsʰi24					
知	tsai55	ti55					
智		tsi31					
卑		pi55					
碑		pi55					
裨		pi55					
俾		pi52					
脾		pʰi24					
婢		pi33					
蜱		pi55					
刺		tsʰi31					
刺	tsʰat2						
悲		pi55					
屁	pʰʊi31						
豉		si33					
兒（儿）		dzi24					
爾（尔）		dzi52					
羈（羁）		ki55					
企		kʰi52					
岐		kʰi24					
技		ki33					
妓		ki33					
宜		i24					
儀（仪）		i24					
蟻（蚁）	hia33						
義（义）		i33					
議（议）		i33					
誼（谊）		i24					
犧（牺）		hi55					
戲（戏）		hi31					
椅		i52					
移		i24					
易		i33					
悲	pʊi55						
鄙		pi52					
比		pi52					
庇		pi31					
痹		pi31					
泌		pi31					
秘		pi31					
轡（辔）	pʰʊi31						
丕		pʰi55					
琵		pʰi24					
備（备）		pi31					
鼻		pʰĩ33					
篦		pi31					
霉	mue24						
寐		mi33					
地	tei33	ti33					
尼		ni24					
呢		ni24					
膩（腻）		ni33					
美		mi52					
眉		mi24					
楣		mi24					
嵋		mi24					
媚		mi33					
梨		li24					
利	lai33	li33					
痢		li33					
履		li52					
咨		tsu55					
資（资）		tsu55					
姿		tsu55					
次		tsʰu31					
瓷		tsʰi24					
姊		tsi52					
兹		tsi55					
滋		tsi55					
磁		tsʰi24					
糍		tsʰi24					
慈		tsʰi24					
自		tsu31					
致		tsi31					
遲（迟）		tsʰi24					
雉		tsi31					
稚		tsi31					
至		tsi31					
鴟（鸱）		tsʰi55					
示		si33					
尸		si55					
矢		si52					
嗜		si33					
視（视）		si33					
肌		ki55					
飢（饥）		ki55					
几		ki55					
几		ki52					
冀		ki31					
器		kʰi31					
棄（弃）		kʰi31					
祈		kʰi24					
沂		i24					
鰭（鳍）		kʰi24					
耆		kʰi24					
伊		i55					
懿		i31					
懿		i31					
夷		i24					
姨		i24					
屎	sai52						
旨		tsi52					
指		tsi52					
脂		tsi55					
私		su55					
師（师）	sai55	su55					
獅（狮）	sai55						
膩（腻）		ni33					
死		si52					
四		si31					
肆		si31					
肄		si31					
二		dzi33					
二		ɔ33	口令，一二一				
貳（贰）		dzi33					
寐		mʊi33					
字		dzi33					
司		su55					
飼（饲）		tsʰi33					
伺		si31					
詞（词）		tsʰi24					
祠		tsʰi24					
嗣		si33					
治		tsi33，ti33					
治	tʰai24						
辭（辞）		tsʰi24					
寺		si33					
時（时）		si24					
耳	hĩ33	dzi52					
餌（饵）		ni52					
史		su52					
使	sai52	su52					
駛（驶）	sai52						
厘		li24					
理		li52					
里		li52					
裏（里）	lai33	li52					
鯉（鲤）	tai33	li52					
狸		li24					
柿		kʰi31					
廁（厕）		tsʰi31					
幾（几）	kʊi52	ki52					
機（机）		ki55					
譏（讥）		ki55					
饑（饥）		ki55					
豈（岂）		kʰi52					
你		ni52					
李		li52					
吏		li33					
子		tsu52					
梓		tsu52					
絲（丝）		si55					
思		su55					
辭（辞）		tsʰi24					
巳		si31					
祀		si31					
似		si31					
置		tsi31					
痴		tsʰi55					
耻		tsʰi52					
煮		tsi52					
寺		si33					
持		tsʰi24					
峙		tsi31					
痔		tsi33					
詩（诗）		si55					
輜（辎）		tsu55					
俟		su33					
士		su33					
事		su33					
芝		tsi55					
之		tsi55					
址		tsi52					
止		tsi52					
趾		tsi52					
志		tsi31					
誌（志）		tsi31					
痣		tsi31					
嗤		tsʰi55					
齒（齿）		tsʰi52					
始		tsʰi52					
試（试）		tsʰi31，si31					
時（时）		si24					
鰣（鲥）		si24					
市		tsʰi33					
恃		si33					
侍	sai33						
而		dzi24					
基		ki55					
姬		ki55					
己		ki52					
紀（纪）		ki52					
記（记）		ki31					
起		kʰi52					
杞		ki52					
欺		kʰi55					
棋		ki24					
其		ki24					
旗		ki24					
期		ki24					
忌		ki31					
疑		i24					
擬（拟）		ni52					
嘻		hi55					
嬉		hi55					
禧		hi52					
喜		hi52					
熙		hi55					
醫（医）		i55					
意		i31					
矣		i52					
怡		i24					
貽（贻）		i24					
已		i52					
以		i52					
異（异）		i31					
既		ki31					
氣（气）	kʰʊi31	kʰi31					
汽		kʰi31					
毅		i33					
希		hi55					
稀		hi55					
依		i55					
衣		i55					
累		lʊi33					
嘴		tsʊi52					
揣	tsʰue33						
吹	tsʰue55						
炊	tsʰue55						
垂		sʊi24					
睡		sʊi31					
瑞		sʊi33					
蕊		dzʊi33					
規（规）		kʊi55					
詭（诡）		kʊi52					
虧（亏）		kʰʊi55					
窺（窥）		kʰʊi55					
跪		kʊi33					
危		ʊi55					
偽（伪）		ʊi52					
麾		hʊi55					
毁		hʊi52					
委		ʊi52					
喂		ʊi33					
為（为）		ʊi33					
為（为）		ʊi24					
壘（垒）		lʊi52					
類（类）		lʊi33					
淚（泪）		lʊi33					
醉		tsʊi31					
翠		tsʰʊi31					
悴		tsʰʊi31					
綏（绥）		sʊi24					
雖（虽）		sʊi55					
粹		tsʰʊi31					
遂		sʊi31					
隧		sʊi31					
穗		sʊi33					
追		tsʊi55					
槌		tʊi24，tʰʊi24					
錘（锤）		tʊi24，tʰʊi24					
墜（坠）		tsʊi33					
摔		sut2					
率		sut2					
率		lut5					
錐（锥）		tsʊi55					
水	tsʊi52	sʊi52	風水				
誰（谁）		sʊi24					
龜（龟）		kʊi55					
軌（轨）		kʊi52					
晷		kʊi52					
愧		kʰʊi31					
季	kʊi31	ki31					
逵		kʰʊi24					
夔		kʰʊi24					
櫃（柜）		kʊi31					
帷		ʊi24					
位		ʊi33					
維（维）		ʊi24					
惟		ʊi24					
遺（遗）		i24					
唯		ʊi24					
非		hʊi55					
匪		hʊi52					
沸		hʊi31					
痱		hʊi31					
妃		hʊi55					
菲		hʊi55					
費（费）		hʊi31					
肥		pʊi24					
薇		ʊi55					
微		bi24					
歸（归）		kʊi55					
鬼		kʊi52					
貴（贵）		kʊi31					
巍		ʊi55					
魏		ʊi33					
隨（随）		sʊi24					
髓		sʊi52					
吹	tsʰue55						
炊		tsʰʊi55					
衰	sue55						
帥（帅）	sue31						
癸		kʊi52					
揆		kʰʊi24					
葵	kue24	kʰʊi24					
龜（龟）		kʊi55					
飛（飞）	pue55						
尾	bue52						
慰		ʊi33					
尉		ʊi33					
未		mi33					
味		bi33					
揮（挥）		hʊi55					
輝（辉）		hʊi55					
徽		hʊi55					
諱（讳）		hʊi31					
卉		hʊi31					
威		ʊi55					
畏		ʊi31					
違（违）		ʊi24					
圍（围）		ʊi24					
葦（苇）		ʊi52					
偉（伟）		ʊi52					
緯（纬）		ʊi52					
胃		ʊi33					
謂（谓）		ʊi33					
猬		ʊi33					
匯（汇）		hʊi33					
褒	pɔ55						
保	pɔ52						
堡	pɔ52						
褓	pɔ52						
寶（宝）	pɔ52						
報（报）	pɔ31						
袍		pʰau24					
抱	pʰɔ33						
暴	pɔ31						
毛	mɔ24						
冒	mɔ33						
帽	mɔ33						
刀	tɔ55						
叨	tɔ55						
島（岛）	tɔ52						
禱（祷）	tɔ52						
到	tɔ33						
倒	tɔ52						
倒	tɔ31						
掏		tʰau55					
滔		tʰau55					
討（讨）	tʰɔ52						
套		tʰau31					
桃	tʰɔ24						
逃		tʰau24					
陶	tʰɔ24						
萄		tʰau24					
濤（涛）		tʰau55					
稻		tau33					
道	tɔ33						
導（导）	tɔ52						
盗		tau33					
腦（脑）		nau52					
惱（恼）		nau52					
勞（劳）		lau24					
撈（捞）		lau24					
嘮（唠）		lau55					
牢		lau24					
老		lau52					
老	lau33	lɔ52					
早	tsa52						
棗（枣）	tsɔ52						
蚤	tsɔ52						
澡	tsɔ52						
躁		tsʰau31					
操		tsʰau55					
臊	tsʰɔ55						
噪		tsʰau33					
騷（骚）		sau55					
灶		tsau33					
造		tsʰau33					
草		tsʰau52					
遭		tsau55					
糟		tsau55					
槽		tsʰau24					
曹		tsʰau24					
皂		tsau33					
造		tsau33					
糙		tsʰau55					
掃（扫）		sau31					
嫂	sɔ52						
高	kɔ55						
膏	kɔ55						
羔	kɔ55						
糕	kɔ55						
稿	kɔ52	kau52					
告	kɔ31	kau31					
考	kʰɔ52						
烤	kʰɔ52						
靠		kʰau31					
犒		kʰau31					
熬		ŋau24					
傲		ŋau33					
蒿		hau55					
篙	kɔ55						
薅		hau55					
好	hɔ52						
好		hau31					
耗							
豪		hau24					
毫		hau24					
浩		hau31					
號（号）	hɔ33						
襖（袄）		au52					
懊		au31					
奥		au31					
懊		au31					
澳		au31					
包		pau55					
胞		pau55					
飽（饱）	pa52						
豹		pau31					
爆		pʰau33					
泡		pʰau31					
抛		pʰau55					
炮		pʰau31					
跑		pʰau52					
鮑（鲍）		pau33					
刨		pʰau24					
茅		mau24					
卯		mau52					
貌		mau33					
鐃（铙）		nau24					
撓（挠）		dziau52					
鬧（闹）		nau33					
脬	pʰa55						
罩	ta31	tsau31					
抓	tsa55						
爪		tsau52					
找		tsau52					
笊		tsau52					
抄		tsʰau55					
鈔（钞）		tsʰau55					
炒	tsʰa52						
吵		tsʰau33					
巢		tsʰau24					
梢		sau55					
捎		sau55					
稍		sau55					
潲		sau31					
交		kau55					
郊		kau55					
膠（胶）	ka55	kau55					
骹	kʰa55						
教	ka31						
絞（绞）	ka52						
狡		kau52					
鉸（铰）	ka55						
筊	ka55						
搞		kau52					
攪（搅）	ka52	kau52					
教	ka31						
較（较）		kau31					
酵		hau33					
窖		kau31					
校		hau33	学校				
校	ka31		校准				
覺（觉）		kau31					
敲	kʰa31	kʰau55					
巧		kʰiau52					
咬	ka33						
孝		hau31					
肴		iau24					
淆		hiau24					
效		hau33					
坳		au33					
拗		au52					
飈（飚）	piɔ55						
標（标）	piɔ55	piau55					
表	piɔ52	piau52					
錶（表）	piɔ55						
飄（飘）	pʰiɔ55						
漂	pʰiɔ55						
票	pʰiɔ31						
嫖	pʰiɔ24						
瓢	pʰiɔ24						
