tsɿ[1]支枝肢资姿紫纸只姊之子梓孜止 	[5]自至字志致稚孜
su[1]苏酥稣速	[2]俗	[5]素诉塑肃宿夙粟
tu[1]都督赌堵犊 [2]独读毒	[5]妒杜度渡肚□（构词后缀，骨～，指～）
tʰu[1]突秃土吐 	[2]徒屠途涂		[5]兔唾
ku[1]孤谷估古股鼓堠（表示距离的单位，但无实指）□（~lua[5]，形容物体被揉在一起）	[2]姑 [5]故固雇顾
kʰu[1]枯窟哭	苦骷	[5]裤库酷
xu[1]呼虎唬忽	[2]胡湖狐壶	[5]户互护
u[1]乌污巫诬五伍午	[2]吴蜈梧	[5]误悟物戊
vu[1]物武舞苇 	[2]无	[5]务雾

tʂʯ[1]猪诸诛蛛煮拄主嘱竹 [2]逐轴烛	[5]著助驻住筑
tʂʰʯ[1]初楚杵处出	[2]除锄厨殊	[5]触储处畜笃（地名用音）
ʂʯ[1]梳疏蔬书暑鼠数蜀	[2]熟赎叔殊	[5]庶恕竖树薯述
ʐʯ[1]输入褥汝乳辱如肉	[2]儒茹

kɯ[1]胳圪胳膈
kʰɯ[1]磕咔□（～laŋ，胸部）	[5]咳坷
xɯ[1]黑	[2]核蛤	[5]后

ny[1]女
ly[1]捋吕旅铝侣滤律率虑屡履 	[2]驴 [5]虑
tɕy[1]居橘拘车举	[2]菊局		[5]巨拒距据锯剧
tɕʰy[1]屈区曲	[2]渠	[5]去
ɕy[1]墟虚嘘许
tsy[1]足	[5]聚
tsʰy[1]蛆黢焌趋娶取 [5]趣
sy[1]须需戌	[2]徐俗	[5]絮序叙绪
y[1]语淤于与雨羽玉宇狱□（浮肿） 	[2]鱼余俞		[5]御驭誉预豫隅域育浴欲

pie[1]鳖憋瘪	[2]别	[5]别
pʰie[1]撇
mie[1]灭蔑
tie[1]跌爹	[2]叠碟谍蝶牒
tʰie[1]贴铁帖
nie[1]孽捏蹑 [5]聂
lie[1]猎烈列裂咧  [2]□（~ tʂʰʅə[5]，整齐）	 [5]趔
tɕie[1]揭结 	[2]劫杰	
tɕʰie[1]□（语气词，表示不屑）	[2]茄	[5]窃怯惬
ɕie[1]歇蝎血	[2]协胁	[5]泄谢
tsie[1]接节疖姐	[2]截捷 	[5]借
tsʰie[1]且切 [2] □（合音词，七个）
sie[1]些楔写薛 	[2]邪斜		[5]卸
ie[1]椰噎页业野也掖	[2]爷	[5]夜液腋

pɔ[1]巴疤把靶八 	[2]拔□（合音词，八个）[5]霸坝爸罢
pʰɔ[1]趴 [2]爬耙	[5]怕帕琶杷
mɔ[1]妈抹马码玛蚂	[2]麻蟆	 [5]骂
fɔ[1]法发	[2]罚伐乏筏□（一~，同辈）		[5]发
tsɔ[1]渣扎眨	[2]杂闸扎炸	[5]诈榨乍栅
tsʰɔ[1]差叉插擦错 	[2]茶查茬察	[5]岔杈
sɔ[1]沙纱杀刹厦洒傻撒 [2]仨 [5]萨
tɔ[1]搭劄耷打□（~会儿，过会儿）[2]达答	[5]大□（没瓤~水，形容人不识眼色）
tʰɔ[1]他塌塔	 [2]沓	[5]踏
nɔ[1]纳	[2]拿哪	 [5]那纳捺娜
lɔ[1]拉垃腊蜡辣老（专有名词，黑老猫）	[2]拉	[5]落
kɔ[1]嘎
kʰɔ[1]咖卡
xɔ[1]哈 [5]下（南村乡口音）
vɔ[1]袜
ʐɔ[2]□（合音词，人家）
ɔ[1]阿

piɔ[1]□（拟声词）
pʰiɔ[1]□（拟声词）
tiɔ[1]□（合音词，底下）
niɔ[1]□（合音词，人家）
liɔ[5]俩
tɕiɔ[1]家加痂胛假贾甲	[2]夹	[5]假架驾嫁
tɕʰiɔ[1]掐卡	[5]洽恰
ɕiɔ[1]虾瞎	[2]霞遐狭硖	[5]下夏厦吓
iɔ[1]鸦丫鸭押雅压	[2]牙芽衙崖涯	[5]亚压

tʂuɔ[1]抓爪
tʂʰuɔ[1]欻
ʂuɔ[1]刷耍
ʐuɔ[1]挼㨎
kuɔ[1]瓜刮寡剐	[5]挂卦褂
kʰuɔ[1]夸垮	[5]跨挎胯
xuɔ[1]花华话 [2]划滑	[5]化画话桦
uɔ[1]洼挖蛙瓦窊	[2]娃 [5]瓦

tʂʅə [1]遮蛰折者褶	[2]蛰哲辙浙	[5]蔗
tʂʰʅə [1]车扯	[5]撤彻□（lie[2]~，整齐）
ʂʅə [1]赊奢舍社	[2]蛇舌折□（合音词，十个）	[5]社射赦摄
ʐʅə [1]热惹

tɤʌ[1]嘚
lɤʌ[5]乐
kɤʌ[1]歌戈鸽割	[2]哥 	[5]个
kʰɤʌ[1]磕渴可
ŋɤʌ[1]阿恶	[2]俄鹅蛾讹	[5]饿鄂扼遏
xɤʌ[1]喝	[2]河何荷和	[5]贺喝荷
tsɤʌ[1]啧

puʌ [1]波菠玻钵跛簸	[2]勃博薄驳	[5]簸
pʰuʌ [1]坡泼	[2]婆	[5]破
muʌ [1]沫抹摸	[2]魔磨摩馍	[5]磨没末寞
fuʌ [2]佛
uʌ [1]蜗窝握	 [2]□（合音词，五个） [5]沃卧兀
tsuʌ[1]作左撮佐	[2]凿		[5]坐座做
tsʰuʌ[1]搓撮挫	[5]错措
suʌ[1]莎蓑唆缩锁索琐苏（地名中） [5]□（合音词，四个）
tuʌ[1]多掇朵躲	[2]夺□（疑问词，多少？）	[5]剁跺堕惰
tʰuʌ[1]拖脱托讬椭妥	[2]驮驼坨陀
nuʌ[2]挪	 [5]糯诺懦
luʌ[1]落洛啰骆裸	[2]罗锣箩骡□（合音词，六个）	[5]络摞
kuʌ[1]郭锅果裹粿 	[2]虢	[5]过聒个
kʰuʌ[1]扩括棵科□（砍伐比树更细的植物）	[5]阔廓课
ŋuʌ[1]我
xuʌ[1]豁劐火伙 	[2]活和禾 [5]或获惑祸货□

tʂʯʌ[1]桌啄拙捉	[2]着酌浊卓
tʂʰʯʌ[1]焯戳	[5]啜绰辍
ʂʯʌ[1]说所	 [2]勺芍 	[5]朔硕烁
ʐʯʌ[1]若弱	[5]偌

nyʌ[1]虐	[5]疟
lyʌ[1]劣略掠
tɕyʌ[1]脚撅镬噘角□（～ti，地板）	[2]掘决诀□（咒骂，批评，程度较轻）□（合音词，几个）	[5]倔
tɕʰyʌ[1]缺□（形容胶状物质在别的物体上固化后难以去除的状态）	[2]瘸	 [5]雀鹊却确
ɕyʌ[1]靴	[2]穴学	
tsyʌ[1]绝
syʌ[1]薛削雪 	[2]踅	[5]□（抱怨）
yʌ[1]月越约悦药岳跃 [2]□（合音词，一个）	[5]岳粤

pei[1]杯碑卑悲笔本	[5]笨贝备倍
pʰei[1]坯披喷	[2]陪赔培裴	[5]佩配呸喷
mei[1]焖闷美每	[2]梅枚煤眉墨门	[5]妹昧魅媚们
fei[1]非菲飞妃匪翡粉	[2]肥坟焚	[5]废肺费愤
tsei[1]碜□（硌） [2]贼	
tsʰei[1]参碜	[5]衬
sei[1]森参水 	[2]谁	[5]睡渗
tei[1]得逮 [2]爸德□（冲撞） 	[5]堆对队兑□（~ tʂəŋ[1]，刚刚）□（~ tʂəŋ[5]，将就）
tʰei[1]推吞腿	[5]退褪蜕
nei[1]那 [5]内恁
lei[2]蕾儡累垒磊 	[5]累泪
tʂei[1]针真珍斟枕诊疹	 [5]震镇阵振这
tʂʰei[1]伸深	[2]陈晨辰沉		[5]趁称
ʂei[1]身申沈审婶	[2]神	[5]甚肾慎
ʐei[1]忍 [2]任人仁壬	 [5]刃认
kei[1]跟根给	[5]□（动词，脖子向前伸）
kʰei[1]垦恳啃肯
ŋei[1]恩□（挨在一起）	[5]摁
xei[1]很狠 [2]痕	[5]恨

piei[1]宾彬斌滨[5]殡
pʰiei[1]拼品[2]频贫嫔颦[5]聘
miei[1]闽悯愍 [2]民敏
liei[1]拎 [2]忍林邻临淋琳霖麟
tɕiei[1]今金襟巾锦紧谨斤	[5]浸禁妗近
tɕʰiei[2]琴勤芹	[5]亲
ɕiei[1]欣 [5]衅□（形容汤因为被搅动的过多固体成分沉淀的现象）
tsiei[1]津浸 	[5]进晋尽烬
tsʰiei[1]侵亲寝	[2]秦
siei[1]心芯辛新薪 	[2]寻	[5]信囟
iei[1]音因阴荫殷饮引隐蚓□（照顾孩子） 	[2]吟银 	[5]印饮

tsuei[1]遵尊嘴	[5]最醉罪
tsʰuei[1]崔催村皴准□（看～，听～…，清楚）	[2]存	[5]脆翠粹寸随（随姑，随意）
suei[1]虽孙损	[2]随绥髓	[5]碎岁隧穗
tuei[1]墩蹲敦吨盹	[5]盾顿炖饨
tʰuei[2]屯豚臀囤
nuei[1]嫩
luei[1]抡	[2]雷伦沦轮淋	[5]论类
tʂuei[1]追锥椎准	[5]坠缀赘
tʂʰuei[1]吹蠢椿春	[2]锤垂槌唇
ʂuei[5]税顺舜
ʐuei[1]蕊 [5]锐瑞闰润
kuei[1]闺规归龟轨诡鬼滚国 	[5]刽柜贵桂
kʰuei[1]亏盔窥昆捆傀	[2]葵魁奎逵	[5]溃愧困
xuei[1]恢灰挥辉毁悔	[2]回茴魂浑	[5]会绘晦汇讳荟
uei[1]煨危微威伪委尾纬	[2]桅为惟维	[5]卫喂为位

lyei[2]淋
tɕyei[1]均军菌君	[5]郡
tɕʰyei[2]群裙
ɕyei[1]熏勳薰勋	[2]旬循巡询	[5]训
tsyei[5]俊竣骏峻
syei[1]损笋榫荀	[5]汛讯迅逊
yei[1]晕允 	[2]云匀		[5]熨韵运孕

pai[1]百柏掰摆□（挑食）	[2]伯白		[5]拜败
pʰai[1]拍□（聊天） 	[2]排牌		[5]派
mai[1]脉买麦	[2]埋霾	[5]卖迈
tsai[1]灾栽斋摘宰载则哉 	[2]宅任择泽则责	[5]在再寨债仄柴□（缝纫）
tsʰai[1]猜拆钗彩踩睬差册	[2]才材财裁柴	[5]菜蔡
sai[1]腮鳃筛涩虱甩	[5]赛晒色啬
tai[1]呆逮 [2]德 	[5]待带代怠大□（胡~，胡乱）
tʰai[1]胎特苔	[2]抬台苔	[5]太态泰
nai[1]奶乃蔼矮那 [2]捱挨崖捱	[5]耐奈碍艾那
lai[1]肋 	[2]来	[5]赖癞
kai[1]该隔格改	[2]隔革阁格	[5]盖溉钙概
kʰai[1]开刻客楷凯	[5]慨
ŋai[1]哀额挨矮 [2]挨 [5]艾碍爱
xai[1]海 [2]孩 [5]害骇亥赫
ai[1]哎 [3]□（语气词）

tɕiai[1]皆阶街解	[5]介界届芥戒
ɕiai[1]些 [2]鞋谐	[5]懈蟹泄械□（形容汤被搅拌后固体沉淀的状态，同□ɕiei）
iai[1]□（头向后仰）[2]崖 [3] □（语气词，表示惊讶）

yai[5]愿

tʂuai[1]□（形容人觉得自己很厉害）[5]拽
tʂʰuai[1]揣	[5]踹
ʂuai[1]衰摔甩	[5]帅率
kuai[1]乖拐	[5]怪
kʰuai[1]□（动词，用胳膊提篮子） [5]快筷块会
xuai[2]怀槐淮	[5]坏或获惑
uai[1]歪崴 [2]我（咒骂时读此音）	[5]外

tsou[1]诌走 [2]走 	[5]揍奏骤
tsʰou[2]愁	[5]凑嗽
sou[1]馊艘搜□（抖）	[5]嗖瘦
tou[1]都兜抖陡斗	[5]斗豆逗
tʰou[1]偷	[2]头投 	[5]透
lou[1]鹿陆搂鲁虏卤 	[2]卢炉芦庐楼	[5]路露漏
tʂou[1]周舟州洲肘就	[5]纣昼宙帚皱
tʂʰou[1]抽丑	[2]稠绸筹仇	[5]臭
ʂou[1]收手守首	[5]受兽寿售
ʐou[1]□（把纸或者其他类似纸的物体揉成团） [2]揉柔蹂	[5]肉□（磨叽）
kou[1]沟勾狗苟	[5]够构购
kʰou[1]抠口	[5]叩扣寇
ŋou[1]怄藕偶殴欧  [2]牛 [5]怄□（菜糊了）
xou[1]吼齁□（不要） [2]猴喉侯	[5]后厚候

miəu[1]□（合音词，没有）	[5]谬
tiəu[1]丢 [2]丢
niəu[1]纽扭	[5]拗
liəu[1]溜柳	[2]留刘流榴		[5]馏溜
tɕiəu[1]揪鸠纠究九久韭	[5]舅救旧
tɕʰiəu[1]丘	[2]求球
ɕiəu[1]休朽
tsiəu[1]揪鬏酒	[5]就
tsʰiəu[1]秋鞦鳅	[2]泅
siəu[1]修羞宿 [2]囚 [5]秀绣锈袖
iəu[1]忧优幽友有	[2]邮由油游	[5]又右佑诱

pɒ[1]褒包胞保堡宝	[2]雹饱 	[5]报暴豹爆
pʰɒ[1]抛泡跑	[2]袍跑	[5]泡炮
mɒ[1]猫	 [2]毛茅猫 	[5]帽冒貌
tsɒ[1]遭糟早澡枣蚤 	[2]早 [5]造罩皂□（厉害）□（ŋɒ[1]~，不整洁）
tsʰɒ[1]操抄钞绰草炒吵	[2]曹槽巢	[5]□（生气）
sɒ[1]骚捎稍梢嫂扫	[5]臊扫
tɒ[1]刀叨岛祷	[2]倒	[5]倒到盗
tʰɒ[1]掏滔涛讨	[2]桃逃陶淘	[5]套
nɒ[1]孬 [2]挠铙	[5]闹
lɒ[1]捞老	[2]牢劳唠老	[5]涝唠了
tʂɒ[1]朝招	[5]赵照兆召
tʂʰɒ[1]超	[2]朝潮
ʂɒ[1]烧少	[2]韶	[5]绍少
ʐɒ[1]扰 [2]饶	[5]绕照
kɒ[1]高稿膏糕搞	[5]告
kʰɒ[1]考烤	[5]靠犒
ŋɒ[1]袄□（~ tsɒ[5]，不整洁）	[2]熬	[5]傲鏊
xɒ[1]蒿好	[2]薅豪壕毫	[5]浩耗好号
ɒ[2]□（语气词，表示答应）

piɒ[1]膘标飙镖表裱婊	[5]摽鳔
pʰiɒ[1]飘漂	[2]嫖	[5]漂票
miɒ[1]藐渺秒 [2]苗描	 [5]庙妙
tiɒ[1]刁雕	[5]吊掉调钓
tʰiɒ[1]挑	[2]条调笤	[5]跳粜
niɒ[1]鸟咬	[5]尿脲
liɒ[1]撩了	[2]聊潦缭辽燎 	[5]料尥□（放弃）
tɕiɒ[1]交郊胶教缴绞剿矫	[5]教较酵窖
tɕʰiɒ[1]敲巧	[2]桥	[5]翘
ɕiɒ[1]萧	[5]校孝效
tsiɒ[1]焦蕉椒
tsʰiɒ[1]锹缲悄	[2]樵瞧 	[5]俏峭
siɒ[1]消宵霄硝小	[5]笑啸
iɒ[1]妖要腰邀舀	[2]遥窑摇谣	[5]耀要靿

pa[1]班斑扳颁板版	[5]扮瓣办伴拌
pʰa[1]攀潘	[2]盘	[5]盼襻叛
ma[1]满 [2]蛮瞒馒		[5]慢漫
fa[1]翻藩番反返	[2]凡帆烦繁	[5]范犯饭贩
tsa[1]簪斩盏崭攒	[2]咱 [5]暂站蘸赞
tsʰa[1]参掺餐惨铲产	[2]蚕惭谗馋	[5]灿
sa[1]衫山三散伞	[5]散
ta[1]耽担单丹胆掸	[5]淡诞弹但
tʰa[1]贪滩摊坦毯	[2]潭谈痰弹		[5]探叹碳炭
na[1]暖 [2]难男南 	[5]难
la[1]漤缆览揽 [2]篮蓝兰拦	 [5]滥烂了
tʂa[1]沾粘占毡展	[5]占绽战颤
tʂʰa[2]缠		[5]颤
ʂa[1]扇姗陕闪□（吹牛）	[5]疝扇善膳□（吹牛）
ʐa[1]燃染 [2]然粘
ka[1]甘泔柑尴感敢橄擀□（旁边）	[5]干
kʰa[1]刊勘看坎砍侃槛□（寄养）	[5]看
ŋa[1]庵安鞍揞□（摔倒）	[5]按暗案岸
xa[1]憨喊还	[2]含涵寒韩罕	[5]汗汉憾旱
va	[1]晚挽 [2]□（唠叨） 	[5]万蔓
za[1]扔

pia[1]边鞭编蝙贬匾	[5]辩辨变遍
pʰia[1]篇偏扁片	[2]便	[5]片骗
mia[1]免娩勉缅 [2]棉绵眠	[5]面
tia[1]掂颠点典腆	[5]店电奠殿
tʰia[1]添天舔	[2]甜田填
nia[1]蔫碾撵捻辇渑	[2]黏鲶拈年	[5]念
lia[1]敛脸 [2]廉镰连联	[5]练炼链
tɕia[1]监兼减检简柬	[5]渐剑谏毽
tɕʰia[1]谦遣 	[2]钳 	[5]嵌欠歉
ɕia[1]掀险显	[2]咸衔嫌闲	[5]陷馅限
tsia[1]尖歼煎笺剪翦鬋戬	[5]箭溅践贱
tsʰia[1]签千迁阡浅潜 	[2]钱前 	[5]倩茜
sia[1]仙鲜先	[5]线羡
ia[1]淹阉腌烟眼 [2]严沿言盐 [5]雁燕厌延夜谚砚□（到某时）□（扶着东西走）

tsua[1]钻	[5]钻攥
tsʰua[1]蹿	[2]撺攒	[5]篡窜
sua[1]酸	[5]蒜算
tua[1]端短	[5]断缎锻段
tʰua[1]湍 [2]团
lua[1]卵 	[2]孪	[5]乱□（ku[1]~，形容物体被揉在一起）
tʂua[1]专砖转	[5]赚撰转传
tʂʰua[1]穿川喘	[2]传椽船	[5]串
ʂua[1]拴闩 	[5]涮
ʐua[1]软
kua[1]官棺观关管馆	[5]惯贯罐灌□（难道）
kʰua[1]宽款
xua[1]欢缓 	[2]环还 	[5]换唤焕患
ua[1]豌剜弯湾皖碗	[2]丸完玩顽	[5]腕

lya[2]联连	[5]练恋
tɕya[1]捐卷	[5]眷倦券圈
tɕʰya[1]圈犬	[2]拳权	[5]劝
ɕya [2]玄悬
tsya[1]隽镌
tsʰya[2]全泉
sya[1]宣瑄鲜选癣先 [2]旋璇	[5]渲镟铣削
ya[1]冤渊远鸢 	[2]员圆缘元	[5]院愿怨

tsəŋ[1]增曾争睁□（欠）	[5]憎赠锃□（使累）
tsʰəŋ[1]撑	[2]曾层	[5]蹭牚
səŋ[1]僧生牲甥省
ʐəŋ[2]仍
təŋ[1]登灯蹬等	[5]凳邓瞪澄
tʰəŋ[2]疼腾藤
məŋ[1]□（～蝇，一种飞虫）
nəŋ[2]能
ləŋ[1]冷 	[2]楞	[5]愣楞
tʂəŋ[1]征正蒸筝拯整□（tei ~，刚刚）[5]证症郑政□（tei~，将就）
tʂʰəŋ[1]称逞	[2]橙惩乘承	[5]秤□（~是，本来就）
ʂəŋ[1]升声笙	[2]绳	[5]胜剩圣盛
kəŋ[1]耕更耿梗埂 	[5]更□（闲得慌，贬义）
kʰəŋ[1]坑吭
xəŋ[1]亨哼	[2]恒衡	[5]杏横

piŋ[1]兵冰柄饼丙	[5]病并
pʰiŋ[1]乒 [2]凭平坪评
miŋ[2]鸣明名铭 	[5]命
tiŋ[1]丁钉叮顶鼎	 [5]钉订定锭
tʰiŋ[1]听厅挺艇 	[2]亭停庭廷
niŋ[2]凝宁拧	[5]硬宁拧
liŋ[1]拎领岭 	[2]凌陵零铃	[5]令另
tɕiŋ[1]京荆惊警景	[5]境敬茎竞
tɕʰiŋ[1]卿轻倾	[2]擎	[5]庆□（粘稠的液体凝固）
ɕiŋ[1]兴	[2]行形型刑	[5]幸兴
tsiŋ[1]精晶旌睛井	[5]静靖婧净
tsʰiŋ[1]清青蜻请	[2]晴情
siŋ[1]星腥猩省醒擤	[5]性姓饧
iŋ[1]应鹰鹦樱影萦	[2]蝇迎盈赢营 	[5]应映

puŋ[1]崩绷	[5]蹦泵迸
pʰuŋ[1]烹捧	[2]朋彭鹏膨	[5]碰
muŋ[1]蒙猛懵	[2]盟萌蒙□（～雨，急雨）		[5]梦孟
fuŋ[1]疯风丰封讽	[2]缝逢冯	[5]缝凤奉俸
tsuŋ[1]鬃棕宗踪总	[5]纵
tsʰuŋ[1]葱聪	[2]囱从丛
suŋ[1]松嵩耸怂	[2]怂	[5]送宋诵颂
tuŋ[1]东冬懂董	[5]动洞冻栋
tʰuŋ[1]通筒桶捅统	[2]同铜桐童	[5]痛
nuŋ[1]脓 [2]奴农浓		[5]怒齈弄
luŋ[1]拢陇垄垅 [2]聋笼隆龙	
tʂuŋ[1]中忠终钟肿种	[5]中重种
tʂʰuŋ[1]充宠 	[2]虫崇重	[5]冲
ʐuŋ[1]冗 [2]荣容溶蓉
kuŋ[1]公工功攻拱巩汞	[5]贡供共
kʰuŋ[1]空箜恐孔	[5]控空
xuŋ[1]轰哄烘哄	[2]宏弘红洪 	[5]哄横
vuŋ[1]翁嗡
uŋ[1]□（推）

lyŋ[2]龙
tɕyŋ[1]窘迥
tɕʰyŋ[1]倾	[2]穷琼
ɕyŋ[1]兄胸凶	[2]熊雄□（批评）
tsyŋ[5]粽
syŋ[1]松嵩
yŋ[1]雍永泳咏拥	[5]用

paŋ[1]帮邦绑榜膀	[5]磅谤傍棒
pʰaŋ[1]膀	[2]旁螃庞膀	[5]胖
maŋ[1]蟒莽 [2]忙盲芒茫邙氓
faŋ[1]方芳纺仿访	[2]肪房防妨	[5]放
tsaŋ[1]赃脏	[5]葬藏
tsʰaŋ[1]仓苍沧	[2]藏
saŋ[1]桑丧嗓	[5]丧
taŋ[1]当党挡	[5]荡宕当
tʰaŋ[1]汤躺淌	[2]唐糖堂棠	[5]烫趟
naŋ[1]□（背着，通常指被大量的包裹。也可以引申为携带大量物品）	[2]囊
laŋ[1]朗 [2]狼廊郎螂 	[5]浪
tʂaŋ[1]张章樟彰涨长掌	[5]丈仗帐账场（地~，地方）
tʂʰaŋ[1]昌场厂	[2]长常肠尝	[5]唱倡畅
ʂaŋ[1]伤商晌赏上	[5]上
ʐaŋ[1]壤嚷 [2]瓤	[5]让
kaŋ[1]冈纲钢缸岗	[5]钢
kʰaŋ[1]康糠□（靠）	[2]扛	[5]抗炕
ŋaŋ[1]骯	[2]昂
xaŋ[1]夯 [2]行航杭	[5]项巷□（构词后缀，放在疑问词以后，句中读轻声）
vaŋ[1]网辋惘 [2]芒亡	[5]忘妄望
aŋ[2]□（语气词，表示答应或附和）

niaŋ[2]娘	[5]酿
liaŋ[1]岭  [2]量凉良梁两仰（地名中）	 [5]亮辆凉谅
tsiɑŋ[1]将浆蒋奖桨	[5]酱将匠虹
tsʰiɑŋ[1]枪锵呛抢	[2]墙嫱樯蔷	[5]呛
siɑŋ[1]相箱湘厢想	[2]详祥翔庠	[5]相象橡像
tɕiɑŋ[1]僵礓缰疆讲耩膙	[5]降绛强
tɕʰiɑŋ[1]腔羌强 	[2]强
ɕiɑŋ[1]香乡饷享响	[2]降	[5]向项巷
iaŋ[1]央秧殃养痒仰	[2]杨扬阳洋烊	[5]样漾映

tʂuaŋ[1]装妆桩庄 	[5]壮状幢撞
tʂʰuaŋ[1]疮窗闯	[2]床噇	 [5]创撞
ʂuaŋ[1]霜双爽□（动词，到狭小或者封闭的空间中）
kuaŋ[1]光	广	[5]桄逛
kʰuaŋ[1]匡筐眶框 	[2]狂	[5]旷矿况
xuaŋ[1]荒慌幌谎	 [2]黄皇簧凰 	[5]晃
uaŋ[1]汪往 	[2]王	[5]旺

lɚ[1]□（构词后缀，这～）
kʰɚ[1]□（一种类似背心的衣服）
mɚ[2]□（门前）
ɚ[1]耳尔饵 [2]儿而		[5]二贰
