	註釋：-白讀；=文讀
k	[1a]居[1b]車{象棋中的～}[3]舉矩[5]佢拒{老派音}據鋸句[6]苣俱{～備}具懼
kʰ	[1a]拘俱{～樂部}區軀[1b]嶇驅[5]佢{他}拒距[2]渠瞿衢
h	[1a]墟虛噓[3]許[5]去
#a	
p	[1a]巴疤笆杷{枇～}[1b]芭吧爸[3]把[5]壩[6]罷
pʰ	[3]帕[5]怕[2]耙爬琶鈀
m	[1b]媽[3]碼[5]馬[2]麻痳[6]罵
f	[1a]花[5]化
v	[1a]蛙娃[3]畫[2]華{中～}[6]華{～山}樺話
t	[3]打
tʰ	[1b]他
l	[2]哪拿[6]那
ts	[1a]渣楂[5]炸詐榨
tsʰ	[1a]杈差{～別}[1b]叉[5]岔[2]茶搽查
s	[1a]沙砂紗痧[3]灑耍
z	[5]也
k	[1a]加家瓜[1b]傢嘉□{你～阿誰：你是誰}[3]果-{糖～}假{真～}賈寡家{自～：自己}[5]假{放～}架嫁稼價駕卦掛
kʰ	[1a]誇侉[1b]垮跨
ŋ	[1b]丫[3]瓦[5]雅亞[2]牙芽蚜衙
h	[1b]蝦{魚～}[2]蝦{～公}遐瑕霞暇[6]廈下夏
∅	[1a]椏鴉{老～：烏鴉}[3]啞
#ɔ	
p	[1b]波菠玻坡[5]播
pʰ	[3]頗[5]破[2]婆
m	[1b]摩{～托}魔[3]摸[2]摩{～擦}磨
f	[1b]科[3]火伙夥[5]課貨
v	[1b]戈{老派音}鍋倭窩蝸[2]禾和[6]禍
t	[1a]多[3]左朵={耳～}躲[6]惰墮
tʰ	[1a]拖[3]妥橢[5]坐唾錯[2]馱駝舵=
l	[1a]囉[3]螺裸顆[2]羅蘿籮鑼螺[6]糯
ts	[3]阻[6]佐座助
tsʰ	[1a]初[3]楚礎[5]銼[2]鋤
s	[1a]唆梳疏蔬[1b]娑梭蓑[3]瑣鎖梳所[2]傻
k	[1a]哥[1b]歌戈[3]果{水～}裹[5]個={一～}過
ŋ	[2]俄蛾鵝[6]餓卧
h	[3]可[2]何河荷□{在}[6]賀
∅	[1b]阿
#œ	
t	[3]朵-{一～花}
tʰ	[2]□{～lœ11牯：膝蓋}
l	[2]□{tʰœ11～牯：膝蓋}
h	[1a]靴
#iɛ	
p	[1a]跛
m	[2]埋-{～葬}
t	[1b]爹[5]借涕
tʰ	[2]斜
ts	[1a]遮[3]且者[5]蔗[6]謝
tsʰ	[1a]奢[1b]車{開～}[3]扯[2]邪
s	[1a]賒[1b]些[3]寫捨[5]社卸瀉舍赦[2]蛇畲佘[6]射麝
z	[5]野[2]椰耶爺[6]夜
k	[1a]痂
kʰ	[1a]□{ziɔŋ22～：梯子}[2]騎
ŋ	[3]惹
h	[3]睇[5]剃[2]蹄-{豬～}
#ai	
p	[3]擺{次}[5]拜[6]敗
pʰ	[5]派[2]牌簰排俳{老派音}
m	[5]買[2]埋={～沒}[6]賣邁
f	[5]塊快筷
v	[2]淮槐懷[6]壊
t	[5]帶戴
tʰ	[5]舵-{打～}太泰殆{老派音}貸態[6]大
l	[1a]拉[1b]□{細tɐi55～：小孩}[5]乃奶[2]瀨[6]賴
ts	[1a]齋[5]債[6]寨
tsʰ	[1a]搓猜差{出～}釵[3]踩[2]柴豺
s	[3]璽[5]曬
k	[1a]佳街階乖[1b]皆[3]解柺[5]尬介戒芥届界疥怪
kʰ	[2]楷{老派音}
ŋ	[1b]唉{老派音}[2]捱崖涯[6]艾□{雁}
h	[1a]揩[5]懈[2]孩鞋偕諧楷[6]蟹械繫
∅	[1a]唉[1b]埃{老派音}[3]矮[5]隘縊[2]挨
#uai	
k	[3]褂{老派音}[5]卦{老派音}
#ɐi	
p	[1b]卑[5]閉[6]陛被{～害}
pʰ	[1a]批坯[1b]胚丕
m	[3]米[2]薇[6]昧未
f	[5]廢肺沸費
v	[3]毀萎[5]餵唯葦諱[2]維[6]惠慧慰緯蝟
t	[1a]低[1b]□{細～lai55：小孩}[3]抵底[5]帝蒂[6]逮弟遞第隷
tʰ	[1a]梯淒[3]體[5]蒂{老派音}涕替[2]堤提啼蹄=題齊-{做～}□{～ki35：大家}
l	[1b]□{我～：我們}□{完成體標記}[5]禮[2]泥犁黎尼[6]例勵莉麗荔履
ts	[1a]擠劑[5]祭際制製濟[6]滯
tsʰ	[1a]悽[1b]妻棲□{完成體標記}[3]柿[5]砌[2]齊={～天大聖}
s	[1a]西犀篩[1b]棲{老派音}[3]洗使駛[5]世勢逝誓細婿
k	[1a]雞[5]計髻繼
kʰ	[1a]稽溪[3]啓[5]契
ŋ	[3]蟻[2]桅危[6]藝詣毅偽魏
#uɐi	
k	[1a]閨{老派音}龜{老派音}歸{老派音}[5]瑰桂{老派音}
kʰ	[3]繪{老派音}逵{老派音}[5]瑰{老派音}潰{老派音}
#ɔi	
p	[1b]杯[5]貝狽背{後～}輩
pʰ	[1b]坯{老派音}[5]倍配[2]徘陪培裴賠[6]背{～書}焙佩吠
m	[1a]妹[5]每[2]玫枚梅媒煤黴莓
f	[1a]恢該灰[5]悔晦
v	[1a]煨[2]徊回茴迴[6]會繪匯彙
t	[1a]堆[3]仔[5]兌對[6]待代罪隊
tʰ	[1a]胎推[3]彩腿[5]怠菜退[2]苔臺={平～}材-{棺～}殆頹
l	[2]來雷[6]奈耐內壘
ts	[1a]災[3]宰[5]栽載再[6]在
tsʰ	[3]採睬[5]蔡[2]才材={～料}財裁纔
s	[1a]腮鰓衰[5]賽碎歳稅[6]睡
k	[1a]蓋-{鑊～}該[3]改個-{那}
kʰ	[3]茄檜賄[5]蓋={膝～}溉概慨潰
ŋ	[1a]埃[3]藹[5]我[2]獃[6]礙外
h	[1a]臺-{～凳}開[3]凱海[5]蛻[2]抬[6]害亥袋
∅	[1a]哀[3]凱{老派音}[5]愛
#ɵy	
l	[5]餒[6]累{連～}
ts	[6]嶼綴墜
tsʰ	[5]脆翠
s	[1a]胥[5]髓悴粹帥[6]遂隧
#au	
p	[1a]包鮑[1b]胞[3]保堡寶[5]報爆={～炸}[6]暴
pʰ	[1a]拋泡{水～}[3]跑[5]抱豹泡{～茶}[2]袍□{挑}
m	[5]牡[2]毛茅矛[6]冒帽貌茂貿戊
t	[1a]刀叨[3]島搗倒{打～}早{天hiɛn53～：明天}棗[5]到倒{～車}竈[6]道稻導蹈盜
tʰ	[1a]滔[3]禱討草[5]套[2]濤逃桃陶萄淘嘈
l	[1a]撈嘮[3]腦[5]滷老[2]牢勞癆澇撓[6]鬧
ts	[1a]遭[3]爪找[5]罩[6]造糙驟
tsʰ	[1a]粗={～心}操抄鈔[3]炒[5]燥躁[2]曹槽巢
s	[1a]騷[1b]稍[3]掃{打～}嫂[5]掃{～把}[6]哨消
z	[5]□{稀}
k	[1a]高羔糕交={～通}郊膠[1b]膏酵[3]稿搞狡絞攪餃[5]告教{～育}窖較覺{睡～}校{～對}臼
kʰ	[3]考{老派音}[5]銬靠
ŋ	[3]餚{豬肉}[5]咬[2]熬淆肴[6]傲
h	[1a]敲哮[1b]烤[3]考拷好{～壞}巧[5]犒好{～學}耗孝[2]毫豪壕號{～叫}[6]浩號{口～}校{學～}效酷
∅	[3]拗[5]襖奧澳坳
#iau	
p	[1a]臕[1b]標彪[3]飽表錶鰾[5]爆-{～破}
pʰ	[1a]飄漂{～白}[5]票漂{～亮}[2]刨鉋嫖
m	[1b]貓[3]廟[5]秒渺藐[2]苗描[6]妙謬
t	[1a]蕉刁貂雕[3]椒[5]吊釣[6]調{音～}
tʰ	[1a]挑=[5]跳[2]調{～整}
l	[3]料[5]了鳥[2]燎撩聊僚遼[6]療寥尿鐐廖
ts	[1a]朝{～早}焦招[3]沼[5]照[6]趙召詔
tsʰ	[1a]超[2]朝{～鮮}潮
s	[1a]消宵硝霄燒逍蕭[1b]銷[3]小少{多～}[5]肖笑少{～年}[2]韶[6]昭兆紹邵
z	[1a]夭腰邀要{～求}[1b]妖[3]擾繞舀[5]要{重～}[2]饒姚窯搖遙謠堯[6]耀
k	[1a]教{～書}嬌驕[3]交-{打～}矯繳[5]叫
kʰ	[3]轎撬[2]喬僑蕎橋
h	[1a]囂挑-[3]僥曉[5]竅[2]條
#ɐu	
pʰ	[3]剖{老派音}
m	[1b]蟆[5]某畝[2]巫誣謀
f	[3]剖否[2]浮[6]埠{老派音}
t	[1a]兜蔸{棵}[1b]都={～市}[3]堵肚抖斗走糾[5]鬥咒{老派音}[6]杜妒度{溫～}渡鍍逗
tʰ	[1a]粗-{～細}偷={～渡}[3]土娶[5]吐兔醋-透湊[2]徒途屠塗圖投
l	[1a]怒[3]努摟{～抱}[5]魯縷[2]奴蘆爐廬樓摟{～取}[6]虜賂路鷺陋漏
ts	[1a]租[3]祖組[5]奏皺縐
tsʰ	[5]醋={吃～}措[2]稠绸酬
s	[1a]酥鬚[1b]蘇[3]數{動詞}叟[5]素訴數{名詞}嗽銹[6]受瘦漱
k	[3]狗鳩[5]夠
kʰ	[1b]溝[3]苟{老派音}[5]叩構購扣寇
ŋ	[1a]勾钩[1b]溝{老派音}歐毆[3]藕[5]偶[2]牛
h	[1a]偷-{～嘢}[3]㪗口痘[5]厚[2]頭喉猴侯[6]垢{老派音}后後豆候
∅	[3]嘔[5]懊漚慪
#iu	
t	[1a]丢[3]酒
tʰ	[1a]秋鞦{老派音}鰍[6]就袖
l	[3]榴扭紐柳[5]朽[2]留流琉硫劉餾溜
ts	[1a]鄒[1b]舟州周洲週[5]晝咒[6]宙
tsʰ	[1a]抽[1b]鞦[3]丑醜[5]臭嗅[2]籌囚酬{老派音}[6]售{老派音}
s	[1a]修羞蒐收[3]手守首[5]秀繡獣[2]愁仇[6]受{老派音}宿{星～}授售壽
z	[1a]丘悠幽[1b]休憂優[3]柚釉[5]酉莠誘友有幼[2]柔揉由油猶遊尤郵[6]又右祐
k	[3]苟九久韭[5]垢灸咎究救柩
kʰ	[5]舅[2]求球[6]舊
#am	
t	[1a]耽擔{勤詞}[3]膽疸{老派音}[5]擔{名洞}
tʰ	[1a]貪[3]慘[5]探淡[2]譚潭痰談
l	[3]攬欖[5]覽纜[2]男南婪藍[6]濫艦
ts	[1a]簪[3]斬眨[6]暫站
tsʰ	[1b]參{～加}[5]杉[2]蠶慚讒饞
s	[1a]三衫
k	[1a]甘柑橄監[3]感敢減[5]尷鑑
kʰ	[3]砍檻
ŋ	[2]巖
h	[5]喊[2]函咸鹹銜[6]陷
#iam	
t	[1a]尖[3]蘸點[5]店
tʰ	[1a]殲簽占遷箋[2]潛
n	[6]念
l	[1a]粘[5]斂[2]廉簾鐮
ts	[1a]瞻氈[5]佔[6]漸
tsʰ	[1a]籤纖[5]懺
s	[3]陝閃[2]禪蟬
z	[1a]閹[1b]淹[3]掩[5]染厭[2]閻檐鹽炎嚴儼[6]驗焰豔
k	[1a]兼[3]檢[5]劍[6]儉
kʰ	[2]鉗
h	[1a]添謙[3]險[5]欠[2]甜嫌
#ɐm	
l	[5]凜
s	[3]審[5]滲
kʰ	[1b]襟
h	[1a]堪坎勘[3]餡[2]含
∅	[3]揞[5]暗
#im	
t	[1a]砧[5]浸
tʰ	[2]尋
l	[2]林淋臨
ts	[1a]針斟[3]枕{名詞}[5]枕{動詞}
tsʰ	[1a]侵[3]寢[2]沉
s	[1a]心芯參{人～}森深[3]沈嬸[6]葚甚
z	[1a]音陰[1b]庵[3]飲[5]壬[2]吟淫[6]賃任紝
k	[1a]今金[3]錦[5]禁{～止}
kʰ	[5]禁{～不住}妗[2]琴禽擒[6]撳
h	[1a]欽[6]撼憾
#an	
p	[1a]瓣扳斑頒[1b]班[3]板版[6]扮辦
pʰ	[1a]攀[5]盼[2]盤
m	[1a]晚[3]滿[2]蠻饅[6]慢鰻漫蔓萬
f	[1a]番翻[1b]藩[3]反[5]販[2]帆凡梵煩繁礬[6]犯範飯
v	[1a]彎[1b]灣[3]玩[5]挽[2]還-{～錢}環[6]幻患
t	[1a]丹單[3]蛋彈{子～}[5]旦[6]但
tʰ	[1a]攤灘癱餐[1b]坍[3]疸坦[5]誕歎[2]彈{～琴}壇檀[6]賺
l	[5]懶[2]難{困～}攔蘭[6]難{有～}爛
ts	[3]棧盞[5]贊
tsʰ	[3]鏟産[5]燦[2]殘
s	[1a]珊山刪篡[3]散{鬆～}[5]傘散{解～}疝
k	[1a]竿艱奸關[3]鹼趕諫間={中～}柬簡[5]間{～斷}鐧慣
ŋ	[3]銀[2]顔頑[6]諺研-{～碎}
h	[5]旱炭[2]閑[6]岸汗限
∅	[5]晏
#ɐn	
h	[1b]欣{老派音}
#iɛn	
p	[1a]鞭邊[3]貶扁匾辮[5]變[6]辨辯便{方～}
pʰ	[1a]編偏篇蝙[5]騙遍片[2]便{～宜}
m	[5]免勉娩緬[2]棉綿眠[6]面麵
t	[1a]煎顛癲[3]剪典[5]箭[6]奠電殿墊澱
tʰ	[1a]天={～賦}千[3]錢淺濺{老派音}[2]前[6]賤
n	[2]年
l	[3]鏈□{哪}[2]連聯蓮憐[6]煉練鍊
ts	[3]展[5]戰薦
tsʰ	[3]踐[2]纏[6]濺
s	[1a]仙鮮先[3]癬[5]踐{老派音}綫扇[6]羨善膳
z	[1a]胭煙嚥[1b]蔫燕[3]演[5]堰硯{老派音}宴[2]言然燃涎延蜒筵焉研={～究}弦賢玄[6]現眩
k	[1a]間-{房～}肩堅[3]揀[5]建見[6]鍵毽健腱
kʰ	[6]件
ŋ	[3]眼
h	[1a]掀軒天-{好～}牽[3]遣衍顯硯[5]憲獻[2]田填
#yɛn	
t	[1a]端{老派音}
ts	[1a]專磚尊[1b]遵[3]轉{回}傅{水滸～}[5]鑽{動詞}
tsʰ	[1a]川穿村[3]喘忖[5]串[2]全泉傳{～達}
s	[1a]酸宣孫遜[3]選損[5]蒜算[2]旋船
z	[1a]冤淵[3]丸皖阮苑院[5]遠怨軟[2]完元源袁園猿轅鉛沿緣員圓縣懸[6]莧願
k	[1a]捐[3]卷捲[5]券
kʰ	[2]拳權
h	[1a]圈[1b]喧[3]犬[5]勸
#ɔn	
p	[1a]搬[1b]般[3]本[5]半[6]伴={～随}拌絆叛畔
pʰ	[1a]潘[3]伴-{有～}[5]判
m	[6]悶
f	[1a]寬歡[3]款
v	[3]豌碗腕[2]援[6]緩喚煥換
t	[1a]端蹲[3]短[5]鑽{～石}[6]斷={判～}鍛段緞
tʰ	[1a]村{老派音}[1b]鈍[5]褪寸[2]團豚
l	[3]卵戀[5]暖[2]鸞[6]亂嫩
s	[1a]孫{老派音}
k	[1a]肝桿官棺觀[1b]乾{～濕}冠{衣～}[3]管館[5]幹冠{～軍}貫灌罐
h	[1a]吞[1b]刊看{～守}[3]捍[5]罕看{～見}漢斷-{拗～}[2]鼾寒韓[6]銲翰鈍
∅	[1a]安[1b]鞍[5]按案
#in	
p	[1a]賓奔{老派音}[1b]彬濱[3]禀品[5]殯[6]笨
pʰ	[5]噴□{厚}[2]貧盆
m	[1a]蚊[5]閩敏憫刎吻[2]民門文紋聞[6]泯問
f	[1a]昏婚分吩紛葷勳薰燻[1b]芬[3]粉[5]憤奮糞訓[2]焚墳[6]忿份
v	[1a]瘟[1b]溫[3]穩[5]尹允韻[2]渾魂餛勻云耘雲暈[6]運混
tʰ	[1a]親
ts	[1a]真[1b]珍[5]鎮振震[6]陣={布～}
tsʰ	[3]疹診[5]趁襯[2]陳塵[6]陣-{一～}
s	[1a]辛新薪伸身{洗～：洗澡}[1b]申[3]身{洗～：游泳}[5]腎[2]神娠臣辰晨[6]慎
z	[1a]因欣殷[1b]恩姻[3]忍引刃釁隱癮[5]印[6]寅
k	[1a]根跟巾斤筋均鈞軍[1b]君[3]緊{～A～B：越A越B}僅謹滾{～水}[5]棍
kʰ	[1a]坤[1b]昆[3]綑菌[5]近困[2]乾{～坤}芹勤裙群
ŋ	[2]人仁[6]韌認
h	[3]懇[2]痕[6]恨
#yn	
t	[1a]敦墩[5]頓[6]沌鈍
tʰ	[5]盾[2]屯臀
l	[2]磷鱗侖倫淪輪論{～語}[6]論
ts	[1a]津[1b]臻[3]准準[5]晉進振{老派音}俊圳[6]盡
tsʰ	[1a]春[3]蠢[2]秦存巡循醇
s	[1a]詢熏[1b]殉[3]筍[5]信訊迅舜[2]旬馴唇純[6]順
z	[5]釁{老派音}[2]原[6]閏潤孕
kʰ	[3]滾{～動}
#un	
m	[2]瞞
#aŋ	
p	[5]胖
pʰ	[1a]烹[5]蚌棒[2]龐彭膨棚
m	[3]蜢[5]猛[2]盲[6]孟
v	[2]橫
l	[5]冷
ts	[1a]爭踭[1b]箏
tsʰ	[3]橙[5]撐
s	[1a]生牲笙甥[3]省{～長}
k	[1a]庚羹更-{打～}耕[3]稈梗莖
kʰ	[1a]框
ŋ	[6]硬
h	[1a]坑[1b]骯[2]還{仍然；～有}衡行{～為}
#iaŋ	
p	[3]丙餅[5]柄
pʰ	[2]平-{價格～}坪[6]病
m	[2]名[6]命-
t	[1a]精-{好～}叮釘[3]井頂[6]訂
tʰ	[1a]清-{水～}廳青[3]請[5]艇
l	[5]領
ts	[5]正-{剛剛}[6]淨={乾～}
s	[1a]聲腥[3]省{反～}星-{一粒～}醒[5]姓[2]成城
z	[3]影[2]贏
k	[1a]驚[3]頸[5]鏡
kʰ	[6]眶
h	[1a]輕[1b]□{地方}[5]聽
#ɐŋ	
p	[1a]檳奔崩冰兵[3]秉
pʰ	[5]迸併聘拚並[2]頻蘋朋憑平={～時}評屏瓶萍
m	[5]皿銘[2]萌盟明鳴瞑[6]命=
v	[5]永[2]弘宏[6]詠泳穎
t	[1a]登燈[1b]丁[3]等鼎[5]凳[6]綻鄧錠定
tʰ	[1a]清=[3]挺[2]騰情廷亭庭停蜓[6]淨{～麗}
l	[3]拎[2]鄰能棱淩陵菱寧{安～}伶零鈴齡靈[6]令寧{～願}佞另
ts	[1a]曾{姓～}增憎征徵蒸睜貞偵晶精={～神}正{～月}[1b]僧睛[3]整[5]症證正={～直}政[6]贈靜鄭
tsʰ	[1a]稱清={～潔}蜻[3]拯逞[5]秤[2]曾{～經}層懲呈程晴
s	[1a]升[1b]星={～期}猩[5]勝性聖[2]乘繩丞承誠[6]剩盛
z	[1a]鷹應{～該}櫻鶯英嬰[1b]鸚纓[5]應{答～}映[2]仍蠅迎盈刑形型榮營螢
k	[1a]荊經[1b]京[3]耿景警境竟[5]更={～加}敬徑[6]競勁
kʰ	[1a]傾[1b]頃[3]啃[2]鯨擎瓊
h	[1a]興{～旺}亨哼卿馨兄[3]墾很肯[5]興{高～}慶[2]藤恒[6]杏幸
∅	[1a]嬰{老派音}[1b]鸚{老派音}
#eŋ	
l	[5]嶺
#ɔŋ	
p	[1a]幫邦[3]榜綁
pʰ	[5]謗[2]滂旁螃傍
m	[3]莽蟒網[5]妄[2]芒忙茫亡氓[6]忘望
f	[1a]荒慌謊方坊芳[1b]肪[3]晃倣紡彷訪[5]放[2]妨防房
v	[1b]汪[3]簧枉[5]往[2]皇黃凰蝗王[6]旺
t	[1a]當{應～}[3]擋黨檔[5]當{典～}[6]蕩
tʰ	[3]闖[5]盪趟燙[2]唐堂棠螳藏-{隱～}躺昨{～日：昨天}
l	[5]朗[2]囊郎狼廊螂[6]浪
ts	[1a]臓妝莊裝樁[1b]髒[5]葬壯[6]藏={西～}臓狀
tsʰ	[1a]倉蒼艙瘡[3]廠[5]創[6]撞
s	[1a]喪{～事}[3]搡嗓爽[5]喪{～失}
k	[1a]岡缸崗姜薑光肛江[1b]剛綱[3]廣港講[5]鋼槓降{下～}
kʰ	[1a]筐[5]抗曠擴況礦[2]狂
ŋ	[2]昂
h	[1a]湯康糠慷匡腔[5]炕[2]塘糖杭航行{銀～}降{投～}[6]項巷
#iɔŋ	
t	[1a]漿[5]將-[2]匠[6]象
tʰ	[1a]窗[1b]槍[3]搶[2]牆
l	[3]兩[2]娘良涼梁粱糧量{～尺寸}輛[6]亮量{數～}諒
ts	[1a]張將{～來}章樟蟑瘴[3]長{成～}仗杖蔣奬槳掌[5]漲帳脹賬將=醬障[6]像
tsʰ	[1a]昌[1b]菖娼倡[5]暢唱[2]長{～短}場腸祥翔詳牀[6]丈
s	[1a]桑相{互～}廂湘箱襄鑲霜孀商傷[3]想賞[5]上{～去}相{～貌}[2]常嘗償裳[6]上{～面}尚
z	[1a]殃秧[1b]央[5]壤仰養癢[2]羊洋陽揚楊瘍[6]攘釀讓様□{～kʰiɛ53：梯子}
k	[1a]僵疆韁
kʰ	[5]強{勉～}[2]強{堅～}
h	[1a]香鄉[3]享響餉[5]向
#oŋ	
p	[3]捧
pʰ	[5]碰[2]蓬篷
m	[3]懵[2]蒙
f	[1a]風楓瘋封峰蜂鋒[1b]豐[5]諷[2]馮逢縫[6]鳳奉俸
t	[1a]東冬[3]董懂粽[5]凍棟[6]動洞
tʰ	[1a]通囪蔥聰-充[3]筒統[2]同={～學}桐童銅瞳松重={～陽}
l	[1b]窿[5]壟[2]嚨朧籠聾攏農膿隆濃龍[6]弄
ts	[1a]棕宗忠終蹤鍾鐘舂[1b]鬃中{～秋}[3]總盅腫種{名詞}[5]中{射～}衆縦種{動詞}[6]仲重={～要}訟頌誦
tsʰ	[1a]忽聰=衷[1b]衝[3]銃寵[5]重-{輕～}[2]叢蟲重{～複}從
s	[1a]雙鬆[3]慫[5]送宋[2]嵩崇
z	[1a]雍臃[1b]翁[3]絨庸擁湧恿踴[5]勇[2]戎融茸容蓉溶熔[6]用
k	[1a]工公功攻蚣弓宮躬供恭[3]龔拱[5]貢[6]共
kʰ	[2]窮
h	[1a]轟空凶兇匈胸[3]桶孔哄鞏恐[5]烘痛控[2]同-{你～我}虹洪紅鴻雄熊[6]鬨
#ap	
t	[7b]搭答
tʰ	[7b]塌塔榻[8]沓蹋
l	[8]納臘蠟
ts	[8]雜閘
tsʰ	[7b]插
s	[8]煠
k	[7b]甲胛
h	[8]峽狹俠
∅	[7a]鴨
#iap	
t	[7a]蝶[8]牒碟諜疊
tʰ	[7b]貼[8]帖
n	[8]孽
l	[8]獵
ts	[7b]接摺褶
tsʰ	[7b]妾
s	[7b]攝[8]涉
z	[8]頁葉業
k	[7a]莢[7b]劫挾澀{訓讀}□{澀}[8]夾
h	[7b]脅歉[8]怯協
#ɐp	
l	[7a]笠粒[8]垃
ts	[8]習襲什
k	[7b]鴿蛤[8]及
h	[7a]恰洽[8]合盒
#ip	
l	[8]立
ts	[7a]汁執[8]集
tsʰ	[7a]緝輯
s	[7a]濕[8]十拾
z	[7a]泣揖邑[8]入
k	[7a]急
kʰ	[7a]級吸[7b]給
#at	
p	[7b]八鉢
pʰ	[7a]潑
m	[7b]抹[8]末襪
f	[7b]法發[8]泛乏伐筏罰
v	[7b]挖[8]猾滑
t	[8]達
tʰ	[7b]遢
l	[7b]捺[8]辣
ts	[7b]劄紮札[8]鍘
tsʰ	[7b]擦察刷
s	[7b]薩殺
k	[7b]割刮
h	[7b]渴
∅	[7b]押壓
#ɐt	
ts	[8]蟄
tsʰ	[7a]膝
ŋ	[7a]乞{老派音}
h	[7a]乞[8]核={～桃}
#ɔt	
p	[7b]撥[8]拔勃鈸
m	[7a]沫[8]沒
f	[7b]闊
v	[8]活
t	[8]奪
k	[7b]葛
kʰ	[7b]括豁
h	[7b]喝脫
#iɛt	
p	[7b]鱉
pʰ	[7b]撇[8]別
m	[7a]篾[8]滅衊
t	[7b]節[8]秩迭
tʰ	[7b]撤切
n	[7b]捏
l	[8]列烈裂
ts	[7b]折{打～}蜇哲浙截[8]捷
tsʰ	[7b]徹澈轍設竊
s	[7b]泄竊{老派音}[8]折{～本}舌蝨
k	[7a]結[7b]潔[8]傑
kʰ	[7b]竭蠍
ŋ	[8]熱
h	[7b]跌鐵血
#yɛt	
l	[8]劣
tsʰ	[8]絶
tsʰ	[7b]猝
s	[7b]薛雪説
z	[7b]乙[8]月曰越粵閱穴
kʰ	[7b]揭歇厥蕨決訣缺
#it	
p	[7a]必畢不[7b]筆[8]弼
pʰ	[7b]匹
m	[8]密蜜勿物
f	[8]彿佛
v	[7a]屈鬱[8]核-{果～}
tʰ	[7a]漆[7b]七
ts	[7a]質[8]侄疾
s	[7a]失塞[8]實
z	[7a]一
k	[7a]吉骨橘[8]掘
kʰ	[7a]咳[8]倔
ŋ	[8]日逸
h	[8]轄核{～對}
