#i					
m	[2]謀[5]茂貿				
t	[1]雕[2]條[6]鬥吊				
l	[2]樓留{~步}[5]料廖				
ts	[3]鳥[5]驟[6]奏皺				
tsʰ	[2]愁酬[6]湊				
s	[1]搜叟餿[2]仇[6]獸受漱=				
k	[3]耩苟				
kʰ	[6]寇銬[3]口釦				
ŋ	[3]偶{2，～然}				
x	[5]後=厚后候{等～}[2]喉姣{情色}侯{本調}[6]侯{變調，諸～；姓氏}				
0	[1]歐甌毆慪[3]嘔				
#øy					
t	[1]堆碓[3]短[5]兌[6]塊-袋{~~：袋子}對{2，一～}				
tʰ	[6]退褪				
n	[6]內芮				
l	[2]雷螺腡[3]累{~贅}[6]累={很～}[10]□{~□li³³：調皮}				
ts	[2]裁[6]罪最				
s	[1]衰[3]瑞[5]坐[6]賽{2}帥				
m	[3]□{唔愛的合音，不要}				
#uai					
p	[5]拜[6]背{2，違～}				
pʰ	[6]派破-{2，～開}				
m	[2]埋[6]□{3，～書包，原文記作背}磨{2，～刀}				
t	[3]大{1，很～}				
k	[6]怪				
kʰ	[3]塊=[6]快{1，～樂}				
ŋ	[6]外				
x	[2]懷槐淮				
0	[3]夥{連讀音，□ni³¹~：多少}				
#aŋ					
p	[1]班斑頒襻般幫邦[2]平-坪-[3]扳[5]病[6]扮叛棒				
pʰ	[1]潘[2]龐彭膨評[6]肨胖				
m	[1]□{~□kaʔ³：馬來語，菠蘿蜜}[2]盲蠻瞞暝{今～：今晚}饅=[5]漫慢蔓				
t	[1]耽簟丹坍擔{2，～當}單{1，簡～}□{手～：手肘}㬹{手～：手肘}痰={吐~}[2]彈{1，～琴}[3]膽黨=[5]淡談[6]鄭{姓氏}擔{1，子}旦誕但蛋={雞卵}彈{2，子～}				
tʰ	[1]灘攤貪撐掌[2]潭譚壇檀[3]坦毯躺[6]探炭歎趟				
n	[2]南男囊難{1，～得}[6]難{2，～兄～弟}				
l	[1]□{厝□ŋa²¹³~：房契}□{連讀音，後骹～：腳踝}㬹{連讀音，後骹～：腳踝}[2]籃藍蘭欄林{樹~}[3]覽攬欖纜□{連續音，□la⁵³~：軲轆}兩[5]攔□{連續音，無~：不錯}31]濫懶爛				
ts	[1]簪沾=瞻{2，～望}髒{讀字}[2]慚蠶殘[3]井靳盞綻[5]棧站{~牌}暫[6]贊				~
tsʰ	[1]滲參{1，～加}青[3]產=醒-眚{～盲：眼瞎}慘[5]燦[6]顫				
s	[1]三杉衫珊山疝柵生-牲-{畜~}[2]晴-[3]產-傘刪□{~□ŋua⁵⁵：醜旦}[5]疝{~氣}[6]散姓				
k	[1]甘柑泔蚶尷監{1，～牢}干{~貝}肝乾{~杯}艱奸間{1，時～}竿[3]感敢橄鑑趕鐧簡柬□{褲~：褲衩}[5]諫銜{嘴裡~著}[6]幹{~事}間{3，～隔；～接}				
kʰ	[1]炕坎澗堪勘刊坑{~~：窟窿}看{~門}[3]龕砍{讀字}檻{門~}[6]艦看{～一～}				
ŋ	[2]顏昂癌[3]眼{讀字}[5]雁岸諺				
x	[1]酣銜{~頭}[2]含函咸鹹=鼾寒韓嫻[3]喊[5]桿稈罕[6]餡漢旱汗翰				
0	[1]庵安鞍晏骯[5]銲按案[6]暗埯				
#iŋ					
p	[1]彬賓檳殯冰浜兵乒[2]屏頻平坪=貧萍賃凴憑蘋{~果}瓶{~~：瓶子}[3]丙秉柄稟{讀字}[6]鬢迸並				
pʰ	[3]品[6]拼=姘聘{~金}				
m	[2]眠民萌鳴明名=銘[3]抿面{臉}閩憫敏皿				
t	[1]貞珍丁釘{1，～子}靪疔汀叮{蟄}[2]陳{姓氏}塵亭停廷庭藤[3]懲診疹頂鼎=[5]鎮陣瞪[6]訂錠釘{2，～釘子}				
tʰ	[3]艇挺[6]趁{原文作賺}[1]蜓{讀字，蜻~}				
n	[2]寧{1，安～}檸{~檬}[3]擰擣{捏；掐}[6]佞認寧{2，～可}				
l	[2]林淋臨鄰鱗燐憐陵凌菱靈零鈴伶翎楞龍{~眼}蠅{連讀音，蚨~屎：雀斑}[3]穎檁{~□tʰiaŋ²¹³：檩条}[5]令[6]吝另				
ts	[1]蒸斟眞征精晶睛[2]秦情[3]拯整枕{～頭；～著}[5]證症浸儘進晉[6]盡靜靖淨振震政				
tsʰ	[1]侵深親{1，～戚}稱{1，～呼}清-蜻□{~□tsʰai³¹：馬來語，瞎說}[3]寢凊{寒冷，原文記作冷}[5]晴=稱{2，對~}[6]親{2，～家}秤襯{~衣}				
s	[1]心辛新薪身申伸娠升星先{~生}[2]尋神辰晨臣繩塍承丞城={檳~：地名}誠盛{2，~飯}[3]嬸醒=省{2，不~人事}瀋{姓氏}審{陪~團}[5]聖腎慎乘剩勝{~任；~敗}盛{1，~世}[6]銹信訊趁性善				
k	[1]今金襟津均莖=京鯨經瓊荊驚={一嗚~人}[3]錦緊僅謹景警頸陘禁{讀字，~不住}槿{木~花}[6]妗禁{～止}境敬竟競勁徑				
kʰ	[1]欽鉗{1，～子}卿輕傾{2，～向}[2]琴禽擎[3]頃傾{1，～茶：斟茶}[5]慶[6]磬				
ŋ	[2]擬迎吟凝{～成凍了；～噎}[3]眼{龍~}				
x	[1]眩欣興{2，～旺}馨兄{~弟}[2]形型刑[6]釁興{1，高～}				
0	[1]蔭音陰因姻洇胭殷應{1，～該}鷹嬰英[2]飲{～酒；～米湯；～馬}淫人仁蠅盈榮塋{墓地}螢滎銀={～河}[3]引隱影永泳詠{歌以～志}[5]壬任{責～；姓氏}紝孕妊仍扔[6]肄刃靭印寅應{2，～對}韌{堅~}				
#uŋ					
p	[1]崩朋{親~}[2]房[3]墳{連續音，~墓頭：墳頭}[5]笨[6]畚簸{~箕}糞{~坑：廁所}放				
pʰ	[1]蜂{蜜～}[2]帆篷蓬[3]捧{用雙手捧}[6]噴{~水}				
t	[1]東敦[2]同=瞳童囤桐=衕{衚~}長{~工}[3]董懂棟[6]凍屯飩沌盾遁頓動{~物}				
tʰ	[1]通[2]豚[3]統冢寵[6]痛{~風}				
l	[2]倫淪輪				
n	[2]農濃儂=[6]閏潤				
m	[1]朦[2]蒙懵檬{檸~}[5]悶				
ts	[1]崇終盅宗綜蹤[2]存[3]俊準准				
tsʰ	[1]春匆怱葱囪叢聰□{~墿：甬路，原文作甬}伸{~手}[6]銃=				
s	[1]嵩訟[2]船旬循巡脣純蒓醇慫詢[3]荀筍榫[5]順[6]舜宋殉遜				
k	[1]君軍公蚣{蜈~}工功攻宮=[2]拳羣裙[3]滾汞[6]貢棍				
kʰ	[1]昆崑空{1，～洞；～虛}[3]孔恐=鞏捆[6]綑睏困菌控空{2，～閒；～缺}				
ŋ	[5]閏{~月}				
x	[1]昏{黃～}分芬紛葷暈轟風楓瘋豐封峰峯鋒縫{2，一條～}吩{~咐}[2]魂墳云雲洪鴻馮逢虹=縫{1，~衣服}[3]哄諷{~刺}粉[5]鳳俸奉餛渾訓[6]混奮憤忿份				
0	[1]溫瘟翁□{地~：地板}[2]文紋聞蚊{~症}[3]穩吻=[5]韻運				
#yŋ					
t	[1]中{1，當～；～間}忠[2]重{4，～複}[3]中{2，射～}[5]仲中{~暑}[6]重{3，～要}				
l	[2]隆龍				
ts	[1]鐘{時～}鍾{姓氏}舂{舂～；～頭}縱{2，~橫}[2]從{~容不迫}[3]種{1，～子；～類}腫[5]縱{1，放~}種{2，～東西}[6]眾糉-{粽}				
tsʰ	[1]充衝[2]□{~牛：牧童}				
s	[1]松{~樹}鬆[5]誦[6]頌				
k	[1]巾斤筋弓躬宮-{皇～}恭{~敬}供{2，～豬}[2]拱窮虹-{彩虹}[5]共近供{1，提～；～應}				
kʰ	[2]勤芹				
ŋ	[2]齦銀-				
x	[1]熏薰胸兇凶[2]熊雄{英～}				
0	[1]雍{~正皇帝}擁鎔庸[2]融茸容蓉戎絨勻[3]壅甬勇湧忍允尹[5]用				
#iaŋ					
p	[3]餅[5]併				
pʰ	[3]□{跛}[6]聘拼-{～命}𩩍{彎~：彎腰}				
m	[2]名-□{無乇~：不怎麼樣}[5]命				
t	[1]偵[3]□{發茶}鼎-[5]定訂{~婚}				
tʰ	[1]聽{1，～話}廳[2]呈程[3]逞忝{疼}鏟{2，～東西}□{推}□{~草：鋤草}□{檁~：tʰiaŋ²¹³：檩条}[6]聽{2，～命}				
l	[3]領嶺				
ts	[6]正[3]井{又}				
tsʰ	[1]清={閩～：地名}[2]橙{～色；～子}[3]鏟{1，～子}疗癬請				
s	[1]聲[2]城-成[6]線				
k	[1]驚-{害怕}[2]行{1，走}[3]囝[6]鏡[0]囝{囝~：兒子}				
kʰ	[2]行{~儂爿：單人旁}				
x	[1]□{羶}兄-				
0	[2]贏營				
#ieŋ					
p	[1]鞭邊[3]貶蝙扁匾[5]瓣辦辨辯便{方～}辮[6]變汴遍{一～；～地}				
pʰ	[1]編篇偏翩[5]騙片				
m	[2]綿棉[3]免勉娩緬澠冕[5]麵面{前～}				
t	[1]顛癲甜[2]纏{糾～；盤～}[3]點展典腆[5]電奠佃				
tʰ	[1]添天				
n	[2]黏鮎年[3]染輦[5]念厭{1}				
l	[2]廉鐮簾連聯蓮漣林{美~蕨：馬來語}[5]練鍊鏈煉[6]殮斂				
ts	[1]尖煎沾-瞻{1，高～}[2]錢前[3]指{2，～甲}剪[5]佔箭戰[6]踐賤餞占箋薦濺				
tsʰ	[1]殲籤簽遷千[3]潛淺{～～：很淺}				
s	[1]先仙鮮{新～；～少}[2]前{以~}蟾鹽{~水}簷搧蟬禪{~定；姓氏}[3]陝閃扇單{2，姓氏}[5]善鱔膳羨				
k	[1]兼掮肩堅間{2，房～}監{2，～督}[2]乾{~隆}墘舷[3]檢儉鹻[6]件劍見毽{~子}				
kʰ	[1]謙虔[2]擒岑鉗{2，～東西}[3]遣[5]嵌歉[6]欠				
ŋ	[2]炎研閻岩巖嚴{~格；姓氏}儼[5]驗[3]碾{~奶：碾膠}[6]硯				
x	[2]玄懸嫌賢弦[3]險顯響{雷公~：打雷}[6]現				
0	[1]淹閹掩醃煙[3]演[5]焰[6]厭{2}艷堰燕{~京；～子}嚥宴				
#uaŋ					
