			编号	字头	低坡	西坡	白龙	白木	屯车	那勉	渌一	伯劳街	竹木排
			105	柱	tʃʰu22	tʃʰu22	tʃʰu33	tʃʰu22	tʃʰoi33	tʃʰui33	tʃʰu33	tsʰui33	tʃʰɜu13
			106	住	tʃʰu22	tʃʰu22	tʃʰu33	tʃʰu22	tʃʰoi21	tʃʰui221	tʃʰu44	tsʰui33	tʃʰɜu22
			107	数{动词，～一～}	ɬu44	ɬu44	ʃu11	ɬu44	ʃu24	ʃu55	ʃɜu55	səu55	ʃiɜu33
			108	数{名词，岁～}	ɬu44	ɬu44	ʃu11	ɬu44	ʃu21	ʃu113	ʃɜu24	səu24	ʃiɜu51
			109	主	tʃu24	tʃu13	tʃu11	tʃu13	tʃoi24	tʃui55	tʃu55	tsui55	tʃiɜu33
			110	输{～赢}	ʃu45	ʃu45	ʃu25	ʃu45	ʃoi55	ʃui33	ʃu11	sui11	ʃiɜu45
			111	竖	ʃu22	ʃu22	ʃu33	ʃu22	ʃoi21	ʃi221	ʃu31	sui33	ʃiɜu22
			112	树	ʃu22	ʃu22	ʃu33	ʃu22	ʃoi21	ʃui32	ʃo44	sui33	ʃiɜu22
			113	句	ku44	ku44	ki11	ku44	koi21	kui113	ku24	kui24	kɜu51
			114	区{地～}	kʰu45	kʰu45	kʰi25	kʰu45	kʰoi55	kʰui33	kʰu11	kʰui11	kʰɜu45
			115	遇	iu22	iu22	i44	iu22	ȵioi21	iui221	ȵiu44	iui33	ŋɜu22
			116	雨	ʔu24	ʔu13	ʔu11	ʔu13	hoi33	hui33	hu33	hui33	hɜu13
			117	芋	ʔu22	ʔu22	ʔu33	ʔu22	hoi21	hui221	hɜu44	hui33	hɜu22
			118	裕	iu22	iu22	iu33	iu22	ioi21	iok3	ȵiu44	iui33	iɜu22
			119	胎	tʰui45	tʰui45	tʰai25	tʰui45	tʰai55	tʰai33	tʰai11	tʰai11	tʰui45
			120	台{舞～}	tʰui44	tʰui44	tʰai44	tʰui44	tʰai42	tʰai32	tʰai31	tʰai31	tʰui35
			121	袋	tʰui22	tʰui22	tʰai33	tʰui22	tʰuɔi21	tʰuɔi221	tʰai44	tʰuɔi33	tʰui22
			122	来	lui44	lui44	lɐi44	lui44	lai42	lai32	lai31	lai31	lui35
			123	菜	tʃʰui44	tʃʰui44	tʃʰai11	tʃʰui44	tʃʰai21	tʃʰai113	tʃʰai24	tsʰai24	tʃʰui51
			124	财	tʃʰui44	tʃʰui44	tʃʰai44	tʃʰui44	tʃʰai42	tʃʰai32	tʃʰai31	tsʰai31	tʃʰui35
			125	该	kui45	kui45	kai25	kui45	kuɔi55	kʰuɔi33	kuɔi11	kʰuɔi11	kui45
			126	改	kui24	kui13	kai11	kui13	kuɔi24	kuɔi55	kuɔi55	kuɔi55	kui33
			127	开	hui45	hui45	hai25	hui45	huɔi55	huɔi33	huɔi11	huɔi11	hui45
			128	海	hui24	hui13	hai33	hui13	huɔi24	huɔi55	huɔi55	huɔi55	hui33
			129	爱	ʔui44	ʔui44	ʔai11	ʔui44	ʔuɔi21	ʔuɔi113	ʔuɔi24	ʔuɔi24	ʔui51
			130	贝	pui44	pui44	pui11	pui44	poi21	pui113	poi24	pui24	pui51
			131	带{动词，携～}	tai44	tai44	tai11	tai44	tai21	tai113	tai24	tai24	tai51
			132	盖{动词，覆～}	kui44	kui44	kai11	kui44	kuɔi21	kuɔi113	kuɔi24	kuɔi24	kui51
