			编号	字头	低坡	西坡	白龙	白木	屯车	那勉	渌一	伯劳街	竹木排
			456	十	ʃɐp2	ʃɐp2	ʃɐp3	ʃɐp2	ʃɐp3	ʃɐp3	ʃɐp3	sɐp3	ʃiɐp2
			457	入	iɐp4	iɐp4	iɐp4	iɐp4	ȵiɐp3	iɐp3	iɐp3	iɐp3	iɐp2
			458	急	kɐp4	kɐp4	kɐp4	kɐp4	kɐp4	kɐp5	kɐp5	kɐp5	kɐp3
			459	及	kʰɐp2	kʰɐp2	kɐp3	kʰɐp2	kʰɐp3	kʰɐp3	kʰap3	kʰɐp3	kʰɐp2
			460	吸	kɐp4	kʰɐp4	kɐp4	kɐp4	kʰɐp4	kʰɐp5	kʰɐp5	kʰɐp5	kɐp3
			461	单{～独}	tan45	tæᵃn45	tan25	tan45	tan55	tan33	tan11	tan11	tan45
			462	炭	tʰan44	tʰæᵃn44	tʰan11	tʰan44	tʰan21	tʰan113	tʰan24	tʰan24	tʰan51
			463	弹{～琴}	tʰan44	tʰæᵃn44	tʰan44	tʰan44	tʰan42	tʰan32	tʰan31	tʰan31	tʰan35
			464	难{～易}	nan44	næᵃn44	nan44	nan44	nan42	nan32	nan31	nan31	nan35
			465	兰	lan44	læᵃn44	lan44	lan44	lan42	lan32	lan31	lan31	lan35
			466	懒	lan24	læᵃn13	lan11	lan13	lan33	lan33	lan33	lan33	lan13
			467	烂	lan22	læᵃn22	lan33	lan22	lan21	lan221	lan44	lan33	lan22
			468	伞	ɬan44	ɬæᵃn44	ɬan11	ɬan44	ɬan21	ɬan113	ɬan24	ɬan24	ɬan51
			469	肝	kun45	kun45	kan25	kun45	kuɔn55	kuɔn33	kuɔn11	kuɔn11	kuɔn45
			470	看{～见}	hun44	hun44	han11	hun44	huɔn21	huɔn113	huɔn24	huɔn24	huɔn51
			471	岸	ŋun22	ŋun22	ŋan33	ŋun22	ŋuɔn21	ŋuɔn221	ŋuɔn44	ŋuɔn33	ŋuɔn22
			472	汉	hun22	hun22	han11	hun22	huɔn21	huɔn113	huɔn24	huɔn24	huɔn51
			473	汗	hun22	hun22	han33	hun22	huɔn21	huɔn221	huɔn44	huɔn33	huɔn22
			474	安	ʔun45	ʔun45	ʔan25	ʔun45	ʔuɔn55	ʔuɔn33	ʔuɔn11	ʔuɔn11	ʔuɔn45
			475	达	tʰat2	tʰæᵃp2	tʰat3	tʰap2	tʰat3	tʰat3	tʰat3	tʰat3	tʰat2
			476	辣	lat24	læᵃʔ13	lat1	lat13	lat3	lat3	lat3	lat3	lat2
			477	擦	tʃʰat4	tʃʰæᵃt13	tʃʰat1	tʃʰat13	tʃʰat24	tʃʰat5	tʃʰat5	tsʰat5	tʃʰat3
			478	割	kut24	kut13	kat1	kut13	kuɔt24	kuɔt5	kuɔt5	kuɔt5	kuɔt3
			479	渴	hut24	hut13	hat1	hut13	huɔt24	huɔt5	huɔt5	huɔt5	huɔt3
			480	扮	pan44	pæᵃn44	pʰan11	pan44	pʰan21	pʰan113	pʰan24	pʰan24	pʰan51
			481	办	pʰan22	pʰæᵃn22	pʰan33	pʰan22	pʰan21	pʰan221	pʰan44	pʰan33	pʰan22
			482	铲	tʃʰan24	tʃʰæᵃn13	tʃʰan11	tʃʰan13	tʃʰan24	tʃʰan55	tʃʰan55	tsʰan55	tʃʰan13
			483	山	ʃan45	ʃæᵃn45	ʃan25	ʃan45	ʃan55	ʃan33	ʃan11	san11	ʃian45
			484	产{～妇}	tʃʰan24	tʃʰæᵃn13	tʃʰan11	tʃʰan13	tʃʰan24	tʃʰan55	tʃʰan55	tsʰan55	tʃʰan13
			485	间{房～}	kan45	kæᵃn45	kan25	kan45	kan55	kan33	kan11	kan11	kan45
			486	眼	ŋan24	ŋæᵃn13	ŋan11	ŋan13	ȵian33	ȵian33	ŋan33	ȵian33	ȵian13
			487	限	hɐn22	hɐn22	hɐn33	hɐn22	hɐn21	hɐn221	hɐn44	hɐn33	han22
			488	八	pat24	pæᵃt13	pat1	pat13	pat24	pat5	pat5	pat5	pat3
			489	扎{包～}	tʃat24	tʃæᵃt13	tʃat1	tʃat13	tʃat24	tʃat5	tʃat5	tsat5	tʃiat3
			490	杀	tʃʰan24	tʃʰæᵃn13	tʃʰan11	tʃʰan13	tʃʰan24	tʃʰan55	tʃʰan55	tsʰan55	tʃʰan13
			491	班	pan45	pæᵃn45	pan25	pan45	pan55	pan33	pan11	pan11	pan45
			492	板	pan24	pæᵃn13	pan11	pan13	pan24	pan55	pan55	pan55	pan33
			493	慢	man22	mæᵃn22	man33	man22	man21	man221	man44	man33	man22
			494	奸	kan45	kæᵃn45	kan25	kan45	kan55	kan33	kan11	kan11	kan45
			495	颜	ŋan44	ŋæᵃn44	ŋan44	ŋan44	ŋan42	ŋan32	ŋan31	ŋan31	ŋan35
			496	瞎	hat24	hæᵃʔ13	hat1	hat13	hat24	—	hat5	hat5	hat3
			497	变	pin44	pin44	pin11	pin44	pin21	pin113	pin24	pin24	pin51
			498	骗{欺～}	pʰin44	pʰin44	pʰin11	pʰin44	pʰin21	pʰin112	pʰin24	pʰin24	pʰin51
			499	便{方～}	pʰin22	pʰin22	pʰin33	pʰin22	pʰin21	pʰin221	pʰin44	pʰin33	pʰin22
			500	棉	min44	min44	min44	min44	min42	min32	min31	min31	min35
			501	面{～孔}	min22	min22	min33	min22	min21	min221	min44	min33	min22
			502	连	lin44	lin44	lin44	lin44	lin42	lin32	lin31	lin31	lin35
			503	剪	tʃin24	tʃin13	tʃin11	tʃin13	tʃin24	tʃin55	tʃin55	tsin55	tʃin33
			504	浅	tʃʰin24	tʃʰin13	tʃʰin11	tʃʰin13	tʃʰin24	tʃʰin55	tʃʰin55	tsʰin55	tʃʰin33
			505	钱	tʃʰin44	tʃʰin44	tʃʰin44	tʃʰin44	tʃʰin42	tʃʰin32	tʃʰin31	tsʰin31	tʃʰin35
			506	鲜{新～}	ɬin45	ɬin45	ɬin25	ɬin45	ɬin55	ɬin33	ɬin11	ɬin11	ɬin45
			507	线	ɬin44	ɬin44	ɬin11	ɬin44	ɬin21	ɬin113	ɬin24	ɬin24	ɬin51
			508	缠	tʃʰin44	tʃʰin44	tʃʰin44	tʃʰin44	tʃʰin42	tʃʰin32	tʃʰin31	tsʰin31	tʃʰin35
			509	战	tʃin44	tʃin44	tʃin11	tʃin44	tʃin21	tʃin113	tʃin24	tsin24	tʃin51
			510	扇{名词，～子}	ʃin44	ʃin44	ʃin11	ʃin44	ʃin21	ʃin113	ʃin24	sin24	ʃin51
			511	善	ʃun22	ʃun22	ʃin33	ʃun22	ʃin21	ʃin221	ʃin44	sun33	ʃun22
			512	件	kʰin22	kʰin22	kʰin33	kʰin22	kʰin21	kʰin221	kʰin44	kʰin33	kʰin22
			513	延	in44	in44	in33	in44	hin42	in32	in31	in31	ȵin35
			514	别{区～}	pʰit2	pʰit2	pʰit3	pʰit2	pʰit3	pʰit3	pʰit3	pʰit3	pʰit2
			515	灭	mit4	mit4	mit4	mit4	mit3	mit3	mit3	mit3	mit2
			516	列	lit4	liak4	lit4	lit4	lit3	lit3	lit3	lit3	lit2
			517	撤	tʃʰit4	tʃʰit4	tʃʰit4	tʃʰit4	tʃʰit4	tʃʰit5	tʃʰit5	tsʰit5	tʃʰit3
			518	舌	ʃit2	ʃit2	ʃit3	ʃit2	ʃit3	ʃit3	ʃit3	sit3	ʃit2
			519	设	ʃit4	ʃit4	ʃit4	ʃit4	tʃʰit4	tʃʰit5	tʃʰit5	sit5	ʃip3
			520	热	ȵit4	ȵit4	ȵit4	ȵit4	ȵit3	ȵit3	ȵit3	ȵit3	ȵit2
			521	杰	kʰit2	kʰit2	kʰit4	kʰit2	kʰit3	kʰit3	kʰit3	kʰit3	kʰit3
			522	孽	nip4	nip4	nip3	nip4	nip3	nip3	nip3	nip3	nip3
			523	建	kin44	kin44	kin11	kin44	kin21	kin113	kin24	kin24	kin51
			524	健	kin44	kin44	kin11	kin44	kin21	kʰin221	kʰin44	kʰin33	kin51
			525	言	in44	in44	ȵin44	in44	ȵin42	ȵin32	ȵin31	ȵin31	ȵin35
			526	歇	hit4	hit4	hit4	hit4	hit4	hit5	hit5	hit5	hit3
			527	扁	pin24	pin13	pin11	pin13	pian24	pian55	pian55	pʰin24	pin33
			528	片	pʰin44	pʰin44	pʰin11	pʰin44	pʰin21	pʰian113	pʰin24	pʰin24	pʰin51
			529	面{～粉}	min22	min22	min33	min22	min21	min221	min44	min33	min22
			530	典	tim24	tim13	tim11	tim13	tim24	tim55	tim55	tim55	tim33
			531	天	tʰin45	tʰin45	tʰin25	tʰin45	tʰin55	tʰin33	tʰin11	tʰin11	tʰin45
			532	田	tʰin44	tʰin44	tʰin44	tʰin44	tʰin42	tʰin32	tʰin31	tʰin31	tʰin35
			533	垫{1}	tʰim22	tʰim22	tʰim33	tʰim22	tʰim33	tʰim33	tʰim33	tʰim33	tʰim13
			534	年	nin44	nin44	nin44	nin44	nin42	nin32	nin31	nin31	nin35
			535	莲	lin44	lin44	lin44	lin44	lin42	lin32	lin31	lin31	lin35
			536	前	tʃʰin44	tʃʰin44	tʃʰin44	tʃʰin44	tʃʰin42	tʃʰin32	tʃʰin31	tsʰin31	tʃʰin35
			537	先	ɬin45	ɬin45	ɬin25	ɬin45	ɬin55	ɬin33	ɬin11	ɬin11	ɬin45
			538	肩	kin45	kin45	kin25	kin45	kin55	kin33	kin11	kin11	kin45
			539	见	kin44	kin44	kin11	kin44	kin21	kin113	kin24	kin24	kin51
			540	牵	hin45	hin45	hin25	hin45	hin55	hin33	ʔin11	hin11	hin45
			541	显	hin24	hin13	hin11	hin13	hin24	hin55	hin55	hin55	hin33
			542	现	in22	in22	in33	in22	hin21	in221	hin44	in33	in22
			543	烟	in45	in45	ʔin25	in45	ʔin55	in33	ʔin11	in11	in45
			544	憋	pit4	pit4	pit4	pit4	pʰit3	pit5	pit5	pit5	pit3
			545	篾	mit4	mit4	mit4	mit4	mit3	mit3	mit3	mit3	mit3
			546	铁	tʰit4	tʰit4	tʰit4	tʰit4	tʰit4	tʰit5	tʰit5	tʰit5	tʰit3
			547	捏	niak24	niak13	niak1	niak13	niat24	niak5	nit5	nit5	nin33
			548	节	tʃit4	tʃit4	tʃit4	tʃit4	tʃit3	tʃit5	tʃit5	tsit5	tʃit3
			549	切{～菜}	tʃʰit4	tʃʰit4	tʃʰit4	tʃʰit4	tʃʰit3	tʃʰit5	tʃʰit5	tsʰit5	tʃʰit3
			550	截	tʃʰit2	tʃʰit2	tʃʰit4	tʃʰit2	tʃʰit3	tʃʰit5	tʃʰit3	tsʰit3	tʃʰit2
			551	结	kit4	kit4	kit4	kit4	kit4	kit5	kit5	kit5	kit3
			552	搬	pun45	pun45	pun25	pun45	pon55	pun33	pon11	pun11	puɔn45
			553	半	pun44	pun44	pun11	pun44	pon21	pun113	pon24	pun24	puɔn51
			554	判	pʰun44	pʰun44	pʰun11	pʰun44	pʰon33	pʰun113	pʰon24	pʰun24	pʰuɔn51
			555	盘	pʰun44	pʰun44	pʰun44	pʰun44	pʰon42	pʰun32	pʰon31	pʰun31	pʰuɔn35
			556	满	mun24	mun13	mun33	mun13	mon33	man221	mon33	mun33	muɔn13
			557	端{～午}	tun45	tun45	tun25	tun45	ton55	tun33	ton11	tun11	tun45
			558	短	tun24	tun13	tun11	tun13	ton24	tun55	ton55	tun55	tun33
			559	断{～绝}	tʰun22	tʰun22	tʰun33	tʰun22	tʰon33	tʰin221	tʰon33	tʰun33	tʰun13
			560	暖	nun24	nun13	nun33	nun13	non33	nun33	non33	nun33	nun13
			561	乱	lun22	lun22	lun33	lun22	lon21	lun221	lon44	lun33	lun22
			562	酸	ɬun45	ɬun45	ɬun25	ɬun45	ɬon55	ɬun33	ɬon11	ɬun11	ɬun45
			563	算	ɬun44	ɬun44	ɬun11	ɬun44	ɬon21	ɬun113	ɬon24	ɬun24	ɬun51
			564	官	kun45	kun45	kun25	kun45	kon55	kun33	kon11	kun11	kun45
			565	宽	fun45	fun45	fun25	fun45	hon55	hun33	von11	vun11	fun45
			566	欢	fun45	fun45	fun25	fun45	hon55	fun33	von11	vun11	fun45
			567	完	vun44	vun44	iun44	vun44	hin42	in32	in31	iun31	iun35
			568	换	vun22	vun22	vun33	vun22	hon21	vun221	von44	vun33	vun22
			569	碗	vun24	vun13	vun11	vun13	ʔon24	ʔun55	von55	vun55	vun33
			570	拨	put4	put4	put4	pʰut2	pʰot3	pʰut5	pot5	put5	puɔt3
			571	泼	pʰut4	pʰut4	pʰut4	pʰut4	pʰot3	pʰut5	pʰot5	pʰut5	pʰuɔt3
			572	末	mut4	mut4	mut4	mut4	mot3	mut3	mot3	mut3	muɔt2
			573	脱	tʰut4	tʰut4	tʰut4	tʰut4	tʰot4	tʰut5	tʰot5	tʰut5	tʰut3
			574	夺	tʰut2	tʰut2	tʰit3	tʰut2	tʰot3	tʰut3	tʰot3	tʰut3	tʰut2
			575	阔	fut4	fut4	hut4	fut4	hot4	hut5	fot5	vut5	fut3
			576	活	vut2	fut2	vut4	vut2	hot3	vut3	vot3	vut3	vut3
			577	顽	man44	mæᵃn44	man44	man44	man42	man221	man31	man31	man35
			578	滑	vat2	væᵃk2	vat4	vat2	vat3	vat3	vat3	vat3	vat2
			579	挖	vat24	vɒ45	vɒ25	va45	vat24	viat5	vat5	vat5	vat3
			580	闩	ʃan45	ʃæᵃn45	ʃan25	ʃan45	ʃan55	ʃan33	ʃan11	san11	ʃian45
			581	关{～门}	kuan45	kuæᵃn45	kuan25	kuan45	kuan55	kuan33	kuan11	kuan11	kuan45
			582	惯	kuan44	kuæᵃn44	kuan11	kun44	kuan21	kuan113	kuan24	kuan24	kuan51
			583	还{动词，偿～}	van44	væᵃn44	van44	van44	van42	van32	van31	van31	van35
			584	还{～有}	van44	væᵃn44	van44	van44	van42	van32	van31	van31	van35
			585	弯	van45	væᵃn45	van25	van45	van55	van33	van11	van11	van45
			586	刷	ʃat24	ʃɒ13	tʃʰat1	tʃʰa13	tʃʰat24	tʃʰat5	tʃʰat5	tsʰat5	tʃʰat3
			587	刮	kuat24	kuæᵃk13	kuat1	kuat13	kuat24	kuat5	kuat5	kuat5	kuat3
			588	全	tʃʰun44	tʃʰun44	tʃʰun44	tʃʰun44	tʃʰin42	tʃʰin32	tʃʰon31	tsʰun31	tʃʰun35
			589	选	ɬun24	ɬun13	ɬun11	ɬun13	ɬin24	ɬin55	ɬin55	ɬun55	ɬun33
			590	转{～眼}	tʃun24	tʃun13	tʃun11	tʃun44	tʃin21	tʃin113	tʃin24	tsun24	tʃun33
			591	传{～下来}	tʃʰun44	tʃʰun44	tʃʰun44	tʃʰun44	tʃʰin42	tʃʰin32	tʃʰin31	tsʰun31	tʃʰun35
			592	传{～记}	tʃʰun22	tʃʰun22	tʃʰun33	tʃʰun22	—	—	tʃʰin44	tsʰun33	tʃʰun22
			593	砖	tʃun45	tʃun45	tʃun25	tʃun45	tʃin55	tʃin33	tʃin11	tsun11	tʃun45
			594	船	ʃun44	ʃun44	ʃun44	ʃun44	ʃin42	ʃin32	ʃin31	sun31	ʃun35
			595	软	ȵiun24	ȵiun13	ȵiun11	ȵiun13	ŋin33	ȵin33	ŋin33	ȵiun33	ȵiun13
			596	卷{～起来}	kʰun24	kʰun13	kʰun11	kʰun13	kin24	kin55	kʰin55	kun55	kin33
			597	圈{圆～}	kʰun45	kʰun45	kʰun25	kʰun45	hin55	kʰin33	kʰin11	kʰun11	kʰin45
			598	权	kʰun44	kʰun44	kʰun44	kʰun44	kʰin42	kʰin32	kʰin31	kʰin31	kʰun35
			599	圆	iun44	iun44	iun44	iun44	hin42	in32	in31	iun31	iun35
			600	院	iun22	iun22	iun33	ȵiun22	hin21	in221	in44	iun33	iun22
			601	铅{～笔}	iun44	iun44	iun44	iun44	hin42	in32	in31	iun31	iun35
			602	绝	tʃʰut2	tʃʰut2	tʃʰit3	tʃʰut2	tʃʰit3	tʃʰit3	tʃʰit3	tsʰut3	tʃʰut2
			603	雪	ɬut4	ɬut4	ɬut4	ɬut4	ɬit4	ɬit5	ɬit5	ɬut5	ɬut3
			604	反	fan24	fæᵃn13	fan11	fan13	fan24	fan55	fan55	fan55	fan33
			605	翻{2}	fan45	fæᵃn45	fan25	fan45	fan55	fan33	fan11	fan11	fan45
			606	饭	fan22	fæᵃn22	fan33	fan22	fan21	fan221	fan44	fan33	fan22
			607	晚	man24	mæᵃn13	man33	man13	man33	man33	man33	man33	man13
			608	万	van22	væᵃn22	man33	van22	man21	man221	man44	man33	man22
			609	劝	fun44	fun44	hin11	fun44	kʰin21	hin113	hin24	hin24	hin51
			610	原	iun44	iun44	iun44	iun44	ȵin42	ȵin32	ȵin31	ȵin31	ȵiun35
			611	冤	vun45	vun45	in25	vun45	ʔin55	in55	in11	iun11	in45
			612	园	iun44	iun44	iun44	iun44	hin42	in32	in31	iun31	iun35
			613	远	iun24	iun13	iun33	iun13	hin33	in33	in33	iun33	iun13
			614	发{头～}	fat24	fæᵃk13	fat1	fat13	fat24	fat5	fat5	fat5	fat3
			615	罚	fat2	fæᵃk2	fat3	fat2	fat3	fat3	fat3	fat3	fat2
			616	袜	vat24	væᵃk13	mat3	vat13	mat3	mat3	mat3	mat3	mat2
			617	月	ȵiut4	ȵiut4	ȵiut3	ȵiut4	ȵit3	ȵit3	ȵit3	ȵiut3	ȵiut2
			618	越	iut4	iut4	it4	iut4	hit3	it3	it3	iut3	iut2
			619	县	iun22	iun22	iun33	ȵiun22	hin21	in221	in44	iun33	iun22
			620	决	kʰut4	kʰut4	kʰit4	kʰut4	kʰit4	kʰit5	kʰit5	kʰit5	kʰit3
			621	缺	kʰut4	kʰut4	kʰit4	kʰut4	kʰit4	kʰit5	kʰit5	kʰit5	kʰit3
			622	血	fut4	fut4	hut4	fut4	hit4	hit5	ʔit5	iut5	hit3
			623	吞	tʰɐn45	tʰɐn45	tʰɐn25	tʰɐn45	tʰɐn55	tʰɐn33	tʰɐn11	tʰɐn11	tʰɐn45
			624	根	kɐn45	kɐn45	kɐn25	kɐn45	kɐn55	kɐn33	kɐn11	kɐn11	kɐn45
			625	恨	hɐn22	hɐn22	hɐn33	hɐn22	hɐn21	hɐn221	hɐn44	hɐn33	hɐn22
			626	恩	ʔɐn45	ʔɐn45	ʔɐn25	ŋɐn45	ʔɐn55	ŋɐn33	iɐn11	iɐn11	ʔɐn45
			627	贫	pʰɐn44	pʰɐn44	pʰɐn44	pʰɐn44	pʰɐn42	pʰɐn32	pʰɐn31	pʰɐn31	pʰɐn35
			628	民	mɐn44	mɐn44	mɐn44	mɐn44	mɐn42	mɐn32	mɐn31	mɐn31	mɐn35
			629	邻	lɐn44	lɐn44	lɐn44	lɐn44	lɐn42	lɐn32	lɐn31	lɐn31	lɐn35
			630	进	tʃɐn44	tʃɐn44	tʃɐn11	tʃɐn44	tʃɐn21	tʃɐn113	tʃɐn24	tsɐn24	tʃiɐn51
			631	亲{～吻}	tʃʰɐn45	tʃʰɐn45	tʃʰɐn25	tʃʰɐn45	tʃʰɐn55	tʃʰɐn33	tʃʰɐn11	tsʰɐn11	tʃʰɐn45
			632	新	ɬɐn45	ɬɐn45	ɬɐn25	ɬɐn45	ɬɐn55	ɬɐn33	ɬɐn11	ɬɐn11	ɬɐn45
			633	镇	tʃɐn44	tʃɐn44	tʃɐn11	tʃɐn44	tʃɐn21	tʃɐn113	tʃɐn24	tsɐn24	tʃiɐn51
			634	陈	tʃʰɐn44	tʃʰɐn44	tʃʰɐn44	tʃʰɐn44	tʃʰɐn42	tʃʰɐn32	tʃʰɐn31	tsʰɐn31	tʃʰɐn35
			635	震	tʃɐn44	tʃɐn44	tʃɐn44	tʃɐn44	tʃɐn21	tʃɐn113	tʃɐn24	tsɐn24	tʃiɐn51
			636	神	ʃɐn44	ʃɐn44	ʃɐn44	ʃɐn44	ʃɐn42	ʃɐn32	ʃɐn31	sɐn31	ʃiɐn35
			637	身	ʃɐn45	ʃɐn45	ʃɐn25	ʃɐn45	ʃɐn55	ʃɐn33	ʃɐn11	sɐn11	ʃiɐn45
			638	辰	ʃɐn44	ʃɐn44	ʃɐn44	ʃɐn44	ʃɐn42	ʃɐn32	ʃɐn31	sɐn31	ʃiɐn35
			639	人	ȵiɐn44	ȵiɐn44	ȵiɐn44	ȵiɐn44	ȵiɐn42	ȵiɐn32	ȵiɐn31	ȵiɐn31	ȵiɐn35
			640	认	ȵiɐn22	ȵiɐn22	ȵiɐn33	ȵiɐn22	ȵiɐn21	ȵiɐn221	ȵiɐn44	ȵiɐn33	ȵiɐn22
			641	紧	kɐn24	kɐn13	kɐn11	kɐn13	kɐn24	kɐn55	kɐn55	kɐn55	kɐn33
			642	银	ŋɐn44	ŋɐn44	ŋɐn44	ŋɐn44	ŋɐn42	ŋɐn32	ŋɐn31	ŋɐn31	ŋɐn35
			643	印	ʔɐn44	ʔɐn44	iɐn11	ʔɐn44	ʔɐn21	ʔɐn113	iɐn24	iɐn24	ʔɐn51
			644	引	iɐn24	iɐn13	iɐn11	iɐn13	iɐn33	iɐn33	iɐn33	iɐn33	iɐn13
			645	笔	pɐt4	pɐt4	pɐt4	pɐt4	pɐt4	pɐt5	pɐt5	pɐt5	pɐt3
			646	匹	pʰɐt4	pʰɐt4	pʰɐt4	pʰɐt4	pʰɐt4	pʰɐt5	pʰɐt5	pʰɐt5	pʰɐt3
			647	密	mɐt4	mɐt4	mɐt4	mɐt4	mɐt3	mɐt3	mɐt3	mɐt3	mɐt2
			648	栗	lɐt4	lɐt4	lɐt4	lɐt4	lɐt3	lɐt3	lɐt3	lɐt3	lɐt2
			649	七	tʃʰɐt4	tʃʰɐt4	tʃʰɐt4	tʃʰɐt4	tʃʰɐt4	tʃʰɐt5	tʃʰɐt5	tsʰɐt5	tʃʰɐt3
			650	侄	tʃɐt2	tʃɐt2	tʃɐt3	tʃʰɐt2	tʃʰɐt3	tʃʰɐt3	tʃʰɐt3	tsʰɐt3	tʃʰɐt2
			651	虱	ʃɐt4	ʃɐt4	ʃɐt4	ʃɐt4	ʃɐt4	ɬɐt5	ʃɐt5	sɐt5	ʃiɐt3
			652	实	ʃɐt2	ʃɐt2	ʃɐt3	ʃɐt2	ʃɐt3	ʃɐt3	ʃɐt3	sɐt3	ʃiɐt2
			653	失	ʃɐt4	ʃɐt4	ʃɐt4	ʃɐt4	ʃɐt4	ʃɐt5	ʃɐt5	sɐt5	ʃiɐt3
			654	日	ȵiɐt4	ȵiɐt4	ȵiɐt4	ȵiɐt4	ȵiɐt3	ȵiɐt3	ȵiɐt3	ȵiɐt3	ȵiɐt3
			655	吉	kɐt4	kɐt4	kɐt4	kɐt4	kɐt4	kɐt5	kɐt5	kɐt5	kɐt3
			656	一	ʔɐt4	ʔɐt4	ʔɐt4	ʔɐt4	iɐt4	iɐt5	iɐt5	iɐt5	iɐt3
			657	筋	kɐn45	kɐn45	kɐn25	kɐn45	kɐn55	kɐn33	kɐn11	kɐn11	kɐn45
			658	劲{有～}	kɐn44	kɐn44	kɐn1	kɐn44	keŋ21	keŋ113	keŋ24	keŋ24	kəi51
			659	勤	kʰɐn44	kʰɐn44	kʰɐn44	kʰɐn44	kʰɐn42	kʰɐn32	kʰɐn31	kʰɐn31	kʰɐn35
			660	近	kʰɐn22	kʰɐn22	kʰɐn33	kʰɐn22	kʰɐn33	kʰɐn33	kʰɐn33	kʰɐn33	kʰɐn35
			661	隐	ȵiɐn24	iɐn13	vɐn11	vɐn13	iɐn33	iɐn55	iɐn55	iɐn55	iɐn13
			662	本	pun24	pun13	pun11	pun13	pon24	pun55	pon55	pun55	puɔn33
			663	盆	pʰun44	pʰun44	pʰun44	pʰun44	pʰon42	pʰun32	pʰon31	pʰun31	pʰuɔn35
			664	门	mun44	mun44	mun44	mun44	mon42	mun32	mon31	mun31	mun35
			665	墩	tɐn45	tɐn45	tɐn25	tɐn45	tɐn24	tɐn55	tɐn11	tɐn11	tɐn45
			666	嫩	nun22	nun22	nun33	nun22	nuɔn21	nun221	non44	nun33	nun51
			667	村	tʃʰun45	tʃʰun45	tʃʰun25	tʃʰun45	tʃʰon55	tʃʰun33	tʃʰon11	tsʰun11	tʃʰun45
			668	寸	tʃʰun44	tʃʰun44	tʃʰun11	tʃʰun44	tʃʰon21	tʃʰun33	tʃʰon24	tsʰun24	tʃʰun51
			669	蹲	tun45	tʃun45	tʃun25	tʃun45	tʃon55	—	ton11	tsun11文	tʃun45
			670	孙{～子}	ɬun45	ɬun45	ɬun25	ɬun45	ɬon55	ɬun33	ɬon11	ɬun11	ɬun45
			671	滚	kuɐn24	kuɐn13	kuɐn11	kuɐn13	kʰuɐn24	kuɐn55	kʰuɐn55	kuɐn55	kuɐn33
			672	困{～觉}	kʰuɐn44	kʰuɐn44	kʰuɐn11	kʰuɐn44	kʰuɐn21	kʰuɐn113	kʰuɐn24	kʰuɐn24	kʰuɐn51
			673	婚	fɐn45	fɐn45	fɐn25	fɐn45	vɐn55	vɐn33	vɐn11	vɐn11	fun45
			674	魂	fun44	fun44	vɐn44	fun44	vɐn42	vɐn32	vɐn31	vɐn31	vun35
			675	温	vɐn45	vɐn45	vɐn25	vɐn45	vɐn55	vɐn33	vɐn11	vɐn11	vɐn45
			676	卒	tʃɐt4	tʃɐt4	tʃɐt4	tʃɐt4	tʃɐt4	tʃɐt5	tʃɐt5	tsɐt5	tʃiɐt3
			677	骨	kuɐt4	kuɐt4	kuɐt4	kuɐt4	kuɐt4	kuɐt5	kuɐt5	kuɐt5	kuɐt3
			678	轮	lɐn44	lɐn44	lɐn44	lɐn44	lɐn42	lɐn32	lɐn31	lɐn31	lɐn35
			679	俊	tʃɐn44	tʃɐn44	tʃɐn11	tʃɐn44	tʃɐn21	tʃɐn113	tʃɐn24	tsɐn24	tʃiɐn51
			680	笋	ɬɐn24	ɬɐn13	ɬɐn11	ɬɐn13	ɬɐn24	ɬɐn55	ɬɐn55	ɬɐn55	ɬɐn33
			681	准{批～}	tʃɐn24	tʃɐn13	tʃɐn11	tʃɐn13	tʃɐn24	tʃɐn55	tʃɐn55	tsɐn55	tʃiɐn33
			682	春	tʃʰɐn45	tʃʰɐn45	tʃʰɐn25	tʃʰɐn45	tʃʰɐn55	tʃʰɐn113	tʃʰɐn11	tsʰɐn11	tʃʰɐn45
			683	唇	ʃɐn44	ʃɐn44	ʃɐn44	ʃɐn44	ʃɐn42	ʃɐn32	ʃɐn31	sɐn31	ʃiɐn35
			684	顺	ʃɐn22	ʃɐn22	ʃɐn33	ʃɐn22	ʃɐn21	ʃɐn221	ʃɐn44	sɐn33	ʃiɐn22
			685	纯	ɬun44	ɬun44	ɬun33	ɬun44	ɬon42	ɬin221	ʃɐn31	sɐn31	ɬun35
			686	闰	ȵiɐn22	ȵiɐn22	ȵiɐn33	ȵiɐn22	ȵiɐn21	ȵiɐn221	ȵiɐn44	ȵiɐn33	ȵiɐn22
			687	均	kuɐn45	kuɐn45	kuɐn25	kuɐn45	kuɐn55	kuɐn33	kʰuɐn11	kuɐn11	kuɐn45
			688	匀	iɐn44	iɐn44	iɐn44	iɐn44	iɐn42	iɐn32	iɐn31	iɐn31	iɐn35
			689	律	lɐt4	lɐt4	lɐt3	lɐt4	lɐt3	lɐt3	lɐt3	lɐt3	lɐt2
			690	出	tʃʰɐt4	tʃʰɐt4	tʃʰɐt4	tʃʰɐt4	tʃʰɐt4	tʃʰɐt5	tʃʰɐt5	tsʰɐt5	tʃʰɐt3
			691	橘	kɐt4	kɐt4	kɐt4	kɐt4	kɐt4	kɐt5	kɐt5	kɐt5	kɐt3
			692	分{～开}	fɐn45	fɐn45	fɐn25	fɐn45	fɐn55	fɐn33	fɐn11	fɐn11	fɐn45
