#ɿ
ts[11]资姿咨兹滋辎[42]紫姊子梓滓
#yan
tɕ[11]盹均钧菌军君[42]准迥
tɕʰ[11]春椿顷[55]群裙琼[42]蠢窘郡
ɕ[11]熏勋兄[55]唇纯莼[213]舜训[33]顺
∅[55]匀云赢[42]允永[213]熨[33]润闰韧韵运晕孕泳咏

#ɤŋ
p[11]崩[213]迸
pʰ[11]烹喷[55]朋棚蓬篷[42]捧[213]□{嗅；吻}
m[11]□{近视}[55]蒙[42]懵蠓猛[33]梦孟
f[11]丰峰蜂锋风枫疯讽封[55]冯逢缝{动词}[213]俸奉[33]凤缝{名词}
t[11]东冬典[42]董懂[213]冻栋
tʰ[11]通捅[55]同铜桐筒童瞳[42]桶统动[213]痛[33]洞
n[55]笼聋农脓浓隆龙[42]拢弄垅陇
ts[11]鬃宗踪[42]总[213]粽纵{~横，放~}怂
tsʰ[11]聪匆葱[55]从{~来}从{~容}丛松1
s[11]鬆{放~}松2嵩[55]㞞{精液}[42]宋搡[213]送[33]诵颂讼
tʂ[11]中{当~}忠终钟盅[42]种{~类}[213]中{打~目标}众种{~植}冢
tʂʰ[11]囱充冲春宠[55]虫重{~复}幢[42]重{轻~}[213]铳[33]仲
k[11]公蚣工功攻[42]拱{~手}[213]贡巩汞
kʰ[11]空{~虚}[42]孔恐[213]空{~缺}控
x[11]亨轰烘[55]弘红洪鸿虹{彩~，读字}[33]讧

#iɤŋ
tɕ[11]弓宫躬恭供{~应}供{~品}
tɕʰ[55]穷[33]共
ȵ[11]雍痈[55]戎绒融茸容蓉熔庸萤荥荣营茔[42]拥甬勇涌[213]壅[33]用冗
ɕ[11]胸凶[55]崇熊雄

#ɚ
∅[55]儿而[42]耳饵尔{读字}汝[33]二贰

#m̩
∅[42]母{称母亲}[435]姆{称叔母}

#n̩
∅[11]尔{你}

#ŋ̍
∅[11]翁
